sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TLOZIJS,O,O,O,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X
TLOZJSI,O,O,O,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X
TJILSZO,O,O,O,X,X,X,X
TJILSOZ,O,X,O,X,X,X,X
TJILZSO,O,O,O,X,O,O,X
TJILZOS,O,O,O,X,X,X,O
TJILOSZ,X,O,O,X,X,X,X
TJILOZS,O,O,O,X,X,X,X
TJISLZO,O,O,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X
TJISZLO,O,O,X,X,O,O,X
TJISZOL,O,O,X,X,O,O,O
TJISOLZ,O,O,X,X,X,X,X
TJISOZL,O,O,X,O,O,X,X
TJIZLSO,O,O,O,X,O,O,X
TJIZLOS,X,O,O,X,X,X,O
TJIZSLO,O,O,O,X,O,O,X
TJIZSOL,O,O,O,X,O,O,O
TJIZOLS,X,O,O,O,X,X,O
TJIZOSL,O,O,O,O,O,O,O
TJIOLSZ,X,O,X,X,X,X,X
TJIOLZS,X,O,O,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,X
TJIOSZL,X,O,O,O,X,X,X
TJIOZLS,X,O,O,O,X,X,O
TJIOZSL,X,O,O,O,O,O,O
TJLISZO,O,O,O,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X
TJLIZSO,O,O,O,X,O,O,X
TJLIZOS,O,O,O,X,X,X,O
TJLIOSZ,X,O,O,X,X,X,X
TJLIOZS,O,O,O,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X
TJLSOZI,O,X,O,X,X,X,X
TJLZISO,O,O,O,X,O,O,X
TJLZIOS,O,O,O,X,X,X,O
TJLZSIO,O,O,O,X,O,O,X
TJLZSOI,O,O,O,X,O,O,X
TJLZOIS,O,O,O,X,X,X,O
TJLZOSI,O,O,O,X,X,X,X
TJLOISZ,X,O,O,X,X,X,X
TJLOIZS,O,O,O,X,X,X,X
TJLOSIZ,X,O,O,X,X,X,X
TJLOSZI,X,O,O,X,X,X,X
TJLOZIS,O,O,O,X,X,X,X
TJLOZSI,O,O,O,X,X,X,X
TJSILZO,O,O,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X
TJSIZLO,O,O,X,X,O,O,X
TJSIZOL,O,O,X,X,O,O,O
TJSIOLZ,O,O,X,X,X,X,X
TJSIOZL,O,O,X,O,O,X,X
TJSLIZO,O,O,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X
TJSLZIO,O,O,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X,X
TJSZILO,O,O,X,X,O,O,X
TJSZIOL,O,O,X,X,O,O,O
TJSZLIO,O,O,X,X,O,O,X
TJSZLOI,O,O,X,X,O,O,X
TJSZOIL,O,O,X,X,O,O,O
TJSZOLI,O,O,X,X,O,O,X
TJSOILZ,O,O,X,X,X,X,X
TJSOIZL,O,O,X,O,O,X,X
TJSOLIZ,O,O,X,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X
TJSOZIL,O,O,X,O,O,X,X
TJSOZLI,O,O,X,O,O,X,X
TJZILSO,O,O,O,X,O,O,X
TJZILOS,X,O,O,X,X,X,O
