sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
ISLOJZT,O,X,O,O,O,X,X
ISLOZTJ,O,X,O,O,O,X,X
ISLOZJT,O,X,O,O,O,X,X
ISJTLZO,O,O,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X,X
ISJTZLO,O,O,X,X,O,O,X
ISJTZOL,O,O,X,X,O,O,O
ISJTOLZ,O,O,X,X,X,X,X
ISJTOZL,O,O,X,O,O,X,X
ISJLTZO,O,X,O,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,X
ISJLZTO,O,X,O,X,O,X,X
ISJLZOT,O,X,O,X,O,X,X
ISJLOTZ,O,X,O,X,X,X,X
ISJLOZT,O,X,O,O,O,X,X
ISJZTLO,O,X,O,X,O,O,X
ISJZTOL,O,X,O,X,O,O,O
ISJZLTO,O,X,O,X,O,O,X
ISJZLOT,O,X,O,X,O,O,X
ISJZOTL,O,X,O,O,O,O,O
ISJZOLT,O,X,O,O,O,O,X
ISJOTLZ,O,O,X,X,X,X,X
ISJOTZL,O,O,O,O,O,X,X
ISJOLTZ,O,O,X,X,X,X,X
ISJOLZT,O,X,X,O,O,X,X
ISJOZTL,O,X,O,O,O,X,O
ISJOZLT,O,X,O,O,O,X,X
ISZTLJO,O,X,O,X,O,O,X
ISZTLOJ,O,X,O,X,O,O,X
ISZTJLO,O,X,O,X,O,O,X
ISZTJOL,O,X,O,X,O,O,O
ISZTOLJ,O,X,O,X,O,O,X
ISZTOJL,O,X,O,X,O,O,O
ISZLTJO,O,X,O,X,O,O,X
ISZLTOJ,O,X,O,X,O,O,X
ISZLJTO,O,X,O,X,O,O,X
ISZLJOT,O,X,O,X,O,O,X
ISZLOTJ,O,X,O,X,O,O,X
ISZLOJT,O,X,O,X,O,O,X
ISZJTLO,O,X,O,X,O,O,X
ISZJTOL,O,X,O,X,O,O,O
ISZJLTO,O,X,O,X,O,O,X
ISZJLOT,O,X,O,X,O,O,X
ISZJOTL,O,X,O,O,O,O,O
ISZJOLT,O,X,O,O,O,O,X
ISZOTLJ,O,X,O,O,O,O,X
ISZOTJL,O,X,O,O,O,O,O
ISZOLTJ,O,X,O,O,O,O,X
ISZOLJT,O,X,O,O,O,O,X
ISZOJTL,O,X,O,O,O,O,O
ISZOJLT,O,X,O,O,O,O,X
ISOTLJZ,O,O,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X
ISOTJZL,O,O,O,O,O,X,X
ISOTZLJ,O,O,O,O,O,X,X
ISOTZJL,O,O,O,O,O,X,X
ISOLTJZ,O,O,O,X,X,X,X
ISOLTZJ,O,O,O,X,X,X,X
ISOLJTZ,O,O,O,X,X,X,X
ISOLJZT,O,X,O,O,O,X,X
ISOLZTJ,O,X,O,O,O,X,X
ISOLZJT,O,X,O,O,O,X,X
ISOJTLZ,O,O,X,X,X,X,X
ISOJTZL,O,O,O,O,O,X,X
ISOJLTZ,O,O,X,X,X,X,X
ISOJLZT,O,X,X,O,O,X,X
ISOJZTL,O,X,O,O,O,X,O
ISOJZLT,O,X,O,O,O,X,X
ISOZTLJ,O,X,O,O,O,X,X
ISOZTJL,O,X,O,O,O,X,O
ISOZLTJ,O,X,O,O,O,X,X
ISOZLJT,O,X,O,O,O,X,X
ISOZJTL,O,X,O,O,O,X,O
ISOZJLT,O,X,O,O,O,X,X
IZTLJSO,O,O,O,X,O,O,X
IZTLJOS,O,O,O,X,X,X,O
IZTLSJO,O,O,O,X,O,O,X
IZTLSOJ,O,O,O,X,O,O,X
IZTLOJS,O,O,O,X,X,X,O
IZTLOSJ,O,O,O,X,X,X,X
IZTJLSO,O,O,O,X,O,O,X
IZTJLOS,X,O,O,X,X,X,O
IZTJSLO,O,O,O,X,O,O,X
IZTJSOL,O,O,O,X,O,O,O
IZTJOLS,X,O,O,O,X,X,O
IZTJOSL,O,O,O,O,O,O,O
IZTSLJO,O,O,O,X,O,O,X
IZTSLOJ,O,O,O,X,O,O,X
IZTSJLO,O,O,O,X,O,O,X
IZTSJOL,O,O,O,X,O,O,O
IZTSOLJ,O,O,O,X,O,O,X
IZTSOJL,O,O,O,X,O,O,O
IZTOLJS,X,O,O,O,X,X,O
IZTOLSJ,X,O,O,O,X,X,X
IZTOJLS,X,O,O,O,X,X,O
IZTOJSL,O,O,O,O,O,O,O
IZTOSLJ,O,O,O,O,O,O,X
IZTOSJL,O,O,O,O,O,O,O
IZLTJSO,O,X,O,X,O,O,X
IZLTJOS,O,X,O,X,X,X,O
IZLTSJO,O,X,O,X,O,O,X
IZLTSOJ,O,X,O,X,O,O,X
IZLTOJS,O,X,O,X,X,X,O
IZLTOSJ,O,X,O,X,X,X,X
IZLJTSO,O,X,O,X,O,O,X
IZLJTOS,O,X,O,X,X,X,O
IZLJSTO,O,X,O,X,O,O,X
IZLJSOT,O,X,O,X,O,O,X
IZLJOTS,O,X,O,O,X,X,O
IZLJOST,O,X,O,O,X,X,X
IZLSTJO,O,X,O,X,O,O,X
IZLSTOJ,O,X,O,X,O,O,X
IZLSJTO,O,X,O,X,O,O,X
IZLSJOT,O,X,O,X,O,O,X
IZLSOTJ,O,X,O,X,O,O,X
IZLSOJT,O,X,O,X,O,O,X
IZLOTJS,O,X,O,O,X,X,O
IZLOTSJ,O,X,O,O,X,X,X
IZLOJTS,O,X,O,O,X,X,O
IZLOJST,O,X,O,O,X,X,X
IZLOSTJ,O,X,O,O,X,X,X
IZLOSJT,O,X,O,O,X,X,X
IZJTLSO,O,O,O,X,O,O,X
IZJTLOS,X,O,O,X,X,X,O
IZJTSLO,O,O,O,X,O,O,X
IZJTSOL,O,O,O,X,O,O,O
IZJTOLS,X,O,O,O,X,X,O
IZJTOSL,O,O,O,O,O,O,O
IZJLTSO,O,X,O,X,O,O,X
IZJLTOS,O,X,O,X,X,X,O
IZJLSTO,O,X,O,X,O,O,X
IZJLSOT,O,X,O,X,O,O,X
IZJLOTS,O,X,O,O,X,X,O
IZJLOST,O,X,O,O,X,X,X
IZJSTLO,O,X,O,X,O,O,X
IZJSTOL,O,X,O,X,O,O,O
IZJSLTO,O,X,O,X,O,O,X
IZJSLOT,O,X,O,X,O,O,X
IZJSOTL,O,X,O,O,O,O,O
IZJSOLT,O,X,O,O,O,O,X
IZJOTLS,X,O,O,O,X,X,O
IZJOTSL,O,O,O,O,O,O,O
IZJOLTS,X,O,O,O,X,X,O
IZJOLST,X,X,O,O,X,X,X
IZJOSTL,O,X,O,O,O,O,O
IZJOSLT,O,X,O,O,O,O,X
IZSTLJO,O,X,O,X,O,O,X
IZSTLOJ,O,X,O,X,O,O,X
IZSTJLO,O,X,O,X,O,O,X
IZSTJOL,O,X,O,X,O,O,O
IZSTOLJ,O,X,O,X,O,O,X
IZSTOJL,O,X,O,X,O,O,O
IZSLTJO,O,X,O,X,O,O,X
IZSLTOJ,O,X,O,X,O,O,X
IZSLJTO,O,X,O,X,O,O,X
IZSLJOT,O,X,O,X,O,O,X
IZSLOTJ,O,X,O,X,O,O,X
IZSLOJT,O,X,O,X,O,O,X
IZSJTLO,O,X,O,X,O,O,X
IZSJTOL,O,X,O,X,O,O,O
IZSJLTO,O,X,O,X,O,O,X
IZSJLOT,O,X,O,X,O,O,X
IZSJOTL,O,X,O,O,O,O,O
IZSJOLT,O,X,O,O,O,O,X
IZSOTLJ,O,X,O,O,O,O,X
IZSOTJL,O,X,O,O,O,O,O
IZSOLTJ,O,X,O,O,O,O,X
IZSOLJT,O,X,O,O,O,O,X
IZSOJTL,O,X,O,O,O,O,O
IZSOJLT,O,X,O,O,O,O,X
IZOTLJS,X,O,O,O,X,X,O
IZOTLSJ,X,O,O,O,X,X,X
IZOTJLS,X,O,O,O,X,X,O
IZOTJSL,O,O,O,O,O,O,O
IZOTSLJ,O,O,O,O,O,O,X
IZOTSJL,O,O,O,O,O,O,O
IZOLTJS,O,O,O,O,X,X,O
IZOLTSJ,O,O,O,O,X,X,X
IZOLJTS,O,O,O,O,X,X,O
IZOLJST,O,X,O,O,X,X,X
IZOLSTJ,O,X,O,O,X,X,X
IZOLSJT,O,X,O,O,X,X,X
IZOJTLS,X,O,O,O,X,X,O
IZOJTSL,O,O,O,O,O,O,O
IZOJLTS,X,O,O,O,X,X,O
IZOJLST,X,X,O,O,X,X,X
IZOJSTL,O,X,O,O,O,O,O
IZOJSLT,O,X,O,O,O,O,X
IZOSTLJ,O,X,O,O,O,O,X
IZOSTJL,O,X,O,O,O,O,O
IZOSLTJ,O,X,O,O,O,O,X
IZOSLJT,O,X,O,O,O,O,X
IZOSJTL,O,X,O,O,O,O,O
IZOSJLT,O,X,O,O,O,O,X
IOTLJSZ,X,O,O,X,X,X,X
IOTLJZS,X,O,O,X,X,X,X
IOTLSJZ,X,O,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X
IOTLZJS,X,O,O,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X
IOTJLSZ,X,O,X,X,X,X,X
IOTJLZS,X,O,O,X,X,X,X
IOTJSLZ,X,O,X,X,X,X,X
IOTJSZL,X,O,O,O,X,X,X
IOTJZLS,X,O,O,O,X,X,O
IOTJZSL,X,O,O,O,O,O,O
IOTSLJZ,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X
IOTSJZL,X,O,O,O,X,X,X
IOTSZLJ,X,O,O,O,X,X,X
IOTSZJL,X,O,O,O,X,X,X
IOTZLJS,X,O,O,O,X,X,O
IOTZLSJ,X,O,O,O,X,X,X
IOTZJLS,X,O,O,O,X,X,O
IOTZJSL,X,O,O,O,O,O,O
IOTZSLJ,X,O,O,O,O,O,X
IOTZSJL,X,O,O,O,O,O,O
IOLTJSZ,X,O,O,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X
IOLTSJZ,X,O,O,X,X,X,X
IOLTSZJ,X,O,O,X,X,X,X
IOLTZJS,O,O,O,X,X,X,X
IOLTZSJ,O,O,O,X,X,X,X
IOLJTSZ,X,O,O,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X
IOLJSTZ,O,O,O,X,X,X,X
IOLJSZT,O,X,O,O,X,X,X
IOLJZTS,O,O,O,O,X,X,O
IOLJZST,O,X,O,O,X,X,X
IOLSTJZ,O,O,O,X,X,X,X
IOLSTZJ,O,O,O,X,X,X,X
IOLSJTZ,O,O,O,X,X,X,X
IOLSJZT,O,X,O,O,X,X,X
IOLSZTJ,O,X,O,O,X,X,X
IOLSZJT,O,X,O,O,X,X,X
IOLZTJS,O,O,O,O,X,X,O
IOLZTSJ,O,O,O,O,X,X,X
IOLZJTS,O,O,O,O,X,X,O
IOLZJST,O,X,O,O,X,X,X
IOLZSTJ,O,X,O,O,X,X,X
IOLZSJT,O,X,O,O,X,X,X
IOJTLSZ,X,O,X,X,X,X,X
IOJTLZS,X,O,O,X,X,X,X
IOJTSLZ,X,O,X,X,X,X,X
IOJTSZL,X,O,O,O,X,X,X
IOJTZLS,X,O,O,O,X,X,O
IOJTZSL,X,O,O,O,O,O,O
IOJLTSZ,X,O,O,X,X,X,X
IOJLTZS,O,O,O,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X
IOJLSZT,O,X,O,O,X,X,X
IOJLZTS,O,O,O,O,X,X,O
IOJLZST,O,X,O,O,X,X,X
IOJSTLZ,O,O,X,X,X,X,X
IOJSTZL,O,O,O,O,O,X,X
IOJSLTZ,O,O,X,X,X,X,X
IOJSLZT,O,X,X,O,O,X,X
IOJSZTL,O,X,O,O,O,X,O
IOJSZLT,O,X,O,O,O,X,X
IOJZTLS,X,O,O,O,X,X,O
IOJZTSL,O,O,O,O,O,O,O
IOJZLTS,X,O,O,O,X,X,O
IOJZLST,X,X,O,O,X,X,X
IOJZSTL,O,X,O,O,O,O,O
IOJZSLT,O,X,O,O,O,O,X
IOSTLJZ,O,O,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,X
IOSTJZL,O,O,O,O,O,X,X
IOSTZLJ,O,O,O,O,O,X,X
IOSTZJL,O,O,O,O,O,X,X
IOSLTJZ,O,O,O,X,X,X,X
IOSLTZJ,O,O,O,X,X,X,X
IOSLJTZ,O,O,O,X,X,X,X
IOSLJZT,O,X,O,O,O,X,X
IOSLZTJ,O,X,O,O,O,X,X
IOSLZJT,O,X,O,O,O,X,X
IOSJTLZ,O,O,X,X,X,X,X
IOSJTZL,O,O,O,O,O,X,X
IOSJLTZ,O,O,X,X,X,X,X
IOSJLZT,O,X,X,O,O,X,X
IOSJZTL,O,X,O,O,O,X,O
IOSJZLT,O,X,O,O,O,X,X
IOSZTLJ,O,X,O,O,O,X,X
IOSZTJL,O,X,O,O,O,X,O
IOSZLTJ,O,X,O,O,O,X,X
IOSZLJT,O,X,O,O,O,X,X
IOSZJTL,O,X,O,O,O,X,O
IOSZJLT,O,X,O,O,O,X,X
IOZTLJS,X,O,O,O,X,X,O
IOZTLSJ,X,O,O,O,X,X,X
IOZTJLS,X,O,O,O,X,X,O
IOZTJSL,O,O,O,O,O,O,O
IOZTSLJ,O,O,O,O,O,O,X
IOZTSJL,O,O,O,O,O,O,O
IOZLTJS,O,O,O,O,X,X,O
IOZLTSJ,O,O,O,O,X,X,X
IOZLJTS,O,O,O,O,X,X,O
IOZLJST,O,X,O,O,X,X,X
IOZLSTJ,O,X,O,O,X,X,X
IOZLSJT,O,X,O,O,X,X,X
IOZJTLS,X,O,O,O,X,X,O
IOZJTSL,O,O,O,O,O,O,O
IOZJLTS,X,O,O,O,X,X,O
IOZJLST,X,X,O,O,X,X,X
IOZJSTL,O,X,O,O,O,O,O
IOZJSLT,O,X,O,O,O,O,X
IOZSTLJ,O,X,O,O,O,O,X
IOZSTJL,O,X,O,O,O,O,O
IOZSLTJ,O,X,O,O,O,O,X
IOZSLJT,O,X,O,O,O,O,X
IOZSJTL,O,X,O,O,O,O,O
IOZSJLT,O,X,O,O,O,O,X
LTIJSZO,O,O,O,X,X,X,X
LTIJSOZ,O,X,O,X,X,X,X
LTIJZSO,O,O,O,X,O,O,X
LTIJZOS,O,O,O,X,X,X,O
LTIJOSZ,X,O,O,X,X,X,X
LTIJOZS,O,O,O,X,X,X,X
LTISJZO,O,O,O,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X
LTISZJO,O,O,O,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X
LTISOJZ,O,X,O,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X
LTIZJSO,O,O,O,X,O,O,X
LTIZJOS,O,O,O,X,X,X,O
LTIZSJO,O,O,O,X,O,O,X
LTIZSOJ,O,O,O,X,O,O,X
LTIZOJS,O,O,O,X,X,X,O
LTIZOSJ,O,O,O,X,X,X,X
LTIOJSZ,X,O,O,X,X,X,X
LTIOJZS,O,O,O,X,X,X,X
LTIOSJZ,X,O,O,X,X,X,X
LTIOSZJ,X,O,O,X,X,X,X
LTIOZJS,O,O,O,X,X,X,X
LTIOZSJ,O,O,O,X,X,X,X
LTJISZO,O,O,O,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X
LTJIZSO,O,O,O,X,O,O,X
LTJIZOS,O,O,O,X,X,X,O
LTJIOSZ,X,O,O,X,X,X,X
LTJIOZS,O,O,O,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X
LTJSIOZ,O,X,O,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X
LTJSOZI,O,X,O,X,X,X,X
LTJZISO,O,O,O,X,O,O,X
LTJZIOS,O,O,O,X,X,X,O
LTJZSIO,O,O,O,X,O,O,X
LTJZSOI,O,O,O,X,O,O,X
LTJZOIS,O,O,O,X,X,X,O
LTJZOSI,O,O,O,X,X,X,X
LTJOISZ,X,O,O,X,X,X,X
LTJOIZS,O,O,O,X,X,X,X
LTJOSIZ,X,O,O,X,X,X,X
LTJOSZI,X,O,O,X,X,X,X
LTJOZIS,O,O,O,X,X,X,X
LTJOZSI,O,O,O,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X
LTSIOJZ,O,X,O,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,X
LTSJIZO,O,O,O,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X
LTSZOIJ,O,O,O,X,X,X,X
LTSZOJI,O,O,O,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X
LTSOJIZ,O,X,O,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X
LTSOZIJ,O,X,O,X,X,X,X
LTSOZJI,O,X,O,X,X,X,X
LTZIJSO,O,O,O,X,O,O,X
LTZIJOS,O,O,O,X,X,X,O
LTZISJO,O,O,O,X,O,O,X
LTZISOJ,O,O,O,X,O,O,X
LTZIOJS,O,O,O,X,X,X,O
LTZIOSJ,O,O,O,X,X,X,X
LTZJISO,O,O,O,X,O,O,X
LTZJIOS,O,O,O,X,X,X,O
LTZJSIO,O,O,O,X,O,O,X
LTZJSOI,O,O,O,X,O,O,X
LTZJOIS,O,O,O,X,X,X,O
LTZJOSI,O,O,O,X,X,X,X
LTZSIJO,O,O,O,X,O,O,X
LTZSIOJ,O,O,O,X,O,O,X
LTZSJIO,O,O,O,X,O,O,X
LTZSJOI,O,O,O,X,O,O,X
LTZSOIJ,O,O,O,X,O,O,X
LTZSOJI,O,O,O,X,O,O,X
LTZOIJS,O,O,O,X,X,X,O
LTZOISJ,O,O,O,X,X,X,X
LTZOJIS,O,O,O,X,X,X,O
LTZOJSI,O,O,O,X,X,X,X
LTZOSIJ,O,O,O,X,X,X,X
LTZOSJI,O,O,O,X,X,X,X
LTOIJSZ,X,O,O,X,X,X,X
LTOIJZS,O,O,O,X,X,X,X
LTOISJZ,X,O,O,X,X,X,X
LTOISZJ,X,O,O,X,X,X,X
LTOIZJS,O,O,O,X,X,X,X
LTOIZSJ,O,O,O,X,X,X,X
LTOJISZ,X,O,O,X,X,X,X
LTOJIZS,O,O,O,X,X,X,X
LTOJSIZ,X,O,O,X,X,X,X
LTOJSZI,X,O,O,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X
LTOJZSI,O,O,O,X,X,X,X
LTOSIJZ,X,O,O,X,X,X,X
LTOSIZJ,X,O,O,X,X,X,X
LTOSJIZ,X,O,O,X,X,X,X
LTOSJZI,X,O,O,X,X,X,X
LTOSZIJ,X,O,O,X,X,X,X
LTOSZJI,X,O,O,X,X,X,X
LTOZIJS,O,O,O,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X
LTOZJIS,O,O,O,X,X,X,X
LTOZJSI,O,O,O,X,X,X,X
LTOZSIJ,O,O,O,X,X,X,X
LTOZSJI,O,O,O,X,X,X,X
LITJSZO,O,O,O,X,X,X,X
LITJSOZ,O,X,O,X,X,X,X
LITJZSO,O,O,O,X,O,O,X
LITJZOS,O,O,O,X,X,X,O
LITJOSZ,X,O,O,X,X,X,X
LITJOZS,O,O,O,X,X,X,X
LITSJZO,O,O,O,X,X,X,X
LITSJOZ,O,X,O,X,X,X,X
LITSZJO,O,O,O,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X
LITSOJZ,O,X,O,X,X,X,X
LITSOZJ,O,X,O,X,X,X,X
LITZJSO,O,O,O,X,O,O,X
LITZJOS,O,O,O,X,X,X,O
LITZSJO,O,O,O,X,O,O,X
LITZSOJ,O,O,O,X,O,O,X
LITZOJS,O,O,O,X,X,X,O
LITZOSJ,O,O,O,X,X,X,X
LITOJSZ,X,O,O,X,X,X,X
LITOJZS,O,O,O,X,X,X,X
LITOSJZ,X,O,O,X,X,X,X
LITOSZJ,X,O,O,X,X,X,X
LITOZJS,O,O,O,X,X,X,X
LITOZSJ,O,O,O,X,X,X,X
LIJTSZO,O,O,O,X,X,X,X
LIJTSOZ,O,X,O,X,X,X,X
LIJTZSO,O,O,O,X,O,O,X
LIJTZOS,O,O,O,X,X,X,O
LIJTOSZ,X,O,O,X,X,X,X
LIJTOZS,O,O,O,X,X,X,X
LIJSTZO,O,X,O,X,X,X,X
LIJSTOZ,O,X,O,X,X,X,X
LIJSZTO,O,X,O,X,O,X,X
LIJSZOT,O,X,O,X,O,X,X
LIJSOTZ,O,X,O,X,X,X,X
LIJSOZT,O,X,O,O,O,X,X
LIJZTSO,O,X,O,X,O,O,X
LIJZTOS,O,X,O,X,X,X,O
LIJZSTO,O,X,O,X,O,O,X
LIJZSOT,O,X,O,X,O,O,X
LIJZOTS,O,X,O,O,X,X,O
LIJZOST,O,X,O,O,X,X,X
LIJOTSZ,X,O,O,X,X,X,X
LIJOTZS,O,O,O,X,X,X,X
LIJOSTZ,O,O,O,X,X,X,X
LIJOSZT,O,X,O,O,X,X,X
LIJOZTS,O,O,O,O,X,X,O
LIJOZST,O,X,O,O,X,X,X
LISTJZO,O,X,O,X,X,X,X
LISTJOZ,O,X,O,X,X,X,X
LISTZJO,O,X,O,X,X,X,X
LISTZOJ,O,X,O,X,X,X,X
LISTOJZ,O,X,O,X,X,X,X
LISTOZJ,O,X,O,X,X,X,X
LISJTZO,O,X,O,X,X,X,X
LISJTOZ,O,X,O,X,X,X,X
LISJZTO,O,X,O,X,O,X,X
LISJZOT,O,X,O,X,O,X,X
LISJOTZ,O,X,O,X,X,X,X
LISJOZT,O,X,O,O,O,X,X
LISZTJO,O,X,O,X,O,X,X
LISZTOJ,O,X,O,X,O,X,X
LISZJTO,O,X,O,X,O,X,X
LISZJOT,O,X,O,X,O,X,X
LISZOTJ,O,X,O,X,O,X,X
LISZOJT,O,X,O,X,O,X,X
LISOTJZ,O,X,O,X,X,X,X
LISOTZJ,O,X,O,X,X,X,X
LISOJTZ,O,X,O,X,X,X,X
LISOJZT,O,X,O,O,O,X,X
LISOZTJ,O,X,O,O,O,X,X
LISOZJT,O,X,O,O,O,X,X
LIZTJSO,O,X,O,X,O,O,X
LIZTJOS,O,X,O,X,X,X,O
LIZTSJO,O,X,O,X,O,O,X
LIZTSOJ,O,X,O,X,O,O,X
LIZTOJS,O,X,O,X,X,X,O
LIZTOSJ,O,X,O,X,X,X,X
LIZJTSO,O,X,O,X,O,O,X
LIZJTOS,O,X,O,X,X,X,O
LIZJSTO,O,X,O,X,O,O,X
LIZJSOT,O,X,O,X,O,O,X
LIZJOTS,O,X,O,O,X,X,O
LIZJOST,O,X,O,O,X,X,X
LIZSTJO,O,X,O,X,O,O,X
LIZSTOJ,O,X,O,X,O,O,X
LIZSJTO,O,X,O,X,O,O,X
LIZSJOT,O,X,O,X,O,O,X
LIZSOTJ,O,X,O,X,O,O,X
LIZSOJT,O,X,O,X,O,O,X
LIZOTJS,O,X,O,O,X,X,O
LIZOTSJ,O,X,O,O,X,X,X
LIZOJTS,O,X,O,O,X,X,O
LIZOJST,O,X,O,O,X,X,X
LIZOSTJ,O,X,O,O,X,X,X
LIZOSJT,O,X,O,O,X,X,X
LIOTJSZ,X,O,O,X,X,X,X
LIOTJZS,O,O,O,X,X,X,X
LIOTSJZ,X,O,O,X,X,X,X
LIOTSZJ,X,O,O,X,X,X,X
LIOTZJS,O,O,O,X,X,X,X
LIOTZSJ,O,O,O,X,X,X,X
LIOJTSZ,X,O,O,X,X,X,X
LIOJTZS,O,O,O,X,X,X,X
LIOJSTZ,O,O,O,X,X,X,X
LIOJSZT,O,X,O,O,X,X,X
LIOJZTS,O,O,O,O,X,X,O
LIOJZST,O,X,O,O,X,X,X
LIOSTJZ,O,O,O,X,X,X,X
LIOSTZJ,O,O,O,X,X,X,X
LIOSJTZ,O,O,O,X,X,X,X
LIOSJZT,O,X,O,O,X,X,X
LIOSZTJ,O,X,O,O,X,X,X
LIOSZJT,O,X,O,O,X,X,X
LIOZTJS,O,O,O,O,X,X,O
LIOZTSJ,O,O,O,O,X,X,X
LIOZJTS,O,O,O,O,X,X,O
LIOZJST,O,X,O,O,X,X,X
LIOZSTJ,O,X,O,O,X,X,X
LIOZSJT,O,X,O,O,X,X,X
LJTISZO,O,O,O,X,X,X,X
LJTISOZ,O,X,O,X,X,X,X
LJTIZSO,O,O,O,X,O,O,X
LJTIZOS,O,O,O,X,X,X,O
LJTIOSZ,X,O,O,X,X,X,X
LJTIOZS,O,O,O,X,X,X,X
LJTSIZO,O,O,O,X,X,X,X
LJTSIOZ,O,X,O,X,X,X,X
LJTSZIO,O,O,O,X,X,X,X
LJTSZOI,O,O,O,X,X,X,X
LJTSOIZ,O,X,O,X,X,X,X
LJTSOZI,O,X,O,X,X,X,X
LJTZISO,O,O,O,X,O,O,X
LJTZIOS,O,O,O,X,X,X,O
LJTZSIO,O,O,O,X,O,O,X
LJTZSOI,O,O,O,X,O,O,X
LJTZOIS,O,O,O,X,X,X,O
LJTZOSI,O,O,O,X,X,X,X
LJTOISZ,X,O,O,X,X,X,X
LJTOIZS,O,O,O,X,X,X,X
LJTOSIZ,X,O,O,X,X,X,X
LJTOSZI,X,O,O,X,X,X,X
LJTOZIS,O,O,O,X,X,X,X
LJTOZSI,O,O,O,X,X,X,X
LJITSZO,O,O,O,X,X,X,X
LJITSOZ,O,X,O,X,X,X,X
LJITZSO,O,O,O,X,O,O,X
LJITZOS,O,O,O,X,X,X,O
LJITOSZ,X,O,O,X,X,X,X
LJITOZS,O,O,O,X,X,X,X
LJISTZO,O,X,O,X,X,X,X
LJISTOZ,O,X,O,X,X,X,X
LJISZTO,O,X,O,X,O,X,X
LJISZOT,O,X,O,X,O,X,X
LJISOTZ,O,X,O,X,X,X,X
LJISOZT,O,X,O,O,O,X,X
LJIZTSO,O,X,O,X,O,O,X
LJIZTOS,O,X,O,X,X,X,O
LJIZSTO,O,X,O,X,O,O,X
LJIZSOT,O,X,O,X,O,O,X
LJIZOTS,O,X,O,O,X,X,O
LJIZOST,O,X,O,O,X,X,X
LJIOTSZ,X,O,O,X,X,X,X
LJIOTZS,O,O,O,X,X,X,X
LJIOSTZ,O,O,O,X,X,X,X
LJIOSZT,O,X,O,O,X,X,X
LJIOZTS,O,O,O,O,X,X,O
LJIOZST,O,X,O,O,X,X,X
LJSTIZO,O,X,O,X,X,X,X
LJSTIOZ,O,X,O,X,X,X,X
LJSTZIO,O,X,O,X,X,X,X
LJSTZOI,O,X,O,X,X,X,X
LJSTOIZ,O,X,O,X,X,X,X
LJSTOZI,O,X,O,X,X,X,X
LJSITZO,O,X,O,X,X,X,X
LJSITOZ,O,X,O,X,X,X,X
LJSIZTO,O,X,O,X,O,X,X
LJSIZOT,O,X,O,X,O,X,X
LJSIOTZ,O,X,O,X,X,X,X
