sequence,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhF+gBZhBUdBf?nBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcBXiBllBU?qBirBGrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUdBFhBSqBz?mBmlBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcB3gBcmBO?nBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFZhBUdBfnBT?gBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcB3gBCiBe?rB8rBFqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUdBFhBzmBR?qBWwBiqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhF+gBFiBUqBR?rB/rBirB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhF0bBFiBSqBT?mBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeaBJvhFUdBFgBfnBW?rBzkBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFugBxhB3hBV?qB8rByvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUhBFiBSqBm?lBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeG7IvhFicBFiBXlBR?rBTrBUqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeG8IvhFFgB8lBXiBz?kByrBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeC7IvhF8gBelBFiBX?mBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je3AJvhFFiB0mBzkBG?lBimBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhF0bBlcBOnBS?qBTmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFKhBFiBTgBU?qBRrB3rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeGAJvhFxhBamBzhBV?qB3rBUqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU7IvhFFiBxlBamBf?qBzmBWwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefBJvhFUgBFiBSrBz?kBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFKhBFiB0lBX?lBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeSAJvhF/mBFiB0lBz?kBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU7IvhFRcB2mB6qBf?qBFnBTrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcBFiBGqBi?rBcqB/rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je+AJvhFKhBFiBzkBR?rBUqB3rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je2AJvhFFiBxlBqkBz?mBUrB3qB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeyAJvhFFiBxlBfqBz?mBUrBGqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je2AJvhFFiBxlBqkBz?mB3qBUrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU8IvhFFgBOnBCmBz?kB3mBxvB
TIJLSZO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
TIJLSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJLZSO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
TIJLZOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TIJLOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TIJSLZO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TIJSLOZ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
TIJSZOL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O
TIJZLOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TIJZSLO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
TIJZSOL,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TIJZOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJOSLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TISLJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X
TISLZJO,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TISLZOJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISLOZJ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TISJLOZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TISJZLO,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
TISJZOL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,O,X,X,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X
TISZLOJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,X,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZLJOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TIZLSJO,X,X,X,X,X,O,X,O,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X
TIZLSOJ,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIZLOJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O
TIZJLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O
TIZJSLO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O
TIZJSOL,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZJOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X
TIZSLOJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIZSJLO,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TIZSJOL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIZSOJL,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIZOSJL,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOJSLZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJZSL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
TLIJSOZ,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
TLIJZOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TLIJOSZ,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TLISJZO,O,O,X,X,O,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIZSJO,O,X,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIZOJS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJZS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLJISOZ,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLJIZOS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJIOSZ,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TLJSIZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJSIOZ,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJSZIO,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSZOI,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSOIZ,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSOZI,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
