sequence,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8JeT6IvhF6hBmdB?5jBXgBdmB0qB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jei6IvhFtgBmdB?5jBzfBcmBXrB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8JeT6IvhFegBtgB?xdBcmB6oBXrB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jem6IvhF9hBxdB?0fBfmB6oBzqB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Je//IvhFUbB9hB?xdB6oBmlBzqB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jey/IvhF9hBmdB?5jBfmB0kBzqB
TOJSLIZ,O,O,O,X,O,O
TOJSLZI,O,O,O,X,O,X
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,O,X,O,X
TOJZILS,O,O,O,X,X,X
TOJZISL,X,O,X,X,X,X
TOJZLIS,O,O,O,X,X,X
TOJZLSI,O,O,O,X,X,X
TOJZSIL,X,O,X,X,X,X
TOJZSLI,X,O,O,X,X,X
TOSILJZ,O,O,X,X,X,O
TOSILZJ,O,O,X,X,X,X
TOSIJLZ,O,O,X,X,X,O
TOSIJZL,O,O,X,X,X,X
TOSIZLJ,O,O,X,X,X,X
TOSIZJL,O,O,X,X,X,X
TOSLIJZ,O,O,X,X,O,O
TOSLIZJ,O,O,X,O,O,X
TOSLJIZ,O,O,X,X,O,O
TOSLJZI,O,O,X,X,O,X
TOSLZIJ,O,O,X,O,O,X
TOSLZJI,O,O,X,O,O,X
TOSJILZ,O,O,X,X,X,O
TOSJIZL,O,O,X,X,X,X
TOSJLIZ,O,O,X,X,O,O
TOSJLZI,O,O,X,X,O,X
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,X,O,X
TOSZILJ,O,O,X,X,X,X
TOSZIJL,O,O,X,X,X,X
TOSZLIJ,O,O,X,O,O,X
TOSZLJI,O,O,X,O,O,X
TOSZJIL,O,O,X,X,X,X
TOSZJLI,O,O,X,O,X,X
TOZILJS,O,O,X,X,X,X
TOZILSJ,O,O,X,X,X,X
TOZIJLS,O,O,X,X,X,X
TOZIJSL,X,O,X,X,X,X
TOZISLJ,X,O,X,X,X,X
TOZISJL,X,O,X,X,X,X
TOZLIJS,O,O,O,O,X,X
TOZLISJ,O,O,X,O,X,X
TOZLJIS,O,O,O,O,X,X
TOZLJSI,O,O,O,O,X,X
TOZLSIJ,O,O,X,O,X,X
TOZLSJI,O,O,X,O,X,X
TOZJILS,O,O,O,X,X,X
TOZJISL,X,O,X,X,X,X
TOZJLIS,O,O,O,O,X,X
TOZJLSI,O,O,O,O,X,X
TOZJSIL,X,O,X,X,X,X
TOZJSLI,X,O,O,O,X,X
TOZSILJ,X,O,X,X,X,X
TOZSIJL,X,O,X,X,X,X
TOZSLIJ,X,O,X,O,X,X
TOZSLJI,X,O,X,O,X,X
TOZSJIL,X,O,X,X,X,X
TOZSJLI,X,O,X,O,X,X
ITLJSZO,O,X,O,O,O,O
ITLJSOZ,O,X,O,X,O,O
ITLJZSO,O,X,O,O,O,O
ITLJZOS,O,O,O,O,X,X
ITLJOSZ,O,O,O,X,O,O
ITLJOZS,O,O,O,X,X,X
ITLSJZO,O,X,O,O,O,O
ITLSJOZ,O,X,O,X,O,O
ITLSZJO,O,X,O,O,O,O
ITLSZOJ,O,X,X,O,O,X
ITLSOJZ,O,X,X,X,O,O
ITLSOZJ,O,X,X,O,O,X
ITLZJSO,O,X,O,O,O,O
ITLZJOS,O,O,O,O,X,X
ITLZSJO,O,X,O,O,O,O
ITLZSOJ,O,X,X,O,O,X
ITLZOJS,O,O,O,O,X,X
ITLZOSJ,O,O,X,O,X,X
ITLOJSZ,O,O,O,X,O,O
ITLOJZS,O,O,O,X,X,X
ITLOSJZ,O,O,X,X,O,O
ITLOSZJ,O,O,X,O,O,X
ITLOZJS,O,O,O,O,X,X
ITLOZSJ,O,O,X,O,X,X
ITJLSZO,O,X,O,X,O,O
ITJLSOZ,O,X,O,X,O,O
ITJLZSO,O,X,O,X,O,O
ITJLZOS,O,O,O,X,X,X
ITJLOSZ,O,O,O,X,O,O
ITJLOZS,O,O,O,X,X,X
ITJSLZO,O,X,X,X,O,O
ITJSLOZ,O,X,X,X,O,O
ITJSZLO,O,X,X,X,O,O
ITJSZOL,O,O,X,X,X,X
ITJSOLZ,O,O,X,X,X,O
ITJSOZL,O,O,X,X,X,X
ITJZLSO,O,X,O,X,X,O
ITJZLOS,O,O,O,X,X,X
ITJZSLO,O,X,X,X,X,O
ITJZSOL,O,O,X,X,X,X
ITJZOLS,O,O,O,X,X,X
ITJZOSL,X,O,X,X,X,X
ITJOLSZ,O,O,O,X,X,O
ITJOLZS,O,O,O,X,X,X
ITJOSLZ,O,O,X,X,X,O
ITJOSZL,O,O,X,X,X,X
ITJOZLS,O,O,O,X,X,X
ITJOZSL,X,O,X,X,X,X
ITSLJZO,O,X,X,O,O,O
ITSLJOZ,O,X,X,X,O,O
ITSLZJO,O,X,X,O,O,O
ITSLZOJ,O,X,X,O,O,X
ITSLOJZ,O,X,X,X,O,O
ITSLOZJ,O,X,X,O,O,X
ITSJLZO,O,X,X,X,O,O
ITSJLOZ,O,X,X,X,O,O
ITSJZLO,O,X,X,X,O,O
ITSJZOL,O,O,X,X,X,X
ITSJOLZ,O,O,X,X,X,O
ITSJOZL,O,O,X,X,X,X
ITSZLJO,O,X,X,O,O,O
ITSZLOJ,O,X,X,O,O,X
ITSZJLO,O,X,X,O,X,O
ITSZJOL,O,O,X,X,X,X
ITSZOLJ,O,O,X,X,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,O,O,X,X,X,O
ITSOLZJ,O,O,X,X,X,X
ITSOJLZ,O,O,X,X,X,O
ITSOJZL,O,O,X,X,X,X
ITSOZLJ,O,O,X,X,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,X,O,O,X,O
ITZLJOS,O,O,O,O,X,X
ITZLSJO,O,X,O,O,X,O
ITZLSOJ,O,X,X,O,X,X
ITZLOJS,O,O,O,O,X,X
ITZLOSJ,O,O,X,O,X,X
ITZJLSO,O,X,O,O,X,O
ITZJLOS,O,O,O,O,X,X
ITZJSLO,O,X,X,O,X,O
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,O,O,X,X,X
ITZJOSL,X,O,X,X,X,X
ITZSLJO,O,X,X,O,X,O
ITZSLOJ,O,X,X,O,X,X
ITZSJLO,O,X,X,O,X,O
ITZSJOL,O,O,X,X,X,X
ITZSOLJ,O,O,X,X,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,O,X,X,X,X
ITZOLSJ,O,O,X,X,X,X
ITZOJLS,O,O,X,X,X,X
ITZOJSL,X,O,X,X,X,X
ITZOSLJ,X,O,X,X,X,X
ITZOSJL,X,O,X,X,X,X
ITOLJSZ,O,O,X,X,X,O
ITOLJZS,O,O,X,X,X,X
ITOLSJZ,O,O,X,X,X,O
ITOLSZJ,O,O,X,X,X,X
ITOLZJS,O,O,X,X,X,X
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,O,O,X,X,X,O
ITOJLZS,O,O,X,X,X,X
ITOJSLZ,O,O,X,X,X,O
ITOJSZL,O,O,X,X,X,X
ITOJZLS,O,O,X,X,X,X
ITOJZSL,X,O,X,X,X,X
ITOSLJZ,O,O,X,X,X,O
ITOSLZJ,O,O,X,X,X,X
ITOSJLZ,O,O,X,X,X,O
ITOSJZL,O,O,X,X,X,X
ITOSZLJ,O,O,X,X,X,X
ITOSZJL,O,O,X,X,X,X
ITOZLJS,O,O,X,X,X,X
ITOZLSJ,O,O,X,X,X,X
ITOZJLS,O,O,X,X,X,X
ITOZJSL,X,O,X,X,X,X
ITOZSLJ,X,O,X,X,X,X
ITOZSJL,X,O,X,X,X,X
ILTJSZO,O,X,O,O,O,O
ILTJSOZ,O,X,O,X,O,O
ILTJZSO,O,X,O,O,O,O
ILTJZOS,O,O,O,O,X,X
ILTJOSZ,O,O,O,X,O,O
ILTJOZS,O,O,O,X,X,X
ILTSJZO,O,X,O,O,O,O
ILTSJOZ,O,X,O,X,O,O
ILTSZJO,O,X,O,O,O,O
ILTSZOJ,O,X,X,O,O,X
ILTSOJZ,O,X,X,X,O,O
ILTSOZJ,O,X,X,O,O,X
ILTZJSO,O,X,O,O,O,O
ILTZJOS,O,O,O,O,X,X
ILTZSJO,O,X,O,O,O,O
ILTZSOJ,O,X,X,O,O,X
ILTZOJS,O,O,O,O,X,X
ILTZOSJ,O,O,X,O,X,X
ILTOJSZ,O,O,O,X,O,O
ILTOJZS,O,O,O,X,X,X
ILTOSJZ,O,O,X,X,O,O
ILTOSZJ,O,O,X,O,O,X
ILTOZJS,O,O,O,O,X,X
ILTOZSJ,O,O,X,O,X,X
ILJTSZO,O,X,O,O,O,O
ILJTSOZ,O,X,O,X,O,O
ILJTZSO,O,X,O,O,O,O
ILJTZOS,O,O,O,O,X,X
ILJTOSZ,O,O,O,X,O,O
ILJTOZS,O,O,O,X,X,X
ILJSTZO,O,X,O,O,O,O
ILJSTOZ,O,X,O,X,O,O
ILJSZTO,X,X,O,O,O,O
ILJSZOT,X,X,O,O,O,X
ILJSOTZ,O,O,O,X,O,O
ILJSOZT,X,O,O,X,O,X
ILJZTSO,O,X,O,O,O,O
ILJZTOS,O,O,O,O,X,X
ILJZSTO,X,X,O,O,O,O
ILJZSOT,X,X,O,O,O,X
ILJZOTS,O,O,O,O,X,X
ILJZOST,X,O,O,O,X,X
ILJOTSZ,O,O,O,X,O,O
ILJOTZS,O,O,O,X,X,X
ILJOSTZ,O,O,O,X,O,O
ILJOSZT,X,O,O,X,O,X
ILJOZTS,O,O,O,X,X,X
ILJOZST,X,O,O,X,X,X
ILSTJZO,O,X,O,O,O,O
ILSTJOZ,O,X,O,X,O,O
ILSTZJO,O,X,O,O,O,O
ILSTZOJ,O,X,X,O,O,X
ILSTOJZ,O,X,X,X,O,O
ILSTOZJ,O,X,X,O,O,X
ILSJTZO,O,X,O,O,O,O
ILSJTOZ,O,X,O,X,O,O
ILSJZTO,X,X,O,O,O,O
ILSJZOT,X,X,O,O,O,X
ILSJOTZ,O,O,O,X,O,O
ILSJOZT,X,O,O,X,O,X
ILSZTJO,X,X,O,O,O,O
ILSZTOJ,X,X,X,O,O,X
ILSZJTO,X,X,O,O,O,O
ILSZJOT,X,X,O,O,O,X
ILSZOTJ,X,X,X,O,O,X
ILSZOJT,X,X,O,O,O,X
ILSOTJZ,O,O,X,X,O,O
ILSOTZJ,O,O,X,O,O,X
ILSOJTZ,O,O,O,X,O,O
ILSOJZT,X,O,O,X,O,X
ILSOZTJ,X,O,X,O,O,X
ILSOZJT,X,O,O,O,O,X
ILZTJSO,O,X,O,O,O,O
ILZTJOS,O,O,O,O,X,X
ILZTSJO,O,X,O,O,O,O
ILZTSOJ,O,X,X,O,O,X
ILZTOJS,O,O,O,O,X,X
ILZTOSJ,O,O,X,O,X,X
ILZJTSO,O,X,O,O,O,O
ILZJTOS,O,O,O,O,X,X
ILZJSTO,X,X,O,O,O,O
ILZJSOT,X,X,O,O,O,X
ILZJOTS,O,O,O,O,X,X
ILZJOST,X,O,O,O,X,X
ILZSTJO,X,X,O,O,O,O
ILZSTOJ,X,X,X,O,O,X
ILZSJTO,X,X,O,O,O,O
ILZSJOT,X,X,O,O,O,X
ILZSOTJ,X,X,X,O,O,X
ILZSOJT,X,X,O,O,O,X
ILZOTJS,O,O,O,O,X,X
ILZOTSJ,O,O,X,O,X,X
ILZOJTS,O,O,O,O,X,X
ILZOJST,X,O,O,O,X,X
ILZOSTJ,X,O,X,O,X,X
ILZOSJT,X,O,O,O,X,X
ILOTJSZ,O,O,O,X,O,O
ILOTJZS,O,O,O,X,X,X
ILOTSJZ,O,O,X,X,O,O
ILOTSZJ,O,O,X,O,O,X
ILOTZJS,O,O,O,O,X,X
ILOTZSJ,O,O,X,O,X,X
ILOJTSZ,O,O,O,X,O,O
ILOJTZS,O,O,O,X,X,X
ILOJSTZ,O,O,O,X,O,O
ILOJSZT,X,O,O,X,O,X
ILOJZTS,O,O,O,X,X,X
ILOJZST,X,O,O,X,X,X
ILOSTJZ,O,O,X,X,O,O
ILOSTZJ,O,O,X,O,O,X
ILOSJTZ,O,O,O,X,O,O
ILOSJZT,X,O,O,X,O,X
ILOSZTJ,X,O,X,O,O,X
ILOSZJT,X,O,O,O,O,X
ILOZTJS,O,O,O,O,X,X
ILOZTSJ,O,O,X,O,X,X
ILOZJTS,O,O,O,O,X,X
ILOZJST,X,O,O,O,X,X
ILOZSTJ,X,O,X,O,X,X
ILOZSJT,X,O,O,O,X,X
IJTLSZO,O,X,O,X,O,O
IJTLSOZ,O,X,O,X,O,O
IJTLZSO,O,X,O,X,O,O
IJTLZOS,O,O,O,X,X,X
IJTLOSZ,O,O,O,X,O,O
IJTLOZS,O,O,O,X,X,X
IJTSLZO,O,X,X,X,O,O
IJTSLOZ,O,X,X,X,O,O
IJTSZLO,O,X,X,X,O,O
IJTSZOL,O,O,X,X,X,X
IJTSOLZ,O,O,X,X,X,O
IJTSOZL,O,O,X,X,X,X
IJTZLSO,O,X,O,X,X,O
IJTZLOS,O,O,O,X,X,X
IJTZSLO,O,X,X,X,X,O
IJTZSOL,O,O,X,X,X,X
IJTZOLS,O,O,O,X,X,X
IJTZOSL,X,O,X,X,X,X
IJTOLSZ,O,O,O,X,X,O
IJTOLZS,O,O,O,X,X,X
IJTOSLZ,O,O,X,X,X,O
IJTOSZL,O,O,X,X,X,X
IJTOZLS,O,O,O,X,X,X
IJTOZSL,X,O,X,X,X,X
IJLTSZO,O,X,O,X,O,O
IJLTSOZ,O,X,O,X,O,O
IJLTZSO,O,X,O,X,O,O
IJLTZOS,O,O,O,X,X,X
IJLTOSZ,O,O,O,X,O,O
IJLTOZS,O,O,O,X,X,X
IJLSTZO,O,X,O,X,O,O
IJLSTOZ,O,X,O,X,O,O
IJLSZTO,X,X,O,X,O,O
IJLSZOT,X,X,O,X,O,X
IJLSOTZ,O,O,O,X,O,O
IJLSOZT,X,O,O,X,O,X
IJLZTSO,O,X,O,X,O,O
IJLZTOS,O,O,O,X,X,X
IJLZSTO,X,X,O,X,O,O
IJLZSOT,X,X,O,X,O,X
IJLZOTS,O,O,O,X,X,X
IJLZOST,X,O,O,X,X,X
IJLOTSZ,O,O,O,X,O,O
IJLOTZS,O,O,O,X,X,X
IJLOSTZ,O,O,O,X,O,O
IJLOSZT,X,O,O,X,O,X
IJLOZTS,O,O,O,X,X,X
IJLOZST,X,O,O,X,X,X
IJSTLZO,O,X,X,X,O,O
IJSTLOZ,O,X,X,X,O,O
IJSTZLO,O,X,X,X,O,O
IJSTZOL,O,O,X,X,X,X
IJSTOLZ,O,O,X,X,X,O
IJSTOZL,O,O,X,X,X,X
IJSLTZO,O,X,X,X,O,O
IJSLTOZ,O,X,X,X,O,O
IJSLZTO,X,X,X,X,O,O
IJSLZOT,X,X,X,X,O,X
IJSLOTZ,O,O,X,X,O,O
IJSLOZT,X,O,X,X,O,X
IJSZTLO,O,X,X,X,O,O
IJSZTOL,O,O,X,X,X,X
IJSZLTO,X,X,X,X,O,O
IJSZLOT,X,X,X,X,O,X
IJSZOTL,O,O,X,X,X,X
IJSZOLT,X,O,X,X,X,X
IJSOTLZ,O,O,X,X,X,O
IJSOTZL,O,O,X,X,X,X
IJSOLTZ,O,O,X,X,X,O
IJSOLZT,X,O,X,X,X,X
IJSOZTL,O,O,X,X,X,X
IJSOZLT,X,O,X,X,X,X
IJZTLSO,O,X,O,X,X,O
IJZTLOS,O,O,O,X,X,X
IJZTSLO,O,X,X,X,X,O
IJZTSOL,O,O,X,X,X,X
IJZTOLS,O,O,O,X,X,X
IJZTOSL,X,O,X,X,X,X
IJZLTSO,O,X,O,X,X,O
IJZLTOS,O,O,O,X,X,X
IJZLSTO,X,X,O,X,X,O
IJZLSOT,X,X,O,X,X,X
IJZLOTS,O,O,O,X,X,X
IJZLOST,X,O,O,X,X,X
IJZSTLO,O,X,X,X,X,O
IJZSTOL,O,O,X,X,X,X
IJZSLTO,X,X,X,X,X,O
IJZSLOT,X,X,X,X,X,X
IJZSOTL,O,O,X,X,X,X
IJZSOLT,X,O,X,X,X,X
IJZOTLS,O,O,O,X,X,X
IJZOTSL,X,O,X,X,X,X
IJZOLTS,O,O,O,X,X,X
IJZOLST,X,O,O,X,X,X
IJZOSTL,O,O,X,X,X,X
IJZOSLT,X,O,X,X,X,X
IJOTLSZ,O,O,O,X,X,O
IJOTLZS,O,O,O,X,X,X
IJOTSLZ,O,O,X,X,X,O
IJOTSZL,O,O,X,X,X,X
IJOTZLS,O,O,O,X,X,X
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,O,O,O,X,X,O
IJOLTZS,O,O,O,X,X,X
IJOLSTZ,O,O,O,X,X,O
IJOLSZT,X,O,O,X,X,X
IJOLZTS,O,O,O,X,X,X
IJOLZST,X,O,O,X,X,X
IJOSTLZ,O,O,X,X,X,O
IJOSTZL,O,O,X,X,X,X
IJOSLTZ,O,O,X,X,X,O
IJOSLZT,X,O,X,X,X,X
IJOSZTL,O,O,X,X,X,X
IJOSZLT,X,O,X,X,X,X
IJOZTLS,O,O,O,X,X,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,O,O,O,X,X,X
IJOZLST,X,O,O,X,X,X
IJOZSTL,O,O,X,X,X,X
IJOZSLT,X,O,X,X,X,X
ISTLJZO,O,X,X,O,O,O
ISTLJOZ,O,X,X,X,O,O
ISTLZJO,O,X,X,O,O,O
ISTLZOJ,O,X,X,O,O,X
ISTLOJZ,O,X,X,X,O,O
ISTLOZJ,O,X,X,O,O,X
ISTJLZO,O,X,X,X,O,O
ISTJLOZ,O,X,X,X,O,O
ISTJZLO,O,X,X,X,O,O
ISTJZOL,O,O,X,X,X,X
ISTJOLZ,O,O,X,X,X,O
ISTJOZL,O,O,X,X,X,X
ISTZLJO,O,X,X,O,O,O
ISTZLOJ,O,X,X,O,O,X
ISTZJLO,O,X,X,O,X,O
ISTZJOL,O,O,X,X,X,X
ISTZOLJ,O,O,X,X,X,X
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,O,O,X,X,X,O
ISTOLZJ,O,O,X,X,X,X
ISTOJLZ,O,O,X,X,X,O
ISTOJZL,O,O,X,X,X,X
ISTOZLJ,O,O,X,X,X,X
ISTOZJL,O,O,X,X,X,X
ISLTJZO,O,X,X,O,O,O
ISLTJOZ,O,X,X,X,O,O
ISLTZJO,O,X,X,O,O,O
ISLTZOJ,O,X,X,O,O,X
ISLTOJZ,O,X,X,X,O,O
ISLTOZJ,O,X,X,O,O,X
ISLJTZO,O,X,X,O,O,O
ISLJTOZ,O,X,X,X,O,O
ISLJZTO,X,X,X,O,O,O
ISLJZOT,X,X,X,O,O,X
ISLJOTZ,O,O,X,X,O,O
ISLJOZT,X,O,X,X,O,X
ISLZTJO,X,X,X,O,O,O
ISLZTOJ,X,X,X,O,O,X
ISLZJTO,X,X,X,O,O,O
ISLZJOT,X,X,X,O,O,X
ISLZOTJ,X,X,X,O,O,X
ISLZOJT,X,X,X,O,O,X
ISLOTJZ,O,O,X,X,O,O
ISLOTZJ,O,O,X,O,O,X
ISLOJTZ,O,O,X,X,O,O
ISLOJZT,X,O,X,X,O,X
ISLOZTJ,X,O,X,O,O,X
ISLOZJT,X,O,X,O,O,X
ISJTLZO,O,X,X,X,O,O
ISJTLOZ,O,X,X,X,O,O
ISJTZLO,O,X,X,X,O,O
ISJTZOL,O,O,X,X,X,X
ISJTOLZ,O,O,X,X,X,O
ISJTOZL,O,O,X,X,X,X
ISJLTZO,O,X,X,X,O,O
ISJLTOZ,O,X,X,X,O,O
ISJLZTO,X,X,X,X,O,O
ISJLZOT,X,X,X,X,O,X
ISJLOTZ,O,O,X,X,O,O
ISJLOZT,X,O,X,X,O,X
ISJZTLO,O,X,X,X,O,O
ISJZTOL,O,O,X,X,X,X
ISJZLTO,X,X,X,X,O,O
ISJZLOT,X,X,X,X,O,X
ISJZOTL,O,O,X,X,X,X
ISJZOLT,X,O,X,X,X,X
ISJOTLZ,O,O,X,X,X,O
ISJOTZL,O,O,X,X,X,X
ISJOLTZ,O,O,X,X,X,O
ISJOLZT,X,O,X,X,X,X
ISJOZTL,O,O,X,X,X,X
ISJOZLT,X,O,X,X,X,X
ISZTLJO,O,X,X,O,O,O
ISZTLOJ,O,X,X,O,O,X
ISZTJLO,O,X,X,O,X,O
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,O,X,X,X,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,X,X,X,O,O,O
ISZLTOJ,X,X,X,O,O,X
ISZLJTO,X,X,X,O,O,O
ISZLJOT,X,X,X,O,O,X
ISZLOTJ,X,X,X,O,O,X
ISZLOJT,X,X,X,O,O,X
ISZJTLO,O,X,X,O,O,O
ISZJTOL,O,O,X,X,X,X
ISZJLTO,X,X,X,O,O,O
ISZJLOT,X,X,X,O,O,X
ISZJOTL,O,O,X,X,X,X
ISZJOLT,X,O,X,X,X,X
ISZOTLJ,O,O,X,X,X,X
ISZOTJL,O,O,X,X,X,X
ISZOLTJ,X,O,X,X,X,X
ISZOLJT,X,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X
ISZOJLT,X,O,X,X,X,X
ISOTLJZ,O,O,X,X,X,O
ISOTLZJ,O,O,X,X,X,X
ISOTJLZ,O,O,X,X,X,O
ISOTJZL,O,O,X,X,X,X
ISOTZLJ,O,O,X,X,X,X
ISOTZJL,O,O,X,X,X,X
ISOLTJZ,O,O,X,X,X,O
ISOLTZJ,O,O,X,X,X,X
ISOLJTZ,O,O,X,X,X,O
ISOLJZT,X,O,X,X,X,X
ISOLZTJ,X,O,X,X,X,X
ISOLZJT,X,O,X,X,X,X
ISOJTLZ,O,O,X,X,X,O
ISOJTZL,O,O,X,X,X,X
ISOJLTZ,O,O,X,X,X,O
ISOJLZT,X,O,X,X,X,X
ISOJZTL,O,O,X,X,X,X
ISOJZLT,X,O,X,X,X,X
ISOZTLJ,O,O,X,X,X,X
ISOZTJL,O,O,X,X,X,X
ISOZLTJ,X,O,X,X,X,X
ISOZLJT,X,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X
ISOZJLT,X,O,X,X,X,X
IZTLJSO,O,X,O,O,X,O
IZTLJOS,O,O,O,O,X,X
IZTLSJO,O,X,O,O,X,O
IZTLSOJ,O,X,X,O,X,X
IZTLOJS,O,O,O,O,X,X
IZTLOSJ,O,O,X,O,X,X
IZTJLSO,O,X,O,O,X,O
IZTJLOS,O,O,O,O,X,X
IZTJSLO,O,X,X,O,X,O
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,O,O,X,X,X
IZTJOSL,X,O,X,X,X,X
IZTSLJO,O,X,X,O,X,O
IZTSLOJ,O,X,X,O,X,X
IZTSJLO,O,X,X,O,X,O
IZTSJOL,O,O,X,X,X,X
IZTSOLJ,O,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,O,X,X,X,X
IZTOLSJ,O,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X
IZTOJSL,X,O,X,X,X,X
IZTOSLJ,X,O,X,X,X,X
IZTOSJL,X,O,X,X,X,X
IZLTJSO,O,X,O,O,X,O
IZLTJOS,O,O,O,O,X,X
IZLTSJO,O,X,O,O,X,O
IZLTSOJ,O,X,X,O,X,X
IZLTOJS,O,O,O,O,X,X
IZLTOSJ,O,O,X,O,X,X
IZLJTSO,O,X,O,O,X,O
IZLJTOS,O,O,O,O,X,X
IZLJSTO,X,X,O,O,X,O
IZLJSOT,X,X,O,O,X,X
IZLJOTS,O,O,O,O,X,X
IZLJOST,X,O,O,O,X,X
IZLSTJO,X,X,O,O,X,O
IZLSTOJ,X,X,X,O,X,X
IZLSJTO,X,X,O,O,X,O
IZLSJOT,X,X,O,O,X,X
IZLSOTJ,X,X,X,O,X,X
IZLSOJT,X,X,O,O,X,X
IZLOTJS,O,O,O,O,X,X
IZLOTSJ,O,O,X,O,X,X
IZLOJTS,O,O,O,O,X,X
IZLOJST,X,O,O,O,X,X
IZLOSTJ,X,O,X,O,X,X
IZLOSJT,X,O,O,O,X,X
IZJTLSO,O,X,O,O,X,O
IZJTLOS,O,O,O,O,X,X
IZJTSLO,O,X,X,O,X,O
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,O,O,X,X,X
IZJTOSL,X,O,X,X,X,X
IZJLTSO,O,X,O,O,X,O
IZJLTOS,O,O,O,O,X,X
IZJLSTO,X,X,O,O,X,O
IZJLSOT,X,X,O,O,X,X
IZJLOTS,O,O,O,O,X,X
IZJLOST,X,O,O,O,X,X
IZJSTLO,O,X,X,O,X,O
IZJSTOL,O,O,X,X,X,X
IZJSLTO,X,X,X,O,X,O
IZJSLOT,X,X,X,O,X,X
IZJSOTL,O,O,X,X,X,X
IZJSOLT,X,O,X,X,X,X
IZJOTLS,O,O,O,X,X,X
IZJOTSL,X,O,X,X,X,X
IZJOLTS,O,O,O,X,X,X
IZJOLST,X,O,O,X,X,X
IZJOSTL,O,O,X,X,X,X
IZJOSLT,X,O,X,X,X,X
IZSTLJO,O,X,X,O,X,O
IZSTLOJ,O,X,X,O,X,X
IZSTJLO,O,X,X,O,X,O
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,O,O,X,X,X,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,X,X,X,O,X,O
IZSLTOJ,X,X,X,O,X,X
IZSLJTO,X,X,X,O,X,O
IZSLJOT,X,X,X,O,X,X
IZSLOTJ,X,X,X,O,X,X
IZSLOJT,X,X,X,O,X,X
IZSJTLO,O,X,X,O,X,O
IZSJTOL,O,O,X,X,X,X
IZSJLTO,X,X,X,O,X,O
IZSJLOT,X,X,X,O,X,X
IZSJOTL,O,O,X,X,X,X
IZSJOLT,X,O,X,X,X,X
IZSOTLJ,O,O,X,X,X,X
IZSOTJL,O,O,X,X,X,X
IZSOLTJ,X,O,X,X,X,X
IZSOLJT,X,O,X,X,X,X
IZSOJTL,O,O,X,X,X,X
IZSOJLT,X,O,X,X,X,X
IZOTLJS,O,O,X,X,X,X
IZOTLSJ,O,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X
IZOTJSL,X,O,X,X,X,X
IZOTSLJ,X,O,X,X,X,X
IZOTSJL,X,O,X,X,X,X
IZOLTJS,O,O,O,X,X,X
IZOLTSJ,O,O,X,X,X,X
IZOLJTS,O,O,O,X,X,X
IZOLJST,X,O,O,X,X,X
IZOLSTJ,X,O,X,X,X,X
IZOLSJT,X,O,O,X,X,X
IZOJTLS,O,O,O,X,X,X
IZOJTSL,X,O,X,X,X,X
IZOJLTS,O,O,O,X,X,X
IZOJLST,X,O,O,X,X,X
IZOJSTL,O,O,X,X,X,X
IZOJSLT,X,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X
IZOSTJL,O,O,X,X,X,X
IZOSLTJ,X,O,X,X,X,X
IZOSLJT,X,O,X,X,X,X
IZOSJTL,O,O,X,X,X,X
IZOSJLT,X,O,X,X,X,X
IOTLJSZ,O,O,X,X,X,O
IOTLJZS,O,O,X,X,X,X
IOTLSJZ,O,O,X,X,X,O
IOTLSZJ,O,O,X,X,X,X
IOTLZJS,O,O,X,X,X,X
IOTLZSJ,O,O,X,X,X,X
IOTJLSZ,O,O,X,X,X,O
IOTJLZS,O,O,X,X,X,X
IOTJSLZ,O,O,X,X,X,O
IOTJSZL,O,O,X,X,X,X
IOTJZLS,O,O,X,X,X,X
IOTJZSL,X,O,X,X,X,X
IOTSLJZ,O,O,X,X,X,O
IOTSLZJ,O,O,X,X,X,X
