sequence,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBzcBX?gBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBzcBy?lBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBXgBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBylBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFlcBTfB/lBU?hBKnBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeO/IvhFVgBRcBThBK?nB3kBcqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFqfBTbBmcBX?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFlbBuhB8lBK?nBzkBfqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFSgBmcBXhBz?fBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFWgBylBzhBf?qBlqBUsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Je37IvhFTfBmhBxlBi?kBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBXhBKnBl?hBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFXcBmfB1mBT?kBcqBKsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBlhBXhBK?nBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeRAJvhFzhBlkB3lBO?kBUnBiqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jez8IvhFRgBlkB3lBU?nBOkBiqB
TIJOLSZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLJZO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TISLJOZ,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
TISLZJO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O
TISLZOJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TISLOJZ,O,O,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TISLOZJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TISJLOZ,O,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TISJZOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TISJOLZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TISJOZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TISZLJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TISZLOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TISZJLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O
TISZJOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TISZOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TISZOJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O
TISOLJZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TISOLZJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O
TISOZJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,O
TIZLJSO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIZLOSJ,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X
TIZJLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZJOSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZSOJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZOLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TIZOJLS,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
TIZOJSL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOLZJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIOLZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIOJLSZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIOSLZJ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOZLJS,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
TIOZJLS,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
TIOZJSL,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZSJL,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJSZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TLIJZSO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TLIJOZS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLISJOZ,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TLISZJO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLISZOJ,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X
TLISOJZ,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TLISOZJ,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TLIZJSO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X
TLIZOSJ,X,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X
TLIOJSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLIOSZJ,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TLIOZJS,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X
TLIOZSJ,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TLJISZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,O
TLSIZOJ,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,O
TLSIOJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X
TLSIOZJ,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TLSJIZO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSZIOJ,X,O,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TLSZJIO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X
TLSOIZJ,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLSOJZI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZISJO,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZJSIO,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TLZJOSI,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLZOJSI,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLZOSIJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLOIJZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TLOISZJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TLOSIZJ,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZJI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOZISJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZJIS,X,O,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TLOZJSI,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLOZSIJ,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOZSJI,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TJILZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TJISLOZ,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TJISZOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJISOLZ,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TJIZOSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOLSZ,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIOLZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TJIOZSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJLISZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLZISO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSZI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJSILOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
TJSIZOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TJSIOLZ,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TJSIOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJSLIZO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJSLZIO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJSLZOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJSLOZI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TJSZLOI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
