sequence,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzaBXdBUhBClBGm?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFfhBxcBUgBumBTk?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFFcBXdBckBelB5l?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhFxcBlgBumBikB8q?BXqB,v115@7gB8GeC8FeD8FeG8AeF8JeO/IvhF8fBFcBXdB5lByu?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhF0bBxcBVlB3hB2p?BCrB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhFXdBOkB8kBzgB6m?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBukB3hBUgBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhF8gBmfB3hBTkBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBUgB3hBukBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhF3bBWlBlhB8qBzp?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Je//IvhFRbBTgBlhB2pB8q?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Jez7IvhF3hBxkBOkB8kBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Je37IvhFlhBxkB8qBTpBmp?BCsB
TIJZSLO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TIJZSOL,X,O,O,X,X,O,X,O,X,O,O,O,X,X
TIJZOLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,X,O,X,X,X,X,O,O,X,X
TIJOLSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJOSZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJOZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TISLZJO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TISLZOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TISLOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TISLOZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TISJLZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TISJZOL,X,O,O,X,X,O,X,O,O,O,X,X,O,X
TISJOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TISJOZL,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TISZLJO,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TISZLOJ,O,O,X,X,O,X,X,X,X,O,X,X,O,O
TISZJLO,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TISZJOL,X,O,O,X,X,X,O,O,O,O,O,X,O,O
TISZOLJ,O,O,X,X,X,X,X,X,X,O,X,X,O,O
TISZOJL,X,X,X,X,X,X,O,O,O,O,O,X,O,O
TISOLJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,O,O,X,X,O,X,X,X,X,O,X,X,O,X
TISOJLZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,O,O,X,X,X,X,O,O,O,X,X,O,X
TISOZLJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TISOZJL,X,X,X,X,X,X,O,O,O,O,X,X,O,X
TIZLJSO,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZLJOS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZLSOJ,O,O,X,X,O,X,X,X,X,O,X,X,X,O
TIZLOJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TIZJLSO,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TIZJLOS,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TIZJSOL,X,O,O,X,X,X,O,O,X,O,O,O,X,O
TIZJOLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,X,O,X,X,X,O,X,X,X,O,O,X,O
TIZSLJO,O,O,X,X,O,X,X,X,X,X,O,X,O,X
TIZSLOJ,O,O,X,X,O,X,X,X,X,O,X,X,O,O
TIZSJLO,O,O,O,X,X,X,X,X,X,X,O,X,O,X
TIZSJOL,X,O,O,X,X,X,O,O,X,O,O,X,O,O
TIZSOLJ,O,O,X,X,X,X,X,X,X,O,X,X,O,O
TIZSOJL,X,X,X,X,X,X,O,O,X,O,O,X,O,O
TIZOLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZOJLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X,X,O,O,X,O
TIZOSLJ,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TIZOSJL,X,X,X,X,X,X,O,X,X,O,O,X,X,O
TIOLJSZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOJSZL,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TIOJZLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,O,X,X,X,X,O,X,X,O,X
TIOSJLZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TIOSJZL,X,O,O,X,X,X,X,O,O,O,X,X,O,X
TIOSZLJ,O,O,X,X,O,X,X,X,X,O,X,X,O,X
TIOSZJL,X,X,O,X,X,X,O,O,O,O,X,X,O,X
TIOZLJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TIOZSLJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIOZSJL,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLIJSZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TLISZOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TLISOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLISOZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TLIZJSO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLIZJOS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TLIZSOJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X
TLIZOJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJISZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJIZSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TLJSOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJSOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJZOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLJOISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TLSIZOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TLSIOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TLSJIZO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLSJZIO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TLSJOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSZIOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,O
TLSZJIO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLSZJOI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TLSZOIJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TLSZOJI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TLSOIJZ,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TLSOJIZ,O,O,X,X,O,O,X,O,X,X,X,X,X,X
TLSOJZI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TLSOZIJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TLSOZJI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TLZIJSO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLZIJOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLZISOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,O
TLZIOJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TLZJISO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLZJIOS,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLZJSOI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
TLZJOIS,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
TLZSIJO,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TLZSIOJ,O,O,X,X,O,O,X,X,X,O,X,X,X,O
TLZSJIO,O,O,X,O,O,O,X,X,X,X,O,X,X,X
TLZSJOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TLZSOJI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,O,O,O,O,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,O,O,O,X,X,X,X,O,X,X
TLZOSIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOJIZS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TLOSZIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,O,O,O,X,O,X,X,X,X,X
TLOZIJS,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOZISJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TLOZJSI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,O,O,O,O,X,X,X,X,X,X,X
TJILSZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJILZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJILZOS,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TJISZOL,X,O,O,X,X,O,X,O,O,O,X,O,O,X
TJISOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJISOZL,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TJIZLSO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TJIZLOS,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TJIZSLO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TJIZSOL,X,O,O,X,X,O,O,O,X,O,O,O,X,X
TJIZOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
TJIOLSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJIOSZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJIOZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLIZSO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLSZIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TJLSOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLSOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLZSIO,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLZSOI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJLZOIS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TJLZOSI,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJLOISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOIZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TJSIZOL,X,O,O,X,X,O,X,O,O,O,X,O,O,X
TJSIOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSIOZL,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TJSLIZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TJSLOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSLOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TJSZIOL,X,O,O,X,X,O,O,O,O,O,O,O,X,O
TJSZLIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TJSZLOI,O,O,O,X,X,O,O,X,O,X,X,O,X,X
TJSZOIL,X,O,O,X,X,O,O,O,O,O,O,O,X,X
TJSZOLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TJSOILZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJSOIZL,X,O,O,X,X,O,X,O,O,O,X,X,O,X
TJSOLIZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSOLZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TJSOZIL,X,O,O,X,X,O,O,O,O,O,X,O,X,X
TJSOZLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TJZILSO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TJZILOS,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TJZISLO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZISOL,X,O,O,X,X,O,O,O,X,O,O,O,X,O
TJZIOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TJZIOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,O
TJZLISO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZLIOS,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TJZLSIO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZLSOI,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TJZLOIS,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,X,O,O,X,X,X,X,O,X,X
TJZSILO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZSIOL,X,O,O,X,X,O,O,O,O,O,O,O,X,O
TJZSLIO,O,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZSLOI,O,O,O,O,X,O,O,X,O,X,X,O,X,X
TJZSOIL,X,O,O,X,X,O,O,O,O,O,O,O,X,X
TJZSOLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
TJZOILS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TJZOISL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
TJZOLIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
TJZOLSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
TJZOSIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
TJZOSLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
TJOILSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOISLZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TJOISZL,X,O,O,X,X,O,X,O,O,X,X,X,X,X
TJOIZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOLISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJOLIZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJOLSZI,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TJOLZIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOLZSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
