sequence,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgB8mBziBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBRdB?cjB6mBTiBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgBliBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bB1hB?xdBCjBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFGdBTeB?CgBlhBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFFdBTeB?CgB0hBfoBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF1gBxcB?TeBCiBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFTeBCgB?foBUnBlmBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBTeB?xhBCnB8sBFsB
TIOJZLS,O,O,X,O,O,X,O,X,X
TIOJZSL,O,O,X,O,X,X,O,X,X
TIOSLJZ,X,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,O,O,X,X,X,X
TIOSJZL,X,O,X,O,X,X,O,X,O
TIOSZLJ,X,O,X,O,O,X,X,X,X
TIOSZJL,X,O,X,O,O,X,X,X,X
TIOZLJS,O,O,X,O,O,X,O,X,X
TIOZLSJ,O,O,X,O,X,X,X,X,X
TIOZJLS,O,O,X,O,O,X,O,X,X
TIOZJSL,O,O,X,O,O,X,O,X,X
TIOZSLJ,O,O,X,O,X,X,O,X,X
TIOZSJL,O,O,X,O,O,X,O,X,X
TLIJSZO,O,O,O,O,O,O,X,X,X
TLIJSOZ,O,O,O,O,O,O,X,X,X
TLIJZSO,O,O,O,X,O,O,X,X,X
TLIJZOS,O,O,O,X,O,O,O,X,X
TLIJOSZ,O,O,O,X,O,X,X,X,X
TLIJOZS,O,O,X,X,O,X,O,X,X
TLISJZO,O,O,O,O,O,O,X,X,X
TLISJOZ,O,O,O,O,O,O,X,X,X
TLISZJO,O,O,O,X,O,O,X,O,X
TLISZOJ,O,O,O,X,O,O,X,O,X
TLISOJZ,O,O,O,X,O,O,X,X,X
TLISOZJ,O,O,O,X,O,O,X,O,X
TLIZJSO,O,O,O,X,O,O,X,X,X
TLIZJOS,O,O,O,X,O,O,O,X,X
TLIZSJO,O,O,O,X,O,O,X,O,X
TLIZSOJ,O,O,O,X,O,O,X,O,X
TLIZOJS,O,O,O,X,O,O,O,X,X
TLIZOSJ,O,O,O,X,O,O,X,X,X
TLIOJSZ,O,O,O,X,O,X,X,X,X
TLIOJZS,O,O,X,X,O,X,O,X,X
TLIOSJZ,O,O,O,X,O,O,X,X,X
TLIOSZJ,O,O,O,X,O,O,X,O,X
TLIOZJS,O,O,O,X,O,X,X,X,X
TLIOZSJ,O,O,O,X,O,O,X,X,X
TLJISZO,O,O,O,O,O,O,X,X,X
TLJISOZ,O,O,O,O,O,O,X,X,X
TLJIZSO,O,O,O,X,O,O,X,X,X
TLJIZOS,O,O,O,X,O,O,O,X,X
TLJIOSZ,O,O,O,X,O,X,X,X,X
TLJIOZS,O,O,X,X,O,X,O,X,X
TLJSIZO,O,O,O,O,O,O,X,X,X
TLJSIOZ,O,O,O,O,O,O,X,X,X
TLJSZIO,O,O,X,O,O,O,X,X,X
TLJSZOI,O,O,X,O,O,O,X,X,X
TLJSOIZ,O,O,X,O,O,O,X,X,X
TLJSOZI,O,O,X,O,X,O,X,X,X
TLJZISO,O,O,O,O,O,O,X,X,X
TLJZIOS,O,O,O,O,O,O,O,X,X
TLJZSIO,O,O,O,O,O,O,O,X,X
TLJZSOI,O,O,O,O,O,O,O,X,X
TLJZOIS,O,O,O,O,O,O,O,X,X
TLJZOSI,O,O,O,O,O,O,O,X,X
TLJOISZ,O,O,O,O,O,X,X,X,X
TLJOIZS,O,O,X,X,O,X,O,X,X
TLJOSIZ,O,O,O,O,O,X,X,X,X
TLJOSZI,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,X,O,O,X,O,X,X
TLJOZSI,O,O,X,O,X,X,O,X,X
TLSIJZO,O,O,O,O,O,O,X,X,X
TLSIJOZ,O,O,O,O,O,O,X,X,X
TLSIZJO,O,O,O,X,O,O,X,O,X
TLSIZOJ,O,O,O,X,O,O,X,O,X
TLSIOJZ,O,O,O,X,O,O,X,X,X
TLSIOZJ,O,O,O,X,O,O,X,O,X
TLSJIZO,O,O,O,O,O,O,X,X,X
TLSJIOZ,O,O,O,O,O,O,X,X,X
TLSJZIO,O,O,X,O,O,O,X,X,X
TLSJZOI,O,O,X,O,O,O,X,X,X
TLSJOIZ,O,O,X,O,O,O,X,X,X
TLSJOZI,O,O,X,O,X,O,X,X,X
TLSZIJO,O,O,O,O,O,O,X,O,X
TLSZIOJ,O,O,O,O,O,O,X,O,X
TLSZJIO,O,O,O,O,O,O,X,O,X
TLSZJOI,O,O,O,O,O,O,X,O,X
TLSZOIJ,O,O,O,O,O,O,X,O,X
TLSZOJI,O,O,O,O,O,O,X,O,X
TLSOIJZ,O,O,O,O,O,O,X,X,X
TLSOIZJ,O,O,O,X,O,O,X,O,X
TLSOJIZ,O,O,O,O,O,O,X,X,X
TLSOJZI,O,O,X,O,X,O,X,X,X
TLSOZIJ,O,O,O,O,O,O,X,O,X
TLSOZJI,O,O,O,O,O,O,X,O,X
TLZIJSO,O,O,O,O,O,O,X,X,X
TLZIJOS,O,O,O,O,O,O,O,X,X
TLZISJO,O,O,O,O,O,O,X,O,X
TLZISOJ,O,O,O,O,O,O,X,O,X
TLZIOJS,O,O,O,O,O,O,O,X,X
TLZIOSJ,O,O,O,O,O,O,X,X,X
TLZJISO,O,O,O,O,O,O,X,X,X
TLZJIOS,O,O,O,O,O,O,O,X,X
TLZJSIO,O,O,O,O,O,O,O,X,X
TLZJSOI,O,O,O,O,O,O,O,X,X
TLZJOIS,O,O,O,O,O,O,O,X,X
TLZJOSI,O,O,O,O,O,O,O,X,X
TLZSIJO,O,O,O,O,O,O,O,O,X
TLZSIOJ,O,O,O,O,O,O,O,O,X
TLZSJIO,O,O,O,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,O,O,O,X
TLZSOIJ,O,O,O,O,O,O,O,O,X
TLZSOJI,O,O,O,O,O,O,O,O,X
TLZOIJS,O,O,O,O,O,O,O,X,X
TLZOISJ,O,O,O,O,O,O,X,X,X
TLZOJIS,O,O,O,O,O,O,O,X,X
TLZOJSI,O,O,O,O,O,O,O,X,X
TLZOSIJ,O,O,O,O,O,O,O,X,X
TLZOSJI,O,O,O,O,O,O,O,X,X
TLOIJSZ,O,O,O,O,O,X,X,X,X
TLOIJZS,O,O,X,X,O,X,O,X,X
TLOISJZ,O,O,O,O,O,O,X,X,X
TLOISZJ,O,O,O,X,O,O,X,O,X
TLOIZJS,O,O,O,X,O,X,X,X,X
TLOIZSJ,O,O,O,X,O,O,X,X,X
TLOJISZ,O,O,O,O,O,X,X,X,X
TLOJIZS,O,O,X,X,O,X,O,X,X
TLOJSIZ,O,O,O,O,O,X,X,X,X
TLOJSZI,O,O,X,O,X,X,X,X,X
TLOJZIS,O,O,X,O,O,X,O,X,X
TLOJZSI,O,O,X,O,X,X,O,X,X
TLOSIJZ,O,O,O,O,O,O,X,X,X
TLOSIZJ,O,O,O,X,O,O,X,O,X
TLOSJIZ,O,O,O,O,O,O,X,X,X
TLOSJZI,O,O,X,O,X,O,X,X,X
TLOSZIJ,O,O,O,O,O,O,X,O,X
TLOSZJI,O,O,O,O,O,O,X,O,X
TLOZIJS,O,O,O,O,O,X,O,X,X
TLOZISJ,O,O,O,O,O,O,X,X,X
TLOZJIS,O,O,O,O,O,X,O,X,X
TLOZJSI,O,O,O,O,O,X,O,X,X
TLOZSIJ,O,O,O,O,O,O,O,X,X
TLOZSJI,O,O,O,O,O,O,O,X,X
TJILSZO,O,O,X,O,X,X,X,X,X
TJILSOZ,O,O,X,O,O,X,X,X,X
TJILZSO,O,O,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,O,X,O,X,X
TJILOSZ,O,O,X,X,O,X,X,X,X
TJILOZS,O,O,X,X,O,X,O,X,X
TJISLZO,X,X,X,O,X,X,X,X,X
TJISLOZ,X,X,X,O,X,X,X,X,X
TJISZLO,X,O,X,O,O,X,X,X,X
TJISZOL,X,O,X,O,O,X,O,X,X
TJISOLZ,X,X,X,O,O,X,X,X,X
TJISOZL,X,O,X,O,X,X,O,X,O
TJIZLSO,O,O,X,O,X,X,X,X,X
TJIZLOS,O,O,X,O,O,X,O,X,X
TJIZSLO,O,O,X,O,X,X,O,X,X
TJIZSOL,O,O,X,O,O,X,O,X,X
TJIZOLS,X,O,X,X,O,X,O,X,X
TJIZOSL,X,O,X,O,O,X,O,X,X
TJIOLSZ,O,O,X,O,O,X,X,X,X
TJIOLZS,O,O,X,X,O,X,O,X,X
TJIOSLZ,X,X,X,O,O,X,X,X,X
TJIOSZL,X,O,X,O,X,X,O,X,O
TJIOZLS,O,O,X,O,O,X,O,X,X
TJIOZSL,O,O,X,O,X,X,O,X,X
TJLISZO,O,O,O,O,O,O,X,X,X
TJLISOZ,O,O,O,O,O,O,X,X,X
TJLIZSO,O,O,O,X,O,O,X,X,X
TJLIZOS,O,O,O,X,O,O,O,X,X
TJLIOSZ,O,O,O,X,O,X,X,X,X
TJLIOZS,O,O,X,X,O,X,O,X,X
TJLSIZO,O,O,O,O,O,O,X,X,X
TJLSIOZ,O,O,O,O,O,O,X,X,X
TJLSZIO,O,O,X,O,O,O,X,X,X
TJLSZOI,O,O,X,O,O,O,X,X,X
TJLSOIZ,O,O,X,O,O,O,X,X,X
TJLSOZI,O,O,X,O,X,O,X,X,X
TJLZISO,O,O,O,O,O,O,X,X,X
TJLZIOS,O,O,O,O,O,O,O,X,X
TJLZSIO,O,O,O,O,O,O,O,X,X
TJLZSOI,O,O,O,O,O,O,O,X,X
TJLZOIS,O,O,O,O,O,O,O,X,X
TJLZOSI,O,O,O,O,O,O,O,X,X
TJLOISZ,O,O,O,O,O,X,X,X,X
TJLOIZS,O,O,X,X,O,X,O,X,X
TJLOSIZ,O,O,O,O,O,X,X,X,X
TJLOSZI,O,O,X,O,X,X,X,X,X
TJLOZIS,O,O,X,O,O,X,O,X,X
TJLOZSI,O,O,X,O,X,X,O,X,X
TJSILZO,O,X,O,O,X,O,X,X,X
TJSILOZ,X,X,O,O,X,O,X,X,X
TJSIZLO,O,O,O,O,O,X,X,X,X
TJSIZOL,O,O,O,O,O,X,O,X,X
TJSIOLZ,X,X,O,O,O,O,X,X,X
TJSIOZL,X,O,O,O,X,X,O,X,O
TJSLIZO,O,O,O,O,O,O,X,X,X
TJSLIOZ,O,O,O,O,O,O,X,X,X
TJSLZIO,O,O,X,O,O,O,X,X,X
TJSLZOI,O,O,X,O,O,O,X,X,X
TJSLOIZ,O,O,X,O,O,O,X,X,X
TJSLOZI,O,O,X,O,X,O,X,X,X
TJSZILO,O,O,X,O,O,O,O,X,X
TJSZIOL,O,O,X,O,O,O,O,X,O
TJSZLIO,O,O,X,O,O,O,O,X,O
TJSZLOI,O,O,X,O,O,O,O,X,O
TJSZOIL,O,O,X,O,O,O,O,X,O
TJSZOLI,O,O,X,O,O,O,O,X,O
TJSOILZ,X,X,X,O,O,O,X,X,X
TJSOIZL,X,O,X,O,X,X,O,X,O
TJSOLIZ,O,O,X,O,O,O,X,X,X
TJSOLZI,O,O,X,O,X,O,X,X,X
TJSOZIL,O,O,X,O,X,O,O,X,O
TJSOZLI,O,O,X,O,X,O,O,X,O
TJZILSO,O,O,O,O,O,O,X,X,X
TJZILOS,O,O,O,O,O,O,O,X,X
TJZISLO,O,O,O,O,X,O,O,X,X
TJZISOL,O,O,O,O,O,O,O,X,O
TJZIOLS,X,O,X,X,O,X,O,X,X
TJZIOSL,X,O,X,O,O,O,O,X,O
TJZLISO,O,O,O,O,O,O,X,X,O
TJZLIOS,O,O,O,O,O,O,O,X,O
TJZLSIO,O,O,O,O,O,O,O,X,O
TJZLSOI,O,O,O,O,O,O,O,X,O
TJZLOIS,O,O,O,O,O,O,O,X,O
TJZLOSI,O,O,O,O,O,O,O,X,O
TJZSILO,O,O,O,O,X,O,O,X,X
TJZSIOL,O,O,O,O,O,O,O,X,O
TJZSLIO,O,O,O,O,O,O,O,X,O
TJZSLOI,O,O,O,O,O,O,O,X,O
TJZSOIL,O,O,O,O,O,O,O,X,O
TJZSOLI,O,O,O,O,O,O,O,X,O
TJZOILS,O,O,X,O,O,X,O,X,X
TJZOISL,O,O,X,O,O,O,O,X,O
TJZOLIS,O,O,O,O,O,O,O,X,O
TJZOLSI,O,O,O,O,O,O,O,X,O
TJZOSIL,O,O,O,O,O,O,O,X,O
TJZOSLI,O,O,O,O,O,O,O,X,O
TJOILSZ,O,O,X,O,O,X,X,X,X
TJOILZS,O,O,X,X,O,X,O,X,X
TJOISLZ,X,X,X,O,O,X,X,X,X
TJOISZL,X,O,X,O,X,X,O,X,O
TJOIZLS,O,O,X,O,O,X,O,X,X
TJOIZSL,O,O,X,O,X,X,O,X,X
TJOLISZ,O,O,O,O,O,X,X,X,X
TJOLIZS,O,O,X,X,O,X,O,X,X
TJOLSIZ,O,O,O,O,O,X,X,X,X
TJOLSZI,O,O,X,O,X,X,X,X,X
TJOLZIS,O,O,X,O,O,X,O,X,X
TJOLZSI,O,O,X,O,X,X,O,X,X
TJOSILZ,X,X,O,O,O,X,X,X,X
TJOSIZL,X,O,O,O,X,X,O,X,O
TJOSLIZ,O,O,O,O,O,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,O,X,O
TJOSZLI,O,O,X,O,X,X,O,X,O
TJOZILS,O,O,X,O,O,X,O,X,X
TJOZISL,O,O,X,O,X,X,O,X,O
TJOZLIS,O,O,X,O,O,X,O,X,O
TJOZLSI,O,O,X,O,X,X,O,X,O
TJOZSIL,O,O,X,O,X,X,O,X,O
TJOZSLI,O,O,X,O,X,X,O,X,O
TSILJZO,X,X,X,O,O,X,X,X,X
TSILJOZ,X,X,X,O,X,O,X,X,X
TSILZJO,X,X,X,X,O,X,X,X,X
TSILZOJ,X,X,X,X,O,O,X,X,X
TSILOJZ,X,X,X,X,X,O,X,X,X
TSILOZJ,X,X,X,X,O,O,X,X,X
TSIJLZO,O,X,O,O,X,X,X,X,X
TSIJLOZ,X,X,O,O,X,X,X,X,X
TSIJZLO,O,O,O,O,O,X,X,X,X
TSIJZOL,O,O,O,O,O,X,O,X,X
TSIJOLZ,X,X,O,O,O,X,X,X,X
TSIJOZL,X,O,O,O,X,X,O,X,O
TSIZLJO,O,O,O,O,O,X,X,X,X
TSIZLOJ,O,X,X,O,O,X,X,X,X
TSIZJLO,O,O,O,O,O,X,X,X,X
TSIZJOL,O,O,O,O,O,X,O,X,X
TSIZOLJ,O,O,X,X,O,X,X,X,X
TSIZOJL,O,O,O,O,O,X,O,X,X
TSIOLJZ,X,X,X,O,X,O,X,X,X
TSIOLZJ,X,X,X,X,X,O,X,X,X
TSIOJLZ,X,X,O,O,O,X,X,X,X
TSIOJZL,X,O,O,O,X,X,O,X,O
TSIOZLJ,X,O,O,O,O,X,X,X,X
TSIOZJL,X,O,O,O,O,X,X,X,X
TSLIJZO,O,O,O,O,O,O,X,X,X
TSLIJOZ,O,O,O,O,O,O,X,X,X
TSLIZJO,O,O,O,X,O,O,X,O,X
TSLIZOJ,O,O,O,X,O,O,X,O,X
TSLIOJZ,O,O,O,X,O,O,X,X,X
TSLIOZJ,O,O,O,X,O,O,X,O,X
TSLJIZO,O,O,O,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,O,O,X,X,X
TSLJZIO,O,O,X,O,O,O,X,X,X
TSLJZOI,O,O,X,O,O,O,X,X,X
TSLJOIZ,O,O,X,O,O,O,X,X,X
TSLJOZI,O,O,X,O,X,O,X,X,X
TSLZIJO,O,O,O,O,O,O,X,O,X
TSLZIOJ,O,O,O,O,O,O,X,O,X
TSLZJIO,O,O,O,O,O,O,X,O,X
TSLZJOI,O,O,O,O,O,O,X,O,X
TSLZOIJ,O,O,O,O,O,O,X,O,X
TSLZOJI,O,O,O,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,O,O,X,X,X
TSLOIZJ,O,O,O,X,O,O,X,O,X
TSLOJIZ,O,O,O,O,O,O,X,X,X
TSLOJZI,O,O,X,O,X,O,X,X,X
TSLOZIJ,O,O,O,O,O,O,X,O,X
TSLOZJI,O,O,O,O,O,O,X,O,X
TSJILZO,O,X,O,O,X,O,X,X,X
TSJILOZ,X,X,O,O,X,O,X,X,X
TSJIZLO,O,O,O,O,O,X,X,X,X
TSJIZOL,O,O,O,O,O,X,O,X,X
TSJIOLZ,X,X,O,O,O,O,X,X,X
TSJIOZL,X,O,O,O,X,X,O,X,O
TSJLIZO,O,O,O,O,O,O,X,X,X
TSJLIOZ,O,O,O,O,O,O,X,X,X
TSJLZIO,O,O,X,O,O,O,X,X,X
TSJLZOI,O,O,X,O,O,O,X,X,X
TSJLOIZ,O,O,X,O,O,O,X,X,X
TSJLOZI,O,O,X,O,X,O,X,X,X
TSJZILO,O,O,X,O,O,O,O,X,X
TSJZIOL,O,O,X,O,O,O,O,X,O
TSJZLIO,O,O,X,O,O,O,O,X,O
TSJZLOI,O,O,X,O,O,O,O,X,O
TSJZOIL,O,O,X,O,O,O,O,X,O
TSJZOLI,O,O,X,O,O,O,O,X,O
TSJOILZ,X,X,X,O,O,O,X,X,X
TSJOIZL,X,O,X,O,X,X,O,X,O
TSJOLIZ,O,O,X,O,O,O,X,X,X
TSJOLZI,O,O,X,O,X,O,X,X,X
TSJOZIL,O,O,X,O,X,O,O,X,O
TSJOZLI,O,O,X,O,X,O,O,X,O
TSZILJO,O,O,O,O,O,O,O,X,X
TSZILOJ,O,X,O,O,O,O,O,X,X
TSZIJLO,O,O,O,O,O,X,O,X,X
TSZIJOL,O,O,O,O,O,O,O,X,O
TSZIOLJ,O,O,X,X,O,O,O,X,X
TSZIOJL,O,O,O,O,O,O,O,X,O
TSZLIJO,O,O,O,O,O,O,O,O,O
TSZLIOJ,O,O,O,O,O,O,O,O,O
TSZLJIO,O,O,O,O,O,O,O,O,O
TSZLJOI,O,O,O,O,O,O,O,O,O
TSZLOIJ,O,O,O,O,O,O,O,O,O
TSZLOJI,O,O,O,O,O,O,O,O,O
TSZJILO,O,O,O,O,O,X,O,X,X
TSZJIOL,O,O,O,O,O,O,O,X,O
TSZJLIO,O,O,O,O,O,O,O,X,O
TSZJLOI,O,O,O,O,O,O,O,X,O
TSZJOIL,O,O,O,O,O,O,O,X,O
TSZJOLI,O,O,O,O,O,O,O,X,O
TSZOILJ,O,O,X,O,O,O,O,X,X
TSZOIJL,O,O,O,O,O,O,O,X,O
TSZOLIJ,O,O,O,O,O,O,O,O,O
TSZOLJI,O,O,O,O,O,O,O,O,O
TSZOJIL,O,O,O,O,O,O,O,X,O
TSZOJLI,O,O,O,O,O,O,O,X,O
TSOILJZ,X,X,X,O,X,O,X,X,X
TSOILZJ,X,X,X,X,X,O,X,X,X
TSOIJLZ,X,X,O,O,O,X,X,X,X
TSOIJZL,X,O,O,O,X,X,O,X,O
TSOIZLJ,X,O,O,O,O,X,X,X,X
TSOIZJL,X,O,O,O,O,X,X,X,X
TSOLIJZ,O,O,O,O,O,O,X,X,X
TSOLIZJ,O,O,O,X,O,O,X,O,X
TSOLJIZ,O,O,O,O,O,O,X,X,X
TSOLJZI,O,O,X,O,X,O,X,X,X
TSOLZIJ,O,O,O,O,O,O,X,O,X
TSOLZJI,O,O,O,O,O,O,X,O,X
TSOJILZ,X,X,O,O,O,O,X,X,X
TSOJIZL,X,O,O,O,X,X,O,X,O
TSOJLIZ,O,O,O,O,O,O,X,X,X
TSOJLZI,O,O,X,O,X,O,X,X,X
TSOJZIL,O,O,X,O,X,O,O,X,O
TSOJZLI,O,O,X,O,X,O,O,X,O
TSOZILJ,O,O,O,O,O,O,O,X,X
TSOZIJL,O,O,O,O,O,O,O,X,O
TSOZLIJ,O,O,O,O,O,O,O,O,O
TSOZLJI,O,O,O,O,O,O,O,O,O
TSOZJIL,O,O,O,O,O,O,O,X,O
TSOZJLI,O,O,O,O,O,O,O,X,O
TZILJSO,O,O,O,O,O,O,X,X,X
TZILJOS,O,O,O,O,O,O,O,X,X
TZILSJO,O,O,O,O,O,O,X,X,X
TZILSOJ,O,O,O,O,O,O,X,X,X
TZILOJS,O,O,O,O,O,O,O,X,X
TZILOSJ,O,O,O,O,O,O,X,X,X
TZIJLSO,O,O,O,O,O,O,X,X,X
TZIJLOS,O,O,O,O,O,O,O,X,X
TZIJSLO,O,O,O,O,X,O,O,X,X
TZIJSOL,O,O,O,O,O,O,O,X,O
TZIJOLS,X,O,X,X,O,X,O,X,X
TZIJOSL,X,O,X,O,O,O,O,X,O
TZISLJO,O,O,O,O,O,O,O,X,X
TZISLOJ,O,X,O,O,O,O,O,X,X
TZISJLO,O,O,O,O,O,O,O,X,X
