sequence,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdB0hBfqBll?BCqB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdBFgB0hBqp?B3qB,v115@7gB8HeB8GeD8CeG8BeG8Jex6IvhFygBGdBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhF2gBRcBciBSmBlk?BXqB,v115@7gB8HeB8GeD8CeG8BeG8JeR7IvhFqhBTdBmgBlkBcq?B/pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhFOgBxcBFhBXiB6p?BcqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFqhBTdBxfBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jei6IvhFRcBciB3fBGhBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8Je2/IvhFCcBxhBXiB0kBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhF8fBCcBxhBXiBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeR8IvhFciBFgBThBSqB/p?BmpB,v115@7gB8HeB8GeD8CeG8BeG8Je06IvhFShBTdB/kBeqBRr?BlqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFSiBxfBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jel7IvhFGdB/kBZlB8lBzm?B6pB
TLIJZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIJOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLISJZO,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLISJOZ,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TLISZJO,X,O,X,X,X,X,O,X,O,O,X,X,O,X
TLISZOJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TLISOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TLIZJOS,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TLIZSJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TLIZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TLIZOSJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJIZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLJIZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJIOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLJSIZO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TLJSIOZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TLJSZIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TLJSZOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLJSOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLJSOZI,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TLJZISO,X,O,X,O,O,X,X,O,O,O,X,X,X,X
TLJZIOS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TLJZSIO,O,O,X,O,O,X,X,O,O,O,X,X,X,X
TLJZSOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJZOIS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TLJZOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJOIZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJOSZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TLSIJOZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TLSIZJO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TLSIZOJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TLSIOJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLSIOZJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TLSJIZO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
TLSJIOZ,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TLSJZIO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
TLSJZOI,X,O,X,O,X,X,O,O,X,X,O,X,X,X
TLSJOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLSJOZI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TLSZIJO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TLSZIOJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TLSZJIO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
TLSZJOI,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TLSZOIJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TLSZOJI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TLSOIJZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLSOIZJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TLSOJIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
TLSOJZI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TLSOZIJ,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TLSOZJI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
TLZIJSO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TLZIJOS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLZISJO,X,O,X,O,X,O,X,O,O,O,X,X,X,X
TLZISOJ,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZIOJS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLZIOSJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TLZJIOS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLZJSIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TLZJSOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TLZJOIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLZJOSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLZSIJO,X,O,X,O,X,O,O,O,O,O,X,X,O,X
TLZSIOJ,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TLZSJIO,X,O,X,O,O,O,O,O,O,O,X,X,O,X
TLZSJOI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TLZSOIJ,X,O,X,O,X,O,O,O,X,X,O,X,X,X
TLZSOJI,X,O,X,O,O,O,O,O,X,X,O,X,X,X
TLZOIJS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLZOISJ,X,O,X,O,X,O,X,X,X,X,O,X,X,X
TLZOJIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLZOJSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,O,X,O,O,X,X,X,O,X,X,X
TLZOSJI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLOIZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLOJIZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLOJSZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLOSIZJ,X,O,O,X,X,O,O,X,X,X,O,X,X,X
TLOSJIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLOSJZI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLOSZIJ,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TLOSZJI,X,O,O,O,X,O,O,X,X,X,O,X,X,X
TLOZIJS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLOZISJ,X,O,X,O,X,O,X,X,X,X,O,X,X,X
TLOZJIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLOZJSI,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,O,X,O,O,X,X,X,O,X,X,X
TLOZSJI,X,O,X,O,O,O,O,X,X,X,O,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJILSOZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJILZSO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJILOZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJISLZO,X,X,O,X,X,X,X,O,O,X,X,O,X,X
TJISLOZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TJISZLO,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TJISZOL,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TJIZLSO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TJIZLOS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TJIZSLO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TJIZSOL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIZOLS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TJIZOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJIOLZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIOSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJIOZLS,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TJIOZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TJLISZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLIZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJLIZOS,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLIOZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJLSIZO,X,O,O,X,X,X,O,O,O,X,X,X,O,X
TJLSIOZ,X,O,O,X,X,X,O,X,O,X,X,X,O,X
TJLSZIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TJLSZOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TJLSOIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TJLSOZI,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TJLZISO,X,O,X,O,O,X,X,O,O,O,X,X,X,X
TJLZIOS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TJLZSIO,O,O,X,O,O,X,X,O,O,O,X,X,X,X
TJLZSOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJLZOIS,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TJLZOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLOIZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJLOSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJLOSZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLOZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,X,X,X,O,O,O,X,X,O,O,X
TJSILOZ,X,X,O,X,X,X,O,X,O,X,X,O,O,X
TJSIZLO,O,X,X,X,X,O,O,O,X,X,X,O,O,X
TJSIZOL,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TJSIOLZ,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TJSIOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TJSLIZO,X,O,O,X,X,X,O,O,O,X,X,X,O,X
TJSLIOZ,X,O,O,X,X,X,O,X,O,X,X,X,O,X
TJSLZIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TJSLZOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TJSLOIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TJSLOZI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,O,O,O,X,X,X,O,O,X
TJSZIOL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TJSZLIO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
TJSZLOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TJSZOIL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TJSZOLI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJSOILZ,X,X,O,X,X,X,O,X,X,X,X,O,O,X
TJSOIZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJSOLIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TJSOLZI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TJSOZIL,O,X,O,O,X,X,X,O,X,X,X,O,X,O
TJSOZLI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TJZILSO,X,X,X,O,O,O,X,O,O,O,X,X,X,X
TJZILOS,X,X,X,O,O,O,X,X,O,O,X,X,X,X
TJZISLO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TJZISOL,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJZIOLS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZLISO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TJZLIOS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJZLSIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TJZLSOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TJZLOIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJZLOSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TJZSIOL,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJZSLIO,O,X,O,O,O,O,X,O,O,O,X,X,X,X
TJZSLOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZSOIL,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TJZSOLI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TJZOILS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJZOLIS,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TJZOLSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TJZOSLI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJOILZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJOISZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TJOIZLS,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TJOIZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TJOLISZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJOLIZS,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJOLSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJOLSZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJOLZIS,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOLZSI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X
