sequence,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFmgBzhBfoB6oB0l?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBamBzhBGjBUo?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBUiBGjBzlBfs?BVyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBemBUiBFjBfs?BSyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBUhBFiB6oBzn?BmrB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBymBGjBUoBXm?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBFiB8nB+oBzl?BfsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBmhBSoBXmBUo?BFsB
TIOLZJS,O,O,O,O,O,O,X,X
TIOLZSJ,O,O,O,O,O,O,X,X
TIOJLSZ,X,X,O,O,O,X,O,O
TIOJLZS,X,X,O,O,O,O,O,X
TIOJSLZ,O,O,O,O,O,X,O,O
TIOJSZL,O,O,O,O,O,X,O,O
TIOJZLS,O,O,O,X,O,O,O,X
TIOJZSL,O,O,O,X,O,O,O,X
TIOSLJZ,O,O,O,O,O,X,O,O
TIOSLZJ,O,O,O,O,O,O,X,O
TIOSJLZ,O,O,O,O,O,X,O,O
TIOSJZL,O,O,O,O,O,X,O,O
TIOSZLJ,O,O,O,X,O,O,X,O
TIOSZJL,O,O,O,X,O,O,X,O
TIOZLJS,O,O,O,X,O,O,X,X
TIOZLSJ,O,O,O,X,O,O,X,X
TIOZJLS,O,O,O,X,O,O,X,X
TIOZJSL,O,O,O,X,O,O,X,X
TIOZSLJ,O,O,O,X,O,O,X,X
TIOZSJL,O,O,O,X,O,O,X,X
TLIJSZO,X,X,O,O,O,X,O,O
TLIJSOZ,X,X,O,O,O,X,X,O
TLIJZSO,X,X,O,O,O,O,O,O
TLIJZOS,X,X,O,O,X,O,O,X
TLIJOSZ,X,X,O,O,O,X,O,O
TLIJOZS,X,X,O,O,X,O,O,X
TLISJZO,O,O,O,O,O,X,O,O
TLISJOZ,O,O,O,O,O,X,X,O
TLISZJO,O,O,O,O,O,O,X,O
TLISZOJ,O,O,O,O,O,O,X,O
TLISOJZ,O,O,O,O,O,X,X,O
TLISOZJ,O,O,O,O,O,O,X,O
TLIZJSO,O,O,O,O,X,O,X,O
TLIZJOS,O,O,O,O,X,O,X,X
TLIZSJO,O,O,O,O,X,O,X,O
TLIZSOJ,O,O,O,O,X,O,X,O
TLIZOJS,O,O,O,O,X,O,X,X
TLIZOSJ,O,O,O,O,X,O,X,X
TLIOJSZ,X,X,O,O,O,X,O,O
TLIOJZS,X,X,O,O,O,O,O,X
TLIOSJZ,O,O,O,O,O,X,O,O
TLIOSZJ,O,O,O,O,O,O,X,O
TLIOZJS,O,O,O,O,O,O,X,X
TLIOZSJ,O,O,O,O,O,O,X,X
TLJISZO,X,X,O,O,O,X,O,O
TLJISOZ,X,X,O,O,O,X,X,O
TLJIZSO,X,X,O,O,O,O,O,O
TLJIZOS,X,X,O,O,X,O,O,X
TLJIOSZ,X,X,O,O,O,X,O,O
TLJIOZS,X,X,O,O,X,O,O,X
TLJSIZO,X,X,O,O,O,X,O,O
TLJSIOZ,X,X,O,O,O,X,X,O
TLJSZIO,X,X,O,O,O,X,O,O
TLJSZOI,X,X,O,O,O,X,O,O
TLJSOIZ,X,X,O,O,O,X,X,O
TLJSOZI,X,X,O,O,O,X,X,O
TLJZISO,X,X,O,O,O,O,O,O
TLJZIOS,X,X,O,O,X,O,O,X
TLJZSIO,X,X,O,O,O,O,O,O
TLJZSOI,X,X,O,O,O,O,O,O
TLJZOIS,X,X,O,O,X,O,O,X
TLJZOSI,X,X,O,O,X,O,O,X
TLJOISZ,X,X,O,O,O,X,O,O
TLJOIZS,X,X,O,O,X,O,O,X
TLJOSIZ,X,X,O,O,O,X,O,O
TLJOSZI,X,X,O,O,O,X,O,O
TLJOZIS,X,X,O,O,X,O,O,X
TLJOZSI,X,X,O,O,X,O,O,X
TLSIJZO,O,O,O,O,O,X,O,O
TLSIJOZ,O,O,O,O,O,X,X,O
TLSIZJO,O,O,O,O,O,O,X,O
TLSIZOJ,O,O,O,O,O,O,X,O
TLSIOJZ,O,O,O,O,O,X,X,O
TLSIOZJ,O,O,O,O,O,O,X,O
TLSJIZO,O,O,O,O,O,X,O,O
TLSJIOZ,O,O,O,O,O,X,X,O
TLSJZIO,O,O,O,O,O,X,O,O
TLSJZOI,O,O,O,O,O,X,O,O
TLSJOIZ,O,O,O,O,O,X,X,O
TLSJOZI,O,O,O,O,O,X,X,O
TLSZIJO,O,O,O,O,O,O,X,O
TLSZIOJ,O,O,O,O,O,O,X,O
TLSZJIO,O,O,O,O,O,O,X,O
TLSZJOI,O,O,O,O,O,O,X,O
TLSZOIJ,O,O,O,O,O,O,X,O
TLSZOJI,O,O,O,O,O,O,X,O
TLSOIJZ,O,O,O,O,O,X,X,O
TLSOIZJ,O,O,O,O,O,O,X,O
TLSOJIZ,O,O,O,O,O,X,X,O
TLSOJZI,O,O,O,O,O,X,X,O
TLSOZIJ,O,O,O,O,O,O,X,O
TLSOZJI,O,O,O,O,O,O,X,O
TLZIJSO,O,O,O,O,X,O,X,O
TLZIJOS,O,O,O,O,X,O,X,X
TLZISJO,O,O,O,O,X,O,X,O
TLZISOJ,O,O,O,O,X,O,X,O
TLZIOJS,O,O,O,O,X,O,X,X
TLZIOSJ,O,O,O,O,X,O,X,X
TLZJISO,O,O,O,O,X,O,X,O
TLZJIOS,O,O,O,O,X,O,X,X
TLZJSIO,O,O,O,O,X,O,X,O
TLZJSOI,O,O,O,O,X,O,X,O
TLZJOIS,O,O,O,O,X,O,X,X
TLZJOSI,O,O,O,O,X,O,X,X
TLZSIJO,O,O,O,O,X,O,X,O
TLZSIOJ,O,O,O,O,X,O,X,O
TLZSJIO,O,O,O,O,X,O,X,O
TLZSJOI,O,O,O,O,X,O,X,O
TLZSOIJ,O,O,O,O,X,O,X,O
TLZSOJI,O,O,O,O,X,O,X,O
TLZOIJS,O,O,O,O,X,O,X,X
TLZOISJ,O,O,O,O,X,O,X,X
TLZOJIS,O,O,O,O,X,O,X,X
TLZOJSI,O,O,O,O,X,O,X,X
TLZOSIJ,O,O,O,O,X,O,X,X
TLZOSJI,O,O,O,O,X,O,X,X
TLOIJSZ,X,X,O,O,O,X,O,O
TLOIJZS,X,X,O,O,O,O,O,X
TLOISJZ,O,O,O,O,O,X,O,O
TLOISZJ,O,O,O,O,O,O,X,O
TLOIZJS,O,O,O,O,O,O,X,X
TLOIZSJ,O,O,O,O,O,O,X,X
TLOJISZ,X,X,O,O,O,X,O,O
TLOJIZS,X,X,O,O,O,O,O,X
TLOJSIZ,X,X,O,O,O,X,O,O
TLOJSZI,X,X,O,O,O,X,O,O
TLOJZIS,X,X,O,O,O,O,O,X
TLOJZSI,X,X,O,O,O,O,O,X
TLOSIJZ,O,O,O,O,O,X,O,O
TLOSIZJ,O,O,O,O,O,O,X,O
TLOSJIZ,O,O,O,O,O,X,O,O
TLOSJZI,O,O,O,O,O,X,O,O
TLOSZIJ,O,O,O,O,O,O,X,O
TLOSZJI,O,O,O,O,O,O,X,O
TLOZIJS,O,O,O,O,O,O,X,X
TLOZISJ,O,O,O,O,O,O,X,X
TLOZJIS,O,O,O,O,O,O,X,X
TLOZJSI,O,O,O,O,O,O,X,X
TLOZSIJ,O,O,O,O,O,O,X,X
TLOZSJI,O,O,O,O,O,O,X,X
TJILSZO,X,X,O,O,O,X,O,O
TJILSOZ,X,X,O,O,O,X,X,O
TJILZSO,X,X,O,O,O,O,O,O
TJILZOS,X,X,O,O,X,O,O,X
TJILOSZ,X,X,O,O,O,X,O,O
TJILOZS,X,X,O,O,O,O,O,X
TJISLZO,O,O,O,O,O,X,O,O
TJISLOZ,O,O,O,O,O,X,X,O
TJISZLO,O,O,O,O,O,X,O,O
TJISZOL,O,O,O,O,O,X,O,O
TJISOLZ,O,O,O,O,O,X,O,O
TJISOZL,O,O,O,O,O,X,O,O
TJIZLSO,O,O,O,X,O,O,O,O
TJIZLOS,O,O,O,X,X,O,O,X
TJIZSLO,O,O,O,X,O,O,O,O
TJIZSOL,O,O,O,X,O,O,O,O
TJIZOLS,O,O,O,X,O,O,O,X
TJIZOSL,O,O,O,X,O,O,O,X
TJIOLSZ,X,X,O,O,O,X,O,O
TJIOLZS,X,X,O,O,O,O,O,X
TJIOSLZ,O,O,O,O,O,X,O,O
TJIOSZL,O,O,O,O,O,X,O,O
TJIOZLS,O,O,O,X,O,O,O,X
TJIOZSL,O,O,O,X,O,O,O,X
TJLISZO,X,X,O,O,O,X,O,O
TJLISOZ,X,X,O,O,O,X,X,O
TJLIZSO,X,X,O,O,O,O,O,O
TJLIZOS,X,X,O,O,X,O,O,X
TJLIOSZ,X,X,O,O,O,X,O,O
TJLIOZS,X,X,O,O,O,O,O,X
TJLSIZO,X,X,O,O,O,X,O,O
TJLSIOZ,X,X,O,O,O,X,X,O
TJLSZIO,X,X,O,O,O,X,O,O
TJLSZOI,X,X,O,O,O,X,O,O
TJLSOIZ,X,X,O,O,O,X,X,O
TJLSOZI,X,X,O,O,O,X,X,O
TJLZISO,X,X,O,O,O,O,O,O
TJLZIOS,X,X,O,O,X,O,O,X
TJLZSIO,X,X,O,O,O,O,O,O
TJLZSOI,X,X,O,O,O,O,O,O
TJLZOIS,X,X,O,O,X,O,O,X
TJLZOSI,X,X,O,O,X,O,O,X
TJLOISZ,X,X,O,O,O,X,O,O
TJLOIZS,X,X,O,O,O,O,O,X
TJLOSIZ,X,X,O,O,O,X,O,O
TJLOSZI,X,X,O,O,O,X,O,O
TJLOZIS,X,X,O,O,O,O,O,X
TJLOZSI,X,X,O,O,O,O,O,X
TJSILZO,O,O,O,O,O,X,O,O
TJSILOZ,O,O,O,O,O,X,X,O
TJSIZLO,O,O,O,O,O,X,O,O
TJSIZOL,O,O,O,O,O,X,O,O
TJSIOLZ,O,O,O,O,O,X,O,O
TJSIOZL,O,O,O,O,O,X,O,O
TJSLIZO,O,O,O,O,O,X,O,O
TJSLIOZ,O,O,O,O,O,X,X,O
TJSLZIO,O,O,O,O,O,X,O,O
TJSLZOI,O,O,O,O,O,X,O,O
TJSLOIZ,O,O,O,O,O,X,X,O
TJSLOZI,O,O,O,O,O,X,X,O
TJSZILO,O,O,O,O,O,X,O,O
TJSZIOL,O,O,O,O,O,X,O,O
TJSZLIO,O,O,O,O,O,X,O,O
TJSZLOI,O,O,O,O,O,X,O,O
TJSZOIL,O,O,O,O,O,X,O,O
TJSZOLI,O,O,O,O,O,X,O,O
TJSOILZ,O,O,O,O,O,X,O,O
TJSOIZL,O,O,O,O,O,X,O,O
TJSOLIZ,O,O,O,O,O,X,O,O
TJSOLZI,O,O,O,O,O,X,O,O
TJSOZIL,O,O,O,O,O,X,O,O
TJSOZLI,O,O,O,O,O,X,O,O
TJZILSO,O,O,O,X,O,O,O,O
TJZILOS,O,O,O,X,X,O,O,X
TJZISLO,O,O,O,X,O,O,O,O
TJZISOL,O,O,O,X,O,O,O,O
TJZIOLS,O,O,O,X,O,O,O,X
TJZIOSL,O,O,O,X,O,O,O,X
TJZLISO,O,O,O,X,O,O,O,O
TJZLIOS,O,O,O,X,X,O,O,X
TJZLSIO,O,O,O,X,O,O,O,O
TJZLSOI,O,O,O,X,O,O,O,O
TJZLOIS,O,O,O,X,X,O,O,X
TJZLOSI,O,O,O,X,X,O,O,X
TJZSILO,O,O,O,X,O,O,O,O
TJZSIOL,O,O,O,X,O,O,O,O
TJZSLIO,O,O,O,X,O,O,O,O
TJZSLOI,O,O,O,X,O,O,O,O
TJZSOIL,O,O,O,X,O,O,O,O
TJZSOLI,O,O,O,X,O,O,O,O
TJZOILS,O,O,O,X,O,O,O,X
TJZOISL,O,O,O,X,O,O,O,X
TJZOLIS,O,O,O,X,O,O,O,X
TJZOLSI,O,O,O,X,O,O,O,X
TJZOSIL,O,O,O,X,O,O,O,X
TJZOSLI,O,O,O,X,O,O,O,X
TJOILSZ,X,X,O,O,O,X,O,O
TJOILZS,X,X,O,O,O,O,O,X
TJOISLZ,O,O,O,O,O,X,O,O
TJOISZL,O,O,O,O,O,X,O,O
TJOIZLS,O,O,O,X,O,O,O,X
TJOIZSL,O,O,O,X,O,O,O,X
TJOLISZ,X,X,O,O,O,X,O,O
TJOLIZS,X,X,O,O,O,O,O,X
TJOLSIZ,X,X,O,O,O,X,O,O
TJOLSZI,X,X,O,O,O,X,O,O
TJOLZIS,X,X,O,O,O,O,O,X
TJOLZSI,X,X,O,O,O,O,O,X
TJOSILZ,O,O,O,O,O,X,O,O
TJOSIZL,O,O,O,O,O,X,O,O
TJOSLIZ,O,O,O,O,O,X,O,O
TJOSLZI,O,O,O,O,O,X,O,O
TJOSZIL,O,O,O,O,O,X,O,O
TJOSZLI,O,O,O,O,O,X,O,O
TJOZILS,O,O,O,X,O,O,O,X
TJOZISL,O,O,O,X,O,O,O,X
TJOZLIS,O,O,O,X,O,O,O,X
TJOZLSI,O,O,O,X,O,O,O,X
TJOZSIL,O,O,O,X,O,O,O,X
TJOZSLI,O,O,O,X,O,O,O,X
TSILJZO,O,O,O,O,O,X,O,O
TSILJOZ,O,O,O,O,O,X,X,O
TSILZJO,O,O,O,O,O,O,X,O
TSILZOJ,O,O,O,O,O,O,X,O
TSILOJZ,O,O,O,O,O,X,X,O
TSILOZJ,O,O,O,O,O,O,X,O
TSIJLZO,O,O,O,O,O,X,O,O
TSIJLOZ,O,O,O,O,O,X,X,O
TSIJZLO,O,O,O,O,O,X,O,O
TSIJZOL,O,O,O,O,O,X,O,O
TSIJOLZ,O,O,O,O,O,X,O,O
TSIJOZL,O,O,O,O,O,X,O,O
TSIZLJO,O,O,O,O,O,O,X,O
TSIZLOJ,O,O,O,O,O,O,X,O
TSIZJLO,O,O,O,O,O,O,X,O
TSIZJOL,O,O,O,O,O,O,X,O
TSIZOLJ,O,O,O,X,O,O,X,O
TSIZOJL,O,O,O,O,O,O,X,O
TSIOLJZ,O,O,O,O,O,X,O,O
TSIOLZJ,O,O,O,O,O,O,X,O
TSIOJLZ,O,O,O,O,O,X,O,O
TSIOJZL,O,O,O,O,O,X,O,O
TSIOZLJ,O,O,O,X,O,O,X,O
TSIOZJL,O,O,O,X,O,O,X,O
TSLIJZO,O,O,O,O,O,X,O,O
TSLIJOZ,O,O,O,O,O,X,X,O
TSLIZJO,O,O,O,O,O,O,X,O
TSLIZOJ,O,O,O,O,O,O,X,O
TSLIOJZ,O,O,O,O,O,X,X,O
TSLIOZJ,O,O,O,O,O,O,X,O
TSLJIZO,O,O,O,O,O,X,O,O
TSLJIOZ,O,O,O,O,O,X,X,O
TSLJZIO,O,O,O,O,O,X,O,O
TSLJZOI,O,O,O,O,O,X,O,O
TSLJOIZ,O,O,O,O,O,X,X,O
TSLJOZI,O,O,O,O,O,X,X,O
TSLZIJO,O,O,O,O,O,O,X,O
TSLZIOJ,O,O,O,O,O,O,X,O
TSLZJIO,O,O,O,O,O,O,X,O
TSLZJOI,O,O,O,O,O,O,X,O
TSLZOIJ,O,O,O,O,O,O,X,O
TSLZOJI,O,O,O,O,O,O,X,O
TSLOIJZ,O,O,O,O,O,X,X,O
TSLOIZJ,O,O,O,O,O,O,X,O
TSLOJIZ,O,O,O,O,O,X,X,O
TSLOJZI,O,O,O,O,O,X,X,O
TSLOZIJ,O,O,O,O,O,O,X,O
TSLOZJI,O,O,O,O,O,O,X,O
TSJILZO,O,O,O,O,O,X,O,O
TSJILOZ,O,O,O,O,O,X,X,O
TSJIZLO,O,O,O,O,O,X,O,O
TSJIZOL,O,O,O,O,O,X,O,O
TSJIOLZ,O,O,O,O,O,X,O,O
TSJIOZL,O,O,O,O,O,X,O,O
TSJLIZO,O,O,O,O,O,X,O,O
TSJLIOZ,O,O,O,O,O,X,X,O
TSJLZIO,O,O,O,O,O,X,O,O
TSJLZOI,O,O,O,O,O,X,O,O
TSJLOIZ,O,O,O,O,O,X,X,O
TSJLOZI,O,O,O,O,O,X,X,O
TSJZILO,O,O,O,O,O,X,O,O
TSJZIOL,O,O,O,O,O,X,O,O
TSJZLIO,O,O,O,O,O,X,O,O
TSJZLOI,O,O,O,O,O,X,O,O
TSJZOIL,O,O,O,O,O,X,O,O
TSJZOLI,O,O,O,O,O,X,O,O
TSJOILZ,O,O,O,O,O,X,O,O
TSJOIZL,O,O,O,O,O,X,O,O
TSJOLIZ,O,O,O,O,O,X,O,O
TSJOLZI,O,O,O,O,O,X,O,O
TSJOZIL,O,O,O,O,O,X,O,O
TSJOZLI,O,O,O,O,O,X,O,O
TSZILJO,O,O,O,O,O,O,X,O
TSZILOJ,O,O,O,O,O,O,X,O
TSZIJLO,O,O,O,O,O,O,X,O
TSZIJOL,O,O,O,O,O,O,X,O
TSZIOLJ,O,O,O,X,O,O,X,O
TSZIOJL,O,O,O,O,O,O,X,O
TSZLIJO,O,O,O,O,O,O,X,O
TSZLIOJ,O,O,O,O,O,O,X,O
TSZLJIO,O,O,O,O,O,O,X,O
TSZLJOI,O,O,O,O,O,O,X,O
TSZLOIJ,O,O,O,O,O,O,X,O
TSZLOJI,O,O,O,O,O,O,X,O
TSZJILO,O,O,O,O,O,O,X,O
TSZJIOL,O,O,O,O,O,O,X,O
TSZJLIO,O,O,O,O,O,O,X,O
TSZJLOI,O,O,O,O,O,O,X,O
TSZJOIL,O,O,O,O,O,O,X,O
TSZJOLI,O,O,O,O,O,O,X,O
TSZOILJ,O,O,O,X,O,O,X,O
TSZOIJL,O,O,O,O,O,O,X,O
TSZOLIJ,O,O,O,X,O,O,X,O
TSZOLJI,O,O,O,X,O,O,X,O
TSZOJIL,O,O,O,O,O,O,X,O
TSZOJLI,O,O,O,O,O,O,X,O
TSOILJZ,O,O,O,O,O,X,O,O
TSOILZJ,O,O,O,O,O,O,X,O
TSOIJLZ,O,O,O,O,O,X,O,O
TSOIJZL,O,O,O,O,O,X,O,O
TSOIZLJ,O,O,O,X,O,O,X,O
TSOIZJL,O,O,O,X,O,O,X,O
TSOLIJZ,O,O,O,O,O,X,O,O
TSOLIZJ,O,O,O,O,O,O,X,O
TSOLJIZ,O,O,O,O,O,X,O,O
TSOLJZI,O,O,O,O,O,X,O,O
TSOLZIJ,O,O,O,O,O,O,X,O
TSOLZJI,O,O,O,O,O,O,X,O
TSOJILZ,O,O,O,O,O,X,O,O
TSOJIZL,O,O,O,O,O,X,O,O
TSOJLIZ,O,O,O,O,O,X,O,O
TSOJLZI,O,O,O,O,O,X,O,O
TSOJZIL,O,O,O,O,O,X,O,O
TSOJZLI,O,O,O,O,O,X,O,O
TSOZILJ,O,O,O,X,O,O,X,O
TSOZIJL,O,O,O,X,O,O,X,O
TSOZLIJ,O,O,O,X,O,O,X,O
TSOZLJI,O,O,O,X,O,O,X,O
TSOZJIL,O,O,O,X,O,O,X,O
TSOZJLI,O,O,O,X,O,O,X,O
TZILJSO,O,O,O,X,X,O,X,O
TZILJOS,O,O,O,X,X,O,X,X
TZILSJO,O,O,O,X,X,O,X,O
TZILSOJ,O,O,O,X,X,O,X,O
TZILOJS,O,O,O,X,X,O,X,X
TZILOSJ,O,O,O,X,X,O,X,X
TZIJLSO,O,O,O,X,X,O,X,O
TZIJLOS,O,O,O,X,X,O,X,X
TZIJSLO,O,O,O,X,X,O,X,O
TZIJSOL,O,O,O,X,X,O,X,O
TZIJOLS,O,O,O,X,X,O,X,X
TZIJOSL,O,O,O,X,X,O,X,X
TZISLJO,O,O,O,X,X,O,X,O
TZISLOJ,O,O,O,X,X,O,X,O
TZISJLO,O,O,O,X,X,O,X,O
TZISJOL,O,O,O,X,X,O,X,O
TZISOLJ,O,O,O,X,X,O,X,O
TZISOJL,O,O,O,X,X,O,X,O
TZIOLJS,O,O,O,X,X,O,X,X
TZIOLSJ,O,O,O,X,X,O,X,X
TZIOJLS,O,O,O,X,X,O,X,X
TZIOJSL,O,O,O,X,X,O,X,X
TZIOSLJ,O,O,O,X,X,O,X,X
TZIOSJL,O,O,O,X,X,O,X,X
TZLIJSO,O,O,O,X,X,O,X,O
TZLIJOS,O,O,O,X,X,O,X,X
TZLISJO,O,O,O,X,X,O,X,O
TZLISOJ,O,O,O,X,X,O,X,O
TZLIOJS,O,O,O,X,X,O,X,X
TZLIOSJ,O,O,O,X,X,O,X,X
TZLJISO,O,O,O,X,X,O,X,O
TZLJIOS,O,O,O,X,X,O,X,X
TZLJSIO,O,O,O,X,X,O,X,O
TZLJSOI,O,O,O,X,X,O,X,O
TZLJOIS,O,O,O,X,X,O,X,X
TZLJOSI,O,O,O,X,X,O,X,X
TZLSIJO,O,O,O,X,X,O,X,O
TZLSIOJ,O,O,O,X,X,O,X,O
TZLSJIO,O,O,O,X,X,O,X,O
TZLSJOI,O,O,O,X,X,O,X,O
TZLSOIJ,O,O,O,X,X,O,X,O
TZLSOJI,O,O,O,X,X,O,X,O
TZLOIJS,O,O,O,X,X,O,X,X
TZLOISJ,O,O,O,X,X,O,X,X
TZLOJIS,O,O,O,X,X,O,X,X
TZLOJSI,O,O,O,X,X,O,X,X
TZLOSIJ,O,O,O,X,X,O,X,X
TZLOSJI,O,O,O,X,X,O,X,X
TZJILSO,O,O,O,X,X,O,X,O
TZJILOS,O,O,O,X,X,O,X,X
TZJISLO,O,O,O,X,X,O,X,O
TZJISOL,O,O,O,X,X,O,X,O
TZJIOLS,O,O,O,X,X,O,X,X
TZJIOSL,O,O,O,X,X,O,X,X
TZJLISO,O,O,O,X,X,O,X,O
TZJLIOS,O,O,O,X,X,O,X,X
TZJLSIO,O,O,O,X,X,O,X,O
TZJLSOI,O,O,O,X,X,O,X,O
TZJLOIS,O,O,O,X,X,O,X,X
TZJLOSI,O,O,O,X,X,O,X,X
TZJSILO,O,O,O,X,X,O,X,O
TZJSIOL,O,O,O,X,X,O,X,O
TZJSLIO,O,O,O,X,X,O,X,O
TZJSLOI,O,O,O,X,X,O,X,O
TZJSOIL,O,O,O,X,X,O,X,O
TZJSOLI,O,O,O,X,X,O,X,O
TZJOILS,O,O,O,X,X,O,X,X
