sequence,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB0hBfqBll?BCqB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBFgB0hBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB3gB1mBqp?BUqB,v115@5gB8HeB8IeD8CeG8BeG8Jem7IvhFqhBTeBxfBlkB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8JeR7IvhFqhBTeBmgBlkBcq?B/pB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBUgB1mBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8Jex6IvhFXcBTeBifB1mBup?BcqB,v115@5gB8HeB8IeD8CeG8BeG8Jey/IvhFGcBTeBlkBRmB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8Je06IvhFShBTeB/kBeqBRr?BlqB,v115@5gB8HeB8IeD8CeG8BeG8JeK/IvhFxbBTeBulB1mB8p?BfqB,v115@5gB8HeB8IeD8CeG8BeG8JeT+IvhFxfBXhB2kB0hBCq?BFqB
TISJZLO,X,X,X,X,X,X,X,O,X,X,X
TISJZOL,X,X,X,X,X,X,X,O,X,X,X
TISJOLZ,X,X,O,O,X,O,O,O,X,X,X
TISJOZL,X,X,X,X,X,X,O,O,X,X,X
TISZLJO,X,X,O,O,X,X,O,O,X,X,X
TISZLOJ,X,X,O,O,X,X,O,O,X,X,X
TISZJLO,X,X,X,X,X,X,O,O,X,X,X
TISZJOL,X,X,X,X,X,X,O,O,X,X,X
TISZOLJ,X,X,O,O,X,X,O,O,X,X,X
TISZOJL,X,X,X,X,X,X,O,O,X,X,X
TISOLJZ,X,X,O,O,X,O,O,O,X,X,X
TISOLZJ,X,X,O,O,X,X,O,O,X,X,X
TISOJLZ,X,X,O,O,X,O,O,O,X,X,X
TISOJZL,X,X,X,X,X,X,O,O,X,X,X
TISOZLJ,X,X,O,O,X,X,O,O,X,X,X
TISOZJL,X,X,X,X,X,X,O,O,X,X,X
TIZLJSO,X,X,X,X,X,X,O,X,X,O,X
TIZLJOS,X,X,O,X,X,O,O,X,X,O,X
TIZLSJO,X,X,X,X,X,X,O,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,O,X,X,X,X
TIZLOJS,X,X,O,X,X,O,O,X,X,O,X
TIZLOSJ,X,X,X,X,X,X,O,X,X,X,X
TIZJLSO,X,X,X,X,X,X,O,X,X,O,X
TIZJLOS,X,X,X,X,X,X,O,X,X,O,X
TIZJSLO,X,X,X,X,X,X,O,O,X,X,X
TIZJSOL,X,X,X,X,X,X,O,O,X,X,X
TIZJOLS,X,X,O,X,X,O,O,X,X,O,X
TIZJOSL,X,X,X,X,X,X,O,O,X,X,X
TIZSLJO,X,X,O,X,X,X,O,O,X,X,X
TIZSLOJ,X,X,O,X,X,X,O,O,X,X,X
TIZSJLO,X,X,X,X,X,X,O,O,X,X,X
TIZSJOL,X,X,X,X,X,X,O,O,X,X,X
TIZSOLJ,X,X,O,X,X,X,O,O,X,X,X
TIZSOJL,X,X,X,X,X,X,O,O,X,X,X
TIZOLJS,X,X,O,X,X,O,O,X,X,O,X
TIZOLSJ,X,X,X,X,X,X,O,X,X,X,X
TIZOJLS,X,X,O,X,X,O,O,X,X,O,X
TIZOJSL,X,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,X,X,O,X,X,X,O,O,X,X,X
TIZOSJL,X,X,X,X,X,X,O,O,X,X,X
TIOLJSZ,X,X,O,X,X,O,O,O,O,X,X
TIOLJZS,X,X,O,X,X,O,X,X,X,X,X
TIOLSJZ,X,X,O,O,X,O,O,O,X,X,X
TIOLSZJ,X,X,O,O,X,X,O,O,X,X,X
TIOLZJS,X,X,O,X,X,O,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,O,O,X,X,X,X
TIOJLSZ,X,X,O,X,X,O,X,O,O,X,X
TIOJLZS,X,X,O,X,X,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,O,X,O,O,X,X
TIOJSZL,X,X,X,X,X,X,X,O,O,X,X
TIOJZLS,X,X,O,X,X,O,X,X,X,O,X
TIOJZSL,X,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,O,O,X,O,O,O,X,X,X
TIOSLZJ,X,X,O,O,X,X,O,O,X,X,X
TIOSJLZ,X,X,O,O,X,O,O,O,X,X,X
TIOSJZL,X,X,X,X,X,X,O,O,X,X,X
TIOSZLJ,X,X,O,O,X,X,O,O,X,X,X
TIOSZJL,X,X,X,X,X,X,O,O,X,X,X
TIOZLJS,X,X,O,X,X,O,O,X,X,O,X
TIOZLSJ,X,X,X,X,X,X,O,X,X,X,X
TIOZJLS,X,X,O,X,X,O,O,X,X,O,X
TIOZJSL,X,X,X,X,X,X,O,O,X,X,X
TIOZSLJ,X,X,O,X,X,X,O,O,X,X,X
TIOZSJL,X,X,X,X,X,X,O,O,X,X,X
TLIJSZO,X,X,O,X,X,X,X,O,X,X,X
TLIJSOZ,X,O,O,X,X,O,O,O,X,X,X
TLIJZSO,X,O,X,X,X,O,X,X,X,X,X
TLIJZOS,X,O,O,X,X,O,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,O,O,O,X,X,X
TLIJOZS,X,O,O,X,X,O,X,X,X,X,X
TLISJZO,X,X,O,O,X,X,X,O,X,X,X
TLISJOZ,X,O,O,O,X,O,O,O,X,X,X
TLISZJO,X,X,O,O,X,X,X,O,X,X,X
TLISZOJ,X,X,O,O,X,X,O,O,X,X,X
TLISOJZ,X,O,O,O,X,O,O,O,X,X,X
TLISOZJ,X,X,O,O,X,X,O,O,X,X,X
TLIZJSO,X,O,X,X,X,O,X,X,X,O,X
TLIZJOS,X,O,O,X,X,O,X,X,X,O,X
TLIZSJO,X,O,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,O,O,X,X,X,X
TLIZOJS,X,O,O,X,X,O,X,X,X,O,X
TLIZOSJ,X,O,X,X,X,O,O,X,X,X,X
TLIOJSZ,X,O,O,X,X,O,O,O,X,X,X
TLIOJZS,X,O,O,X,X,O,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,O,O,O,X,X,X
TLIOSZJ,X,X,O,O,X,X,O,O,X,X,X
TLIOZJS,X,O,O,X,X,O,X,X,X,O,X
TLIOZSJ,X,O,X,X,X,O,O,X,X,X,X
TLJISZO,X,X,O,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,O,O,X,X,X,X
TLJIZSO,X,O,X,X,X,O,X,X,X,X,X
TLJIZOS,X,O,O,X,X,O,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,O,O,X,X,X,X
TLJIOZS,X,O,O,X,X,O,X,X,X,X,X
TLJSIZO,X,O,O,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,O,X,O,O,X,X,X,X
TLJSZIO,X,O,O,O,X,O,X,X,X,X,X
TLJSZOI,X,O,O,O,X,O,X,X,X,X,X
TLJSOIZ,X,O,O,O,X,O,O,X,X,X,X
TLJSOZI,X,O,O,O,X,O,O,X,X,X,X
TLJZISO,X,O,X,X,O,O,X,X,X,O,X
TLJZIOS,X,O,O,X,O,O,X,X,X,O,X
TLJZSIO,X,O,O,X,O,O,X,X,X,O,X
TLJZSOI,X,O,O,X,O,O,X,X,X,O,X
TLJZOIS,X,O,O,X,O,O,X,X,X,O,X
TLJZOSI,X,O,O,X,O,O,X,X,X,O,X
TLJOISZ,X,O,O,X,X,O,O,X,X,X,X
TLJOIZS,X,O,O,X,X,O,X,X,X,X,X
TLJOSIZ,X,O,O,O,X,O,O,X,X,X,X
TLJOSZI,X,O,O,O,X,O,O,X,X,X,X
TLJOZIS,X,O,O,X,O,O,X,X,X,O,X
TLJOZSI,X,O,O,X,O,O,X,X,X,O,X
TLSIJZO,X,O,O,O,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,O,X,O,O,X,X,X,X
TLSIZJO,X,O,O,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,O,O,X,X,O,X,X,X,X
TLSIOJZ,X,O,O,O,X,O,O,X,X,X,O
TLSIOZJ,X,O,O,O,X,X,O,X,X,X,O
TLSJIZO,X,O,O,O,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,O,X,O,O,X,X,X,X
TLSJZIO,X,O,O,O,X,O,X,X,X,X,X
TLSJZOI,X,O,O,O,X,O,X,X,X,X,X
TLSJOIZ,X,O,O,O,X,O,O,X,X,X,X
TLSJOZI,X,O,O,O,X,O,O,X,X,X,X
TLSZIJO,X,O,O,O,X,O,O,X,X,X,X
TLSZIOJ,X,O,O,O,X,O,O,X,X,X,X
TLSZJIO,X,O,O,O,X,O,O,X,X,O,X
TLSZJOI,X,O,O,O,X,O,O,X,X,O,X
TLSZOIJ,X,O,O,O,X,O,O,X,X,X,X
TLSZOJI,X,O,O,O,X,O,O,X,X,O,X
TLSOIJZ,X,O,O,O,X,O,O,X,X,X,O
TLSOIZJ,X,O,O,O,X,X,O,X,X,X,O
TLSOJIZ,X,O,O,O,X,O,O,X,X,X,X
TLSOJZI,X,O,O,O,X,O,O,X,X,X,X
TLSOZIJ,X,O,O,O,X,O,O,X,X,X,X
TLSOZJI,X,O,O,O,X,O,O,X,X,O,X
TLZIJSO,X,O,X,X,O,O,O,X,X,O,X
TLZIJOS,X,O,O,X,O,O,O,X,X,O,X
TLZISJO,X,O,X,X,X,O,O,X,X,X,X
TLZISOJ,X,O,X,X,X,O,O,X,X,X,X
TLZIOJS,X,O,O,X,O,O,O,X,X,O,X
TLZIOSJ,X,O,X,X,X,O,O,X,X,X,X
TLZJISO,X,O,X,X,O,O,O,X,X,O,X
TLZJIOS,X,O,O,X,O,O,O,X,X,O,X
TLZJSIO,X,O,O,X,O,O,O,X,X,O,X
TLZJSOI,X,O,O,X,O,O,O,X,X,O,X
TLZJOIS,X,O,O,X,O,O,O,X,X,O,X
TLZJOSI,X,O,O,X,O,O,O,X,X,O,X
TLZSIJO,X,O,O,O,X,O,O,X,X,X,X
TLZSIOJ,X,O,O,O,X,O,O,X,X,X,X
TLZSJIO,X,O,O,O,O,O,O,X,X,O,X
TLZSJOI,X,O,O,O,O,O,O,X,X,O,X
TLZSOIJ,X,O,O,O,X,O,O,X,X,X,X
TLZSOJI,X,O,O,O,O,O,O,X,X,O,X
TLZOIJS,X,O,O,X,O,O,O,X,X,O,X
TLZOISJ,X,O,X,X,X,O,O,X,X,X,X
TLZOJIS,X,O,O,X,O,O,O,X,X,O,X
TLZOJSI,X,O,O,X,O,O,O,X,X,O,X
TLZOSIJ,X,O,O,O,X,O,O,X,X,X,X
TLZOSJI,X,O,O,O,O,O,O,X,X,O,X
TLOIJSZ,X,O,O,X,X,O,O,O,X,X,X
TLOIJZS,X,O,O,X,X,O,X,X,X,X,X
TLOISJZ,X,O,O,O,X,O,O,O,X,X,X
TLOISZJ,X,X,O,O,X,X,O,O,X,X,X
TLOIZJS,X,O,O,X,X,O,X,X,X,O,X
TLOIZSJ,X,O,X,X,X,O,O,X,X,X,X
TLOJISZ,X,O,O,X,X,O,O,X,X,X,X
TLOJIZS,X,O,O,X,X,O,X,X,X,X,X
TLOJSIZ,X,O,O,O,X,O,O,X,X,X,X
TLOJSZI,X,O,O,O,X,O,O,X,X,X,X
TLOJZIS,X,O,O,X,O,O,X,X,X,O,X
TLOJZSI,X,O,O,X,O,O,X,X,X,O,X
TLOSIJZ,X,O,O,O,X,O,O,X,X,X,O
TLOSIZJ,X,O,O,O,X,X,O,X,X,X,O
TLOSJIZ,X,O,O,O,X,O,O,X,X,X,X
TLOSJZI,X,O,O,O,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,O,X,O,O,X,X,X,X
TLOSZJI,X,O,O,O,X,O,O,X,X,O,X
TLOZIJS,X,O,O,X,O,O,O,X,X,O,X
TLOZISJ,X,O,X,X,X,O,O,X,X,X,X
TLOZJIS,X,O,O,X,O,O,O,X,X,O,X
TLOZJSI,X,O,O,X,O,O,O,X,X,O,X
TLOZSIJ,X,O,O,O,X,O,O,X,X,X,X
TLOZSJI,X,O,O,O,O,O,O,X,X,O,X
TJILSZO,X,X,O,X,X,X,X,O,O,X,X
TJILSOZ,X,X,O,X,X,O,X,O,O,X,X
TJILZSO,X,X,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,O,X,X,O,X,X,X,X,X
TJILOSZ,X,X,O,X,X,O,X,O,O,X,X
TJILOZS,X,X,O,X,X,O,X,X,X,X,X
TJISLZO,X,X,O,X,X,X,X,O,O,X,X
TJISLOZ,X,X,O,X,X,X,X,O,O,X,X
TJISZLO,X,X,X,X,X,X,X,O,O,X,X
TJISZOL,X,X,X,X,X,X,X,O,O,X,X
TJISOLZ,X,X,O,X,X,O,X,O,O,X,X
TJISOZL,X,X,X,X,X,X,X,O,O,X,X
TJIZLSO,X,X,X,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,X,X,X,X,O,X
TJIZSLO,X,X,X,X,X,X,X,O,X,X,X
TJIZSOL,X,X,X,X,X,X,X,O,X,X,X
TJIZOLS,X,X,O,X,X,O,X,X,X,O,X
TJIZOSL,X,X,X,X,X,X,X,O,X,X,X
TJIOLSZ,X,X,O,X,X,O,X,O,O,X,X
TJIOLZS,X,X,O,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,O,X,O,O,X,X
TJIOSZL,X,X,X,X,X,X,X,O,O,X,X
TJIOZLS,X,X,O,X,X,O,X,X,X,O,X
TJIOZSL,X,X,X,X,X,X,X,O,X,X,X
TJLISZO,X,X,O,X,X,X,X,X,X,X,X
TJLISOZ,X,O,O,X,X,O,O,X,X,X,X
TJLIZSO,X,O,X,X,X,O,X,X,X,X,X
TJLIZOS,X,O,O,X,X,O,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,O,O,X,X,X,X
TJLIOZS,X,O,O,X,X,O,X,X,X,X,X
TJLSIZO,X,O,O,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,O,X,O,O,X,X,X,X
TJLSZIO,X,O,O,O,X,O,X,X,X,X,X
TJLSZOI,X,O,O,O,X,O,X,X,X,X,X
TJLSOIZ,X,O,O,O,X,O,O,X,X,X,X
TJLSOZI,X,O,O,O,X,O,O,X,X,X,X
TJLZISO,X,O,X,X,O,O,X,X,X,O,X
TJLZIOS,X,O,O,X,O,O,X,X,X,O,X
TJLZSIO,X,O,O,X,O,O,X,X,X,O,X
TJLZSOI,X,O,O,X,O,O,X,X,X,O,X
TJLZOIS,X,O,O,X,O,O,X,X,X,O,X
TJLZOSI,X,O,O,X,O,O,X,X,X,O,X
TJLOISZ,X,O,O,X,X,O,O,X,X,X,X
TJLOIZS,X,O,O,X,X,O,X,X,X,X,X
TJLOSIZ,X,O,O,O,X,O,O,X,X,X,X
TJLOSZI,X,O,O,O,X,O,O,X,X,X,X
TJLOZIS,X,O,O,X,O,O,X,X,X,O,X
TJLOZSI,X,O,O,X,O,O,X,X,X,O,X
TJSILZO,X,X,O,O,X,X,X,X,O,X,X
TJSILOZ,X,X,O,O,X,X,X,X,O,X,X
TJSIZLO,X,X,X,X,X,X,X,X,O,X,X
TJSIZOL,X,X,X,X,X,X,X,X,O,X,X
TJSIOLZ,X,X,O,O,X,O,O,X,O,X,X
TJSIOZL,X,X,X,X,X,X,O,X,O,X,X
TJSLIZO,X,O,O,O,X,X,X,X,X,X,X
TJSLIOZ,X,O,O,O,X,O,O,X,X,X,X
TJSLZIO,X,O,O,O,X,O,X,X,X,X,X
TJSLZOI,X,O,O,O,X,O,X,X,X,X,X
TJSLOIZ,X,O,O,O,X,O,O,X,X,X,X
TJSLOZI,X,O,O,O,X,O,O,X,X,X,X
TJSZILO,O,X,X,X,X,X,O,X,O,X,X
TJSZIOL,O,X,X,X,X,X,O,X,O,X,X
TJSZLIO,O,X,X,X,X,X,O,X,X,O,X
TJSZLOI,O,X,X,X,X,X,O,X,X,O,X
TJSZOIL,O,X,X,X,X,X,O,X,O,X,X
TJSZOLI,O,X,X,X,X,X,O,X,X,O,X
TJSOILZ,X,X,O,O,X,O,O,X,O,X,X
TJSOIZL,X,X,X,X,X,X,O,X,O,X,X
TJSOLIZ,X,O,O,O,X,O,O,X,X,X,X
TJSOLZI,X,O,O,O,X,O,O,X,X,X,X
TJSOZIL,O,X,X,X,X,X,O,X,O,X,X
TJSOZLI,O,X,X,X,X,X,O,X,X,O,X
TJZILSO,X,X,X,X,O,X,O,X,X,O,X
TJZILOS,X,X,X,X,O,X,O,X,X,O,X
TJZISLO,O,X,X,X,X,X,O,X,X,X,X
TJZISOL,O,X,X,X,X,X,O,X,X,X,X
TJZIOLS,X,O,O,X,O,O,O,X,X,O,X
TJZIOSL,O,X,X,X,X,X,O,X,X,X,X
TJZLISO,X,O,X,X,O,O,O,X,X,O,X
TJZLIOS,X,O,O,X,O,O,O,X,X,O,X
TJZLSIO,O,O,O,X,O,O,O,X,X,O,X
TJZLSOI,O,O,O,X,O,O,O,X,X,O,X
TJZLOIS,X,O,O,X,O,O,O,X,X,O,X
TJZLOSI,O,O,O,X,O,O,O,X,X,O,X
TJZSILO,O,X,X,X,X,X,O,X,X,X,X
TJZSIOL,O,X,X,X,X,X,O,X,X,X,X
TJZSLIO,O,X,X,X,O,X,O,X,X,O,X
TJZSLOI,O,X,X,X,O,X,O,X,X,O,X
TJZSOIL,O,X,X,X,X,X,O,X,X,X,X
TJZSOLI,O,X,X,X,O,X,O,X,X,O,X
TJZOILS,X,O,O,X,O,O,O,X,X,O,X
TJZOISL,O,X,X,X,X,X,O,X,X,X,X
TJZOLIS,X,O,O,X,O,O,O,X,X,O,X
TJZOLSI,O,O,O,X,O,O,O,X,X,O,X
TJZOSIL,O,X,X,X,X,X,O,X,X,X,X
TJZOSLI,O,X,X,X,O,X,O,X,X,O,X
TJOILSZ,X,X,O,X,X,O,X,O,O,X,X
TJOILZS,X,X,O,X,X,O,X,X,X,X,X
TJOISLZ,X,X,O,X,X,O,X,O,O,X,X
TJOISZL,X,X,X,X,X,X,X,O,O,X,X
TJOIZLS,X,X,O,X,X,O,X,X,X,O,X
TJOIZSL,X,X,X,X,X,X,X,O,X,X,X
TJOLISZ,X,O,O,X,X,O,O,X,X,X,X
TJOLIZS,X,O,O,X,X,O,X,X,X,X,X
TJOLSIZ,X,O,O,O,X,O,O,X,X,X,X
TJOLSZI,X,O,O,O,X,O,O,X,X,X,X
TJOLZIS,X,O,O,X,O,O,X,X,X,O,X
TJOLZSI,X,O,O,X,O,O,X,X,X,O,X
TJOSILZ,X,X,O,O,X,O,O,X,O,X,X
TJOSIZL,X,X,X,X,X,X,O,X,O,X,X
TJOSLIZ,X,O,O,O,X,O,O,X,X,X,X
TJOSLZI,X,O,O,O,X,O,O,X,X,X,X
TJOSZIL,O,X,X,X,X,X,O,X,O,X,X
TJOSZLI,O,X,X,X,X,X,O,X,X,O,X
TJOZILS,X,O,O,X,O,O,O,X,X,O,X
TJOZISL,O,X,X,X,X,X,O,X,X,X,X
TJOZLIS,X,O,O,X,O,O,O,X,X,O,X
TJOZLSI,O,O,O,X,O,O,O,X,X,O,X
TJOZSIL,O,X,X,X,X,X,O,X,X,X,X
TJOZSLI,O,X,X,X,O,X,O,X,X,O,X
TSILJZO,X,X,O,O,X,X,X,O,X,X,X
TSILJOZ,X,X,O,O,X,O,O,O,X,X,X
TSILZJO,X,X,O,O,X,X,X,O,X,X,X
TSILZOJ,X,X,O,O,X,X,O,O,X,X,X
TSILOJZ,X,X,O,O,X,O,O,O,X,X,X
TSILOZJ,X,X,O,O,X,X,O,O,X,X,X
TSIJLZO,X,X,O,O,X,X,X,O,X,X,X
TSIJLOZ,X,X,O,O,X,X,X,O,X,X,X
TSIJZLO,X,X,X,X,X,X,X,O,X,X,X
TSIJZOL,X,X,X,X,X,X,X,O,X,X,X
TSIJOLZ,X,X,O,O,X,O,O,O,X,X,X
TSIJOZL,X,X,X,X,X,X,O,O,X,X,X
TSIZLJO,X,X,O,O,X,X,O,O,X,X,X
TSIZLOJ,X,X,O,O,X,X,O,O,X,X,X
TSIZJLO,X,X,X,X,X,X,O,O,X,X,X
TSIZJOL,X,X,X,X,X,X,O,O,X,X,X
TSIZOLJ,X,X,O,O,X,X,O,O,X,X,X
TSIZOJL,X,X,X,X,X,X,O,O,X,X,X
TSIOLJZ,X,X,O,O,X,O,O,O,X,X,O
TSIOLZJ,X,X,O,O,X,X,O,O,X,X,O
TSIOJLZ,X,X,O,O,X,O,O,O,X,X,X
TSIOJZL,X,X,X,X,X,X,O,O,X,X,O
TSIOZLJ,X,X,O,O,X,X,O,O,X,X,O
TSIOZJL,X,X,X,X,X,X,O,O,X,X,O
TSLIJZO,X,O,O,O,X,X,X,X,X,X,X
TSLIJOZ,X,O,O,O,X,O,O,X,X,X,X
TSLIZJO,X,O,O,O,X,X,X,X,X,X,X
TSLIZOJ,X,O,O,O,X,X,O,X,X,X,X
TSLIOJZ,X,O,O,O,X,O,O,X,X,X,O
TSLIOZJ,X,O,O,O,X,X,O,X,X,X,O
TSLJIZO,X,O,O,O,X,X,X,X,X,X,X
TSLJIOZ,X,O,O,O,X,O,O,X,X,X,X
TSLJZIO,X,O,O,O,X,O,X,X,X,X,X
TSLJZOI,X,O,O,O,X,O,X,X,X,X,X
TSLJOIZ,X,O,O,O,X,O,O,X,X,X,X
TSLJOZI,X,O,O,O,X,O,O,X,X,X,X
TSLZIJO,X,O,O,O,X,O,O,X,X,X,X
TSLZIOJ,X,O,O,O,X,O,O,X,X,X,X
TSLZJIO,X,O,O,O,X,O,O,X,X,O,X
TSLZJOI,X,O,O,O,X,O,O,X,X,O,X
TSLZOIJ,X,O,O,O,X,O,O,X,X,X,X
TSLZOJI,X,O,O,O,X,O,O,X,X,O,X
TSLOIJZ,X,O,O,O,X,O,O,X,X,X,O
TSLOIZJ,X,O,O,O,X,X,O,X,X,X,O
TSLOJIZ,X,O,O,O,X,O,O,X,X,X,X
TSLOJZI,X,O,O,O,X,O,O,X,X,X,X
TSLOZIJ,X,O,O,O,X,O,O,X,X,X,X
TSLOZJI,X,O,O,O,X,O,O,X,X,O,X
TSJILZO,X,X,O,O,X,X,X,X,O,X,X
TSJILOZ,X,X,O,O,X,X,X,X,O,X,X
TSJIZLO,X,X,X,X,X,X,X,X,O,X,X
TSJIZOL,X,X,X,X,X,X,X,X,O,X,X
TSJIOLZ,X,X,O,O,X,O,O,X,O,X,X
TSJIOZL,X,X,X,X,X,X,O,X,O,X,X
TSJLIZO,X,O,O,O,X,X,X,X,X,X,X
TSJLIOZ,X,O,O,O,X,O,O,X,X,X,X
TSJLZIO,X,O,O,O,X,O,X,X,X,X,X
TSJLZOI,X,O,O,O,X,O,X,X,X,X,X
TSJLOIZ,X,O,O,O,X,O,O,X,X,X,X
TSJLOZI,X,O,O,O,X,O,O,X,X,X,X
TSJZILO,O,X,X,X,X,X,O,X,O,X,X
TSJZIOL,O,X,X,X,X,X,O,X,O,X,X
TSJZLIO,O,X,X,X,X,X,O,X,X,O,X
TSJZLOI,O,X,X,X,X,X,O,X,X,O,X
TSJZOIL,O,X,X,X,X,X,O,X,O,X,X
TSJZOLI,O,X,X,X,X,X,O,X,X,O,X
TSJOILZ,X,X,O,O,X,O,O,X,O,X,X
TSJOIZL,X,X,X,X,X,X,O,X,O,X,X
