sequence,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFeiBzdBUgBFhBXm?BSwB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdBXiBllBTr?BCrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFmdBxhBllB3mB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbByhBzdBllB3m?BWwB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBlmBzq?BCsB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFXcBmdBFiBxlB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmcBzdBUgBFhBCr?B3rB
TISLJZO,X,X,X,O,O,O,O,O,O,X,O,X
TISLJOZ,X,X,X,O,X,O,O,O,X,X,X,X
TISLZJO,X,X,X,O,O,O,O,O,O,X,O,X
TISLZOJ,X,X,X,X,O,O,O,O,X,X,X,X
TISLOJZ,X,X,X,O,X,O,O,O,X,X,X,X
TISLOZJ,X,X,X,X,X,O,O,X,X,X,X,X
TISJLZO,X,X,X,O,O,O,O,O,O,X,O,X
TISJLOZ,X,X,X,O,X,O,O,O,X,X,X,X
TISJZLO,O,X,O,O,O,O,O,O,O,X,O,X
TISJZOL,O,X,O,O,O,O,O,O,O,X,O,X
TISJOLZ,X,X,O,X,X,O,O,X,X,X,O,X
TISJOZL,X,X,O,O,X,O,O,O,O,X,O,X
TISZLJO,O,X,O,O,O,O,O,O,O,X,O,X
TISZLOJ,X,X,X,X,X,O,O,X,X,X,X,X
TISZJLO,O,X,O,O,O,O,O,O,O,X,O,X
TISZJOL,O,X,O,O,O,O,O,O,O,X,O,X
TISZOLJ,X,X,O,X,X,O,O,X,X,X,O,X
TISZOJL,O,X,O,O,O,O,O,O,O,X,O,X
TISOLJZ,X,X,O,X,X,O,O,X,X,X,O,X
TISOLZJ,X,X,O,X,X,O,O,X,X,X,O,X
TISOJLZ,X,X,O,X,X,O,O,X,X,X,O,X
TISOJZL,X,X,O,O,X,O,O,O,O,X,O,X
TISOZLJ,X,X,O,X,X,O,O,X,X,X,O,X
TISOZJL,X,X,O,X,X,O,O,X,O,X,O,X
TIZLJSO,X,O,O,O,O,X,X,O,O,X,O,O
TIZLJOS,X,O,X,O,X,X,X,O,O,X,O,O
TIZLSJO,O,O,O,O,O,X,X,O,O,X,O,O
TIZLSOJ,X,X,X,O,O,X,X,O,O,X,X,O
TIZLOJS,X,O,X,O,X,X,X,O,O,X,O,O
TIZLOSJ,X,X,X,O,O,X,X,O,X,X,O,O
TIZJLSO,X,O,O,O,O,X,X,O,O,X,O,X
TIZJLOS,X,O,X,O,X,X,X,O,O,X,O,O
TIZJSLO,O,X,O,O,O,O,X,O,O,X,O,X
TIZJSOL,O,O,O,O,O,O,X,O,O,X,O,O
TIZJOLS,X,O,X,O,X,X,X,X,O,X,O,O
TIZJOSL,O,O,O,O,X,X,X,O,O,X,O,O
TIZSLJO,O,X,O,O,O,O,O,O,O,X,O,X
TIZSLOJ,X,X,X,X,X,O,O,X,X,X,X,X
TIZSJLO,O,X,O,O,O,O,O,O,O,X,O,X
TIZSJOL,O,O,O,O,O,O,O,O,O,X,O,O
TIZSOLJ,X,X,O,X,X,O,O,X,X,X,O,X
TIZSOJL,O,X,O,O,O,O,O,O,O,X,O,O
TIZOLJS,X,O,X,O,X,X,X,X,O,X,O,O
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,O,O
TIZOJLS,X,O,X,O,X,X,X,X,O,X,O,O
TIZOJSL,O,O,O,O,X,X,X,O,O,X,O,O
TIZOSLJ,O,X,X,O,X,X,O,X,O,X,O,X
TIZOSJL,O,X,O,O,O,X,O,O,O,X,O,O
TIOLJSZ,X,X,X,O,X,X,X,O,X,X,O,X
TIOLJZS,X,O,X,O,X,X,X,O,O,X,O,X
TIOLSJZ,X,X,X,O,X,X,X,O,X,X,O,O
TIOLSZJ,X,X,X,O,X,X,X,X,X,X,O,O
TIOLZJS,X,O,X,O,X,X,X,O,O,X,O,O
TIOLZSJ,X,X,X,O,X,X,X,O,X,X,O,O
TIOJLSZ,X,X,X,O,X,X,X,O,X,X,O,X
TIOJLZS,X,O,X,O,X,X,X,O,O,X,O,X
TIOJSLZ,X,X,X,O,X,X,X,X,O,X,O,X
TIOJSZL,O,X,X,O,X,X,X,O,O,X,O,X
TIOJZLS,X,O,X,O,X,X,X,X,O,X,O,X
TIOJZSL,O,O,X,O,X,X,X,O,O,X,O,X
TIOSLJZ,X,X,X,O,X,X,O,X,O,X,O,X
TIOSLZJ,X,X,X,X,X,X,O,X,O,X,O,X
TIOSJLZ,X,X,X,O,X,X,O,X,O,X,O,X
TIOSJZL,O,X,X,O,X,X,O,O,O,X,O,X
TIOSZLJ,O,X,X,O,X,X,O,X,O,X,O,X
TIOSZJL,O,X,X,O,X,X,O,X,O,X,O,X
TIOZLJS,X,O,X,O,X,X,X,X,O,X,O,O
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,O,O
TIOZJLS,X,O,X,O,X,X,X,X,O,X,O,O
TIOZJSL,O,O,X,O,X,X,X,O,O,X,O,O
TIOZSLJ,O,X,X,O,X,X,O,X,O,X,O,X
TIOZSJL,O,X,X,O,X,X,O,O,O,X,O,O
TLIJSZO,X,X,X,O,O,X,X,O,O,X,O,X
TLIJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TLIJZSO,X,O,X,O,O,X,X,O,O,X,O,X
TLIJZOS,X,O,X,O,X,X,X,O,O,X,O,X
TLIJOSZ,X,X,X,O,X,X,X,O,X,X,O,X
TLIJOZS,X,O,X,X,X,X,X,O,O,X,O,X
TLISJZO,X,X,X,O,O,X,X,O,O,X,O,O
TLISJOZ,X,X,X,O,X,X,X,O,O,X,X,O
TLISZJO,X,X,X,O,O,X,X,O,O,X,O,O
TLISZOJ,X,X,X,O,O,X,X,O,O,X,X,O
TLISOJZ,X,X,X,O,X,X,X,O,O,X,X,O
TLISOZJ,X,X,X,X,X,X,X,X,O,X,X,O
TLIZJSO,X,O,X,O,O,X,X,O,O,X,O,O
TLIZJOS,X,O,X,O,X,X,X,O,O,X,O,O
TLIZSJO,X,O,X,O,O,X,X,O,O,X,O,O
TLIZSOJ,X,X,X,O,O,X,X,O,O,X,X,O
TLIZOJS,X,O,X,O,X,X,X,O,O,X,O,O
TLIZOSJ,X,X,X,O,O,X,X,O,X,X,O,O
TLIOJSZ,X,X,X,O,X,X,X,O,X,X,O,X
TLIOJZS,X,O,X,X,X,X,X,O,O,X,O,X
TLIOSJZ,X,X,X,O,X,X,X,O,X,X,O,O
TLIOSZJ,X,X,X,X,X,X,X,O,X,X,O,O
TLIOZJS,X,O,X,X,X,X,X,O,O,X,O,O
TLIOZSJ,X,X,X,X,X,X,X,O,X,X,O,O
TLJISZO,X,X,X,O,O,X,X,O,O,X,O,X
TLJISOZ,X,X,X,O,X,X,X,O,O,X,X,X
TLJIZSO,X,O,X,O,O,X,X,O,O,X,O,X
TLJIZOS,X,O,X,O,X,X,X,O,O,X,O,X
TLJIOSZ,X,X,X,O,X,X,X,O,X,X,O,X
TLJIOZS,X,O,X,X,X,X,X,O,O,X,O,X
TLJSIZO,X,X,X,O,O,O,X,O,O,X,O,X
TLJSIOZ,X,X,X,O,X,O,X,O,O,X,X,X
TLJSZIO,X,O,O,O,O,O,X,O,O,X,O,X
TLJSZOI,X,O,O,O,O,O,X,O,O,X,X,X
TLJSOIZ,X,X,O,O,X,O,X,O,O,X,X,X
TLJSOZI,X,O,O,O,O,O,X,O,O,X,X,X
TLJZISO,X,O,O,O,O,X,X,O,O,X,O,X
TLJZIOS,X,O,X,O,X,X,X,O,O,X,O,X
TLJZSIO,X,O,O,O,O,O,X,O,O,X,O,X
TLJZSOI,X,O,O,O,O,O,X,O,O,X,X,X
TLJZOIS,X,O,X,O,X,X,X,O,O,X,O,X
TLJZOSI,X,O,X,O,X,X,X,O,O,X,O,X
TLJOISZ,X,X,X,O,X,X,X,O,X,X,O,X
TLJOIZS,X,O,X,O,X,X,X,O,O,X,O,X
TLJOSIZ,X,X,X,O,X,X,X,O,O,X,O,X
TLJOSZI,X,O,X,O,X,X,X,O,O,X,O,X
TLJOZIS,X,O,X,O,X,X,X,O,O,X,O,X
TLJOZSI,X,O,X,O,X,X,X,O,O,X,O,X
TLSIJZO,X,X,X,O,O,O,O,O,O,X,O,O
TLSIJOZ,X,X,X,O,X,O,O,O,O,X,X,O
TLSIZJO,X,X,X,O,O,O,O,O,O,X,O,O
TLSIZOJ,X,X,X,O,O,O,O,O,O,X,X,O
TLSIOJZ,X,X,X,O,X,O,O,O,O,X,X,O
TLSIOZJ,X,X,X,X,X,O,O,X,O,X,X,O
TLSJIZO,X,X,X,O,O,O,O,O,O,X,O,O
TLSJIOZ,X,X,X,O,X,O,O,O,O,X,X,O
TLSJZIO,X,X,O,O,O,O,O,O,O,X,O,O
TLSJZOI,X,X,O,O,O,O,O,O,O,X,X,O
TLSJOIZ,X,X,O,O,X,O,O,O,O,X,X,O
TLSJOZI,X,X,O,O,O,O,O,O,O,X,X,O
TLSZIJO,X,X,O,O,O,O,O,O,O,X,X,O
TLSZIOJ,X,X,X,O,O,O,O,O,O,X,X,O
TLSZJIO,X,X,O,O,O,O,O,O,O,X,O,O
TLSZJOI,X,X,O,O,O,O,O,O,O,X,X,O
TLSZOIJ,X,X,O,O,O,O,O,O,O,X,X,O
TLSZOJI,X,X,O,O,O,O,O,O,O,X,X,O
TLSOIJZ,X,X,O,O,X,O,O,O,O,X,X,O
TLSOIZJ,X,X,O,X,X,O,O,X,O,X,X,O
TLSOJIZ,X,X,O,O,X,O,O,O,O,X,X,O
TLSOJZI,X,X,O,O,O,O,O,O,O,X,X,O
TLSOZIJ,X,X,O,O,O,O,O,O,O,X,X,O
TLSOZJI,X,X,O,O,O,O,O,O,O,X,X,O
TLZIJSO,X,O,O,O,O,X,X,O,O,X,O,O
TLZIJOS,X,O,X,O,X,X,X,O,O,X,O,O
TLZISJO,X,O,O,O,O,X,X,O,O,X,O,O
TLZISOJ,X,X,X,O,O,X,X,O,O,X,X,O
TLZIOJS,X,O,X,O,X,X,X,O,O,X,O,O
TLZIOSJ,X,X,X,O,O,X,X,O,X,X,O,O
TLZJISO,X,O,O,O,O,X,X,O,O,X,O,O
TLZJIOS,X,O,X,O,X,X,X,O,O,X,O,O
TLZJSIO,X,O,O,O,O,O,X,O,O,X,O,O
TLZJSOI,X,O,O,O,O,O,X,O,O,X,X,O
TLZJOIS,X,O,X,O,X,X,X,O,O,X,O,O
TLZJOSI,X,O,X,O,X,X,X,O,O,X,O,O
TLZSIJO,X,O,O,O,O,O,O,O,O,X,X,O
TLZSIOJ,X,X,X,O,O,O,O,O,O,X,X,O
TLZSJIO,X,O,O,O,O,O,O,O,O,X,O,O
TLZSJOI,X,O,O,O,O,O,O,O,O,X,X,O
TLZSOIJ,X,X,O,O,O,O,O,O,O,X,X,O
TLZSOJI,X,X,O,O,O,O,O,O,O,X,X,O
TLZOIJS,X,O,X,O,X,X,X,O,O,X,O,O
TLZOISJ,X,X,X,O,O,X,X,O,X,X,O,O
TLZOJIS,X,O,X,O,X,X,X,O,O,X,O,O
TLZOJSI,X,O,X,O,X,X,X,O,O,X,O,O
TLZOSIJ,X,X,X,O,O,X,O,O,O,X,X,O
TLZOSJI,X,X,X,O,O,X,O,O,O,X,O,O
TLOIJSZ,X,X,X,O,X,X,X,O,X,X,O,X
TLOIJZS,X,O,X,O,X,X,X,O,O,X,O,X
TLOISJZ,X,X,X,O,X,X,X,O,X,X,O,O
TLOISZJ,X,X,X,X,X,X,X,O,X,X,O,O
TLOIZJS,X,O,X,O,X,X,X,O,O,X,O,O
TLOIZSJ,X,X,X,O,X,X,X,O,X,X,O,O
TLOJISZ,X,X,X,O,X,X,X,O,X,X,O,X
TLOJIZS,X,O,X,O,X,X,X,O,O,X,O,X
TLOJSIZ,X,X,X,O,X,X,X,O,O,X,O,X
TLOJSZI,X,O,X,O,X,X,X,O,O,X,O,X
TLOJZIS,X,O,X,O,X,X,X,O,O,X,O,X
TLOJZSI,X,O,X,O,X,X,X,O,O,X,O,X
TLOSIJZ,X,X,X,O,X,X,O,O,O,X,O,O
TLOSIZJ,X,X,X,X,X,X,O,O,O,X,O,O
TLOSJIZ,X,X,X,O,X,X,O,O,O,X,O,O
TLOSJZI,X,X,X,O,X,X,O,O,O,X,O,O
TLOSZIJ,X,X,X,O,X,X,O,O,O,X,X,O
TLOSZJI,X,X,X,O,X,X,O,O,O,X,O,O
TLOZIJS,X,O,X,O,X,X,X,O,O,X,O,O
TLOZISJ,X,X,X,O,X,X,X,O,X,X,O,O
TLOZJIS,X,O,X,O,X,X,X,O,O,X,O,O
TLOZJSI,X,O,X,O,X,X,X,O,O,X,O,O
TLOZSIJ,X,X,X,O,X,X,O,O,O,X,X,O
TLOZSJI,X,X,X,O,X,X,O,O,O,X,O,O
TJILSZO,X,X,X,O,O,X,X,O,O,X,O,X
TJILSOZ,X,X,X,O,X,X,X,O,O,X,X,X
TJILZSO,X,O,X,O,O,X,X,O,O,X,O,X
TJILZOS,X,O,X,O,X,X,X,O,O,X,O,X
TJILOSZ,X,X,X,O,X,X,X,O,X,X,O,X
TJILOZS,X,O,X,X,X,X,X,O,O,X,O,X
TJISLZO,X,X,X,O,O,O,X,O,O,X,O,X
TJISLOZ,X,X,X,O,X,O,X,O,X,X,X,X
TJISZLO,O,X,O,O,O,O,X,O,O,X,O,X
TJISZOL,O,X,O,O,O,O,X,O,O,X,O,X
TJISOLZ,X,X,O,X,X,O,X,X,X,X,O,X
TJISOZL,X,X,O,O,X,O,X,O,O,X,O,X
TJIZLSO,X,O,O,O,O,X,X,O,O,X,O,X
TJIZLOS,X,O,X,O,X,X,X,O,O,X,O,X
TJIZSLO,O,X,O,O,O,O,X,O,O,X,O,X
TJIZSOL,O,O,O,O,O,O,X,O,O,X,O,X
TJIZOLS,X,O,X,O,X,X,X,X,O,X,O,X
TJIZOSL,O,O,O,O,X,X,X,O,O,X,O,X
TJIOLSZ,X,X,X,O,X,X,X,O,X,X,O,X
TJIOLZS,X,O,X,O,X,X,X,O,O,X,O,X
TJIOSLZ,X,X,X,O,X,X,X,X,O,X,O,X
TJIOSZL,O,X,X,O,X,X,X,O,O,X,O,X
TJIOZLS,X,O,X,O,X,X,X,X,O,X,O,X
TJIOZSL,O,O,X,O,X,X,X,O,O,X,O,X
TJLISZO,X,X,X,O,O,X,X,O,O,X,O,X
TJLISOZ,X,X,X,O,X,X,X,O,O,X,X,X
TJLIZSO,X,O,X,O,O,X,X,O,O,X,O,X
TJLIZOS,X,O,X,O,X,X,X,O,O,X,O,X
TJLIOSZ,X,X,X,O,X,X,X,O,X,X,O,X
TJLIOZS,X,O,X,X,X,X,X,O,O,X,O,X
TJLSIZO,X,X,X,O,O,O,X,O,O,X,O,X
TJLSIOZ,X,X,X,O,X,O,X,O,O,X,X,X
TJLSZIO,X,O,O,O,O,O,X,O,O,X,O,X
TJLSZOI,X,O,O,O,O,O,X,O,O,X,X,X
TJLSOIZ,X,X,O,O,X,O,X,O,O,X,X,X
TJLSOZI,X,O,O,O,O,O,X,O,O,X,X,X
TJLZISO,X,O,O,O,O,X,X,O,O,X,O,X
TJLZIOS,X,O,X,O,X,X,X,O,O,X,O,X
TJLZSIO,X,O,O,O,O,O,X,O,O,X,O,X
TJLZSOI,X,O,O,O,O,O,X,O,O,X,X,X
TJLZOIS,X,O,X,O,X,X,X,O,O,X,O,X
TJLZOSI,X,O,X,O,X,X,X,O,O,X,O,X
TJLOISZ,X,X,X,O,X,X,X,O,X,X,O,X
TJLOIZS,X,O,X,O,X,X,X,O,O,X,O,X
TJLOSIZ,X,X,X,O,X,X,X,O,O,X,O,X
TJLOSZI,X,O,X,O,X,X,X,O,O,X,O,X
TJLOZIS,X,O,X,O,X,X,X,O,O,X,O,X
TJLOZSI,X,O,X,O,X,X,X,O,O,X,O,X
TJSILZO,X,X,X,O,O,O,O,O,O,X,O,X
TJSILOZ,X,X,X,O,X,O,O,O,X,X,X,X
TJSIZLO,O,X,O,O,O,O,O,O,O,X,O,X
TJSIZOL,O,X,O,O,O,O,O,O,O,X,O,X
TJSIOLZ,X,X,O,X,X,O,O,X,X,X,O,X
TJSIOZL,X,X,O,O,X,O,O,O,O,X,O,X
TJSLIZO,X,X,X,O,O,O,O,O,O,X,O,X
TJSLIOZ,X,X,X,O,X,O,O,O,O,X,X,X
TJSLZIO,O,X,O,O,O,O,O,O,O,X,O,X
TJSLZOI,O,X,O,O,O,O,O,O,O,X,X,X
TJSLOIZ,X,X,O,O,X,O,O,O,O,X,X,X
TJSLOZI,X,X,O,O,O,O,O,O,O,X,X,X
TJSZILO,O,X,O,O,O,O,O,O,O,X,O,X
TJSZIOL,O,O,O,O,O,O,O,O,O,X,O,X
TJSZLIO,O,X,O,O,O,O,O,O,O,X,O,X
TJSZLOI,O,X,O,O,O,O,O,O,O,X,X,X
TJSZOIL,O,O,O,O,O,O,O,O,O,X,O,X
TJSZOLI,O,O,O,X,O,O,O,X,O,X,O,X
TJSOILZ,X,X,O,O,X,O,O,X,O,X,O,X
TJSOIZL,O,X,O,O,X,O,O,O,O,X,O,X
TJSOLIZ,X,X,O,O,X,O,O,X,O,X,O,X
TJSOLZI,O,X,O,O,X,O,O,X,O,X,O,X
TJSOZIL,O,O,O,O,O,O,O,O,O,X,O,X
TJSOZLI,O,O,O,O,O,O,O,X,O,X,O,X
TJZILSO,X,O,O,O,O,X,X,O,O,X,O,X
TJZILOS,X,O,X,O,X,X,X,O,O,X,O,X
TJZISLO,O,X,O,O,O,O,X,O,O,X,O,X
TJZISOL,O,O,O,O,O,O,X,O,O,X,O,X
TJZIOLS,X,O,O,O,X,X,X,X,O,O,O,X
TJZIOSL,O,O,O,O,X,X,X,O,O,O,O,X
TJZLISO,X,O,O,O,O,X,X,O,O,X,O,X
TJZLIOS,X,O,X,O,X,X,X,O,O,X,O,X
TJZLSIO,X,O,O,O,O,O,X,O,O,X,O,X
TJZLSOI,X,O,O,O,O,O,X,O,O,X,X,X
TJZLOIS,X,O,X,O,X,X,X,O,O,X,O,X
TJZLOSI,X,O,X,O,X,X,X,O,O,X,O,X
TJZSILO,O,X,O,O,O,O,O,O,O,X,O,X
TJZSIOL,O,O,O,O,O,O,O,O,O,X,O,X
TJZSLIO,O,X,O,O,O,O,O,O,O,X,O,X
TJZSLOI,O,X,O,O,O,O,O,O,O,X,X,X
TJZSOIL,O,O,O,O,O,O,O,O,O,X,O,X
TJZSOLI,O,O,O,X,O,O,O,X,O,X,O,X
TJZOILS,X,O,O,O,X,X,X,X,O,O,O,X
TJZOISL,O,O,O,O,X,X,X,O,O,O,O,X
TJZOLIS,X,O,O,O,X,X,X,O,O,O,O,X
TJZOLSI,X,O,O,O,X,X,X,O,O,O,O,X
TJZOSIL,O,O,O,O,X,O,O,O,O,O,O,X
TJZOSLI,O,O,O,O,X,O,O,X,O,O,O,X
TJOILSZ,X,X,X,O,X,X,X,O,X,X,O,X
TJOILZS,X,O,X,O,X,X,X,O,O,X,O,X
TJOISLZ,X,X,O,O,X,X,X,X,O,O,O,X
TJOISZL,O,X,O,O,X,X,X,O,O,O,O,X
TJOIZLS,X,O,O,O,X,X,X,X,O,O,O,X
TJOIZSL,O,O,O,O,X,X,X,O,O,O,O,X
TJOLISZ,X,X,X,O,X,X,X,O,X,X,O,X
TJOLIZS,X,O,X,O,X,X,X,O,O,X,O,X
TJOLSIZ,X,X,O,O,X,X,X,O,O,O,O,X
TJOLSZI,X,O,O,O,X,X,X,O,O,O,O,X
TJOLZIS,X,O,O,O,X,X,X,O,O,O,O,X
TJOLZSI,X,O,O,O,X,X,X,O,O,O,O,X
TJOSILZ,X,X,O,O,X,O,O,X,O,O,O,X
TJOSIZL,O,X,O,O,X,O,O,O,O,O,O,X
TJOSLIZ,X,X,O,O,X,O,O,X,O,O,O,X
TJOSLZI,O,X,O,O,X,O,O,X,O,O,O,X
TJOSZIL,O,O,O,O,X,O,O,O,O,O,O,X
TJOSZLI,O,O,O,O,X,O,O,X,O,O,O,X
TJOZILS,X,O,O,O,X,X,X,X,O,O,O,X
TJOZISL,O,O,O,O,X,X,X,O,O,O,O,X
TJOZLIS,X,O,O,O,X,X,X,O,O,O,O,X
TJOZLSI,X,O,O,O,X,X,X,O,O,O,O,X
TJOZSIL,O,O,O,O,X,O,O,O,O,O,O,X
TJOZSLI,O,O,O,O,X,O,O,X,O,O,O,X
TSILJZO,X,X,X,O,O,O,O,O,O,X,O,X
TSILJOZ,X,X,X,O,X,O,O,O,X,X,X,X
TSILZJO,X,X,X,O,O,O,O,O,O,X,O,X
TSILZOJ,X,X,X,X,O,O,O,O,X,X,X,X
TSILOJZ,X,X,X,O,X,O,O,O,X,X,X,X
TSILOZJ,X,X,X,X,X,O,O,X,X,X,X,X
TSIJLZO,X,X,X,O,O,O,O,O,O,X,O,X
TSIJLOZ,X,X,X,O,X,O,O,O,X,X,X,X
TSIJZLO,O,X,O,O,O,O,O,O,O,X,O,X
TSIJZOL,O,X,O,O,O,O,O,O,O,X,O,X
TSIJOLZ,X,X,O,X,X,O,O,X,X,X,O,X
TSIJOZL,X,X,O,O,X,O,O,O,O,X,O,X
TSIZLJO,O,X,O,O,O,O,O,O,O,X,O,X
TSIZLOJ,X,X,X,X,X,O,O,X,X,X,X,X
TSIZJLO,O,X,O,O,O,O,O,O,O,X,O,X
TSIZJOL,O,X,O,O,O,O,O,O,O,X,O,X
TSIZOLJ,X,X,O,X,X,O,O,X,X,X,O,X
TSIZOJL,O,X,O,O,O,O,O,O,O,X,O,X
TSIOLJZ,X,X,O,X,X,O,O,X,X,X,O,X
TSIOLZJ,X,X,O,X,X,O,O,X,X,X,O,X
TSIOJLZ,X,X,O,X,X,O,O,X,X,X,O,X
TSIOJZL,X,X,O,O,X,O,O,O,O,X,O,X
TSIOZLJ,X,X,O,X,X,O,O,X,X,X,O,X
TSIOZJL,X,X,O,X,X,O,O,X,O,X,O,X
TSLIJZO,X,X,X,O,O,O,O,O,O,X,O,X
TSLIJOZ,X,X,X,O,X,O,O,O,O,X,X,X
TSLIZJO,X,X,X,O,O,O,O,O,O,X,O,X
TSLIZOJ,X,X,X,O,O,O,O,O,O,X,X,X
TSLIOJZ,X,X,X,O,X,O,O,O,O,X,X,X
TSLIOZJ,X,X,X,X,X,O,O,X,O,X,X,X
TSLJIZO,X,X,X,O,O,O,O,O,O,X,O,X
TSLJIOZ,X,X,X,O,X,O,O,O,O,X,X,X
TSLJZIO,O,X,O,O,O,O,O,O,O,X,O,X
TSLJZOI,O,X,O,O,O,O,O,O,O,X,X,X
TSLJOIZ,X,X,O,O,X,O,O,O,O,X,X,X
TSLJOZI,X,X,O,O,O,O,O,O,O,X,X,X
TSLZIJO,O,X,O,O,O,O,O,O,O,X,X,X
TSLZIOJ,X,X,X,O,O,O,O,O,O,X,X,X
