sequence,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhFxbB8hBfjB6jBmg?BFtB,v115@HhD8BeB8BeG8CeH8AeA8Je2/IvhFRbBzcBfjB6jBUh?BFtB,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhF2gBRcBSjB3hBUj?BFtB,v115@HhD8BeB8BeG8CeH8AeA8JeT6IvhFibBGeBRhBUjB3h?BFtB
LJTZIOS,O,O,X,O
LJTZSIO,O,O,O,O
LJTZSOI,O,O,O,O
LJTZOIS,O,O,X,O
LJTZOSI,O,O,O,O
LJTOISZ,X,O,O,X
LJTOIZS,X,X,X,O
LJTOSIZ,O,O,O,X
LJTOSZI,O,O,O,X
LJTOZIS,O,X,X,O
LJTOZSI,O,X,O,O
LJITSZO,X,O,X,X
LJITSOZ,X,O,X,X
LJITZSO,X,O,X,O
LJITZOS,X,O,X,O
LJITOSZ,X,O,X,X
LJITOZS,X,X,X,O
LJISTZO,X,O,X,X
LJISTOZ,X,O,O,X
LJISZTO,X,O,X,X
LJISZOT,X,O,O,X
LJISOTZ,X,O,O,X
LJISOZT,X,O,O,X
LJIZTSO,X,O,X,X
LJIZTOS,X,O,X,O
LJIZSTO,X,O,X,X
LJIZSOT,X,O,X,O
LJIZOTS,X,O,X,O
LJIZOST,X,O,X,O
LJIOTSZ,X,O,X,X
LJIOTZS,X,X,X,O
LJIOSTZ,X,O,O,X
LJIOSZT,X,O,O,X
LJIOZTS,X,X,X,O
LJIOZST,X,X,X,O
LJSTIZO,X,O,O,X
LJSTIOZ,X,O,O,X
LJSTZIO,O,O,O,X
LJSTZOI,O,O,O,X
LJSTOIZ,X,O,O,X
LJSTOZI,O,X,O,X
LJSITZO,X,O,O,X
LJSITOZ,X,O,O,X
LJSIZTO,O,O,X,X
LJSIZOT,O,O,O,X
LJSIOTZ,X,O,O,X
LJSIOZT,O,O,O,X
LJSZTIO,O,O,X,X
LJSZTOI,O,O,X,X
LJSZITO,O,O,X,X
LJSZIOT,O,O,O,X
LJSZOTI,O,O,O,X
LJSZOIT,O,O,O,X
LJSOTIZ,X,O,O,X
LJSOTZI,O,X,O,X
LJSOITZ,X,O,O,X
LJSOIZT,O,O,O,X
LJSOZTI,O,O,O,X
LJSOZIT,O,O,O,X
LJZTISO,O,O,X,X
LJZTIOS,O,O,X,O
LJZTSIO,O,O,X,X
LJZTSOI,O,O,X,X
LJZTOIS,O,O,X,O
LJZTOSI,O,O,X,X
LJZITSO,O,O,X,X
LJZITOS,O,O,X,O
LJZISTO,O,O,X,X
LJZISOT,O,O,X,O
LJZIOTS,O,O,X,O
LJZIOST,O,O,X,O
LJZSTIO,O,O,X,X
LJZSTOI,O,O,X,X
LJZSITO,O,O,X,X
LJZSIOT,O,O,O,O
LJZSOTI,O,O,O,X
LJZSOIT,O,O,O,O
LJZOTIS,O,O,X,O
LJZOTSI,O,O,X,X
LJZOITS,O,O,X,O
LJZOIST,O,O,X,O
LJZOSTI,O,O,O,X
LJZOSIT,O,O,O,O
LJOTISZ,X,O,O,X
LJOTIZS,X,X,X,O
LJOTSIZ,O,O,O,X
LJOTSZI,O,O,O,X
LJOTZIS,O,X,X,O
LJOTZSI,O,X,O,O
LJOITSZ,X,O,X,X
LJOITZS,X,X,X,O
LJOISTZ,X,O,O,X
LJOISZT,X,O,O,X
LJOIZTS,X,X,X,O
LJOIZST,X,X,X,O
LJOSTIZ,X,O,O,X
LJOSTZI,O,X,O,X
LJOSITZ,X,O,O,X
LJOSIZT,O,O,O,X
LJOSZTI,O,X,O,X
LJOSZIT,O,O,O,X
LJOZTIS,O,X,X,O
LJOZTSI,O,X,X,X
LJOZITS,O,X,X,O
LJOZIST,O,X,X,O
LJOZSTI,O,X,O,X
LJOZSIT,O,X,O,O
LSTIJZO,X,X,O,X
LSTIJOZ,X,X,O,X
LSTIZJO,X,X,O,O
LSTIZOJ,X,X,O,O
LSTIOJZ,X,X,O,X
LSTIOZJ,X,X,O,O
LSTJIZO,X,O,O,X
LSTJIOZ,X,O,O,X
LSTJZIO,O,O,O,X
LSTJZOI,O,O,O,X
LSTJOIZ,X,O,O,X
LSTJOZI,O,X,O,X
LSTZIJO,O,O,O,O
LSTZIOJ,O,O,O,O
LSTZJIO,O,O,O,O
LSTZJOI,O,O,O,O
LSTZOIJ,O,O,O,O
LSTZOJI,O,O,O,O
LSTOIJZ,X,X,O,X
LSTOIZJ,X,X,O,O
LSTOJIZ,X,O,O,X
LSTOJZI,O,X,O,X
LSTOZIJ,O,X,O,O
LSTOZJI,O,X,O,O
LSITJZO,X,X,O,X
LSITJOZ,X,X,O,X
LSITZJO,X,X,O,O
LSITZOJ,X,X,O,O
LSITOJZ,X,X,O,X
LSITOZJ,X,X,O,O
LSIJTZO,X,O,O,X
LSIJTOZ,X,O,O,X
LSIJZTO,O,O,X,X
LSIJZOT,O,O,O,X
LSIJOTZ,X,O,O,X
LSIJOZT,O,O,O,X
LSIZTJO,O,O,X,X
LSIZTOJ,O,O,X,X
LSIZJTO,O,O,X,X
LSIZJOT,O,O,O,O
LSIZOTJ,O,O,X,X
LSIZOJT,O,O,O,O
LSIOTJZ,X,X,O,X
LSIOTZJ,X,X,O,O
LSIOJTZ,X,O,O,X
LSIOJZT,O,O,O,X
LSIOZTJ,O,X,X,X
LSIOZJT,O,X,O,O
LSJTIZO,X,O,O,X
LSJTIOZ,X,O,O,X
LSJTZIO,O,O,O,X
LSJTZOI,O,O,O,X
LSJTOIZ,X,O,O,X
LSJTOZI,O,X,O,X
LSJITZO,X,O,O,X
LSJITOZ,X,O,O,X
LSJIZTO,O,O,X,X
LSJIZOT,O,O,O,X
LSJIOTZ,X,O,O,X
LSJIOZT,O,O,O,X
LSJZTIO,O,O,X,X
LSJZTOI,O,O,X,X
LSJZITO,O,O,X,X
LSJZIOT,O,O,O,X
LSJZOTI,O,O,O,X
LSJZOIT,O,O,O,X
LSJOTIZ,X,O,O,X
LSJOTZI,O,X,O,X
LSJOITZ,X,O,O,X
LSJOIZT,O,O,O,X
LSJOZTI,O,O,O,X
LSJOZIT,O,O,O,X
LSZTIJO,O,O,X,X
LSZTIOJ,O,O,X,X
LSZTJIO,O,O,X,X
LSZTJOI,O,O,X,X
LSZTOIJ,O,O,X,X
LSZTOJI,O,O,X,X
LSZITJO,O,O,X,X
LSZITOJ,O,O,X,X
LSZIJTO,O,O,X,X
LSZIJOT,O,O,O,O
LSZIOTJ,O,O,X,X
LSZIOJT,O,O,O,O
LSZJTIO,O,O,X,X
LSZJTOI,O,O,X,X
LSZJITO,O,O,X,X
LSZJIOT,O,O,O,O
LSZJOTI,O,O,O,X
LSZJOIT,O,O,O,O
LSZOTIJ,O,O,X,X
LSZOTJI,O,O,X,X
LSZOITJ,O,O,X,X
LSZOIJT,O,O,O,O
LSZOJTI,O,O,O,X
LSZOJIT,O,O,O,O
LSOTIJZ,X,X,O,X
LSOTIZJ,X,X,O,O
LSOTJIZ,X,O,O,X
LSOTJZI,O,X,O,X
LSOTZIJ,O,X,O,O
LSOTZJI,O,X,O,O
LSOITJZ,X,X,O,X
LSOITZJ,X,X,O,O
LSOIJTZ,X,O,O,X
LSOIJZT,O,O,O,X
LSOIZTJ,O,X,X,X
LSOIZJT,O,X,O,O
LSOJTIZ,X,O,O,X
LSOJTZI,O,X,O,X
LSOJITZ,X,O,O,X
LSOJIZT,O,O,O,X
LSOJZTI,O,O,O,X
LSOJZIT,O,O,O,X
LSOZTIJ,O,O,X,X
LSOZTJI,O,O,X,X
LSOZITJ,O,O,X,X
LSOZIJT,O,O,O,O
LSOZJTI,O,O,O,X
LSOZJIT,O,O,O,O
LZTIJSO,O,O,X,O
LZTIJOS,O,O,X,O
LZTISJO,O,O,X,O
LZTISOJ,O,O,X,O
LZTIOJS,X,O,X,O
LZTIOSJ,O,O,X,O
LZTJISO,O,O,X,O
LZTJIOS,O,O,X,O
LZTJSIO,O,O,X,O
LZTJSOI,O,O,X,O
LZTJOIS,O,O,X,O
LZTJOSI,O,O,X,O
LZTSIJO,O,O,X,O
LZTSIOJ,O,O,X,O
LZTSJIO,O,O,X,O
LZTSJOI,O,O,X,O
LZTSOIJ,O,O,X,O
LZTSOJI,O,O,X,O
LZTOIJS,X,O,X,O
LZTOISJ,O,O,X,O
LZTOJIS,O,O,X,O
LZTOJSI,O,O,X,O
LZTOSIJ,O,O,X,O
LZTOSJI,O,O,X,O
LZITJSO,O,O,X,O
LZITJOS,O,O,X,O
LZITSJO,O,O,X,O
LZITSOJ,O,O,X,O
LZITOJS,X,O,X,O
LZITOSJ,O,O,X,O
LZIJTSO,O,O,X,X
LZIJTOS,O,O,X,O
LZIJSTO,O,O,X,X
LZIJSOT,O,O,X,O
LZIJOTS,O,O,X,O
LZIJOST,O,O,X,O
LZISTJO,O,O,X,X
LZISTOJ,O,O,X,X
LZISJTO,O,O,X,X
LZISJOT,O,O,X,O
LZISOTJ,O,O,X,X
LZISOJT,O,O,X,O
LZIOTJS,X,O,X,O
LZIOTSJ,O,O,X,O
LZIOJTS,X,O,X,O
LZIOJST,X,O,X,O
LZIOSTJ,O,O,X,X
LZIOSJT,O,O,X,O
LZJTISO,O,O,X,X
LZJTIOS,O,O,X,O
LZJTSIO,O,O,X,X
LZJTSOI,O,O,X,X
LZJTOIS,O,O,X,O
LZJTOSI,O,O,X,X
LZJITSO,O,O,X,X
LZJITOS,O,O,X,O
LZJISTO,O,O,X,X
LZJISOT,O,O,X,O
LZJIOTS,O,O,X,O
LZJIOST,O,O,X,O
LZJSTIO,O,O,X,X
LZJSTOI,O,O,X,X
LZJSITO,O,O,X,X
LZJSIOT,O,O,O,O
LZJSOTI,O,O,O,X
LZJSOIT,O,O,O,O
LZJOTIS,O,O,X,O
LZJOTSI,O,O,X,X
LZJOITS,O,O,X,O
LZJOIST,O,O,X,O
LZJOSTI,O,O,O,X
LZJOSIT,O,O,O,O
LZSTIJO,O,O,X,X
LZSTIOJ,O,O,X,X
LZSTJIO,O,O,X,X
LZSTJOI,O,O,X,X
LZSTOIJ,O,O,X,X
LZSTOJI,O,O,X,X
LZSITJO,O,O,X,X
LZSITOJ,O,O,X,X
LZSIJTO,O,O,X,X
LZSIJOT,O,O,O,O
LZSIOTJ,O,O,X,X
LZSIOJT,O,O,O,O
LZSJTIO,O,O,X,X
LZSJTOI,O,O,X,X
LZSJITO,O,O,X,X
LZSJIOT,O,O,O,O
LZSJOTI,O,O,O,X
LZSJOIT,O,O,O,O
LZSOTIJ,O,O,X,X
LZSOTJI,O,O,X,X
LZSOITJ,O,O,X,X
LZSOIJT,O,O,O,O
LZSOJTI,O,O,O,X
LZSOJIT,O,O,O,O
LZOTIJS,X,O,X,O
LZOTISJ,O,O,X,O
LZOTJIS,O,O,X,O
LZOTJSI,O,O,X,O
LZOTSIJ,O,O,X,O
LZOTSJI,O,O,X,O
LZOITJS,X,O,X,O
LZOITSJ,O,O,X,O
LZOIJTS,X,O,X,O
LZOIJST,X,O,X,O
LZOISTJ,O,O,X,X
LZOISJT,O,O,X,O
LZOJTIS,O,O,X,O
LZOJTSI,O,O,X,X
LZOJITS,O,O,X,O
LZOJIST,O,O,X,O
LZOJSTI,O,O,O,X
LZOJSIT,O,O,O,O
LZOSTIJ,O,O,X,X
LZOSTJI,O,O,X,X
LZOSITJ,O,O,X,X
LZOSIJT,O,O,O,O
LZOSJTI,O,O,O,X
LZOSJIT,O,O,O,O
LOTIJSZ,X,X,O,X
LOTIJZS,X,X,X,O
LOTISJZ,X,X,O,X
LOTISZJ,X,X,O,O
LOTIZJS,X,X,X,O
LOTIZSJ,X,X,X,O
LOTJISZ,X,O,O,X
LOTJIZS,X,X,X,O
LOTJSIZ,O,O,O,X
LOTJSZI,O,O,O,X
LOTJZIS,O,X,X,O
LOTJZSI,O,X,O,O
LOTSIJZ,O,O,O,X
LOTSIZJ,O,X,O,O
LOTSJIZ,O,O,O,X
LOTSJZI,O,O,O,X
LOTSZIJ,O,X,O,O
LOTSZJI,O,O,O,O
LOTZIJS,X,X,X,O
LOTZISJ,O,X,X,O
LOTZJIS,O,X,X,O
LOTZJSI,O,X,O,O
LOTZSIJ,O,X,O,O
LOTZSJI,O,X,O,O
LOITJSZ,X,X,X,X
LOITJZS,X,X,X,O
LOITSJZ,X,X,X,X
LOITSZJ,X,X,X,O
LOITZJS,X,X,X,O
LOITZSJ,X,X,X,O
LOIJTSZ,X,X,X,X
LOIJTZS,X,X,X,O
LOIJSTZ,X,X,O,X
LOIJSZT,X,X,O,X
LOIJZTS,X,X,X,O
LOIJZST,X,X,X,O
LOISTJZ,X,X,O,X
LOISTZJ,X,X,X,O
LOISJTZ,X,X,O,X
LOISJZT,X,X,O,X
LOISZTJ,X,X,X,X
LOISZJT,X,X,O,O
LOIZTJS,X,X,X,O
LOIZTSJ,X,X,X,O
LOIZJTS,X,X,X,O
LOIZJST,X,X,X,O
LOIZSTJ,X,X,X,X
LOIZSJT,X,X,X,O
LOJTISZ,X,O,O,X
LOJTIZS,X,X,X,O
LOJTSIZ,O,O,O,X
LOJTSZI,O,O,O,X
LOJTZIS,O,X,X,O
LOJTZSI,O,X,O,O
LOJITSZ,X,O,X,X
LOJITZS,X,X,X,O
LOJISTZ,X,O,O,X
LOJISZT,X,O,O,X
LOJIZTS,X,X,X,O
LOJIZST,X,X,X,O
LOJSTIZ,X,O,O,X
LOJSTZI,O,X,O,X
LOJSITZ,X,O,O,X
LOJSIZT,O,O,O,X
LOJSZTI,O,X,O,X
LOJSZIT,O,O,O,X
LOJZTIS,O,X,X,O
LOJZTSI,O,X,X,X
LOJZITS,O,X,X,O
LOJZIST,O,X,X,O
LOJZSTI,O,X,O,X
LOJZSIT,O,X,O,O
LOSTIJZ,X,X,O,X
LOSTIZJ,X,X,O,O
LOSTJIZ,X,O,O,X
LOSTJZI,O,X,O,X
LOSTZIJ,O,X,O,O
LOSTZJI,O,X,O,O
LOSITJZ,X,X,O,X
LOSITZJ,X,X,O,O
LOSIJTZ,X,O,O,X
LOSIJZT,O,O,O,X
LOSIZTJ,O,X,X,X
LOSIZJT,O,X,O,O
LOSJTIZ,X,O,O,X
LOSJTZI,O,X,O,X
LOSJITZ,X,O,O,X
LOSJIZT,O,O,O,X
LOSJZTI,O,X,O,X
LOSJZIT,O,O,O,X
LOSZTIJ,O,X,X,X
LOSZTJI,O,X,X,X
LOSZITJ,O,X,X,X
LOSZIJT,O,X,O,O
LOSZJTI,O,X,O,X
LOSZJIT,O,O,O,O
LOZTIJS,X,X,X,O
LOZTISJ,O,X,X,O
LOZTJIS,O,X,X,O
LOZTJSI,O,X,X,O
LOZTSIJ,O,X,X,O
LOZTSJI,O,X,X,O
LOZITJS,X,X,X,O
LOZITSJ,O,X,X,O
LOZIJTS,X,X,X,O
LOZIJST,X,X,X,O
LOZISTJ,O,X,X,X
LOZISJT,O,X,X,O
LOZJTIS,O,X,X,O
LOZJTSI,O,X,X,X
LOZJITS,O,X,X,O
LOZJIST,O,X,X,O
LOZJSTI,O,X,O,X
LOZJSIT,O,X,O,O
LOZSTIJ,O,X,X,X
LOZSTJI,O,X,X,X
LOZSITJ,O,X,X,X
LOZSIJT,O,X,O,O
LOZSJTI,O,X,O,X
LOZSJIT,O,X,O,O
JTILSZO,X,O,O,X
JTILSOZ,X,O,O,X
JTILZSO,X,O,X,O
JTILZOS,X,O,X,O
JTILOSZ,X,O,O,X
JTILOZS,X,X,X,O
JTISLZO,O,O,O,X
JTISLOZ,O,O,O,X
JTISZLO,O,O,O,X
JTISZOL,O,O,O,X
JTISOLZ,O,O,O,X
JTISOZL,O,O,O,X
JTIZLSO,O,O,X,O
JTIZLOS,O,O,X,O
JTIZSLO,O,O,X,O
JTIZSOL,O,O,X,O
JTIZOLS,O,O,X,O
JTIZOSL,O,O,X,O
JTIOLSZ,X,O,O,X
JTIOLZS,X,X,X,O
JTIOSLZ,O,O,O,X
JTIOSZL,O,O,O,X
JTIOZLS,O,O,X,O
JTIOZSL,O,O,X,O
JTLISZO,X,O,O,X
JTLISOZ,X,O,O,X
JTLIZSO,X,O,X,O
JTLIZOS,X,O,X,O
JTLIOSZ,X,O,O,X
JTLIOZS,X,X,X,O
JTLSIZO,O,O,O,X
JTLSIOZ,O,O,O,X
JTLSZIO,O,O,O,X
JTLSZOI,O,O,O,X
JTLSOIZ,O,O,O,X
JTLSOZI,O,O,O,X
JTLZISO,O,O,X,O
JTLZIOS,O,O,X,O
JTLZSIO,O,O,O,O
JTLZSOI,O,O,O,O
JTLZOIS,O,O,X,O
JTLZOSI,O,O,O,O
JTLOISZ,X,O,O,X
JTLOIZS,X,X,X,O
JTLOSIZ,O,O,O,X
JTLOSZI,O,O,O,X
JTLOZIS,O,X,X,O
JTLOZSI,O,X,O,O
JTSILZO,O,O,O,X
JTSILOZ,O,O,O,X
JTSIZLO,O,O,O,X
JTSIZOL,O,O,O,X
JTSIOLZ,O,O,O,X
JTSIOZL,O,O,O,X
JTSLIZO,O,O,O,X
JTSLIOZ,O,O,O,X
JTSLZIO,O,O,O,X
JTSLZOI,O,O,O,X
JTSLOIZ,O,O,O,X
JTSLOZI,O,O,O,X
JTSZILO,O,O,O,X
JTSZIOL,O,O,O,X
JTSZLIO,O,O,O,X
JTSZLOI,O,O,O,X
JTSZOIL,O,O,O,X
JTSZOLI,O,O,O,X
JTSOILZ,O,O,O,X
JTSOIZL,O,O,O,X
JTSOLIZ,O,O,O,X
JTSOLZI,O,O,O,X
JTSOZIL,O,O,O,X
JTSOZLI,O,O,O,X
JTZILSO,O,O,X,O
JTZILOS,O,O,X,O
JTZISLO,O,O,X,O
JTZISOL,O,O,X,O
JTZIOLS,O,O,X,O
JTZIOSL,O,O,X,O
JTZLISO,O,O,X,O
JTZLIOS,O,O,X,O
JTZLSIO,O,O,O,O
JTZLSOI,O,O,O,O
JTZLOIS,O,O,X,O
JTZLOSI,O,O,O,O
JTZSILO,O,O,O,O
JTZSIOL,O,O,O,O
JTZSLIO,O,O,O,O
JTZSLOI,O,O,O,O
JTZSOIL,O,O,O,O
JTZSOLI,O,O,O,O
JTZOILS,O,O,X,O
JTZOISL,O,O,X,O
JTZOLIS,O,O,X,O
JTZOLSI,O,O,O,O
JTZOSIL,O,O,O,O
JTZOSLI,O,O,O,O
JTOILSZ,X,O,O,X
JTOILZS,X,X,X,O
JTOISLZ,O,O,O,X
JTOISZL,O,O,O,X
JTOIZLS,O,O,X,O
JTOIZSL,O,O,X,O
JTOLISZ,X,O,O,X
JTOLIZS,X,X,X,O
JTOLSIZ,O,O,O,X
JTOLSZI,O,O,O,X
JTOLZIS,O,X,X,O
JTOLZSI,O,X,O,O
JTOSILZ,O,O,O,X
JTOSIZL,O,O,O,X
JTOSLIZ,O,O,O,X
JTOSLZI,O,O,O,X
JTOSZIL,O,O,O,X
JTOSZLI,O,O,O,X
JTOZILS,O,O,X,O
JTOZISL,O,O,X,O
JTOZLIS,O,O,X,O
JTOZLSI,O,O,O,O
JTOZSIL,O,O,O,O
JTOZSLI,O,O,O,O
JITLSZO,X,O,O,X
JITLSOZ,X,O,O,X
JITLZSO,X,O,X,O
JITLZOS,X,O,X,O
JITLOSZ,X,O,O,X
JITLOZS,X,X,X,O
JITSLZO,O,O,O,X
JITSLOZ,O,O,O,X
JITSZLO,O,O,O,X
JITSZOL,O,O,O,X
JITSOLZ,O,O,O,X
JITSOZL,O,O,O,X
JITZLSO,O,O,X,O
JITZLOS,O,O,X,O
JITZSLO,O,O,X,O
JITZSOL,O,O,X,O
JITZOLS,O,O,X,O
JITZOSL,O,O,X,O
JITOLSZ,X,O,O,X
JITOLZS,X,X,X,O
JITOSLZ,O,O,O,X
JITOSZL,O,O,O,X
JITOZLS,O,O,X,O
JITOZSL,O,O,X,O
JILTSZO,X,O,X,X
JILTSOZ,X,O,X,X
JILTZSO,X,O,X,O
JILTZOS,X,O,X,O
JILTOSZ,X,O,X,X
JILTOZS,X,X,X,O
JILSTZO,X,O,X,X
JILSTOZ,X,O,O,X
JILSZTO,X,O,X,X
JILSZOT,X,O,O,X
JILSOTZ,X,O,O,X
JILSOZT,X,O,O,X
JILZTSO,X,O,X,X
JILZTOS,X,O,X,O
JILZSTO,X,O,X,X
JILZSOT,X,O,X,O
JILZOTS,X,O,X,O
JILZOST,X,O,X,O
JILOTSZ,X,O,X,X
JILOTZS,X,X,X,O
JILOSTZ,X,O,O,X
JILOSZT,X,O,O,X
JILOZTS,X,X,X,O
JILOZST,X,X,X,O
JISTLZO,X,O,O,X
JISTLOZ,X,O,O,X
JISTZLO,X,O,O,X
JISTZOL,X,O,O,X
JISTOLZ,X,O,O,X
JISTOZL,X,O,O,X
JISLTZO,X,O,O,X
JISLTOZ,X,O,O,X
JISLZTO,O,O,X,X
JISLZOT,O,O,O,X
JISLOTZ,X,O,O,X
JISLOZT,O,O,O,X
JISZTLO,O,O,O,X
JISZTOL,O,O,O,X
JISZLTO,O,O,X,X
JISZLOT,O,O,O,X
JISZOTL,O,O,O,X
JISZOLT,O,O,O,X
JISOTLZ,X,O,O,X
JISOTZL,X,O,O,X
JISOLTZ,X,O,O,X
JISOLZT,O,O,O,X
JISOZTL,O,O,O,X
JISOZLT,O,O,O,X
JIZTLSO,O,O,X,X
JIZTLOS,O,O,X,O
JIZTSLO,O,O,X,X
JIZTSOL,O,O,X,X
JIZTOLS,O,O,X,O
JIZTOSL,O,O,X,X
JIZLTSO,O,O,X,X
JIZLTOS,O,O,X,O
JIZLSTO,O,O,X,X
JIZLSOT,O,O,X,O
JIZLOTS,O,O,X,O
JIZLOST,O,O,X,O
JIZSTLO,O,O,X,X
JIZSTOL,O,O,X,X
JIZSLTO,O,O,X,X
JIZSLOT,O,O,X,O
JIZSOTL,O,O,X,X
JIZSOLT,O,O,X,O
JIZOTLS,O,O,X,O
JIZOTSL,O,O,X,X
JIZOLTS,O,O,X,O
JIZOLST,O,O,X,O
JIZOSTL,O,O,X,X
JIZOSLT,O,O,X,O
JIOTLSZ,X,O,O,X
JIOTLZS,X,X,X,O
JIOTSLZ,O,O,O,X
JIOTSZL,O,O,O,X
JIOTZLS,O,O,X,O
JIOTZSL,O,O,X,O
JIOLTSZ,X,O,X,X
JIOLTZS,X,X,X,O
JIOLSTZ,X,O,O,X
JIOLSZT,X,O,O,X
JIOLZTS,X,X,X,O
JIOLZST,X,X,X,O
JIOSTLZ,X,O,O,X
JIOSTZL,X,O,O,X
JIOSLTZ,X,O,O,X
JIOSLZT,O,O,O,X
JIOSZTL,O,O,O,X
JIOSZLT,O,O,O,X
JIOZTLS,O,O,X,O
JIOZTSL,O,O,X,X
JIOZLTS,O,O,X,O
JIOZLST,O,O,X,O
JIOZSTL,O,O,X,X
JIOZSLT,O,O,X,O
JLTISZO,X,O,O,X
JLTISOZ,X,O,O,X
JLTIZSO,X,O,X,O
JLTIZOS,X,O,X,O
JLTIOSZ,X,O,O,X
JLTIOZS,X,X,X,O
JLTSIZO,O,O,O,X
JLTSIOZ,O,O,O,X
JLTSZIO,O,O,O,X
JLTSZOI,O,O,O,X
JLTSOIZ,O,O,O,X
JLTSOZI,O,O,O,X
JLTZISO,O,O,X,O
JLTZIOS,O,O,X,O
JLTZSIO,O,O,O,O
JLTZSOI,O,O,O,O
JLTZOIS,O,O,X,O
JLTZOSI,O,O,O,O
JLTOISZ,X,O,O,X
JLTOIZS,X,X,X,O
JLTOSIZ,O,O,O,X
JLTOSZI,O,O,O,X
JLTOZIS,O,X,X,O
JLTOZSI,O,X,O,O
JLITSZO,X,O,X,X
JLITSOZ,X,O,X,X
JLITZSO,X,O,X,O
JLITZOS,X,O,X,O
JLITOSZ,X,O,X,X
JLITOZS,X,X,X,O
JLISTZO,X,O,X,X
JLISTOZ,X,O,O,X
JLISZTO,X,O,X,X
JLISZOT,X,O,O,X
JLISOTZ,X,O,O,X
JLISOZT,X,O,O,X
JLIZTSO,X,O,X,X
JLIZTOS,X,O,X,O
JLIZSTO,X,O,X,X
JLIZSOT,X,O,X,O
JLIZOTS,X,O,X,O
JLIZOST,X,O,X,O
JLIOTSZ,X,O,X,X
JLIOTZS,X,X,X,O
JLIOSTZ,X,O,O,X
JLIOSZT,X,O,O,X
JLIOZTS,X,X,X,O
JLIOZST,X,X,X,O
JLSTIZO,X,O,O,X
JLSTIOZ,X,O,O,X
JLSTZIO,O,O,O,X
JLSTZOI,O,O,O,X
JLSTOIZ,X,O,O,X
JLSTOZI,O,X,O,X
JLSITZO,X,O,O,X
JLSITOZ,X,O,O,X
JLSIZTO,O,O,X,X
JLSIZOT,O,O,O,X
JLSIOTZ,X,O,O,X
JLSIOZT,O,O,O,X
JLSZTIO,O,O,X,X
JLSZTOI,O,O,X,X
JLSZITO,O,O,X,X
JLSZIOT,O,O,O,X
JLSZOTI,O,O,O,X
JLSZOIT,O,O,O,X
JLSOTIZ,X,O,O,X
JLSOTZI,O,X,O,X
JLSOITZ,X,O,O,X
JLSOIZT,O,O,O,X
JLSOZTI,O,O,O,X
JLSOZIT,O,O,O,X
JLZTISO,O,O,X,X
JLZTIOS,O,O,X,O
JLZTSIO,O,O,X,X
JLZTSOI,O,O,X,X
JLZTOIS,O,O,X,O
JLZTOSI,O,O,X,X
JLZITSO,O,O,X,X
JLZITOS,O,O,X,O
JLZISTO,O,O,X,X
JLZISOT,O,O,X,O
JLZIOTS,O,O,X,O
JLZIOST,O,O,X,O
JLZSTIO,O,O,X,X
JLZSTOI,O,O,X,X
JLZSITO,O,O,X,X
JLZSIOT,O,O,O,O
JLZSOTI,O,O,O,X
JLZSOIT,O,O,O,O
JLZOTIS,O,O,X,O
JLZOTSI,O,O,X,X
JLZOITS,O,O,X,O
JLZOIST,O,O,X,O
JLZOSTI,O,O,O,X
JLZOSIT,O,O,O,O
JLOTISZ,X,O,O,X
JLOTIZS,X,X,X,O
JLOTSIZ,O,O,O,X
JLOTSZI,O,O,O,X
JLOTZIS,O,X,X,O
JLOTZSI,O,X,O,O
JLOITSZ,X,O,X,X
JLOITZS,X,X,X,O
JLOISTZ,X,O,O,X
JLOISZT,X,O,O,X
JLOIZTS,X,X,X,O
JLOIZST,X,X,X,O
JLOSTIZ,X,O,O,X
JLOSTZI,O,X,O,X
JLOSITZ,X,O,O,X
JLOSIZT,O,O,O,X
JLOSZTI,O,X,O,X
JLOSZIT,O,O,O,X
JLOZTIS,O,X,X,O
JLOZTSI,O,X,X,X
JLOZITS,O,X,X,O
JLOZIST,O,X,X,O
JLOZSTI,O,X,O,X
JLOZSIT,O,X,O,O
JSTILZO,O,O,O,X
JSTILOZ,O,O,O,X
JSTIZLO,O,O,O,X
JSTIZOL,O,O,O,X
JSTIOLZ,O,O,O,X
JSTIOZL,O,O,O,X
JSTLIZO,O,O,O,X
JSTLIOZ,O,O,O,X
JSTLZIO,O,O,O,X
JSTLZOI,O,O,O,X
JSTLOIZ,O,O,O,X
JSTLOZI,O,O,O,X
JSTZILO,O,O,O,X
JSTZIOL,O,O,O,X
JSTZLIO,O,O,O,X
JSTZLOI,O,O,O,X
JSTZOIL,O,O,O,X
JSTZOLI,O,O,O,X
JSTOILZ,O,O,O,X
JSTOIZL,O,O,O,X
JSTOLIZ,O,O,O,X
JSTOLZI,O,O,O,X
JSTOZIL,O,O,O,X
JSTOZLI,O,O,O,X
JSITLZO,X,O,O,X
JSITLOZ,X,O,O,X
JSITZLO,X,O,O,X
JSITZOL,X,O,O,X
JSITOLZ,X,O,O,X
JSITOZL,X,O,O,X
JSILTZO,X,O,O,X
JSILTOZ,X,O,O,X
JSILZTO,O,O,X,X
JSILZOT,O,O,O,X
JSILOTZ,X,O,O,X
JSILOZT,O,O,O,X
JSIZTLO,O,O,O,X
JSIZTOL,O,O,O,X
JSIZLTO,O,O,X,X
JSIZLOT,O,O,O,X
