sequence,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiB6?oBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhF5jBykBFiB8?nBmnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jem9IvhF5jBifBFiB0?fBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFxdBykBFiB8?nB+oB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiBC?oBToB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFldB5jBykBU?iBeoB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFifBFiBTjB0?fBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB6oB8?pBznBOpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je5DJvhF/kBalBFiB8?nBmnBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhF5jBzfBUiBa?oBlnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeVCJvhFTeBifB0fBx?nBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFViBajB5jBz?kB0nB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFxdBUiBFjBz?kBStB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeX9IvhFVjBmfB0kBx?nBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFykBFiBGoB0?kBXoBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF/kBalBFiB8?nB+oBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFmfBFiBXjB0?kBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB8pBC?oBToBOpB
TIJOZLS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISLOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TISLOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TISJZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISZJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISZJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TISOLJZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISOLZJ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZLJSO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
TIZLJOS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X
TIZLSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TIZLOJS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZJLSO,O,O,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X
TIZJLOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJOLS,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSLJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
TIZSJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZSJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOLZJS,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOZSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSZO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLIJSOZ,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIJZSO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TLIJZOS,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLIJOZS,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLISJZO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLISJOZ,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TLISZJO,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLISZOJ,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TLISOJZ,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TLIZJSO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLIZJOS,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIZSJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLIZSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TLIZOJS,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLIZOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIOJZS,O,X,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X
TLIOSJZ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJISZO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
TLJISOZ,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TLJIZSO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TLJIZOS,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLJIOSZ,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJIOZS,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TLJSIZO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X
TLJSIOZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TLJSZIO,O,X,O,X,O,X,X,X,O,X,X,X,O,X,O,O,O,X
TLJSZOI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
TLJSOIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJSOZI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJZISO,O,O,O,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TLJZIOS,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
TLJZSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
TLJZSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
TLJZOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
TLJZOSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
TLJOISZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJOIZS,O,X,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TLSIJOZ,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TLSIZOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TLSIOJZ,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TLSJIZO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X
TLSJIOZ,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X
TLSJZIO,O,O,O,X,O,X,X,X,O,X,X,X,O,X,O,O,O,X
TLSJZOI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X
TLSJOIZ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSJOZI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSZIJO,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
TLSZIOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
TLSZJIO,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
TLSZJOI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O
TLSZOIJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TLSZOJI,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TLSOIJZ,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TLSOJIZ,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TLSOZJI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZIJSO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLZIJOS,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
TLZISJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLZISOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TLZIOJS,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLZIOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TLZJIOS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TLZJSIO,O,X,X,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
TLZJSOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
TLZJOIS,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TLZJOSI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X
TLZSIJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLZSIOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
TLZSJIO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
TLZSJOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TLZSOIJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
TLZSOJI,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,O
TLZOIJS,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
TLZOJSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
TLZOSIJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
TLZOSJI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
TLOIJSZ,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,O,X,O,X,O,O,X,O,X,X,O,O,O,X,X,X,X,X
TLOISJZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TLOJIZS,O,X,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TLOJSIZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TLOJSZI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLOJZIS,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TLOJZSI,O,X,X,O,O,O,O,O,X,X,X,O,X,X,O,X,X,X
TLOSIJZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOSJIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TLOSZJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOZIJS,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
TLOZJSI,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
TLOZSIJ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
TLOZSJI,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
TJILSZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TJILSOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TJILZSO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TJILZOS,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJILOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TJISLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJISZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZLOS,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZSLO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJIOZLS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLISZO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJLISOZ,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TJLIZSO,O,X,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X
TJLIZOS,O,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJLIOZS,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TJLSIZO,O,X,O,X,O,O,X,X,X,X,X,X,O,X,O,X,O,X
TJLSIOZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TJLSZIO,O,X,O,X,O,O,X,X,O,X,X,X,O,X,O,O,O,X
