sequence,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB0hBmiBSs?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBGhBiiBUmB3n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB6mBOnB8n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBChBXiB8nB2r?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpB3mBUn?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpBUnB3m?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBGhBKnBziBfq?BVwB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBFhBmiBfqBSw?BTsB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFFgB6mBOnB8nBfq?BzqB
TIJLZOS,O,X,X,O,O,O,O,X,X
TIJLOSZ,O,X,X,O,O,O,O,O,X
TIJLOZS,O,X,X,O,O,O,O,X,X
TIJSLZO,O,O,O,O,O,O,O,O,X
TIJSLOZ,O,O,O,O,O,O,O,O,X
TIJSZLO,O,O,O,O,O,O,O,O,X
TIJSZOL,O,O,O,O,O,O,O,O,X
TIJSOLZ,O,O,O,O,O,O,O,O,X
TIJSOZL,O,O,O,O,O,O,O,O,X
TIJZLSO,O,O,O,O,O,O,O,X,X
TIJZLOS,O,O,O,O,O,O,O,X,X
TIJZSLO,O,O,O,O,O,O,O,X,X
TIJZSOL,O,O,O,O,O,O,O,X,X
TIJZOLS,O,O,O,O,O,O,X,X,X
TIJZOSL,O,O,O,O,O,O,X,X,X
TIJOLSZ,O,X,X,O,O,O,O,O,X
TIJOLZS,O,X,X,O,O,O,O,O,X
TIJOSLZ,O,O,O,O,O,O,O,O,X
TIJOSZL,O,O,O,O,O,O,O,O,X
TIJOZLS,O,O,O,O,O,O,X,X,X
TIJOZSL,O,O,O,O,O,O,X,X,X
TISLJZO,O,O,O,O,O,X,O,O,O
TISLJOZ,O,O,O,O,O,X,O,O,X
TISLZJO,O,O,O,O,X,X,O,O,O
TISLZOJ,O,O,O,O,X,X,O,O,O
TISLOJZ,O,O,O,O,O,X,O,O,O
TISLOZJ,O,O,O,O,X,X,O,O,O
TISJLZO,O,O,O,O,O,X,O,O,O
TISJLOZ,O,O,O,O,O,X,O,O,X
TISJZLO,O,O,O,O,O,X,O,O,O
TISJZOL,O,O,O,O,O,X,O,O,O
TISJOLZ,O,O,O,O,O,X,O,O,O
TISJOZL,O,O,O,O,O,X,O,O,O
TISZLJO,O,O,O,O,X,X,O,O,O
TISZLOJ,O,O,O,O,X,X,O,O,O
TISZJLO,O,O,O,O,X,X,O,O,O
TISZJOL,O,O,O,O,X,X,O,O,O
TISZOLJ,O,O,O,O,X,X,O,O,O
TISZOJL,O,O,O,O,X,X,O,O,O
TISOLJZ,O,O,O,O,O,X,O,O,O
TISOLZJ,O,O,O,O,X,X,O,O,O
TISOJLZ,O,O,O,O,O,X,O,O,O
TISOJZL,O,O,O,O,O,X,O,O,O
TISOZLJ,O,O,O,O,X,X,O,O,O
TISOZJL,O,O,O,O,X,X,O,O,O
TIZLJSO,O,O,O,O,X,O,O,X,O
TIZLJOS,O,O,O,O,X,O,O,X,O
TIZLSJO,O,O,O,O,X,X,O,X,O
TIZLSOJ,O,O,O,O,X,X,O,X,O
TIZLOJS,O,O,O,O,X,O,O,X,O
TIZLOSJ,O,O,O,O,X,X,O,X,O
TIZJLSO,O,O,O,O,X,O,O,X,O
TIZJLOS,O,O,O,O,X,O,O,X,O
TIZJSLO,O,O,O,O,X,O,O,X,O
TIZJSOL,O,O,O,O,X,O,O,X,O
TIZJOLS,O,O,O,O,X,O,X,X,O
TIZJOSL,O,O,O,O,X,O,X,X,O
TIZSLJO,O,O,O,O,X,X,O,X,O
TIZSLOJ,O,O,O,O,X,X,O,X,O
TIZSJLO,O,O,O,O,X,X,O,X,O
TIZSJOL,O,O,O,O,X,X,O,X,O
TIZSOLJ,O,O,O,O,X,X,O,X,O
TIZSOJL,O,O,O,O,X,X,O,X,O
TIZOLJS,O,O,O,O,X,O,O,X,O
TIZOLSJ,O,O,O,O,X,X,O,X,O
TIZOJLS,O,O,O,O,X,O,X,X,O
TIZOJSL,O,O,O,O,X,O,X,X,O
TIZOSLJ,O,O,O,O,X,X,O,X,O
TIZOSJL,O,O,O,O,X,X,O,X,O
TIOLJSZ,O,X,X,O,O,O,O,O,X
TIOLJZS,O,X,X,O,O,O,O,O,X
TIOLSJZ,O,O,O,O,O,X,O,O,O
TIOLSZJ,O,O,O,O,X,X,O,O,O
TIOLZJS,O,O,O,O,X,O,O,O,O
TIOLZSJ,O,O,O,O,X,X,O,O,O
TIOJLSZ,O,X,X,O,O,O,O,O,X
TIOJLZS,O,X,X,O,O,O,O,O,X
TIOJSLZ,O,O,O,O,O,O,O,O,X
TIOJSZL,O,O,O,O,O,O,O,O,X
TIOJZLS,O,O,O,O,O,O,X,X,X
TIOJZSL,O,O,O,O,O,O,X,X,X
TIOSLJZ,O,O,O,O,O,X,O,O,O
TIOSLZJ,O,O,O,O,X,X,O,O,O
TIOSJLZ,O,O,O,O,O,X,O,O,O
TIOSJZL,O,O,O,O,O,X,O,O,O
TIOSZLJ,O,O,O,O,X,X,O,O,O
TIOSZJL,O,O,O,O,X,X,O,O,O
TIOZLJS,O,O,O,O,X,O,O,X,O
TIOZLSJ,O,O,O,O,X,X,O,X,O
TIOZJLS,O,O,O,O,X,O,X,X,O
TIOZJSL,O,O,O,O,X,O,X,X,O
TIOZSLJ,O,O,O,O,X,X,O,X,O
TIOZSJL,O,O,O,O,X,X,O,X,O
TLIJSZO,O,X,X,O,O,O,O,O,X
TLIJSOZ,O,X,X,O,O,O,O,O,X
TLIJZSO,O,X,X,O,O,O,O,O,X
TLIJZOS,O,X,X,O,O,O,O,X,X
TLIJOSZ,O,X,X,O,O,O,O,O,X
TLIJOZS,O,X,X,O,O,O,O,O,X
TLISJZO,O,O,O,O,O,X,O,O,O
TLISJOZ,O,O,O,O,O,X,O,O,X
TLISZJO,O,O,O,O,X,X,O,O,O
TLISZOJ,O,O,O,O,X,X,O,O,O
TLISOJZ,O,O,O,O,O,X,O,O,X
TLISOZJ,O,O,O,O,X,X,O,O,O
TLIZJSO,O,O,O,O,X,O,O,O,O
TLIZJOS,O,O,O,O,X,O,O,X,O
TLIZSJO,O,O,O,O,X,X,O,O,O
TLIZSOJ,O,O,O,O,X,X,O,O,O
TLIZOJS,O,O,O,O,X,O,O,O,O
TLIZOSJ,O,O,O,O,X,X,O,O,O
TLIOJSZ,O,X,X,O,O,O,O,O,X
TLIOJZS,O,X,X,O,O,O,O,O,X
TLIOSJZ,O,O,O,O,O,X,O,O,O
TLIOSZJ,O,O,O,O,X,X,O,O,O
TLIOZJS,O,O,O,O,X,O,O,O,O
TLIOZSJ,O,O,O,O,X,X,O,O,O
TLJISZO,O,X,X,O,O,O,O,O,X
TLJISOZ,O,X,X,O,O,O,O,O,X
TLJIZSO,O,X,X,O,O,O,O,O,X
TLJIZOS,O,X,X,O,O,O,O,X,X
TLJIOSZ,O,X,X,O,O,O,O,O,X
TLJIOZS,O,X,X,O,O,O,O,O,X
TLJSIZO,O,X,X,O,O,O,O,O,X
TLJSIOZ,O,X,X,O,O,O,O,O,X
TLJSZIO,O,X,X,O,O,O,O,O,X
TLJSZOI,O,X,X,O,O,O,O,O,X
TLJSOIZ,O,X,X,O,O,O,O,O,X
TLJSOZI,O,X,X,O,O,O,O,O,X
TLJZISO,O,X,X,O,O,O,O,O,X
TLJZIOS,O,X,X,O,O,O,O,X,X
TLJZSIO,O,X,X,O,O,O,O,O,X
TLJZSOI,O,X,X,O,O,O,O,O,X
TLJZOIS,O,X,X,O,O,O,O,X,X
TLJZOSI,O,X,X,O,O,O,O,X,X
TLJOISZ,O,X,X,O,O,O,O,O,X
TLJOIZS,O,X,X,O,O,O,O,O,X
TLJOSIZ,O,X,X,O,O,O,O,O,X
TLJOSZI,O,X,X,O,O,O,O,O,X
TLJOZIS,O,X,X,O,O,O,O,O,X
TLJOZSI,O,X,X,O,O,O,O,O,X
TLSIJZO,O,O,O,O,O,X,O,O,O
TLSIJOZ,O,O,O,O,O,X,O,O,X
TLSIZJO,O,O,O,O,X,X,O,O,O
TLSIZOJ,O,O,O,O,X,X,O,O,O
TLSIOJZ,O,O,O,O,O,X,O,O,X
TLSIOZJ,O,O,O,O,X,X,O,O,O
TLSJIZO,O,O,O,O,O,O,O,O,O
TLSJIOZ,O,O,O,O,O,O,O,O,X
TLSJZIO,O,O,O,O,O,O,O,O,O
TLSJZOI,O,O,O,O,O,O,O,O,O
TLSJOIZ,O,O,O,O,O,O,O,O,X
TLSJOZI,O,O,O,O,O,O,O,O,X
TLSZIJO,O,O,O,O,X,X,O,O,O
TLSZIOJ,O,O,O,O,X,X,O,O,O
TLSZJIO,O,O,O,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O,O,O,O
TLSZOIJ,O,O,O,O,X,X,O,O,O
TLSZOJI,O,O,O,O,O,O,O,O,O
TLSOIJZ,O,O,O,O,O,X,O,O,X
TLSOIZJ,O,O,O,O,X,X,O,O,O
TLSOJIZ,O,O,O,O,O,O,O,O,X
TLSOJZI,O,O,O,O,O,O,O,O,X
TLSOZIJ,O,O,O,O,X,X,O,O,O
TLSOZJI,O,O,O,O,O,O,O,O,O
TLZIJSO,O,O,O,O,X,O,O,O,O
TLZIJOS,O,O,O,O,X,O,O,X,O
TLZISJO,O,O,O,O,X,X,O,O,O
TLZISOJ,O,O,O,O,X,X,O,O,O
TLZIOJS,O,O,O,O,X,O,O,O,O
TLZIOSJ,O,O,O,O,X,X,O,O,O
TLZJISO,O,O,O,O,O,O,O,O,O
TLZJIOS,O,O,O,O,O,O,O,X,O
TLZJSIO,O,O,O,O,O,O,O,O,O
TLZJSOI,O,O,O,O,O,O,O,O,O
TLZJOIS,O,O,O,O,O,O,O,X,O
TLZJOSI,O,O,O,O,O,O,O,X,O
TLZSIJO,O,O,O,O,X,X,O,O,O
TLZSIOJ,O,O,O,O,X,X,O,O,O
TLZSJIO,O,O,O,O,O,O,O,O,O
TLZSJOI,O,O,O,O,O,O,O,O,O
TLZSOIJ,O,O,O,O,X,X,O,O,O
TLZSOJI,O,O,O,O,O,O,O,O,O
TLZOIJS,O,O,O,O,X,O,O,O,O
TLZOISJ,O,O,O,O,X,X,O,O,O
TLZOJIS,O,O,O,O,O,O,O,O,O
TLZOJSI,O,O,O,O,O,O,O,O,O
TLZOSIJ,O,O,O,O,X,X,O,O,O
TLZOSJI,O,O,O,O,O,O,O,O,O
TLOIJSZ,O,X,X,O,O,O,O,O,X
TLOIJZS,O,X,X,O,O,O,O,O,X
TLOISJZ,O,O,O,O,O,X,O,O,O
TLOISZJ,O,O,O,O,X,X,O,O,O
TLOIZJS,O,O,O,O,X,O,O,O,O
TLOIZSJ,O,O,O,O,X,X,O,O,O
TLOJISZ,O,X,X,O,O,O,O,O,X
TLOJIZS,O,X,X,O,O,O,O,O,X
TLOJSIZ,O,X,X,O,O,O,O,O,X
TLOJSZI,O,X,X,O,O,O,O,O,X
TLOJZIS,O,X,X,O,O,O,O,O,X
TLOJZSI,O,X,X,O,O,O,O,O,X
TLOSIJZ,O,O,O,O,O,X,O,O,O
TLOSIZJ,O,O,O,O,X,X,O,O,O
TLOSJIZ,O,O,O,O,O,O,O,O,O
TLOSJZI,O,O,O,O,O,O,O,O,O
TLOSZIJ,O,O,O,O,X,X,O,O,O
TLOSZJI,O,O,O,O,O,O,O,O,O
TLOZIJS,O,O,O,O,X,O,O,O,O
TLOZISJ,O,O,O,O,X,X,O,O,O
TLOZJIS,O,O,O,O,O,O,O,O,O
TLOZJSI,O,O,O,O,O,O,O,O,O
TLOZSIJ,O,O,O,O,X,X,O,O,O
TLOZSJI,O,O,O,O,O,O,O,O,O
TJILSZO,O,X,X,O,O,O,O,O,X
TJILSOZ,O,X,X,O,O,O,O,O,X
TJILZSO,O,X,X,O,O,O,O,O,X
TJILZOS,O,X,X,O,O,O,O,X,X
TJILOSZ,O,X,X,O,O,O,O,O,X
TJILOZS,O,X,X,O,O,O,O,X,X
TJISLZO,O,O,O,O,O,O,O,O,X
TJISLOZ,O,O,O,O,O,O,O,O,X
TJISZLO,O,O,O,O,O,O,O,O,X
TJISZOL,O,O,O,O,O,O,O,O,X
TJISOLZ,O,O,O,O,O,O,O,O,X
TJISOZL,O,O,O,O,O,O,O,O,X
TJIZLSO,O,O,O,O,O,O,O,X,X
TJIZLOS,O,O,O,O,O,O,O,X,X
TJIZSLO,O,O,O,O,O,O,O,X,X
TJIZSOL,O,O,O,O,O,O,O,X,X
TJIZOLS,O,O,O,O,O,O,X,X,X
TJIZOSL,O,O,O,O,O,O,X,X,X
TJIOLSZ,O,X,X,O,O,O,O,O,X
TJIOLZS,O,X,X,O,O,O,O,O,X
TJIOSLZ,O,O,O,O,O,O,O,O,X
TJIOSZL,O,O,O,O,O,O,O,O,X
TJIOZLS,O,O,O,O,O,O,X,X,X
TJIOZSL,O,O,O,O,O,O,X,X,X
TJLISZO,O,X,X,O,O,O,O,O,X
TJLISOZ,O,X,X,O,O,O,O,O,X
TJLIZSO,O,X,X,O,O,O,O,O,X
TJLIZOS,O,X,X,O,O,O,O,X,X
TJLIOSZ,O,X,X,O,O,O,O,O,X
TJLIOZS,O,X,X,O,O,O,O,X,X
TJLSIZO,O,X,X,O,O,O,O,O,X
TJLSIOZ,O,X,X,O,O,O,O,O,X
TJLSZIO,O,X,X,O,O,O,O,O,X
TJLSZOI,O,X,X,O,O,O,O,O,X
TJLSOIZ,O,X,X,O,O,O,O,O,X
TJLSOZI,O,X,X,O,O,O,O,O,X
TJLZISO,O,X,X,O,O,O,O,O,X
TJLZIOS,O,X,X,O,O,O,O,X,X
TJLZSIO,O,X,X,O,O,O,O,O,X
TJLZSOI,O,X,X,O,O,O,O,O,X
TJLZOIS,O,X,X,O,O,O,O,X,X
TJLZOSI,O,X,X,O,O,O,O,X,X
TJLOISZ,O,X,X,O,O,O,O,O,X
TJLOIZS,O,X,X,O,O,O,O,X,X
TJLOSIZ,O,X,X,O,O,O,O,O,X
TJLOSZI,O,X,X,O,O,O,O,O,X
TJLOZIS,O,X,X,O,O,O,O,X,X
TJLOZSI,O,X,X,O,O,O,O,X,X
TJSILZO,O,O,O,O,O,O,O,O,X
TJSILOZ,O,O,O,O,O,O,O,O,X
TJSIZLO,O,O,O,O,O,O,O,O,X
TJSIZOL,O,O,O,O,O,O,O,O,X
TJSIOLZ,O,O,O,O,O,O,O,O,X
TJSIOZL,O,O,O,O,O,O,O,O,X
TJSLIZO,O,O,O,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,O,O,O,O,X
TJSLZIO,O,O,O,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,O,O,O,X
TJSLOIZ,O,O,O,O,O,O,O,O,X
TJSLOZI,O,O,O,O,O,O,O,O,X
TJSZILO,O,O,O,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,O,O,O,X
TJSZLIO,O,O,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,O,O,O,X
TJSZOLI,O,O,O,O,O,O,O,O,X
TJSOILZ,O,O,O,O,O,O,O,O,X
TJSOIZL,O,O,O,O,O,O,O,O,X
TJSOLIZ,O,O,O,O,O,O,O,O,X
TJSOLZI,O,O,O,O,O,O,O,O,X
TJSOZIL,O,O,O,O,O,O,O,O,X
TJSOZLI,O,O,O,O,O,O,O,O,X
TJZILSO,O,O,O,O,O,O,O,X,X
TJZILOS,O,O,O,O,O,O,O,X,X
TJZISLO,O,O,O,O,O,O,O,X,X
TJZISOL,O,O,O,O,O,O,O,X,X
TJZIOLS,O,O,O,O,O,O,X,X,X
TJZIOSL,O,O,O,O,O,O,X,X,X
TJZLISO,O,O,O,O,O,O,O,X,X
TJZLIOS,O,O,O,O,O,O,O,X,X
TJZLSIO,O,O,O,O,O,O,O,X,X
TJZLSOI,O,O,O,O,O,O,O,X,X
TJZLOIS,O,O,O,O,O,O,O,X,X
TJZLOSI,O,O,O,O,O,O,O,X,X
TJZSILO,O,O,O,O,O,O,O,X,X
TJZSIOL,O,O,O,O,O,O,O,X,X
TJZSLIO,O,O,O,O,O,O,O,X,X
TJZSLOI,O,O,O,O,O,O,O,X,X
TJZSOIL,O,O,O,O,O,O,O,X,X
TJZSOLI,O,O,O,O,O,O,O,X,X
TJZOILS,O,O,O,O,O,O,X,X,X
TJZOISL,O,O,O,O,O,O,X,X,X
TJZOLIS,O,O,O,O,O,O,X,X,X
TJZOLSI,O,O,O,O,O,O,X,X,X
TJZOSIL,O,O,O,O,O,O,X,X,X
TJZOSLI,O,O,O,O,O,O,X,X,X
TJOILSZ,O,X,X,O,O,O,O,O,X
TJOILZS,O,X,X,O,O,O,O,O,X
TJOISLZ,O,O,O,O,O,O,O,O,X
TJOISZL,O,O,O,O,O,O,O,O,X
TJOIZLS,O,O,O,O,O,O,X,X,X
TJOIZSL,O,O,O,O,O,O,X,X,X
TJOLISZ,O,X,X,O,O,O,O,O,X
TJOLIZS,O,X,X,O,O,O,O,O,X
TJOLSIZ,O,X,X,O,O,O,O,O,X
TJOLSZI,O,X,X,O,O,O,O,O,X
TJOLZIS,O,X,X,O,O,O,O,O,X
TJOLZSI,O,X,X,O,O,O,O,O,X
TJOSILZ,O,O,O,O,O,O,O,O,X
TJOSIZL,O,O,O,O,O,O,O,O,X
TJOSLIZ,O,O,O,O,O,O,O,O,X
TJOSLZI,O,O,O,O,O,O,O,O,X
TJOSZIL,O,O,O,O,O,O,O,O,X
TJOSZLI,O,O,O,O,O,O,O,O,X
TJOZILS,O,O,O,O,O,O,X,X,X
TJOZISL,O,O,O,O,O,O,X,X,X
TJOZLIS,O,O,O,O,O,O,X,X,X
TJOZLSI,O,O,O,O,O,O,X,X,X
TJOZSIL,O,O,O,O,O,O,X,X,X
TJOZSLI,O,O,O,O,O,O,X,X,X
TSILJZO,O,O,O,O,O,X,O,O,O
TSILJOZ,O,O,O,O,O,X,O,O,X
TSILZJO,O,O,O,O,X,X,O,O,O
TSILZOJ,O,O,O,O,X,X,O,O,O
TSILOJZ,O,O,O,O,O,X,O,O,O
TSILOZJ,O,O,O,O,X,X,O,O,O
TSIJLZO,O,O,O,O,O,X,O,O,O
TSIJLOZ,O,O,O,O,O,X,O,O,X
TSIJZLO,O,O,O,O,O,X,O,O,O
TSIJZOL,O,O,O,O,O,X,O,O,O
TSIJOLZ,O,O,O,O,O,X,O,O,O
TSIJOZL,O,O,O,O,O,X,O,O,O
TSIZLJO,O,O,O,O,X,X,O,O,O
TSIZLOJ,O,O,O,O,X,X,O,O,O
TSIZJLO,O,O,O,O,X,X,O,O,O
TSIZJOL,O,O,O,O,X,X,O,O,O
TSIZOLJ,O,O,O,O,X,X,O,O,O
TSIZOJL,O,O,O,O,X,X,O,O,O
TSIOLJZ,O,O,O,O,O,X,O,O,O
TSIOLZJ,O,O,O,O,X,X,O,O,O
TSIOJLZ,O,O,O,O,O,X,O,O,O
TSIOJZL,O,O,O,O,O,X,O,O,O
TSIOZLJ,O,O,O,O,X,X,O,O,O
TSIOZJL,O,O,O,O,X,X,O,O,O
TSLIJZO,O,O,O,O,O,X,O,O,O
TSLIJOZ,O,O,O,O,O,X,O,O,X
TSLIZJO,O,O,O,O,X,X,O,O,O
TSLIZOJ,O,O,O,O,X,X,O,O,O
TSLIOJZ,O,O,O,O,O,X,O,O,O
TSLIOZJ,O,O,O,O,X,X,O,O,O
TSLJIZO,O,O,O,O,O,O,O,O,O
TSLJIOZ,O,O,O,O,O,O,O,O,X
TSLJZIO,O,O,O,O,O,O,O,O,O
TSLJZOI,O,O,O,O,O,O,O,O,O
TSLJOIZ,O,O,O,O,O,O,O,O,X
TSLJOZI,O,O,O,O,O,O,O,O,X
TSLZIJO,O,O,O,O,X,X,O,O,O
TSLZIOJ,O,O,O,O,X,X,O,O,O
TSLZJIO,O,O,O,O,O,O,O,O,O
TSLZJOI,O,O,O,O,O,O,O,O,O
TSLZOIJ,O,O,O,O,X,X,O,O,O
TSLZOJI,O,O,O,O,O,O,O,O,O
TSLOIJZ,O,O,O,O,O,X,O,O,O
TSLOIZJ,O,O,O,O,X,X,O,O,O
TSLOJIZ,O,O,O,O,O,O,O,O,O
TSLOJZI,O,O,O,O,O,O,O,O,O
TSLOZIJ,O,O,O,O,X,X,O,O,O
TSLOZJI,O,O,O,O,O,O,O,O,O
TSJILZO,O,O,O,O,O,O,O,O,O
TSJILOZ,O,O,O,O,O,O,O,O,X
TSJIZLO,O,O,O,O,O,O,O,O,O
TSJIZOL,O,O,O,O,O,O,O,O,O
TSJIOLZ,O,O,O,O,O,O,O,O,O
TSJIOZL,O,O,O,O,O,O,O,O,O
TSJLIZO,O,O,O,O,O,O,O,O,O
TSJLIOZ,O,O,O,O,O,O,O,O,X
TSJLZIO,O,O,O,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O,O,O,O
TSJLOIZ,O,O,O,O,O,O,O,O,X
TSJLOZI,O,O,O,O,O,O,O,O,X
TSJZILO,O,O,O,O,O,O,O,O,O
TSJZIOL,O,O,O,O,O,O,O,O,O
TSJZLIO,O,O,O,O,O,O,O,O,O
TSJZLOI,O,O,O,O,O,O,O,O,O
TSJZOIL,O,O,O,O,O,O,O,O,O
TSJZOLI,O,O,O,O,O,O,O,O,O
TSJOILZ,O,O,O,O,O,O,O,O,O
TSJOIZL,O,O,O,O,O,O,O,O,O
TSJOLIZ,O,O,O,O,O,O,O,O,O
TSJOLZI,O,O,O,O,O,O,O,O,O
TSJOZIL,O,O,O,O,O,O,O,O,O
TSJOZLI,O,O,O,O,O,O,O,O,O
TSZILJO,O,O,O,O,X,X,O,O,O
TSZILOJ,O,O,O,O,X,X,O,O,O
TSZIJLO,O,O,O,O,X,X,O,O,O
TSZIJOL,O,O,O,O,X,X,O,O,O
TSZIOLJ,O,O,O,O,X,X,O,O,O
TSZIOJL,O,O,O,O,X,X,O,O,O
TSZLIJO,O,O,O,O,X,X,O,O,O
TSZLIOJ,O,O,O,O,X,X,O,O,O
TSZLJIO,O,O,O,O,O,O,O,O,O
TSZLJOI,O,O,O,O,O,O,O,O,O
TSZLOIJ,O,O,O,O,X,X,O,O,O
TSZLOJI,O,O,O,O,O,O,O,O,O
TSZJILO,O,O,O,O,O,O,O,O,O
TSZJIOL,O,O,O,O,O,O,O,O,O
TSZJLIO,O,O,O,O,O,O,O,O,O
TSZJLOI,O,O,O,O,O,O,O,O,O
TSZJOIL,O,O,O,O,O,O,O,O,O
TSZJOLI,O,O,O,O,O,O,O,O,O
TSZOILJ,O,O,O,O,X,X,O,O,O
TSZOIJL,O,O,O,O,X,X,O,O,O
TSZOLIJ,O,O,O,O,X,X,O,O,O
TSZOLJI,O,O,O,O,O,O,O,O,O
TSZOJIL,O,O,O,O,O,O,O,O,O
TSZOJLI,O,O,O,O,O,O,O,O,O
TSOILJZ,O,O,O,O,O,X,O,O,O
TSOILZJ,O,O,O,O,X,X,O,O,O
TSOIJLZ,O,O,O,O,O,X,O,O,O
TSOIJZL,O,O,O,O,O,X,O,O,O
TSOIZLJ,O,O,O,O,X,X,O,O,O
TSOIZJL,O,O,O,O,X,X,O,O,O
TSOLIJZ,O,O,O,O,O,X,O,O,O
TSOLIZJ,O,O,O,O,X,X,O,O,O
TSOLJIZ,O,O,O,O,O,O,O,O,O
TSOLJZI,O,O,O,O,O,O,O,O,O
TSOLZIJ,O,O,O,O,X,X,O,O,O
TSOLZJI,O,O,O,O,O,O,O,O,O
TSOJILZ,O,O,O,O,O,O,O,O,O
TSOJIZL,O,O,O,O,O,O,O,O,O
TSOJLIZ,O,O,O,O,O,O,O,O,O
TSOJLZI,O,O,O,O,O,O,O,O,O
TSOJZIL,O,O,O,O,O,O,O,O,O
TSOJZLI,O,O,O,O,O,O,O,O,O
TSOZILJ,O,O,O,O,X,X,O,O,O
TSOZIJL,O,O,O,O,X,X,O,O,O
TSOZLIJ,O,O,O,O,X,X,O,O,O
TSOZLJI,O,O,O,O,O,O,O,O,O
TSOZJIL,O,O,O,O,O,O,O,O,O
TSOZJLI,O,O,O,O,O,O,O,O,O
TZILJSO,O,O,O,O,X,O,O,X,O
TZILJOS,O,O,O,O,X,O,O,X,O
TZILSJO,O,O,O,O,X,X,O,X,O
TZILSOJ,O,O,O,O,X,X,O,X,O
TZILOJS,O,O,O,O,X,O,O,X,O
TZILOSJ,O,O,O,O,X,X,O,X,O
TZIJLSO,O,O,O,O,X,O,O,X,O
TZIJLOS,O,O,O,O,X,O,O,X,O
TZIJSLO,O,O,O,O,X,O,O,X,O
TZIJSOL,O,O,O,O,X,O,O,X,O
TZIJOLS,O,O,O,O,X,O,X,X,O
TZIJOSL,O,O,O,O,X,O,X,X,O
TZISLJO,O,O,O,O,X,X,O,X,O
TZISLOJ,O,O,O,O,X,X,O,X,O
TZISJLO,O,O,O,O,X,X,O,X,O
TZISJOL,O,O,O,O,X,X,O,X,O
TZISOLJ,O,O,O,O,X,X,O,X,O
TZISOJL,O,O,O,O,X,X,O,X,O
TZIOLJS,O,O,O,O,X,O,O,X,O
TZIOLSJ,O,O,O,O,X,X,O,X,O
TZIOJLS,O,O,O,O,X,O,X,X,O
