sequence,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFXdBOjBSnBl?lB0rBzqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jel7IvhFCdBOjB/mBT?iB0lBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhF6iBOjB3gBz?hB8qB1wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBSnBl?lBXrBzrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdBziBllB3?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdB3gBziBl?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBTiBl?lBXrBqrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je38IvhFFeB5lB0iBi?gBTrBmrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhF6hBxdBziBl?lBXrBesB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFTdBOjBllBc?rBXsBCrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFzcB3iBFjBx?lBCrB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFXdBOjBSnBl?lBTmBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFOjBTiBllBc?rBCrBXsB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex9IvhF3gBziBGrBa?sBcrBlqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhFXeB1lBzhB0?iBSrBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhF0dB1lBzhBX?jBSrBRwB
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TILOZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJLSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TIJLZSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJLZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJLOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJSLZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIJSZLO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJSOLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSOZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TIJZLSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJZLOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJZOLS,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
TIJZOSL,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O
TIJOLSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
TIJOLZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIJOSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TIJOSZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TIJOZLS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
TIJOZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TISLJZO,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TISLJOZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
TISLZJO,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISLOZJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJLZO,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TISJLOZ,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X
TISJZLO,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TISJOLZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TISJOZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O
TISZLJO,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,X
TISZOLJ,X,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X
TISZOJL,X,O,O,X,O,O,X,O,O,X,O,X,X,X,O,X
TISOLJZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TISOJZL,X,O,X,X,O,O,X,X,O,X,X,X,X,X,O,O
TISOZLJ,X,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X
TISOZJL,X,O,X,X,O,O,X,O,O,X,O,X,X,X,O,O
TIZLJSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZLJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLSJO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZLSOJ,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZLOJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZJLOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZJSOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZJOLS,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
TIZJOSL,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O
TIZSLJO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZSJOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIZSOLJ,X,O,O,X,X,O,X,O,X,O,O,X,X,X,X,X
TIZSOJL,X,O,O,X,X,O,X,O,X,O,O,X,X,X,O,X
TIZOLJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIZOLSJ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIZOJLS,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
TIZOJSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TIZOSLJ,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TIZOSJL,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,O
TIOLJSZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TIOLJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIOLSJZ,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
TIOLSZJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIOLZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIOLZSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOJLSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
TIOJLZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOJSLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TIOJSZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
TIOJZLS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
TIOJZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TIOSLJZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOSLZJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOSJZL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TIOSZLJ,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X
TIOSZJL,X,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O
TIOZLJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIOZLSJ,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TIOZJLS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
TIOZJSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TIOZSLJ,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
TIOZSJL,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,O
TLIJSZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIJZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISJZO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISJOZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLIZJSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIZSOJ,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
TLIZOJS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIZOSJ,O,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TLIOZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
TLJISZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJISOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TLJIZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJZIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJZOIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIJOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIZJO,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIZOJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLSIOJZ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TLSJIZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSJIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TLSZJIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSZOJI,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSOIJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSOJIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLSOZJI,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZIJSO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZIOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZJISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZJIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJOSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZSIJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZSIOJ,O,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLZSOJI,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOSIJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOJISZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZISJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOZJIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILSOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TJILZSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJILZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TJILOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TJISLZO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJISLOZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TJISZLO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJISZOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TJISOLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TJISOZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TJIZLSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJIZLOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TJIZSOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,X
TJIZOLS,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O
TJIZOSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TJIOLSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
TJIOLZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TJIOSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TJIOSZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O
TJIOZLS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
TJIOZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
TJLISZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLISOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TJLIZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLSIZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLSIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLSZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLSOZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLZISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLZSOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
TJLZOIS,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TJLZOSI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TJLOISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJLOIZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLOSZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLOZIS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSIZLO,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TJSIZOL,X,X,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TJSIOLZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
TJSIOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TJSLIZO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSLZOI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
TJSLOZI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
TJSZILO,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TJSZIOL,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TJSZLOI,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TJSZOIL,X,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
