sequence,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBzcB5jB8lBSnBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3cB5jB6lBTiBUhBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBUdB5jBzlBFnB6rB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF/iB5jB6lBThB8rBFrB
TIOZSLJ,O,O,O,X
TIOZSJL,O,X,O,X
TLIJSZO,O,X,X,O
TLIJSOZ,O,O,X,X
TLIJZSO,O,X,X,X
TLIJZOS,O,O,O,X
TLIJOSZ,O,O,O,X
TLIJOZS,O,O,O,X
TLISJZO,O,X,X,O
TLISJOZ,O,O,X,X
TLISZJO,O,X,X,O
TLISZOJ,O,X,X,O
TLISOJZ,O,O,X,X
TLISOZJ,O,O,X,X
TLIZJSO,O,X,X,X
TLIZJOS,O,O,O,X
TLIZSJO,O,X,X,X
TLIZSOJ,O,X,X,X
TLIZOJS,O,O,O,X
TLIZOSJ,O,O,O,X
TLIOJSZ,O,O,O,X
TLIOJZS,O,O,O,X
TLIOSJZ,O,O,O,X
TLIOSZJ,O,O,O,X
TLIOZJS,O,O,O,X
TLIOZSJ,O,O,O,X
TLJISZO,O,X,X,O
TLJISOZ,O,O,X,X
TLJIZSO,O,X,X,X
TLJIZOS,O,O,O,X
TLJIOSZ,O,O,O,X
TLJIOZS,O,O,O,X
TLJSIZO,O,X,X,O
TLJSIOZ,O,O,X,X
TLJSZIO,O,X,X,O
TLJSZOI,O,X,X,O
TLJSOIZ,O,O,X,X
TLJSOZI,O,O,X,X
TLJZISO,O,X,X,X
TLJZIOS,O,O,O,X
TLJZSIO,O,X,X,X
TLJZSOI,O,X,X,X
TLJZOIS,O,O,O,X
TLJZOSI,O,O,O,X
TLJOISZ,O,O,O,X
TLJOIZS,O,O,O,X
TLJOSIZ,O,O,O,X
TLJOSZI,O,O,O,X
TLJOZIS,O,O,O,X
TLJOZSI,O,O,O,X
TLSIJZO,O,X,X,O
TLSIJOZ,O,O,X,X
TLSIZJO,O,X,X,O
TLSIZOJ,O,X,X,O
TLSIOJZ,O,O,X,X
TLSIOZJ,O,O,X,X
TLSJIZO,O,X,X,O
TLSJIOZ,O,O,X,X
TLSJZIO,O,X,X,O
TLSJZOI,O,X,X,O
TLSJOIZ,O,O,X,X
TLSJOZI,O,O,X,X
TLSZIJO,O,X,X,O
TLSZIOJ,O,X,X,O
TLSZJIO,O,X,X,O
TLSZJOI,O,X,X,O
TLSZOIJ,O,X,X,O
TLSZOJI,O,X,X,O
TLSOIJZ,O,O,X,X
TLSOIZJ,O,O,X,X
TLSOJIZ,O,O,X,X
TLSOJZI,O,O,X,X
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,X
TLZIJSO,O,X,X,X
TLZIJOS,O,O,O,X
TLZISJO,O,X,X,X
TLZISOJ,O,X,X,X
TLZIOJS,O,O,O,X
TLZIOSJ,O,O,O,X
TLZJISO,O,X,X,X
TLZJIOS,O,O,O,X
TLZJSIO,O,X,X,X
TLZJSOI,O,X,X,X
TLZJOIS,O,O,O,X
TLZJOSI,O,O,O,X
TLZSIJO,O,X,X,X
TLZSIOJ,O,X,X,X
TLZSJIO,O,X,X,X
TLZSJOI,O,X,X,X
TLZSOIJ,O,X,X,X
TLZSOJI,O,X,X,X
TLZOIJS,O,O,O,X
TLZOISJ,O,O,O,X
TLZOJIS,O,O,O,X
TLZOJSI,O,O,O,X
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,O,X
TLOIJSZ,O,O,O,X
TLOIJZS,O,O,O,X
TLOISJZ,O,O,O,X
TLOISZJ,O,O,O,X
TLOIZJS,O,O,O,X
TLOIZSJ,O,O,O,X
TLOJISZ,O,O,O,X
TLOJIZS,O,O,O,X
TLOJSIZ,O,O,O,X
TLOJSZI,O,O,O,X
TLOJZIS,O,O,O,X
TLOJZSI,O,O,O,X
TLOSIJZ,O,O,O,X
TLOSIZJ,O,O,O,X
TLOSJIZ,O,O,O,X
TLOSJZI,O,O,O,X
TLOSZIJ,O,O,O,X
TLOSZJI,O,O,O,X
TLOZIJS,O,O,O,X
TLOZISJ,O,O,O,X
TLOZJIS,O,O,O,X
TLOZJSI,O,O,O,X
TLOZSIJ,O,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,X,X,O
TJILSOZ,O,O,X,X
TJILZSO,O,X,X,X
TJILZOS,O,O,O,X
TJILOSZ,O,O,O,X
TJILOZS,O,O,O,X
TJISLZO,O,X,X,O
TJISLOZ,O,X,X,X
TJISZLO,O,X,X,O
TJISZOL,O,X,O,X
TJISOLZ,X,X,O,X
TJISOZL,X,X,O,X
TJIZLSO,O,X,X,X
TJIZLOS,O,X,O,X
TJIZSLO,O,X,X,X
TJIZSOL,O,X,O,X
TJIZOLS,O,X,O,X
TJIZOSL,O,X,O,X
TJIOLSZ,O,O,O,X
TJIOLZS,O,O,O,X
TJIOSLZ,X,O,O,X
TJIOSZL,X,X,O,X
TJIOZLS,O,X,O,X
TJIOZSL,O,X,O,X
TJLISZO,O,X,X,O
TJLISOZ,O,O,X,X
TJLIZSO,O,X,X,X
TJLIZOS,O,O,O,X
TJLIOSZ,O,O,O,X
TJLIOZS,O,O,O,X
TJLSIZO,O,X,X,O
TJLSIOZ,O,O,X,X
TJLSZIO,O,X,X,O
TJLSZOI,O,X,X,O
TJLSOIZ,O,O,X,X
TJLSOZI,O,O,X,X
TJLZISO,O,X,X,X
TJLZIOS,O,O,O,X
TJLZSIO,O,X,X,X
TJLZSOI,O,X,X,X
TJLZOIS,O,O,O,X
TJLZOSI,O,O,O,X
TJLOISZ,O,O,O,X
TJLOIZS,O,O,O,X
TJLOSIZ,O,O,O,X
TJLOSZI,O,O,O,X
TJLOZIS,O,O,O,X
TJLOZSI,O,O,O,X
TJSILZO,O,X,X,O
TJSILOZ,O,X,X,X
TJSIZLO,O,X,X,O
TJSIZOL,O,X,O,X
TJSIOLZ,X,X,O,X
TJSIOZL,X,X,O,X
TJSLIZO,O,X,X,O
TJSLIOZ,O,X,X,X
TJSLZIO,O,X,X,O
TJSLZOI,O,X,X,O
TJSLOIZ,O,X,X,X
TJSLOZI,O,X,X,X
TJSZILO,O,X,X,O
TJSZIOL,O,X,O,X
TJSZLIO,O,X,X,O
TJSZLOI,O,X,X,O
TJSZOIL,O,X,O,X
TJSZOLI,O,X,O,X
TJSOILZ,X,X,O,X
TJSOIZL,X,X,O,X
TJSOLIZ,X,X,O,X
TJSOLZI,X,X,O,X
TJSOZIL,X,X,O,X
TJSOZLI,X,X,O,X
TJZILSO,O,X,X,X
TJZILOS,O,X,O,X
TJZISLO,O,X,X,X
TJZISOL,O,X,O,X
TJZIOLS,O,X,O,X
TJZIOSL,O,X,O,X
TJZLISO,O,X,X,X
TJZLIOS,O,X,O,X
TJZLSIO,O,X,X,X
TJZLSOI,O,X,X,X
TJZLOIS,O,X,O,X
TJZLOSI,O,X,O,X
TJZSILO,O,X,X,X
TJZSIOL,O,X,O,X
TJZSLIO,O,X,X,X
TJZSLOI,O,X,X,X
TJZSOIL,O,X,O,X
TJZSOLI,O,X,O,X
TJZOILS,O,X,O,X
TJZOISL,O,X,O,X
TJZOLIS,O,X,O,X
TJZOLSI,O,X,O,X
TJZOSIL,O,X,O,X
TJZOSLI,O,X,O,X
TJOILSZ,O,O,O,X
TJOILZS,O,O,O,X
TJOISLZ,X,O,O,X
TJOISZL,X,X,O,X
TJOIZLS,O,X,O,X
TJOIZSL,O,X,O,X
TJOLISZ,O,O,O,X
TJOLIZS,O,O,O,X
TJOLSIZ,O,O,O,X
TJOLSZI,O,O,O,X
TJOLZIS,O,O,O,X
TJOLZSI,O,O,O,X
TJOSILZ,X,O,O,X
TJOSIZL,X,X,O,X
TJOSLIZ,X,O,O,X
TJOSLZI,X,O,O,X
TJOSZIL,X,X,O,X
TJOSZLI,X,X,O,X
TJOZILS,O,X,O,X
TJOZISL,O,X,O,X
TJOZLIS,O,X,O,X
TJOZLSI,O,X,O,X
TJOZSIL,O,X,O,X
TJOZSLI,O,X,O,X
TSILJZO,O,X,X,O
TSILJOZ,O,O,X,X
TSILZJO,O,X,X,O
TSILZOJ,O,X,X,O
TSILOJZ,O,O,X,X
TSILOZJ,O,O,X,X
TSIJLZO,O,X,X,O
TSIJLOZ,O,X,X,X
TSIJZLO,O,X,X,O
TSIJZOL,O,X,O,X
TSIJOLZ,X,X,O,X
TSIJOZL,X,X,O,X
TSIZLJO,O,X,X,O
TSIZLOJ,O,X,X,O
TSIZJLO,O,X,X,O
TSIZJOL,O,X,O,X
TSIZOLJ,O,X,O,O
TSIZOJL,O,X,O,X
TSIOLJZ,X,O,O,X
TSIOLZJ,X,O,O,X
TSIOJLZ,X,O,O,X
TSIOJZL,X,X,O,X
TSIOZLJ,X,O,O,X
TSIOZJL,X,X,O,X
TSLIJZO,O,X,X,O
TSLIJOZ,O,O,X,X
TSLIZJO,O,X,X,O
TSLIZOJ,O,X,X,O
TSLIOJZ,O,O,X,X
TSLIOZJ,O,O,X,X
TSLJIZO,O,X,X,O
TSLJIOZ,O,O,X,X
TSLJZIO,O,X,X,O
TSLJZOI,O,X,X,O
TSLJOIZ,O,O,X,X
TSLJOZI,O,O,X,X
TSLZIJO,O,X,X,O
TSLZIOJ,O,X,X,O
TSLZJIO,O,X,X,O
TSLZJOI,O,X,X,O
TSLZOIJ,O,X,X,O
TSLZOJI,O,X,X,O
TSLOIJZ,O,O,X,X
TSLOIZJ,O,O,X,X
TSLOJIZ,O,O,X,X
TSLOJZI,O,O,X,X
TSLOZIJ,O,O,X,X
TSLOZJI,O,O,X,X
TSJILZO,O,X,X,O
TSJILOZ,O,X,X,X
TSJIZLO,O,X,X,O
TSJIZOL,O,X,O,X
TSJIOLZ,X,X,O,X
TSJIOZL,X,X,O,X
TSJLIZO,O,X,X,O
TSJLIOZ,O,X,X,X
TSJLZIO,O,X,X,O
TSJLZOI,O,X,X,O
TSJLOIZ,O,X,X,X
TSJLOZI,O,X,X,X
TSJZILO,O,X,X,O
TSJZIOL,O,X,O,X
TSJZLIO,O,X,X,O
TSJZLOI,O,X,X,O
TSJZOIL,O,X,O,X
TSJZOLI,O,X,O,X
TSJOILZ,X,X,O,X
TSJOIZL,X,X,O,X
TSJOLIZ,X,X,O,X
TSJOLZI,X,X,O,X
TSJOZIL,X,X,O,X
TSJOZLI,X,X,O,X
TSZILJO,O,X,X,O
TSZILOJ,O,X,X,O
TSZIJLO,O,X,X,O
TSZIJOL,O,X,O,X
TSZIOLJ,O,X,O,O
TSZIOJL,O,X,O,X
TSZLIJO,O,X,X,O
TSZLIOJ,O,X,X,O
TSZLJIO,O,X,X,O
TSZLJOI,O,X,X,O
TSZLOIJ,O,X,X,O
TSZLOJI,O,X,X,O
TSZJILO,O,X,X,O
TSZJIOL,O,X,O,X
TSZJLIO,O,X,X,O
TSZJLOI,O,X,X,O
TSZJOIL,O,X,O,X
TSZJOLI,O,X,O,X
TSZOILJ,O,X,O,O
TSZOIJL,O,X,O,X
TSZOLIJ,O,X,O,O
TSZOLJI,O,X,O,O
TSZOJIL,O,X,O,X
TSZOJLI,O,X,O,X
TSOILJZ,X,O,O,X
TSOILZJ,X,O,O,X
TSOIJLZ,X,O,O,X
TSOIJZL,X,X,O,X
TSOIZLJ,X,O,O,X
TSOIZJL,X,X,O,X
TSOLIJZ,X,O,O,X
TSOLIZJ,X,O,O,X
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,X,O,O,X
TSOLZJI,X,O,O,X
TSOJILZ,X,O,O,X
TSOJIZL,X,X,O,X
TSOJLIZ,X,O,O,X
TSOJLZI,X,O,O,X
TSOJZIL,X,X,O,X
TSOJZLI,X,X,O,X
TSOZILJ,X,O,O,X
TSOZIJL,X,X,O,X
TSOZLIJ,X,O,O,X
TSOZLJI,X,O,O,X
TSOZJIL,X,X,O,X
TSOZJLI,X,X,O,X
TZILJSO,O,X,X,X
TZILJOS,O,O,O,X
TZILSJO,O,X,X,X
TZILSOJ,O,X,X,X
TZILOJS,O,O,O,X
TZILOSJ,O,O,O,X
TZIJLSO,O,X,X,X
TZIJLOS,O,X,O,X
TZIJSLO,O,X,X,X
TZIJSOL,O,X,O,X
TZIJOLS,O,X,O,X
TZIJOSL,O,X,O,X
TZISLJO,O,X,X,X
TZISLOJ,O,X,X,X
TZISJLO,O,X,X,X
TZISJOL,O,X,O,X
TZISOLJ,O,X,O,X
TZISOJL,O,X,O,X
TZIOLJS,O,O,O,X
TZIOLSJ,O,O,O,X
TZIOJLS,O,X,O,X
TZIOJSL,O,X,O,X
TZIOSLJ,O,O,O,X
TZIOSJL,O,X,O,X
TZLIJSO,O,X,X,X
TZLIJOS,O,O,O,X
TZLISJO,O,X,X,X
TZLISOJ,O,X,X,X
TZLIOJS,O,O,O,X
TZLIOSJ,O,O,O,X
TZLJISO,O,X,X,X
TZLJIOS,O,O,O,X
TZLJSIO,O,X,X,X
TZLJSOI,O,X,X,X
TZLJOIS,O,O,O,X
TZLJOSI,O,O,O,X
TZLSIJO,O,X,X,X
TZLSIOJ,O,X,X,X
TZLSJIO,O,X,X,X
TZLSJOI,O,X,X,X
TZLSOIJ,O,X,X,X
TZLSOJI,O,X,X,X
TZLOIJS,O,O,O,X
TZLOISJ,O,O,O,X
TZLOJIS,O,O,O,X
TZLOJSI,O,O,O,X
TZLOSIJ,O,O,O,X
TZLOSJI,O,O,O,X
TZJILSO,O,X,X,X
TZJILOS,O,X,O,X
TZJISLO,O,X,X,X
TZJISOL,O,X,O,X
TZJIOLS,O,X,O,X
TZJIOSL,O,X,O,X
TZJLISO,O,X,X,X
TZJLIOS,O,X,O,X
TZJLSIO,O,X,X,X
TZJLSOI,O,X,X,X
TZJLOIS,O,X,O,X
TZJLOSI,O,X,O,X
TZJSILO,O,X,X,X
TZJSIOL,O,X,O,X
TZJSLIO,O,X,X,X
TZJSLOI,O,X,X,X
TZJSOIL,O,X,O,X
TZJSOLI,O,X,O,X
TZJOILS,O,X,O,X
TZJOISL,O,X,O,X
TZJOLIS,O,X,O,X
TZJOLSI,O,X,O,X
TZJOSIL,O,X,O,X
TZJOSLI,O,X,O,X
TZSILJO,O,X,X,X
TZSILOJ,O,X,X,X
TZSIJLO,O,X,X,X
TZSIJOL,O,X,O,X
TZSIOLJ,O,X,O,X
TZSIOJL,O,X,O,X
TZSLIJO,O,X,X,X
TZSLIOJ,O,X,X,X
TZSLJIO,O,X,X,X
TZSLJOI,O,X,X,X
TZSLOIJ,O,X,X,X
TZSLOJI,O,X,X,X
TZSJILO,O,X,X,X
TZSJIOL,O,X,O,X
TZSJLIO,O,X,X,X
TZSJLOI,O,X,X,X
TZSJOIL,O,X,O,X
TZSJOLI,O,X,O,X
TZSOILJ,O,X,O,X
TZSOIJL,O,X,O,X
TZSOLIJ,O,X,O,X
TZSOLJI,O,X,O,X
TZSOJIL,O,X,O,X
TZSOJLI,O,X,O,X
TZOILJS,O,O,O,X
TZOILSJ,O,O,O,X
TZOIJLS,O,X,O,X
TZOIJSL,O,X,O,X
TZOISLJ,O,O,O,X
TZOISJL,O,X,O,X
TZOLIJS,O,O,O,X
TZOLISJ,O,O,O,X
TZOLJIS,O,O,O,X
TZOLJSI,O,O,O,X
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,X
TZOJILS,O,X,O,X
TZOJISL,O,X,O,X
TZOJLIS,O,X,O,X
TZOJLSI,O,X,O,X
TZOJSIL,O,X,O,X
TZOJSLI,O,X,O,X
TZOSILJ,O,O,O,X
TZOSIJL,O,X,O,X
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,O,X,O,X
TZOSJLI,O,X,O,X
TOILJSZ,O,O,O,X
TOILJZS,O,O,O,X
TOILSJZ,O,O,O,X
TOILSZJ,O,O,O,X
TOILZJS,O,O,O,X
TOILZSJ,O,O,O,X
TOIJLSZ,O,O,O,X
TOIJLZS,O,O,O,X
TOIJSLZ,X,O,O,X
TOIJSZL,X,X,O,X
TOIJZLS,O,X,O,X
TOIJZSL,O,X,O,X
TOISLJZ,X,O,O,X
TOISLZJ,X,O,O,X
TOISJLZ,X,O,O,X
TOISJZL,X,X,O,X
TOISZLJ,X,O,O,X
TOISZJL,X,X,O,X
TOIZLJS,O,O,O,X
TOIZLSJ,O,O,O,X
TOIZJLS,O,X,O,X
TOIZJSL,O,X,O,X
TOIZSLJ,O,O,O,X
TOIZSJL,O,X,O,X
TOLIJSZ,O,O,O,X
TOLIJZS,O,O,O,X
TOLISJZ,O,O,O,X
TOLISZJ,O,O,O,X
TOLIZJS,O,O,O,X
TOLIZSJ,O,O,O,X
TOLJISZ,O,O,O,X
TOLJIZS,O,O,O,X
TOLJSIZ,O,O,O,X
TOLJSZI,O,O,O,X
TOLJZIS,O,O,O,X
TOLJZSI,O,O,O,X
TOLSIJZ,O,O,O,X
TOLSIZJ,O,O,O,X
TOLSJIZ,O,O,O,X
TOLSJZI,O,O,O,X
TOLSZIJ,O,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,O,O,X
TOLZJIS,O,O,O,X
TOLZJSI,O,O,O,X
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,O,O,X
TOJILZS,O,O,O,X
TOJISLZ,X,O,O,X
TOJISZL,X,X,O,X
TOJIZLS,O,X,O,X
TOJIZSL,O,X,O,X
TOJLISZ,O,O,O,X
TOJLIZS,O,O,O,X
TOJLSIZ,O,O,O,X
TOJLSZI,O,O,O,X
TOJLZIS,O,O,O,X
TOJLZSI,O,O,O,X
TOJSILZ,X,O,O,X
TOJSIZL,X,X,O,X
TOJSLIZ,X,O,O,X
TOJSLZI,X,O,O,X
TOJSZIL,X,X,O,X
TOJSZLI,X,X,O,X
TOJZILS,O,X,O,X
TOJZISL,O,X,O,X
TOJZLIS,O,X,O,X
TOJZLSI,O,X,O,X
TOJZSIL,O,X,O,X
TOJZSLI,O,X,O,X
TOSILJZ,X,O,O,X
TOSILZJ,X,O,O,X
TOSIJLZ,X,O,O,X
TOSIJZL,X,X,O,X
TOSIZLJ,X,O,O,X
TOSIZJL,X,X,O,X
TOSLIJZ,X,O,O,X
TOSLIZJ,X,O,O,X
TOSLJIZ,X,O,O,X
TOSLJZI,X,O,O,X
TOSLZIJ,X,O,O,X
TOSLZJI,X,O,O,X
TOSJILZ,X,O,O,X
TOSJIZL,X,X,O,X
TOSJLIZ,X,O,O,X
TOSJLZI,X,O,O,X
TOSJZIL,X,X,O,X
TOSJZLI,X,X,O,X
TOSZILJ,X,O,O,X
TOSZIJL,X,X,O,X
TOSZLIJ,X,O,O,X
TOSZLJI,X,O,O,X
TOSZJIL,X,X,O,X
TOSZJLI,X,X,O,X
TOZILJS,O,O,O,X
TOZILSJ,O,O,O,X
TOZIJLS,O,X,O,X
TOZIJSL,O,X,O,X
TOZISLJ,O,O,O,X
TOZISJL,O,X,O,X
TOZLIJS,O,O,O,X
TOZLISJ,O,O,O,X
TOZLJIS,O,O,O,X
TOZLJSI,O,O,O,X
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,X
TOZJILS,O,X,O,X
TOZJISL,O,X,O,X
TOZJLIS,O,X,O,X
TOZJLSI,O,X,O,X
TOZJSIL,O,X,O,X
TOZJSLI,O,X,O,X
TOZSILJ,O,O,O,X
TOZSIJL,O,X,O,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,O,X,O,X
TOZSJLI,O,X,O,X
ITLJSZO,O,X,X,O
ITLJSOZ,O,O,X,X
ITLJZSO,O,X,X,X
ITLJZOS,O,O,O,X
ITLJOSZ,O,O,O,X
ITLJOZS,O,O,O,X
ITLSJZO,O,X,X,O
ITLSJOZ,O,O,X,X
ITLSZJO,O,X,X,O
ITLSZOJ,O,X,X,O
ITLSOJZ,O,O,X,X
ITLSOZJ,O,O,X,X
ITLZJSO,O,X,X,X
ITLZJOS,O,O,O,X
ITLZSJO,O,X,X,X
ITLZSOJ,O,X,X,X
ITLZOJS,O,O,O,X
ITLZOSJ,O,O,O,X
ITLOJSZ,O,O,O,X
ITLOJZS,O,O,O,X
ITLOSJZ,O,O,O,X
ITLOSZJ,O,O,O,X
ITLOZJS,O,O,O,X
ITLOZSJ,O,O,O,X
ITJLSZO,O,X,X,O
ITJLSOZ,O,O,X,X
ITJLZSO,O,X,X,X
ITJLZOS,O,O,O,X
ITJLOSZ,O,O,O,X
ITJLOZS,O,O,O,X
ITJSLZO,O,X,X,O
ITJSLOZ,O,X,X,X
ITJSZLO,O,X,X,O
ITJSZOL,O,X,O,X
ITJSOLZ,X,X,O,X
ITJSOZL,X,X,O,X
ITJZLSO,O,X,X,X
ITJZLOS,O,X,O,X
ITJZSLO,O,X,X,X
ITJZSOL,O,X,O,X
ITJZOLS,O,X,O,X
ITJZOSL,O,X,O,X
ITJOLSZ,O,O,O,X
ITJOLZS,O,O,O,X
ITJOSLZ,X,O,O,X
ITJOSZL,X,X,O,X
ITJOZLS,O,X,O,X
ITJOZSL,O,X,O,X
ITSLJZO,O,X,X,O
ITSLJOZ,O,O,X,X
ITSLZJO,O,X,X,O
ITSLZOJ,O,X,X,O
ITSLOJZ,O,O,X,X
ITSLOZJ,O,O,X,X
ITSJLZO,O,X,X,O
ITSJLOZ,O,X,X,X
ITSJZLO,O,X,X,O
ITSJZOL,O,X,O,X
ITSJOLZ,X,X,O,X
ITSJOZL,X,X,O,X
ITSZLJO,O,X,X,O
ITSZLOJ,O,X,X,O
ITSZJLO,O,X,X,O
ITSZJOL,O,X,O,X
ITSZOLJ,O,X,O,O
ITSZOJL,O,X,O,X
ITSOLJZ,X,O,O,X
ITSOLZJ,X,O,O,X
ITSOJLZ,X,O,O,X
ITSOJZL,X,X,O,X
ITSOZLJ,X,O,O,X
ITSOZJL,X,X,O,X
ITZLJSO,O,X,X,X
ITZLJOS,O,O,O,X
ITZLSJO,O,X,X,X
ITZLSOJ,O,X,X,X
ITZLOJS,O,O,O,X
ITZLOSJ,O,O,O,X
ITZJLSO,O,X,X,X
ITZJLOS,O,X,O,X
ITZJSLO,O,X,X,X
ITZJSOL,O,X,O,X
ITZJOLS,O,X,O,X
ITZJOSL,O,X,O,X
ITZSLJO,O,X,X,X
ITZSLOJ,O,X,X,X
ITZSJLO,O,X,X,X
ITZSJOL,O,X,O,X
ITZSOLJ,O,X,O,X
ITZSOJL,O,X,O,X
ITZOLJS,O,O,O,X
ITZOLSJ,O,O,O,X
ITZOJLS,O,X,O,X
ITZOJSL,O,X,O,X
ITZOSLJ,O,O,O,X
ITZOSJL,O,X,O,X
ITOLJSZ,O,O,O,X
ITOLJZS,O,O,O,X
ITOLSJZ,O,O,O,X
ITOLSZJ,O,O,O,X
ITOLZJS,O,O,O,X
ITOLZSJ,O,O,O,X
ITOJLSZ,O,O,O,X
ITOJLZS,O,O,O,X
ITOJSLZ,X,O,O,X
ITOJSZL,X,X,O,X
ITOJZLS,O,X,O,X
ITOJZSL,O,X,O,X
ITOSLJZ,X,O,O,X
ITOSLZJ,X,O,O,X
