sequence,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF8gBzcBuiBifBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jem6IvhFfhB0cBldBxkBCn?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhF0cBldB2kBzgBCn?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jei6IvhFRcBuiBFgBXhB8m?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Jex6IvhFlcB3dBzgBCnBOp?B8pB,v115@8gA8HeB8HeG8AeD8BeH8JeU8IvhFRdBFgBTiBGmB/p?BipB,v115@8gA8HeB8HeG8AeD8BeH8Jel7IvhF3cBuiBifB8mBRq?BTpB,v115@8gA8HeB8HeG8AeD8BeH8Je8AJvhFRdBifBGiBXgBlm?BTpB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFUcBRdBFgBTiBGm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jex7IvhFldBTgB/mBOpBUn?B6pB,v115@8gA8HeB8HeG8AeD8BeH8JeVBJvhF3dBzfBGmBZkBUn?BCqB,v115@8gA8HeB8HeG8AeD8BeH8JeK/IvhFzbBRdBUgBGiBlm?B3pB,v115@8gA8HeB8HeG8AeD8BeH8Jez7IvhFRdBUgBGiBlmB/p?BipB
TILOJZS,X,X,X,O,X,X,O,O,O,X,X,O,X
TILOSJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,O,X,X,X,X,O,X
TILOZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,O,X,O,X,X,O,O,X,X,X,X,O
TIJLSOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,O,X,X,O,O,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,O,O,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,O,X,X,O,O,X,X,X,X,X
TIJSLZO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIJSLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,O,X,X,X,X,X,O
TIJSZOL,O,X,X,X,X,X,O,X,X,X,X,X,O
TIJSOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIJZSOL,O,X,X,O,X,X,O,X,X,X,X,X,O
TIJZOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,O,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJOZLS,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,X,O,X,X,X,X,X,O
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,O,X,X,X,X,X,O
TISLZOJ,O,O,X,X,X,X,O,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,O,X,X,O,X,X,X,X,X,O
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,O,X,X,X,X,X,O
TISJZOL,O,X,X,X,X,X,O,X,X,X,X,X,O
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X,O
TISZLJO,O,O,X,X,X,X,O,X,X,X,X,X,O
TISZLOJ,O,O,X,X,X,X,O,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,O,X,X,X,X,X,O
TISZJOL,O,X,X,X,X,X,O,X,X,X,X,X,O
TISZOLJ,O,X,X,X,X,X,O,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,O,X,X,X,X,X,O
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,O
TISOZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZLJSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZLSJO,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIZJSOL,O,X,X,O,X,X,O,X,X,X,X,X,O
TIZJOLS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZJOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIZSLOJ,O,O,X,O,X,X,O,X,X,O,X,X,X
TIZSJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIZSJOL,O,X,X,O,X,X,O,X,X,O,X,X,O
TIZSOLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
TIZSOJL,O,X,X,O,X,X,O,X,X,O,X,X,O
TIZOLJS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
TIZOSJL,O,X,X,X,X,X,O,X,X,O,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOLJZS,X,X,O,O,X,X,O,X,O,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,O,X,X,X,X,X,X,O
TIOJZLS,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,X,X,X,O,O,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOZLJS,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
TIOZSJL,O,X,X,X,X,X,O,X,X,O,X,X,X
TLIJSZO,X,O,O,O,X,X,O,O,X,X,X,O,O
TLIJSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TLIJZSO,O,O,O,O,X,X,O,O,X,X,X,O,X
TLIJZOS,O,X,O,O,X,X,O,O,X,X,X,O,X
TLIJOSZ,X,O,O,X,X,X,X,X,X,X,X,O,X
TLIJOZS,O,X,O,O,X,X,O,O,X,X,X,O,X
TLISJZO,X,O,X,O,X,X,O,O,X,X,X,O,O
TLISJOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TLISZJO,X,O,X,X,O,X,O,X,X,X,X,O,O
TLISZOJ,X,O,X,X,O,X,O,X,X,X,X,X,X
TLISOJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,O,O,X,O,O,X,X,X,O,X
TLIZJOS,O,X,O,O,O,X,O,O,X,X,X,O,X
TLIZSJO,O,O,X,O,O,X,O,X,X,X,X,O,X
TLIZSOJ,O,O,X,O,O,X,O,X,X,X,X,X,X
TLIZOJS,O,X,O,O,X,X,O,X,O,X,X,O,X
TLIZOSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
TLIOJZS,O,X,O,O,X,X,O,O,O,X,X,O,X
TLIOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,O,X,O,X,O,X,O,X,X,O,X
TLIOZSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJISZO,X,O,O,O,X,X,O,O,X,X,X,O,O
TLJISOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TLJIZSO,O,O,O,O,X,X,O,O,X,X,X,O,X
TLJIZOS,O,X,O,O,X,X,O,O,O,X,X,O,X
TLJIOSZ,X,O,O,X,X,X,X,X,O,X,X,O,X
TLJIOZS,O,X,O,O,X,X,O,O,O,X,X,O,X
TLJSIZO,O,O,O,O,X,X,O,O,X,X,X,O,O
TLJSIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
TLJSZIO,O,O,O,O,O,X,O,O,X,X,X,O,O
TLJSZOI,O,X,X,O,O,X,O,O,O,X,X,O,O
TLJSOIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TLJSOZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLJZISO,O,X,O,O,O,X,O,O,X,X,X,O,X
TLJZIOS,O,X,O,O,O,X,O,O,O,X,X,O,X
TLJZSIO,O,O,O,O,O,X,O,O,X,X,X,O,X
TLJZSOI,O,X,X,O,O,X,O,O,O,X,X,O,X
TLJZOIS,O,X,O,O,O,X,X,O,O,X,X,O,X
TLJZOSI,O,X,O,O,O,X,O,O,O,X,X,O,X
TLJOISZ,X,X,O,X,O,X,X,X,O,X,X,O,X
TLJOIZS,O,X,O,O,X,X,O,O,O,X,X,O,X
TLJOSIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TLJOSZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLJOZIS,O,X,O,O,O,X,X,O,O,X,X,O,X
TLJOZSI,O,X,O,O,O,X,O,O,O,X,X,O,X
TLSIJZO,O,O,X,O,X,X,O,O,X,X,X,O,O
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,O,O,X,X,O,X,O,X,X,X,X,O,O
TLSIZOJ,O,O,X,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,O,O,X,X,X,O,O
TLSJIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
TLSJZIO,O,O,O,O,O,X,O,O,X,X,X,O,O
TLSJZOI,O,X,X,O,O,X,O,O,X,X,X,O,O
TLSJOIZ,O,X,O,X,O,X,X,X,X,X,X,O,X
TLSJOZI,O,X,O,X,O,X,X,X,X,X,X,O,X
TLSZIJO,O,O,X,O,O,X,O,X,X,X,X,O,O
TLSZIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,O,O,X,X,X,O,O
TLSZJOI,O,X,X,O,O,X,O,O,X,X,X,O,O
TLSZOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,O,O,X,O,X,O,X,X,O,O
TLSOIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TLSOJZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLSOZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLSOZJI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLZIJSO,O,O,O,O,O,X,O,O,X,X,X,O,X
TLZIJOS,O,X,O,O,O,X,O,O,X,X,X,O,X
TLZISJO,O,O,X,O,O,X,O,X,X,X,X,O,X
TLZISOJ,O,O,X,O,O,X,O,X,X,X,X,X,X
TLZIOJS,O,X,O,O,X,X,O,X,O,X,X,O,X
TLZIOSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
TLZJISO,O,X,O,O,O,X,O,O,X,X,X,O,X
TLZJIOS,O,X,O,O,O,X,O,O,X,X,X,O,X
TLZJSIO,O,O,O,O,O,X,O,O,X,X,X,O,X
TLZJSOI,O,X,X,O,O,X,O,O,X,X,X,O,X
TLZJOIS,O,X,O,O,O,X,X,O,O,X,X,O,X
TLZJOSI,O,X,O,O,O,X,O,O,O,X,X,O,X
TLZSIJO,O,O,X,O,O,X,O,X,X,X,X,O,X
TLZSIOJ,O,O,X,O,O,X,X,X,X,O,X,X,X
TLZSJIO,O,O,O,O,O,X,O,O,X,X,X,O,X
TLZSJOI,O,X,X,O,O,X,O,O,X,O,X,O,X
TLZSOIJ,O,O,O,O,O,X,X,X,X,O,X,X,X
TLZSOJI,O,X,O,O,O,X,O,X,O,O,X,O,X
TLZOIJS,O,X,O,O,O,X,X,X,O,X,X,O,X
TLZOISJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZOJIS,O,X,O,O,O,X,X,O,O,X,X,O,X
TLZOJSI,O,X,O,O,O,X,O,O,O,X,X,O,X
TLZOSIJ,O,O,O,O,O,X,X,X,X,O,X,X,X
TLZOSJI,O,X,O,O,O,X,O,X,O,O,X,O,X
TLOIJSZ,X,O,O,X,O,X,X,X,O,X,X,O,X
TLOIJZS,O,X,O,O,X,X,O,O,O,X,X,O,X
TLOISJZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,X,O,X,O,X,O,X,O,X,X,O,X
TLOIZSJ,O,X,O,X,O,X,O,X,X,X,X,X,X
TLOJISZ,X,X,O,X,O,X,X,X,O,X,X,O,X
TLOJIZS,O,X,O,O,X,X,O,O,O,X,X,O,X
TLOJSIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TLOJSZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLOJZIS,O,X,O,O,O,X,X,O,O,X,X,O,X
TLOJZSI,O,X,O,O,O,X,O,O,O,X,X,O,X
TLOSIJZ,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,O,X,O,X,X,X,O,X,X,O,X
TLOSJZI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLOSZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,X,O,X,O,X,X,X,O,X,X,O,X
TLOZIJS,O,X,O,O,O,X,X,X,O,X,X,O,X
TLOZISJ,O,X,O,X,O,X,X,X,X,X,X,X,X
TLOZJIS,O,X,O,O,O,X,X,O,O,X,X,O,X
TLOZJSI,O,X,O,O,O,X,O,O,O,X,X,O,X
TLOZSIJ,O,O,O,O,O,X,X,X,X,O,X,X,X
TLOZSJI,O,X,O,O,O,X,O,X,O,O,X,O,X
TJILSZO,X,O,O,O,X,X,O,O,X,X,X,X,O
TJILSOZ,X,O,X,X,X,X,X,X,X,X,O,X,X
TJILZSO,X,X,O,O,X,X,O,O,X,X,X,X,X
TJILZOS,X,X,O,O,X,X,O,O,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TJILOZS,X,X,O,O,X,X,O,O,X,X,X,X,X
TJISLZO,O,O,X,O,X,X,O,X,X,X,X,X,O
TJISLOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TJISZLO,O,O,X,X,X,X,O,X,X,X,X,X,O
TJISZOL,O,X,X,X,X,X,O,X,X,X,O,X,O
TJISOLZ,O,O,O,X,X,X,X,X,X,X,O,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X,O,X,O
TJIZLSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TJIZLOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TJIZSOL,O,X,X,O,X,X,O,X,X,X,O,X,O
TJIZOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,O,X,X,X,O,X,X
TJIOLSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TJIOLZS,X,X,O,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X,X,X,O,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,O,X,O
TJIOZLS,O,X,O,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,O,X,X,X,O,X,X
TJLISZO,X,X,O,O,X,X,O,O,X,X,X,X,O
TJLISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLIZSO,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TJLIOZS,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLSIZO,O,X,O,O,X,X,O,O,X,X,X,X,O
TJLSIOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TJLSZIO,O,X,O,O,X,X,O,O,X,X,X,X,O
TJLSZOI,O,X,X,O,X,X,O,O,X,X,X,X,O
TJLSOIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLSOZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLZSIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,O,O,X,X,X,X,X
TJLZOIS,O,X,O,O,X,X,X,O,X,X,X,O,X
TJLZOSI,O,X,O,O,X,X,O,O,X,X,X,O,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TJLOIZS,O,X,O,O,X,X,O,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,X,O,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,O,O,X,X,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TJSILOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TJSIZLO,O,O,X,X,X,X,X,X,X,X,X,X,O
TJSIZOL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJSIOLZ,O,O,O,X,X,O,X,X,X,X,O,X,X
TJSIOZL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJSLIZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TJSLIOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TJSLZIO,O,O,X,O,X,X,X,X,X,X,X,X,O
TJSLZOI,O,X,X,O,X,O,X,X,X,X,X,X,O
TJSLOIZ,O,X,X,X,X,O,X,X,X,X,O,X,X
TJSLOZI,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,X,X,X,X,X,O
TJSZIOL,O,X,X,O,X,O,X,X,X,X,O,X,O
TJSZLIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TJSZLOI,O,X,X,O,X,O,X,X,X,X,X,X,O
TJSZOIL,O,X,X,O,X,O,X,X,X,X,O,X,O
TJSZOLI,O,X,X,O,X,O,X,X,X,X,X,X,O
TJSOILZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TJSOIZL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJSOLIZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TJSOLZI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJSOZLI,O,X,X,X,X,O,X,X,X,X,X,X,O
TJZILSO,X,X,X,O,X,X,O,X,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,O,X,X,X,X,X,X
TJZISLO,O,X,X,O,X,X,O,X,X,X,X,X,O
TJZISOL,O,X,X,O,X,X,O,X,X,X,O,X,O
TJZIOLS,O,X,O,O,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,O,X,X,X,O,X,X
TJZLISO,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZLIOS,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZLSIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZLSOI,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZLOIS,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZLOSI,O,X,X,O,X,X,X,O,X,X,X,X,X
TJZSILO,O,X,X,O,X,X,O,X,X,X,X,X,O
TJZSIOL,O,X,X,O,X,O,O,X,X,O,O,X,O
TJZSLIO,O,X,X,O,X,X,O,X,X,X,X,X,O
TJZSLOI,O,X,X,O,X,O,X,X,X,O,X,X,O
TJZSOIL,O,X,X,O,X,O,O,X,X,O,O,X,O
TJZSOLI,O,X,X,O,X,O,X,X,X,O,X,X,O
TJZOILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOISL,O,X,X,O,X,O,X,X,X,X,O,X,X
TJZOLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,X,O,X,X,X,O,O,X,X
TJZOSLI,O,X,X,O,X,O,X,X,X,O,X,X,X
TJOILSZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TJOILZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TJOISLZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TJOISZL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJOIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,O,X,X,X,X,O,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X,X,O,X,X
TJOLIZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TJOLSZI,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOSILZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TJOSIZL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJOSLIZ,O,X,O,X,X,O,X,X,X,X,O,X,X
TJOSLZI,O,X,O,X,X,O,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,O,X,X,X,X,O,X,O
TJOSZLI,O,X,X,X,X,O,X,X,X,X,X,X,O
TJOZILS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,O,X,X,X,X,O,X,X
TJOZLIS,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,O,X,O,X,X,X,O,O,X,X
TJOZSLI,O,X,X,O,X,O,X,X,X,O,X,X,X
TSILJZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSILJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X,X,X,X,O
TSILZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X,X,X,X,X,O
TSIJLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X,X,X,X,O
TSIJZOL,O,X,X,X,X,X,X,X,X,X,X,X,O
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X,X,X,X,X,X,O
