sequence,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBOhBfjB6jB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBSjBUjBzlBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOhBfjB6jBTgB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFTbBGeBylBUjBXmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFXcBCeB2lBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFOgBXcBFjBzlBctBCtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhF0bBCeB/lBTjBOmBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigBXhBTjB0lBFtB,v115@0gA8DeA8DeA8CeB8DeA8CeC8CeB8BeB8CeH8AeA8Je?Z/IvhFWjBigB0gBTjBXmBFtB
TLZOSJI,O,O,X,O,X,X,X,X,X
TLOIJSZ,X,O,O,X,O,X,O,O,O
TLOIJZS,X,O,X,O,O,X,X,O,O
TLOISJZ,X,O,O,X,O,X,O,X,X
TLOISZJ,X,O,O,O,O,X,O,X,X
TLOIZJS,X,O,X,O,O,X,X,X,X
TLOIZSJ,X,O,X,O,O,X,O,X,X
TLOJISZ,X,O,O,X,O,X,O,O,O
TLOJIZS,X,O,X,O,O,X,X,O,O
TLOJSIZ,X,O,O,X,O,X,O,X,X
TLOJSZI,X,O,O,X,O,X,O,X,X
TLOJZIS,X,O,X,O,O,X,X,X,X
TLOJZSI,X,O,X,O,O,X,X,X,X
TLOSIJZ,X,O,O,X,O,X,O,X,X
TLOSIZJ,X,O,O,O,O,X,O,X,X
TLOSJIZ,X,O,O,X,O,X,O,X,X
TLOSJZI,X,O,O,X,O,X,O,X,X
TLOSZIJ,X,O,O,O,O,X,O,X,X
TLOSZJI,X,O,O,O,O,X,O,X,X
TLOZIJS,X,O,X,O,O,X,X,X,X
TLOZISJ,X,O,X,O,O,X,O,X,X
TLOZJIS,X,O,X,O,O,X,X,X,X
TLOZJSI,X,O,X,O,O,X,X,X,X
TLOZSIJ,X,O,X,O,O,X,O,X,X
TLOZSJI,X,O,X,O,O,X,O,X,X
TJILSZO,O,O,O,X,X,X,X,O,O
TJILSOZ,O,O,O,X,O,X,X,O,O
TJILZSO,O,O,X,O,X,X,X,O,O
TJILZOS,O,X,X,O,X,X,X,O,O
TJILOSZ,X,O,O,X,O,X,X,O,O
TJILOZS,X,O,X,O,O,X,X,O,O
TJISLZO,O,O,O,X,X,X,X,O,O
TJISLOZ,O,O,O,X,O,X,X,O,O
TJISZLO,O,O,O,X,X,X,X,X,X
TJISZOL,O,X,O,X,O,X,O,X,X
TJISOLZ,O,O,O,X,O,X,O,X,X
TJISOZL,O,X,O,X,O,X,O,X,X
TJIZLSO,O,O,X,O,X,X,X,O,O
TJIZLOS,O,X,X,O,X,X,X,O,O
TJIZSLO,O,O,O,O,X,X,X,X,X
TJIZSOL,O,X,O,X,O,X,X,X,X
TJIZOLS,O,X,X,O,O,X,X,X,X
TJIZOSL,O,X,O,X,O,X,X,X,X
TJIOLSZ,X,O,O,X,O,X,O,O,O
TJIOLZS,X,O,X,X,O,X,X,O,O
TJIOSLZ,O,O,O,X,O,X,O,X,X
TJIOSZL,O,O,O,X,O,X,O,X,X
TJIOZLS,O,O,X,X,O,X,X,X,X
TJIOZSL,O,O,O,X,O,X,X,X,X
TJLISZO,O,O,O,X,X,X,X,O,O
TJLISOZ,O,O,O,X,O,X,X,O,O
TJLIZSO,O,O,X,O,X,X,X,O,O
TJLIZOS,O,X,X,O,X,X,X,O,O
TJLIOSZ,X,O,O,X,O,X,X,O,O
TJLIOZS,X,O,X,O,O,X,X,O,O
TJLSIZO,O,O,O,X,X,X,X,O,O
TJLSIOZ,O,O,O,X,O,X,X,O,O
TJLSZIO,O,O,O,X,X,X,X,X,X
TJLSZOI,O,X,O,X,X,X,X,X,X
TJLSOIZ,O,O,O,X,O,X,X,X,X
TJLSOZI,O,X,O,X,O,X,X,X,X
TJLZISO,O,O,X,O,X,X,X,O,O
TJLZIOS,O,X,X,O,X,X,X,O,O
TJLZSIO,O,O,X,O,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,X,X
TJLZOSI,O,X,X,O,X,X,X,X,X
TJLOISZ,X,O,O,X,O,X,X,O,O
TJLOIZS,X,O,X,O,O,X,X,O,O
TJLOSIZ,X,O,O,X,O,X,X,X,X
TJLOSZI,X,O,O,X,O,X,X,X,X
TJLOZIS,X,O,X,O,O,X,X,X,X
TJLOZSI,X,O,X,O,O,X,X,X,X
TJSILZO,O,O,O,X,X,X,X,O,O
TJSILOZ,O,O,O,X,O,X,X,O,O
TJSIZLO,O,O,O,X,X,X,X,X,X
TJSIZOL,O,X,O,X,O,X,O,X,X
TJSIOLZ,O,O,O,X,O,X,O,X,X
TJSIOZL,O,X,O,X,O,X,O,X,X
TJSLIZO,O,O,O,X,X,X,X,O,O
TJSLIOZ,O,O,O,X,O,X,X,O,O
TJSLZIO,O,O,O,X,X,X,X,X,X
TJSLZOI,O,X,O,X,X,X,X,X,X
TJSLOIZ,O,O,O,X,O,X,X,X,X
TJSLOZI,O,X,O,X,O,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X,X
TJSZIOL,O,X,O,X,O,X,O,X,X
TJSZLIO,O,O,O,X,X,X,X,X,X
TJSZLOI,O,X,O,X,X,X,X,X,X
TJSZOIL,O,X,O,X,O,X,O,X,X
TJSZOLI,O,X,O,X,O,X,O,X,X
TJSOILZ,O,O,O,X,O,X,O,X,X
TJSOIZL,O,X,O,X,O,X,O,X,X
TJSOLIZ,O,O,O,X,O,X,O,X,X
TJSOLZI,O,X,O,X,O,X,O,X,X
TJSOZIL,O,X,O,X,O,X,O,X,X
TJSOZLI,O,X,O,X,O,X,O,X,X
TJZILSO,O,O,X,O,X,X,X,O,O
TJZILOS,O,X,X,O,X,X,X,O,O
TJZISLO,O,O,O,O,X,X,X,X,X
TJZISOL,O,X,O,X,O,X,X,X,X
TJZIOLS,O,X,X,O,O,X,X,X,X
TJZIOSL,O,X,O,X,O,X,X,X,X
TJZLISO,O,O,X,O,X,X,X,O,O
TJZLIOS,O,X,X,O,X,X,X,O,O
TJZLSIO,O,O,X,O,X,X,X,X,X
TJZLSOI,O,X,X,O,X,X,X,X,X
TJZLOIS,O,X,X,O,X,X,X,X,X
TJZLOSI,O,X,X,O,X,X,X,X,X
TJZSILO,O,O,O,O,X,X,X,X,X
TJZSIOL,O,X,O,X,O,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,X,X
TJZSLOI,O,X,O,O,X,X,X,X,X
TJZSOIL,O,X,O,X,O,X,X,X,X
TJZSOLI,O,X,O,X,O,X,X,X,X
TJZOILS,O,X,X,O,O,X,X,X,X
TJZOISL,O,X,O,X,O,X,X,X,X
TJZOLIS,O,X,X,O,O,X,X,X,X
TJZOLSI,O,X,X,O,O,X,X,X,X
TJZOSIL,O,X,O,X,O,X,X,X,X
TJZOSLI,O,X,O,X,O,X,X,X,X
TJOILSZ,X,O,O,X,O,X,O,O,O
TJOILZS,X,O,X,X,O,X,X,O,O
TJOISLZ,O,O,O,X,O,X,O,X,X
TJOISZL,O,O,O,X,O,X,O,X,X
TJOIZLS,O,O,X,X,O,X,X,X,X
TJOIZSL,O,O,O,X,O,X,X,X,X
TJOLISZ,X,O,O,X,O,X,O,O,O
TJOLIZS,X,O,X,X,O,X,X,O,O
TJOLSIZ,X,O,O,X,O,X,O,X,X
TJOLSZI,X,O,O,X,O,X,O,X,X
TJOLZIS,X,O,X,X,O,X,X,X,X
TJOLZSI,X,O,X,X,O,X,X,X,X
TJOSILZ,O,O,O,X,O,X,O,X,X
TJOSIZL,O,O,O,X,O,X,O,X,X
TJOSLIZ,O,O,O,X,O,X,O,X,X
TJOSLZI,O,O,O,X,O,X,O,X,X
TJOSZIL,O,O,O,X,O,X,O,X,X
TJOSZLI,O,O,O,X,O,X,O,X,X
TJOZILS,O,O,X,X,O,X,X,X,X
TJOZISL,O,O,O,X,O,X,X,X,X
TJOZLIS,O,O,X,X,O,X,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X,X
TJOZSIL,O,O,O,X,O,X,X,X,X
TJOZSLI,O,O,O,X,O,X,X,X,X
TSILJZO,O,O,O,X,X,X,X,O,O
TSILJOZ,O,O,O,X,O,X,X,O,O
TSILZJO,O,O,O,O,X,X,X,X,X
TSILZOJ,O,X,O,O,X,X,O,X,X
TSILOJZ,O,O,O,X,O,X,O,X,X
TSILOZJ,O,O,O,O,O,X,O,X,X
TSIJLZO,O,O,O,X,X,X,X,O,O
TSIJLOZ,O,O,O,X,O,X,X,O,O
TSIJZLO,O,O,O,X,X,X,X,X,X
TSIJZOL,O,X,O,X,O,X,O,X,X
TSIJOLZ,O,O,O,X,O,X,O,X,X
TSIJOZL,O,X,O,X,O,X,O,X,X
TSIZLJO,O,O,O,O,X,X,X,X,X
TSIZLOJ,O,X,O,O,X,X,O,X,X
TSIZJLO,O,O,O,O,X,X,X,X,X
TSIZJOL,O,X,O,X,O,X,O,X,X
TSIZOLJ,O,X,O,X,O,X,O,X,X
TSIZOJL,O,X,O,X,O,X,O,X,X
TSIOLJZ,O,O,O,X,O,X,O,X,X
TSIOLZJ,O,O,O,X,O,X,O,X,X
TSIOJLZ,O,O,O,X,O,X,O,X,X
TSIOJZL,O,O,O,X,O,X,O,X,X
TSIOZLJ,O,O,O,X,O,X,O,X,X
TSIOZJL,O,O,O,X,O,X,O,X,X
TSLIJZO,O,O,O,X,X,X,X,O,O
TSLIJOZ,O,O,O,X,O,X,X,O,O
TSLIZJO,O,O,O,O,X,X,X,X,X
TSLIZOJ,O,X,O,O,X,X,O,X,X
TSLIOJZ,O,O,O,X,O,X,O,X,X
TSLIOZJ,O,O,O,O,O,X,O,X,X
TSLJIZO,O,O,O,X,X,X,X,O,O
TSLJIOZ,O,O,O,X,O,X,X,O,O
TSLJZIO,O,O,O,X,X,X,X,X,X
TSLJZOI,O,X,O,X,X,X,X,X,X
TSLJOIZ,O,O,O,X,O,X,X,X,X
TSLJOZI,O,X,O,X,O,X,X,X,X
TSLZIJO,O,O,O,O,X,X,X,X,X
TSLZIOJ,O,X,O,O,X,X,O,X,X
TSLZJIO,O,O,O,O,X,X,X,X,X
TSLZJOI,O,X,O,O,X,X,X,X,X
TSLZOIJ,O,X,O,O,X,X,O,X,X
TSLZOJI,O,X,O,O,X,X,O,X,X
TSLOIJZ,O,O,O,X,O,X,O,X,X
TSLOIZJ,O,O,O,O,O,X,O,X,X
TSLOJIZ,O,O,O,X,O,X,O,X,X
TSLOJZI,O,O,O,X,O,X,O,X,X
TSLOZIJ,O,O,O,O,O,X,O,X,X
TSLOZJI,O,O,O,O,O,X,O,X,X
TSJILZO,O,O,O,X,X,X,X,O,O
TSJILOZ,O,O,O,X,O,X,X,O,O
TSJIZLO,O,O,O,X,X,X,X,X,X
TSJIZOL,O,X,O,X,O,X,O,X,X
TSJIOLZ,O,O,O,X,O,X,O,X,X
TSJIOZL,O,X,O,X,O,X,O,X,X
TSJLIZO,O,O,O,X,X,X,X,O,O
TSJLIOZ,O,O,O,X,O,X,X,O,O
TSJLZIO,O,O,O,X,X,X,X,X,X
TSJLZOI,O,X,O,X,X,X,X,X,X
TSJLOIZ,O,O,O,X,O,X,X,X,X
TSJLOZI,O,X,O,X,O,X,X,X,X
TSJZILO,O,O,O,X,X,X,X,X,X
TSJZIOL,O,X,O,X,O,X,O,X,X
TSJZLIO,O,O,O,X,X,X,X,X,X
TSJZLOI,O,X,O,X,X,X,X,X,X
TSJZOIL,O,X,O,X,O,X,O,X,X
TSJZOLI,O,X,O,X,O,X,O,X,X
TSJOILZ,O,O,O,X,O,X,O,X,X
TSJOIZL,O,X,O,X,O,X,O,X,X
TSJOLIZ,O,O,O,X,O,X,O,X,X
TSJOLZI,O,X,O,X,O,X,O,X,X
TSJOZIL,O,X,O,X,O,X,O,X,X
TSJOZLI,O,X,O,X,O,X,O,X,X
TSZILJO,O,O,O,O,X,X,X,X,X
TSZILOJ,O,X,O,O,X,X,O,X,X
TSZIJLO,O,O,O,O,X,X,X,X,X
TSZIJOL,O,X,O,X,O,X,O,X,X
TSZIOLJ,O,X,O,X,O,X,O,X,X
TSZIOJL,O,X,O,X,O,X,O,X,X
TSZLIJO,O,O,O,O,X,X,X,X,X
TSZLIOJ,O,X,O,O,X,X,O,X,X
TSZLJIO,O,O,O,O,X,X,X,X,X
TSZLJOI,O,X,O,O,X,X,X,X,X
TSZLOIJ,O,X,O,O,X,X,O,X,X
TSZLOJI,O,X,O,O,X,X,O,X,X
TSZJILO,O,O,O,O,X,X,X,X,X
TSZJIOL,O,X,O,X,O,X,O,X,X
TSZJLIO,O,O,O,O,X,X,X,X,X
TSZJLOI,O,X,O,O,X,X,X,X,X
TSZJOIL,O,X,O,X,O,X,O,X,X
TSZJOLI,O,X,O,X,O,X,O,X,X
TSZOILJ,O,X,O,X,O,X,O,X,X
TSZOIJL,O,X,O,X,O,X,O,X,X
TSZOLIJ,O,X,O,X,O,X,O,X,X
TSZOLJI,O,X,O,X,O,X,O,X,X
TSZOJIL,O,X,O,X,O,X,O,X,X
TSZOJLI,O,X,O,X,O,X,O,X,X
TSOILJZ,O,O,O,X,O,X,O,X,X
TSOILZJ,O,O,O,X,O,X,O,X,X
TSOIJLZ,O,O,O,X,O,X,O,X,X
TSOIJZL,O,O,O,X,O,X,O,X,X
TSOIZLJ,O,O,O,X,O,X,O,X,X
TSOIZJL,O,O,O,X,O,X,O,X,X
TSOLIJZ,O,O,O,X,O,X,O,X,X
TSOLIZJ,O,O,O,X,O,X,O,X,X
TSOLJIZ,O,O,O,X,O,X,O,X,X
TSOLJZI,O,O,O,X,O,X,O,X,X
TSOLZIJ,O,O,O,X,O,X,O,X,X
TSOLZJI,O,O,O,X,O,X,O,X,X
TSOJILZ,O,O,O,X,O,X,O,X,X
TSOJIZL,O,O,O,X,O,X,O,X,X
TSOJLIZ,O,O,O,X,O,X,O,X,X
TSOJLZI,O,O,O,X,O,X,O,X,X
TSOJZIL,O,O,O,X,O,X,O,X,X
TSOJZLI,O,O,O,X,O,X,O,X,X
TSOZILJ,O,O,O,X,O,X,O,X,X
TSOZIJL,O,O,O,X,O,X,O,X,X
TSOZLIJ,O,O,O,X,O,X,O,X,X
TSOZLJI,O,O,O,X,O,X,O,X,X
TSOZJIL,O,O,O,X,O,X,O,X,X
TSOZJLI,O,O,O,X,O,X,O,X,X
TZILJSO,O,O,X,O,X,X,X,O,O
TZILJOS,O,X,X,O,X,X,X,O,O
TZILSJO,O,O,X,O,X,X,X,X,X
TZILSOJ,O,X,X,O,X,X,X,X,X
TZILOJS,O,O,X,O,X,O,X,X,X
TZILOSJ,O,O,X,O,X,O,X,X,X
