sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
TILOSJZ,X,O,X,X,O,X,X,X,X,X
TILOSZJ,O,O,X,X,O,X,X,X,X,X
TILOZJS,O,O,O,X,X,O,O,O,X,X
TILOZSJ,O,O,X,X,X,O,X,O,X,X
TIJLSZO,X,O,O,O,O,O,O,X,X,X
TIJLSOZ,X,O,O,O,O,X,X,X,X,X
TIJLZSO,O,O,O,O,O,O,O,X,X,X
TIJLZOS,O,O,O,O,X,O,O,X,X,X
TIJLOSZ,X,O,O,X,O,X,X,X,X,X
TIJLOZS,O,O,O,O,X,O,O,X,X,X
TIJSLZO,X,O,O,O,O,O,O,X,X,X
TIJSLOZ,X,O,O,X,O,X,X,X,X,X
TIJSZLO,X,O,O,O,O,O,O,X,X,X
TIJSZOL,X,O,O,X,O,O,X,X,X,X
TIJSOLZ,X,O,O,X,O,X,X,X,X,X
TIJSOZL,X,O,O,X,O,X,X,X,X,X
TIJZLSO,O,O,O,O,O,O,O,O,X,X
TIJZLOS,O,O,O,O,X,O,O,O,X,X
TIJZSLO,O,O,O,O,O,O,O,O,X,X
TIJZSOL,O,O,O,X,O,O,X,O,X,X
TIJZOLS,O,O,O,O,X,O,O,O,X,X
TIJZOSL,O,X,O,X,X,O,X,O,X,X
TIJOLSZ,X,O,O,X,O,X,X,X,X,X
TIJOLZS,O,O,O,O,X,O,O,X,X,X
TIJOSLZ,X,O,O,X,O,X,X,X,X,X
TIJOSZL,X,O,O,X,O,X,X,X,X,X
TIJOZLS,O,O,O,O,X,O,O,O,X,X
TIJOZSL,O,O,O,X,X,O,X,O,X,X
TISLJZO,O,O,X,O,O,X,O,X,X,X
TISLJOZ,O,O,X,O,O,X,X,X,X,X
TISLZJO,O,O,X,O,O,X,O,X,X,X
TISLZOJ,O,O,X,O,O,X,X,X,X,X
TISLOJZ,O,O,X,O,O,X,X,X,X,X
TISLOZJ,O,O,X,O,O,X,X,X,X,X
TISJLZO,O,O,O,O,O,X,O,X,X,X
TISJLOZ,O,O,O,O,O,X,X,X,X,X
TISJZLO,O,O,O,O,O,X,O,X,X,X
TISJZOL,O,O,O,O,O,X,X,X,X,X
TISJOLZ,O,O,O,O,O,X,X,X,X,X
TISJOZL,O,O,O,O,O,X,X,X,X,X
TISZLJO,O,O,X,O,O,X,O,O,X,X
TISZLOJ,O,O,X,O,O,X,X,O,X,X
TISZJLO,O,O,O,O,O,X,O,O,X,X
TISZJOL,O,O,O,O,O,X,X,O,X,X
TISZOLJ,O,O,X,O,O,X,X,O,X,X
TISZOJL,O,O,O,O,O,X,X,O,X,X
TISOLJZ,O,O,X,O,O,X,X,X,X,X
TISOLZJ,O,O,X,O,O,X,X,X,X,X
TISOJLZ,O,O,O,O,O,X,X,X,X,X
TISOJZL,O,O,O,O,O,X,X,X,X,X
TISOZLJ,O,O,X,O,O,X,X,O,X,X
TISOZJL,O,O,O,O,O,X,X,O,X,X
TIZLJSO,O,O,O,O,O,O,O,O,X,X
TIZLJOS,O,O,O,O,X,O,O,O,X,X
TIZLSJO,O,O,X,O,O,O,O,O,X,X
TIZLSOJ,O,O,X,O,O,O,X,O,X,X
TIZLOJS,O,O,O,O,X,O,O,O,X,X
TIZLOSJ,O,O,X,O,X,O,X,O,X,X
TIZJLSO,O,O,O,O,O,O,O,O,X,X
TIZJLOS,O,O,O,O,X,O,O,O,X,X
TIZJSLO,O,O,O,O,O,O,O,O,X,X
TIZJSOL,O,X,O,O,O,O,X,O,X,X
TIZJOLS,O,O,O,O,X,O,O,O,X,X
TIZJOSL,O,X,O,X,X,O,X,O,X,X
TIZSLJO,O,O,X,O,O,O,O,O,X,X
TIZSLOJ,O,O,X,O,O,O,X,O,X,X
TIZSJLO,O,O,O,O,O,O,O,O,X,X
TIZSJOL,O,O,O,O,O,O,X,O,X,X
TIZSOLJ,O,O,X,O,O,O,X,O,X,X
TIZSOJL,O,O,O,O,O,X,X,O,X,X
TIZOLJS,O,O,O,O,X,O,O,O,X,X
TIZOLSJ,O,O,X,O,X,O,O,O,X,X
TIZOJLS,O,O,O,O,X,O,O,O,X,X
TIZOJSL,O,O,O,X,X,O,O,O,X,X
TIZOSLJ,O,O,X,O,X,O,O,O,X,X
TIZOSJL,O,O,O,O,X,O,O,O,X,X
TIOLJSZ,X,O,O,X,O,O,O,X,X,X
TIOLJZS,O,O,O,X,X,O,O,X,X,X
TIOLSJZ,X,O,X,X,O,X,O,X,X,X
TIOLSZJ,O,O,X,X,O,X,O,X,X,X
TIOLZJS,O,O,O,X,X,O,O,O,X,X
TIOLZSJ,O,O,X,X,X,O,O,O,X,X
TIOJLSZ,X,O,O,X,O,O,O,X,X,X
TIOJLZS,O,O,O,X,X,O,O,X,X,X
TIOJSLZ,X,O,O,X,O,O,O,X,X,X
TIOJSZL,X,O,O,X,O,O,O,X,X,X
TIOJZLS,O,O,O,X,X,O,O,O,X,X
TIOJZSL,O,O,O,X,X,O,O,O,X,X
TIOSLJZ,X,O,X,X,O,X,O,X,X,X
TIOSLZJ,O,O,X,X,O,X,O,X,X,X
TIOSJLZ,X,O,O,X,O,X,O,X,X,X
TIOSJZL,X,O,O,X,O,X,O,X,X,X
TIOSZLJ,O,O,X,X,O,X,O,O,X,X
TIOSZJL,O,O,O,X,O,X,O,O,X,X
TIOZLJS,O,O,O,X,X,O,O,O,X,X
TIOZLSJ,O,O,X,X,X,O,O,O,X,X
TIOZJLS,O,O,O,X,X,O,O,O,X,X
TIOZJSL,O,O,O,X,X,O,O,O,X,X
TIOZSLJ,O,O,X,X,X,O,O,O,X,O
TIOZSJL,O,O,O,X,X,O,O,O,X,O
TLIJSZO,X,O,O,O,O,O,O,X,X,X
TLIJSOZ,X,O,O,O,O,X,X,X,X,X
TLIJZSO,O,O,O,O,O,O,O,O,X,X
TLIJZOS,O,O,O,O,X,O,O,O,X,X
TLIJOSZ,X,O,O,X,O,X,X,X,X,X
TLIJOZS,O,O,O,O,X,O,O,X,X,X
TLISJZO,O,O,X,O,O,X,O,X,X,X
TLISJOZ,O,O,X,O,O,X,X,X,X,X
TLISZJO,O,O,X,O,O,X,O,X,X,X
TLISZOJ,O,O,X,O,O,X,X,X,X,X
TLISOJZ,O,O,X,O,O,X,X,X,X,X
TLISOZJ,O,O,X,O,O,X,X,X,X,X
TLIZJSO,O,O,O,O,O,O,O,O,X,X
TLIZJOS,O,O,O,O,X,O,O,O,X,X
TLIZSJO,O,O,X,O,O,O,O,O,X,X
TLIZSOJ,O,O,X,O,O,O,X,O,X,X
TLIZOJS,O,O,X,O,X,O,O,O,X,X
TLIZOSJ,O,O,X,O,X,O,X,O,X,X
TLIOJSZ,X,O,X,X,O,O,X,X,X,X
TLIOJZS,O,O,X,X,X,O,O,X,X,X
TLIOSJZ,X,O,X,X,O,X,X,X,X,X
TLIOSZJ,O,O,X,X,O,X,X,X,X,X
TLIOZJS,O,O,X,X,X,O,O,O,X,X
TLIOZSJ,O,O,X,X,X,O,X,O,X,X
TLJISZO,X,O,O,O,X,X,O,X,X,X
TLJISOZ,X,X,O,O,O,X,X,X,X,X
TLJIZSO,X,O,O,O,X,O,O,X,X,X
TLJIZOS,X,O,O,O,X,X,O,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X
TLJIOZS,X,O,O,O,X,X,O,X,X,X
TLJSIZO,X,O,O,O,O,X,X,X,X,X
TLJSIOZ,X,O,O,X,O,X,X,X,X,X
TLJSZIO,X,O,O,O,O,O,O,X,X,X
TLJSZOI,X,O,X,O,O,O,O,X,X,X
TLJSOIZ,X,O,O,X,O,X,X,X,X,X
TLJSOZI,X,O,O,O,O,X,X,X,X,X
TLJZISO,X,O,O,O,X,O,O,X,X,X
TLJZIOS,O,X,O,O,X,O,O,O,X,X
TLJZSIO,X,O,O,O,X,O,O,X,X,X
TLJZSOI,O,O,X,O,O,O,O,O,X,X
TLJZOIS,O,X,O,O,X,O,X,O,X,X
TLJZOSI,O,O,O,O,X,O,O,O,X,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X
TLJOIZS,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,O,X,X,X,X,X
TLJOSZI,X,O,O,X,O,X,X,X,X,X
TLJOZIS,O,O,O,O,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,O,O,X,X,X
TLSIJZO,X,O,X,X,O,X,X,X,X,X
TLSIJOZ,X,O,X,X,O,X,X,X,X,X
TLSIZJO,O,O,X,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,X,O,X,X,X,X,X
TLSIOJZ,X,O,X,X,O,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,X,X,X,X
TLSJIZO,X,O,X,O,O,X,X,X,X,X
TLSJIOZ,X,O,X,X,O,X,X,X,X,X
TLSJZIO,O,O,X,O,O,X,O,X,X,X
TLSJZOI,O,O,X,O,O,X,O,X,X,X
TLSJOIZ,X,O,X,X,O,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X,X
TLSZIJO,O,O,X,X,O,X,X,X,X,X
TLSZIOJ,O,O,X,O,O,X,X,X,X,X
TLSZJIO,O,O,X,O,O,X,O,X,X,X
TLSZJOI,O,O,X,O,O,X,O,X,X,X
TLSZOIJ,O,O,X,O,O,X,X,X,X,X
TLSZOJI,O,O,X,O,O,X,X,X,X,X
TLSOIJZ,X,X,X,X,O,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,X,X,X,X,X
TLSOJIZ,X,X,X,O,O,X,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X,X,X
TLSOZJI,O,O,X,O,O,X,X,X,X,X
TLZIJSO,O,O,O,O,X,O,O,O,X,X
TLZIJOS,O,O,O,O,X,O,O,O,X,X
TLZISJO,O,O,X,O,X,O,O,O,X,X
TLZISOJ,O,O,X,O,X,O,X,O,X,X
TLZIOJS,O,O,X,O,X,O,O,O,X,X
TLZIOSJ,O,O,X,O,X,O,X,O,X,X
TLZJISO,O,O,O,O,X,O,O,O,X,X
TLZJIOS,O,X,O,O,X,O,O,O,X,X
TLZJSIO,O,O,O,O,X,O,O,X,X,X
TLZJSOI,O,O,X,O,O,O,O,O,X,X
TLZJOIS,O,X,O,O,X,O,X,O,X,X
TLZJOSI,O,O,O,O,X,O,O,O,X,X
TLZSIJO,O,O,X,O,O,O,X,O,X,X
TLZSIOJ,O,O,X,O,O,O,X,O,X,X
TLZSJIO,O,O,X,O,O,O,O,X,X,X
TLZSJOI,O,O,X,O,O,O,O,O,X,X
TLZSOIJ,O,O,X,O,O,X,X,O,X,X
TLZSOJI,O,O,X,O,O,O,X,O,X,X
TLZOIJS,O,X,X,O,X,X,X,O,X,X
TLZOISJ,X,X,X,O,X,X,X,O,X,X
TLZOJIS,O,O,O,O,X,O,X,O,X,X
TLZOJSI,O,O,O,O,X,O,O,O,X,X
TLZOSIJ,X,O,X,O,X,O,X,O,X,X
TLZOSJI,O,O,X,O,X,O,X,O,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X,O,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,O,X,X,X,X
TLOJSIZ,X,O,O,X,O,X,X,X,X,X
TLOJSZI,X,O,O,X,O,O,X,X,X,X
TLOJZIS,O,O,O,X,X,O,X,X,X,X
TLOJZSI,O,O,O,X,X,O,O,X,X,X
TLOSIJZ,X,X,X,X,O,X,X,X,X,X
TLOSIZJ,X,O,X,X,O,X,X,X,X,X
TLOSJIZ,X,X,X,X,O,X,X,X,X,X
TLOSJZI,X,O,X,X,O,X,X,X,X,X
TLOSZIJ,X,O,X,X,O,X,X,X,X,X
TLOSZJI,O,O,X,X,O,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,X,O,X,X
TLOZISJ,X,X,X,X,X,X,X,O,X,X
TLOZJIS,O,O,O,X,X,O,X,O,X,X
TLOZJSI,O,O,O,X,X,O,O,O,X,X
TLOZSIJ,X,O,X,X,X,O,X,O,X,O
TLOZSJI,O,O,X,X,X,O,X,O,X,O
TJILSZO,X,O,O,O,X,X,O,X,X,X
TJILSOZ,X,X,O,O,O,X,X,X,X,X
TJILZSO,X,O,O,O,X,O,O,X,X,X
TJILZOS,X,O,O,O,X,X,O,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,O,X,X,X
TJISLZO,X,O,O,O,O,X,O,X,X,X
TJISLOZ,X,O,O,X,O,X,X,X,X,X
TJISZLO,X,O,O,O,O,X,O,X,X,X
TJISZOL,X,O,O,X,O,X,X,X,X,X
TJISOLZ,X,O,O,X,O,X,X,X,X,X
TJISOZL,X,O,O,X,O,X,X,X,X,X
TJIZLSO,X,O,O,O,X,O,O,O,X,X
TJIZLOS,X,O,O,O,X,X,O,O,X,X
TJIZSLO,X,O,O,O,X,O,O,O,X,X
TJIZSOL,X,X,O,X,X,X,X,O,X,X
TJIZOLS,X,O,O,O,X,X,O,O,X,X
TJIZOSL,X,X,O,X,X,X,X,O,X,X
TJIOLSZ,X,O,O,X,X,X,X,X,X,X
TJIOLZS,X,O,O,O,X,X,O,X,X,X
TJIOSLZ,X,O,O,X,X,X,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X
TJIOZLS,X,O,O,O,X,X,O,O,X,X
TJIOZSL,X,O,O,X,X,X,X,O,X,X
TJLISZO,X,O,O,O,X,X,O,X,X,X
TJLISOZ,X,X,O,O,O,X,X,X,X,X
TJLIZSO,X,O,O,O,X,O,O,X,X,X
TJLIZOS,X,O,O,O,X,X,O,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X,X,X
TJLIOZS,X,O,O,O,X,X,O,X,X,X
TJLSIZO,X,O,O,O,O,X,X,X,X,X
TJLSIOZ,X,O,O,X,O,X,X,X,X,X
TJLSZIO,X,O,O,O,O,O,O,X,X,X
TJLSZOI,X,O,X,O,O,O,O,X,X,X
TJLSOIZ,X,O,O,X,O,X,X,X,X,X
TJLSOZI,X,O,O,O,O,X,X,X,X,X
TJLZISO,X,O,O,O,X,O,O,X,X,X
TJLZIOS,O,X,O,O,X,O,O,X,X,X
TJLZSIO,X,O,O,O,X,O,O,X,X,X
TJLZSOI,O,O,X,O,O,O,O,X,X,X
TJLZOIS,O,X,O,O,X,O,X,X,X,X
TJLZOSI,O,O,O,O,X,O,O,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,O,X,X,X,X,X
TJLOSZI,X,O,O,X,O,X,X,X,X,X
TJLOZIS,O,O,O,O,X,X,X,X,X,X
TJLOZSI,O,O,O,O,X,O,O,X,X,X
TJSILZO,X,O,O,X,O,X,O,X,X,X
TJSILOZ,X,O,O,X,O,X,X,X,X,X
TJSIZLO,X,O,O,X,O,X,O,X,X,X
TJSIZOL,X,O,O,X,O,X,X,X,X,X
TJSIOLZ,X,O,O,X,O,X,X,X,X,X
TJSIOZL,X,O,O,X,O,X,X,X,X,X
TJSLIZO,X,O,O,X,O,X,X,X,X,X
TJSLIOZ,X,O,O,X,O,X,X,X,X,X
TJSLZIO,X,O,O,O,O,O,O,X,X,X
TJSLZOI,X,O,X,O,O,O,O,X,X,X
TJSLOIZ,X,O,O,X,O,X,X,X,X,X
TJSLOZI,X,O,O,X,O,X,X,X,X,X
TJSZILO,X,O,X,X,O,O,O,X,X,X
TJSZIOL,X,X,X,X,O,X,X,X,X,X
TJSZLIO,X,O,O,O,X,O,O,X,X,X
TJSZLOI,X,O,X,O,O,O,O,X,X,X
TJSZOIL,X,X,X,X,O,X,X,X,X,X
TJSZOLI,X,O,O,X,O,O,X,X,X,X
TJSOILZ,X,X,O,X,O,X,X,X,X,X
TJSOIZL,X,X,O,X,O,X,X,X,X,X
TJSOLIZ,X,O,O,X,O,X,X,X,X,X
TJSOLZI,X,O,O,X,O,X,X,X,X,X
TJSOZIL,X,X,X,X,O,X,X,X,X,X
TJSOZLI,X,O,O,X,O,X,X,X,X,X
TJZILSO,X,O,O,O,X,O,O,O,X,X
TJZILOS,O,X,O,O,X,X,O,O,X,X
TJZISLO,X,X,O,O,X,O,O,O,X,X
TJZISOL,X,X,O,X,X,X,X,O,X,X
TJZIOLS,O,X,O,O,X,X,O,O,X,X
TJZIOSL,X,X,O,X,X,X,X,O,X,X
TJZLISO,X,O,O,O,X,O,O,O,X,X
TJZLIOS,O,X,O,O,X,O,O,O,X,X
TJZLSIO,X,O,O,O,X,O,O,X,X,X
TJZLSOI,O,O,X,O,O,O,O,O,X,X
TJZLOIS,O,X,O,O,X,O,X,O,X,X
TJZLOSI,O,O,O,O,X,O,O,O,X,X
TJZSILO,X,O,X,X,O,O,O,O,X,X
TJZSIOL,X,X,X,X,O,X,X,O,X,X
TJZSLIO,X,O,O,O,X,O,O,X,X,X
TJZSLOI,O,O,X,O,O,O,O,O,X,X
TJZSOIL,X,X,X,X,O,X,X,O,X,X
TJZSOLI,O,O,O,X,O,O,X,O,X,X
TJZOILS,O,X,O,X,X,X,O,O,X,X
TJZOISL,X,X,O,X,X,X,X,O,X,X
TJZOLIS,O,X,O,O,X,X,X,O,X,X
TJZOLSI,O,O,O,O,X,O,O,O,X,X
TJZOSIL,X,X,X,X,X,X,X,O,X,X
TJZOSLI,O,X,O,X,X,O,X,O,X,X
TJOILSZ,X,X,O,X,X,X,X,X,X,X
TJOILZS,X,O,O,X,X,X,O,X,X,X
TJOISLZ,X,X,O,X,X,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X,X,X
TJOIZLS,X,O,O,X,X,X,O,O,X,X
TJOIZSL,X,X,O,X,X,X,X,O,X,X
TJOLISZ,X,X,O,X,X,X,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,O,X,X,X,X,X
TJOLSZI,X,O,O,X,O,X,X,X,X,X
TJOLZIS,O,O,O,O,X,X,X,X,X,X
TJOLZSI,O,O,O,O,X,O,O,X,X,X
TJOSILZ,X,X,O,X,O,X,X,X,X,X
TJOSIZL,X,X,O,X,O,X,X,X,X,X
TJOSLIZ,X,X,O,X,O,X,X,X,X,X
TJOSLZI,X,O,O,X,O,X,X,X,X,X
TJOSZIL,X,X,X,X,O,X,X,X,X,X
TJOSZLI,X,O,O,X,O,X,X,X,X,X
TJOZILS,O,O,O,X,X,X,O,O,X,X
TJOZISL,X,X,O,X,X,X,X,O,X,X
TJOZLIS,O,O,O,O,X,X,X,O,X,X
TJOZLSI,O,O,O,O,X,O,O,O,X,X
TJOZSIL,X,X,X,X,X,X,X,O,X,O
TJOZSLI,O,O,O,X,X,O,X,O,X,O
TSILJZO,X,O,X,X,O,X,O,X,X,X
TSILJOZ,X,O,X,X,O,X,X,X,X,X
TSILZJO,O,O,X,X,O,X,O,X,X,X
TSILZOJ,O,O,X,X,O,X,X,X,X,X
TSILOJZ,X,O,X,X,O,X,X,X,X,X
TSILOZJ,O,O,X,X,O,X,X,X,X,X
TSIJLZO,X,O,X,X,O,X,O,X,X,X
TSIJLOZ,X,O,X,X,O,X,X,X,X,X
TSIJZLO,X,O,X,X,O,X,O,X,X,X
TSIJZOL,X,O,X,X,O,X,X,X,X,X
TSIJOLZ,X,O,X,X,O,X,X,X,X,X
TSIJOZL,X,O,X,X,O,X,X,X,X,X
TSIZLJO,O,O,X,X,O,X,O,O,X,X
TSIZLOJ,O,O,X,X,O,X,X,O,X,X
TSIZJLO,O,O,X,X,O,X,O,O,X,X
TSIZJOL,O,O,X,X,O,X,X,O,X,X
TSIZOLJ,O,O,X,X,O,X,X,O,X,X
TSIZOJL,O,O,X,X,O,X,X,O,X,X
TSIOLJZ,X,O,X,X,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,O,X,X,X,X,X
TSIOJLZ,X,O,X,X,O,X,X,X,X,X
TSIOJZL,X,O,X,X,O,X,X,X,X,X
TSIOZLJ,O,O,X,X,O,X,X,O,X,X
TSIOZJL,O,O,X,X,O,X,X,O,X,X
TSLIJZO,X,O,X,X,O,X,X,X,X,X
TSLIJOZ,X,O,X,X,O,X,X,X,X,X
TSLIZJO,O,O,X,X,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,O,X,X,X,X,X
TSLIOJZ,X,O,X,X,O,X,X,X,X,X
TSLIOZJ,O,O,X,X,O,X,X,X,X,X
TSLJIZO,X,O,X,O,O,X,X,X,X,X
TSLJIOZ,X,O,X,X,O,X,X,X,X,X
TSLJZIO,O,O,X,O,O,X,O,X,X,X
TSLJZOI,O,O,X,O,O,X,O,X,X,X
TSLJOIZ,X,O,X,X,O,X,X,X,X,X
TSLJOZI,O,O,X,O,O,X,X,X,X,X
TSLZIJO,O,O,X,X,O,X,X,X,X,X
TSLZIOJ,O,O,X,O,O,X,X,X,X,X
TSLZJIO,O,O,X,O,O,X,O,X,X,X
TSLZJOI,O,O,X,O,O,X,O,X,X,X
TSLZOIJ,O,O,X,O,O,X,X,X,X,X
TSLZOJI,O,O,X,O,O,X,X,X,X,X
TSLOIJZ,X,X,X,X,O,X,X,X,X,X
TSLOIZJ,O,O,X,O,O,X,X,X,X,X
TSLOJIZ,X,X,X,O,O,X,X,X,X,X
TSLOJZI,O,O,X,O,O,X,X,X,X,X
TSLOZIJ,O,O,X,O,O,X,X,X,X,X
TSLOZJI,O,O,X,O,O,X,X,X,X,X
TSJILZO,X,O,O,O,O,X,O,X,X,X
TSJILOZ,X,O,O,X,O,X,X,X,X,X
TSJIZLO,X,O,O,O,O,X,O,X,X,X
TSJIZOL,X,O,O,O,O,X,X,X,X,X
TSJIOLZ,X,O,O,O,O,X,X,X,X,X
TSJIOZL,X,O,O,O,O,X,X,X,X,X
TSJLIZO,X,O,O,O,O,X,X,X,X,X
TSJLIOZ,X,O,O,X,O,X,X,X,X,X
TSJLZIO,O,O,O,O,O,X,O,X,X,X
TSJLZOI,O,O,X,O,O,X,O,X,X,X
TSJLOIZ,X,O,O,O,O,X,X,X,X,X
TSJLOZI,O,O,O,O,O,X,X,X,X,X
TSJZILO,O,O,X,O,O,X,O,X,X,X
TSJZIOL,O,X,X,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,X,X,O,X,X,X
TSJZLOI,O,O,X,O,O,X,O,X,X,X
TSJZOIL,O,X,X,O,O,X,X,X,X,X
TSJZOLI,O,O,O,O,O,X,X,X,X,X
TSJOILZ,X,X,O,O,O,X,X,X,X,X
TSJOIZL,X,X,O,O,O,X,X,X,X,X
TSJOLIZ,X,O,O,O,O,X,X,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X,X,X
TSJOZIL,O,X,X,O,O,X,X,X,X,X
TSJOZLI,O,O,O,O,O,X,X,X,X,X
TSZILJO,O,O,X,X,O,X,O,O,X,X
TSZILOJ,O,O,X,O,O,X,X,O,X,X
TSZIJLO,O,O,X,X,O,X,O,O,X,X
TSZIJOL,O,O,X,X,O,X,X,O,X,X
TSZIOLJ,O,O,X,O,O,X,X,O,O,X
TSZIOJL,O,O,X,X,O,X,X,O,O,X
TSZLIJO,O,O,X,X,O,X,X,O,X,X
TSZLIOJ,O,O,X,O,O,X,X,O,O,X
TSZLJIO,O,O,X,O,O,X,O,X,X,X
TSZLJOI,O,O,X,O,O,X,O,O,O,X
TSZLOIJ,O,O,X,O,O,X,X,O,O,X
TSZLOJI,O,O,X,O,O,X,X,O,O,X
TSZJILO,O,O,X,O,O,X,O,O,X,X
TSZJIOL,O,X,X,O,O,X,X,O,X,X
TSZJLIO,O,O,O,O,X,X,O,X,X,X
TSZJLOI,O,O,X,O,O,X,O,O,X,X
TSZJOIL,O,X,X,O,O,X,X,O,O,X
TSZJOLI,O,O,O,O,O,X,X,O,O,X
TSZOILJ,O,O,X,O,O,X,X,O,O,X
TSZOIJL,O,X,X,X,O,X,X,O,O,X
TSZOLIJ,O,O,X,O,O,X,X,O,O,X
TSZOLJI,O,O,X,O,O,X,X,O,O,X
TSZOJIL,O,X,X,O,O,X,X,O,O,X
TSZOJLI,O,O,O,O,O,X,X,O,O,X
TSOILJZ,X,O,X,X,O,X,X,X,X,X
TSOILZJ,O,O,X,O,O,X,X,X,X,X
TSOIJLZ,X,O,X,X,O,X,X,X,X,X
