sequence,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFqfBTbBmcB1?qBXrB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBmcBflBC?hBzqB0rB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFCbB2hBXgBF?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhF3bBzcBckBV?mB2qBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFGbBzfBFmB0?qB/rBasB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhF2gB8hBikB3?lBFmBRwB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jex6IvhFicBOkBFlBX?mB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckB3hBT?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFFbBzcBflBC?mB2wB8qB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFzaB3cBUlBF?mBuqBywB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeT6IvhFxbB8hBikB3?lB2wBlqB,v115@6gC8GeC8FeD8AeA8CeH8DeC8JeZ/IvhFufB3bBlhBy?qB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Je2/IvhFRbBfmBlhBi?kB0qBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei6IvhFRcBckBlgB/?qBOrBzrB,v115@6gC8GeC8FeD8AeA8CeH8DeC8Jei8IvhFxkBXmBOkBF?lBzrB0qB
TISZJLO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISZJOL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
TISZOLJ,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISOJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISOZLJ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TISOZJL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZLSJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZLSOJ,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIZJLSO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJSLO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZJSOL,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZJOSL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLOJ,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZSJOL,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZSOJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIZOLJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIZOJLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIZOJSL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZOSLJ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TIZOSJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOSZJL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOZJLS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOZSLJ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIJZOS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TLIZJOS,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLIZSJO,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLIZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLIZOJS,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLIZOSJ,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLJSZOI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TLJZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZSIO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLJZSOI,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLJZOIS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOZIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZJIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSZOJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZISJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZIOJS,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZIOSJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZJISO,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLZJIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJSIO,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLZJSOI,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X
TLZJOIS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLZJOSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLZSIOJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TLZSJIO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLZSJOI,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
TLZSOIJ,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TLZSOJI,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
TLZOIJS,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TLZOISJ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TLZOJIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZOJSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZOSJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOJZSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOZJSI,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOZSIJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJILOSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJISZLO,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TJISZOL,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJISOZL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIZLOS,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZSLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIZSOL,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIZOLS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOLSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOSZL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLSZIO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJLSZOI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJLSOZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJLZISO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZSOI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLOZIS,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TJSILOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSIZLO,X,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X
TJSIZOL,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O,X
TJSIOLZ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X
TJSLIZO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TJSLIOZ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSLZIO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X
TJSLZOI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X
TJSLOIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TJSLOZI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TJSZILO,X,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X
TJSZIOL,X,O,O,X,O,X,X,O,X,X,O,X,X,X,O,X
TJSZLIO,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,X
TJSZLOI,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X
TJSZOIL,X,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X
