sequence,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBFiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXcBTdBcmBynBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFXdBamBziB0hBWw?BFsB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBasBGr?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFFhBXiB8nB6rBOs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsB6r?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFTdBFhB8nBSrBes?BXrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFKiBfjBFhBWsBzq?B0rB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhFeiBfjBFhBcsBCr?BTrB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF6hB0dB2nBVrBXs?BzqB,v115@7gE8FeE8EeD8EeE8DeC8Jex6IvhF0dB3hBlnBuqBTm?BywB
TIJOZLS,X,O,X,X,X,X,O,X,X,X,X
TIJOZSL,X,O,X,X,O,X,O,O,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,O,O
TISLJOZ,X,X,X,X,X,X,X,X,X,O,O
TISLZJO,O,O,X,X,X,X,X,X,O,O,O
TISLZOJ,O,O,X,O,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X,O,X
TISLOZJ,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,X,O,O
TISJLOZ,X,X,X,X,X,X,X,X,X,O,X
TISJZLO,X,O,X,X,X,X,X,X,X,O,O
TISJZOL,X,O,X,X,X,X,O,X,X,O,O
TISJOLZ,X,X,X,X,X,X,X,X,X,O,X
TISJOZL,X,X,X,X,X,X,X,X,X,O,O
TISZLJO,O,O,X,X,O,X,X,X,O,O,O
TISZLOJ,O,O,X,X,O,X,X,X,X,X,X
TISZJLO,X,O,X,X,O,O,X,X,O,O,O
TISZJOL,X,X,X,X,O,O,O,X,O,O,O
TISZOLJ,X,O,X,O,O,X,X,X,X,X,X
TISZOJL,X,X,X,X,O,O,X,X,X,X,O
TISOLJZ,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,O,X,O,X
TISOJZL,X,X,X,X,X,X,X,O,X,O,O
TISOZLJ,O,X,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,X,X,O,O,X,X,X,X,O
TIZLJSO,O,O,X,O,X,X,X,X,X,X,X
TIZLJOS,X,O,X,O,X,X,O,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X,O
TIZLSOJ,O,O,X,O,O,X,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,O,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,X,X,O,X,X,X,X
TIZJLOS,X,O,X,O,X,X,O,X,X,X,X
TIZJSLO,X,O,X,X,O,X,X,X,X,X,O
TIZJSOL,X,X,X,X,O,X,O,X,X,X,O
TIZJOLS,X,X,X,O,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,X,X,O,X,X,X,X
TIZSLJO,O,O,X,X,O,X,X,X,X,X,O
TIZSLOJ,O,O,X,X,O,X,X,X,X,X,X
TIZSJLO,X,O,X,X,O,X,X,X,X,X,O
TIZSJOL,X,X,X,X,O,X,O,X,X,X,O
TIZSOLJ,X,O,X,O,O,X,X,X,X,X,X
TIZSOJL,X,X,X,X,O,X,X,X,X,X,O
TIZOLJS,O,O,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,O,O,X,X,X,X,X,X
TIZOJLS,X,X,X,O,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,O,X,O,O,X,X,X
TIZOSLJ,O,O,X,O,O,X,X,X,X,X,X
TIZOSJL,X,X,X,X,O,X,X,X,X,X,O
TIOLJSZ,X,X,O,X,X,X,X,O,X,X,X
TIOLJZS,X,O,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,O,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,O,X,X,X
TIOJSZL,X,X,X,X,X,X,X,O,X,X,X
TIOJZLS,X,X,X,X,X,X,O,X,X,X,X
TIOJZSL,X,X,X,X,O,X,O,O,X,X,X
TIOSLJZ,X,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,X,X,X,O,X,X,O
TIOSZLJ,O,X,X,X,O,X,X,X,X,X,X
TIOSZJL,X,X,X,X,O,O,X,X,X,X,O
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,O,X,X,X,X,X,X
TIOZJLS,X,X,X,O,X,X,O,X,X,X,X
TIOZJSL,X,X,X,X,O,X,O,O,X,X,X
TIOZSLJ,O,O,X,O,O,X,X,X,X,X,X
TIOZSJL,X,X,X,X,O,X,X,X,X,X,O
TLIJSZO,X,O,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,O,X,X,X,X,X,X,X
TLIJZOS,X,O,O,O,X,X,O,X,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X,X,X,X
TLIJOZS,X,O,O,O,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X,O
TLISJOZ,X,X,X,X,X,X,X,X,X,X,O
TLISZJO,O,O,X,X,X,X,X,X,O,X,O
TLISZOJ,O,O,X,O,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,X,X,X,X
TLIZJOS,X,O,X,O,X,X,O,X,X,X,X
TLIZSJO,O,O,X,X,O,X,X,X,X,X,O
TLIZSOJ,O,O,X,O,O,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,O,O,O,X,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,O,X,X,X
TLIOJZS,X,O,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,O,O,O,O,X,X,X,X,X,X
TLJISZO,X,O,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,O,O,X,X,O,X,X,X,X
TLJIOSZ,X,O,O,X,X,X,X,X,X,X,X
TLJIOZS,X,O,O,O,X,X,X,X,X,X,X
TLJSIZO,X,O,X,O,X,X,X,X,X,X,O
TLJSIOZ,X,O,O,X,X,X,X,O,X,X,O
TLJSZIO,X,O,X,O,X,X,X,X,X,X,O
TLJSZOI,X,O,X,O,X,X,X,O,X,X,O
TLJSOIZ,X,O,O,X,X,X,X,O,X,X,O
TLJSOZI,X,O,O,X,X,X,X,O,X,X,O
TLJZISO,X,O,X,O,X,X,X,X,X,X,X
TLJZIOS,X,O,O,O,X,X,O,X,X,X,X
TLJZSIO,X,O,X,O,X,X,X,X,X,X,O
TLJZSOI,X,O,X,O,X,X,X,X,X,X,O
TLJZOIS,X,O,O,O,X,X,O,X,X,X,X
TLJZOSI,X,O,O,O,X,X,O,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X,X,X,X,X
TLJOIZS,X,O,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,O,X,X,X,X,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,O,X,X,X,X,X,X,X
TLJOZSI,X,O,O,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,X,X,X,X,X,X,O
TLSIJOZ,X,X,X,X,X,X,X,X,X,X,O
TLSIZJO,O,O,X,X,X,X,X,X,O,X,O
TLSIZOJ,O,O,X,O,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,O
TLSJZIO,X,X,X,X,X,X,X,X,X,X,O
TLSJZOI,X,X,X,X,X,X,X,X,X,X,O
TLSJOIZ,X,X,X,X,X,X,X,X,X,X,O
TLSJOZI,X,X,X,X,X,X,X,X,X,X,O
TLSZIJO,O,O,X,X,X,X,X,X,O,X,O
TLSZIOJ,O,O,X,O,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,X,O,X,O
TLSZJOI,O,O,X,X,X,X,X,X,O,X,O
TLSZOIJ,O,O,X,O,X,X,X,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,X,X,X,O
TLSOIJZ,X,X,O,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,X,X,X,X,X,O
TLSOJZI,X,X,O,X,X,X,X,X,X,X,O
TLSOZIJ,X,O,O,X,X,X,X,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X,X,X,X,O
TLZIJSO,O,O,X,O,X,X,X,X,X,X,X
TLZIJOS,X,O,X,O,X,X,O,X,X,X,X
TLZISJO,O,O,X,X,O,X,X,X,X,X,O
TLZISOJ,O,O,X,O,O,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,O,X,X,X,X,X,X,X
TLZJISO,O,O,X,O,X,X,X,X,X,X,X
TLZJIOS,X,O,X,O,X,X,O,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X,X,X,O
TLZJSOI,O,O,X,O,X,X,X,X,X,X,O
TLZJOIS,O,O,X,O,X,X,O,X,X,X,X
TLZJOSI,O,O,X,O,X,X,O,X,X,X,X
TLZSIJO,O,O,X,X,O,X,X,X,X,X,O
TLZSIOJ,O,O,X,O,O,X,X,X,X,X,X
TLZSJIO,O,O,X,X,O,X,X,X,X,X,O
TLZSJOI,O,O,X,X,O,X,X,X,X,X,O
TLZSOIJ,O,O,X,O,O,X,X,X,X,X,X
TLZSOJI,O,O,X,O,O,X,X,X,X,X,O
TLZOIJS,O,O,X,O,X,X,X,X,X,X,X
TLZOISJ,O,O,O,O,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,X,X,X,O
TLOIJSZ,X,O,O,X,X,X,X,O,X,X,X
TLOIJZS,X,O,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,O,O,O,O,X,X,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X,O,X,X,X
TLOJIZS,X,O,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,O,X,X,X
TLOJSZI,X,O,O,X,X,X,X,O,X,X,X
TLOJZIS,X,O,O,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,X,X,X,X,O
TLOSJZI,X,X,O,X,X,X,X,X,X,X,O
TLOSZIJ,X,O,O,X,X,X,X,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X,X,X,O
TLOZIJS,X,O,X,O,X,X,X,X,X,X,X
TLOZISJ,X,O,O,O,O,X,X,X,X,X,X
TLOZJIS,X,O,X,O,X,X,X,X,X,X,X
TLOZJSI,X,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,X,O,O,O,O,X,X,X,X,X,X
TLOZSJI,X,O,O,O,O,X,X,X,X,X,O
TJILSZO,X,O,X,O,X,X,O,X,X,X,X
TJILSOZ,X,O,O,X,X,X,X,X,X,X,X
TJILZSO,X,O,X,O,X,X,O,X,X,X,X
TJILZOS,X,O,O,O,X,X,O,X,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X,X,X,X
TJILOZS,X,O,O,O,X,X,O,X,X,X,X
TJISLZO,X,O,X,X,X,X,X,X,X,O,O
TJISLOZ,X,O,X,X,X,X,X,O,X,O,X
TJISZLO,X,O,X,X,X,X,X,X,X,O,O
TJISZOL,X,O,X,X,X,X,O,X,X,O,O
TJISOLZ,X,X,X,X,X,X,X,X,X,O,X
TJISOZL,X,X,X,X,X,X,X,X,X,O,O
TJIZLSO,X,O,X,O,X,X,O,X,X,X,X
TJIZLOS,X,O,X,O,X,X,O,X,X,X,X
TJIZSLO,X,O,X,X,O,X,X,X,X,O,O
TJIZSOL,X,O,X,X,O,X,O,X,X,O,O
TJIZOLS,X,O,X,O,X,X,O,X,X,X,X
TJIZOSL,X,O,X,X,X,X,O,X,X,X,X
TJIOLSZ,X,O,O,X,X,X,X,O,X,X,X
TJIOLZS,X,O,O,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,X,X,X,X,O,X,X,X
TJIOSZL,X,X,X,X,X,X,X,O,X,X,X
TJIOZLS,X,O,X,X,X,X,O,X,X,X,X
TJIOZSL,X,O,X,X,O,X,O,O,X,X,X
TJLISZO,X,O,X,O,X,X,O,X,X,X,X
TJLISOZ,X,O,O,X,X,X,X,X,X,X,X
TJLIZSO,X,O,X,O,X,X,O,X,X,X,X
TJLIZOS,X,O,O,O,X,X,O,X,X,X,X
TJLIOSZ,X,O,O,X,X,X,X,X,X,X,X
TJLIOZS,X,O,O,O,X,X,O,X,X,X,X
TJLSIZO,X,O,X,O,X,X,O,X,X,X,O
TJLSIOZ,X,O,O,X,X,X,X,O,X,X,O
TJLSZIO,X,O,X,O,X,X,O,X,X,X,O
TJLSZOI,X,O,X,O,X,X,O,O,X,X,O
TJLSOIZ,X,O,O,X,X,X,X,O,X,X,O
TJLSOZI,X,O,O,X,X,X,X,O,X,X,O
TJLZISO,X,O,X,O,X,X,O,X,X,X,X
TJLZIOS,X,O,O,O,X,X,O,X,X,X,X
TJLZSIO,X,O,X,O,X,X,O,X,X,X,O
TJLZSOI,X,O,X,O,X,X,O,X,X,X,O
TJLZOIS,X,O,O,O,X,X,O,X,X,X,X
TJLZOSI,X,O,O,O,X,X,O,X,X,X,X
TJLOISZ,X,O,O,X,X,X,X,X,X,X,X
TJLOIZS,X,O,O,O,X,X,O,X,X,X,X
TJLOSIZ,X,O,O,X,X,X,X,X,X,X,X
TJLOSZI,X,O,O,X,X,X,X,X,X,X,X
TJLOZIS,X,O,O,O,X,X,O,X,X,X,X
TJLOZSI,X,O,O,O,X,X,O,X,X,X,X
TJSILZO,X,O,X,X,X,X,X,X,X,O,O
TJSILOZ,X,O,X,X,X,X,X,O,X,O,X
TJSIZLO,X,O,X,X,X,X,X,X,X,O,O
TJSIZOL,X,O,X,X,X,X,O,X,X,O,O
TJSIOLZ,X,X,X,X,X,X,X,X,X,O,X
TJSIOZL,X,X,X,X,X,X,X,X,X,O,O
TJSLIZO,X,O,X,X,X,X,X,X,X,O,O
TJSLIOZ,X,O,O,X,X,X,X,O,X,O,O
TJSLZIO,X,O,X,X,X,X,X,X,X,O,O
TJSLZOI,X,O,X,X,X,X,X,O,X,O,O
TJSLOIZ,X,O,O,X,X,X,X,O,X,O,O
TJSLOZI,X,O,O,X,X,X,X,O,X,O,O
TJSZILO,X,O,X,X,X,X,X,X,X,O,O
TJSZIOL,X,O,X,X,X,X,O,X,X,O,O
TJSZLIO,X,O,X,X,X,X,X,X,X,O,O
TJSZLOI,X,O,X,X,X,X,X,O,X,O,O
TJSZOIL,X,O,X,X,X,X,O,X,X,O,O
TJSZOLI,X,O,X,X,X,X,O,X,X,O,O
TJSOILZ,X,X,O,X,X,X,X,X,X,O,X
TJSOIZL,X,X,X,X,X,X,X,X,X,O,O
TJSOLIZ,X,X,O,X,X,X,X,O,X,O,X
TJSOLZI,X,X,O,X,X,X,X,O,X,O,X
TJSOZIL,X,X,X,X,X,X,X,X,X,O,O
TJSOZLI,X,X,O,X,X,X,X,X,X,O,O
TJZILSO,X,O,X,O,X,X,O,X,X,X,X
TJZILOS,X,O,X,O,X,X,O,X,X,X,X
TJZISLO,X,O,X,X,O,X,X,X,X,O,O
TJZISOL,X,O,X,X,O,X,O,X,X,O,O
TJZIOLS,X,O,X,O,X,X,O,X,X,X,X
TJZIOSL,X,O,X,X,X,X,O,X,X,X,X
TJZLISO,X,O,X,O,X,X,O,X,X,X,X
TJZLIOS,X,O,O,O,X,X,O,X,X,X,X
TJZLSIO,X,O,X,O,X,X,O,X,X,X,O
TJZLSOI,X,O,X,O,X,X,O,X,X,X,O
TJZLOIS,X,O,O,O,X,X,O,X,X,X,X
TJZLOSI,X,O,O,O,X,X,O,X,X,X,X
TJZSILO,X,O,X,X,O,X,X,X,X,O,O
TJZSIOL,X,O,X,X,O,X,O,X,X,O,O
TJZSLIO,X,O,X,X,O,X,X,X,X,O,O
TJZSLOI,X,O,X,X,O,X,X,O,X,O,O
TJZSOIL,X,O,X,X,O,X,O,X,X,O,O
TJZSOLI,X,O,X,X,O,X,O,X,X,O,O
TJZOILS,X,O,X,O,X,X,O,X,X,X,X
TJZOISL,X,O,X,X,X,X,O,X,X,X,X
TJZOLIS,X,O,O,O,X,X,O,X,X,X,X
TJZOLSI,X,O,O,O,X,X,O,X,X,X,X
TJZOSIL,X,O,X,X,X,X,O,X,X,X,X
TJZOSLI,X,O,O,X,X,X,O,X,X,X,X
TJOILSZ,X,O,O,X,X,X,X,O,X,X,X
TJOILZS,X,O,O,X,X,X,X,X,X,X,X
TJOISLZ,X,X,O,X,X,X,X,O,X,X,X
TJOISZL,X,X,X,X,X,X,X,O,X,X,X
TJOIZLS,X,O,X,X,X,X,O,X,X,X,X
TJOIZSL,X,O,X,X,O,X,O,O,X,X,X
TJOLISZ,X,O,O,X,X,X,X,O,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,X,O,O,X,X,X,X,O,X,X,X
TJOLSZI,X,O,O,X,X,X,X,O,X,X,X
TJOLZIS,X,O,O,X,X,X,X,X,X,X,X
TJOLZSI,X,O,O,X,X,X,X,X,X,X,X
TJOSILZ,X,X,O,X,X,X,X,O,X,X,X
TJOSIZL,X,X,X,X,X,X,X,O,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,O,X,X,X
TJOSLZI,X,X,O,X,X,X,X,O,X,X,X
TJOSZIL,X,X,X,X,X,X,X,O,X,X,X
TJOSZLI,X,X,O,X,X,X,X,O,X,X,X
TJOZILS,X,O,X,X,X,X,O,X,X,X,X
TJOZISL,X,O,X,X,O,X,O,O,X,X,X
TJOZLIS,X,O,O,X,X,X,O,X,X,X,X
TJOZLSI,X,O,O,X,X,X,O,X,X,X,X
TJOZSIL,X,O,X,X,O,X,O,O,X,X,X
TJOZSLI,X,O,O,X,O,X,O,O,X,X,X
TSILJZO,X,X,X,X,X,X,X,X,X,O,O
TSILJOZ,X,X,X,X,X,X,X,X,X,O,O
TSILZJO,O,O,X,X,X,X,X,X,O,O,O
TSILZOJ,O,O,X,O,X,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X,X,X,X,O,X
TSILOZJ,X,O,X,X,X,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X,X,O,O
TSIJLOZ,X,X,X,X,X,X,X,X,X,O,X
TSIJZLO,X,O,X,X,X,X,X,X,X,O,O
TSIJZOL,X,O,X,X,X,X,O,X,X,O,O
TSIJOLZ,X,X,X,X,X,X,X,X,X,O,X
TSIJOZL,X,X,X,X,X,X,X,X,X,O,O
TSIZLJO,O,O,X,X,O,X,X,X,O,O,O
TSIZLOJ,O,O,X,X,O,X,X,X,X,X,X
TSIZJLO,X,O,X,X,O,O,X,X,O,O,O
TSIZJOL,X,X,X,X,O,O,O,X,O,O,O
TSIZOLJ,X,O,X,O,O,X,X,X,X,X,X
TSIZOJL,X,X,X,X,O,O,X,X,X,X,O
TSIOLJZ,X,X,X,X,X,X,X,X,X,O,X
TSIOLZJ,O,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,X,X,X,X,X,X,X,O,X,O,X
TSIOJZL,X,X,X,X,X,X,X,O,X,O,O
TSIOZLJ,O,X,X,X,O,X,X,X,X,X,X
TSIOZJL,X,X,X,X,O,O,X,X,X,X,O
TSLIJZO,X,X,X,X,X,X,X,X,X,O,O
TSLIJOZ,X,X,X,X,X,X,X,X,X,O,O
TSLIZJO,O,O,X,X,X,X,X,X,O,O,O
TSLIZOJ,O,O,X,O,X,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X,X,X,X,O,X
TSLIOZJ,X,O,O,X,X,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X,X,X,O,O
TSLJIOZ,X,X,X,X,X,X,X,X,X,O,O
TSLJZIO,X,X,X,X,X,X,X,X,X,O,O
TSLJZOI,X,X,X,X,X,X,X,X,X,O,O
TSLJOIZ,X,X,X,X,X,X,X,X,X,O,O
TSLJOZI,X,X,X,X,X,X,X,X,X,O,O
TSLZIJO,O,O,X,X,X,X,X,X,O,O,O
TSLZIOJ,O,O,X,O,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,O,O,O
TSLZJOI,O,O,X,X,X,X,X,X,O,O,O
TSLZOIJ,O,O,X,O,X,X,X,X,X,X,X
TSLZOJI,O,O,X,O,X,X,X,X,X,X,O
TSLOIJZ,X,X,O,X,X,X,X,X,X,O,X
TSLOIZJ,X,O,O,X,X,X,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,X,X,X,X,O,O
TSLOJZI,X,X,O,X,X,X,X,X,X,O,O
TSLOZIJ,X,O,O,X,X,X,X,X,X,X,X
TSLOZJI,X,O,O,X,X,X,X,X,X,X,O
TSJILZO,X,X,X,X,X,X,X,X,X,O,O
TSJILOZ,X,X,X,X,X,X,X,O,X,O,X
TSJIZLO,X,O,X,X,X,X,X,X,X,O,O
TSJIZOL,X,O,X,X,X,X,O,X,X,O,O
TSJIOLZ,X,X,X,X,X,X,X,X,X,O,X
TSJIOZL,X,X,X,X,X,X,X,X,X,O,O
TSJLIZO,X,X,X,X,X,X,X,X,X,O,O
TSJLIOZ,X,X,X,X,X,X,X,O,X,O,O
TSJLZIO,X,X,X,X,X,X,X,X,X,O,O
TSJLZOI,X,X,X,X,X,X,X,O,X,O,O
TSJLOIZ,X,X,X,X,X,X,X,O,X,O,O
TSJLOZI,X,X,X,X,X,X,X,O,X,O,O
TSJZILO,X,O,X,X,X,X,X,X,X,O,O
TSJZIOL,X,O,X,X,X,X,O,X,X,O,O
TSJZLIO,X,O,X,X,X,X,X,X,X,O,O
TSJZLOI,X,O,X,X,X,X,X,O,X,O,O
TSJZOIL,X,O,X,X,X,X,O,X,X,O,O
TSJZOLI,X,O,X,X,X,X,O,X,X,O,O
TSJOILZ,X,X,X,X,X,X,X,X,X,O,X
TSJOIZL,X,X,X,X,X,X,X,X,X,O,O
