sequence,v115@RhB8GeF8AeD8Je2EJvhFRgBCiBTjB3lB0nBlrB,v115@RhB8GeF8AeD8Jex/IvhF8lBzhBCjBmkBXoBlrB,v115@RhB8GeF8AeD8JeT/IvhFigBRiBcoB3lBGnBlrB,v115@RhB8GeF8AeD8JeT/IvhFOlB8lBCiBxnBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFzhBunBcoBRlB3lBlrB,v115@RhB8GeF8AeD8Jei/IvhFzgBWnBxiBUlBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFWnBTjBRlB3lB0nBlrB,v115@RhB8GeF8AeD8Jei/IvhFRhBGjBFlBXmB8rBzsB,v115@RhB8GeF8AeD8Je2EJvhFzgBCiBxnBUlBXoBlrB,v115@RhB8GeF8AeD8Jex/IvhFlhB3iBcoBmkBzlBCsB,v115@RhB8GeF8AeD8JeT/IvhFOlBCmBxnB/rBUsBFtB
TLSJOZI,O,O,O,X,X,O,X,O,X,X,X
TLSZIJO,O,O,O,O,O,O,X,O,X,O,X
TLSZIOJ,O,O,O,O,O,O,X,O,X,O,X
TLSZJIO,O,O,O,O,O,O,X,O,X,O,X
TLSZJOI,O,O,O,O,O,O,X,O,X,O,X
TLSZOIJ,O,O,O,O,O,O,X,O,X,O,X
TLSZOJI,O,O,O,O,O,O,X,O,X,O,X
TLSOIJZ,O,O,O,X,X,O,O,O,O,X,X
TLSOIZJ,O,O,O,O,O,O,X,X,X,O,X
TLSOJIZ,O,O,O,X,X,O,O,O,O,O,X
TLSOJZI,O,O,O,X,X,O,X,O,X,O,X
TLSOZIJ,O,O,O,O,O,O,X,O,X,O,X
TLSOZJI,O,O,O,O,O,O,X,O,X,O,X
TLZIJSO,O,X,O,O,O,O,X,O,X,O,X
TLZIJOS,O,X,O,O,O,O,O,O,O,O,X
TLZISJO,O,O,O,O,O,O,X,O,X,O,X
TLZISOJ,O,O,O,O,O,O,X,O,X,O,X
TLZIOJS,O,X,O,O,O,O,O,O,O,O,X
TLZIOSJ,O,O,O,O,O,O,X,O,X,O,X
TLZJISO,O,O,O,O,O,O,X,O,X,O,X
TLZJIOS,O,O,O,O,O,O,O,O,O,O,X
TLZJSIO,O,O,O,O,O,O,X,O,X,O,X
TLZJSOI,O,O,O,O,O,O,X,O,X,O,X
TLZJOIS,O,O,O,O,O,O,O,O,O,O,X
TLZJOSI,O,O,O,O,O,O,X,O,X,O,X
TLZSIJO,O,O,O,O,O,O,X,O,X,O,X
TLZSIOJ,O,O,O,O,O,O,X,O,X,O,X
TLZSJIO,O,O,O,O,O,O,X,O,X,O,X
TLZSJOI,O,O,O,O,O,O,X,O,X,O,X
TLZSOIJ,O,O,O,O,O,O,X,O,X,O,X
TLZSOJI,O,O,O,O,O,O,X,O,X,O,X
TLZOIJS,O,X,O,O,O,O,O,O,O,O,X
TLZOISJ,O,O,O,O,O,O,X,O,X,O,X
TLZOJIS,O,O,O,O,O,O,O,O,O,O,X
TLZOJSI,O,O,O,O,O,O,X,O,X,O,X
TLZOSIJ,O,O,O,O,O,O,X,O,X,O,X
TLZOSJI,O,O,O,O,O,O,X,O,X,O,X
TLOIJSZ,O,X,X,X,X,O,O,O,O,O,O
TLOIJZS,O,X,X,O,O,O,O,O,O,O,O
TLOISJZ,O,X,X,X,X,O,O,O,O,X,X
TLOISZJ,O,X,X,O,O,O,X,X,X,O,X
TLOIZJS,X,X,X,O,O,X,O,O,O,O,X
TLOIZSJ,X,X,X,O,O,X,X,O,X,O,X
TLOJISZ,O,X,X,X,X,O,O,O,O,O,O
TLOJIZS,O,X,X,O,O,O,O,O,O,O,O
TLOJSIZ,O,O,O,X,X,O,O,O,O,O,X
TLOJSZI,O,O,O,X,X,O,X,O,X,O,X
TLOJZIS,O,O,O,O,O,O,O,O,O,O,X
TLOJZSI,O,O,O,O,O,O,X,O,X,O,X
TLOSIJZ,O,O,O,X,X,O,O,O,O,X,X
TLOSIZJ,O,O,O,O,O,O,X,X,X,O,X
TLOSJIZ,O,O,O,X,X,O,O,O,O,O,X
TLOSJZI,O,O,O,X,X,O,X,O,X,O,X
TLOSZIJ,O,O,O,O,O,O,X,O,X,O,X
TLOSZJI,O,O,O,O,O,O,X,O,X,O,X
TLOZIJS,O,X,O,O,O,O,O,O,O,O,X
TLOZISJ,O,O,O,O,O,O,X,O,X,O,X
TLOZJIS,O,O,O,O,O,O,O,O,O,O,X
TLOZJSI,O,O,O,O,O,O,X,O,X,O,X
TLOZSIJ,O,O,O,O,O,O,X,O,X,O,X
TLOZSJI,O,O,O,O,O,O,X,O,X,O,X
TJILSZO,O,X,X,X,X,O,X,O,X,O,X
TJILSOZ,O,X,X,X,X,O,O,O,O,X,X
TJILZSO,O,X,X,O,O,O,X,O,X,O,X
TJILZOS,O,X,X,O,O,O,O,O,O,O,X
TJILOSZ,O,X,X,X,X,O,O,O,O,X,O
TJILOZS,O,X,X,O,O,O,O,O,O,O,O
TJISLZO,O,O,O,X,X,O,X,O,X,X,X
TJISLOZ,O,O,O,X,X,O,O,O,O,X,X
TJISZLO,O,O,O,X,X,O,X,X,X,X,X
TJISZOL,O,O,O,X,X,O,X,X,X,X,X
TJISOLZ,O,O,O,X,X,O,O,X,O,X,X
