sequence,v115@RhB8GeF8AeD8Je2EJvhFRgBCiBTjB3lB0nBlrB,v115@RhB8GeF8AeD8Jex/IvhF8lBzhBCjBmkBXoBlrB,v115@RhB8GeF8AeD8JeT/IvhFigBRiBcoB3lBGnBlrB,v115@RhB8GeF8AeD8JeT/IvhFOlB8lBCiBxnBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFzhBunBcoBRlB3lBlrB,v115@RhB8GeF8AeD8Jei/IvhFzgBWnBxiBUlBXoBlrB,v115@RhB8GeF8AeD8Jei/IvhFWnBTjBRlB3lB0nBlrB,v115@RhB8GeF8AeD8Jei/IvhFRhBGjBFlBXmB8rBzsB,v115@RhB8GeF8AeD8Je2EJvhFzgBCiBxnBUlBXoBlrB,v115@RhB8GeF8AeD8Jex/IvhFlhB3iBcoBmkBzlBCsB,v115@RhB8GeF8AeD8JeT/IvhFOlBCmBxnB/rBUsBFtB
ITOSZJL,O,O,O,O,O,O,X,X,X,X,X
ITOZLJS,X,X,O,O,O,X,O,O,O,X,X
ITOZLSJ,X,O,O,O,O,X,X,O,X,X,X
ITOZJLS,X,O,O,O,O,X,O,O,O,X,X
ITOZJSL,X,O,O,O,O,X,X,O,X,X,X
ITOZSLJ,X,O,O,O,O,X,X,O,X,X,X
ITOZSJL,X,O,O,O,O,X,X,O,X,X,X
ILTJSZO,X,X,X,X,X,O,X,O,X,O,X
ILTJSOZ,X,X,X,X,X,O,O,O,O,X,X
ILTJZSO,X,X,X,O,O,O,X,O,X,O,X
ILTJZOS,X,X,X,O,O,O,O,O,O,O,X
ILTJOSZ,X,X,X,X,X,O,O,O,O,X,O
ILTJOZS,X,X,X,O,O,O,O,O,O,O,O
ILTSJZO,X,X,X,X,X,O,X,O,X,X,X
ILTSJOZ,X,X,X,X,X,O,O,O,O,X,X
ILTSZJO,X,X,X,O,O,O,X,O,X,X,X
ILTSZOJ,X,X,X,O,O,O,X,O,X,X,X
ILTSOJZ,X,X,X,X,X,O,O,O,O,X,X
ILTSOZJ,X,X,X,O,O,O,X,X,X,X,X
ILTZJSO,X,X,X,O,O,O,X,O,X,O,X
ILTZJOS,X,X,X,O,O,O,O,O,O,O,X
ILTZSJO,X,X,X,O,O,O,X,O,X,O,X
ILTZSOJ,X,X,X,O,O,O,X,O,X,O,X
ILTZOJS,X,X,X,O,O,O,O,O,O,O,X
ILTZOSJ,X,X,X,O,O,O,X,O,X,O,X
ILTOJSZ,X,X,X,X,X,O,O,O,O,O,O
ILTOJZS,X,X,X,O,O,O,O,O,O,O,O
ILTOSJZ,X,X,X,X,X,O,O,O,O,X,X
ILTOSZJ,X,X,X,O,O,O,X,X,X,O,X
ILTOZJS,X,X,X,O,O,X,O,O,O,O,X
ILTOZSJ,X,X,X,O,O,X,X,O,X,O,X
ILJTSZO,X,X,X,X,X,X,X,O,X,O,X
ILJTSOZ,X,X,X,X,X,X,O,O,O,X,X
ILJTZSO,X,X,X,X,O,X,X,O,X,O,X
ILJTZOS,X,X,X,X,O,X,O,O,O,O,X
ILJTOSZ,X,X,X,X,X,X,O,O,O,X,O
ILJTOZS,X,X,X,X,O,X,O,O,O,O,O
ILJSTZO,X,X,X,X,X,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,X,X,X,X,O,X,X
ILJSZTO,X,X,X,X,X,X,X,X,X,O,X
ILJSZOT,X,X,X,X,X,X,X,X,X,O,X
ILJSOTZ,X,X,X,X,X,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,X,X,X,X,X,O
ILJZTSO,X,X,X,X,O,X,X,O,X,O,X
ILJZTOS,X,X,X,O,O,X,X,O,O,O,X
ILJZSTO,X,X,X,X,O,X,X,O,X,O,X
ILJZSOT,X,X,X,O,X,X,X,O,X,O,X
ILJZOTS,X,X,X,O,O,X,X,O,X,O,O
ILJZOST,X,X,X,O,X,X,X,O,X,O,O
ILJOTSZ,X,X,X,X,X,X,O,O,O,O,O
ILJOTZS,X,X,X,X,X,X,O,O,O,O,O
ILJOSTZ,X,X,X,X,X,X,X,X,X,O,O
ILJOSZT,X,X,X,X,X,X,X,X,X,O,O
ILJOZTS,X,X,X,O,X,X,X,O,X,O,O
ILJOZST,X,X,X,O,X,X,X,O,X,O,O
ILSTJZO,X,X,X,X,X,O,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,O,O,X,X,X,X
ILSTZJO,X,X,X,X,O,O,X,X,X,X,X
ILSTZOJ,X,X,X,X,O,O,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,O,O,X,X,X,X
ILSTOZJ,X,X,X,X,O,O,X,X,X,X,X
ILSJTZO,X,X,X,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,O,X,X,O,X,X
ILSJZTO,X,X,X,X,X,O,X,X,X,X,X
ILSJZOT,X,X,X,X,X,O,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,X,X,X,O
ILSJOZT,X,X,X,X,X,O,X,X,X,X,O
ILSZTJO,X,X,X,X,O,O,X,X,X,X,X
ILSZTOJ,X,X,X,X,O,O,X,X,X,X,X
ILSZJTO,X,X,X,X,O,O,X,X,X,X,X
ILSZJOT,X,X,X,O,X,O,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,O,X,X,X,X,X
ILSZOJT,X,X,X,O,X,O,X,X,X,X,X
ILSOTJZ,X,X,X,X,X,O,O,X,X,X,X
ILSOTZJ,X,X,X,X,X,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,X,X,X,X,O
ILSOJZT,X,X,X,X,X,O,X,X,X,X,O
ILSOZTJ,X,X,X,X,X,O,X,X,X,X,X
ILSOZJT,X,X,X,O,X,O,X,X,X,X,X
ILZTJSO,X,X,X,X,O,O,X,O,X,O,X
ILZTJOS,X,X,X,O,O,O,O,O,X,O,X
ILZTSJO,X,X,X,X,O,O,X,O,X,O,X
ILZTSOJ,X,X,X,X,O,O,X,O,X,O,X
ILZTOJS,X,X,X,O,O,O,O,O,X,O,X
ILZTOSJ,X,X,X,X,O,O,X,O,X,O,X
ILZJTSO,X,X,X,X,O,X,X,O,X,O,X
ILZJTOS,X,X,X,O,O,X,X,O,O,O,X
ILZJSTO,X,X,X,X,O,X,X,O,X,O,X
ILZJSOT,X,X,X,O,X,X,X,O,X,O,X
ILZJOTS,X,X,X,O,O,X,X,O,X,O,O
ILZJOST,X,X,X,O,X,X,X,O,X,O,O
ILZSTJO,X,X,X,X,O,O,X,O,X,O,X
ILZSTOJ,X,X,X,X,O,O,X,O,X,O,X
ILZSJTO,X,X,X,X,O,O,X,O,X,O,X
ILZSJOT,X,X,X,O,X,O,X,O,X,O,X
ILZSOTJ,X,X,X,X,X,O,X,O,X,O,X
ILZSOJT,X,X,X,O,X,O,X,O,X,O,X
ILZOTJS,X,X,X,O,O,O,O,O,X,O,X
ILZOTSJ,X,X,X,X,O,O,X,O,X,O,X
ILZOJTS,X,X,X,O,O,X,X,O,X,O,O
ILZOJST,X,X,X,O,X,X,X,O,X,O,O
ILZOSTJ,X,X,X,X,X,O,X,O,X,O,X
ILZOSJT,X,X,X,O,X,O,X,O,X,O,X
ILOTJSZ,X,X,X,X,X,X,O,O,X,O,O
ILOTJZS,X,X,X,O,O,X,O,O,X,O,O
ILOTSJZ,X,X,X,X,X,X,O,O,X,X,X
ILOTSZJ,X,X,X,O,O,X,X,X,X,O,X
ILOTZJS,X,X,X,O,O,X,O,O,X,O,X
ILOTZSJ,X,X,X,O,O,X,X,O,X,O,X
ILOJTSZ,X,X,X,X,X,X,O,O,O,O,O
ILOJTZS,X,X,X,X,X,X,O,O,O,O,O
ILOJSTZ,X,X,X,X,X,X,X,X,X,O,O
ILOJSZT,X,X,X,X,X,X,X,X,X,O,O
ILOJZTS,X,X,X,O,X,X,X,O,X,O,O
ILOJZST,X,X,X,O,X,X,X,O,X,O,O
ILOSTJZ,X,X,X,X,X,X,O,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X,X,O,X
ILOSJTZ,X,X,X,X,X,X,X,X,X,X,O
ILOSJZT,X,X,X,X,X,X,X,X,X,X,O
ILOSZTJ,X,X,X,X,X,X,X,X,X,O,X
ILOSZJT,X,X,X,O,X,X,X,X,X,O,X
ILOZTJS,X,X,X,O,O,X,O,O,X,O,X
ILOZTSJ,X,X,X,X,O,X,X,O,X,O,X
ILOZJTS,X,X,X,O,O,X,X,O,X,O,O
ILOZJST,X,X,X,O,X,X,X,O,X,O,O
ILOZSTJ,X,X,X,X,X,X,X,O,X,O,X
ILOZSJT,X,X,X,O,X,X,X,O,X,O,X
IJTLSZO,O,X,X,X,X,X,X,O,X,O,X
IJTLSOZ,O,X,X,X,X,X,O,O,O,X,X
IJTLZSO,O,X,X,O,O,X,X,O,X,O,X
IJTLZOS,O,X,X,O,O,X,O,O,O,O,X
IJTLOSZ,O,X,X,X,X,X,O,O,O,X,O
IJTLOZS,O,X,X,O,O,X,O,O,O,O,O
IJTSLZO,O,O,X,X,X,X,X,O,X,X,X
IJTSLOZ,O,O,X,X,X,X,O,O,O,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,X,O,X,O,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,X,O,O,X,X,O,X,O,X
IJTZLOS,O,O,X,O,O,X,O,O,O,O,X
IJTZSLO,O,O,X,O,O,X,X,O,X,O,X
IJTZSOL,O,O,X,O,O,X,X,O,X,O,X
IJTZOLS,O,O,X,O,O,X,O,O,O,O,X
IJTZOSL,O,O,X,O,O,X,X,X,X,O,X
IJTOLSZ,O,X,X,X,X,X,O,O,O,O,O
IJTOLZS,O,X,X,O,O,X,O,O,O,O,O
IJTOSLZ,O,O,X,X,X,X,O,O,O,O,X
IJTOSZL,O,O,X,X,X,X,X,X,X,O,X
IJTOZLS,O,O,X,O,O,X,O,O,O,O,X
IJTOZSL,O,O,X,O,O,X,X,O,X,O,X
IJLTSZO,O,X,X,X,X,X,X,O,X,O,X
IJLTSOZ,O,X,X,X,X,X,O,O,O,X,X
IJLTZSO,O,X,X,X,O,X,X,O,X,O,X
IJLTZOS,O,X,X,X,O,X,O,O,O,O,X
IJLTOSZ,O,X,X,X,X,X,O,O,O,X,O
IJLTOZS,O,X,X,X,O,X,O,O,O,O,O
IJLSTZO,O,O,X,X,X,X,X,X,X,O,X
IJLSTOZ,O,X,X,X,X,X,X,X,O,X,X
IJLSZTO,O,O,X,X,X,X,X,X,X,O,X
IJLSZOT,O,O,X,X,X,X,X,X,X,O,X
IJLSOTZ,O,X,X,X,X,X,X,X,X,X,O
IJLSOZT,O,O,X,X,X,X,X,X,X,X,O
IJLZTSO,X,O,X,X,O,X,X,O,X,O,X
IJLZTOS,O,O,X,O,O,X,X,O,O,O,X
IJLZSTO,X,O,X,X,O,X,X,O,X,O,X
IJLZSOT,O,O,X,O,X,X,X,O,X,O,X
IJLZOTS,O,X,X,O,O,X,X,O,X,O,O
IJLZOST,O,X,X,O,X,X,X,O,X,O,O
IJLOTSZ,O,X,X,X,X,X,O,O,O,O,O
IJLOTZS,O,X,X,X,X,X,O,O,O,O,O
IJLOSTZ,O,X,X,X,X,X,X,X,X,O,O
IJLOSZT,O,X,X,X,X,X,X,X,X,O,O
IJLOZTS,O,X,X,O,X,X,X,O,X,O,O
IJLOZST,O,X,X,O,X,X,X,O,X,O,O
IJSTLZO,O,O,X,X,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,X,O,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X,X,X,X
IJSTOLZ,O,O,X,X,X,X,X,X,O,X,X
IJSTOZL,O,O,X,X,X,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X,O,X
IJSLTOZ,O,O,X,X,X,X,X,X,O,X,X
IJSLZTO,O,O,O,X,X,X,X,X,X,O,X
IJSLZOT,O,O,O,X,X,X,X,X,X,O,X
IJSLOTZ,O,X,X,X,X,X,X,X,X,X,O
IJSLOZT,O,O,O,X,X,X,X,X,X,X,O
IJSZTLO,O,O,O,X,X,X,X,X,X,O,X
IJSZTOL,O,O,O,X,X,X,X,X,X,O,X
IJSZLTO,O,O,O,X,X,X,X,X,X,O,X
IJSZLOT,O,O,O,O,X,X,X,X,X,O,X
IJSZOTL,O,O,O,X,X,X,X,X,X,O,X
IJSZOLT,O,O,O,O,X,X,X,X,X,O,X
IJSOTLZ,O,X,X,X,X,X,X,X,X,O,X
IJSOTZL,O,X,X,X,X,X,X,X,X,O,X
IJSOLTZ,O,X,X,X,X,X,X,X,X,O,O
IJSOLZT,O,O,O,X,X,X,X,X,X,O,O
IJSOZTL,O,O,O,X,X,X,X,X,X,O,X
IJSOZLT,O,O,O,O,X,X,X,X,X,O,X
IJZTLSO,O,O,X,O,O,X,X,O,X,O,X
IJZTLOS,O,O,X,O,O,X,X,O,O,O,X
IJZTSLO,O,O,O,O,O,X,X,O,X,O,X
IJZTSOL,O,O,O,O,O,X,X,O,X,O,X
IJZTOLS,O,O,X,O,O,X,X,O,O,O,X
IJZTOSL,O,O,O,O,O,X,X,X,X,O,X
IJZLTSO,O,O,X,X,O,X,X,O,X,O,X
IJZLTOS,O,O,X,O,O,X,X,O,O,O,X
IJZLSTO,O,O,O,X,O,X,X,O,X,O,X
IJZLSOT,O,O,O,O,X,X,X,O,X,O,X
IJZLOTS,O,X,X,O,O,X,X,O,X,O,O
IJZLOST,O,X,O,O,X,X,X,O,X,O,O
IJZSTLO,O,O,O,X,O,X,X,O,X,O,X
IJZSTOL,O,O,O,X,O,X,X,O,X,O,X
IJZSLTO,O,O,O,X,O,X,X,O,X,O,X
IJZSLOT,O,O,O,O,X,X,X,O,X,O,X
IJZSOTL,O,O,O,X,X,X,X,O,X,O,X
IJZSOLT,O,O,O,O,X,X,X,O,X,O,X
IJZOTLS,O,O,X,O,O,X,X,O,X,O,X
IJZOTSL,O,O,O,O,O,X,X,X,X,O,X
IJZOLTS,O,X,X,O,O,X,X,O,X,O,O
IJZOLST,O,X,O,O,X,X,X,O,X,O,O
IJZOSTL,O,O,O,X,X,X,X,O,X,O,X
IJZOSLT,O,O,O,O,X,X,X,O,X,O,X
IJOTLSZ,O,X,X,X,X,X,O,O,O,O,O
IJOTLZS,O,X,X,O,X,X,O,O,O,O,O
IJOTSLZ,O,X,X,X,X,X,O,O,O,O,X
IJOTSZL,O,X,X,X,X,X,X,X,X,O,X
IJOTZLS,O,X,X,O,X,X,O,O,O,O,X
IJOTZSL,O,X,X,O,X,X,X,O,X,O,X
IJOLTSZ,O,X,X,X,X,X,O,O,O,O,O
IJOLTZS,O,X,X,X,X,X,O,O,O,O,O
IJOLSTZ,O,X,X,X,X,X,X,X,X,O,O
IJOLSZT,O,X,X,X,X,X,X,X,X,O,O
IJOLZTS,O,X,X,O,X,X,X,O,X,O,O
IJOLZST,O,X,X,O,X,X,X,O,X,O,O
IJOSTLZ,O,X,X,X,X,X,X,X,X,O,X
IJOSTZL,O,X,X,X,X,X,X,X,X,O,X
IJOSLTZ,O,X,X,X,X,X,X,X,X,O,O
IJOSLZT,O,O,O,X,X,X,X,X,X,O,O
IJOSZTL,O,O,O,X,X,X,X,X,X,O,X
IJOSZLT,O,O,O,O,X,X,X,X,X,O,X
IJOZTLS,O,O,X,O,X,X,X,O,X,O,X
IJOZTSL,O,O,O,O,X,X,X,O,X,O,X
IJOZLTS,O,X,X,O,X,X,X,O,X,O,O
IJOZLST,O,X,O,O,X,X,X,O,X,O,O
IJOZSTL,O,O,O,X,X,X,X,O,X,O,X
IJOZSLT,O,O,O,O,X,X,X,O,X,O,X
ISTLJZO,O,O,O,X,X,O,X,X,X,X,X
ISTLJOZ,O,O,O,X,X,O,O,X,O,X,X
ISTLZJO,O,O,O,O,O,O,X,X,X,X,X
ISTLZOJ,O,O,O,O,O,O,X,X,X,X,X
ISTLOJZ,O,O,O,X,X,O,O,X,O,X,X
ISTLOZJ,O,O,O,O,O,O,X,X,X,X,X
ISTJLZO,O,O,O,X,X,O,X,X,X,X,X
ISTJLOZ,O,O,O,X,X,O,O,X,O,X,X
ISTJZLO,O,O,O,X,X,O,X,X,X,X,X
ISTJZOL,O,O,O,X,X,O,X,X,X,X,X
ISTJOLZ,O,O,O,X,X,O,O,X,O,X,X
ISTJOZL,O,O,O,X,X,O,X,X,X,X,X
ISTZLJO,O,O,O,O,O,O,X,X,X,X,X
ISTZLOJ,O,O,O,O,O,O,X,X,X,X,X
ISTZJLO,O,O,O,O,O,O,X,X,X,X,X
ISTZJOL,O,O,O,O,O,O,X,X,X,X,X
ISTZOLJ,O,O,O,O,O,O,X,X,X,X,X
ISTZOJL,O,O,O,O,O,O,X,X,X,X,X
ISTOLJZ,O,O,O,X,X,O,O,X,O,X,X
ISTOLZJ,O,O,O,O,O,O,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,O,O,X,O,X,X
ISTOJZL,O,O,O,X,X,O,X,X,X,X,X
ISTOZLJ,O,O,O,O,O,O,X,X,X,X,X
ISTOZJL,O,O,O,O,O,O,X,X,X,X,X
ISLTJZO,O,O,O,X,X,O,X,X,X,X,X
ISLTJOZ,O,O,O,X,X,O,O,X,X,X,X
ISLTZJO,O,O,O,X,O,O,X,X,X,X,X
ISLTZOJ,O,O,O,X,O,O,X,X,X,X,X
ISLTOJZ,O,O,O,X,X,O,O,X,X,X,X
ISLTOZJ,O,O,O,X,O,O,X,X,X,X,X
ISLJTZO,O,O,X,X,X,O,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,O,X,X,O,X,X
ISLJZTO,O,O,O,X,X,O,X,X,X,X,X
ISLJZOT,O,O,O,X,X,O,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X,X,X,O
ISLJOZT,O,O,O,X,X,O,X,X,X,X,O
ISLZTJO,O,O,O,X,O,O,X,X,X,X,X
ISLZTOJ,O,O,O,X,O,O,X,X,X,X,X
ISLZJTO,O,O,O,X,O,O,X,X,X,X,X
ISLZJOT,O,O,O,O,X,O,X,X,X,X,X
ISLZOTJ,O,O,O,X,X,O,X,X,X,X,X
ISLZOJT,O,X,O,O,X,O,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,O,O,X,X,X,X
ISLOTZJ,O,X,O,X,X,O,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X,O
ISLOJZT,O,X,O,X,X,O,X,X,X,X,O
ISLOZTJ,O,X,O,X,X,O,X,X,X,X,X
ISLOZJT,O,X,O,O,X,O,X,X,X,X,X
ISJTLZO,O,O,X,X,X,O,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,O,X,X,O,X,X
ISJTZLO,O,O,X,X,X,O,X,X,X,X,X
ISJTZOL,O,O,X,X,X,O,X,X,X,X,X
ISJTOLZ,O,O,X,X,X,O,X,X,O,X,X
ISJTOZL,O,O,X,X,X,O,X,X,X,X,X
ISJLTZO,O,O,X,X,X,O,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,O,X,X,O,X,X
ISJLZTO,O,O,O,X,X,O,X,X,X,X,X
ISJLZOT,O,O,O,X,X,O,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,X,X,X,X,X,O
ISJLOZT,O,O,O,X,X,O,X,X,X,X,O
ISJZTLO,O,O,O,X,X,O,X,X,X,X,X
ISJZTOL,O,O,O,X,X,O,X,X,X,X,X
ISJZLTO,O,O,O,X,X,O,X,X,X,X,X
ISJZLOT,O,O,O,O,X,O,X,X,X,X,X
ISJZOTL,O,O,O,X,X,O,X,X,X,X,X
ISJZOLT,O,O,O,O,X,O,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,X,X,O
ISJOLZT,O,O,O,X,X,O,X,X,X,X,O
ISJOZTL,O,O,O,X,X,O,X,X,X,X,X
ISJOZLT,O,O,O,O,X,O,X,X,X,X,X
ISZTLJO,O,O,O,X,O,O,X,X,X,X,X
ISZTLOJ,O,O,O,X,O,O,X,X,X,X,X
ISZTJLO,O,O,O,X,O,O,X,X,X,X,X
ISZTJOL,O,O,O,X,O,O,X,X,X,X,X
ISZTOLJ,O,O,O,X,O,O,X,X,X,X,X
ISZTOJL,O,O,O,X,O,O,X,X,X,X,X
ISZLTJO,O,O,O,X,O,O,X,X,X,X,X
ISZLTOJ,O,O,O,X,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,O,O,X,X,X,X,X
ISZLJOT,O,O,O,O,X,O,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,O,X,X,X,X,X
ISZLOJT,O,X,O,O,X,O,X,X,X,X,X
ISZJTLO,O,O,O,X,O,O,X,X,X,X,X
ISZJTOL,O,O,O,X,O,O,X,X,X,X,X
ISZJLTO,O,O,O,X,O,O,X,X,X,X,X
ISZJLOT,O,O,O,O,X,O,X,X,X,X,X
ISZJOTL,O,O,O,X,X,O,X,X,X,X,X
ISZJOLT,O,O,O,O,X,O,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,O,X,X,X,X,X
ISZOTJL,O,O,O,X,X,O,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,O,X,X,X,X,X
ISZOLJT,O,X,O,O,X,O,X,X,X,X,X
ISZOJTL,O,X,O,X,X,O,X,X,X,X,X
ISZOJLT,O,X,O,O,X,O,X,X,X,X,X
ISOTLJZ,O,X,O,X,X,O,O,X,X,X,X
ISOTLZJ,O,X,O,O,X,O,X,X,X,X,X
ISOTJLZ,O,X,O,X,X,O,O,X,X,X,X
ISOTJZL,O,X,O,X,X,O,X,X,X,X,X
ISOTZLJ,O,X,O,O,X,O,X,X,X,X,X
ISOTZJL,O,X,O,O,X,O,X,X,X,X,X
ISOLTJZ,O,X,O,X,X,O,O,X,X,X,X
ISOLTZJ,O,X,O,X,X,O,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,X,X,O
ISOLJZT,O,X,O,X,X,O,X,X,X,X,O
ISOLZTJ,O,X,O,X,X,O,X,X,X,X,X
ISOLZJT,O,X,O,O,X,O,X,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X,O
ISOJLZT,O,X,O,X,X,O,X,X,X,X,O
ISOJZTL,O,X,O,X,X,O,X,X,X,X,X
ISOJZLT,O,X,O,O,X,O,X,X,X,X,X
ISOZTLJ,O,X,O,X,X,O,X,X,X,X,X
ISOZTJL,O,X,O,X,X,O,X,X,X,X,X
ISOZLTJ,O,X,O,X,X,O,X,X,X,X,X
ISOZLJT,O,X,O,O,X,O,X,X,X,X,X
ISOZJTL,O,X,O,X,X,O,X,X,X,X,X
ISOZJLT,O,X,O,O,X,O,X,X,X,X,X
IZTLJSO,O,X,O,O,O,O,X,O,X,X,X
IZTLJOS,O,X,O,O,O,O,O,O,O,X,X
IZTLSJO,O,O,O,O,O,O,X,O,X,X,X
IZTLSOJ,O,O,O,O,O,O,X,O,X,X,X
IZTLOJS,O,X,O,O,O,O,O,O,O,X,X
IZTLOSJ,O,O,O,O,O,O,X,O,X,X,X
IZTJLSO,O,O,O,O,O,O,X,O,X,X,X
IZTJLOS,O,O,O,O,O,O,O,O,O,X,X
IZTJSLO,O,O,O,O,O,O,X,O,X,X,X
IZTJSOL,O,O,O,O,O,O,X,O,X,X,X
IZTJOLS,O,O,O,O,O,O,O,O,O,X,X
IZTJOSL,O,O,O,O,O,O,X,O,X,X,X
IZTSLJO,O,O,O,O,O,O,X,O,X,X,X
IZTSLOJ,O,O,O,O,O,O,X,O,X,X,X
IZTSJLO,O,O,O,O,O,O,X,O,X,X,X
IZTSJOL,O,O,O,O,O,O,X,O,X,X,X
IZTSOLJ,O,O,O,O,O,O,X,O,X,X,X
IZTSOJL,O,O,O,O,O,O,X,O,X,X,X
IZTOLJS,O,X,O,O,O,O,O,O,O,X,X
IZTOLSJ,O,O,O,O,O,O,X,O,X,X,X
IZTOJLS,O,O,O,O,O,O,O,O,O,X,X
IZTOJSL,O,O,O,O,O,O,X,O,X,X,X
IZTOSLJ,O,O,O,O,O,O,X,O,X,X,X
IZTOSJL,O,O,O,O,O,O,X,O,X,X,X
IZLTJSO,X,X,O,X,O,O,X,O,X,O,X
IZLTJOS,X,X,O,O,O,O,O,O,X,O,X
IZLTSJO,X,O,O,X,O,O,X,O,X,O,X
IZLTSOJ,X,O,O,X,O,O,X,O,X,O,X
IZLTOJS,X,X,O,O,O,O,O,O,X,O,X
IZLTOSJ,X,O,O,X,O,O,X,O,X,O,X
IZLJTSO,O,X,X,X,O,X,X,O,X,O,X
IZLJTOS,O,X,X,O,O,X,X,O,O,O,X
IZLJSTO,O,X,O,X,O,X,X,O,X,O,X
IZLJSOT,O,X,O,O,X,X,X,O,X,O,X
IZLJOTS,O,X,X,O,O,X,X,O,X,O,O
IZLJOST,O,X,O,O,X,X,X,O,X,O,O
IZLSTJO,O,O,X,X,O,O,X,O,X,O,X
IZLSTOJ,O,O,O,X,O,O,X,O,X,O,X
IZLSJTO,O,O,X,X,O,O,X,O,X,O,X
IZLSJOT,O,X,O,O,X,O,X,O,X,O,X
IZLSOTJ,O,O,O,X,X,O,X,O,X,O,X
IZLSOJT,O,X,O,O,X,O,X,O,X,O,X
IZLOTJS,X,X,O,O,O,O,O,O,X,O,X
IZLOTSJ,X,X,O,X,O,O,X,O,X,O,X
IZLOJTS,O,X,X,O,O,X,X,O,X,O,O
IZLOJST,O,X,O,O,X,X,X,O,X,O,O
IZLOSTJ,O,X,O,X,X,O,X,O,X,O,X
IZLOSJT,O,X,O,O,X,O,X,O,X,O,X
IZJTLSO,O,O,O,O,O,X,X,O,X,O,X
IZJTLOS,O,O,O,O,O,X,X,O,O,O,X
IZJTSLO,O,O,O,O,O,X,X,O,X,O,X
IZJTSOL,O,O,O,O,O,X,X,O,X,O,X
IZJTOLS,O,O,O,O,O,X,X,O,O,O,X
IZJTOSL,O,O,O,O,O,X,X,O,X,O,X
IZJLTSO,O,O,X,X,O,X,X,O,X,O,X
IZJLTOS,O,O,X,O,O,X,X,O,O,O,X
IZJLSTO,O,O,O,X,O,X,X,O,X,O,X
IZJLSOT,O,O,O,O,X,X,X,O,X,O,X
IZJLOTS,O,X,X,O,O,X,X,O,X,O,O
IZJLOST,O,X,O,O,X,X,X,O,X,O,O
IZJSTLO,O,O,O,X,O,X,X,O,X,O,X
IZJSTOL,O,O,O,X,O,X,X,O,X,O,X
IZJSLTO,O,O,O,X,O,X,X,O,X,O,X
IZJSLOT,O,O,O,O,X,X,X,O,X,O,X
IZJSOTL,O,O,O,X,X,X,X,O,X,O,X
IZJSOLT,O,O,O,O,X,X,X,O,X,O,X
IZJOTLS,O,O,O,O,O,X,X,O,X,O,X
IZJOTSL,O,O,O,O,O,X,X,O,X,O,X
IZJOLTS,O,X,X,O,O,X,X,O,X,O,O
IZJOLST,O,X,O,O,X,X,X,O,X,O,O
IZJOSTL,O,O,O,X,X,X,X,O,X,O,X
IZJOSLT,O,O,O,O,X,X,X,O,X,O,X
IZSTLJO,O,O,O,X,O,O,X,O,X,X,X
IZSTLOJ,O,O,O,X,O,O,X,O,X,X,X
IZSTJLO,O,O,O,X,O,O,X,O,X,O,X
IZSTJOL,O,O,O,X,O,O,X,O,X,O,X
IZSTOLJ,O,O,O,X,O,O,X,O,X,O,X
IZSTOJL,O,O,O,X,O,O,X,O,X,O,X
IZSLTJO,O,O,O,X,O,O,X,O,X,O,X
IZSLTOJ,O,O,O,X,O,O,X,O,X,O,X
