sequence,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCcBXdB8lBGn?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBCdBUhB/nBTl?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFZgBCdBulB/nBUh?BlrB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFxcBKlBGhB/nB0g?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Je2/IvhFRbBclBXmBTnBlm?BCsB,v115@7gB8GeE8FeD8FeG8AeD8JeT6IvhFOgB8gB5mB/sByv?BFsB,v115@7gB8GeE8FeD8FeG8AeD8Jei6IvhFxcBUgBThB/nB+l?BlrB,v115@7gB8GeE8FeD8FeG8AeD8Jex6IvhFXcBmfBUiB1qB6r?BTsB
TLZOJIS,O,X,X,X,X,O,X,O
TLZOJSI,O,X,X,O,X,O,O,O
TLZOSIJ,O,X,X,O,X,O,O,X
TLZOSJI,O,X,X,O,X,O,O,O
TLOIJSZ,O,X,O,O,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,X,X,X,X
TLOISZJ,O,X,O,O,X,O,X,X
TLOIZJS,O,X,X,X,X,O,X,X
TLOIZSJ,O,X,X,X,X,O,X,X
TLOJISZ,O,O,O,O,X,X,X,O
TLOJIZS,O,O,X,X,X,X,X,O
TLOJSIZ,O,O,O,O,X,X,X,O
TLOJSZI,O,O,O,O,X,X,X,O
TLOJZIS,O,O,X,X,X,X,X,O
TLOJZSI,O,O,X,O,X,X,X,O
TLOSIJZ,O,O,O,O,X,X,X,X
TLOSIZJ,O,X,O,O,X,O,X,X
TLOSJIZ,O,O,O,O,X,X,X,O
TLOSJZI,O,O,O,O,X,X,X,O
TLOSZIJ,O,O,O,O,X,O,O,X
TLOSZJI,O,O,O,O,X,O,O,O
TLOZIJS,O,O,X,X,X,O,X,X
TLOZISJ,O,O,X,X,X,O,O,X
TLOZJIS,O,O,X,X,X,O,X,O
TLOZJSI,O,O,X,O,X,O,O,O
TLOZSIJ,O,O,X,O,X,O,O,X
TLOZSJI,O,O,X,O,X,O,O,O
TJILSZO,O,O,O,O,X,X,X,O
TJILSOZ,O,O,O,O,X,X,X,O
TJILZSO,O,O,X,X,X,X,X,O
TJILZOS,O,X,X,X,X,X,X,O
TJILOSZ,O,X,O,O,X,X,X,O
TJILOZS,O,X,X,X,X,X,X,O
TJISLZO,O,O,O,O,X,X,X,O
TJISLOZ,O,O,O,O,X,X,X,O
TJISZLO,O,O,O,O,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X
TJISOLZ,O,O,O,O,X,X,X,X
TJISOZL,O,X,O,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,O
TJIZLOS,O,X,X,X,X,X,X,O
TJIZSLO,O,O,O,X,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X
TJIZOSL,O,O,O,X,O,X,X,X
TJIOLSZ,O,O,O,X,X,X,X,O
TJIOLZS,O,O,X,X,X,X,X,O
TJIOSLZ,O,O,O,X,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X
TJIOZSL,O,O,O,X,O,X,X,X
TJLISZO,O,O,O,O,X,X,X,O
TJLISOZ,O,O,O,O,X,X,X,O
TJLIZSO,O,O,X,X,X,X,X,O
TJLIZOS,O,X,X,X,X,X,X,O
TJLIOSZ,O,X,O,O,X,X,X,O
TJLIOZS,O,X,X,X,X,X,X,O
TJLSIZO,O,O,O,O,X,X,X,O
TJLSIOZ,O,O,O,O,X,X,X,O
TJLSZIO,O,O,O,O,X,X,X,O
TJLSZOI,O,O,O,O,X,X,O,O
TJLSOIZ,O,O,O,O,X,X,X,O
TJLSOZI,O,O,O,O,X,X,X,O
TJLZISO,O,O,X,X,X,X,X,O
TJLZIOS,O,X,X,X,X,X,X,O
TJLZSIO,O,O,X,O,X,X,X,O
TJLZSOI,O,O,X,O,X,X,O,O
TJLZOIS,O,X,X,X,X,X,X,O
TJLZOSI,O,X,X,O,X,X,O,O
TJLOISZ,O,X,O,O,X,X,X,O
TJLOIZS,O,X,X,X,X,X,X,O
TJLOSIZ,O,X,O,O,X,X,X,O
TJLOSZI,O,X,O,O,X,X,X,O
TJLOZIS,O,X,X,X,X,X,X,O
TJLOZSI,O,X,X,O,X,X,X,O
TJSILZO,O,O,O,O,X,X,X,O
TJSILOZ,O,O,O,O,X,X,X,O
TJSIZLO,O,O,O,O,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X
TJSIOLZ,O,O,O,O,X,X,X,X
TJSIOZL,O,X,O,X,X,X,X,X
TJSLIZO,O,O,O,O,X,X,X,O
TJSLIOZ,O,O,O,O,X,X,X,O
TJSLZIO,O,O,O,O,X,X,X,O
TJSLZOI,O,O,O,O,X,X,O,O
TJSLOIZ,O,O,O,O,X,X,X,O
TJSLOZI,O,O,O,O,X,X,X,O
TJSZILO,O,O,O,O,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,X
TJSZLIO,O,O,O,O,X,X,X,X
TJSZLOI,O,O,O,O,X,X,O,X
TJSZOIL,O,O,O,X,X,X,O,X
TJSZOLI,O,O,O,X,X,X,O,X
TJSOILZ,O,O,O,O,X,X,X,X
TJSOIZL,O,O,O,X,X,X,X,X
TJSOLIZ,O,O,O,O,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,X
TJSOZIL,O,O,O,X,X,X,O,X
TJSOZLI,O,O,O,X,X,X,O,X
TJZILSO,O,O,X,X,X,X,X,O
TJZILOS,O,X,X,X,X,X,X,O
TJZISLO,O,O,O,X,X,X,X,X
TJZISOL,O,O,O,X,X,X,X,X
TJZIOLS,O,X,X,X,X,X,X,X
TJZIOSL,O,O,O,X,O,X,X,X
TJZLISO,O,O,X,X,X,X,X,O
TJZLIOS,O,X,X,X,X,X,X,O
TJZLSIO,O,O,X,O,X,X,X,O
TJZLSOI,O,O,X,O,X,X,O,O
TJZLOIS,O,X,X,X,X,X,X,O
TJZLOSI,O,X,X,O,X,X,O,O
TJZSILO,O,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,X,X,X
TJZSLIO,O,O,O,O,X,X,X,X
TJZSLOI,O,O,O,O,X,X,O,X
TJZSOIL,O,O,O,X,X,X,O,X
TJZSOLI,O,O,O,X,X,X,O,X
TJZOILS,O,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,O,X,X,X
TJZOLIS,O,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,O,X
TJZOSIL,O,O,O,X,O,X,O,X
TJZOSLI,O,O,O,X,O,X,O,X
TJOILSZ,O,O,O,X,X,X,X,O
TJOILZS,O,O,X,X,X,X,X,O
TJOISLZ,O,O,O,X,X,X,X,X
TJOISZL,O,O,O,X,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X,X
TJOIZSL,O,O,O,X,O,X,X,X
TJOLISZ,O,O,O,O,X,X,X,O
TJOLIZS,O,O,X,X,X,X,X,O
TJOLSIZ,O,O,O,O,X,X,X,O
TJOLSZI,O,O,O,O,X,X,X,O
TJOLZIS,O,O,X,X,X,X,X,O
TJOLZSI,O,O,X,O,X,X,X,O
TJOSILZ,O,O,O,O,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X
TJOSLIZ,O,O,O,O,X,X,X,X
TJOSLZI,O,O,O,O,X,X,X,X
TJOSZIL,O,O,O,X,X,X,O,X
TJOSZLI,O,O,O,X,X,X,O,X
TJOZILS,O,O,X,X,X,X,X,X
TJOZISL,O,O,O,X,O,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,O,X
TJOZSIL,O,O,O,X,O,X,O,X
TJOZSLI,O,O,O,X,O,X,O,X
TSILJZO,O,O,O,O,X,X,X,X
TSILJOZ,O,O,O,O,X,X,X,X
TSILZJO,O,O,O,O,X,O,X,X
TSILZOJ,O,O,O,O,X,O,O,X
TSILOJZ,O,O,O,O,X,X,X,X
TSILOZJ,O,X,O,O,X,O,X,X
TSIJLZO,O,O,O,O,X,X,X,X
TSIJLOZ,O,O,O,O,X,X,X,X
TSIJZLO,O,O,O,O,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X
TSIJOLZ,O,O,O,O,X,X,X,X
TSIJOZL,O,X,O,X,X,X,X,X
TSIZLJO,O,O,O,O,X,X,X,X
TSIZLOJ,O,O,O,O,X,X,O,X
TSIZJLO,O,O,O,O,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,O,X,X,O,X
TSIZOJL,O,O,O,X,X,X,O,X
TSIOLJZ,O,O,O,O,X,X,X,X
TSIOLZJ,O,X,O,O,X,O,X,X
TSIOJLZ,O,O,O,O,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X,X
TSIOZLJ,O,O,O,O,X,X,O,X
TSIOZJL,O,O,O,X,X,X,O,X
TSLIJZO,O,O,O,O,X,X,X,O
TSLIJOZ,O,O,O,O,X,X,X,O
TSLIZJO,O,O,O,O,X,O,X,O
TSLIZOJ,O,O,O,O,X,O,O,X
TSLIOJZ,O,O,O,O,X,X,X,X
TSLIOZJ,O,X,O,O,X,O,X,X
TSLJIZO,O,O,O,O,X,X,X,O
TSLJIOZ,O,O,O,O,X,X,X,O
TSLJZIO,O,O,O,O,X,X,X,O
TSLJZOI,O,O,O,O,X,X,O,O
TSLJOIZ,O,O,O,O,X,X,X,O
TSLJOZI,O,O,O,O,X,X,X,O
TSLZIJO,O,O,O,O,X,O,X,O
TSLZIOJ,O,O,O,O,X,O,O,X
TSLZJIO,O,O,O,O,X,O,X,O
TSLZJOI,O,O,O,O,X,O,O,O
TSLZOIJ,O,O,O,O,X,O,O,X
TSLZOJI,O,O,O,O,X,O,O,O
TSLOIJZ,O,O,O,O,X,X,X,X
TSLOIZJ,O,X,O,O,X,O,X,X
TSLOJIZ,O,O,O,O,X,X,X,O
TSLOJZI,O,O,O,O,X,X,X,O
TSLOZIJ,O,O,O,O,X,O,O,X
TSLOZJI,O,O,O,O,X,O,O,O
TSJILZO,O,O,O,O,X,X,X,O
TSJILOZ,O,O,O,O,X,X,X,O
TSJIZLO,O,O,O,O,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X,X
TSJIOLZ,O,O,O,O,X,X,X,X
TSJIOZL,O,X,O,X,X,X,X,X
TSJLIZO,O,O,O,O,X,X,X,O
TSJLIOZ,O,O,O,O,X,X,X,O
TSJLZIO,O,O,O,O,X,X,X,O
TSJLZOI,O,O,O,O,X,X,O,O
TSJLOIZ,O,O,O,O,X,X,X,O
TSJLOZI,O,O,O,O,X,X,X,O
TSJZILO,O,O,O,O,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,O,X,X,X,X
TSJZLOI,O,O,O,O,X,X,O,X
TSJZOIL,O,O,O,X,X,X,O,X
TSJZOLI,O,O,O,X,X,X,O,X
TSJOILZ,O,O,O,O,X,X,X,X
TSJOIZL,O,O,O,X,X,X,X,X
TSJOLIZ,O,O,O,O,X,X,X,X
TSJOLZI,O,O,O,O,X,X,X,X
TSJOZIL,O,O,O,X,X,X,O,X
TSJOZLI,O,O,O,X,X,X,O,X
TSZILJO,O,O,O,O,X,X,X,X
TSZILOJ,O,O,O,O,X,X,O,X
TSZIJLO,O,O,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X,X
TSZIOLJ,O,O,O,O,X,X,O,X
TSZIOJL,O,O,O,X,X,X,O,X
TSZLIJO,O,O,O,O,X,X,X,X
TSZLIOJ,O,O,O,O,X,X,O,X
TSZLJIO,O,O,O,O,X,X,X,X
TSZLJOI,O,O,O,O,X,X,O,X
TSZLOIJ,O,O,O,O,X,X,O,X
TSZLOJI,O,O,O,O,X,X,O,X
TSZJILO,O,O,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X,X
TSZJLIO,O,O,O,O,X,X,X,X
TSZJLOI,O,O,O,O,X,X,O,X
TSZJOIL,O,O,O,X,X,X,O,X
TSZJOLI,O,O,O,X,X,X,O,X
TSZOILJ,O,O,O,O,X,X,O,X
TSZOIJL,O,O,O,X,X,X,O,X
TSZOLIJ,O,O,O,O,X,X,O,X
TSZOLJI,O,O,O,O,X,X,O,X
TSZOJIL,O,O,O,X,X,X,O,X
TSZOJLI,O,O,O,X,X,X,O,X
TSOILJZ,O,O,O,O,X,X,X,X
TSOILZJ,O,X,O,O,X,O,X,X
TSOIJLZ,O,O,O,O,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X,X
TSOIZLJ,O,O,O,O,X,X,O,X
TSOIZJL,O,O,O,X,X,X,O,X
TSOLIJZ,O,O,O,O,X,X,X,X
TSOLIZJ,O,X,O,O,X,O,X,X
TSOLJIZ,O,O,O,O,X,X,X,X
TSOLJZI,O,O,O,O,X,X,X,X
TSOLZIJ,O,O,O,O,X,O,O,X
TSOLZJI,O,O,O,O,X,O,O,X
TSOJILZ,O,O,O,O,X,X,X,X
TSOJIZL,O,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,O,X,X,X,X
TSOJLZI,O,O,O,O,X,X,X,X
TSOJZIL,O,O,O,X,X,X,O,X
TSOJZLI,O,O,O,X,X,X,O,X
TSOZILJ,O,O,O,O,X,X,O,X
TSOZIJL,O,O,O,X,X,X,O,X
TSOZLIJ,O,O,O,O,X,X,O,X
TSOZLJI,O,O,O,O,X,X,O,X
TSOZJIL,O,O,O,X,X,X,O,X
TSOZJLI,O,O,O,X,X,X,O,X
TZILJSO,O,O,X,X,X,X,X,X
TZILJOS,O,X,X,X,X,X,X,X
TZILSJO,O,O,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,O,X
TZILOJS,O,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,X,X
TZIJLOS,O,X,X,X,X,X,X,X
TZIJSLO,O,O,O,X,X,X,X,X
TZIJSOL,O,O,O,X,X,X,X,X
TZIJOLS,O,X,X,X,X,X,X,X
TZIJOSL,O,O,O,X,O,X,X,X
TZISLJO,O,O,O,X,X,X,X,X
TZISLOJ,O,O,O,X,X,X,O,X
TZISJLO,O,O,O,X,X,X,X,X
TZISJOL,O,O,O,X,X,X,X,X
TZISOLJ,O,O,O,X,X,X,O,X
TZISOJL,O,O,O,X,X,X,O,X
TZIOLJS,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,O,X
TZIOJLS,O,X,X,X,X,X,X,X
TZIOJSL,O,O,O,X,O,X,X,X
TZIOSLJ,O,O,O,X,O,X,O,X
TZIOSJL,O,O,O,X,O,X,O,X
TZLIJSO,O,O,X,X,X,X,X,O
TZLIJOS,O,X,X,X,X,X,X,O
TZLISJO,O,O,X,X,X,X,X,O
TZLISOJ,O,O,X,X,X,X,O,X
TZLIOJS,O,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,O,X
TZLJISO,O,O,X,X,X,X,X,O
TZLJIOS,O,X,X,X,X,X,X,O
TZLJSIO,O,O,X,O,X,X,X,O
TZLJSOI,O,O,X,O,X,X,O,O
TZLJOIS,O,X,X,X,X,X,X,O
TZLJOSI,O,X,X,O,X,X,O,O
TZLSIJO,O,O,X,O,X,X,X,O
TZLSIOJ,O,O,X,O,X,X,O,X
TZLSJIO,O,O,X,O,X,X,X,O
TZLSJOI,O,O,X,O,X,X,O,O
TZLSOIJ,O,O,X,O,X,X,O,X
TZLSOJI,O,O,X,O,X,X,O,O
TZLOIJS,O,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,X,X,O,X
TZLOJIS,O,X,X,X,X,X,X,O
TZLOJSI,O,X,X,O,X,X,O,O
TZLOSIJ,O,X,X,O,X,X,O,X
TZLOSJI,O,X,X,O,X,X,O,O
TZJILSO,O,O,X,X,X,X,X,O
TZJILOS,O,X,X,X,X,X,X,O
TZJISLO,O,O,O,X,X,X,X,X
TZJISOL,O,O,O,X,X,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X
TZJIOSL,O,O,O,X,O,X,X,X
TZJLISO,O,O,X,X,X,X,X,O
TZJLIOS,O,X,X,X,X,X,X,O
TZJLSIO,O,O,X,O,X,X,X,O
TZJLSOI,O,O,X,O,X,X,O,O
TZJLOIS,O,X,X,X,X,X,X,O
TZJLOSI,O,X,X,O,X,X,O,O
TZJSILO,O,O,O,O,X,X,X,X
TZJSIOL,O,O,O,X,X,X,X,X
TZJSLIO,O,O,O,O,X,X,X,X
TZJSLOI,O,O,O,O,X,X,O,X
TZJSOIL,O,O,O,X,X,X,O,X
TZJSOLI,O,O,O,X,X,X,O,X
TZJOILS,O,X,X,X,X,X,X,X
