sequence,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBcmB6nBT?jBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeOCJvhF6jB9lBziBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB2mBTjBc?sBXrBCsB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBymB+nBT?jB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lB6nBTjBm?mB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBumB9nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF9lBOmBXiBT?jBcsBSwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeX9IvhF6jBziBxlBN?sBUmBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeKCJvhFzdB+jB9lBx?rB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFUhB9nBTjB6?qBmrB3rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3hB9nBTjB6?qBmrBUrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhFihB9nBTjB0?lBfsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gBtmB+nBT?jB8qBywB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF9lBxhBOnBC?oBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jex9IvhF3gB9nBTjB8?qB+rBasB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nBXrB0rB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JedCJvhFfjB6jBxlBc?sBGrBzqB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Jez9IvhF+jB9lBxmBK?nB0rBXrB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je6DJvhF3gBRiB0iBT?mBNsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8JeT+IvhF3gBcmBxnB6?nBdsBWwB,v115@zgF8DeC8GeB8HeC8EeE8DeC8Je09IvhF6jB9lBmhBT?mB3nBRwB
TIJLZOS,X,O,O,X,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLOZS,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O
TIJSLZO,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIJSLOZ,X,X,O,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TIJSZLO,X,X,X,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O
TIJSZOL,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIJSOLZ,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIJSOZL,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIJZLSO,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
TIJZLOS,X,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJZSLO,X,O,X,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X
TIJZSOL,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TIJZOLS,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJZOSL,X,O,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TIJOLSZ,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJOLZS,X,O,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O
TIJOSLZ,X,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJOSZL,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIJOZLS,X,O,O,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJOZSL,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TISLJZO,X,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O
TISLJOZ,X,X,O,X,O,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O
TISLZJO,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISLZOJ,X,O,O,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TISLOJZ,X,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O
TISLOZJ,X,X,O,X,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TISJLZO,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TISJLOZ,X,X,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
TISJZLO,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O
TISJZOL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TISJOLZ,X,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TISJOZL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TISZLJO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TISZLOJ,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISZJLO,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O
TISZJOL,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISZOLJ,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISZOJL,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,O,O,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TISOLZJ,X,X,O,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TISOJLZ,X,O,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TISOJZL,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TISOZLJ,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISOZJL,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZLJSO,X,O,X,X,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TIZLJOS,X,O,X,X,X,O,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TIZLSJO,X,O,X,X,X,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZLSOJ,X,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O
TIZLOJS,X,O,O,X,X,O,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O
TIZLOSJ,X,O,X,X,X,X,X,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TIZJLSO,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZJLOS,X,O,X,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZJSLO,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,X,X
TIZJSOL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TIZJOSL,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZSLJO,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSLOJ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSJLO,X,O,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O
TIZSJOL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIZSOLJ,X,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZSOJL,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,O,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIZOLSJ,X,O,X,O,X,X,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIZOJLS,X,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O
TIZOJSL,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZOSLJ,X,O,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIZOSJL,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOLJSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOLJZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O
TIOLSJZ,O,O,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,O,X,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOLZJS,O,O,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOLZSJ,O,O,X,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOJLSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOJLZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O
TIOJSLZ,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOJSZL,O,X,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOJZLS,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TIOJZSL,O,X,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOSLJZ,O,O,O,X,O,X,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOSLZJ,O,X,O,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOSJLZ,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIOSJZL,O,X,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOSZLJ,O,X,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOSZJL,O,X,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOZLJS,O,O,O,X,X,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIOZLSJ,O,O,X,O,X,X,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOZJLS,O,O,O,X,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TIOZJSL,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIOZSLJ,O,O,X,O,X,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOZSJL,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLIJSZO,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLIJSOZ,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLIJZSO,O,O,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TLIJOZS,O,O,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,O
TLISJZO,O,X,X,X,X,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLISJOZ,O,X,O,X,X,X,O,X,O,X,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TLISZJO,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLISZOJ,O,O,O,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TLISOJZ,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TLISOZJ,O,X,O,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TLIZJSO,O,O,X,X,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TLIZSOJ,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TLIZOJS,O,O,O,X,X,X,X,O,O,O,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TLIZOSJ,O,O,X,X,X,X,O,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TLIOJSZ,O,O,O,X,X,X,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TLIOJZS,O,O,O,X,X,X,X,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,X,X,X,O
TLIOSJZ,O,O,O,X,X,X,O,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TLIOSZJ,O,X,O,X,X,X,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,O
TLIOZJS,O,O,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TLIOZSJ,O,O,X,X,X,X,O,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O
TLJISZO,O,X,X,X,O,X,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLJISOZ,O,X,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLJIZSO,O,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,X,O,O,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TLJIOZS,O,O,O,X,O,O,X,O,O,O,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O
TLJSIZO,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
TLJSIOZ,X,X,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,O,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJZISO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLJZIOS,X,X,X,X,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,X,O,O,O,X,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLJOIZS,O,O,O,X,O,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,O,X,O,O,X,X,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,O,O,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,O,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,O
TLSIJOZ,O,X,O,X,O,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,O
TLSIZJO,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLSIZOJ,O,O,O,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,O
TLSIOJZ,O,O,O,X,O,X,O,X,O,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O
TLSIOZJ,O,X,O,X,X,X,O,O,O,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,O
TLSJIZO,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLSJIOZ,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
TLSJZIO,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJZOI,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TLSJOZI,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSZIJO,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSZIOJ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O
TLSZJIO,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
