sequence,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeT7IvhF0cBxdB?ylBGjBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je07IvhFlcB3dB?5jB2lBynBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhFXeBTgB?ihB+oBlnB0sB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeOAJvhFxcBzgB?UiBFjBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cB5jB?1lBmiB0nBzsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex7IvhF0dBTgB?ihB+oBlnBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jei7IvhF3cBTeB?1lB2nBctB5nB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Jex8IvhFmgBUiB?FjBTgBStBXtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhBxcB?TeBlnBctBGsB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8Je38IvhFTgBxiB?mgBlnBctBCtB,v115@zgB8HeB8HeB8CeA8DeG8CeG8BeA8JeKAJvhFfhB0cB?xdB+oBlnBzsB
ILTZJOS,O,O,X,O,O,X,X,O,X,X,X
ILTZSJO,X,O,X,X,O,X,X,O,X,X,X
ILTZSOJ,O,X,X,O,O,X,X,X,X,X,X
ILTZOJS,O,X,X,O,O,X,X,O,X,X,X
ILTZOSJ,O,X,X,O,O,X,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,X,X,X,X,X,X
ILTOJZS,O,O,X,O,X,X,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,X,O,X,X,O,X,X,X,X,X,X
ILTOZJS,O,O,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,O,X,O,O,X,X,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,X,X,X,O
ILJTSOZ,X,O,O,X,X,X,X,X,X,X,O
ILJTZSO,X,O,X,X,X,X,X,O,X,X,O
ILJTZOS,X,O,X,X,X,O,X,O,X,X,X
ILJTOSZ,X,O,O,X,X,O,X,X,X,X,O
ILJTOZS,X,O,O,X,X,O,X,X,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X,X,O
ILJSTOZ,X,O,X,X,X,X,X,X,X,X,O
ILJSZTO,X,O,X,X,X,X,X,O,X,X,O
ILJSZOT,X,O,X,X,X,X,X,X,X,X,O
ILJSOTZ,X,O,O,X,X,X,X,X,X,X,X
ILJSOZT,X,O,O,X,X,X,X,X,X,X,O
ILJZTSO,X,O,X,X,X,X,X,O,X,X,X
ILJZTOS,X,O,X,X,X,X,X,O,X,X,X
ILJZSTO,X,O,X,X,X,X,X,O,X,X,O
ILJZSOT,X,O,X,X,X,X,X,X,X,X,O
ILJZOTS,X,O,X,X,X,X,X,O,X,X,X
ILJZOST,X,O,X,X,X,X,X,X,X,X,X
ILJOTSZ,X,O,O,X,X,O,X,X,X,X,X
ILJOTZS,X,O,O,X,X,O,X,X,X,X,X
ILJOSTZ,X,O,O,X,X,O,X,X,X,X,X
ILJOSZT,X,O,O,X,X,X,X,X,X,X,O
ILJOZTS,X,O,O,X,X,O,X,O,X,X,X
ILJOZST,X,O,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,X,O,X,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X,X,X,X,X
ILSTZJO,O,O,X,X,O,X,X,X,O,X,X
ILSTZOJ,O,X,X,X,O,X,X,X,O,X,X
ILSTOJZ,O,O,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,O,X,X,X,X,X,X
ILSJTZO,O,O,X,X,X,X,X,X,X,X,O
ILSJTOZ,O,O,X,X,X,X,X,X,X,X,O
ILSJZTO,O,O,X,X,X,X,X,X,O,X,O
ILSJZOT,O,O,X,X,X,X,X,X,O,X,O
ILSJOTZ,O,O,X,X,X,X,X,X,X,X,X
ILSJOZT,O,O,X,X,X,X,X,X,X,X,O
ILSZTJO,O,O,X,X,O,X,X,X,O,X,O
ILSZTOJ,O,X,X,X,O,X,X,X,O,X,X
ILSZJTO,O,O,X,X,O,X,X,X,O,X,O
ILSZJOT,O,O,X,X,X,X,X,X,O,X,O
ILSZOTJ,O,X,X,X,X,X,X,X,O,X,X
ILSZOJT,O,X,X,X,X,X,X,X,O,X,O
ILSOTJZ,O,O,X,X,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,X,X,X,X,X,O,X,X
ILSOZJT,O,X,X,X,X,X,X,X,O,X,X
ILZTJSO,O,O,X,X,O,X,X,O,X,X,X
ILZTJOS,O,O,X,O,O,X,X,O,X,X,X
ILZTSJO,X,O,X,X,O,X,X,O,O,X,X
ILZTSOJ,O,X,X,O,O,X,X,X,O,X,X
ILZTOJS,O,X,X,O,O,X,X,O,X,X,X
ILZTOSJ,O,X,X,O,O,X,X,X,O,X,X
ILZJTSO,X,O,X,X,O,X,X,O,X,X,X
ILZJTOS,X,O,X,O,O,X,X,O,X,X,X
ILZJSTO,X,O,X,X,O,X,X,O,X,X,X
ILZJSOT,X,O,X,X,X,X,X,X,X,X,X
ILZJOTS,O,O,X,O,X,X,X,O,X,X,X
ILZJOST,O,O,X,O,X,X,X,X,X,X,X
ILZSTJO,O,O,X,X,O,X,X,O,O,X,X
ILZSTOJ,O,X,X,O,O,X,X,X,O,X,X
ILZSJTO,O,O,X,X,O,X,X,O,O,X,X
ILZSJOT,O,O,X,X,X,X,X,X,O,X,X
ILZSOTJ,O,X,X,O,X,X,X,X,O,X,X
ILZSOJT,O,X,X,O,X,X,X,X,O,X,X
ILZOTJS,O,X,X,O,X,X,X,O,X,X,X
ILZOTSJ,O,X,X,O,X,X,X,X,O,X,X
ILZOJTS,O,X,X,O,X,X,X,O,X,X,X
ILZOJST,O,X,X,O,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X,O,X,X
ILZOSJT,O,X,X,O,X,X,X,X,O,X,X
ILOTJSZ,O,O,O,X,X,O,X,X,X,X,X
ILOTJZS,O,O,O,O,X,O,X,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,X,X,X,X,X
ILOJTSZ,X,O,O,X,X,O,X,X,X,X,X
ILOJTZS,X,O,O,O,X,O,X,X,X,X,X
ILOJSTZ,X,O,O,X,X,O,X,X,X,X,X
ILOJSZT,X,O,O,O,X,X,X,X,X,X,X
ILOJZTS,X,O,O,O,X,O,X,X,X,X,X
ILOJZST,X,O,O,O,X,X,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,X,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,O,O,X,X,O,X,X,X,X,X
ILOSJZT,O,O,O,O,X,X,X,X,X,X,X
ILOSZTJ,O,O,X,O,X,X,X,X,X,X,X
ILOSZJT,O,O,X,O,X,X,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,X,X,X,X,X
ILOZJTS,O,O,O,O,X,O,X,X,X,X,X
ILOZJST,O,O,O,O,X,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,X,X,X,X,X,X
ILOZSJT,O,O,X,O,X,X,X,X,X,X,X
IJTLSZO,X,O,X,X,O,X,X,X,X,X,O
IJTLSOZ,X,O,O,X,X,X,X,X,X,X,O
IJTLZSO,X,O,X,X,O,X,X,O,X,X,O
IJTLZOS,X,O,X,X,O,O,X,O,X,X,X
IJTLOSZ,X,O,O,X,X,O,X,X,X,X,O
IJTLOZS,X,O,O,X,X,O,X,X,X,X,X
IJTSLZO,X,O,X,X,O,X,X,X,X,X,O
IJTSLOZ,X,O,O,X,X,X,X,X,X,X,O
IJTSZLO,X,O,X,X,O,X,X,X,X,X,X
IJTSZOL,X,O,X,X,O,X,X,X,X,X,X
IJTSOLZ,X,O,O,X,X,X,X,X,X,X,X
IJTSOZL,X,O,O,X,X,X,X,X,X,X,X
IJTZLSO,X,O,X,X,O,X,X,O,X,X,O
IJTZLOS,X,O,X,X,O,O,X,O,X,X,X
IJTZSLO,X,O,X,X,O,X,X,O,X,X,X
IJTZSOL,X,O,X,X,O,X,X,O,X,X,X
IJTZOLS,X,O,X,X,O,O,X,O,X,X,X
IJTZOSL,X,O,X,X,O,X,X,O,X,X,X
IJTOLSZ,X,O,O,X,X,O,X,X,X,X,O
IJTOLZS,X,O,O,X,X,O,X,X,X,X,X
IJTOSLZ,X,O,O,X,X,O,X,X,X,X,X
IJTOSZL,X,O,O,X,X,X,X,X,X,X,X
IJTOZLS,X,O,O,X,X,O,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X,X,O
IJLTSOZ,X,O,O,X,X,X,X,X,X,X,O
IJLTZSO,X,O,X,X,X,X,X,O,X,X,O
IJLTZOS,X,O,X,X,X,O,X,O,X,X,X
IJLTOSZ,X,O,O,X,X,O,X,X,X,X,O
IJLTOZS,X,O,O,X,X,O,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X,X,O
IJLSTOZ,X,O,X,X,X,X,X,X,X,X,O
IJLSZTO,X,O,X,X,X,X,X,O,X,X,O
IJLSZOT,X,O,X,X,X,X,X,X,X,X,O
IJLSOTZ,X,O,O,X,X,X,X,X,X,X,X
IJLSOZT,X,O,O,X,X,X,X,X,X,X,O
IJLZTSO,X,O,X,X,X,X,X,O,X,X,X
IJLZTOS,X,O,X,X,X,X,X,O,X,X,X
IJLZSTO,X,O,X,X,X,X,X,O,X,X,O
IJLZSOT,X,O,X,X,X,X,X,X,X,X,O
IJLZOTS,X,O,X,X,X,X,X,O,X,X,X
IJLZOST,X,O,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,O,O,X,X,O,X,X,X,X,X
IJLOTZS,X,O,O,X,X,O,X,X,X,X,X
IJLOSTZ,X,O,O,X,X,O,X,X,X,X,X
IJLOSZT,X,O,O,X,X,X,X,X,X,X,O
IJLOZTS,X,O,O,X,X,O,X,O,X,X,X
IJLOZST,X,O,O,X,X,X,X,X,X,X,X
IJSTLZO,X,O,X,X,O,X,X,X,X,X,X
IJSTLOZ,X,O,X,X,X,X,X,X,X,X,X
IJSTZLO,X,O,X,X,O,X,X,X,X,X,X
IJSTZOL,X,O,X,X,O,X,X,X,X,X,X
IJSTOLZ,X,O,X,X,X,X,X,X,X,X,X
IJSTOZL,X,O,X,X,X,X,X,X,X,X,X
IJSLTZO,X,O,X,X,X,X,X,X,X,X,O
IJSLTOZ,X,O,X,X,X,X,X,X,X,X,X
IJSLZTO,X,O,X,X,X,X,X,O,X,X,O
IJSLZOT,X,O,X,X,X,X,X,X,X,X,O
IJSLOTZ,X,O,O,X,X,X,X,X,X,X,X
IJSLOZT,X,O,O,X,X,X,X,X,X,X,O
IJSZTLO,X,O,X,X,O,X,X,O,X,X,X
IJSZTOL,X,O,X,X,O,X,X,O,X,X,X
IJSZLTO,X,O,X,X,O,X,X,O,X,X,X
IJSZLOT,X,O,X,X,X,X,X,X,X,X,X
IJSZOTL,X,O,X,X,O,X,X,X,X,X,X
IJSZOLT,X,O,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,O,O,X,X,X,X,X,X,X,X
IJSOTZL,X,O,X,X,X,X,X,X,X,X,X
IJSOLTZ,X,O,O,X,X,X,X,X,X,X,X
IJSOLZT,X,O,O,X,X,X,X,X,X,X,X
IJSOZTL,X,O,X,X,X,X,X,X,X,X,X
IJSOZLT,X,O,O,X,X,X,X,X,X,X,X
IJZTLSO,X,O,X,X,O,X,X,O,X,X,X
IJZTLOS,X,O,X,X,O,X,X,O,X,X,X
IJZTSLO,X,O,X,X,O,X,X,O,X,X,X
IJZTSOL,X,O,X,X,O,X,X,O,X,X,X
IJZTOLS,X,O,X,X,O,X,X,O,X,X,X
IJZTOSL,X,O,X,X,O,X,X,O,X,X,X
IJZLTSO,X,O,X,X,O,X,X,O,X,X,X
IJZLTOS,X,O,X,X,O,X,X,O,X,X,X
IJZLSTO,X,O,X,X,O,X,X,O,X,X,O
IJZLSOT,X,O,X,X,X,X,X,X,X,X,O
IJZLOTS,X,O,X,X,X,X,X,O,X,X,X
IJZLOST,X,O,X,X,X,X,X,X,X,X,X
IJZSTLO,X,O,X,X,O,X,X,O,X,X,X
IJZSTOL,X,O,X,X,O,X,X,O,X,X,X
IJZSLTO,X,O,X,X,O,X,X,O,X,X,X
IJZSLOT,X,O,X,X,X,X,X,X,X,X,X
IJZSOTL,X,O,X,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,X,X,X,X
IJZOTLS,X,O,X,X,O,X,X,O,X,X,X
IJZOTSL,X,O,X,X,O,X,X,O,X,X,X
IJZOLTS,X,O,X,X,X,X,X,O,X,X,X
IJZOLST,X,O,X,X,X,X,X,X,X,X,X
IJZOSTL,X,O,X,X,O,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,X,X,X,X,X
IJOTLSZ,X,O,O,X,X,O,X,X,X,X,X
IJOTLZS,X,O,O,X,X,O,X,X,X,X,X
IJOTSLZ,X,O,O,X,X,O,X,X,X,X,X
IJOTSZL,X,O,O,X,X,X,X,X,X,X,X
IJOTZLS,X,O,O,X,X,O,X,X,X,X,X
IJOTZSL,X,O,O,X,X,X,X,X,X,X,X
IJOLTSZ,X,O,O,X,X,O,X,X,X,X,X
IJOLTZS,X,O,O,X,X,O,X,X,X,X,X
IJOLSTZ,X,O,O,X,X,O,X,X,X,X,X
IJOLSZT,X,O,O,X,X,X,X,X,X,X,O
IJOLZTS,X,O,O,X,X,O,X,O,X,X,X
IJOLZST,X,O,O,X,X,X,X,X,X,X,X
IJOSTLZ,X,O,O,X,X,O,X,X,X,X,X
IJOSTZL,X,O,O,X,X,X,X,X,X,X,X
IJOSLTZ,X,O,O,X,X,O,X,X,X,X,X
IJOSLZT,X,O,O,X,X,X,X,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,X,X,X,X,X
IJOZTLS,X,O,O,X,X,O,X,O,X,X,X
IJOZTSL,X,O,O,X,X,X,X,O,X,X,X
IJOZLTS,X,O,O,X,X,O,X,O,X,X,X
IJOZLST,X,O,O,X,X,X,X,X,X,X,X
IJOZSTL,X,O,X,X,X,X,X,X,X,X,X
IJOZSLT,X,O,O,X,X,X,X,X,X,X,X
ISTLJZO,O,O,X,X,O,X,X,X,X,X,X
ISTLJOZ,O,O,X,X,X,X,X,X,X,X,X
ISTLZJO,O,O,X,X,O,X,O,X,X,X,X
ISTLZOJ,O,X,X,X,O,X,X,X,X,X,X
ISTLOJZ,O,O,X,X,X,X,X,X,X,X,X
ISTLOZJ,O,X,X,X,O,X,X,X,X,X,X
ISTJLZO,O,O,X,X,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,X,X,X,X,X,X
ISTJZLO,O,O,X,X,O,X,X,X,X,X,X
ISTJZOL,O,O,X,X,O,X,X,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X,X,X,X
ISTJOZL,O,O,X,X,X,X,X,X,X,X,X
ISTZLJO,O,X,X,X,O,X,O,X,X,X,X
ISTZLOJ,O,X,X,X,O,X,X,X,X,X,X
ISTZJLO,O,X,X,X,O,X,O,X,X,X,X
ISTZJOL,O,X,X,X,O,X,O,X,X,X,X
ISTZOLJ,O,X,X,X,O,X,X,X,X,X,X
ISTZOJL,X,X,X,X,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,O,X,X,O,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X,X,X,X,X,X
ISTOZJL,X,X,X,X,O,X,X,X,X,X,X
ISLTJZO,O,O,X,X,O,X,X,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,X,X,X,X
ISLTZJO,O,O,X,X,O,X,X,X,X,X,X
ISLTZOJ,O,X,X,X,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,O,X,X,X,O,X,X,X,X,X,X
ISLJTZO,O,O,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,X,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,O,X,X,X,X,X,X
ISLZJTO,O,O,X,X,O,X,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,O,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X,X,X,X
ISJTLZO,O,O,X,X,O,X,X,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,X,X,X,X
ISJTZLO,O,O,X,X,O,X,X,X,X,X,X
ISJTZOL,X,O,X,X,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X,X
ISJTOZL,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,O,O,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,X,X,X,X
ISJLZTO,O,O,X,X,X,X,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,O,X,X,X,X,X,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,X,O,X,X,X,X,X,X
ISJZTOL,X,O,X,X,O,X,X,X,X,X,X
ISJZLTO,O,O,X,X,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,X,X,X,X,X
ISJZOTL,X,O,X,X,O,X,X,X,X,X,X
ISJZOLT,O,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,X,X,X
ISJOTZL,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,O,O,X,X,X,X,X,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X,X,X,X
ISJOZTL,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,X,O,X,O,X,X,X,X
ISZTLOJ,O,X,X,X,O,X,X,X,X,O,X
ISZTJLO,O,X,X,X,O,X,O,X,X,X,X
ISZTJOL,O,X,X,X,O,X,O,X,X,O,X
ISZTOLJ,O,X,X,X,O,X,X,X,X,O,X
ISZTOJL,X,X,X,X,O,X,X,X,X,O,X
ISZLTJO,O,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,O,X,X,X,X,X,X
ISZLJTO,O,X,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X,O,X
ISZLOJT,O,X,X,X,X,X,X,X,X,O,X
ISZJTLO,O,X,X,X,O,X,O,X,X,X,X
ISZJTOL,X,X,X,X,O,X,O,X,X,X,X
ISZJLTO,O,X,X,X,O,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,O,X,O,X,X,O,X
ISZJOLT,O,X,X,X,X,X,X,X,X,O,X
ISZOTLJ,X,X,X,X,O,X,X,X,X,O,X
ISZOTJL,X,X,X,X,O,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,X,X,X,X,O,X
ISZOLJT,O,X,X,X,X,X,X,X,X,O,X
ISZOJTL,X,X,X,X,O,X,X,X,X,O,X
ISZOJLT,X,X,X,X,X,X,X,X,X,O,X
ISOTLJZ,X,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,O,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X,X,X,X,X,X
ISOTZJL,X,X,X,X,O,X,X,X,X,X,X
ISOLTJZ,X,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,X,X,X,X,X,X,X
ISOJTZL,X,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,O,X,X,X,X,X,X,X,X,X
ISOJLZT,X,O,X,X,X,X,X,X,X,X,X
ISOJZTL,X,O,X,X,X,X,X,X,X,X,X
ISOJZLT,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,O,X,X,X,X,O,X
ISOZTJL,X,X,X,X,O,X,X,X,X,O,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,O,X
ISOZLJT,X,X,X,X,X,X,X,X,X,O,X
ISOZJTL,X,X,X,X,O,X,X,X,X,O,X
ISOZJLT,X,X,X,X,X,X,X,X,X,O,X
IZTLJSO,O,O,X,X,O,X,O,O,X,X,X
IZTLJOS,O,O,X,O,O,X,O,O,X,X,X
IZTLSJO,X,O,X,X,O,X,O,O,O,X,X
IZTLSOJ,O,X,X,O,O,X,X,X,O,O,X
IZTLOJS,O,X,X,O,O,X,X,O,X,X,X
IZTLOSJ,O,X,X,O,O,X,X,X,O,O,X
IZTJLSO,O,O,X,X,O,X,O,O,X,X,X
IZTJLOS,O,O,X,X,O,X,O,O,X,X,X
IZTJSLO,O,O,X,X,O,X,O,O,X,X,X
IZTJSOL,X,O,X,X,O,X,O,O,X,O,X
IZTJOLS,O,O,X,O,O,X,O,O,X,X,X
IZTJOSL,X,O,X,O,O,X,O,O,X,O,X
IZTSLJO,X,X,X,X,O,X,O,X,X,X,X
IZTSLOJ,O,X,X,X,O,X,X,X,X,O,X
IZTSJLO,X,X,X,X,O,X,O,O,X,X,X
IZTSJOL,X,X,X,X,O,X,O,O,X,O,X
IZTSOLJ,X,X,X,X,O,X,X,X,X,O,X
IZTSOJL,X,X,X,O,O,X,X,X,X,O,X
IZTOLJS,O,O,X,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,X,O,O,X,X,X,O,O,X
IZTOJLS,X,O,X,O,O,X,X,O,X,X,X
IZTOJSL,X,O,X,O,O,X,X,O,X,O,X
IZTOSLJ,X,X,X,X,O,X,X,X,X,O,X
IZTOSJL,X,X,X,O,O,X,X,X,X,O,X
IZLTJSO,O,O,X,X,O,X,X,O,X,X,X
IZLTJOS,O,O,X,O,O,X,X,O,X,X,X
IZLTSJO,X,O,X,X,O,X,X,O,O,X,X
IZLTSOJ,O,X,X,O,O,X,X,X,O,X,X
IZLTOJS,O,X,X,O,O,X,X,O,X,X,X
IZLTOSJ,O,X,X,O,O,X,X,X,O,X,X
IZLJTSO,X,O,X,X,O,X,X,O,X,X,X
IZLJTOS,X,O,X,O,O,X,X,O,X,X,X
IZLJSTO,X,O,X,X,O,X,X,O,X,X,X
IZLJSOT,X,O,X,X,X,X,X,X,X,X,X
IZLJOTS,O,O,X,O,X,X,X,O,X,X,X
IZLJOST,O,O,X,O,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,O,X,X,O,O,X,X
IZLSTOJ,O,X,X,O,O,X,X,X,O,X,X
IZLSJTO,O,O,X,X,O,X,X,O,O,X,X
IZLSJOT,O,O,X,X,X,X,X,X,O,X,X
IZLSOTJ,O,X,X,O,X,X,X,X,O,O,X
IZLSOJT,O,X,X,O,X,X,X,X,O,O,X
IZLOTJS,O,X,X,O,X,X,X,O,X,X,X
IZLOTSJ,O,X,X,O,X,X,X,X,O,X,X
IZLOJTS,O,X,X,O,X,X,X,O,X,X,X
IZLOJST,O,X,X,O,X,X,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,X,O,O,X
IZLOSJT,O,X,X,O,X,X,X,X,O,O,X
IZJTLSO,X,O,X,X,O,X,O,O,X,X,X
IZJTLOS,X,O,X,X,O,X,O,O,X,X,X
IZJTSLO,X,O,X,X,O,X,O,O,X,X,X
IZJTSOL,X,O,X,X,O,X,O,O,X,X,X
IZJTOLS,X,O,X,O,O,X,O,O,X,X,X
IZJTOSL,X,O,X,O,O,X,O,O,X,X,X
IZJLTSO,X,O,X,X,O,X,X,O,X,X,X
IZJLTOS,X,O,X,O,O,X,X,O,X,X,X
IZJLSTO,X,O,X,X,O,X,X,O,X,X,X
IZJLSOT,X,O,X,X,X,X,X,X,X,X,X
IZJLOTS,O,O,X,O,X,X,X,O,X,X,X
IZJLOST,O,O,X,O,X,X,X,X,X,X,X
IZJSTLO,X,O,X,X,O,X,O,O,X,X,X
IZJSTOL,X,O,X,X,O,X,O,O,X,X,X
IZJSLTO,X,O,X,X,O,X,X,O,X,X,X
IZJSLOT,X,O,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,O,X,O,X,X,O,X
IZJSOLT,X,O,X,X,X,X,X,X,X,O,X
IZJOTLS,X,O,X,O,O,X,O,O,X,X,X
IZJOTSL,X,O,X,O,O,X,O,O,X,X,X
IZJOLTS,X,O,X,O,X,X,X,O,X,X,X
IZJOLST,X,O,X,O,X,X,X,X,X,X,X
IZJOSTL,X,O,X,O,O,X,O,X,X,O,X
IZJOSLT,X,O,X,O,X,X,X,X,X,O,X
IZSTLJO,O,X,X,X,O,X,O,X,X,X,X
IZSTLOJ,O,X,X,X,O,X,X,X,X,O,X
IZSTJLO,O,X,X,X,O,X,O,O,X,X,X
IZSTJOL,O,X,X,X,O,X,O,O,X,O,X
IZSTOLJ,O,X,X,X,O,X,X,X,X,O,X
IZSTOJL,X,X,X,O,O,X,X,X,X,O,X
IZSLTJO,O,X,X,X,O,X,X,O,X,X,X
IZSLTOJ,O,X,X,O,O,X,X,X,X,X,X
IZSLJTO,O,X,X,X,O,X,X,O,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,O,X
IZSLOJT,O,X,X,O,X,X,X,X,X,O,X
IZSJTLO,O,X,X,X,O,X,O,O,X,X,X
IZSJTOL,X,X,X,X,O,X,O,O,X,X,X
IZSJLTO,O,X,X,X,O,X,X,O,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,O,X,O,X,X,O,X
IZSJOLT,O,X,X,X,X,X,X,X,X,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,O,X
IZSOTJL,X,X,X,O,O,X,X,X,X,O,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,O,X
IZSOLJT,O,X,X,O,X,X,X,X,X,O,X
