sequence,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBSjB8mBziB+t?BlsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBciBTeBWsBFo?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mB/oBTn?BVyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF8iB+jBlhB/sBCn?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mBVoB/s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBFeBTiBcoBWs?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFFdBXeB0hBSoBGs?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBCtBct?BGtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFGdBlhB6oBXnB8s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFXeBSoBUnBlmBTt?BGsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBGtBct?BCtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFlhBcnBTjBCnBGt?BXtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF+jBlhB3iBzmBCt?BUtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cB+jBliBzmBCt?BUtB
TISJZOL,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TISJOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TISZLJO,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TISZJOL,O,X,O,X,O,X,X,X,O,X,X,O,X,X
TISZOLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISZOJL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TISOLJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TISOZLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TISOZJL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIZLJSO,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZLSJO,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZJSLO,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,O,X,O,X,X,O,X,X
TIZJOLS,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZJOSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TIZSLJO,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,O,X,O,X,X,O,X,X
TIZSOLJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TIZSOJL,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIZOJLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X
TIZOJSL,X,X,O,O,X,X,O,X,X,X,X,O,X,X
TIZOSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TIOLJZS,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TIOLZJS,X,X,O,X,X,X,O,O,X,O,X,X,X,X
TIOLZSJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIOJZLS,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIOJZSL,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TIOSLJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIOSZLJ,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIOSZJL,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOZLSJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X
TIOZJLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X
TIOZJSL,X,X,O,O,X,X,O,X,X,X,X,O,X,X
TIOZSLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIOZSJL,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TLIJSZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
TLIJSOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLIJZSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLIJZOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TLIJOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLISJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TLISJOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TLISZJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLISZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLISOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLIZJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLIZSJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIZOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLIOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLJISZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
TLJISOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJIZSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJIZOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TLJIOZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLJSIZO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
TLJSIOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJSZIO,X,O,O,X,X,O,X,X,O,X,X,X,O,X
TLJSZOI,X,O,O,X,X,O,X,X,O,X,X,X,O,X
TLJSOIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJSOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJZISO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJZIOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJZSOI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLJZOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TLJOIZS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLJOSIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TLJOSZI,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TLJOZIS,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLJOZSI,X,O,O,X,X,O,X,X,X,X,X,X,X,O
TLSIJZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TLSIJOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TLSIZJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSIOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSJIZO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TLSJIOZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TLSJZIO,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TLSJZOI,X,O,O,X,O,O,X,X,O,X,X,X,O,X
TLSJOIZ,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TLSJOZI,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TLSZIJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSZIOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSZJIO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSZJOI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSZOIJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
TLSZOJI,X,O,O,X,O,X,X,X,O,X,X,X,X,X
TLSOIJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZJI,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLZIJOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLZISJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZISOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZIOJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLZJIOS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLZJSIO,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLZJSOI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TLZJOIS,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLZJOSI,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TLZSIJO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSJOI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZSOJI,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOISJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLOIJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOISZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOJISZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLOJIZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLOJSZI,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLOJZIS,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOSJIZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOZISJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOZJSI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLOZSIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TLOZSJI,X,O,O,X,O,X,X,O,X,X,X,X,X,X
TJILSZO,O,O,O,X,X,O,O,X,O,X,X,X,O,X
TJILSOZ,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TJILZSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TJILZOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TJILOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TJILOZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJISLOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJISOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJISOZL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJIZSLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TJIZSOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TJIZOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJIZOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOLZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TJIOZLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
TJIOZSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TJLISZO,O,O,O,X,X,O,O,X,O,X,X,X,O,X
TJLISOZ,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLIZSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLIZOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TJLIOZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,O,O,O,X,X,O,O,X,O,X,X,X,O,X
TJLSIOZ,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLSZIO,O,O,O,X,X,O,O,X,O,X,X,X,O,X
TJLSZOI,O,O,O,X,X,O,O,X,O,X,X,X,O,X
TJLSOIZ,X,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLSOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TJLZISO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLZIOS,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLZSOI,O,O,O,X,X,O,O,X,X,X,X,X,O,X
TJLZOIS,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TJLOISZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TJLOIZS,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TJLOSZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X
TJLOZIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJLOZSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJSILOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSIOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOZL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJSLIZO,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJSLZOI,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSLOZI,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TJSOILZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJSOLIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSOLZI,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSOZIL,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJSOZLI,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJZILSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZISLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TJZISOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TJZIOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZIOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZLISO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZLSIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZLOIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZLOSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZSILO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TJZSIOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TJZSLIO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TJZSLOI,O,O,X,X,X,X,O,X,O,X,X,X,X,X
TJZSOIL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TJZSOLI,O,O,X,X,X,X,O,X,O,X,X,O,X,X
TJZOILS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZOISL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZOLIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZOLSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZOSIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
TJOILSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJOILZS,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TJOISLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJOISZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TJOIZLS,O,O,X,O,X,X,O,X,X,X,O,O,X,X
TJOIZSL,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TJOLISZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TJOLIZS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
TJOLSIZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TJOLSZI,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TJOLZIS,O,O,O,O,X,O,O,X,X,X,X,X,X,X
TJOLZSI,O,O,O,O,X,O,O,X,X,X,X,X,X,X
