sequence,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8JeO/IvhF8fBTcB?idB5jB3iBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhFTcBOiB?8iB5jB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Je2/IvhFicBzdB?5jBUiB3fBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei6IvhF2hBzdB?5jB3fBUiBlpB,v115@2gA8IeA8HeD8BeA8DeF8AeA8AeH8Jei8IvhFzdB5jB?lfBUiB/pBmpB
TJLZOSI,X,X,O,X,X
TJLOISZ,X,X,X,O,X
TJLOIZS,X,X,O,X,X
TJLOSIZ,X,X,X,O,X
TJLOSZI,X,X,X,O,X
TJLOZIS,X,X,O,X,X
TJLOZSI,X,X,O,X,X
TJSILZO,O,O,O,O,X
TJSILOZ,O,O,X,O,X
TJSIZLO,O,O,O,O,X
TJSIZOL,O,O,O,O,X
TJSIOLZ,O,O,X,O,X
TJSIOZL,O,O,X,O,X
TJSLIZO,O,O,O,O,X
TJSLIOZ,O,O,X,O,X
TJSLZIO,O,O,O,O,X
TJSLZOI,O,O,O,O,X
TJSLOIZ,O,O,X,O,X
TJSLOZI,O,O,X,O,X
TJSZILO,O,O,O,O,X
TJSZIOL,O,O,O,O,X
TJSZLIO,O,O,O,O,X
TJSZLOI,O,O,O,O,X
TJSZOIL,O,O,O,O,X
TJSZOLI,O,O,O,O,X
TJSOILZ,O,O,X,O,X
TJSOIZL,O,O,X,O,X
TJSOLIZ,O,O,X,O,X
TJSOLZI,O,O,X,O,X
TJSOZIL,O,O,X,O,X
TJSOZLI,O,O,X,O,X
TJZILSO,O,O,O,X,X
TJZILOS,O,O,O,X,X
TJZISLO,O,O,O,O,X
TJZISOL,O,O,O,O,X
TJZIOLS,O,O,O,X,X
TJZIOSL,O,O,O,O,X
TJZLISO,O,O,O,X,X
TJZLIOS,O,O,O,X,X
TJZLSIO,O,O,O,X,X
TJZLSOI,O,O,O,X,X
TJZLOIS,O,O,O,X,X
TJZLOSI,O,O,O,X,X
TJZSILO,O,O,O,O,X
TJZSIOL,O,O,O,O,X
TJZSLIO,O,O,O,O,X
TJZSLOI,O,O,O,O,X
TJZSOIL,O,O,O,O,X
TJZSOLI,O,O,O,O,X
TJZOILS,O,O,O,X,X
TJZOISL,O,O,O,O,X
TJZOLIS,O,O,O,X,X
TJZOLSI,O,O,O,X,X
TJZOSIL,O,O,O,O,X
TJZOSLI,O,O,O,O,X
TJOILSZ,X,X,X,O,X
TJOILZS,X,X,O,X,X
TJOISLZ,O,O,X,O,X
TJOISZL,O,O,X,O,X
TJOIZLS,O,O,O,X,X
TJOIZSL,O,O,O,O,X
TJOLISZ,X,X,X,O,X
TJOLIZS,X,X,O,X,X
TJOLSIZ,X,X,X,O,X
TJOLSZI,X,X,X,O,X
TJOLZIS,X,X,O,X,X
TJOLZSI,X,X,O,X,X
TJOSILZ,O,O,X,O,X
TJOSIZL,O,O,X,O,X
TJOSLIZ,O,O,X,O,X
TJOSLZI,O,O,X,O,X
TJOSZIL,O,O,X,O,X
TJOSZLI,O,O,X,O,X
TJOZILS,O,O,O,X,X
TJOZISL,O,O,O,O,X
TJOZLIS,O,O,O,X,X
TJOZLSI,O,O,O,X,X
TJOZSIL,O,O,O,O,X
TJOZSLI,O,O,O,O,X
TSILJZO,O,O,O,O,O
TSILJOZ,O,O,X,O,X
TSILZJO,O,O,O,O,O
TSILZOJ,O,O,O,O,O
TSILOJZ,O,O,X,O,X
TSILOZJ,O,O,X,O,O
TSIJLZO,O,O,O,O,O
TSIJLOZ,O,O,X,O,X
TSIJZLO,O,O,O,O,O
TSIJZOL,O,O,O,O,O
TSIJOLZ,O,O,X,O,X
TSIJOZL,O,O,X,O,X
TSIZLJO,O,O,O,O,O
TSIZLOJ,O,O,O,O,O
TSIZJLO,O,O,O,O,O
TSIZJOL,O,O,O,O,O
TSIZOLJ,O,O,O,O,O
TSIZOJL,O,O,O,O,O
TSIOLJZ,O,O,X,O,X
TSIOLZJ,O,O,X,O,O
TSIOJLZ,O,O,X,O,X
TSIOJZL,O,O,X,O,X
TSIOZLJ,O,O,X,O,O
TSIOZJL,O,O,X,O,O
TSLIJZO,O,O,O,O,O
TSLIJOZ,O,O,X,O,X
TSLIZJO,O,O,O,O,O
TSLIZOJ,O,O,O,O,O
TSLIOJZ,O,O,X,O,X
TSLIOZJ,O,O,X,O,O
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,X,O,X
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,X,O,X
TSLJOZI,O,O,X,O,X
TSLZIJO,O,O,O,O,O
TSLZIOJ,O,O,O,O,O
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,X,O,X
TSLOIZJ,O,O,X,O,O
TSLOJIZ,O,O,X,O,X
TSLOJZI,O,O,X,O,X
TSLOZIJ,O,O,X,O,O
TSLOZJI,O,O,X,O,O
TSJILZO,O,O,O,O,O
TSJILOZ,O,O,X,O,X
TSJIZLO,O,O,O,O,O
TSJIZOL,O,O,O,O,O
TSJIOLZ,O,O,X,O,X
TSJIOZL,O,O,X,O,X
TSJLIZO,O,O,O,O,O
TSJLIOZ,O,O,X,O,X
TSJLZIO,O,O,O,O,O
TSJLZOI,O,O,O,O,O
TSJLOIZ,O,O,X,O,X
TSJLOZI,O,O,X,O,X
TSJZILO,O,O,O,O,O
