sequence,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhF6gBxcBzfB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFzaB+gBxcB/mBUi?BlqB,v115@7gB8GeC8HeD8DeG8AeF8Je06IvhFxbBXdB2kBzgBCn?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBCgB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeK/IvhFWgBxcB/mBUiBTg?BlqB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFxcBflBlgBUiBTm?B6qB,v115@7gB8GeC8HeD8DeG8AeF8Jem6IvhFFcBXdBTfBclBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhF/gBUcBFdBmkBxm?BCrB,v115@7gB8GeC8HeD8DeG8AeF8JeT6IvhFxbBXdBlgBmkB8q?BCsB,v115@7gB8GeC8HeD8DeG8AeF8JeO/IvhFXbBRhB6mBTiBFl?B8qB
TIJZLOS,O,O,X,X,X,X,X,O,X,X
TIJZSLO,O,X,O,O,X,X,O,O,X,X
TIJZSOL,O,X,O,O,X,X,O,O,X,X
TIJZOLS,O,X,O,X,X,X,O,O,X,X
TIJZOSL,X,X,O,X,X,O,O,O,X,X
TIJOLSZ,O,O,O,X,X,X,X,O,X,X
TIJOLZS,O,O,O,X,X,X,X,O,X,X
TIJOSLZ,O,X,O,X,X,X,X,O,X,X
TIJOSZL,O,X,O,X,X,X,X,O,X,X
TIJOZLS,O,X,O,X,X,X,X,O,X,X
TIJOZSL,X,X,O,X,X,X,X,O,X,X
TISLJZO,O,O,O,O,O,X,O,O,X,X
TISLJOZ,O,O,X,X,X,X,X,O,X,X
TISLZJO,O,O,X,O,O,X,O,O,X,X
TISLZOJ,O,O,X,O,O,X,O,O,X,X
TISLOJZ,O,O,O,X,X,X,X,O,X,X
TISLOZJ,O,O,X,X,X,X,O,O,X,X
TISJLZO,O,O,O,O,X,X,O,O,X,X
TISJLOZ,O,O,X,X,X,X,X,O,X,X
TISJZLO,O,O,O,O,X,X,O,O,X,X
TISJZOL,O,O,O,O,X,X,O,O,X,X
TISJOLZ,O,O,O,X,X,X,X,O,X,X
TISJOZL,O,X,O,X,X,X,X,O,X,X
TISZLJO,O,O,X,O,O,X,O,O,X,X
TISZLOJ,O,O,X,O,O,X,O,O,X,X
TISZJLO,O,O,O,O,O,X,O,X,X,X
TISZJOL,O,O,O,O,X,X,O,X,X,X
TISZOLJ,O,O,X,O,O,X,O,X,X,X
TISZOJL,O,O,O,O,X,X,O,X,X,X
TISOLJZ,O,O,O,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,O,X,X,X
TISOJLZ,O,O,O,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,O,X,X,X
TISOZLJ,O,X,X,X,X,X,O,X,X,X
TISOZJL,O,X,O,X,X,X,O,X,X,X
TIZLJSO,O,X,X,X,X,X,O,O,X,X
TIZLJOS,O,O,X,X,X,X,O,O,X,X
TIZLSJO,X,O,X,X,O,X,O,O,X,X
TIZLSOJ,X,O,X,X,O,X,O,O,X,X
TIZLOJS,O,X,X,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,O,O,X,X
TIZJLSO,O,X,X,X,X,X,O,O,X,X
TIZJLOS,O,O,X,X,X,X,X,O,X,X
TIZJSLO,O,X,X,O,X,X,O,O,X,X
TIZJSOL,O,X,X,O,X,X,O,O,X,X
TIZJOLS,O,X,X,X,X,X,O,O,X,X
TIZJOSL,X,X,X,X,X,O,O,O,X,X
TIZSLJO,O,O,X,O,O,X,O,O,X,X
TIZSLOJ,O,O,X,O,O,X,O,O,X,X
TIZSJLO,O,O,X,O,O,X,O,X,X,X
TIZSJOL,O,O,X,O,X,X,O,X,X,X
TIZSOLJ,O,O,X,O,O,X,O,X,X,X
TIZSOJL,O,O,X,O,X,X,O,X,X,X
TIZOLJS,O,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,O,O,X,X
TIZOJLS,O,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,X,O,O,X,X,X
TIZOSLJ,X,X,X,X,X,O,O,X,X,X
TIZOSJL,X,X,X,X,X,O,O,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,O,X,X
TIOLJZS,O,O,O,X,X,X,X,O,X,X
TIOLSJZ,O,O,O,X,X,X,X,O,X,X
TIOLSZJ,O,X,O,X,X,X,O,O,X,X
TIOLZJS,O,X,O,X,X,X,O,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,O,X,X
TIOJLSZ,O,O,O,X,X,X,X,O,X,X
TIOJLZS,O,O,O,X,X,X,X,O,X,X
TIOJSLZ,O,X,O,X,X,X,X,O,X,X
TIOJSZL,O,X,O,X,X,X,O,O,X,X
TIOJZLS,O,X,O,X,X,X,O,O,X,X
TIOJZSL,X,X,O,X,X,X,O,O,X,X
TIOSLJZ,O,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,O,X,X,X
TIOSJLZ,O,O,O,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,O,X,X,X
TIOSZJL,O,X,O,X,X,X,O,X,X,X
TIOZLJS,O,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,X,X,X,O,O,X,X
TIOZJLS,O,X,O,X,X,X,O,X,X,X
TIOZJSL,X,X,O,X,X,X,O,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,X,X
TLIJSZO,O,O,O,O,O,X,O,O,X,X
TLIJSOZ,O,O,O,X,X,X,X,O,X,X
TLIJZSO,O,X,O,X,X,X,O,O,X,X
TLIJZOS,O,O,O,X,X,X,O,O,X,X
TLIJOSZ,O,O,O,X,X,X,X,O,X,X
TLIJOZS,O,O,O,X,X,X,X,O,X,X
TLISJZO,O,O,O,O,O,X,O,O,X,X
TLISJOZ,O,O,O,X,X,X,X,O,X,X
TLISZJO,O,O,O,O,O,X,O,O,X,X
TLISZOJ,O,O,O,O,O,X,O,O,X,X
TLISOJZ,O,O,O,X,X,X,X,O,X,X
TLISOZJ,O,O,O,X,X,X,O,O,X,X
TLIZJSO,O,X,X,X,X,X,O,O,X,X
TLIZJOS,O,O,X,X,X,X,O,O,X,X
TLIZSJO,X,O,X,X,O,X,O,O,X,X
TLIZSOJ,X,O,X,X,O,X,O,O,X,X
TLIZOJS,O,X,X,X,X,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,O,X,X
TLIOJSZ,O,O,O,X,X,X,X,O,X,X
TLIOJZS,O,O,O,X,X,X,X,O,X,X
TLIOSJZ,O,O,O,X,X,X,X,O,X,X
TLIOSZJ,O,O,O,X,X,X,O,O,X,X
TLIOZJS,O,X,O,X,X,X,O,X,X,X
TLIOZSJ,X,X,O,X,X,X,O,O,X,X
TLJISZO,O,O,O,O,O,X,X,O,X,X
TLJISOZ,O,O,O,X,X,X,X,O,X,X
TLJIZSO,O,X,O,X,X,X,X,O,X,X
TLJIZOS,O,O,O,X,X,X,X,O,X,X
TLJIOSZ,O,O,O,X,X,X,X,O,X,X
TLJIOZS,O,O,O,X,X,X,X,O,X,X
TLJSIZO,O,O,O,O,O,X,X,O,X,X
TLJSIOZ,O,O,O,X,X,X,X,O,O,X
TLJSZIO,O,O,O,O,O,X,X,O,O,X
TLJSZOI,O,O,O,O,O,X,X,O,O,X
TLJSOIZ,O,O,O,X,X,X,X,O,O,X
TLJSOZI,O,O,O,O,O,X,X,O,O,X
TLJZISO,O,X,O,X,X,X,X,X,O,X
TLJZIOS,O,O,O,X,X,X,X,X,O,X
TLJZSIO,O,O,O,O,O,X,X,O,O,X
TLJZSOI,O,O,O,O,O,X,X,O,O,X
TLJZOIS,X,O,O,X,X,X,X,O,O,X
TLJZOSI,X,O,O,X,X,X,X,O,O,X
TLJOISZ,O,O,O,X,X,X,X,O,X,X
TLJOIZS,O,O,O,X,X,X,X,O,X,X
TLJOSIZ,O,O,O,X,X,X,X,O,O,X
TLJOSZI,O,O,O,O,O,X,X,O,O,X
TLJOZIS,O,O,O,X,X,X,X,O,O,X
TLJOZSI,O,O,O,X,X,X,X,O,O,X
TLSIJZO,O,O,O,O,O,X,O,O,X,X
TLSIJOZ,O,O,O,X,X,X,X,O,O,X
TLSIZJO,O,O,O,O,O,X,O,O,O,X
TLSIZOJ,O,O,O,O,O,X,O,O,O,X
TLSIOJZ,O,O,O,X,X,X,X,O,X,X
TLSIOZJ,O,O,O,X,X,X,O,O,X,X
TLSJIZO,O,O,O,O,O,X,O,O,X,X
TLSJIOZ,O,O,O,X,X,X,X,O,O,X
TLSJZIO,O,O,O,O,O,X,O,O,O,X
TLSJZOI,O,O,O,O,O,X,O,O,O,X
TLSJOIZ,O,O,O,X,X,X,X,O,O,X
TLSJOZI,O,O,O,O,O,X,X,O,O,X
TLSZIJO,O,O,O,O,O,X,O,O,O,X
TLSZIOJ,O,O,O,O,O,X,O,O,O,X
TLSZJIO,O,O,O,O,O,X,O,O,O,X
TLSZJOI,O,O,O,O,O,X,O,O,O,X
TLSZOIJ,O,O,O,O,O,X,O,X,O,X
TLSZOJI,O,O,O,O,O,X,O,O,O,X
TLSOIJZ,O,O,O,X,X,X,X,O,X,X
TLSOIZJ,O,O,O,X,X,X,O,O,X,X
TLSOJIZ,O,O,O,X,X,X,X,O,X,X
TLSOJZI,O,O,O,O,O,X,X,O,X,X
TLSOZIJ,O,O,O,O,O,X,O,X,X,X
TLSOZJI,O,O,O,O,O,X,O,O,X,X
TLZIJSO,O,X,X,X,X,X,O,O,O,X
TLZIJOS,O,O,X,X,X,X,X,O,O,X
TLZISJO,X,O,X,X,O,X,O,O,O,X
TLZISOJ,X,O,X,X,O,X,O,O,O,X
TLZIOJS,O,X,X,X,X,X,O,X,O,X
TLZIOSJ,X,X,X,X,X,X,O,O,O,X
TLZJISO,O,X,O,X,X,X,O,X,O,X
TLZJIOS,O,O,O,X,X,X,X,X,O,X
TLZJSIO,O,O,O,O,O,X,O,O,O,X
TLZJSOI,O,O,O,O,O,X,O,O,O,X
TLZJOIS,X,O,O,X,X,X,O,O,O,X
TLZJOSI,X,O,O,X,X,X,O,O,O,X
TLZSIJO,O,O,O,O,O,X,O,O,O,X
TLZSIOJ,O,O,O,O,O,X,O,O,O,X
TLZSJIO,O,O,O,O,O,X,O,O,O,X
TLZSJOI,O,O,O,O,O,X,O,O,O,X
TLZSOIJ,O,O,O,O,O,X,O,X,O,X
TLZSOJI,O,O,O,O,O,X,O,O,O,X
TLZOIJS,O,X,O,X,X,X,O,X,O,X
TLZOISJ,X,X,O,X,X,X,O,X,O,X
TLZOJIS,O,O,O,X,X,X,O,X,O,X
TLZOJSI,O,O,O,X,X,X,O,X,O,X
TLZOSIJ,O,O,O,X,X,X,O,X,O,X
TLZOSJI,O,O,O,X,X,X,O,X,O,X
TLOIJSZ,O,O,O,X,X,X,X,O,X,X
TLOIJZS,O,O,O,X,X,X,X,O,X,X
TLOISJZ,O,O,O,X,X,X,X,O,X,X
TLOISZJ,O,O,O,X,X,X,O,O,X,X
TLOIZJS,O,X,O,X,X,X,O,X,X,X
TLOIZSJ,X,X,O,X,X,X,O,O,X,X
TLOJISZ,O,O,O,X,X,X,X,O,X,X
TLOJIZS,O,O,O,X,X,X,X,O,X,X
TLOJSIZ,O,O,O,X,X,X,X,O,X,X
TLOJSZI,O,O,O,O,O,X,X,O,X,X
TLOJZIS,O,O,O,X,X,X,X,O,X,X
TLOJZSI,O,O,O,X,X,X,X,O,X,X
TLOSIJZ,O,O,O,X,X,X,X,O,X,X
TLOSIZJ,O,O,O,X,X,X,O,O,X,X
TLOSJIZ,O,O,O,X,X,X,X,O,X,X
TLOSJZI,O,O,O,O,O,X,X,O,X,X
TLOSZIJ,O,O,O,O,O,X,O,X,X,X
TLOSZJI,O,O,O,O,O,X,O,O,X,X
TLOZIJS,O,X,O,X,X,X,O,X,X,X
TLOZISJ,X,X,O,X,X,X,O,X,X,X
TLOZJIS,O,O,O,X,X,X,O,X,X,X
TLOZJSI,O,O,O,X,X,X,O,X,X,X
TLOZSIJ,O,O,O,X,X,X,O,X,X,X
TLOZSJI,O,O,O,X,X,X,O,X,X,X
TJILSZO,O,O,X,O,X,X,X,O,X,X
TJILSOZ,O,O,X,X,X,X,X,O,X,X
TJILZSO,O,X,X,X,X,X,X,O,X,X
TJILZOS,O,O,X,X,X,X,X,O,X,X
TJILOSZ,O,O,X,X,X,X,X,O,X,X
TJILOZS,O,O,X,X,X,X,X,O,X,X
TJISLZO,O,O,O,O,X,X,X,O,X,X
TJISLOZ,O,O,X,X,X,X,X,O,X,X
TJISZLO,O,O,O,O,X,X,X,O,X,X
TJISZOL,O,O,O,O,X,X,X,O,X,X
TJISOLZ,O,O,O,X,X,X,X,O,X,X
TJISOZL,O,X,O,X,X,X,X,O,X,X
TJIZLSO,O,X,O,X,X,X,X,O,X,X
TJIZLOS,O,O,X,X,X,X,X,O,X,X
TJIZSLO,O,X,O,O,X,X,X,O,X,X
TJIZSOL,O,X,O,O,X,X,X,O,X,X
TJIZOLS,O,X,O,X,X,X,X,O,X,X
TJIZOSL,X,X,O,X,X,O,X,O,X,X
TJIOLSZ,O,O,O,X,X,X,X,O,X,X
TJIOLZS,O,O,O,X,X,X,X,O,X,X
TJIOSLZ,O,X,O,X,X,X,X,O,X,X
TJIOSZL,O,X,O,X,X,X,X,O,X,X
TJIOZLS,O,X,O,X,X,X,X,O,X,X
TJIOZSL,X,X,O,X,X,X,X,O,X,X
TJLISZO,O,O,O,O,O,X,X,O,X,X
TJLISOZ,O,O,O,X,X,X,X,O,X,X
TJLIZSO,O,X,O,X,X,X,X,O,X,X
TJLIZOS,O,O,O,X,X,X,X,O,X,X
TJLIOSZ,O,O,O,X,X,X,X,O,X,X
TJLIOZS,O,O,O,X,X,X,X,O,X,X
TJLSIZO,O,O,O,O,O,X,X,O,X,X
TJLSIOZ,O,O,O,X,X,X,X,O,O,X
TJLSZIO,O,O,O,O,O,X,X,O,O,X
TJLSZOI,O,O,O,O,O,X,X,O,O,X
TJLSOIZ,O,O,O,X,X,X,X,O,O,X
TJLSOZI,O,O,O,O,O,X,X,O,O,X
TJLZISO,O,X,O,X,X,X,X,X,O,X
TJLZIOS,O,O,O,X,X,X,X,X,O,X
TJLZSIO,O,O,O,O,O,X,X,O,O,X
TJLZSOI,O,O,O,O,O,X,X,O,O,X
TJLZOIS,X,O,O,X,X,X,X,O,O,X
TJLZOSI,X,O,O,X,X,X,X,O,O,X
TJLOISZ,O,O,O,X,X,X,X,O,X,X
TJLOIZS,O,O,O,X,X,X,X,O,X,X
TJLOSIZ,O,O,O,X,X,X,X,O,O,X
TJLOSZI,O,O,O,O,O,X,X,O,O,X
TJLOZIS,O,O,O,X,X,X,X,O,O,X
TJLOZSI,O,O,O,X,X,X,X,O,O,X
TJSILZO,O,O,O,O,X,X,X,O,X,X
TJSILOZ,O,O,X,X,X,X,X,O,X,X
TJSIZLO,O,O,O,O,X,X,X,O,X,X
TJSIZOL,O,O,O,O,X,O,X,O,X,X
TJSIOLZ,O,O,O,X,X,X,X,O,O,X
TJSIOZL,O,X,O,X,X,X,X,O,O,X
TJSLIZO,O,O,O,O,O,X,X,O,X,X
TJSLIOZ,O,O,O,X,X,X,X,O,O,X
TJSLZIO,O,O,O,O,O,X,X,O,O,X
TJSLZOI,O,O,O,O,O,O,X,O,O,X
TJSLOIZ,O,O,O,X,X,X,X,O,O,X
TJSLOZI,O,O,O,O,O,X,X,O,O,X
TJSZILO,O,O,O,O,O,X,X,O,O,X
TJSZIOL,O,O,O,O,X,O,X,O,O,X
TJSZLIO,O,O,O,O,O,X,X,O,O,X
TJSZLOI,O,O,O,O,O,O,X,O,O,X
TJSZOIL,O,O,O,O,X,O,X,O,O,X
TJSZOLI,O,O,O,O,X,O,X,O,O,X
TJSOILZ,O,O,O,X,X,X,X,O,O,X
TJSOIZL,O,X,O,X,X,O,X,O,O,X
TJSOLIZ,O,O,O,X,X,X,X,O,O,X
TJSOLZI,O,O,O,O,X,O,X,O,O,X
TJSOZIL,O,O,O,O,X,O,X,O,O,X
TJSOZLI,O,O,O,O,X,O,X,O,O,X
TJZILSO,O,X,O,X,X,X,X,O,O,O
TJZILOS,O,O,X,X,X,X,X,O,O,X
TJZISLO,O,X,O,O,X,X,X,O,O,O
TJZISOL,O,X,O,O,X,X,X,O,O,O
TJZIOLS,O,X,O,X,X,X,X,O,O,X
TJZIOSL,X,X,O,X,X,O,X,O,O,O
TJZLISO,O,X,O,X,X,X,X,X,O,O
TJZLIOS,O,O,O,X,X,X,X,X,O,X
TJZLSIO,O,O,O,O,X,X,X,O,O,O
TJZLSOI,O,O,O,O,X,X,X,O,O,X
TJZLOIS,X,O,O,X,X,X,X,O,O,X
TJZLOSI,X,O,O,X,X,X,X,O,O,X
TJZSILO,O,O,O,O,X,X,X,O,O,O
TJZSIOL,O,O,O,O,X,O,X,O,O,O
TJZSLIO,O,O,O,O,X,X,X,O,O,O
TJZSLOI,O,O,O,O,X,O,X,O,O,X
TJZSOIL,O,O,O,O,X,O,X,O,O,O
TJZSOLI,O,O,O,O,X,O,X,O,O,X
TJZOILS,O,X,O,X,X,X,X,O,O,X
TJZOISL,X,X,O,X,X,O,X,O,O,O
TJZOLIS,O,X,O,X,X,X,X,O,O,X
TJZOLSI,O,X,O,X,X,X,X,O,O,X
TJZOSIL,O,X,O,X,X,O,X,O,O,O
TJZOSLI,O,X,O,X,X,O,X,O,O,X
TJOILSZ,O,O,O,X,X,X,X,O,X,X
TJOILZS,O,O,O,X,X,X,X,O,X,X
TJOISLZ,O,X,O,X,X,X,X,O,X,X
TJOISZL,O,X,O,X,X,X,X,O,X,X
TJOIZLS,O,X,O,X,X,X,X,O,X,X
TJOIZSL,X,X,O,X,X,X,X,O,X,X
TJOLISZ,O,O,O,X,X,X,X,O,X,X
TJOLIZS,O,O,O,X,X,X,X,O,X,X
TJOLSIZ,O,O,O,X,X,X,X,O,O,X
TJOLSZI,O,O,O,O,X,X,X,O,O,X
TJOLZIS,O,O,O,X,X,X,X,O,O,X
TJOLZSI,O,O,O,X,X,X,X,O,O,X
TJOSILZ,O,O,O,X,X,X,X,O,O,X
TJOSIZL,O,X,O,X,X,O,X,O,O,X
TJOSLIZ,O,O,O,X,X,X,X,O,O,X
TJOSLZI,O,O,O,O,X,O,X,O,O,X
TJOSZIL,O,O,O,O,X,O,X,O,O,X
TJOSZLI,O,O,O,O,X,O,X,O,O,X
TJOZILS,O,X,O,X,X,X,X,O,O,X
TJOZISL,X,X,O,X,X,O,X,O,O,X
TJOZLIS,O,X,O,X,X,X,X,O,O,X
TJOZLSI,O,X,O,X,X,X,X,O,O,X
TJOZSIL,O,X,O,X,X,O,X,O,O,X
TJOZSLI,O,X,O,X,X,O,X,O,O,X
TSILJZO,O,O,O,O,O,X,O,O,X,X
TSILJOZ,O,O,O,X,X,X,X,O,O,X
TSILZJO,O,O,O,O,O,X,O,O,O,X
TSILZOJ,O,O,O,O,O,X,O,O,O,X
TSILOJZ,O,O,O,X,X,X,X,O,X,X
TSILOZJ,O,O,O,X,X,X,O,O,X,X
TSIJLZO,O,O,O,O,X,X,O,O,X,X
TSIJLOZ,O,O,X,X,X,X,X,O,X,X
TSIJZLO,O,O,O,O,X,X,O,O,X,X
TSIJZOL,O,O,O,O,X,O,O,O,X,X
TSIJOLZ,O,O,O,X,X,X,X,O,O,X
TSIJOZL,O,X,O,X,X,X,X,O,O,X
TSIZLJO,O,O,X,O,O,X,O,O,O,X
TSIZLOJ,O,O,X,O,O,X,O,O,X,X
TSIZJLO,O,O,O,O,O,X,O,X,O,X
TSIZJOL,O,O,O,O,X,O,O,X,O,X
TSIZOLJ,O,O,X,O,O,X,O,X,X,X
TSIZOJL,O,O,O,O,X,X,O,X,O,X
TSIOLJZ,O,O,O,X,X,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,X,O,X,X,X
TSIOJLZ,O,O,O,X,X,X,X,X,X,X
TSIOJZL,O,X,O,X,X,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,X,O,X,X,X
TSIOZJL,O,X,O,X,X,X,O,X,X,X
TSLIJZO,O,O,O,O,O,X,O,O,X,X
TSLIJOZ,O,O,O,X,X,X,X,O,O,X
TSLIZJO,O,O,O,O,O,X,O,O,O,X
TSLIZOJ,O,O,O,O,O,X,O,O,O,X
TSLIOJZ,O,O,O,X,X,X,X,O,X,X
TSLIOZJ,O,O,O,X,X,X,O,O,X,X
TSLJIZO,O,O,O,O,O,X,O,O,X,X
TSLJIOZ,O,O,O,X,X,X,X,O,O,X
TSLJZIO,O,O,O,O,O,X,O,O,O,X
TSLJZOI,O,O,O,O,O,O,O,O,O,X
TSLJOIZ,O,O,O,X,X,X,X,O,O,X
TSLJOZI,O,O,O,O,O,X,X,O,O,X
TSLZIJO,O,O,O,O,O,X,O,O,O,X
TSLZIOJ,O,O,O,O,O,X,O,O,O,X
TSLZJIO,O,O,O,O,O,X,O,O,O,X
TSLZJOI,O,O,O,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,O,X,O,X,O,X
TSLZOJI,O,O,O,O,O,X,O,O,O,X
TSLOIJZ,O,O,O,X,X,X,X,O,X,X
TSLOIZJ,O,O,O,X,X,X,O,O,X,X
TSLOJIZ,O,O,O,X,X,X,X,O,X,X
TSLOJZI,O,O,O,O,O,X,X,O,X,X
TSLOZIJ,O,O,O,O,O,X,O,X,X,X
TSLOZJI,O,O,O,O,O,X,O,O,X,X
TSJILZO,O,O,O,O,X,X,O,O,X,X
TSJILOZ,O,O,X,X,X,X,X,O,X,X
TSJIZLO,O,O,O,O,X,X,O,O,X,X
TSJIZOL,O,O,O,O,X,O,O,O,X,X
TSJIOLZ,O,O,O,X,X,X,X,O,O,X
TSJIOZL,O,X,O,X,X,X,X,O,O,X
TSJLIZO,O,O,O,O,O,X,O,O,X,X
TSJLIOZ,O,O,O,X,X,X,X,O,O,X
TSJLZIO,O,O,O,O,O,X,O,O,O,X
TSJLZOI,O,O,O,O,O,O,O,O,O,X
TSJLOIZ,O,O,O,X,X,X,X,O,O,X
TSJLOZI,O,O,O,O,O,X,X,O,O,X
TSJZILO,O,O,O,O,O,X,X,O,O,X
TSJZIOL,O,O,O,O,X,O,O,O,O,X
TSJZLIO,O,O,O,O,O,X,X,O,O,X
TSJZLOI,O,O,O,O,O,O,O,O,O,X
TSJZOIL,O,O,O,O,X,O,O,O,O,X
TSJZOLI,O,O,O,O,X,O,O,O,O,X
TSJOILZ,O,O,O,X,X,X,X,O,O,X
TSJOIZL,O,X,O,X,X,O,X,O,O,X
TSJOLIZ,O,O,O,X,X,X,X,O,O,X
TSJOLZI,O,O,O,O,X,O,X,O,O,X
TSJOZIL,O,O,O,O,X,O,X,O,O,X
TSJOZLI,O,O,O,O,X,O,X,O,O,X
TSZILJO,O,O,X,O,O,X,O,X,O,X
TSZILOJ,O,O,X,O,O,X,O,X,X,X
TSZIJLO,O,O,O,O,O,X,O,X,O,X
TSZIJOL,O,O,O,O,X,O,O,X,O,X
TSZIOLJ,O,O,X,O,O,X,O,X,X,X
TSZIOJL,O,O,O,O,X,X,O,X,O,X
TSZLIJO,O,O,X,O,O,X,O,X,O,X
TSZLIOJ,O,O,X,O,O,X,O,X,X,X
TSZLJIO,O,O,X,O,O,X,O,X,O,X
TSZLJOI,O,O,X,O,O,O,O,X,O,X
TSZLOIJ,O,O,X,O,O,X,O,X,X,X
TSZLOJI,O,O,X,O,O,X,O,X,X,X
TSZJILO,O,O,O,O,O,X,O,X,O,X
TSZJIOL,O,O,O,O,X,O,O,X,O,X
TSZJLIO,O,O,O,O,O,X,O,X,O,X
TSZJLOI,O,O,O,O,O,O,O,X,O,X
TSZJOIL,O,O,O,O,X,O,O,X,O,X
TSZJOLI,O,O,O,O,X,O,O,X,O,X
TSZOILJ,O,O,X,O,O,O,O,X,X,X
TSZOIJL,O,O,O,O,X,O,O,X,O,X
TSZOLIJ,O,O,X,O,O,O,O,X,X,X
TSZOLJI,O,O,X,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,X,O,O,X,O,X
TSZOJLI,O,O,O,O,X,O,O,X,O,X
TSOILJZ,O,O,O,X,X,X,X,X,X,X
TSOILZJ,O,X,X,X,X,X,O,X,X,X
TSOIJLZ,O,O,O,X,X,X,X,X,X,X
TSOIJZL,O,X,O,X,X,O,O,X,X,X
TSOIZLJ,O,X,X,X,X,O,O,X,X,X
TSOIZJL,O,X,O,X,X,O,O,X,X,X
