sequence,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBGiBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBTeBlmBf?tB6tBGsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFCdBTeB/mBx?nBGtB0sB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFWiBTeB/mBx?nB0nBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFzcBGeB/mBx?nBCtBUtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiB/oBl?mBzsB6tB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Mel7IvhFGeB/mBRiBU?iB6tBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFxcBGiBTjBl?mBXoBSyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFumB3iB5oBi?hBFjBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFzdBumBlnBX?tB5oBirB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF+iBKjB3hB5?oBlmBzsB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSiBTjBxmBl?mBGtBXtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFSjB3hBxnBl?mBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mB/?nBGoBVyB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBF?iBusBTtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhFTjBxmB6mBG?tB/sBFtB,v115@zgB8HeC8GeD8FeE8AeA8CeG8Me07IvhF6jBRiB/mBl?nBTtBGsB
TILOZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJLSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJSLZO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIJZSLO,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TIJZOSL,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIJOLSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X
TIJOLZS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TIJOSLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TIJOZLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TIJOZSL,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TISLJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TISZOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOLJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TISOLZJ,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X
TISOJLZ,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOZLJ,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
TISOZJL,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZLJSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJLSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TIZJOSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIZSLJO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
TIZSOJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIZOLJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOJLS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOLSZJ,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOJLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TIOJSZL,X,X,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TIOJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOJZSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIOSZJL,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TIOZSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X
TLIJSZO,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJOZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIOSJZ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIOZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJISZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJISOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZJISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X
TLOIJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOISJZ,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOISZJ,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOIZJS,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJISZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLOZISJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOZJIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJILZOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJILOSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJISLZO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TJISZOL,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJISOLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJIZLOS,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJIZSLO,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJIZSOL,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TJIZOSL,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TJIOLSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X
TJIOLZS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TJIOSLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJIOSZL,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
TJIOZLS,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X
TJIOZSL,X,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TJLISZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZISO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
