sequence,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeaBJvhFWiBxdB?TgBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFRdBcjB?ylBzhB+nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFcjBmgB?CiB3gBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFRdBcjB?2lBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFGdBTeB?ylBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Jez7IvhFCdB2lB?xiBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8Je37IvhFqiBTeB?mhBxlBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBRdB?SjBzhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR9IvhFSjBTgB?mhBUhB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhFxdB2lB?0hBXjBTnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeSCJvhFTeBmgB?3gBRnBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeR8IvhFCeBTgB?2mBXjBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeG+IvhFxgBymB?ziB3gBUnBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBzcB?SjBRnB3nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JecAJvhFehBTeB?RnBfnB6nBFqB,v115@zgC8GeB8HeB8GeB8CeB8BeD8AeG8JeC8IvhF2lB0hB?xiBXjBTnBFqB
TIJLOSZ,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIJSLZO,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TIJSLOZ,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TIJSZLO,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
TIJSZOL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TIJSOZL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,O,X,O,O,O,X,X,O,X,X,X,O,O,O
TIJZLOS,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TIJZSLO,X,O,X,O,X,O,O,X,X,O,X,O,X,O,O,O
TIJZSOL,X,O,X,O,X,O,O,X,X,O,X,X,X,O,O,X
TIJZOLS,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TIJZOSL,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X
TIJOLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJOLZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TIJOSLZ,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TIJOSZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
TIJOZSL,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
TISLJZO,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TISLJOZ,O,X,X,O,O,O,O,X,O,O,O,O,X,X,X,X
TISLZJO,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X
TISLZOJ,O,X,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TISLOZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TISJLZO,O,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TISJLOZ,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TISJZLO,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
TISJZOL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TISJOLZ,O,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TISJOZL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X
TISZLOJ,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,X
TISZJOL,O,X,X,O,X,X,O,O,X,O,X,X,X,O,O,X
TISZOLJ,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TISOLJZ,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TISOLZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TISOJLZ,O,X,X,X,O,X,O,X,O,O,O,O,X,X,X,X
TISOJZL,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X
TISOZLJ,O,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
TISOZJL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZLJSO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,X
TIZLJOS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X
TIZLSJO,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
TIZLSOJ,O,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X
TIZLOJS,X,X,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TIZLOSJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,O
TIZJLOS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O
TIZJSLO,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,O
TIZJSOL,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TIZJOLS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O
TIZJOSL,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TIZSLJO,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X
TIZSLOJ,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
TIZSJLO,O,O,X,O,X,O,O,O,X,O,X,X,X,O,O,X
TIZSJOL,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TIZSOLJ,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZOLJS,O,X,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TIZOLSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,X
TIZOJSL,O,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X
TIZOSLJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
TIOLJZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TIOLSJZ,O,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
TIOLZJS,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TIOLZSJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X
TIOJLZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TIOJSLZ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
TIOJSZL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOJZLS,X,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O
TIOJZSL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TIOSLJZ,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
TIOSJLZ,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
TIOSJZL,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOSZJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TIOZLJS,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
TIOZLSJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X
TIOZJSL,O,X,X,X,X,X,O,O,X,X,X,O,X,O,O,X
TIOZSLJ,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TIOZSJL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TLIJSZO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TLIJZSO,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O
TLIJZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TLIJOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIJOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLISJZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X
TLISZJO,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TLISZOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLISOJZ,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TLISOZJ,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O,X
TLIZJOS,O,O,O,X,O,O,O,O,X,X,O,X,X,O,O,X
TLIZSJO,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X
TLIZSOJ,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TLIZOSJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIOJZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLIOSJZ,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X
TLIOSZJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,O,O,X,X,O,X,O,O,O,X
TLIOZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TLJISOZ,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X
TLJIZSO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TLJIZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TLJIOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJIOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJSIZO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TLJSIOZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJSZIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TLJSZOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLJSOIZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLJSOZI,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TLJZISO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O
TLJZIOS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TLJZSIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
TLJZSOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJZOIS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TLJZOSI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJOISZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJOIZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TLJOSIZ,X,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X
TLJOSZI,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TLJOZIS,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
TLJOZSI,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TLSIJZO,O,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TLSIJOZ,O,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X
TLSIZJO,O,O,X,O,O,X,O,O,X,O,X,X,X,O,X,X
TLSIZOJ,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X
TLSIOZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TLSJIZO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TLSJIOZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLSJZIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TLSJZOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TLSJOIZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TLSJOZI,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
TLSZIJO,O,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X
TLSZIOJ,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,O,X,O,X,O,X,O,X,X
TLSZJOI,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,O,O,X,X,O,O,O,X,O,X,X,X,X
TLSZOJI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
TLSOIJZ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X
TLSOIZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TLSOJIZ,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X
TLSOJZI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,O,O,X,X,O,X,X,X,X
TLSOZJI,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
TLZIJSO,O,O,O,X,O,O,O,O,X,X,X,X,X,O,O,X
TLZIJOS,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X
TLZISJO,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X
TLZISOJ,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TLZIOJS,X,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X
TLZIOSJ,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X
TLZJIOS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X
TLZJSIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X
TLZJSOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X
TLZJOSI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,O,X,O,X,O,X,X,X,O,X,X
TLZSIOJ,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,X
TLZSJOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,X,O,O,X,X,O,O,O,X,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLZOIJS,O,X,O,X,O,O,O,O,X,X,X,X,O,O,O,X
TLZOISJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,O,X,X,O,X,O,X,X,X,X,O,O,O,X
TLZOJSI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
TLOIJZS,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLOISJZ,O,O,X,X,O,X,O,X,O,X,O,O,O,X,X,X
TLOISZJ,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X
TLOIZJS,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,X
TLOIZSJ,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
TLOJIZS,X,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TLOJSIZ,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TLOJZSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X
TLOSIZJ,O,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X
TLOSJIZ,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X
TLOSJZI,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X
TLOZIJS,O,X,O,X,O,X,O,O,X,X,X,X,O,O,O,X
TLOZISJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,X,O,X,X,X,X,O,O,O,X
TLOZJSI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILSZO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TJILSOZ,X,O,X,X,O,O,O,X,X,O,O,O,X,X,X,X
TJILZSO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TJILZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TJILOSZ,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TJISLZO,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X
TJISLOZ,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TJISZLO,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
TJISZOL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJISOLZ,X,X,X,O,O,O,O,X,X,O,O,O,X,X,X,X
TJISOZL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TJIZLSO,X,O,O,X,O,O,O,X,X,O,X,X,X,O,O,O
TJIZLOS,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TJIZSLO,X,O,X,O,X,O,O,X,X,O,X,O,X,O,O,O
TJIZSOL,X,O,X,O,X,O,O,X,X,O,X,X,X,O,O,X
TJIZOLS,X,O,O,O,O,O,O,X,X,X,O,X,X,O,O,O
TJIZOSL,X,O,X,O,X,O,O,X,X,X,X,X,X,O,O,X
TJIOLSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJIOLZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TJIOSLZ,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TJIOSZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,O,O,O,O,O,X,X,X,O,X,X,X,O,O
TJIOZSL,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X
TJLISZO,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TJLISOZ,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X
TJLIZSO,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O
TJLIZOS,X,O,O,X,O,O,O,X,X,X,O,X,X,O,X,O
TJLIOSZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLIOZS,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLSIZO,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
TJLSIOZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLSZIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TJLSZOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLSOIZ,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X
TJLSOZI,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TJLZISO,O,O,O,X,X,O,X,O,X,O,X,X,X,O,X,O
TJLZIOS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TJLZSIO,O,O,O,O,X,O,X,O,X,O,X,X,X,O,X,O
TJLZSOI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TJLZOIS,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TJLZOSI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TJLOISZ,X,O,X,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLOIZS,X,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X
TJLOSIZ,X,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X
TJLOSZI,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJLOZIS,X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,O
TJLOZSI,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
TJSILZO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TJSILOZ,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TJSIZLO,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O
TJSIZOL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSIOLZ,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TJSIOZL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
TJSLIOZ,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TJSLZIO,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TJSLZOI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TJSLOIZ,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TJSLOZI,O,O,X,O,X,X,X,O,O,O,X,O,X,X,X,X
TJSZILO,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,O
TJSZIOL,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
