sequence,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Je2AJvhFRcBCeB?UiBTjBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFxdBihB?GjBFnB8sBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex8IvhFTeBmgB?CiB/sBFoB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex8IvhFXeBmgB?zhBSoBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFyhBFeB?5nBcoBmmBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex7IvhFXdB6jB?2mBziBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jei7IvhF+hBxdB?liBcoB/sBzqB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFxcB6jB?liBmmB8sBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhF6hBxdB?liBcoB/sBerB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFxcB8iB?+jBymBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeyAJvhFGdBTeB?3hBxnBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhF6jB2mB?RiB0iBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex7IvhFidB+jB?ThB3iBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT7IvhFyhBGeB?UjBxmBlsBXrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Je2AJvhFFeBanB?5nBcoB3mBzqB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeT+IvhFxgBOnB?XoBcrB6sBlqB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeZCJvhFThBCoB?coB/qBusBFrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex7IvhFFeBThB?SoB2sB/sB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jex8IvhF6jBmgB?fnBznBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8Jei9IvhF+jBxgB?3iBThBlsB0qB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeTBJvhFxnBKnB?coB/qBusBFrB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeyAJvhFTeBxmB?XoBFnB0qBGsB,v115@zgB8HeB8HeD8FeF8CeD8BeB8AeB8JeyAJvhFTjBxmB?FnBXoB0qBGsB
TIJLSOZ,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TIJLZSO,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJSLOZ,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TIJSZLO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJSZOL,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TIJSOZL,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIJZSOL,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TISLZJO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISJZOL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISZJLO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISZOJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZJSOL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJOL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOLJZS,O,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TIOLZJS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X
TIOLZSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O
TIOJLSZ,O,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O
TIOJLZS,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOSLZJ,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TIOSJLZ,O,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TIOZJLS,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLIJSOZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLIJZSO,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLISZJO,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLISOJZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLISOZJ,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLIOJZS,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSZJ,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLIOZJS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TLJISZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJISOZ,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLJIZSO,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSIOZ,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLJSZIO,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJSZOI,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
TLJSOZI,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLJOIZS,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLJOSZI,O,X,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X
TLJOZIS,O,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
TLJOZSI,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSIJZO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIZJO,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOJZ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSIOZJ,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSJIZO,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSOIZJ,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLSOJIZ,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZISOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZIOJS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,X,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
