sequence,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFqh?BTdBejB5jB3gBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFGe?BTgBCiB/oBUiBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFqh?BTdBejB5jBUgBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFqh?B2iB5jB3gBziBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFuh?B1iB6jBTgB/sBUtB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFqh?B2iB5jBUgBziBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFRd?BSjBzhB3gBGoBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFuh?BajB5jBTiBUgBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8Je37IvhFRd?BSjBzhBUgBGoBlsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhF6j?BTgBfnBUoBlnBGsB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFuh?BTgB0iB6oB/sBFtB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeU7IvhFzc?B5jBaoB3gBFnBusB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFFd?B6jBTgBfnBUoBusB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeaAJvhFug?BFdB5jBfnBznB8sB,v115@zgA8IeB8BeA8EeB8BeA8EeF8DeG8AeB8JeR7IvhFFd?B8iB+jBTgBfnBCtB
TIJLSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TIJLZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TIJLOZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
TIJSLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,O,X,O,O,X,O,O,X,X,X,X,O,X
TIJSZLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X
TIJSOZL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TIJZLSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TIJZSLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJZOLS,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIJZOSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,O,O,O,X,X,X,X,O,X
TIJOLZS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
TIJOSLZ,O,X,O,X,X,X,O,O,O,X,X,X,X,O,X
TIJOSZL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
TIJOZSL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISLJZO,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O
TISLJOZ,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X
TISLZJO,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X
TISLZOJ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
TISLOJZ,X,O,O,X,O,O,X,O,X,X,X,X,X,O,X
TISLOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TISJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TISJZLO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TISJZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISJOLZ,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X
TISJOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TISZLJO,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X
TISZLOJ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
TISZJLO,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TISZJOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X
TISZOJL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISOLJZ,X,O,O,X,O,O,X,O,X,X,X,X,X,O,X
TISOLZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TISOJLZ,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X
TISOJZL,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TISOZLJ,X,O,X,X,O,X,X,O,X,X,X,O,O,X,X
TISOZJL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZLJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TIZLSOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TIZLOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIZJLSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TIZJSLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZJOLS,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZSLJO,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TIZSLOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSJOL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TIZSOJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIZOJLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIZOJSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIZOSJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TIOLJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TIOLSJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TIOLSZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOLZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOJLSZ,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
TIOJLZS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
TIOJSLZ,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
TIOJSZL,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TIOJZLS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
TIOJZSL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIOSLJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TIOSLZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOSJLZ,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X
TIOSJZL,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOSZJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOZJLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
TIOZJSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIOZSJL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLIJSOZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLIJZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLIJZOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TLIJOZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TLISJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLISJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLISZJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLISOJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLISOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIZJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLIZSJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIZOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIOJSZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLIOJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TLIOSJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLIOSZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLIOZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLJISZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLJISOZ,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TLJIZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLJIZOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLJIOSZ,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TLJIOZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
TLJSIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLJSIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TLJSZIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLJSZOI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,O
TLJSOIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TLJSOZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O
TLJZISO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLJZIOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLJZSIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLJZSOI,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
TLJZOIS,O,X,O,O,X,X,O,X,O,X,X,O,X,X,O
TLJZOSI,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O
TLJOISZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TLJOIZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
TLJOSIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TLJOSZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O
TLJOZIS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
TLJOZSI,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
TLSIJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLSIJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLSIZJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLSIOJZ,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TLSIOZJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLSJIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLSJIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TLSJZIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O
TLSJZOI,O,O,O,X,X,X,X,X,O,X,O,X,X,X,O
TLSJOIZ,O,O,O,X,X,O,X,O,O,X,O,X,X,O,O
TLSJOZI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
TLSZIJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLSZJIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLSZOIJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TLSZOJI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
TLSOIJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
TLSOIZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TLSOJIZ,O,O,O,X,X,O,X,O,O,X,O,X,X,O,O
TLSOJZI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
TLSOZIJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TLSOZJI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
TLZIJSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLZISJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZIOJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZJISO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZJSIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TLZJOSI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZSJIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZSOJI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZOIJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLZOISJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZOJIS,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
TLZOJSI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLZOSJI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,X,O,X,O,X,X,O,X,X,O,O
TLOIJZS,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O
TLOISJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
TLOISZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TLOIZJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLOJISZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TLOJIZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
TLOJSIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,O
TLOJSZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O
TLOJZIS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,O
TLOJZSI,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O
TLOSIJZ,X,O,O,X,X,O,X,O,X,X,O,X,X,O,O
TLOSIZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TLOSJIZ,O,O,O,X,X,O,X,O,O,X,O,X,X,O,O
TLOSJZI,O,O,O,X,X,X,X,O,O,X,O,X,X,X,O
TLOSZIJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X
TLOSZJI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
TLOZIJS,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X
TLOZISJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLOZJIS,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X
TLOZJSI,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLOZSIJ,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TLOZSJI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJILSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TJILZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJILZOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TJILOSZ,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TJILOZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
TJISLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,O,X,O,O,X,O,O,X,X,X,X,O,X
TJISZLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJISOLZ,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X
TJISOZL,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TJIZLSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TJIZSLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJIZOLS,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TJIZOSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,X,O,O,O,X,X,X,X,O,X
TJIOLZS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
TJIOSLZ,O,X,O,X,X,X,O,O,O,X,X,X,X,O,X
TJIOSZL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJIOZLS,O,X,O,X,X,X,O,O,O,X,X,O,X,X,X
TJIOZSL,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TJLISZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,X,X,O,X,O,O,X,X,X,X,O,X
TJLIZSO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TJLIOSZ,O,X,O,X,X,O,O,O,O,X,X,X,X,O,X
TJLIOZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
TJLSIZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X
TJLSZIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TJLSOIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
TJLSOZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TJLZISO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TJLZSIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLZOIS,O,X,O,O,X,X,O,X,O,X,X,O,X,X,X
TJLZOSI,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TJLOISZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
TJLOIZS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
TJLOSIZ,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X
TJLOSZI,O,O,O,X,X,X,O,O,O,X,O,X,X,X,X
TJLOZIS,O,X,O,O,X,X,O,O,O,X,X,O,X,X,X
TJLOZSI,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TJSILZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TJSIZLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X
TJSIOZL,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X
TJSLIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X
TJSLZIO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TJSLOIZ,O,O,O,X,O,O,O,O,O,X,O,X,X,O,X
TJSLOZI,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X
TJSZILO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJSZLIO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TJSZOIL,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X
TJSZOLI,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X
TJSOILZ,O,O,O,X,O,X,O,O,O,X,O,X,X,O,X
TJSOIZL,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X
TJSOLIZ,O,O,O,X,O,X,O,O,O,X,O,X,X,O,X
TJSOLZI,O,O,O,X,O,X,O,O,O,X,O,X,X,X,X
TJSOZIL,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X
TJSOZLI,O,O,X,X,O,X,O,O,O,X,O,X,X,X,X
TJZILSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJZILOS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
TJZISLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZISOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJZIOLS,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
TJZIOSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
