sequence,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je38IvhFuiB9jBZnBC?mB8sBTrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je38IvhFciB6jBdoBz?lBWsBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhF6iBTeBdnBW?rBXoBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeU9IvhF9jBThB3iBW?rBysBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeR9IvhF9jBmhBfoBS?rBTsBUrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeT9IvhF6jBeoBfrBx?mBUsB9rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFyiB+jBzlB0?nBXnBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeR9IvhF9jBThBfrBi?nB0nBWxB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeG+IvhFxhBNoBfrB0?mB6sBzrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je38IvhFTeBGmBxnBU?rBisB9sB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeX+IvhFzhBcoBRrBS?xBdrBGsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeT9IvhF6jBfrBRsB8?sBmrB9rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFyiB+jBzlBX?nB0nBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFxdB3iBcoBz?lBGsBywB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeuBJvhFciBTeBXoBR?rBdrBSxB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Jei9IvhF+jBfrBxmBz?nBUsB9rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFidBzlBxnBc?oB+sB3rB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JeuBJvhF9iBTeB8lBy?rBXoBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhFxdBOnBTjBf?rBqrBtsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhF2iBcoBzlBX?nBCoBxwB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhF3dBzlBxnBc?oBGsBywB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Jex9IvhF2mBqnBTjBf?rBUsBtrB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je5BJvhFTdB6jB8lBd?oB/sB2wB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhFZiBzdB+jBf?rBqrBtsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Je9BJvhFxdBGjBzlBX?nB8sBywB,v115@zgE8EeD8FeC8GeC8FeE8DeB8Jex9IvhF8lBTjBCnBf?nBtsB2wB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JecBJvhFTeBfrBqrBx?nBOnBtsB,v115@zgE8EeD8FeC8GeC8FeE8DeB8JetBJvhFxdB3iBcoBW?rBTsBKrB
TIJLSZO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJZLS,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOSZJL,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
