sequence,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBNmBUiBqpB/q?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBThBNnBqpB/q?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFflB6lBThBNnBWv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF5lBThBNnBmpB0r?B3pB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFalB5lBNmBUiB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmBUiBGqBzr?BXqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFzfBGhBNnBCqB0r?B3qB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFxgBNnBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFThBNnBOpBXlBSv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF+lBThBNnB3kB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeOEJvhFXgBThBNnBSqB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeKEJvhFzfBGhBNnB3lB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeGBJvhFNnB/pBRlBTqB0r?BipB,v115@EhC8HeB8GeC8DeA8BeC8Je5FJvhFThBNnBikB3pB0r?BmpB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFNmBUiBOpBXlBSv?BzrB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFUgBxmB9qBimB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFNnBxlBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFNmBUiBClBXqBzr?BGqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmB8pB+qBXn?BzrB
JIZSTOL,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,X,O
JIZSLTO,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,O
JIZSLOT,X,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O
JIZSOTL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
JIZSOLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
JIZOTLS,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O
JIZOTSL,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O
JIZOLTS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JIZOLST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JIZOSTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O
JIZOSLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JIOTLSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JIOTLZS,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JIOTSLZ,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JIOTSZL,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O,X,O,O
JIOTZLS,O,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O
JIOTZSL,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,O
JIOLTSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JIOLTZS,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
JIOLSTZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
JIOLSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X
JIOLZTS,O,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
JIOLZST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JIOSTLZ,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JIOSTZL,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O,X,O,O
JIOSLTZ,X,X,O,X,O,O,X,O,X,O,X,X,X,X,O,X,X,O,X
JIOSLZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JIOSZTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
JIOSZLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
JIOZTLS,O,X,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O
JIOZTSL,X,X,O,O,O,O,X,X,O,O,O,X,X,X,O,X,X,O,O
JIOZLTS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
JIOZLST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JIOZSTL,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,O
JIOZSLT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O
JLTISZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLTISOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JLTIZSO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLTIZOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
JLTIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLTIOZS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLTSIZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLTSIOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JLTSZIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLTSZOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLTSOIZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JLTSOZI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLTZISO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLTZIOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
JLTZSIO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLTZSOI,O,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLTZOIS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
JLTZOSI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLTOISZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLTOIZS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLTOSIZ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JLTOSZI,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLTOZIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLTOZSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLITSZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLITSOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JLITZSO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLITZOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
JLITOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLITOZS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLISTZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLISTOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLISZTO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLISZOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLISOTZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLISOZT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JLIZTSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JLIZTOS,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JLIZSTO,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JLIZSOT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JLIZOTS,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JLIZOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLIOTSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLIOTZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLIOSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOSZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOZTS,O,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JLIOZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTIZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSTIOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JLSTZIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSTZOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSTOIZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JLSTOZI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLSITZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSITOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLSIZTO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLSIZOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLSIOTZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLSIOZT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JLSZTIO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSZTOI,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSZITO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLSZIOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLSZOTI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLSZOIT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JLSOTIZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JLSOTZI,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLSOITZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLSOIZT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JLSOZTI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLSOZIT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JLZTISO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZTIOS,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O
JLZTSIO,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O
JLZTSOI,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O
JLZTOIS,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O
JLZTOSI,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZITSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZITOS,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZISTO,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JLZISOT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JLZIOTS,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZIOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZSTIO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLZSTOI,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLZSITO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLZSIOT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLZSOTI,X,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JLZSOIT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLZOTIS,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,O,X,O
JLZOTSI,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZOITS,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,O
JLZOIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZOSTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLZOSIT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
JLOTISZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLOTIZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLOTSIZ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JLOTSZI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLOTZIS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLOTZSI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOITSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLOITZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLOISTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOISZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JLOIZTS,O,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JLOIZST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTIZ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
JLOSTZI,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLOSITZ,O,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JLOSIZT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JLOSZTI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JLOSZIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JLOZTIS,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
JLOZTSI,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JLOZITS,O,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X
JLOZIST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZSTI,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JLOZSIT,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSTILZO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSTILOZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTIZLO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSTIZOL,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O
JSTIOLZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTIOZL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSTLIZO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSTLIOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JSTLZIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JSTLZOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JSTLOIZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JSTLOZI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSTZILO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
JSTZIOL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JSTZLIO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
JSTZLOI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
JSTZOIL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JSTZOLI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSTOILZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOIZL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JSTOLIZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSTOLZI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JSTOZLI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSITLZO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
JSITLOZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITZLO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSITZOL,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X,O
JSITOLZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITOZL,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILTZO,X,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,O
JSILTOZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
JSILZOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSILOTZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSILOZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JSIZTOL,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
JSIZLTO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JSIZLOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSIZOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSIZOLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSIOTLZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JSIOTZL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
JSIOLTZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSIOLZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSIOZTL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
JSIOZLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSLTIZO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSLTIOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JSLTZIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JSLTZOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JSLTOIZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
JSLTOZI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSLITZO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSLITOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSLIZTO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O
JSLIZOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JSLIOTZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
JSLIOZT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
JSLZTIO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSLZTOI,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSLZITO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X,X,O
JSLZIOT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JSLZOTI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
JSLZOIT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O
JSLOTIZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,O,O,X
JSLOTZI,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
JSLOITZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
JSLOIZT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JSLOZTI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
JSLOZIT,O,O,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X
JSZTILO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O
JSZTIOL,X,X,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
JSZTLIO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSZTLOI,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSZTOIL,X,X,O,O,O,X,X,O,O,X,X,X,O,O,X,O,X,X,O
JSZTOLI,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,O
JSZITLO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JSZITOL,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
JSZILTO,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O
JSZILOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSZIOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSZIOLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSZLTIO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSZLTOI,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
JSZLITO,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O
JSZLIOT,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
JSZLOTI,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JSZLOIT,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
JSZOTIL,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O
JSZOTLI,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JSZOITL,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O
JSZOILT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSZOLTI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSZOLIT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSOTILZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JSOTIZL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
JSOTLIZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,X
JSOTLZI,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSOTZIL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
JSOTZLI,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O
JSOITLZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JSOITZL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,O
JSOILTZ,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSOILZT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOIZTL,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O
JSOIZLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSOLTIZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,X
JSOLTZI,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSOLITZ,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X
JSOLIZT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JSOLZTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
JSOLZIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
JSOZTIL,X,X,O,X,O,O,X,O,X,X,X,X,O,X,O,O,X,O,O
JSOZTLI,O,X,O,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,O
JSOZITL,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O
JSOZILT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JSOZLTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
JSOZLIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZTILSO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
JZTILOS,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
JZTISLO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O
JZTISOL,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O
JZTIOLS,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
JZTIOSL,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,O
JZTLISO,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,O
JZTLIOS,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,O
JZTLSIO,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,O
