sequence,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBNmBUiBqpB/q?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFGgBThBNnBqpB/q?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFflB6lBThBNnBWv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF5lBThBNnBmpB0r?B3pB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFalB5lBNmBUiB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmBUiBGqBzr?BXqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFzfBGhBNnBCqB0r?B3qB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFxgBNnBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFThBNnBOpBXlBSv?B0rB,v115@EhC8HeB8GeC8DeA8BeC8Jei/IvhF+lBThBNnB3kB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeOEJvhFXgBThBNnBSqB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeKEJvhFzfBGhBNnB3lB0r?BxuB,v115@EhC8HeB8GeC8DeA8BeC8JeGBJvhFNnB/pBRlBTqB0r?BipB,v115@EhC8HeB8GeC8DeA8BeC8Je5FJvhFThBNnBikB3pB0r?BmpB,v115@EhC8HeB8GeC8DeA8BeC8Jex/IvhFNmBUiBOpBXlBSv?BzrB,v115@EhC8HeB8GeC8DeA8BeC8Je/EJvhFUgBxmB9qBimB2u?BzrB,v115@EhC8HeB8GeC8DeA8BeC8JeT/IvhFNnBxlBXlB2uBCr?B0rB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFNmBUiBClBXqBzr?BGqB,v115@EhC8HeB8GeC8DeA8BeC8JeZEJvhFCgBNmB8pB+qBXn?BzrB
TLISZOJ,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TLIZJSO,O,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLIZJOS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TLIZSJO,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
TLIZOJS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TLIOJZS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIOSJZ,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJISZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLJISOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJIZSO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLJIZOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TLJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJSIZO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLJSIOZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJSZIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLJSZOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLJSOIZ,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJSOZI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLJZIOS,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TLJZSIO,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLJZSOI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLJZOIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TLJZOSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOIZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOSIZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLJOSZI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TLSIJOZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLSIZJO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLSJIZO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TLSJIOZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLSJZIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLSJZOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLSJOIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLSJOZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLSZIJO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZIJSO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZIJOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TLZISJO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZISOJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZIOJS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZJIOS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TLZJSIO,O,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZJSOI,O,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZJOIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TLZJOSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZSIJO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZSIOJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZSJIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZSJOI,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZSOIJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZOIJS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZOJSI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZOSJI,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOIZJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJSIZ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLOJSZI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOJZIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZIJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOZJIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOZJSI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOZSJI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILSZO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
