sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
TLJIZOS,X,O,X,X,X,O,X,X,O,X
TLJIOSZ,X,O,X,X,O,X,X,O,O,X
TLJIOZS,X,O,X,X,X,O,X,X,O,X
TLJSIZO,O,O,X,X,O,X,X,O,O,X
TLJSIOZ,O,O,X,O,O,X,X,O,O,X
TLJSZIO,O,O,X,O,O,X,X,O,O,X
TLJSZOI,O,O,X,O,O,X,X,O,O,X
TLJSOIZ,O,O,X,O,O,X,X,O,O,X
TLJSOZI,O,O,X,O,O,X,X,O,O,X
TLJZISO,X,O,O,O,X,O,X,O,O,X
TLJZIOS,O,O,O,O,X,O,X,X,O,X
TLJZSIO,O,O,O,O,X,O,X,O,O,X
TLJZSOI,O,O,O,O,X,O,X,O,O,X
TLJZOIS,O,O,O,O,X,O,X,X,O,X
TLJZOSI,O,O,O,O,X,O,X,X,O,X
TLJOISZ,X,O,X,X,O,X,X,O,O,X
TLJOIZS,X,O,X,X,X,O,X,O,O,X
TLJOSIZ,O,O,X,O,O,X,X,O,O,X
TLJOSZI,O,O,X,O,O,X,X,O,O,X
TLJOZIS,O,O,O,O,X,O,X,O,O,X
TLJOZSI,O,O,O,O,X,O,X,O,O,X
TLSIJZO,O,O,X,X,O,X,X,O,O,X
TLSIJOZ,O,O,X,O,O,X,X,O,O,X
TLSIZJO,O,O,X,O,O,O,X,O,O,X
TLSIZOJ,O,O,X,O,O,O,X,X,O,X
TLSIOJZ,O,O,X,O,O,X,X,O,O,X
TLSIOZJ,O,O,X,O,O,O,X,X,O,X
TLSJIZO,O,O,X,X,O,X,X,O,O,X
TLSJIOZ,O,O,X,O,O,X,X,O,O,X
TLSJZIO,O,O,X,O,O,X,X,O,O,X
TLSJZOI,O,O,X,O,O,X,X,O,O,X
TLSJOIZ,O,O,X,O,O,X,X,O,O,X
TLSJOZI,O,O,X,O,O,X,X,O,O,X
TLSZIJO,O,O,X,O,O,O,X,O,O,X
TLSZIOJ,O,O,X,O,O,O,X,X,O,X
TLSZJIO,O,O,X,O,O,O,X,O,O,X
TLSZJOI,O,O,X,O,O,O,X,O,O,X
TLSZOIJ,O,O,X,O,O,O,X,X,O,X
TLSZOJI,O,O,X,O,O,O,X,X,O,X
TLSOIJZ,O,O,X,O,O,X,X,O,O,X
TLSOIZJ,O,O,X,O,O,O,X,O,O,X
TLSOJIZ,O,O,X,O,O,X,X,O,O,X
TLSOJZI,O,O,X,O,O,X,X,O,O,X
TLSOZIJ,O,X,X,O,O,O,X,O,O,X
TLSOZJI,O,X,X,O,O,O,X,O,O,X
TLZIJSO,X,O,O,O,X,O,X,O,X,X
TLZIJOS,X,O,O,O,X,O,X,X,X,X
TLZISJO,X,O,O,O,O,O,X,O,X,X
TLZISOJ,X,O,O,O,O,O,X,X,X,X
TLZIOJS,X,X,O,O,X,O,X,X,X,X
TLZIOSJ,X,X,O,O,O,O,X,X,X,X
TLZJISO,X,O,O,O,X,O,X,O,O,X
TLZJIOS,X,O,O,O,X,O,X,X,O,X
TLZJSIO,X,O,O,O,X,O,X,O,O,X
TLZJSOI,X,O,O,O,X,O,X,O,O,X
TLZJOIS,X,O,O,O,X,O,X,X,O,X
TLZJOSI,X,O,O,O,X,O,X,X,O,X
TLZSIJO,X,O,O,O,O,O,X,O,O,X
TLZSIOJ,X,O,O,O,O,O,X,X,O,X
TLZSJIO,X,O,O,O,O,O,X,O,O,X
TLZSJOI,X,O,O,O,O,O,X,O,O,X
TLZSOIJ,X,O,O,O,O,O,X,X,O,X
TLZSOJI,X,O,O,O,O,O,X,X,O,X
TLZOIJS,X,X,O,O,X,O,X,X,X,X
TLZOISJ,X,X,O,O,O,O,X,X,X,X
TLZOJIS,X,O,O,O,X,O,X,X,O,X
TLZOJSI,X,O,O,O,X,O,X,X,O,X
TLZOSIJ,X,O,O,O,O,O,X,X,O,X
TLZOSJI,X,O,O,O,O,O,X,X,O,X
TLOIJSZ,X,X,X,X,O,X,X,O,O,X
TLOIJZS,X,X,X,X,X,O,X,O,O,X
TLOISJZ,O,X,X,O,O,X,X,O,O,X
TLOISZJ,O,X,X,O,O,O,X,O,X,X
TLOIZJS,X,X,X,O,X,O,X,O,X,X
TLOIZSJ,X,X,X,O,O,O,X,O,X,X
TLOJISZ,X,O,X,X,O,X,X,O,O,X
TLOJIZS,X,O,X,X,X,O,X,O,O,X
TLOJSIZ,O,O,X,O,O,X,X,O,O,X
TLOJSZI,O,O,X,O,O,X,X,O,O,X
TLOJZIS,O,O,O,O,X,O,X,O,O,X
TLOJZSI,O,O,O,O,X,O,X,O,O,X
TLOSIJZ,O,O,X,O,O,X,X,O,O,X
TLOSIZJ,O,O,X,O,O,O,X,O,O,X
TLOSJIZ,O,O,X,O,O,X,X,O,O,X
TLOSJZI,O,O,X,O,O,X,X,O,O,X
TLOSZIJ,O,X,X,O,O,O,X,O,O,X
TLOSZJI,O,X,X,O,O,O,X,O,O,X
TLOZIJS,X,X,O,O,X,O,X,O,X,X
TLOZISJ,X,X,O,O,O,O,X,O,X,X
TLOZJIS,X,O,O,O,X,O,X,O,O,X
TLOZJSI,X,O,O,O,X,O,X,O,O,X
TLOZSIJ,X,O,O,O,O,O,X,O,O,X
TLOZSJI,X,O,O,O,O,O,X,O,O,X
TJILSZO,X,O,X,X,O,X,X,O,X,X
TJILSOZ,X,O,X,X,O,X,X,O,X,X
TJILZSO,X,O,X,X,X,O,X,O,X,X
TJILZOS,X,O,X,X,X,O,X,X,X,X
TJILOSZ,X,O,X,X,O,X,X,O,X,X
TJILOZS,X,O,X,X,X,O,X,X,X,X
TJISLZO,O,O,X,X,O,X,X,O,X,X
TJISLOZ,O,O,X,X,O,X,X,O,X,X
TJISZLO,O,O,X,X,O,X,X,X,X,X
TJISZOL,O,X,X,X,O,X,X,X,X,X
