sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
ILJZSTO,X,O,X,X,X,O,X,X,O,O
ILJZSOT,X,O,X,X,X,X,X,X,O,O
ILJZOTS,X,X,X,X,X,X,X,X,O,X
ILJZOST,X,O,X,X,X,X,X,X,O,O
ILJOTSZ,X,O,X,X,O,X,X,X,O,X
ILJOTZS,X,O,X,X,X,X,X,X,O,X
ILJOSTZ,O,X,X,X,O,X,X,X,O,X
ILJOSZT,O,X,X,X,O,X,X,X,O,X
ILJOZTS,X,X,X,X,X,X,X,X,O,X
ILJOZST,X,O,X,X,X,X,X,X,O,O
ILSTJZO,O,X,X,X,O,X,X,X,O,X
ILSTJOZ,O,X,X,X,O,X,X,X,O,X
ILSTZJO,O,X,X,X,O,O,X,X,O,X
ILSTZOJ,O,X,X,X,O,O,X,X,O,X
ILSTOJZ,O,X,X,X,O,X,X,X,O,X
ILSTOZJ,O,X,X,O,O,O,X,X,O,X
ILSJTZO,O,X,X,X,O,X,X,X,O,X
ILSJTOZ,O,X,X,X,O,X,X,X,O,X
ILSJZTO,O,X,X,X,X,X,X,X,O,X
ILSJZOT,O,X,X,X,O,X,X,X,O,X
ILSJOTZ,O,X,X,X,O,X,X,X,O,X
ILSJOZT,O,X,X,O,O,X,X,X,O,X
ILSZTJO,O,X,X,X,X,O,O,X,O,O
ILSZTOJ,O,X,X,O,X,O,O,X,O,O
ILSZJTO,O,X,X,O,X,O,O,X,O,O
ILSZJOT,O,X,X,O,O,X,O,X,O,O
ILSZOTJ,O,X,X,O,X,O,O,X,O,O
ILSZOJT,O,X,X,O,O,X,O,X,O,O
ILSOTJZ,O,X,X,X,O,X,X,X,O,X
ILSOTZJ,O,X,X,O,O,X,X,X,O,X
ILSOJTZ,O,X,X,X,O,X,X,X,O,X
ILSOJZT,O,X,X,O,O,X,X,X,O,X
ILSOZTJ,O,X,X,O,X,X,O,X,O,O
ILSOZJT,O,X,X,O,O,X,O,X,O,O
ILZTJSO,X,O,X,X,X,O,X,X,X,X
ILZTJOS,X,O,X,X,X,O,X,X,X,X
ILZTSJO,X,O,X,X,O,O,O,X,X,O
ILZTSOJ,X,O,X,X,O,O,O,X,X,O
ILZTOJS,X,X,X,X,X,O,X,X,X,X
ILZTOSJ,X,X,X,X,O,O,O,X,X,O
ILZJTSO,X,O,X,X,X,O,X,X,O,X
ILZJTOS,X,O,X,X,X,O,X,X,O,X
ILZJSTO,X,O,X,O,X,O,O,X,O,O
ILZJSOT,X,O,X,O,X,X,O,X,O,O
ILZJOTS,X,X,X,X,X,X,X,X,O,X
ILZJOST,X,O,X,O,X,X,O,X,O,O
ILZSTJO,O,O,X,X,X,O,O,X,O,O
ILZSTOJ,O,X,X,O,X,O,O,X,O,O
ILZSJTO,O,O,X,O,X,O,O,X,O,O
ILZSJOT,O,O,X,O,O,X,O,X,O,O
ILZSOTJ,O,X,X,O,X,O,O,X,O,O
ILZSOJT,O,O,X,O,O,X,O,X,O,O
ILZOTJS,X,X,X,X,X,O,X,X,X,X
ILZOTSJ,X,X,X,X,O,O,O,X,X,O
ILZOJTS,X,X,X,X,X,X,X,X,O,X
ILZOJST,X,X,X,O,X,X,O,X,O,O
ILZOSTJ,O,X,X,O,X,O,O,X,O,O
ILZOSJT,O,X,X,O,O,X,O,X,O,O
ILOTJSZ,X,X,X,X,O,X,X,X,O,X
ILOTJZS,X,X,X,X,X,O,X,X,O,X
ILOTSJZ,O,X,X,O,O,X,X,X,O,X
ILOTSZJ,O,X,X,O,O,O,X,X,X,X
ILOTZJS,X,X,X,O,X,O,X,X,X,X
ILOTZSJ,X,X,X,O,O,O,X,X,X,O
ILOJTSZ,X,X,X,X,O,X,X,X,O,X
ILOJTZS,X,X,X,X,X,X,X,X,O,X
ILOJSTZ,O,X,X,X,O,X,X,X,O,X
ILOJSZT,O,X,X,X,O,X,X,X,O,X
ILOJZTS,X,X,X,X,X,X,X,X,O,X
ILOJZST,X,X,X,X,X,X,X,X,O,O
ILOSTJZ,O,X,X,X,O,X,X,X,O,X
ILOSTZJ,O,X,X,O,O,X,X,X,O,X
ILOSJTZ,O,X,X,X,O,X,X,X,O,X
ILOSJZT,O,X,X,O,O,X,X,X,O,X
ILOSZTJ,O,X,X,O,X,X,O,X,O,O
ILOSZJT,O,X,X,O,O,X,O,X,O,O
ILOZTJS,X,X,X,X,X,O,X,X,X,X
ILOZTSJ,X,X,X,X,O,O,O,X,X,O
ILOZJTS,X,X,X,X,X,X,X,X,O,X
ILOZJST,X,X,X,O,X,X,O,X,O,O
ILOZSTJ,O,X,X,O,X,O,O,X,O,O
ILOZSJT,O,X,X,O,O,X,O,X,O,O
IJTLSZO,X,O,X,X,O,X,X,O,X,X
IJTLSOZ,X,O,X,X,O,X,X,O,X,X
IJTLZSO,X,O,X,X,X,O,X,O,X,X
IJTLZOS,X,O,X,X,X,O,X,X,X,X
IJTLOSZ,X,O,X,X,O,X,X,O,X,X
IJTLOZS,X,O,X,X,X,O,X,X,X,X
IJTSLZO,X,O,X,X,O,X,X,O,X,X
IJTSLOZ,X,O,X,X,O,X,X,O,X,X
IJTSZLO,X,O,X,X,O,X,X,X,X,X
IJTSZOL,X,X,X,X,O,X,X,X,X,X
IJTSOLZ,X,O,X,X,O,X,X,O,X,X
IJTSOZL,X,O,X,X,O,X,X,X,X,X
IJTZLSO,X,O,O,X,X,O,X,X,X,X
IJTZLOS,X,O,O,X,X,O,X,X,X,X
IJTZSLO,X,O,O,X,X,O,X,X,X,X
IJTZSOL,X,O,O,X,X,O,X,X,X,X
IJTZOLS,X,O,O,X,X,O,X,X,X,X
IJTZOSL,X,O,O,X,X,O,X,X,X,X
IJTOLSZ,X,O,X,X,O,X,X,O,X,X
IJTOLZS,X,O,X,X,X,O,X,O,X,X
IJTOSLZ,X,O,X,X,O,X,X,O,X,X
IJTOSZL,X,O,X,X,O,X,X,X,X,X
IJTOZLS,X,O,O,X,X,O,X,X,X,X
IJTOZSL,X,O,O,X,X,O,X,X,X,X
IJLTSZO,X,O,X,X,O,X,X,X,O,X
IJLTSOZ,X,O,X,X,O,X,X,X,O,X
IJLTZSO,X,O,X,X,X,O,X,X,O,X
IJLTZOS,X,O,X,X,X,O,X,X,O,X
IJLTOSZ,X,O,X,X,O,X,X,X,O,X
IJLTOZS,X,O,X,X,X,O,X,X,O,X
IJLSTZO,O,X,X,X,X,X,X,X,O,X
IJLSTOZ,O,X,X,X,O,X,X,X,O,X
IJLSZTO,O,X,X,X,X,X,X,X,O,X
IJLSZOT,O,X,X,X,O,X,X,X,O,X
IJLSOTZ,O,X,X,X,O,X,X,X,O,X
IJLSOZT,O,X,X,X,O,X,X,X,O,X
IJLZTSO,X,O,X,X,X,O,X,X,O,X
IJLZTOS,X,O,X,X,X,O,X,X,O,X
IJLZSTO,X,O,X,X,X,O,X,X,O,O
IJLZSOT,X,O,X,X,X,X,X,X,O,O
IJLZOTS,X,X,X,X,X,X,X,X,O,X
IJLZOST,X,O,X,X,X,X,X,X,O,O
IJLOTSZ,X,O,X,X,O,X,X,X,O,X
IJLOTZS,X,O,X,X,X,X,X,X,O,X
IJLOSTZ,O,X,X,X,O,X,X,X,O,X
IJLOSZT,O,X,X,X,O,X,X,X,O,X
IJLOZTS,X,X,X,X,X,X,X,X,O,X
IJLOZST,X,O,X,X,X,X,X,X,O,O
IJSTLZO,X,O,X,X,O,X,X,X,X,X
IJSTLOZ,X,O,X,X,O,X,X,X,X,X
IJSTZLO,X,O,X,X,O,X,X,X,X,X
IJSTZOL,O,X,X,X,O,X,X,X,X,X
IJSTOLZ,X,O,X,X,O,X,X,X,X,X
IJSTOZL,O,O,X,X,O,X,X,X,X,X
IJSLTZO,O,X,X,X,O,X,X,X,O,X
IJSLTOZ,O,X,X,X,O,X,X,X,O,X
IJSLZTO,O,X,X,X,X,X,X,X,O,X
IJSLZOT,O,X,X,X,O,X,X,X,O,X
IJSLOTZ,O,X,X,X,O,X,X,X,O,X
IJSLOZT,O,X,X,X,O,X,X,X,O,X
IJSZTLO,X,X,X,X,O,X,X,X,X,X
IJSZTOL,O,X,X,X,O,X,X,X,X,X
IJSZLTO,O,X,X,X,X,X,O,X,X,X
IJSZLOT,O,X,X,X,O,X,O,X,X,X
IJSZOTL,O,X,X,X,O,X,X,X,X,X
IJSZOLT,O,X,X,X,O,X,O,X,X,X
IJSOTLZ,X,O,X,X,O,X,X,X,X,X
IJSOTZL,O,O,X,X,O,X,X,X,X,X
IJSOLTZ,O,X,X,X,O,X,X,X,O,X
IJSOLZT,O,X,X,X,O,X,X,X,O,X
IJSOZTL,O,X,X,X,O,X,X,X,X,X
IJSOZLT,O,X,X,X,O,X,O,X,X,X
IJZTLSO,X,O,O,X,X,O,X,X,X,X
IJZTLOS,X,O,O,X,X,O,X,X,X,X
IJZTSLO,X,O,O,X,X,O,X,X,X,X
IJZTSOL,X,O,O,X,X,O,X,X,X,X
IJZTOLS,X,O,O,X,X,O,X,X,X,X
IJZTOSL,O,O,O,X,X,O,X,X,X,X
IJZLTSO,X,O,O,X,X,O,X,X,X,X
IJZLTOS,X,O,O,X,X,O,X,X,X,X
IJZLSTO,X,O,X,X,X,O,O,X,X,O
IJZLSOT,X,O,O,X,X,X,O,X,X,O
IJZLOTS,X,X,O,X,X,X,X,X,X,X
IJZLOST,O,O,O,X,X,X,O,X,X,O
IJZSTLO,X,O,X,X,X,O,X,X,X,O
IJZSTOL,O,X,X,X,X,O,X,X,X,O
IJZSLTO,O,O,X,X,X,O,O,X,X,O
IJZSLOT,O,O,O,X,X,X,O,X,X,O
IJZSOTL,O,O,X,X,X,X,X,X,X,O
IJZSOLT,O,O,O,X,X,X,O,X,X,O
IJZOTLS,X,X,O,X,X,X,X,X,X,X
IJZOTSL,O,O,O,X,X,X,X,X,X,X
IJZOLTS,X,X,O,X,X,X,X,X,X,X
IJZOLST,O,O,O,X,X,X,O,X,X,O
IJZOSTL,O,O,X,X,X,X,X,X,X,O
IJZOSLT,O,O,O,X,X,X,O,X,X,O
IJOTLSZ,X,O,X,X,O,X,X,O,X,X
IJOTLZS,X,O,X,X,X,X,X,O,X,X
IJOTSLZ,X,O,X,X,O,X,X,O,X,X
IJOTSZL,X,O,X,X,O,X,X,X,X,X
IJOTZLS,X,O,O,X,X,X,X,X,X,X
IJOTZSL,X,O,O,X,X,X,X,X,X,X
IJOLTSZ,X,O,X,X,O,X,X,O,O,X
IJOLTZS,X,O,X,X,X,X,X,O,O,X
IJOLSTZ,O,X,X,X,O,X,X,X,O,X
IJOLSZT,O,X,X,X,O,X,X,X,O,X
IJOLZTS,X,X,X,X,X,X,X,X,O,X
IJOLZST,X,O,X,X,X,X,X,X,O,O
IJOSTLZ,X,O,X,X,O,X,X,X,X,X
IJOSTZL,O,O,X,X,O,X,X,X,X,X
IJOSLTZ,O,X,X,X,O,X,X,X,O,X
IJOSLZT,O,X,X,X,O,X,X,X,O,X
IJOSZTL,O,X,X,X,O,X,X,X,X,X
IJOSZLT,O,X,X,X,O,X,O,X,X,X
IJOZTLS,X,X,O,X,X,X,X,X,X,X
IJOZTSL,O,O,O,X,X,X,X,X,X,X
IJOZLTS,X,X,O,X,X,X,X,X,X,X
IJOZLST,O,O,O,X,X,X,O,X,X,O
IJOZSTL,O,O,X,X,X,X,X,X,X,O
IJOZSLT,O,O,O,X,X,X,O,X,X,O
ISTLJZO,O,X,X,X,O,X,X,X,O,X
ISTLJOZ,O,X,X,X,O,X,X,X,O,X
ISTLZJO,O,X,X,X,O,O,X,X,O,X
ISTLZOJ,O,X,X,X,O,O,X,X,O,X
ISTLOJZ,O,X,X,X,O,X,X,X,O,X
ISTLOZJ,O,X,X,X,O,O,X,X,O,X
ISTJLZO,O,X,X,X,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,O,X,X,X,X,X
ISTJZLO,O,X,X,X,O,X,X,X,X,X
ISTJZOL,O,X,X,X,O,X,X,X,X,X
ISTJOLZ,O,X,X,X,O,X,X,X,X,X
ISTJOZL,O,X,X,X,O,X,X,X,X,X
ISTZLJO,X,X,X,X,O,O,O,X,X,X
ISTZLOJ,X,X,X,X,O,O,O,X,X,X
ISTZJLO,O,X,X,X,O,O,X,X,X,X
ISTZJOL,O,X,X,X,O,O,X,X,X,X
ISTZOLJ,X,X,X,X,O,O,O,X,X,X
ISTZOJL,O,X,X,X,O,O,X,X,X,X
ISTOLJZ,O,X,X,X,O,X,X,X,O,X
ISTOLZJ,O,X,X,X,O,O,X,X,O,X
ISTOJLZ,O,X,X,X,O,X,X,X,X,X
ISTOJZL,O,X,X,X,O,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,O,O,X,X,X
ISTOZJL,O,X,X,X,O,O,X,X,X,X
ISLTJZO,O,X,X,X,O,X,X,X,O,X
ISLTJOZ,O,X,X,X,O,X,X,X,O,X
ISLTZJO,O,X,X,X,O,O,X,X,O,X
ISLTZOJ,O,X,X,X,O,O,X,X,O,X
ISLTOJZ,O,X,X,X,O,X,X,X,O,X
ISLTOZJ,O,X,X,X,O,O,X,X,O,X
ISLJTZO,O,X,X,X,O,X,X,X,O,X
ISLJTOZ,O,X,X,X,O,X,X,X,O,X
ISLJZTO,O,X,X,X,X,X,X,X,O,X
ISLJZOT,O,X,X,X,O,X,X,X,O,X
ISLJOTZ,O,X,X,X,O,X,X,X,O,X
ISLJOZT,O,X,X,X,O,X,X,X,O,X
ISLZTJO,O,X,X,X,X,O,O,X,O,O
ISLZTOJ,O,X,X,X,X,O,O,X,O,O
ISLZJTO,O,X,X,X,X,O,O,X,O,O
ISLZJOT,O,X,X,X,O,X,O,X,O,O
ISLZOTJ,O,X,X,X,X,O,O,X,O,O
ISLZOJT,O,X,X,X,O,X,O,X,O,O
ISLOTJZ,O,X,X,X,O,X,X,X,O,X
ISLOTZJ,O,X,X,X,O,X,X,X,O,X
ISLOJTZ,O,X,X,X,O,X,X,X,O,X
ISLOJZT,O,X,X,X,O,X,X,X,O,X
ISLOZTJ,O,X,X,X,X,X,O,X,O,O
ISLOZJT,O,X,X,X,O,X,O,X,O,O
ISJTLZO,O,X,X,X,O,X,X,X,X,X
ISJTLOZ,O,X,X,X,O,X,X,X,X,X
ISJTZLO,O,X,X,X,O,X,X,X,X,X
ISJTZOL,O,X,X,X,O,X,X,X,X,X
ISJTOLZ,O,X,X,X,O,X,X,X,X,X
ISJTOZL,O,X,X,X,O,X,X,X,X,X
ISJLTZO,O,X,X,X,O,X,X,X,O,X
ISJLTOZ,O,X,X,X,O,X,X,X,O,X
ISJLZTO,O,X,X,X,X,X,X,X,O,X
ISJLZOT,O,X,X,X,O,X,X,X,O,X
ISJLOTZ,O,X,X,X,O,X,X,X,O,X
ISJLOZT,O,X,X,X,O,X,X,X,O,X
ISJZTLO,X,X,X,X,O,X,X,X,X,X
ISJZTOL,O,X,X,X,O,X,X,X,X,X
ISJZLTO,O,X,X,X,X,X,O,X,X,X
ISJZLOT,O,X,X,X,O,X,O,X,X,X
ISJZOTL,O,X,X,X,O,X,X,X,X,X
ISJZOLT,O,X,X,X,O,X,O,X,X,X
ISJOTLZ,O,X,X,X,O,X,X,X,X,X
ISJOTZL,O,X,X,X,O,X,X,X,X,X
ISJOLTZ,O,X,X,X,O,X,X,X,O,X
ISJOLZT,O,X,X,X,O,X,X,X,O,X
ISJOZTL,O,X,X,X,O,X,X,X,X,X
ISJOZLT,O,X,X,X,O,X,O,X,X,X
ISZTLJO,X,X,X,X,O,O,O,X,X,O
ISZTLOJ,X,X,X,X,O,O,O,X,X,O
ISZTJLO,O,X,X,X,O,O,X,X,X,O
ISZTJOL,O,X,X,X,O,O,X,X,X,O
ISZTOLJ,X,X,X,X,O,O,O,X,X,O
ISZTOJL,O,X,X,X,O,O,X,X,X,O
ISZLTJO,X,X,X,X,X,O,O,X,X,O
ISZLTOJ,X,X,X,X,X,O,O,X,X,O
ISZLJTO,X,X,X,X,X,O,O,X,O,O
ISZLJOT,X,X,X,X,O,X,O,X,O,O
ISZLOTJ,X,X,X,X,X,O,O,X,X,O
ISZLOJT,X,X,X,X,O,X,O,X,O,O
ISZJTLO,X,X,X,X,O,O,X,X,X,O
ISZJTOL,O,X,X,X,O,O,X,X,X,O
ISZJLTO,X,X,X,X,X,O,O,X,X,O
ISZJLOT,O,X,X,X,O,X,O,X,X,O
ISZJOTL,O,X,X,X,O,X,X,X,X,O
ISZJOLT,O,X,X,X,O,X,O,X,X,O
ISZOTLJ,X,X,X,X,O,O,O,X,X,O
ISZOTJL,O,X,X,X,O,O,X,X,X,O
ISZOLTJ,X,X,X,X,X,O,O,X,X,O
ISZOLJT,X,X,X,X,O,X,O,X,O,O
ISZOJTL,O,X,X,X,O,X,X,X,X,O
ISZOJLT,O,X,X,X,O,X,O,X,X,O
ISOTLJZ,O,X,X,X,O,X,X,X,O,X
ISOTLZJ,O,X,X,X,O,X,X,X,O,X
ISOTJLZ,O,X,X,X,O,X,X,X,X,X
ISOTJZL,O,X,X,X,O,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X,O,X,X,X
ISOTZJL,O,X,X,X,O,X,X,X,X,X
ISOLTJZ,O,X,X,X,O,X,X,X,O,X
ISOLTZJ,O,X,X,X,O,X,X,X,O,X
ISOLJTZ,O,X,X,X,O,X,X,X,O,X
ISOLJZT,O,X,X,X,O,X,X,X,O,X
ISOLZTJ,O,X,X,X,X,X,O,X,O,O
ISOLZJT,O,X,X,X,O,X,O,X,O,O
ISOJTLZ,O,X,X,X,O,X,X,X,X,X
ISOJTZL,O,X,X,X,O,X,X,X,X,X
ISOJLTZ,O,X,X,X,O,X,X,X,O,X
ISOJLZT,O,X,X,X,O,X,X,X,O,X
ISOJZTL,O,X,X,X,O,X,X,X,X,X
ISOJZLT,O,X,X,X,O,X,O,X,X,X
ISOZTLJ,X,X,X,X,O,X,O,X,X,O
ISOZTJL,O,X,X,X,O,X,X,X,X,O
ISOZLTJ,X,X,X,X,X,X,O,X,X,O
ISOZLJT,X,X,X,X,O,X,O,X,O,O
ISOZJTL,O,X,X,X,O,X,X,X,X,O
ISOZJLT,O,X,X,X,O,X,O,X,X,O
IZTLJSO,X,O,O,O,X,O,X,X,X,X
IZTLJOS,X,O,O,O,X,O,X,X,X,X
IZTLSJO,X,O,O,O,O,O,O,X,X,O
IZTLSOJ,X,O,O,O,O,O,O,X,X,O
IZTLOJS,X,X,O,O,X,O,X,X,X,X
IZTLOSJ,X,X,O,O,O,O,O,X,X,O
IZTJLSO,X,O,O,O,X,O,X,X,X,X
IZTJLOS,X,O,O,O,X,O,X,X,X,X
IZTJSLO,X,O,O,O,X,O,X,X,X,X
IZTJSOL,X,O,O,O,X,O,X,X,X,X
IZTJOLS,X,O,O,O,X,O,X,X,X,X
IZTJOSL,X,O,O,O,X,O,X,X,X,X
IZTSLJO,X,O,O,O,O,O,O,X,X,O
IZTSLOJ,X,O,O,O,O,O,O,X,X,O
IZTSJLO,X,O,O,O,O,O,X,X,X,O
IZTSJOL,X,O,O,O,O,O,X,X,X,O
IZTSOLJ,X,O,O,O,O,O,O,X,X,O
IZTSOJL,X,X,O,X,O,O,X,X,X,O
IZTOLJS,X,X,O,O,X,O,X,X,X,X
IZTOLSJ,X,X,O,O,O,O,O,X,X,O
IZTOJLS,X,X,O,O,X,O,X,X,X,X
IZTOJSL,X,X,O,X,X,O,X,X,X,X
IZTOSLJ,X,X,O,X,O,O,O,X,X,O
IZTOSJL,X,X,O,X,O,O,X,X,X,O
IZLTJSO,X,O,O,X,X,O,X,X,X,X
IZLTJOS,X,O,O,X,X,O,X,X,X,X
IZLTSJO,X,O,O,X,O,O,O,X,X,O
IZLTSOJ,X,O,O,X,O,O,O,X,X,O
IZLTOJS,X,X,O,X,X,O,X,X,X,X
IZLTOSJ,X,X,O,X,O,O,O,X,X,O
IZLJTSO,X,O,O,X,X,O,X,X,O,X
IZLJTOS,X,O,O,X,X,O,X,X,O,X
IZLJSTO,X,O,X,O,X,O,O,X,O,O
IZLJSOT,X,O,O,O,X,X,O,X,O,O
IZLJOTS,X,X,O,X,X,X,X,X,O,X
IZLJOST,X,O,O,O,X,X,O,X,O,O
IZLSTJO,X,O,X,X,X,O,O,X,X,O
IZLSTOJ,X,X,X,O,X,O,O,X,X,O
IZLSJTO,X,O,X,O,X,O,O,X,O,O
IZLSJOT,X,O,O,O,O,X,O,X,O,O
IZLSOTJ,X,X,X,O,X,O,O,X,X,O
IZLSOJT,X,O,O,O,O,X,O,X,O,O
IZLOTJS,X,X,O,X,X,O,X,X,X,X
IZLOTSJ,X,X,O,X,O,O,O,X,X,O
IZLOJTS,X,X,O,X,X,X,X,X,O,X
IZLOJST,X,X,O,O,X,X,O,X,O,O
IZLOSTJ,X,X,X,O,X,O,O,X,X,O
IZLOSJT,X,X,O,O,O,X,O,X,O,O
IZJTLSO,X,O,O,O,X,O,X,X,X,X
IZJTLOS,X,O,O,O,X,O,X,X,X,X
IZJTSLO,X,O,O,O,X,O,X,X,X,X
IZJTSOL,X,O,O,O,X,O,X,X,X,X
IZJTOLS,X,O,O,O,X,O,X,X,X,X
IZJTOSL,X,O,O,O,X,O,X,X,X,X
IZJLTSO,X,O,O,O,X,O,X,X,X,X
IZJLTOS,X,O,O,X,X,O,X,X,X,X
IZJLSTO,X,O,X,O,X,O,O,X,X,O
IZJLSOT,X,O,O,O,X,X,O,X,X,O
IZJLOTS,X,X,O,X,X,X,X,X,X,X
IZJLOST,X,O,O,O,X,X,O,X,X,O
IZJSTLO,X,O,X,O,X,O,X,X,X,O
IZJSTOL,X,X,X,O,X,O,X,X,X,O
IZJSLTO,X,O,X,X,X,O,O,X,X,O
IZJSLOT,X,O,O,X,X,X,O,X,X,O
IZJSOTL,X,O,X,X,X,X,X,X,X,O
IZJSOLT,X,O,O,X,X,X,O,X,X,O
IZJOTLS,X,X,O,O,X,X,X,X,X,X
IZJOTSL,X,X,O,O,X,X,X,X,X,X
IZJOLTS,X,X,O,X,X,X,X,X,X,X
IZJOLST,X,O,O,O,X,X,O,X,X,O
IZJOSTL,X,O,X,X,X,X,X,X,X,O
IZJOSLT,X,O,O,X,X,X,O,X,X,O
IZSTLJO,X,O,X,X,O,O,O,X,X,O
IZSTLOJ,X,X,X,X,O,O,O,X,X,O
IZSTJLO,X,X,X,X,O,O,X,X,X,O
IZSTJOL,X,X,X,X,O,O,X,X,X,O
IZSTOLJ,X,X,X,X,O,O,O,X,X,O
IZSTOJL,X,X,X,X,O,O,X,X,X,O
IZSLTJO,X,O,X,X,X,O,O,X,X,O
IZSLTOJ,X,X,X,X,X,O,O,X,X,O
IZSLJTO,X,O,X,X,X,O,O,X,O,O
IZSLJOT,X,O,O,X,O,X,O,X,O,O
IZSLOTJ,X,X,X,X,X,O,O,X,X,O
IZSLOJT,X,O,O,X,O,X,O,X,O,O
IZSJTLO,X,O,X,X,O,O,X,X,X,O
IZSJTOL,X,X,X,X,O,O,X,X,X,O
IZSJLTO,X,O,X,X,X,O,O,X,X,O
IZSJLOT,X,O,O,X,O,X,O,X,X,O
IZSJOTL,X,O,X,X,O,X,X,X,X,O
IZSJOLT,X,O,O,X,O,X,O,X,X,O
IZSOTLJ,X,X,X,X,O,O,O,X,X,O
IZSOTJL,X,X,X,X,O,O,X,X,X,O
IZSOLTJ,X,X,X,X,X,O,O,X,X,O
IZSOLJT,X,O,O,X,O,X,O,X,O,O
IZSOJTL,X,X,X,X,O,X,X,X,X,O
IZSOJLT,X,X,O,X,O,X,O,X,X,O
IZOTLJS,X,X,O,O,X,O,X,X,X,X
IZOTLSJ,X,X,O,O,O,O,O,X,X,O
IZOTJLS,X,X,O,O,X,O,X,X,X,X
IZOTJSL,X,X,O,X,X,O,X,X,X,X
IZOTSLJ,X,X,O,X,O,O,O,X,X,O
IZOTSJL,X,X,O,X,O,O,X,X,X,O
IZOLTJS,X,X,O,X,X,O,X,X,X,X
IZOLTSJ,X,X,O,X,O,O,O,X,X,O
IZOLJTS,X,X,O,X,X,X,X,X,O,X
IZOLJST,X,X,O,O,X,X,O,X,O,O
IZOLSTJ,X,X,X,O,X,O,O,X,X,O
IZOLSJT,X,X,O,O,O,X,O,X,O,O
IZOJTLS,X,X,O,O,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X,X,X,X
IZOJLST,X,X,O,O,X,X,O,X,X,O
IZOJSTL,X,X,X,X,X,X,X,X,X,O
IZOJSLT,X,X,O,X,X,X,O,X,X,O
IZOSTLJ,X,X,X,X,O,O,O,X,X,O
IZOSTJL,X,X,X,X,O,O,X,X,X,O
IZOSLTJ,X,X,X,X,X,O,O,X,X,O
IZOSLJT,X,X,O,X,O,X,O,X,O,O
IZOSJTL,X,X,X,X,O,X,X,X,X,O
IZOSJLT,X,X,O,X,O,X,O,X,X,O
IOTLJSZ,X,X,X,X,O,X,X,O,O,X
IOTLJZS,X,X,X,X,X,O,X,O,O,X
IOTLSJZ,X,X,X,O,O,X,X,O,O,X
IOTLSZJ,X,X,X,O,O,O,X,O,X,X
IOTLZJS,X,X,X,O,X,O,X,O,X,X
IOTLZSJ,X,X,X,O,O,O,X,O,X,O
IOTJLSZ,X,X,X,X,O,X,X,O,X,X
IOTJLZS,X,X,X,X,X,O,X,O,X,X
IOTJSLZ,O,X,X,X,O,X,X,O,X,X
IOTJSZL,O,X,X,X,O,X,X,X,X,X
IOTJZLS,O,X,O,X,X,O,X,X,X,X
IOTJZSL,O,X,O,X,X,O,X,X,X,X
IOTSLJZ,O,X,X,X,O,X,X,O,O,X
IOTSLZJ,O,X,X,X,O,O,X,O,X,X
IOTSJLZ,O,X,X,X,O,X,X,O,X,X
IOTSJZL,O,X,X,X,O,X,X,X,X,X
IOTSZLJ,X,X,X,X,O,O,O,X,X,X
IOTSZJL,O,X,X,X,O,O,X,X,X,X
IOTZLJS,X,X,O,O,X,O,X,X,X,X
IOTZLSJ,X,X,O,O,O,O,O,X,X,O
IOTZJLS,X,X,O,O,X,O,X,X,X,X
IOTZJSL,X,X,O,X,X,O,X,X,X,X
IOTZSLJ,X,X,O,X,O,O,O,X,X,O
IOTZSJL,X,X,O,X,O,O,X,X,X,O
IOLTJSZ,X,X,X,X,O,X,X,O,O,X
IOLTJZS,X,X,X,X,X,O,X,O,O,X
IOLTSJZ,O,X,X,O,O,X,X,O,O,X
IOLTSZJ,O,X,X,O,O,O,X,O,X,X
IOLTZJS,X,X,X,O,X,O,X,O,X,X
IOLTZSJ,X,X,X,O,O,O,X,O,X,O
IOLJTSZ,X,X,X,X,O,X,X,O,O,X
IOLJTZS,X,X,X,X,X,X,X,O,O,X
IOLJSTZ,O,X,X,X,O,X,X,X,O,X
