sequence,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex7IvhFXdB2mBFlBS?sBUrBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFmgBqmB/nBF?lBUrBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFSlBThB/nB0?qBlrBOqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFlgB3hBaqBT?nBGrB0qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFXdBemB0hBF?lBSsBxvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeyAJvhFFdB5mBXgBc?qBerBTsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex7IvhFOiBXgBThBc?qBSsBVwB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhF0cBemBXiBF?lBSsBxvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeeAJvhFxcBUiBFmBT?qBCsBfrB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhF3hBFlBTnBG?rBiqB0qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhF3hBFlBTnBC?rBOqBUrB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFehBCdB/nBU?lB1rBxvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFUiBFlBWsB3?qBZmBCsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex7IvhFXdBFlB8qB+?rBTnBiqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFxcBFlBSsB3?qBOrB8rB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFUiBFlBXmBC?sBmqBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Je/AJvhFahBFdB5mBT?nBmqBUqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFehB5mB/nBU?lBFnByvB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeyAJvhFXdBFlBxmBW?sBUrBTqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFOhBXdB0qBx?rBFqBCsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFxcB/nB2rB0?qB6rBFqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeC9IvhF/nBFlBRrBT?rBOqB8qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jex8IvhFUhBFlBTnBC?rBOqB3rB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Jem7IvhF/nBFlBRrBc?rBTqBCsB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeVFJvhFRhBXiB8qBS?sBOqBTrB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Je2AJvhFzcBFlBxmBS?sBUrB3qB,v115@zgB8FeD8EeD8GeD8FeD8DeD8JeT7IvhFZhBXdBWnB0?qBCsBFqB,v115@zgB8FeD8EeD8GeD8FeD8DeD8Je2AJvhFzcBFlBxmBS?sB3qBUrB
TIJLZOS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSOLZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJZLOS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TISLZOJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
TISLOJZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLOZJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,X,X,X,O,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TISJZOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TISJOLZ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TISZLOJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
TISZJLO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TISOLJZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,X,X,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZLJSO,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZLJOS,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZLSOJ,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZLOJS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZJLSO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
TIZSOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIZOLJS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
TIZOJLS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TIOJLSZ,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,O,X,O,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOZLJS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
TIOZJLS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLIJZOS,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
TLISZOJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X
TLISOJZ,X,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIZJSO,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TLIZJOS,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TLIZSOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
TLIZOJS,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TLIOJSZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJISZO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TLJIZOS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TLJZIOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
