sequence,v115@8gA8IeA8FeD8AeC8AeJ8BeC8Jex6IvhFyhBzdBOkBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFCbBmcBzdBX?gBFmB0rB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBTcBy?iBFmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBcgBzdBF?mB/rBasB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFufBFcByiBT?gBcmBXsB,v115@8gA8IeA8FeD8AeC8AeJ8BeC8JeZ/IvhFzaBFcBmdBS?lBcmBXsB
TOJSLZI,O,O,X,X,X,X
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,X,X,X,X
TOJZILS,X,X,O,O,O,X
TOJZISL,X,O,O,O,O,X
TOJZLIS,X,X,O,O,O,X
TOJZLSI,O,X,O,X,O,X
TOJZSIL,O,O,O,O,O,X
TOJZSLI,O,O,O,X,O,X
TOSILJZ,O,O,X,X,X,X
TOSILZJ,X,O,O,X,X,X
TOSIJLZ,O,O,X,X,X,X
TOSIJZL,O,O,X,X,X,X
TOSIZLJ,X,O,O,X,X,X
TOSIZJL,X,O,O,O,X,X
TOSLIJZ,O,O,X,X,X,X
TOSLIZJ,X,O,O,X,X,X
TOSLJIZ,O,O,X,X,X,X
TOSLJZI,O,O,X,X,X,X
TOSLZIJ,X,O,O,X,X,X
TOSLZJI,O,O,O,X,X,X
TOSJILZ,O,O,X,X,X,X
TOSJIZL,O,O,X,X,X,X
TOSJLIZ,O,O,X,X,X,X
TOSJLZI,O,O,X,X,X,X
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,X,X,X
TOSZILJ,X,O,O,X,X,X
TOSZIJL,X,O,O,O,X,X
TOSZLIJ,X,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,X,X,O,O,O,X
TOZILSJ,X,X,O,X,O,X
TOZIJLS,X,X,O,O,O,X
TOZIJSL,X,O,O,O,O,X
TOZISLJ,X,O,O,X,O,X
TOZISJL,X,O,O,O,O,X
TOZLIJS,X,X,O,O,O,X
TOZLISJ,X,X,O,X,O,X
TOZLJIS,X,X,O,O,O,X
TOZLJSI,O,X,O,X,O,X
TOZLSIJ,X,X,O,X,O,X
TOZLSJI,O,X,O,X,O,X
TOZJILS,X,X,O,O,O,X
TOZJISL,X,O,O,O,O,X
TOZJLIS,X,X,O,O,O,X
TOZJLSI,O,X,O,X,O,X
TOZJSIL,O,O,O,O,O,X
TOZJSLI,O,O,O,X,O,X
TOZSILJ,X,O,O,X,O,X
TOZSIJL,X,O,O,O,O,X
TOZSLIJ,X,O,O,X,O,X
TOZSLJI,O,O,O,X,O,X
TOZSJIL,O,O,O,O,O,X
TOZSJLI,O,O,O,X,O,X
ITLJSZO,O,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,X
ITLJZSO,X,X,O,X,X,O
ITLJZOS,X,X,O,X,X,O
ITLJOSZ,O,O,X,X,X,X
ITLJOZS,X,X,O,X,O,O
ITLSJZO,O,O,X,X,X,X
ITLSJOZ,O,O,X,X,X,X
ITLSZJO,X,O,O,X,X,X
ITLSZOJ,X,O,O,X,X,X
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,X,O,O,X,X,X
ITLZJSO,X,X,O,O,X,O
ITLZJOS,X,X,O,O,O,O
ITLZSJO,X,X,O,X,X,O
ITLZSOJ,X,X,O,X,O,O
ITLZOJS,X,X,O,O,O,O
ITLZOSJ,X,X,O,X,O,O
ITLOJSZ,O,O,X,X,X,X
ITLOJZS,X,X,O,X,O,O
ITLOSJZ,O,O,X,X,X,X
ITLOSZJ,X,O,O,X,X,X
ITLOZJS,X,X,O,O,O,O
ITLOZSJ,X,X,O,X,O,O
ITJLSZO,O,O,X,X,X,X
ITJLSOZ,O,O,X,X,X,X
ITJLZSO,X,X,O,X,X,O
ITJLZOS,X,X,O,X,X,O
ITJLOSZ,O,O,X,X,X,X
ITJLOZS,X,X,O,X,O,O
ITJSLZO,O,O,X,X,X,X
ITJSLOZ,O,O,X,X,X,X
ITJSZLO,O,O,X,X,X,X
ITJSZOL,O,O,X,X,X,X
ITJSOLZ,O,O,X,X,X,X
ITJSOZL,O,O,X,X,X,X
ITJZLSO,X,X,O,O,X,O
ITJZLOS,X,X,O,O,X,O
ITJZSLO,X,O,O,O,X,O
ITJZSOL,X,O,O,O,X,X
ITJZOLS,X,X,O,O,X,O
ITJZOSL,X,O,O,O,X,X
ITJOLSZ,O,O,X,X,X,X
ITJOLZS,X,X,O,X,O,X
ITJOSLZ,O,O,X,X,X,X
ITJOSZL,O,O,X,X,X,X
ITJOZLS,X,X,O,O,O,X
ITJOZSL,X,O,O,O,O,X
ITSLJZO,O,O,X,X,X,X
ITSLJOZ,O,O,X,X,X,X
ITSLZJO,X,O,O,X,X,X
ITSLZOJ,X,O,O,X,X,X
ITSLOJZ,O,O,X,X,X,X
ITSLOZJ,X,O,O,X,X,X
ITSJLZO,O,O,X,X,X,X
ITSJLOZ,O,O,X,X,X,X
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,X,X,X,X
ITSJOLZ,O,O,X,X,X,X
ITSJOZL,O,O,X,X,X,X
ITSZLJO,X,O,O,X,X,X
ITSZLOJ,X,O,O,X,X,X
ITSZJLO,X,O,O,O,X,X
ITSZJOL,X,O,O,O,X,X
ITSZOLJ,X,O,O,X,X,X
ITSZOJL,X,O,O,O,X,X
ITSOLJZ,O,O,X,X,X,X
ITSOLZJ,X,O,O,X,X,X
ITSOJLZ,O,O,X,X,X,X
ITSOJZL,O,O,X,X,X,X
ITSOZLJ,X,O,O,X,X,X
ITSOZJL,X,O,O,O,X,X
ITZLJSO,X,X,O,O,X,O
ITZLJOS,X,X,O,O,O,O
ITZLSJO,X,X,O,X,X,O
ITZLSOJ,X,X,O,X,O,O
ITZLOJS,X,X,O,O,O,O
ITZLOSJ,X,X,O,X,O,O
ITZJLSO,X,X,O,O,X,O
ITZJLOS,X,X,O,O,O,O
ITZJSLO,X,O,O,O,X,O
ITZJSOL,X,O,O,O,X,X
ITZJOLS,X,X,O,O,O,O
ITZJOSL,X,O,O,O,O,X
ITZSLJO,X,O,O,X,X,O
ITZSLOJ,X,O,O,X,O,O
ITZSJLO,X,O,O,O,X,O
ITZSJOL,X,O,O,O,X,X
ITZSOLJ,X,O,O,X,O,X
ITZSOJL,X,O,O,O,O,X
ITZOLJS,X,X,O,O,O,O
ITZOLSJ,X,X,O,X,O,O
ITZOJLS,X,X,O,O,O,O
ITZOJSL,X,O,O,O,O,X
ITZOSLJ,X,O,O,X,O,X
ITZOSJL,X,O,O,O,O,X
ITOLJSZ,O,O,X,X,X,X
ITOLJZS,X,X,O,X,O,X
ITOLSJZ,O,O,X,X,X,X
ITOLSZJ,X,O,O,X,X,X
ITOLZJS,X,X,O,O,O,X
ITOLZSJ,X,X,O,X,O,X
ITOJLSZ,O,O,X,X,X,X
ITOJLZS,X,X,O,X,O,X
ITOJSLZ,O,O,X,X,X,X
ITOJSZL,O,O,X,X,X,X
ITOJZLS,X,X,O,O,O,X
ITOJZSL,X,O,O,O,O,X
ITOSLJZ,O,O,X,X,X,X
ITOSLZJ,X,O,O,X,X,X
ITOSJLZ,O,O,X,X,X,X
ITOSJZL,O,O,X,X,X,X
ITOSZLJ,X,O,O,X,X,X
ITOSZJL,X,O,O,O,X,X
ITOZLJS,X,X,O,O,O,X
ITOZLSJ,X,X,O,X,O,X
ITOZJLS,X,X,O,O,O,X
ITOZJSL,X,O,O,O,O,X
ITOZSLJ,X,O,O,X,O,X
ITOZSJL,X,O,O,O,O,X
ILTJSZO,X,O,X,X,X,X
ILTJSOZ,X,O,X,X,X,X
ILTJZSO,X,X,O,X,X,O
ILTJZOS,X,X,O,X,X,O
ILTJOSZ,X,O,X,X,X,X
ILTJOZS,X,X,O,X,O,O
ILTSJZO,X,O,X,X,X,X
ILTSJOZ,X,O,X,X,X,X
ILTSZJO,X,O,O,X,X,X
ILTSZOJ,X,O,O,X,X,X
ILTSOJZ,X,O,X,X,X,X
ILTSOZJ,X,O,O,X,X,X
ILTZJSO,X,X,O,O,X,O
ILTZJOS,X,X,O,O,O,O
ILTZSJO,X,X,O,X,X,O
ILTZSOJ,X,X,O,X,O,O
ILTZOJS,X,X,O,O,O,O
ILTZOSJ,X,X,O,X,O,O
ILTOJSZ,X,O,X,X,X,X
ILTOJZS,X,X,O,X,O,O
ILTOSJZ,X,O,X,X,X,X
ILTOSZJ,X,O,O,X,X,X
ILTOZJS,X,X,O,O,O,O
ILTOZSJ,X,X,O,X,O,O
ILJTSZO,O,O,X,X,X,X
ILJTSOZ,O,O,X,X,X,X
ILJTZSO,X,X,O,X,X,O
ILJTZOS,X,X,O,X,X,O
ILJTOSZ,O,O,X,X,X,X
ILJTOZS,X,X,O,X,O,O
ILJSTZO,X,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X
ILJSZTO,X,X,O,X,X,O
ILJSZOT,O,O,X,X,X,O
ILJSOTZ,O,O,X,X,X,X
ILJSOZT,O,O,X,X,O,O
ILJZTSO,X,X,O,O,X,O
ILJZTOS,X,X,O,O,O,O
ILJZSTO,X,X,O,X,X,O
ILJZSOT,X,X,X,X,X,O
ILJZOTS,X,X,O,O,O,O
ILJZOST,X,X,X,X,O,O
ILJOTSZ,O,O,X,X,X,X
ILJOTZS,X,X,X,X,O,O
ILJOSTZ,O,O,X,X,X,X
ILJOSZT,O,O,X,X,O,O
ILJOZTS,X,X,O,O,O,O
ILJOZST,X,X,X,X,O,O
ILSTJZO,X,O,X,X,X,X
ILSTJOZ,X,O,X,X,X,X
ILSTZJO,X,O,O,X,X,X
ILSTZOJ,X,O,O,X,X,X
ILSTOJZ,X,O,X,X,X,X
ILSTOZJ,X,O,O,X,X,X
ILSJTZO,X,O,X,X,X,X
ILSJTOZ,O,O,X,X,X,X
ILSJZTO,X,X,O,X,X,O
ILSJZOT,O,O,X,X,X,O
ILSJOTZ,O,O,X,X,X,X
ILSJOZT,O,O,X,X,O,O
ILSZTJO,X,O,O,X,X,O
ILSZTOJ,X,O,O,X,O,O
ILSZJTO,X,X,O,X,X,O
ILSZJOT,X,O,X,X,X,O
ILSZOTJ,X,O,X,X,O,O
ILSZOJT,X,O,X,X,O,O
ILSOTJZ,X,O,X,X,X,X
ILSOTZJ,X,O,X,X,X,X
ILSOJTZ,O,O,X,X,X,X
ILSOJZT,O,O,X,X,O,O
ILSOZTJ,X,O,X,X,O,O
ILSOZJT,X,O,X,X,O,O
ILZTJSO,X,X,O,O,X,O
ILZTJOS,X,X,O,O,O,O
ILZTSJO,X,X,O,X,X,O
ILZTSOJ,X,X,O,X,O,O
ILZTOJS,X,X,O,O,O,O
ILZTOSJ,X,X,O,X,O,O
ILZJTSO,X,X,O,O,X,O
ILZJTOS,X,X,O,O,O,O
ILZJSTO,X,X,O,X,X,O
ILZJSOT,X,X,X,X,X,O
ILZJOTS,X,X,O,O,O,O
ILZJOST,X,X,X,X,O,O
ILZSTJO,X,X,O,X,X,O
ILZSTOJ,X,X,O,X,O,O
ILZSJTO,X,X,O,X,X,O
ILZSJOT,X,X,X,X,X,O
ILZSOTJ,X,X,X,X,O,O
ILZSOJT,X,X,X,X,O,O
ILZOTJS,X,X,O,O,O,O
ILZOTSJ,X,X,O,X,O,O
ILZOJTS,X,X,O,O,O,O
ILZOJST,X,X,X,X,O,O
ILZOSTJ,X,X,X,X,O,O
ILZOSJT,X,X,X,X,O,O
ILOTJSZ,X,O,X,X,X,X
ILOTJZS,X,X,O,X,O,O
ILOTSJZ,X,O,X,X,X,X
ILOTSZJ,X,O,O,X,X,X
ILOTZJS,X,X,O,O,O,O
ILOTZSJ,X,X,O,X,O,O
ILOJTSZ,O,O,X,X,X,X
ILOJTZS,X,X,X,X,O,O
ILOJSTZ,O,O,X,X,X,X
ILOJSZT,O,O,X,X,O,O
ILOJZTS,X,X,O,O,O,O
ILOJZST,X,X,X,X,O,O
ILOSTJZ,X,O,X,X,X,X
ILOSTZJ,X,O,X,X,X,X
ILOSJTZ,O,O,X,X,X,X
ILOSJZT,O,O,X,X,O,O
ILOSZTJ,X,O,X,X,O,O
ILOSZJT,X,O,X,X,O,O
ILOZTJS,X,X,O,O,O,O
ILOZTSJ,X,X,O,X,O,O
ILOZJTS,X,X,O,O,O,O
ILOZJST,X,X,X,X,O,O
ILOZSTJ,X,X,X,X,O,O
ILOZSJT,X,X,X,X,O,O
IJTLSZO,O,O,X,X,X,X
IJTLSOZ,O,O,X,X,X,X
IJTLZSO,X,X,O,X,X,O
IJTLZOS,X,X,O,X,X,O
IJTLOSZ,O,O,X,X,X,X
IJTLOZS,X,X,O,X,O,O
IJTSLZO,O,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,X
IJTSZLO,O,O,X,X,X,X
IJTSZOL,O,O,X,X,X,X
IJTSOLZ,O,O,X,X,X,X
IJTSOZL,O,O,X,X,X,X
IJTZLSO,X,X,O,O,X,O
IJTZLOS,X,X,O,O,X,O
IJTZSLO,X,O,O,O,X,O
IJTZSOL,X,O,O,O,X,X
IJTZOLS,X,X,O,O,X,O
IJTZOSL,X,O,O,O,X,X
IJTOLSZ,O,O,X,X,X,X
IJTOLZS,X,X,O,X,O,X
IJTOSLZ,O,O,X,X,X,X
IJTOSZL,O,O,X,X,X,X
IJTOZLS,X,X,O,O,O,X
IJTOZSL,X,O,O,O,O,X
IJLTSZO,O,O,X,X,X,X
IJLTSOZ,O,O,X,X,X,X
IJLTZSO,X,X,O,X,X,O
IJLTZOS,X,X,O,X,X,O
IJLTOSZ,O,O,X,X,X,X
IJLTOZS,X,X,O,X,O,O
IJLSTZO,O,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X
IJLSZTO,X,X,O,X,X,O
IJLSZOT,O,O,X,X,X,O
IJLSOTZ,O,O,X,X,X,X
IJLSOZT,O,O,X,X,O,O
IJLZTSO,X,X,O,O,X,O
IJLZTOS,X,X,O,O,O,O
IJLZSTO,X,X,O,X,X,O
IJLZSOT,X,X,X,X,X,O
IJLZOTS,X,X,O,O,O,O
IJLZOST,X,X,X,X,O,O
IJLOTSZ,O,O,X,X,X,X
IJLOTZS,X,X,X,X,O,O
IJLOSTZ,O,O,X,X,X,X
IJLOSZT,O,O,X,X,O,O
IJLOZTS,X,X,O,O,O,O
IJLOZST,X,X,X,X,O,O
IJSTLZO,O,O,X,X,X,X
IJSTLOZ,O,O,X,X,X,X
IJSTZLO,O,O,X,X,X,X
IJSTZOL,O,O,X,X,X,X
IJSTOLZ,O,O,X,X,X,X
IJSTOZL,O,O,X,X,X,X
IJSLTZO,O,O,X,X,X,X
IJSLTOZ,O,O,X,X,X,X
IJSLZTO,X,X,O,X,X,O
IJSLZOT,O,O,X,X,X,O
IJSLOTZ,O,O,X,X,X,X
IJSLOZT,O,O,X,X,O,O
IJSZTLO,O,X,O,O,X,O
IJSZTOL,O,X,O,O,X,X
IJSZLTO,X,X,O,X,X,O
IJSZLOT,O,O,X,X,X,O
IJSZOTL,O,X,X,O,X,X
IJSZOLT,O,O,X,X,X,X
IJSOTLZ,O,O,X,X,X,X
IJSOTZL,O,O,X,X,X,X
IJSOLTZ,O,O,X,X,X,X
IJSOLZT,O,O,X,X,O,X
IJSOZTL,O,X,X,O,O,X
IJSOZLT,O,O,X,X,O,X
IJZTLSO,X,X,O,O,X,O
IJZTLOS,X,X,O,O,O,O
IJZTSLO,X,O,O,O,X,O
IJZTSOL,X,O,O,O,X,X
IJZTOLS,X,X,O,O,O,O
IJZTOSL,X,O,O,O,O,X
IJZLTSO,X,X,O,O,X,O
IJZLTOS,X,X,O,O,O,O
IJZLSTO,X,X,O,X,X,O
IJZLSOT,X,X,X,X,X,O
IJZLOTS,X,X,O,O,O,O
IJZLOST,X,X,X,X,O,O
IJZSTLO,O,X,O,O,X,O
IJZSTOL,O,X,O,O,X,X
IJZSLTO,X,X,O,X,X,O
IJZSLOT,O,O,X,X,X,O
IJZSOTL,O,X,X,O,X,X
IJZSOLT,O,O,X,X,X,X
IJZOTLS,X,X,O,O,O,O
IJZOTSL,X,O,O,O,O,X
IJZOLTS,X,X,O,O,O,O
IJZOLST,X,X,X,X,O,O
IJZOSTL,O,X,X,O,O,X
IJZOSLT,O,O,X,X,O,X
IJOTLSZ,O,O,X,X,X,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,O,O,X,X,X,X
IJOTSZL,O,O,X,X,X,X
IJOTZLS,X,X,X,O,O,X
IJOTZSL,X,O,X,O,O,X
IJOLTSZ,O,O,X,X,X,X
IJOLTZS,X,X,X,X,O,O
IJOLSTZ,O,O,X,X,X,X
IJOLSZT,O,O,X,X,O,O
IJOLZTS,X,X,O,O,O,O
IJOLZST,X,X,X,X,O,O
IJOSTLZ,O,O,X,X,X,X
IJOSTZL,O,O,X,X,X,X
IJOSLTZ,O,O,X,X,X,X
IJOSLZT,O,O,X,X,O,X
IJOSZTL,O,X,X,O,O,X
IJOSZLT,O,O,X,X,O,X
IJOZTLS,X,X,O,O,O,O
IJOZTSL,X,O,O,O,O,X
IJOZLTS,X,X,O,O,O,O
IJOZLST,X,X,X,X,O,O
IJOZSTL,O,X,X,O,O,X
IJOZSLT,O,O,X,X,O,X
ISTLJZO,O,O,X,X,X,X
ISTLJOZ,O,O,X,X,X,X
ISTLZJO,X,O,O,X,X,X
ISTLZOJ,X,O,O,X,X,X
ISTLOJZ,O,O,X,X,X,X
ISTLOZJ,X,O,O,X,X,X
ISTJLZO,O,O,X,X,X,X
ISTJLOZ,O,O,X,X,X,X
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,X,X,X,X
ISTJOLZ,O,O,X,X,X,X
ISTJOZL,O,O,X,X,X,X
ISTZLJO,X,O,O,X,X,X
ISTZLOJ,X,O,O,X,X,X
ISTZJLO,X,O,O,O,X,X
ISTZJOL,X,O,O,O,X,X
ISTZOLJ,X,O,O,X,X,X
ISTZOJL,X,O,O,O,X,X
ISTOLJZ,O,O,X,X,X,X
ISTOLZJ,X,O,O,X,X,X
ISTOJLZ,O,O,X,X,X,X
ISTOJZL,O,O,X,X,X,X
ISTOZLJ,X,O,O,X,X,X
ISTOZJL,X,O,O,O,X,X
ISLTJZO,X,O,X,X,X,X
ISLTJOZ,X,O,X,X,X,X
ISLTZJO,X,O,O,X,X,X
ISLTZOJ,X,O,O,X,X,X
ISLTOJZ,X,O,X,X,X,X
ISLTOZJ,X,O,O,X,X,X
ISLJTZO,X,O,X,X,X,X
ISLJTOZ,O,O,X,X,X,X
ISLJZTO,X,X,O,X,X,O
ISLJZOT,O,O,X,X,X,O
ISLJOTZ,O,O,X,X,X,X
ISLJOZT,O,O,X,X,O,O
ISLZTJO,X,O,O,X,X,O
ISLZTOJ,X,O,O,X,O,O
ISLZJTO,X,X,O,X,X,O
ISLZJOT,X,O,X,X,X,O
ISLZOTJ,X,O,X,X,O,O
ISLZOJT,X,O,X,X,O,O
ISLOTJZ,X,O,X,X,X,X
ISLOTZJ,X,O,X,X,X,X
ISLOJTZ,O,O,X,X,X,X
ISLOJZT,O,O,X,X,O,O
ISLOZTJ,X,O,X,X,O,O
ISLOZJT,X,O,X,X,O,O
ISJTLZO,O,O,X,X,X,X
ISJTLOZ,O,O,X,X,X,X
ISJTZLO,O,O,X,X,X,X
ISJTZOL,O,O,X,X,X,X
ISJTOLZ,O,O,X,X,X,X
ISJTOZL,O,O,X,X,X,X
ISJLTZO,O,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,X
ISJLZTO,X,X,O,X,X,O
ISJLZOT,O,O,X,X,X,O
ISJLOTZ,O,O,X,X,X,X
ISJLOZT,O,O,X,X,O,O
ISJZTLO,O,X,O,O,X,O
ISJZTOL,O,X,O,O,X,X
ISJZLTO,X,X,O,X,X,O
ISJZLOT,O,O,X,X,X,O
ISJZOTL,O,X,X,O,X,X
ISJZOLT,O,O,X,X,X,X
ISJOTLZ,O,O,X,X,X,X
ISJOTZL,O,O,X,X,X,X
ISJOLTZ,O,O,X,X,X,X
ISJOLZT,O,O,X,X,O,X
ISJOZTL,O,X,X,O,O,X
ISJOZLT,O,O,X,X,O,X
ISZTLJO,X,O,O,X,X,O
ISZTLOJ,X,O,O,X,O,O
ISZTJLO,X,O,O,O,X,O
ISZTJOL,X,O,O,O,X,X
ISZTOLJ,X,O,O,X,O,X
ISZTOJL,X,O,O,O,O,X
ISZLTJO,X,O,O,X,X,O
ISZLTOJ,X,O,O,X,O,O
ISZLJTO,X,X,O,X,X,O
ISZLJOT,X,O,X,X,X,O
ISZLOTJ,X,O,X,X,O,O
ISZLOJT,X,O,X,X,O,O
ISZJTLO,X,X,O,O,X,O
ISZJTOL,X,X,O,O,X,X
ISZJLTO,X,X,O,X,X,O
ISZJLOT,X,O,X,X,X,O
ISZJOTL,X,X,X,O,X,X
ISZJOLT,X,O,X,X,X,X
ISZOTLJ,X,O,X,X,O,X
ISZOTJL,X,O,X,O,O,X
ISZOLTJ,X,O,X,X,O,X
ISZOLJT,X,O,X,X,O,X
ISZOJTL,X,X,X,O,O,X
ISZOJLT,X,O,X,X,O,X
ISOTLJZ,O,O,X,X,X,X
ISOTLZJ,X,O,X,X,X,X
ISOTJLZ,O,O,X,X,X,X
ISOTJZL,O,O,X,X,X,X
ISOTZLJ,X,O,X,X,X,X
ISOTZJL,X,O,X,O,X,X
ISOLTJZ,X,O,X,X,X,X
ISOLTZJ,X,O,X,X,X,X
ISOLJTZ,O,O,X,X,X,X
ISOLJZT,O,O,X,X,O,X
ISOLZTJ,X,O,X,X,O,X
ISOLZJT,X,O,X,X,O,X
ISOJTLZ,O,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X
ISOJLTZ,O,O,X,X,X,X
ISOJLZT,O,O,X,X,O,X
ISOJZTL,O,X,X,O,O,X
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,X,O,X,X,O,X
ISOZTJL,X,O,X,O,O,X
ISOZLTJ,X,O,X,X,O,X
ISOZLJT,X,O,X,X,O,X
ISOZJTL,X,X,X,O,O,X
ISOZJLT,X,O,X,X,O,X
IZTLJSO,X,X,O,O,X,O
IZTLJOS,X,X,O,O,O,O
IZTLSJO,X,X,O,X,X,O
IZTLSOJ,X,X,O,X,O,O
IZTLOJS,X,X,O,O,O,O
IZTLOSJ,X,X,O,X,O,O
IZTJLSO,X,X,O,O,X,O
IZTJLOS,X,X,O,O,O,O
IZTJSLO,X,O,O,O,X,O
IZTJSOL,X,O,O,O,X,X
IZTJOLS,X,X,O,O,O,O
IZTJOSL,X,O,O,O,O,X
IZTSLJO,X,O,O,X,X,O
IZTSLOJ,X,O,O,X,O,O
IZTSJLO,X,O,O,O,X,O
IZTSJOL,X,O,O,O,X,X
IZTSOLJ,X,O,O,X,O,X
IZTSOJL,X,O,O,O,O,X
IZTOLJS,X,X,O,O,O,O
IZTOLSJ,X,X,O,X,O,O
IZTOJLS,X,X,O,O,O,O
IZTOJSL,X,O,O,O,O,X
IZTOSLJ,X,O,O,X,O,X
IZTOSJL,X,O,O,O,O,X
IZLTJSO,X,X,O,O,X,O
IZLTJOS,X,X,O,O,O,O
IZLTSJO,X,X,O,X,X,O
IZLTSOJ,X,X,O,X,O,O
IZLTOJS,X,X,O,O,O,O
IZLTOSJ,X,X,O,X,O,O
IZLJTSO,X,X,O,O,X,O
IZLJTOS,X,X,O,O,O,O
IZLJSTO,X,X,O,X,X,O
IZLJSOT,X,X,X,X,X,O
IZLJOTS,X,X,O,O,O,O
IZLJOST,X,X,X,X,O,O
IZLSTJO,X,X,O,X,X,O
IZLSTOJ,X,X,O,X,O,O
IZLSJTO,X,X,O,X,X,O
IZLSJOT,X,X,X,X,X,O
IZLSOTJ,X,X,X,X,O,O
IZLSOJT,X,X,X,X,O,O
IZLOTJS,X,X,O,O,O,O
IZLOTSJ,X,X,O,X,O,O
IZLOJTS,X,X,O,O,O,O
IZLOJST,X,X,X,X,O,O
IZLOSTJ,X,X,X,X,O,O
IZLOSJT,X,X,X,X,O,O
IZJTLSO,X,X,O,O,X,O
IZJTLOS,X,X,O,O,O,O
IZJTSLO,X,O,O,O,X,O
IZJTSOL,X,O,O,O,X,X
IZJTOLS,X,X,O,O,O,O
IZJTOSL,X,O,O,O,O,X
IZJLTSO,X,X,O,O,X,O
IZJLTOS,X,X,O,O,O,O
IZJLSTO,X,X,O,X,X,O
IZJLSOT,X,X,X,X,X,O
IZJLOTS,X,X,O,O,O,O
IZJLOST,X,X,X,X,O,O
IZJSTLO,X,X,O,O,X,O
IZJSTOL,X,X,O,O,X,X
IZJSLTO,X,X,O,X,X,O
IZJSLOT,X,O,X,X,X,O
IZJSOTL,X,X,X,O,X,X
IZJSOLT,X,O,X,X,X,X
IZJOTLS,X,X,O,O,O,O
IZJOTSL,X,O,O,O,O,X
IZJOLTS,X,X,O,O,O,O
IZJOLST,X,X,X,X,O,O
IZJOSTL,X,X,X,O,O,X
IZJOSLT,X,O,X,X,O,X
IZSTLJO,X,O,O,X,X,O
IZSTLOJ,X,O,O,X,O,O
IZSTJLO,X,O,O,O,X,O
IZSTJOL,X,O,O,O,X,X
IZSTOLJ,X,O,O,X,O,X
IZSTOJL,X,O,O,O,O,X
IZSLTJO,X,O,O,X,X,O
IZSLTOJ,X,O,O,X,O,O
IZSLJTO,X,X,O,X,X,O
IZSLJOT,X,O,X,X,X,O
IZSLOTJ,X,O,X,X,O,O
IZSLOJT,X,O,X,X,O,O
IZSJTLO,X,X,O,O,X,O
IZSJTOL,X,X,O,O,X,X
IZSJLTO,X,X,O,X,X,O
IZSJLOT,X,O,X,X,X,O
IZSJOTL,X,X,X,O,X,X
IZSJOLT,X,O,X,X,X,X
IZSOTLJ,X,O,X,X,O,X
IZSOTJL,X,O,X,O,O,X
IZSOLTJ,X,O,X,X,O,X
IZSOLJT,X,O,X,X,O,X
IZSOJTL,X,X,X,O,O,X
IZSOJLT,X,O,X,X,O,X
IZOTLJS,X,X,O,O,O,O
IZOTLSJ,X,X,O,X,O,O
IZOTJLS,X,X,O,O,O,O
IZOTJSL,X,O,O,O,O,X
IZOTSLJ,X,O,O,X,O,X
IZOTSJL,X,O,O,O,O,X
IZOLTJS,X,X,O,O,O,O
IZOLTSJ,X,X,O,X,O,O
IZOLJTS,X,X,O,O,O,O
IZOLJST,X,X,X,X,O,O
IZOLSTJ,X,X,X,X,O,O
IZOLSJT,X,X,X,X,O,O
IZOJTLS,X,X,O,O,O,O
IZOJTSL,X,O,O,O,O,X
IZOJLTS,X,X,O,O,O,O
IZOJLST,X,X,X,X,O,O
IZOJSTL,X,X,X,O,O,X
IZOJSLT,X,O,X,X,O,X
IZOSTLJ,X,O,X,X,O,X
IZOSTJL,X,O,X,O,O,X
IZOSLTJ,X,O,X,X,O,X
IZOSLJT,X,O,X,X,O,X
IZOSJTL,X,X,X,O,O,X
IZOSJLT,X,O,X,X,O,X
IOTLJSZ,O,O,X,X,X,X
IOTLJZS,X,X,O,X,O,X
IOTLSJZ,O,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X
IOTLZJS,X,X,O,O,O,X
IOTLZSJ,X,X,O,X,O,X
IOTJLSZ,O,O,X,X,X,X
IOTJLZS,X,X,O,X,O,X
IOTJSLZ,O,O,X,X,X,X
IOTJSZL,O,O,X,X,X,X
IOTJZLS,X,X,O,O,O,X
IOTJZSL,X,O,O,O,O,X
IOTSLJZ,O,O,X,X,X,X
IOTSLZJ,X,O,O,X,X,X
IOTSJLZ,O,O,X,X,X,X
IOTSJZL,O,O,X,X,X,X
