sequence,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhF/mBUiBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFThBNnB2pBqqB0r?B3pB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8JeNEJvhFUgBRhB6rBOsB3p?BzqB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFdmBUiBzkBfsBWw?BCqB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFNmBUiBxpBzrBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFThBNnBxpB0rBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Jem/IvhFChBNnBxpBXrBTp?B0rB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBdmBUiBfsBCq?BWwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8Je/GJvhFUiBxkBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JezAJvhFNnBxpBXrBOpB8p?BqrB,v115@EhC8HeB8GeC8BeA8DeC8Je0/IvhFThBNnBKpBWrBXl?BRwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNmBOpB8pBqqBXn?BzrB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFCgB8pBtqBXnBTr?BmrB
JLSIOTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLSIOZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JLSZTIO,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JLSZTOI,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JLSZITO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JLSZIOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JLSZOTI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JLSZOIT,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X
JLSOTIZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLSOTZI,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLSOITZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLSOIZT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JLSOZTI,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLSOZIT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JLZTISO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JLZTIOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
JLZTSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZTSOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JLZTOIS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JLZTOSI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JLZITSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JLZITOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JLZISTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X
JLZISOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JLZIOTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
JLZIOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JLZSTIO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JLZSTOI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JLZSITO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JLZSIOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JLZSOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JLZSOIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JLZOTIS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZOTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZOITS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JLZOIST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JLZOSTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JLZOSIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JLOTISZ,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOTIZS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOTSZI,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOTZIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTZSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOITSZ,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOITZS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOISZT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JLOIZTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JLOSTIZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOSTZI,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOSITZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOSIZT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JLOSZTI,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOSZIT,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X
JLOZTIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZTSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZITS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JLOZSTI,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JLOZSIT,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JSTILZO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JSTILOZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JSTIZLO,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
JSTIZOL,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JSTIOLZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTIOZL,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSTLIZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTLZIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JSTLZOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
JSTLOIZ,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTLOZI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSTZIOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSTZLIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSTZLOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JSTZOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOILZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOIZL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOLZI,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSITLZO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JSITLOZ,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
JSITZLO,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
JSITZOL,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JSITOLZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSITOZL,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSILTZO,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JSILTOZ,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JSILZTO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSILZOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSILOTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSILOZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIZTLO,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O
JSIZTOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSIZLTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
JSIZLOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIZOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JSIOTZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLTIOZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSLTZIO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JSLTZOI,O,O,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X
JSLTOIZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSLTOZI,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSLITZO,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLITOZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLIZTO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLIZOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLIOTZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLIOZT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLZTIO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JSLZTOI,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JSLZITO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JSLZIOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSLZOTI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSLZOIT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSLOTIZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLOTZI,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLOITZ,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLOIZT,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLOZTI,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSLOZIT,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JSZTILO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZTIOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZTLIO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O
JSZTLOI,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
JSZTOIL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZITLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZITOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JSZILTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O
JSZILOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSZIOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O
JSZLTOI,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JSZLITO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O
JSZLIOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSZLOTI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSZLOIT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JSZOTIL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JSZOLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JSOTILZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOTLZI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOILZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOLITZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOLIZT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOZTLI,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOZILT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTILSO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
JZTILOS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X
JZTISLO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
JZTISOL,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
JZTIOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZTIOSL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZTLISO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZTLIOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZTLSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZTLSOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZTLOIS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZTLOSI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZTSILO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JZTSIOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZTSLIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O
JZTSLOI,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,O,X
JZTSOIL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTOILS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
JZTOISL,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JZTOLIS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOLSI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JZTOSIL,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZTOSLI,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZITLSO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
JZITLOS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,O,X
JZITSLO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
JZITSOL,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
JZITOLS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZITOSL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILTSO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
JZILTOS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X
JZILSTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O
JZILSOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZILOTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZILOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZISTLO,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O
JZISTOL,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O
JZISLTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O
JZISLOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZISOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOTSL,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZIOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZIOSTL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLTIOS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLTSIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLTSOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLTOIS,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLTOSI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
JZLITSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZLITOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLISTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O
JZLISOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLIOTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLIOST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLSTIO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O
JZLSTOI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X
JZLSITO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,O
JZLSIOT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLSOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLSOIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JZLOTIS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLOTSI,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLOITS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
JZLOIST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JZLOSTI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZLOSIT,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X
JZSTILO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSTIOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSTLIO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O
JZSTLOI,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
JZSTOIL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSITLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSITOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
JZSILTO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O
JZSILOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZSIOTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O
JZSLTOI,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
JZSLITO,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O
JZSLIOT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZSLOTI,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZSLOIT,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
JZSOTIL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOTLI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JZSOLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JZOTILS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZOTISL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZOTLIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTLSI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZOTSIL,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOTSLI,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZOITLS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZOITSL,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZOILTS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
JZOILST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JZOISTL,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JZOISLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZOLTSI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZOLITS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZOLIST,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JZOLSTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZOLSIT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X
JZOSTIL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZOSTLI,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZOSITL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZOSILT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JZOSLIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JOTILSZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOTISLZ,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOTIZLS,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JOTIZSL,O,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JOTLISZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLSIZ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOTLZSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
