sequence,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhF/mBUiBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFThBNnB2pBqqB0r?B3pB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBWmBNnBCqB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8JeNEJvhFUgBRhB6rBOsB3p?BzqB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFdmBUiBzkBfsBWw?BCqB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpBXr?B0rB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFNmBUiBxpBzrBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Je2EJvhFThBNnBxpB0rBqq?B3pB,v115@EhC8HeB8GeC8BeA8DeC8Jem/IvhFChBNnBxpBXrBTp?B0rB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFzfBdmBUiBfsBCq?BWwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNnBmkBCmBTpB0r?BXrB,v115@EhC8HeB8GeC8BeA8DeC8Je/GJvhFUiBxkBmkBtqBTp?BywB,v115@EhC8HeB8GeC8BeA8DeC8JezAJvhFNnBxpBXrBOpB8p?BqrB,v115@EhC8HeB8GeC8BeA8DeC8Je0/IvhFThBNnBKpBWrBXl?BRwB,v115@EhC8HeB8GeC8BeA8DeC8Jex/IvhFNmBOpB8pBqqBXn?BzrB,v115@EhC8HeB8GeC8BeA8DeC8JeZEJvhFCgB8pBtqBXnBTr?BmrB
TIOLJSZ,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TIOLJZS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOLSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOLZSJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
TIOJLZS,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOJSLZ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
TIOJSZL,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
TIOJZSL,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TIOSLJZ,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIOSJLZ,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
TIOSZJL,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,O
TIOZLJS,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TIOZJLS,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIOZSJL,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
TLIJSZO,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TLIJSOZ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TLIJZSO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TLIJZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIJOSZ,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TLIJOZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLISJZO,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X
TLISJOZ,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X
TLISZJO,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,O
TLISZOJ,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O
TLISOJZ,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TLISOZJ,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
TLIZJSO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O
TLIZJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
TLIZSJO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O
TLIZSOJ,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TLIZOJS,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIZOSJ,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
