sequence,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFxcBTeB?XgBmhBFmB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFOiBTeB?xgBUlBFmBXrB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeq/IvhFxbBXdB?TeB2mB1qB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeR7IvhFOiBTeB?CgB/qBFmBcrB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8JeC7IvhFxcBTeB?mhBFlBXmB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeu/IvhFFdBTeB?xgB3gBimB0qB,v115@zgA8IeA8FeA8BeA8FeE8CeH8BeE8Jeq/IvhF2gBXdB?TeBRmBFmB0qB
TZOSLIJ,O,O,O,X,O,X,O
TZOSLJI,O,O,O,X,O,X,O
TZOSJIL,O,O,O,X,O,X,X
TZOSJLI,O,O,O,X,O,X,X
TOILJSZ,O,X,O,X,O,O,X
TOILJZS,X,X,O,X,X,O,X
TOILSJZ,O,X,O,X,O,O,X
TOILSZJ,O,X,O,X,O,X,O
TOILZJS,X,X,X,X,X,O,O
TOILZSJ,X,X,X,X,O,X,O
TOIJLSZ,O,X,O,X,O,O,X
TOIJLZS,X,X,O,X,X,O,X
TOIJSLZ,O,X,O,X,O,X,X
TOIJSZL,O,X,O,X,O,X,X
TOIJZLS,X,O,O,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X
TOISLJZ,O,X,O,X,O,X,X
TOISLZJ,O,X,O,X,O,X,O
TOISJLZ,O,X,O,X,O,X,X
TOISJZL,O,X,O,X,O,X,X
TOISZLJ,O,X,O,X,O,X,X
TOISZJL,X,X,X,X,O,X,X
TOIZLJS,O,O,X,X,X,X,X
TOIZLSJ,O,O,X,X,O,X,X
TOIZJLS,O,O,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X
TOLIJSZ,O,X,O,X,O,O,X
TOLIJZS,X,X,O,X,X,O,X
TOLISJZ,O,X,O,X,O,O,X
TOLISZJ,O,X,O,X,O,X,O
TOLIZJS,X,X,X,X,X,O,O
TOLIZSJ,X,X,X,X,O,X,O
TOLJISZ,O,X,O,X,O,O,X
TOLJIZS,X,X,O,X,X,O,X
TOLJSIZ,O,X,O,O,X,O,O
TOLJSZI,O,X,O,O,X,O,O
TOLJZIS,X,O,O,X,X,O,X
TOLJZSI,X,O,O,X,X,O,X
TOLSIJZ,O,X,O,O,O,O,X
TOLSIZJ,O,X,O,X,O,X,O
TOLSJIZ,O,X,O,O,O,O,O
TOLSJZI,O,X,O,O,O,O,O
TOLSZIJ,O,X,O,X,O,X,O
TOLSZJI,O,X,O,O,O,X,O
TOLZIJS,X,O,X,X,X,O,O
TOLZISJ,X,O,X,X,O,X,O
TOLZJIS,X,O,O,X,X,O,X
TOLZJSI,X,O,O,X,X,O,O
TOLZSIJ,X,O,O,X,X,X,O
TOLZSJI,X,O,O,X,X,X,O
TOJILSZ,O,X,O,X,O,O,X
TOJILZS,X,X,O,X,X,O,X
TOJISLZ,O,X,O,X,O,X,X
TOJISZL,O,X,O,X,O,X,X
TOJIZLS,X,O,O,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X
TOJLISZ,O,X,O,X,O,O,X
TOJLIZS,X,X,O,X,X,O,X
TOJLSIZ,O,X,O,O,X,O,X
TOJLSZI,O,X,O,O,X,O,X
TOJLZIS,X,O,O,X,X,O,X
TOJLZSI,X,O,O,X,X,O,X
TOJSILZ,O,X,O,O,O,X,X
TOJSIZL,O,X,O,X,O,X,X
TOJSLIZ,O,X,O,O,O,O,X
TOJSLZI,O,X,O,O,O,O,X
TOJSZIL,O,O,O,X,O,X,X
TOJSZLI,O,O,O,O,O,X,X
TOJZILS,X,O,O,X,X,X,X
TOJZISL,O,O,O,X,X,X,X
TOJZLIS,X,O,O,X,X,O,X
TOJZLSI,X,O,O,X,X,O,X
TOJZSIL,O,O,O,X,X,X,X
TOJZSLI,O,O,O,X,X,X,X
TOSILJZ,O,X,O,O,O,X,X
TOSILZJ,O,X,O,X,O,X,O
TOSIJLZ,O,X,O,O,O,X,X
TOSIJZL,O,X,O,X,O,X,X
TOSIZLJ,O,X,O,X,O,X,X
TOSIZJL,X,X,X,X,O,X,X
TOSLIJZ,O,X,O,O,O,O,X
TOSLIZJ,O,X,O,X,O,X,O
TOSLJIZ,O,X,O,O,O,O,O
TOSLJZI,O,X,O,O,O,O,O
TOSLZIJ,O,X,O,X,O,X,O
TOSLZJI,O,X,O,O,O,X,O
TOSJILZ,O,X,O,O,O,X,X
TOSJIZL,O,X,O,X,O,X,X
TOSJLIZ,O,X,O,O,O,O,X
TOSJLZI,O,X,O,O,O,O,X
TOSJZIL,O,O,O,X,O,X,X
TOSJZLI,O,O,O,O,O,X,X
TOSZILJ,O,O,O,X,O,X,O
TOSZIJL,O,O,X,X,O,X,X
TOSZLIJ,O,O,O,X,O,X,O
TOSZLJI,O,O,O,O,O,X,O
TOSZJIL,O,O,O,X,O,X,X
TOSZJLI,O,O,O,O,O,X,X
TOZILJS,O,O,X,X,X,X,O
TOZILSJ,O,O,X,X,O,X,O
TOZIJLS,O,O,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,O
TOZISJL,O,O,X,X,X,X,X
TOZLIJS,O,O,X,X,X,O,O
TOZLISJ,O,O,X,X,O,O,O
TOZLJIS,O,O,O,X,X,O,X
TOZLJSI,O,O,O,X,X,O,O
TOZLSIJ,O,O,O,X,X,O,O
TOZLSJI,O,O,O,X,X,O,O
TOZJILS,O,O,O,X,X,X,X
TOZJISL,O,O,O,X,X,X,X
TOZJLIS,O,O,O,X,X,O,X
TOZJLSI,O,O,O,X,X,O,X
TOZJSIL,O,O,O,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X
TOZSILJ,O,O,O,X,O,X,O
TOZSIJL,O,O,X,X,O,X,X
TOZSLIJ,O,O,O,X,O,X,O
TOZSLJI,O,O,O,X,O,X,O
TOZSJIL,O,O,O,X,O,X,X
TOZSJLI,O,O,O,X,O,X,X
ITLJSZO,O,X,O,X,X,X,X
ITLJSOZ,O,X,O,X,X,O,X
ITLJZSO,X,X,O,X,X,O,X
ITLJZOS,X,X,O,X,X,O,X
ITLJOSZ,O,X,O,X,O,O,X
ITLJOZS,X,X,O,X,X,O,X
ITLSJZO,X,X,O,X,X,X,X
ITLSJOZ,O,X,O,X,X,O,X
ITLSZJO,X,X,X,X,X,X,O
ITLSZOJ,O,X,O,X,X,X,O
ITLSOJZ,O,X,O,X,O,O,X
ITLSOZJ,O,X,O,X,O,X,O
ITLZJSO,X,X,X,X,X,X,O
ITLZJOS,X,X,X,X,X,O,O
ITLZSJO,X,X,X,X,X,X,O
ITLZSOJ,X,X,X,X,X,X,O
ITLZOJS,X,X,X,X,X,O,O
ITLZOSJ,X,X,X,X,O,X,O
ITLOJSZ,O,X,O,X,O,O,X
ITLOJZS,X,X,O,X,X,O,X
ITLOSJZ,O,X,O,X,O,O,X
ITLOSZJ,O,X,O,X,O,X,O
ITLOZJS,X,X,X,X,X,O,O
ITLOZSJ,X,X,X,X,O,X,O
ITJLSZO,O,X,O,X,X,X,X
ITJLSOZ,O,X,O,X,X,O,X
ITJLZSO,X,X,O,X,X,O,X
ITJLZOS,X,X,O,X,X,O,X
ITJLOSZ,O,X,O,X,O,O,X
ITJLOZS,X,X,O,X,X,O,X
ITJSLZO,O,X,O,X,O,X,X
ITJSLOZ,O,X,O,X,O,X,X
ITJSZLO,O,X,O,X,O,X,X
ITJSZOL,O,X,O,X,O,X,X
ITJSOLZ,O,X,O,X,O,X,X
ITJSOZL,O,X,O,X,O,X,X
ITJZLSO,X,O,O,X,X,X,X
ITJZLOS,X,O,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X
ITJZOLS,X,O,O,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X
ITJOLSZ,O,X,O,X,O,O,X
ITJOLZS,X,X,O,X,X,O,X
ITJOSLZ,O,X,O,X,O,X,X
ITJOSZL,O,X,O,X,O,X,X
ITJOZLS,X,O,O,X,X,X,X
ITJOZSL,O,O,O,X,X,X,X
ITSLJZO,O,X,O,X,O,X,X
ITSLJOZ,O,X,O,X,O,X,X
ITSLZJO,X,X,X,X,X,X,O
ITSLZOJ,O,X,O,X,O,X,O
ITSLOJZ,O,X,O,X,O,X,X
ITSLOZJ,O,X,O,X,O,X,O
ITSJLZO,O,X,O,X,O,X,X
ITSJLOZ,O,X,O,X,O,X,X
ITSJZLO,O,X,O,X,O,X,X
ITSJZOL,O,X,O,X,O,X,X
ITSJOLZ,O,X,O,X,O,X,X
ITSJOZL,O,X,O,X,O,X,X
ITSZLJO,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,X,O,X,X
ITSZJLO,X,X,X,X,O,X,X
ITSZJOL,X,X,X,X,O,X,X
ITSZOLJ,O,X,O,X,O,X,X
ITSZOJL,X,X,X,X,O,X,X
ITSOLJZ,O,X,O,X,O,X,X
ITSOLZJ,O,X,O,X,O,X,O
ITSOJLZ,O,X,O,X,O,X,X
ITSOJZL,O,X,O,X,O,X,X
ITSOZLJ,O,X,O,X,O,X,X
ITSOZJL,X,X,X,X,O,X,X
ITZLJSO,O,O,X,X,X,X,X
ITZLJOS,O,O,X,X,X,X,X
ITZLSJO,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X
ITZLOJS,O,O,X,X,X,X,X
ITZLOSJ,O,O,X,X,O,X,X
ITZJLSO,O,O,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X
ITZJSLO,O,O,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X
ITZJOLS,O,O,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X
ITZOLSJ,O,O,X,X,O,X,X
ITZOJLS,O,O,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X
ITOLJSZ,O,X,O,X,O,O,X
ITOLJZS,X,X,O,X,X,O,X
ITOLSJZ,O,X,O,X,O,O,X
ITOLSZJ,O,X,O,X,O,X,O
ITOLZJS,X,X,X,X,X,O,O
ITOLZSJ,X,X,X,X,O,X,O
ITOJLSZ,O,X,O,X,O,O,X
ITOJLZS,X,X,O,X,X,O,X
ITOJSLZ,O,X,O,X,O,X,X
ITOJSZL,O,X,O,X,O,X,X
ITOJZLS,X,O,O,X,X,X,X
ITOJZSL,O,O,O,X,X,X,X
ITOSLJZ,O,X,O,X,O,X,X
ITOSLZJ,O,X,O,X,O,X,O
ITOSJLZ,O,X,O,X,O,X,X
ITOSJZL,O,X,O,X,O,X,X
ITOSZLJ,O,X,O,X,O,X,X
ITOSZJL,X,X,X,X,O,X,X
ITOZLJS,O,O,X,X,X,X,X
ITOZLSJ,O,O,X,X,O,X,X
ITOZJLS,O,O,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X
ILTJSZO,O,X,O,X,X,X,X
ILTJSOZ,O,X,O,X,X,O,X
ILTJZSO,X,X,O,X,X,O,X
ILTJZOS,X,X,O,X,X,O,X
ILTJOSZ,O,X,O,X,O,O,X
ILTJOZS,X,X,O,X,X,O,X
ILTSJZO,X,X,O,X,X,X,X
ILTSJOZ,O,X,O,X,X,O,X
ILTSZJO,X,X,X,X,X,X,O
ILTSZOJ,O,X,O,X,X,X,O
ILTSOJZ,O,X,O,X,O,O,X
ILTSOZJ,O,X,O,X,O,X,O
ILTZJSO,X,X,X,X,X,X,O
ILTZJOS,X,X,X,X,X,O,O
ILTZSJO,X,X,X,X,X,X,O
ILTZSOJ,X,X,X,X,X,X,O
ILTZOJS,X,X,X,X,X,O,O
ILTZOSJ,X,X,X,X,O,X,O
ILTOJSZ,O,X,O,X,O,O,X
ILTOJZS,X,X,O,X,X,O,X
ILTOSJZ,O,X,O,X,O,O,X
ILTOSZJ,O,X,O,X,O,X,O
ILTOZJS,X,X,X,X,X,O,O
ILTOZSJ,X,X,X,X,O,X,O
ILJTSZO,O,X,X,X,X,X,X
ILJTSOZ,O,X,X,X,X,O,X
ILJTZSO,X,X,X,X,X,O,X
ILJTZOS,X,X,X,X,X,O,X
ILJTOSZ,O,X,X,X,X,O,X
ILJTOZS,X,X,X,X,X,O,X
ILJSTZO,X,X,X,O,O,X,X
ILJSTOZ,O,X,X,O,O,O,X
ILJSZTO,X,X,X,X,X,X,O
ILJSZOT,O,X,X,X,X,X,O
ILJSOTZ,O,X,X,O,O,O,O
ILJSOZT,O,X,X,X,X,X,O
ILJZTSO,X,X,X,X,X,O,O
ILJZTOS,X,X,X,X,X,O,O
ILJZSTO,O,X,X,X,X,O,O
ILJZSOT,O,X,X,X,X,O,O
ILJZOTS,X,X,X,X,X,O,O
ILJZOST,O,X,X,X,X,O,O
ILJOTSZ,O,X,X,X,X,O,X
ILJOTZS,X,X,X,X,X,O,X
ILJOSTZ,O,X,X,O,O,O,O
ILJOSZT,O,X,X,X,X,X,O
ILJOZTS,X,X,X,X,X,O,O
ILJOZST,O,X,X,X,X,O,O
ILSTJZO,X,X,O,O,O,X,X
ILSTJOZ,X,X,O,O,O,O,X
ILSTZJO,X,X,X,X,X,X,O
ILSTZOJ,X,X,O,X,O,X,O
ILSTOJZ,O,X,O,O,O,O,X
ILSTOZJ,O,X,O,X,O,X,O
ILSJTZO,X,X,X,O,O,X,X
ILSJTOZ,X,X,X,O,O,O,X
ILSJZTO,X,X,X,X,X,X,O
ILSJZOT,X,X,X,X,X,X,O
ILSJOTZ,O,X,O,O,O,O,O
ILSJOZT,O,X,X,X,X,X,O
ILSZTJO,X,X,X,X,X,X,O
ILSZTOJ,X,X,X,X,X,X,O
ILSZJTO,X,X,X,X,X,X,O
ILSZJOT,X,X,X,X,X,X,O
ILSZOTJ,O,X,O,X,X,X,O
ILSZOJT,O,X,X,X,X,X,O
ILSOTJZ,O,X,O,O,O,O,X
ILSOTZJ,O,X,O,X,O,X,O
ILSOJTZ,O,X,O,O,O,O,O
ILSOJZT,O,X,X,X,X,X,O
ILSOZTJ,O,X,O,X,X,X,O
ILSOZJT,O,X,X,X,X,X,O
ILZTJSO,O,X,X,X,X,X,O
ILZTJOS,O,X,X,X,X,O,O
ILZTSJO,O,X,X,X,X,X,O
ILZTSOJ,O,X,X,X,X,X,O
ILZTOJS,O,X,X,X,X,O,O
ILZTOSJ,O,X,X,X,X,X,O
ILZJTSO,X,X,X,X,X,X,O
ILZJTOS,X,X,X,X,X,O,O
ILZJSTO,O,X,X,X,X,X,O
ILZJSOT,O,X,X,X,X,X,O
ILZJOTS,X,X,X,X,X,O,O
ILZJOST,O,X,X,X,X,X,O
ILZSTJO,X,X,X,X,X,X,O
ILZSTOJ,O,X,X,X,X,X,O
ILZSJTO,X,X,X,X,X,X,O
ILZSJOT,O,X,X,X,X,X,O
ILZSOTJ,O,X,X,X,X,X,O
ILZSOJT,O,X,X,X,X,X,O
ILZOTJS,O,X,X,X,X,O,O
ILZOTSJ,O,X,X,X,X,X,O
ILZOJTS,X,X,X,X,X,O,O
ILZOJST,O,X,X,X,X,X,O
ILZOSTJ,O,X,X,X,X,X,O
ILZOSJT,O,X,X,X,X,X,O
ILOTJSZ,O,X,O,X,O,O,X
ILOTJZS,X,X,O,X,X,O,X
ILOTSJZ,O,X,O,X,O,O,X
ILOTSZJ,O,X,O,X,O,X,O
ILOTZJS,X,X,X,X,X,O,O
ILOTZSJ,X,X,X,X,O,X,O
ILOJTSZ,O,X,X,X,X,O,X
ILOJTZS,X,X,X,X,X,O,X
ILOJSTZ,O,X,X,O,O,O,O
ILOJSZT,O,X,X,X,X,X,O
ILOJZTS,X,X,X,X,X,O,O
ILOJZST,O,X,X,X,X,O,O
ILOSTJZ,O,X,O,O,O,O,X
ILOSTZJ,O,X,O,X,O,X,O
ILOSJTZ,O,X,O,O,O,O,O
ILOSJZT,O,X,X,X,X,X,O
ILOSZTJ,O,X,O,X,X,X,O
ILOSZJT,O,X,X,X,X,X,O
ILOZTJS,O,X,X,X,X,O,O
ILOZTSJ,O,X,X,X,X,X,O
ILOZJTS,X,X,X,X,X,O,O
ILOZJST,O,X,X,X,X,X,O
ILOZSTJ,O,X,X,X,X,X,O
ILOZSJT,O,X,X,X,X,X,O
IJTLSZO,O,X,O,X,X,X,X
IJTLSOZ,O,X,O,X,X,O,X
IJTLZSO,X,X,O,X,X,O,X
IJTLZOS,X,X,O,X,X,O,X
IJTLOSZ,O,X,O,X,O,O,X
IJTLOZS,X,X,O,X,X,O,X
IJTSLZO,O,X,O,X,O,X,X
IJTSLOZ,O,X,O,X,O,X,X
IJTSZLO,O,X,O,X,O,X,X
IJTSZOL,O,X,O,X,O,X,X
IJTSOLZ,O,X,O,X,O,X,X
IJTSOZL,O,X,O,X,O,X,X
IJTZLSO,X,O,O,X,X,X,X
IJTZLOS,X,O,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X
IJTZOLS,X,O,O,X,X,X,X
IJTZOSL,O,O,O,X,X,X,X
IJTOLSZ,O,X,O,X,O,O,X
IJTOLZS,X,X,O,X,X,O,X
IJTOSLZ,O,X,O,X,O,X,X
IJTOSZL,O,X,O,X,O,X,X
IJTOZLS,X,O,O,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X
IJLTSZO,O,X,X,X,X,X,X
IJLTSOZ,O,X,X,X,X,O,X
IJLTZSO,X,X,X,X,X,O,X
IJLTZOS,X,X,X,X,X,O,X
IJLTOSZ,O,X,X,X,X,O,X
IJLTOZS,X,X,X,X,X,O,X
IJLSTZO,X,X,X,O,O,X,X
IJLSTOZ,O,X,X,O,O,O,X
IJLSZTO,X,X,X,X,X,X,O
IJLSZOT,O,X,X,X,X,X,O
IJLSOTZ,O,X,X,O,O,O,X
IJLSOZT,O,X,X,X,X,X,O
IJLZTSO,X,X,X,X,X,O,O
IJLZTOS,X,X,X,X,X,O,O
IJLZSTO,O,X,X,X,X,O,O
IJLZSOT,O,X,X,X,X,O,O
IJLZOTS,X,X,X,X,X,O,O
IJLZOST,O,X,X,X,X,O,O
IJLOTSZ,O,X,X,X,X,O,X
IJLOTZS,X,X,X,X,X,O,X
IJLOSTZ,O,X,X,O,O,O,X
IJLOSZT,O,X,X,X,X,X,O
IJLOZTS,X,X,X,X,X,O,O
IJLOZST,O,X,X,X,X,O,O
IJSTLZO,O,X,O,O,O,X,X
IJSTLOZ,O,X,O,O,O,X,X
IJSTZLO,O,X,O,X,O,X,X
IJSTZOL,O,X,O,X,O,X,X
IJSTOLZ,O,X,O,O,O,X,X
IJSTOZL,O,X,O,X,O,X,X
IJSLTZO,X,X,X,O,O,X,X
IJSLTOZ,O,X,X,O,O,X,X
IJSLZTO,X,X,X,X,X,X,O
IJSLZOT,O,X,X,X,X,X,O
IJSLOTZ,O,X,X,O,O,X,X
IJSLOZT,O,X,X,X,X,X,O
IJSZTLO,O,X,X,X,O,X,X
IJSZTOL,O,X,X,X,O,X,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X,X
IJSZOTL,O,X,X,X,O,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,O,X,O,O,O,X,X
IJSOTZL,O,X,O,X,O,X,X
IJSOLTZ,O,X,X,O,O,X,X
IJSOLZT,O,X,X,X,X,X,O
IJSOZTL,O,X,X,X,O,X,X
IJSOZLT,O,X,X,X,X,X,X
IJZTLSO,O,O,X,X,X,X,X
IJZTLOS,O,O,X,X,X,X,X
IJZTSLO,O,O,X,X,X,X,X
IJZTSOL,O,O,X,X,X,X,X
IJZTOLS,O,O,X,X,X,X,X
IJZTOSL,O,O,X,X,X,X,X
IJZLTSO,X,O,X,X,X,O,X
IJZLTOS,X,O,X,X,X,O,X
IJZLSTO,O,X,X,X,X,O,X
IJZLSOT,O,O,X,X,X,O,X
IJZLOTS,X,O,X,X,X,O,X
IJZLOST,O,O,X,X,X,O,X
IJZSTLO,O,X,X,X,O,X,X
IJZSTOL,O,X,X,X,O,X,X
IJZSLTO,O,X,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,X
IJZSOTL,O,X,X,X,O,X,X
IJZSOLT,O,O,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X
IJZOTSL,O,O,X,X,X,X,X
IJZOLTS,X,O,X,X,X,O,X
IJZOLST,O,O,X,X,X,O,X
IJZOSTL,O,X,X,X,O,X,X
IJZOSLT,O,O,X,X,X,X,X
IJOTLSZ,O,X,O,X,O,O,X
IJOTLZS,X,X,O,X,X,O,X
IJOTSLZ,O,X,O,X,O,X,X
IJOTSZL,O,X,O,X,O,X,X
IJOTZLS,X,O,O,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X
IJOLTSZ,O,X,X,X,X,O,X
IJOLTZS,X,X,X,X,X,O,X
IJOLSTZ,O,X,X,O,O,O,X
IJOLSZT,O,X,X,X,X,X,O
IJOLZTS,X,X,X,X,X,O,O
IJOLZST,O,X,X,X,X,O,O
IJOSTLZ,O,X,O,O,O,X,X
IJOSTZL,O,X,O,X,O,X,X
IJOSLTZ,O,X,X,O,O,X,X
IJOSLZT,O,X,X,X,X,X,O
IJOSZTL,O,X,X,X,O,X,X
IJOSZLT,O,X,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,X
IJOZTSL,O,O,X,X,X,X,X
IJOZLTS,X,O,X,X,X,O,X
IJOZLST,O,O,X,X,X,O,X
IJOZSTL,O,X,X,X,O,X,X
IJOZSLT,O,O,X,X,X,X,X
ISTLJZO,O,X,O,O,O,X,X
ISTLJOZ,O,X,O,O,O,X,X
ISTLZJO,X,X,X,X,X,X,O
ISTLZOJ,O,X,O,X,O,X,O
ISTLOJZ,O,X,O,O,O,X,X
ISTLOZJ,O,X,O,X,O,X,O
ISTJLZO,O,X,O,O,O,X,X
ISTJLOZ,O,X,O,O,O,X,X
ISTJZLO,O,X,O,X,O,X,X
ISTJZOL,O,X,O,X,O,X,X
ISTJOLZ,O,X,O,O,O,X,X
ISTJOZL,O,X,O,X,O,X,X
ISTZLJO,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,O,X,X
ISTZJLO,X,X,X,X,O,X,X
ISTZJOL,X,X,X,X,O,X,X
ISTZOLJ,O,X,O,X,O,X,X
ISTZOJL,X,X,X,X,O,X,X
ISTOLJZ,O,X,O,O,O,X,X
ISTOLZJ,O,X,O,X,O,X,O
ISTOJLZ,O,X,O,O,O,X,X
ISTOJZL,O,X,O,X,O,X,X
ISTOZLJ,O,X,O,X,O,X,X
ISTOZJL,X,X,X,X,O,X,X
ISLTJZO,O,X,O,O,O,X,X
ISLTJOZ,O,X,O,O,O,X,X
ISLTZJO,X,X,X,X,X,X,O
ISLTZOJ,O,X,O,X,O,X,O
ISLTOJZ,O,X,O,O,O,X,X
ISLTOZJ,O,X,O,X,O,X,O
ISLJTZO,X,X,X,O,O,X,X
ISLJTOZ,O,X,X,O,O,X,X
ISLJZTO,X,X,X,X,X,X,O
ISLJZOT,O,X,X,X,X,X,O
ISLJOTZ,O,X,O,O,O,X,O
ISLJOZT,O,X,X,X,X,X,O
ISLZTJO,O,X,X,X,X,X,O
ISLZTOJ,O,X,X,X,X,X,O
ISLZJTO,O,X,X,X,X,X,O
ISLZJOT,O,X,X,X,X,X,O
ISLZOTJ,O,X,O,X,X,X,O
ISLZOJT,O,X,X,X,X,X,O
ISLOTJZ,O,X,O,O,O,X,X
ISLOTZJ,O,X,O,X,O,X,O
ISLOJTZ,O,X,O,O,O,X,O
ISLOJZT,O,X,X,X,X,X,O
ISLOZTJ,O,X,O,X,X,X,O
ISLOZJT,O,X,X,X,X,X,O
ISJTLZO,O,X,O,O,O,X,X
ISJTLOZ,O,X,O,O,O,X,X
ISJTZLO,O,X,O,X,O,X,X
ISJTZOL,O,X,O,X,O,X,X
ISJTOLZ,O,X,O,O,O,X,X
ISJTOZL,O,X,O,X,O,X,X
ISJLTZO,X,X,X,O,O,X,X
ISJLTOZ,O,X,X,O,O,X,X
ISJLZTO,X,X,X,X,X,X,O
ISJLZOT,O,X,X,X,X,X,O
ISJLOTZ,O,X,O,O,O,X,X
ISJLOZT,O,X,X,X,X,X,O
ISJZTLO,O,X,X,X,O,X,X
ISJZTOL,O,X,X,X,O,X,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X,X
ISJZOTL,O,X,X,X,O,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,O,X,O,O,O,X,X
ISJOTZL,O,X,O,X,O,X,X
ISJOLTZ,O,X,O,O,O,X,X
ISJOLZT,O,X,X,X,X,X,O
ISJOZTL,O,X,X,X,O,X,X
ISJOZLT,O,X,X,X,X,X,X
ISZTLJO,O,X,X,X,X,X,O
ISZTLOJ,O,X,X,X,O,X,O
ISZTJLO,O,X,X,X,O,X,X
ISZTJOL,O,X,X,X,O,X,X
ISZTOLJ,O,X,X,X,O,X,O
ISZTOJL,O,X,X,X,O,X,X
ISZLTJO,O,X,X,X,X,X,O
ISZLTOJ,O,X,X,X,X,X,O
ISZLJTO,O,X,X,X,X,X,O
ISZLJOT,O,X,X,X,X,X,O
ISZLOTJ,O,X,O,X,X,X,O
ISZLOJT,O,X,X,X,X,X,O
ISZJTLO,O,X,X,X,O,X,X
ISZJTOL,O,X,X,X,O,X,X
ISZJLTO,O,X,X,X,X,X,O
ISZJLOT,O,X,X,X,X,X,O
ISZJOTL,O,X,X,X,O,X,X
ISZJOLT,O,X,X,X,X,X,O
ISZOTLJ,O,X,X,X,O,X,O
ISZOTJL,O,X,X,X,O,X,X
ISZOLTJ,O,X,O,X,X,X,O
ISZOLJT,O,X,X,X,X,X,O
ISZOJTL,O,X,X,X,O,X,X
ISZOJLT,O,X,X,X,X,X,O
ISOTLJZ,O,X,O,O,O,X,X
ISOTLZJ,O,X,O,X,O,X,O
ISOTJLZ,O,X,O,O,O,X,X
ISOTJZL,O,X,O,X,O,X,X
ISOTZLJ,O,X,O,X,O,X,X
ISOTZJL,X,X,X,X,O,X,X
ISOLTJZ,O,X,O,O,O,X,X
ISOLTZJ,O,X,O,X,O,X,O
ISOLJTZ,O,X,O,O,O,X,O
ISOLJZT,O,X,X,X,X,X,O
ISOLZTJ,O,X,O,X,X,X,O
ISOLZJT,O,X,X,X,X,X,O
ISOJTLZ,O,X,O,O,O,X,X
ISOJTZL,O,X,O,X,O,X,X
ISOJLTZ,O,X,O,O,O,X,X
ISOJLZT,O,X,X,X,X,X,O
ISOJZTL,O,X,X,X,O,X,X
ISOJZLT,O,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,X,O
ISOZTJL,O,X,X,X,O,X,X
ISOZLTJ,O,X,O,X,X,X,O
ISOZLJT,O,X,X,X,X,X,O
ISOZJTL,O,X,X,X,O,X,X
ISOZJLT,O,X,X,X,X,X,O
IZTLJSO,O,O,X,X,X,X,O
IZTLJOS,O,O,X,X,X,X,O
IZTLSJO,O,O,X,X,X,X,O
IZTLSOJ,O,O,X,X,X,X,O
IZTLOJS,O,O,X,X,X,X,O
