sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhF3bBzcBOpBx?lBtpB8qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB
TIZJOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIZJOSL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,X,O,X,X
TIZSLOJ,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X
TIZSJLO,O,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSJOL,O,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZSOLJ,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TIZSOJL,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O
TIZOJLS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJSL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X
TIZOSJL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOLJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X
TIOLSJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O,O,X
TIOLZJS,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X
TIOJLSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TIOJSLZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOJZLS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOSLZJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X
TIOSJLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOSZLJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TIOSZJL,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOZLJS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIOZJLS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIOZJSL,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TIOZSJL,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIJSZO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLISJZO,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O
TLISZOJ,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,O
TLISOJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
TLIZJSO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TLIZSJO,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
TLIZSOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TLIZOJS,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TLIOJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLIOJZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLIOSJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TLIOZJS,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X
TLIOZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
TLJISZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJISOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZSO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TLJSIZO,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZIO,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLJSZOI,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLJSOIZ,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJSOZI,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZSIO,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O
TLJZSOI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLJZOIS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLJOISZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSIZOJ,O,O,X,O,O,X,O,O,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O
TLSIOJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSJIZO,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSJZOI,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSJOIZ,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,O,X,X,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,O,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSZIOJ,O,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O
TLSZJIO,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSZJOI,O,O,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSZOIJ,O,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O
