sequence,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFXhB8mBziB5oB2q?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KeGAJvhFihBziB5oBUlB3m?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF6lBOmB8mBziB5o?BlsB,v115@9gA8IeA8IeB8HeG8AeA8KefFJvhF0gBmhBziB5oBSr?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiBUmB6tB3l?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFWnBxiB3lB6tBUm?BlsB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhF+lBihB3iB5oB1r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8KeCAJvhFlhB3iB5oBTlB2r?B8sB,v115@9gA8IeA8IeB8HeG8AeA8Kez/IvhFGhBliB5oB3lByr?B8sB
TJILSOZ,X,X,X,O,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,O,X,X
TJILZOS,O,X,X,X,X,X,O,X,X
TJILOSZ,X,X,X,O,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,O,X,X
TJISLZO,X,X,X,O,X,X,X,X,X
TJISLOZ,X,X,X,O,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,X,X,X
TJISOLZ,X,X,X,O,X,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,O,X,X
TJIZLOS,O,X,X,X,X,X,O,X,X
TJIZSLO,O,X,X,X,X,X,O,X,X
TJIZSOL,O,X,X,X,X,X,O,X,X
TJIZOLS,O,X,X,X,X,X,O,X,X
TJIZOSL,O,X,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,O,X,X
TJIOSLZ,X,X,X,O,X,X,X,X,X
TJIOSZL,X,X,X,O,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,O,X,X
TJIOZSL,O,X,X,X,X,X,O,X,X
TJLISZO,X,X,X,O,X,X,X,X,X
TJLISOZ,X,X,X,O,X,O,X,X,X
TJLIZSO,O,X,X,X,X,X,O,X,X
TJLIZOS,O,X,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,O,X,O,X,X,X
TJLIOZS,O,X,X,X,O,X,O,X,X
TJLSIZO,X,X,X,O,X,X,X,X,X
TJLSIOZ,X,X,X,O,X,O,X,X,X
TJLSZIO,X,X,X,O,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,O,X,X,X
TJLSOZI,X,X,X,O,X,O,X,X,X
TJLZISO,O,X,X,X,X,X,O,X,X
TJLZIOS,O,X,X,X,O,X,O,X,X
TJLZSIO,O,X,X,X,X,X,O,X,X
TJLZSOI,O,X,X,X,X,X,O,X,X
TJLZOIS,O,X,X,X,O,X,O,X,X
TJLZOSI,O,X,X,X,O,X,O,X,X
TJLOISZ,X,X,X,O,X,O,X,X,X
TJLOIZS,O,X,X,X,O,X,O,X,X
TJLOSIZ,X,X,X,O,X,O,X,X,X
TJLOSZI,X,X,X,O,X,O,X,X,X
TJLOZIS,O,X,X,X,O,X,O,X,X
TJLOZSI,O,X,X,X,O,X,O,X,X
TJSILZO,X,X,X,O,X,X,X,X,X
TJSILOZ,X,X,X,O,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,X,X,X
TJSIOLZ,X,X,X,O,X,X,X,X,X
TJSIOZL,X,X,X,O,X,X,X,X,X
TJSLIZO,X,X,X,O,X,X,X,X,X
TJSLIOZ,X,X,X,O,X,O,X,X,X
TJSLZIO,X,X,X,O,X,X,X,X,X
TJSLZOI,X,X,X,O,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,O,X,X,X
TJSLOZI,X,X,X,O,X,O,X,X,X
TJSZILO,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,O,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,O,X,X,X,X,X
TJSOIZL,X,X,X,O,X,X,X,X,X
TJSOLIZ,X,X,X,O,X,O,X,X,X
TJSOLZI,X,X,X,O,X,O,X,X,X
TJSOZIL,X,X,X,O,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,O,X,X
TJZILOS,O,X,X,X,X,X,O,X,X
TJZISLO,O,X,X,X,X,X,O,X,X
TJZISOL,O,X,X,X,X,X,O,X,X
TJZIOLS,O,X,X,X,X,X,O,X,X
TJZIOSL,O,X,X,X,X,X,O,X,X
TJZLISO,O,X,X,X,X,X,O,X,X
TJZLIOS,O,X,X,X,O,X,O,X,X
TJZLSIO,O,X,X,X,X,X,O,X,X
TJZLSOI,O,X,X,X,X,X,O,X,X
TJZLOIS,O,X,X,X,O,X,O,X,X
TJZLOSI,O,X,X,X,O,X,O,X,X
TJZSILO,O,X,X,X,X,X,O,X,X
TJZSIOL,O,X,X,X,X,X,O,X,X
TJZSLIO,O,X,X,X,X,X,O,X,X
TJZSLOI,O,X,X,X,X,X,O,X,X
TJZSOIL,O,X,X,X,X,X,O,X,X
TJZSOLI,O,X,X,X,X,X,O,X,X
TJZOILS,O,X,X,X,X,X,O,X,X
TJZOISL,O,X,X,X,X,X,O,X,X
TJZOLIS,O,X,X,X,O,X,O,X,X
TJZOLSI,O,X,X,X,O,X,O,X,X
TJZOSIL,O,X,X,X,X,X,O,X,X
TJZOSLI,O,X,X,X,X,X,O,X,X
TJOILSZ,X,X,X,O,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,O,X,X
TJOISLZ,X,X,X,O,X,X,X,X,X
TJOISZL,X,X,X,O,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X,O,X,X
TJOIZSL,O,X,X,X,X,X,O,X,X
TJOLISZ,X,X,X,O,X,O,X,X,X
TJOLIZS,O,X,X,X,O,X,O,X,X
TJOLSIZ,X,X,X,O,X,O,X,X,X
TJOLSZI,X,X,X,O,X,O,X,X,X
TJOLZIS,O,X,X,X,O,X,O,X,X
TJOLZSI,O,X,X,X,O,X,O,X,X
TJOSILZ,X,X,X,O,X,X,X,X,X
TJOSIZL,X,X,X,O,X,X,X,X,X
TJOSLIZ,X,X,X,O,X,O,X,X,X
TJOSLZI,X,X,X,O,X,O,X,X,X
TJOSZIL,X,X,X,O,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,X,X,X,O,X,X
TJOZISL,O,X,X,X,X,X,O,X,X
TJOZLIS,O,X,X,X,O,X,O,X,X
TJOZLSI,O,X,X,X,O,X,O,X,X
TJOZSIL,O,X,X,X,X,X,O,X,X
TJOZSLI,O,X,X,X,X,X,O,X,X
TSILJZO,X,X,X,O,X,X,X,X,X
TSILJOZ,X,X,X,O,X,X,X,X,X
TSILZJO,X,O,O,O,X,X,X,X,X
TSILZOJ,X,O,O,O,X,X,X,X,X
TSILOJZ,X,X,X,O,X,X,X,X,X
TSILOZJ,X,O,O,O,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X,X,X,X
TSIJLOZ,X,X,X,O,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,O,X,X,X,X,X
TSIJOLZ,X,X,X,O,X,X,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,X
TSIZLJO,X,O,O,O,X,X,X,X,X
TSIZLOJ,X,O,O,O,X,X,X,X,X
TSIZJLO,X,O,O,X,X,X,X,X,X
TSIZJOL,X,O,O,O,X,X,X,X,X
TSIZOLJ,X,O,O,O,X,X,X,X,X
TSIZOJL,X,O,O,O,X,X,X,X,X
TSIOLJZ,X,X,X,O,X,X,X,X,X
TSIOLZJ,X,O,O,O,X,X,X,X,X
TSIOJLZ,X,X,X,O,X,X,X,X,X
TSIOJZL,X,X,X,O,X,X,X,X,X
TSIOZLJ,X,O,O,O,X,X,X,X,X
TSIOZJL,X,O,O,O,X,X,X,X,X
TSLIJZO,X,X,X,O,X,X,X,X,X
TSLIJOZ,X,X,X,O,X,O,X,X,X
TSLIZJO,X,O,O,O,X,X,X,X,X
TSLIZOJ,X,O,O,O,X,X,X,X,X
TSLIOJZ,X,X,X,O,X,O,X,X,X
TSLIOZJ,X,O,O,O,X,X,X,X,X
TSLJIZO,X,X,X,O,X,X,X,X,X
TSLJIOZ,X,X,X,O,X,O,X,X,X
TSLJZIO,X,X,X,O,X,X,X,X,X
TSLJZOI,X,X,X,O,X,X,X,X,X
TSLJOIZ,X,X,X,O,X,O,X,X,X
TSLJOZI,X,X,X,O,X,O,X,X,X
TSLZIJO,X,O,O,O,X,X,X,X,X
TSLZIOJ,X,O,O,O,X,X,X,X,X
TSLZJIO,X,O,O,O,X,X,X,X,X
TSLZJOI,X,O,O,O,X,X,X,X,X
TSLZOIJ,X,O,O,O,X,X,X,X,X
TSLZOJI,X,O,O,O,X,X,X,X,X
TSLOIJZ,X,X,X,O,X,O,X,X,X
TSLOIZJ,X,O,O,O,X,X,X,X,X
TSLOJIZ,X,X,X,O,X,O,X,X,X
TSLOJZI,X,X,X,O,X,O,X,X,X
TSLOZIJ,X,O,O,O,X,X,X,X,X
TSLOZJI,X,O,O,O,X,X,X,X,X
TSJILZO,X,X,X,O,X,X,X,X,X
TSJILOZ,X,X,X,O,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X,X,X
TSJIZOL,X,X,X,O,X,X,X,X,X
TSJIOLZ,X,X,X,O,X,X,X,X,X
TSJIOZL,X,X,X,O,X,X,X,X,X
TSJLIZO,X,X,X,O,X,X,X,X,X
TSJLIOZ,X,X,X,O,X,O,X,X,X
TSJLZIO,X,X,X,O,X,X,X,X,X
TSJLZOI,X,X,X,O,X,X,X,X,X
TSJLOIZ,X,X,X,O,X,O,X,X,X
TSJLOZI,X,X,X,O,X,O,X,X,X
TSJZILO,X,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,O,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X,X
TSJOILZ,X,X,X,O,X,X,X,X,X
TSJOIZL,X,X,X,O,X,X,X,X,X
TSJOLIZ,X,X,X,O,X,O,X,X,X
TSJOLZI,X,X,X,O,X,O,X,X,X
TSJOZIL,X,X,X,O,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X,X,X
TSZILJO,X,O,O,O,X,X,X,X,X
TSZILOJ,X,O,O,O,X,X,X,X,X
TSZIJLO,X,O,O,X,X,X,X,X,X
TSZIJOL,X,O,O,O,X,X,X,X,X
TSZIOLJ,X,O,O,O,X,X,X,X,X
TSZIOJL,X,O,O,O,X,X,X,X,X
TSZLIJO,X,O,O,O,X,X,X,X,X
TSZLIOJ,X,O,O,O,X,X,X,X,X
TSZLJIO,X,O,O,O,X,X,X,X,X
TSZLJOI,X,O,O,O,X,X,X,X,X
TSZLOIJ,X,O,O,O,X,X,X,X,X
TSZLOJI,X,O,O,O,X,X,X,X,X
TSZJILO,X,O,O,X,X,X,X,X,X
TSZJIOL,X,O,O,O,X,X,X,X,X
TSZJLIO,X,O,O,X,X,X,X,X,X
TSZJLOI,X,O,O,X,X,X,X,X,X
TSZJOIL,X,O,O,O,X,X,X,X,X
TSZJOLI,X,O,O,X,X,X,X,X,X
TSZOILJ,X,O,O,O,X,X,X,X,X
TSZOIJL,X,O,O,O,X,X,X,X,X
TSZOLIJ,X,O,O,O,X,X,X,X,X
TSZOLJI,X,O,O,O,X,X,X,X,X
TSZOJIL,X,O,O,O,X,X,X,X,X
TSZOJLI,X,O,O,X,X,X,X,X,X
TSOILJZ,X,X,X,O,X,X,X,X,X
TSOILZJ,X,O,O,O,X,X,X,X,X
TSOIJLZ,X,X,X,O,X,X,X,X,X
TSOIJZL,X,X,X,O,X,X,X,X,X
TSOIZLJ,X,O,O,O,X,X,X,X,X
TSOIZJL,X,O,O,O,X,X,X,X,X
TSOLIJZ,X,X,X,O,X,O,X,X,X
TSOLIZJ,X,O,O,O,X,X,X,X,X
TSOLJIZ,X,X,X,O,X,O,X,X,X
TSOLJZI,X,X,X,O,X,O,X,X,X
TSOLZIJ,X,O,O,O,X,X,X,X,X
TSOLZJI,X,O,O,O,X,X,X,X,X
TSOJILZ,X,X,X,O,X,X,X,X,X
TSOJIZL,X,X,X,O,X,X,X,X,X
TSOJLIZ,X,X,X,O,X,O,X,X,X
TSOJLZI,X,X,X,O,X,O,X,X,X
TSOJZIL,X,X,X,O,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X,X,X
TSOZILJ,X,O,O,O,X,X,X,X,X
TSOZIJL,X,O,O,O,X,X,X,X,X
TSOZLIJ,X,O,O,O,X,X,X,X,X
TSOZLJI,X,O,O,O,X,X,X,X,X
TSOZJIL,X,O,O,O,X,X,X,X,X
TSOZJLI,X,O,O,X,X,X,X,X,X
TZILJSO,O,X,X,X,X,X,O,X,X
TZILJOS,O,X,X,X,X,X,O,X,X
TZILSJO,X,X,X,X,X,X,O,X,X
TZILSOJ,O,X,X,X,X,X,X,X,X
TZILOJS,O,X,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X,X,X
TZIJLSO,O,X,X,X,X,X,O,X,X
TZIJLOS,O,X,X,X,X,X,O,X,X
TZIJSLO,O,O,O,X,X,X,O,X,X
TZIJSOL,O,O,O,X,X,X,O,X,X
TZIJOLS,O,X,X,X,X,X,O,X,X
TZIJOSL,O,O,O,X,X,X,O,X,X
TZISLJO,X,O,O,X,X,X,O,X,X
TZISLOJ,O,O,O,X,X,X,X,X,X
TZISJLO,O,O,O,X,X,X,O,X,X
TZISJOL,O,O,O,X,X,X,O,X,X
TZISOLJ,O,O,O,X,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,O,X,X
TZIOLJS,O,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,X,X,X,X
TZIOJLS,O,X,X,X,X,X,O,X,X
TZIOJSL,O,O,O,X,X,X,O,X,X
