sequence,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeK/IvhFGbBXeB?UgBThB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Ke06IvhF6gBXeB?2kBThB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeO/IvhF0bBXeB?zfBSmB5oBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeT6IvhFXeBlgB?cmB5oBmkB6qB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Kex6IvhFTfBlgB?cmBGjB/qB6tB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8KeT6IvhFXeBykB?GhB5oB0gBlqB,v115@3gD8HeA8IeC8AeB8CeD8AeC8AeE8Ke1AJvhFXeBTfB?cmB5oB6qBmpB
TZOSLJI,O,O,O,X,O,X,X
TZOSJIL,X,O,O,X,O,X,X
TZOSJLI,X,O,O,X,O,X,X
TOILJSZ,O,O,O,X,X,O,X
TOILJZS,O,O,O,X,X,O,X
TOILSJZ,O,O,O,X,X,O,X
TOILSZJ,O,O,O,X,X,O,X
TOILZJS,O,O,O,X,X,O,X
TOILZSJ,O,O,O,X,X,O,X
TOIJLSZ,O,O,O,X,X,O,X
TOIJLZS,O,O,O,X,X,O,X
TOIJSLZ,O,O,O,X,X,O,X
TOIJSZL,X,O,O,X,X,X,X
TOIJZLS,X,O,O,X,X,X,X
TOIJZSL,X,O,O,X,X,X,X
TOISLJZ,O,O,O,X,X,O,X
TOISLZJ,O,O,O,X,X,O,X
TOISJLZ,O,O,O,X,X,O,X
TOISJZL,X,O,O,X,X,X,X
TOISZLJ,O,O,O,X,X,X,O
TOISZJL,X,O,O,X,X,X,X
TOIZLJS,O,O,O,X,X,X,O
TOIZLSJ,O,O,O,X,X,X,O
TOIZJLS,X,O,O,X,X,X,X
TOIZJSL,X,O,O,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,O
TOIZSJL,X,O,O,X,X,X,X
TOLIJSZ,O,O,O,X,X,O,X
TOLIJZS,O,O,O,X,X,O,X
TOLISJZ,O,O,O,X,X,O,X
TOLISZJ,O,O,O,X,X,O,X
TOLIZJS,O,O,O,X,X,O,X
TOLIZSJ,O,O,O,X,X,O,X
TOLJISZ,O,O,O,X,X,O,X
TOLJIZS,O,O,O,X,X,O,X
TOLJSIZ,X,O,O,X,X,O,X
TOLJSZI,O,O,O,X,X,X,X
TOLJZIS,O,O,O,X,X,O,X
TOLJZSI,O,O,O,X,X,X,X
TOLSIJZ,O,O,O,X,X,O,X
TOLSIZJ,O,O,O,X,X,O,X
TOLSJIZ,X,O,O,X,X,O,X
TOLSJZI,O,O,O,X,X,X,X
TOLSZIJ,O,X,O,X,X,X,X
TOLSZJI,O,O,O,X,X,X,X
TOLZIJS,O,O,O,X,X,O,X
TOLZISJ,O,O,O,X,X,O,X
TOLZJIS,O,O,O,X,X,O,X
TOLZJSI,O,O,O,X,X,X,X
TOLZSIJ,O,X,O,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X
TOJILSZ,O,O,O,X,X,O,X
TOJILZS,O,O,O,X,X,O,X
TOJISLZ,O,O,O,X,X,O,X
TOJISZL,X,O,O,X,X,X,X
TOJIZLS,X,O,O,X,X,X,X
TOJIZSL,X,O,O,X,X,X,X
TOJLISZ,O,O,O,X,X,O,X
TOJLIZS,O,O,O,X,X,O,X
TOJLSIZ,X,O,O,X,X,O,X
TOJLSZI,O,O,O,X,X,X,X
TOJLZIS,O,O,O,X,X,O,X
TOJLZSI,O,O,O,X,X,X,X
TOJSILZ,X,O,O,X,X,X,X
TOJSIZL,X,O,O,X,X,X,X
TOJSLIZ,X,O,O,X,X,X,X
TOJSLZI,O,O,O,X,X,X,X
TOJSZIL,X,O,O,X,O,X,X
TOJSZLI,X,O,O,X,O,X,X
TOJZILS,X,O,O,X,X,X,X
TOJZISL,X,O,O,X,O,X,X
TOJZLIS,X,O,O,X,X,X,X
TOJZLSI,X,O,O,X,O,X,X
TOJZSIL,X,O,O,X,O,X,X
TOJZSLI,X,O,O,X,O,X,X
TOSILJZ,O,O,O,X,X,X,X
TOSILZJ,O,O,O,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X
TOSIJZL,X,O,O,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X
TOSIZJL,X,O,O,X,X,X,X
TOSLIJZ,O,O,O,X,X,X,X
TOSLIZJ,O,O,O,X,X,X,X
TOSLJIZ,X,O,O,X,X,X,X
TOSLJZI,O,O,O,X,X,X,X
TOSLZIJ,O,X,O,X,X,X,X
TOSLZJI,O,O,O,X,X,X,X
TOSJILZ,X,O,O,X,X,X,X
TOSJIZL,X,O,O,X,X,X,X
TOSJLIZ,X,O,O,X,X,X,X
TOSJLZI,O,O,O,X,X,X,X
TOSJZIL,X,O,O,X,O,X,X
TOSJZLI,X,O,O,X,O,X,X
TOSZILJ,X,X,O,X,O,X,X
TOSZIJL,X,X,O,X,O,X,X
TOSZLIJ,O,X,O,X,O,X,X
TOSZLJI,O,O,O,X,O,X,X
TOSZJIL,X,O,O,X,O,X,X
TOSZJLI,X,O,O,X,O,X,X
TOZILJS,O,O,O,X,X,X,O
TOZILSJ,O,O,O,X,X,X,O
TOZIJLS,X,O,O,X,X,X,X
TOZIJSL,X,O,O,X,O,X,X
TOZISLJ,O,O,O,X,X,X,O
TOZISJL,X,O,O,X,X,X,X
TOZLIJS,O,O,O,X,X,X,O
TOZLISJ,O,O,O,X,X,X,O
TOZLJIS,O,O,O,X,X,X,X
TOZLJSI,O,O,O,X,O,X,X
TOZLSIJ,O,X,O,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X
TOZJILS,X,O,O,X,X,X,X
TOZJISL,X,O,O,X,O,X,X
TOZJLIS,X,O,O,X,X,X,X
TOZJLSI,X,O,O,X,O,X,X
TOZJSIL,X,O,O,X,O,X,X
TOZJSLI,X,O,O,X,O,X,X
TOZSILJ,X,X,O,X,O,X,X
TOZSIJL,X,X,O,X,O,X,X
TOZSLIJ,O,X,O,X,O,X,X
TOZSLJI,O,O,O,X,O,X,X
TOZSJIL,X,O,O,X,O,X,X
TOZSJLI,X,O,O,X,O,X,X
ITLJSZO,O,O,O,X,X,O,X
ITLJSOZ,O,O,O,X,X,O,X
ITLJZSO,O,O,O,X,X,O,X
ITLJZOS,O,O,O,X,X,O,X
ITLJOSZ,O,O,O,X,X,O,X
ITLJOZS,O,O,O,X,X,O,X
ITLSJZO,O,O,O,X,X,O,X
ITLSJOZ,O,O,O,X,X,O,X
ITLSZJO,O,O,O,X,X,O,X
ITLSZOJ,O,X,O,X,X,O,X
ITLSOJZ,O,O,O,X,X,O,X
ITLSOZJ,O,O,O,X,X,O,X
ITLZJSO,O,O,O,X,X,O,X
ITLZJOS,O,O,O,X,X,O,X
ITLZSJO,O,O,O,X,X,O,X
ITLZSOJ,O,X,O,X,X,O,X
ITLZOJS,O,X,O,X,X,O,X
ITLZOSJ,O,X,O,X,X,O,X
ITLOJSZ,O,O,O,X,X,O,X
ITLOJZS,O,O,O,X,X,O,X
ITLOSJZ,O,O,O,X,X,O,X
ITLOSZJ,O,O,O,X,X,O,X
ITLOZJS,O,O,O,X,X,O,X
ITLOZSJ,O,O,O,X,X,O,X
ITJLSZO,O,O,O,X,X,O,X
ITJLSOZ,O,O,O,X,X,O,X
ITJLZSO,O,O,O,X,X,O,X
ITJLZOS,O,O,O,X,X,O,X
ITJLOSZ,O,O,O,X,X,O,X
ITJLOZS,O,O,O,X,X,O,X
ITJSLZO,O,O,O,X,X,O,X
ITJSLOZ,O,O,O,X,X,O,X
ITJSZLO,X,O,O,O,X,O,X
ITJSZOL,X,O,O,O,X,X,X
ITJSOLZ,O,O,O,X,X,O,X
ITJSOZL,X,O,O,O,X,X,X
ITJZLSO,X,O,O,O,X,O,X
ITJZLOS,X,O,O,O,X,O,X
ITJZSLO,X,O,O,O,X,O,X
ITJZSOL,X,O,O,O,X,X,X
ITJZOLS,X,O,O,O,X,X,X
ITJZOSL,X,O,O,O,X,X,X
ITJOLSZ,O,O,O,X,X,O,X
ITJOLZS,O,O,O,X,X,O,X
ITJOSLZ,O,O,O,X,X,O,X
ITJOSZL,X,O,O,O,X,X,X
ITJOZLS,X,O,O,O,X,X,X
ITJOZSL,X,O,O,O,X,X,X
ITSLJZO,O,O,O,X,X,O,X
ITSLJOZ,O,O,O,X,X,O,X
ITSLZJO,O,O,O,X,X,O,X
ITSLZOJ,O,X,O,X,X,O,X
ITSLOJZ,O,O,O,X,X,O,X
ITSLOZJ,O,O,O,X,X,O,X
ITSJLZO,O,O,O,X,X,O,X
ITSJLOZ,O,O,O,X,X,O,X
ITSJZLO,X,O,O,O,X,O,X
ITSJZOL,X,O,O,O,X,X,X
ITSJOLZ,O,O,O,X,X,O,X
ITSJOZL,X,O,O,O,X,X,X
ITSZLJO,O,O,O,O,X,O,O
ITSZLOJ,O,X,O,X,X,O,O
ITSZJLO,X,O,O,O,X,O,X
ITSZJOL,X,O,O,O,X,X,X
ITSZOLJ,O,O,O,X,X,X,O
ITSZOJL,X,O,O,O,X,X,X
ITSOLJZ,O,O,O,X,X,O,X
ITSOLZJ,O,O,O,X,X,O,X
ITSOJLZ,O,O,O,X,X,O,X
ITSOJZL,X,O,O,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,O
ITSOZJL,X,O,O,X,X,X,X
ITZLJSO,O,O,O,O,X,O,O
ITZLJOS,O,O,O,O,X,O,O
ITZLSJO,O,O,O,O,X,O,O
ITZLSOJ,O,X,O,X,X,O,O
ITZLOJS,O,X,O,X,X,O,O
ITZLOSJ,O,X,O,X,X,O,O
ITZJLSO,X,O,O,O,X,O,X
ITZJLOS,X,O,O,O,X,O,X
ITZJSLO,X,O,O,O,X,O,X
ITZJSOL,X,O,O,O,X,X,X
ITZJOLS,X,O,O,O,X,X,X
ITZJOSL,X,O,O,O,X,X,X
ITZSLJO,O,O,O,O,X,O,O
ITZSLOJ,O,X,O,X,X,O,O
ITZSJLO,X,O,O,O,X,O,X
ITZSJOL,X,O,O,O,X,X,X
ITZSOLJ,O,O,O,X,X,X,O
ITZSOJL,X,O,O,O,X,X,X
ITZOLJS,O,O,O,X,X,X,O
ITZOLSJ,O,O,O,X,X,X,O
ITZOJLS,X,O,O,O,X,X,X
ITZOJSL,X,O,O,O,X,X,X
ITZOSLJ,O,O,O,X,X,X,O
ITZOSJL,X,O,O,O,X,X,X
ITOLJSZ,O,O,O,X,X,O,X
ITOLJZS,O,O,O,X,X,O,X
ITOLSJZ,O,O,O,X,X,O,X
ITOLSZJ,O,O,O,X,X,O,X
ITOLZJS,O,O,O,X,X,O,X
ITOLZSJ,O,O,O,X,X,O,X
ITOJLSZ,O,O,O,X,X,O,X
ITOJLZS,O,O,O,X,X,O,X
ITOJSLZ,O,O,O,X,X,O,X
ITOJSZL,X,O,O,X,X,X,X
ITOJZLS,X,O,O,X,X,X,X
ITOJZSL,X,O,O,X,X,X,X
ITOSLJZ,O,O,O,X,X,O,X
ITOSLZJ,O,O,O,X,X,O,X
ITOSJLZ,O,O,O,X,X,O,X
ITOSJZL,X,O,O,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,O
ITOSZJL,X,O,O,X,X,X,X
ITOZLJS,O,O,O,X,X,X,O
ITOZLSJ,O,O,O,X,X,X,O
ITOZJLS,X,O,O,X,X,X,X
ITOZJSL,X,O,O,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,O
ITOZSJL,X,O,O,X,X,X,X
ILTJSZO,O,O,O,X,X,O,X
ILTJSOZ,O,O,O,X,X,O,X
ILTJZSO,O,O,O,X,X,O,X
ILTJZOS,O,O,O,X,X,O,X
ILTJOSZ,O,O,O,X,X,O,X
ILTJOZS,O,O,O,X,X,O,X
ILTSJZO,O,O,O,X,X,O,X
ILTSJOZ,O,O,O,X,X,O,X
ILTSZJO,O,O,O,X,X,O,X
ILTSZOJ,O,X,O,X,X,O,X
ILTSOJZ,O,O,O,X,X,O,X
ILTSOZJ,O,O,O,X,X,O,X
ILTZJSO,O,O,O,X,X,O,X
ILTZJOS,O,O,O,X,X,O,X
ILTZSJO,O,O,O,X,X,O,X
ILTZSOJ,O,X,O,X,X,O,X
ILTZOJS,O,X,O,X,X,O,X
ILTZOSJ,O,X,O,X,X,O,X
ILTOJSZ,O,O,O,X,X,O,X
ILTOJZS,O,O,O,X,X,O,X
ILTOSJZ,O,O,O,X,X,O,X
ILTOSZJ,O,O,O,X,X,O,X
ILTOZJS,O,O,O,X,X,O,X
ILTOZSJ,O,O,O,X,X,O,X
ILJTSZO,O,O,O,X,X,O,X
ILJTSOZ,O,O,O,X,X,O,X
ILJTZSO,O,O,O,X,X,O,X
ILJTZOS,O,O,O,X,X,O,X
ILJTOSZ,O,O,O,X,X,O,X
ILJTOZS,O,O,O,X,X,O,X
ILJSTZO,O,O,O,X,X,O,X
ILJSTOZ,O,O,O,X,X,O,X
ILJSZTO,O,O,O,O,X,X,X
ILJSZOT,O,O,O,O,X,O,X
ILJSOTZ,O,X,O,X,X,O,X
ILJSOZT,O,X,O,O,X,O,X
ILJZTSO,O,O,O,O,X,X,X
ILJZTOS,X,X,X,O,X,X,X
ILJZSTO,O,O,O,O,X,X,X
ILJZSOT,O,O,O,O,X,O,X
ILJZOTS,X,X,O,O,X,X,X
ILJZOST,O,O,O,O,X,O,X
ILJOTSZ,O,X,O,X,X,O,X
ILJOTZS,O,X,O,X,X,X,X
ILJOSTZ,O,X,O,X,X,O,X
ILJOSZT,O,X,O,O,X,O,X
ILJOZTS,O,X,O,O,X,X,X
ILJOZST,O,X,O,O,X,O,X
ILSTJZO,O,O,O,X,X,O,X
ILSTJOZ,O,O,O,X,X,O,X
ILSTZJO,O,O,O,X,X,O,X
ILSTZOJ,O,X,O,X,X,O,X
ILSTOJZ,O,O,O,X,X,O,X
ILSTOZJ,O,O,O,X,X,O,X
ILSJTZO,O,O,O,X,X,O,X
ILSJTOZ,O,O,O,X,X,O,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,O,X,O,X
ILSJOTZ,O,X,O,X,X,O,X
ILSJOZT,O,X,O,O,X,O,X
ILSZTJO,O,X,O,O,X,X,O
ILSZTOJ,O,X,O,X,X,X,O
ILSZJTO,O,X,O,O,X,X,O
ILSZJOT,O,X,O,O,X,O,O
ILSZOTJ,O,X,O,X,X,X,O
ILSZOJT,O,X,O,X,X,O,O
ILSOTJZ,O,O,O,X,X,O,X
ILSOTZJ,O,O,O,X,X,X,X
ILSOJTZ,O,X,O,X,X,O,X
ILSOJZT,O,O,O,X,X,O,X
ILSOZTJ,O,X,O,X,X,X,O
ILSOZJT,O,X,O,X,X,O,O
ILZTJSO,O,X,O,O,X,X,O
ILZTJOS,O,X,X,O,X,X,O
ILZTSJO,O,X,O,O,X,X,O
ILZTSOJ,O,X,O,X,X,X,O
ILZTOJS,O,X,O,X,X,X,O
ILZTOSJ,O,X,O,X,X,X,O
ILZJTSO,O,X,O,O,X,X,O
ILZJTOS,X,X,X,O,X,X,O
ILZJSTO,O,X,O,O,X,X,O
ILZJSOT,O,X,O,O,X,O,O
ILZJOTS,X,X,O,O,X,X,O
ILZJOST,O,X,O,O,X,O,O
ILZSTJO,O,X,O,O,X,X,O
ILZSTOJ,O,X,O,X,X,X,O
ILZSJTO,O,X,O,O,X,X,O
ILZSJOT,O,X,O,O,X,O,O
ILZSOTJ,O,X,O,X,X,X,O
ILZSOJT,O,X,O,X,X,O,O
ILZOTJS,O,X,O,X,X,X,O
ILZOTSJ,O,X,O,X,X,X,O
ILZOJTS,O,X,O,X,X,X,O
ILZOJST,O,X,O,X,X,O,O
ILZOSTJ,O,X,O,X,X,X,O
ILZOSJT,O,X,O,X,X,O,O
ILOTJSZ,O,O,O,X,X,O,X
ILOTJZS,O,O,O,X,X,X,X
ILOTSJZ,O,O,O,X,X,O,X
ILOTSZJ,O,O,O,X,X,X,X
ILOTZJS,O,O,O,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X
ILOJTSZ,O,X,O,X,X,O,X
ILOJTZS,O,X,O,X,X,X,X
ILOJSTZ,O,X,O,X,X,O,X
ILOJSZT,O,O,O,X,X,O,X
ILOJZTS,O,O,O,X,X,X,X
ILOJZST,O,O,O,X,X,O,X
ILOSTJZ,O,O,O,X,X,O,X
ILOSTZJ,O,O,O,X,X,X,X
ILOSJTZ,O,X,O,X,X,O,X
ILOSJZT,O,O,O,X,X,O,X
ILOSZTJ,O,X,O,X,X,X,O
ILOSZJT,O,X,O,X,X,O,O
ILOZTJS,O,X,O,X,X,X,O
ILOZTSJ,O,X,O,X,X,X,O
ILOZJTS,O,X,O,X,X,X,O
ILOZJST,O,X,O,X,X,O,O
ILOZSTJ,O,X,O,X,X,X,O
ILOZSJT,O,X,O,X,X,O,O
IJTLSZO,O,O,O,X,X,O,X
IJTLSOZ,O,O,O,X,X,O,X
IJTLZSO,O,O,O,X,X,O,X
IJTLZOS,O,O,O,X,X,O,X
IJTLOSZ,O,O,O,X,X,O,X
IJTLOZS,O,O,O,X,X,O,X
IJTSLZO,O,O,O,X,X,O,X
IJTSLOZ,O,O,O,X,X,O,X
IJTSZLO,X,O,O,O,X,O,X
IJTSZOL,X,O,O,O,X,X,X
IJTSOLZ,O,O,O,X,X,O,X
IJTSOZL,X,O,O,O,X,X,X
IJTZLSO,X,O,O,O,X,O,X
IJTZLOS,X,O,O,O,X,O,X
IJTZSLO,X,O,O,O,X,O,X
IJTZSOL,X,O,O,O,X,X,X
IJTZOLS,X,O,O,O,X,X,X
IJTZOSL,X,O,O,O,X,X,X
IJTOLSZ,O,O,O,X,X,O,X
IJTOLZS,O,O,O,X,X,O,X
IJTOSLZ,O,O,O,X,X,O,X
IJTOSZL,X,O,O,O,X,X,X
IJTOZLS,X,O,O,O,X,X,X
IJTOZSL,X,O,O,O,X,X,X
IJLTSZO,O,O,O,X,X,O,X
IJLTSOZ,O,O,O,X,X,O,X
IJLTZSO,O,O,O,X,X,O,X
IJLTZOS,O,O,O,X,X,O,X
IJLTOSZ,O,O,O,X,X,O,X
IJLTOZS,O,O,O,X,X,O,X
IJLSTZO,O,O,O,X,X,O,X
IJLSTOZ,O,O,O,X,X,O,X
IJLSZTO,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,X,O,X
IJLSOTZ,O,X,O,X,X,O,X
IJLSOZT,O,X,O,O,X,O,X
IJLZTSO,O,O,O,O,X,X,X
IJLZTOS,X,X,X,O,X,X,X
IJLZSTO,O,O,O,O,X,X,X
IJLZSOT,O,O,O,O,X,O,X
IJLZOTS,X,X,O,O,X,X,X
IJLZOST,O,O,O,O,X,O,X
IJLOTSZ,O,X,O,X,X,O,X
IJLOTZS,O,X,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,O,X
IJLOSZT,O,X,O,O,X,O,X
IJLOZTS,O,X,O,O,X,X,X
IJLOZST,O,X,O,O,X,O,X
IJSTLZO,O,O,O,X,X,O,X
IJSTLOZ,O,O,O,X,X,O,X
IJSTZLO,X,O,O,O,X,O,X
IJSTZOL,X,O,O,O,X,X,X
IJSTOLZ,O,O,O,X,X,O,X
IJSTOZL,X,O,O,O,X,X,X
IJSLTZO,O,O,O,X,X,O,X
IJSLTOZ,O,O,O,X,X,O,X
IJSLZTO,O,O,O,O,X,X,X
IJSLZOT,O,O,O,O,X,O,X
IJSLOTZ,O,X,O,X,X,O,X
IJSLOZT,O,X,O,O,X,O,X
IJSZTLO,X,O,O,O,X,O,X
IJSZTOL,X,O,O,O,O,X,X
IJSZLTO,X,O,O,O,X,X,O
IJSZLOT,X,O,O,O,X,O,O
IJSZOTL,X,X,O,O,O,X,X
IJSZOLT,X,O,O,O,X,X,O
IJSOTLZ,O,O,O,X,X,O,X
IJSOTZL,X,O,O,O,X,X,X
IJSOLTZ,O,X,O,X,X,O,X
IJSOLZT,O,O,O,O,X,O,X
IJSOZTL,X,O,O,O,O,X,X
IJSOZLT,X,O,O,O,X,X,O
IJZTLSO,X,O,O,O,X,O,X
IJZTLOS,X,O,O,O,X,O,X
IJZTSLO,X,O,O,O,X,O,X
IJZTSOL,X,O,O,O,X,X,X
IJZTOLS,X,O,O,O,X,X,X
IJZTOSL,X,O,O,O,O,X,X
IJZLTSO,X,O,O,O,X,X,O
IJZLTOS,X,X,X,O,X,X,O
IJZLSTO,X,O,O,O,X,X,O
IJZLSOT,X,O,O,O,X,O,O
IJZLOTS,X,X,X,O,X,X,O
IJZLOST,X,O,O,O,X,O,O
IJZSTLO,X,O,O,O,X,O,X
IJZSTOL,X,O,O,O,O,X,X
IJZSLTO,X,O,O,O,X,X,O
IJZSLOT,X,O,O,O,X,O,O
IJZSOTL,X,X,O,O,O,X,X
IJZSOLT,X,O,O,O,X,X,O
IJZOTLS,X,X,X,O,X,X,X
IJZOTSL,X,X,O,O,O,X,X
IJZOLTS,X,X,O,O,X,X,O
IJZOLST,X,O,O,O,X,X,O
IJZOSTL,X,X,O,O,O,X,X
IJZOSLT,X,O,O,O,X,X,O
IJOTLSZ,O,O,O,X,X,O,X
IJOTLZS,O,O,O,X,X,O,X
IJOTSLZ,O,O,O,X,X,O,X
IJOTSZL,X,O,O,O,X,X,X
IJOTZLS,X,O,O,O,X,X,X
IJOTZSL,X,O,O,O,X,X,X
IJOLTSZ,O,X,O,X,X,O,X
IJOLTZS,O,X,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,O,X
IJOLSZT,O,O,O,O,X,O,X
IJOLZTS,O,O,O,O,X,X,X
IJOLZST,O,O,O,O,X,O,X
IJOSTLZ,O,O,O,X,X,O,X
IJOSTZL,X,O,O,O,X,X,X
IJOSLTZ,O,X,O,X,X,O,X
IJOSLZT,O,O,O,O,X,O,X
IJOSZTL,X,O,O,O,O,X,X
IJOSZLT,X,O,O,O,X,X,O
IJOZTLS,X,O,X,O,X,X,X
IJOZTSL,X,O,O,O,O,X,X
IJOZLTS,X,O,O,O,X,X,O
IJOZLST,X,O,O,O,X,X,O
IJOZSTL,X,O,O,O,O,X,X
IJOZSLT,X,O,O,O,X,X,O
ISTLJZO,O,O,O,X,X,O,X
ISTLJOZ,O,O,O,X,X,O,X
ISTLZJO,O,O,O,X,X,O,X
ISTLZOJ,O,X,O,X,X,O,X
ISTLOJZ,O,O,O,X,X,O,X
ISTLOZJ,O,O,O,X,X,O,X
ISTJLZO,O,O,O,X,X,O,X
ISTJLOZ,O,O,O,X,X,O,X
ISTJZLO,X,O,O,O,X,O,X
ISTJZOL,X,O,O,O,X,X,X
ISTJOLZ,O,O,O,X,X,O,X
ISTJOZL,X,O,O,O,X,X,X
ISTZLJO,O,O,O,O,X,O,O
ISTZLOJ,O,X,O,X,X,O,O
ISTZJLO,X,O,O,O,X,O,X
ISTZJOL,X,O,O,O,X,X,X
ISTZOLJ,O,O,O,X,X,X,O
ISTZOJL,X,O,O,O,X,X,X
ISTOLJZ,O,O,O,X,X,O,X
ISTOLZJ,O,O,O,X,X,O,X
ISTOJLZ,O,O,O,X,X,O,X
ISTOJZL,X,O,O,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,O
ISTOZJL,X,O,O,X,X,X,X
ISLTJZO,O,O,O,X,X,O,X
ISLTJOZ,O,O,O,X,X,O,X
ISLTZJO,O,O,O,X,X,O,X
ISLTZOJ,O,X,O,X,X,O,X
ISLTOJZ,O,O,O,X,X,O,X
ISLTOZJ,O,O,O,X,X,O,X
ISLJTZO,O,O,O,X,X,O,X
ISLJTOZ,O,O,O,X,X,O,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,O,X,O,X
ISLJOTZ,O,X,O,X,X,O,X
ISLJOZT,O,X,O,O,X,O,X
ISLZTJO,O,X,O,O,X,X,O
ISLZTOJ,O,X,O,X,X,X,O
ISLZJTO,O,X,O,O,X,X,O
ISLZJOT,O,X,O,O,X,O,O
ISLZOTJ,O,X,O,X,X,X,O
ISLZOJT,O,X,O,X,X,O,O
ISLOTJZ,O,O,O,X,X,O,X
ISLOTZJ,O,O,O,X,X,X,X
ISLOJTZ,O,X,O,X,X,O,X
ISLOJZT,O,O,O,X,X,O,X
ISLOZTJ,O,X,O,X,X,X,O
ISLOZJT,O,X,O,X,X,O,O
ISJTLZO,O,O,O,X,X,O,X
ISJTLOZ,O,O,O,X,X,O,X
ISJTZLO,X,O,O,O,X,O,X
ISJTZOL,X,O,O,O,X,X,X
ISJTOLZ,O,O,O,X,X,O,X
ISJTOZL,X,O,O,O,X,X,X
ISJLTZO,O,O,O,X,X,O,X
ISJLTOZ,O,O,O,X,X,O,X
ISJLZTO,O,O,O,O,X,X,X
ISJLZOT,O,O,O,O,X,O,X
ISJLOTZ,O,X,O,X,X,O,X
ISJLOZT,O,X,O,O,X,O,X
ISJZTLO,X,O,O,O,X,O,X
ISJZTOL,X,O,O,O,O,X,X
ISJZLTO,X,O,O,O,X,X,O
ISJZLOT,X,O,O,O,X,O,O
ISJZOTL,X,X,O,O,O,X,X
ISJZOLT,X,O,O,O,X,X,O
ISJOTLZ,O,O,O,X,X,O,X
ISJOTZL,X,O,O,O,X,X,X
ISJOLTZ,O,X,O,X,X,O,X
ISJOLZT,O,O,O,O,X,O,X
ISJOZTL,X,O,O,O,O,X,X
ISJOZLT,X,O,O,O,X,X,O
ISZTLJO,O,O,O,O,X,O,O
ISZTLOJ,O,X,O,X,X,O,O
ISZTJLO,X,O,O,O,X,O,X
ISZTJOL,X,O,O,O,O,X,X
ISZTOLJ,O,O,O,X,O,X,O
ISZTOJL,X,O,O,O,O,X,X
ISZLTJO,O,X,O,O,X,X,O
ISZLTOJ,O,X,O,X,X,X,O
ISZLJTO,O,X,O,O,X,X,O
ISZLJOT,O,X,O,O,X,O,O
ISZLOTJ,O,X,O,X,X,X,O
ISZLOJT,O,X,O,X,X,O,O
ISZJTLO,X,O,O,O,X,O,X
ISZJTOL,X,O,O,O,O,X,X
ISZJLTO,X,O,O,O,X,X,O
ISZJLOT,X,O,O,O,X,O,O
ISZJOTL,X,X,O,O,O,X,X
ISZJOLT,X,O,O,O,X,X,O
ISZOTLJ,O,O,X,X,O,X,O
ISZOTJL,X,O,O,O,O,X,X
ISZOLTJ,O,X,O,X,X,X,O
ISZOLJT,O,X,O,X,X,X,O
ISZOJTL,X,O,O,O,O,X,X
ISZOJLT,X,O,O,O,X,X,O
ISOTLJZ,O,O,O,X,X,O,X
ISOTLZJ,O,O,O,X,X,O,X
ISOTJLZ,O,O,O,X,X,O,X
ISOTJZL,X,O,O,X,X,X,X
ISOTZLJ,O,O,O,X,X,X,O
ISOTZJL,X,O,O,X,X,X,X
ISOLTJZ,O,O,O,X,X,O,X
ISOLTZJ,O,O,O,X,X,X,X
ISOLJTZ,O,X,O,X,X,O,X
ISOLJZT,O,O,O,X,X,O,X
ISOLZTJ,O,X,O,X,X,X,O
ISOLZJT,O,X,O,X,X,O,O
ISOJTLZ,O,O,O,X,X,O,X
ISOJTZL,X,O,O,O,X,X,X
ISOJLTZ,O,X,O,X,X,O,X
ISOJLZT,O,O,O,O,X,O,X
ISOJZTL,X,O,O,O,O,X,X
ISOJZLT,X,O,O,O,X,X,O
ISOZTLJ,O,O,X,X,O,X,O
ISOZTJL,X,O,O,O,O,X,X
ISOZLTJ,O,X,O,X,X,X,O
ISOZLJT,O,X,O,X,X,X,O
ISOZJTL,X,O,O,O,O,X,X
ISOZJLT,X,O,O,O,X,X,O
IZTLJSO,O,O,O,O,X,O,O
IZTLJOS,O,O,O,O,X,O,O
IZTLSJO,O,O,O,O,X,O,O
IZTLSOJ,O,X,O,X,X,O,O
IZTLOJS,O,X,O,X,X,O,O
IZTLOSJ,O,X,O,X,X,O,O
