sequence,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeR7IvhFGdBTeB?igBUiBFmB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeaAJvhFzbBGeB?RiBUiBFmB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeU7IvhFFcBxdB?zhBCjBmlB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeR7IvhFzcBGeB?igBFmB0nB3sB,v115@zgA8IeB8HeB8FeF8AeB8BeG8BeB8JeU7IvhFyhB+iB?TeBxlBFmB3sB
ITLOSZJ,O,O,X,O,X
ITLOZJS,O,O,X,O,X
ITLOZSJ,O,X,X,O,X
ITJLSZO,O,O,X,X,X
ITJLSOZ,O,O,X,O,X
ITJLZSO,O,X,X,O,X
ITJLZOS,O,O,X,O,O
ITJLOSZ,O,O,X,O,X
ITJLOZS,O,O,X,O,O
ITJSLZO,O,O,X,X,X
ITJSLOZ,O,O,X,O,X
ITJSZLO,O,O,X,X,X
ITJSZOL,O,O,X,X,X
ITJSOLZ,O,O,X,O,X
ITJSOZL,O,O,X,O,X
ITJZLSO,X,X,X,O,X
ITJZLOS,O,O,X,O,O
ITJZSLO,X,X,X,O,X
ITJZSOL,O,X,X,O,X
ITJZOLS,O,O,X,O,O
ITJZOSL,O,X,X,O,X
ITJOLSZ,O,O,X,O,X
ITJOLZS,O,O,X,O,O
ITJOSLZ,O,O,X,O,X
ITJOSZL,O,O,X,O,X
ITJOZLS,O,O,X,O,O
ITJOZSL,O,X,X,O,X
ITSLJZO,O,O,X,X,O
ITSLJOZ,O,O,X,O,O
ITSLZJO,O,O,X,O,O
ITSLZOJ,O,O,X,O,X
ITSLOJZ,O,O,X,O,X
ITSLOZJ,O,O,X,O,X
ITSJLZO,O,O,X,X,O
ITSJLOZ,O,O,X,O,O
ITSJZLO,O,O,X,X,O
ITSJZOL,O,O,X,X,O
ITSJOLZ,O,O,X,O,O
ITSJOZL,O,O,X,O,O
ITSZLJO,O,O,X,O,O
ITSZLOJ,O,O,X,O,X
ITSZJLO,O,O,X,O,O
ITSZJOL,O,O,X,O,O
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,O,X,O,O
ITSOLJZ,O,O,X,X,X
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,O,X,O,O
ITSOJZL,O,O,X,O,O
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,O,X,O,O
ITZLJSO,O,X,X,O,X
ITZLJOS,O,O,X,O,O
ITZLSJO,O,X,X,O,X
ITZLSOJ,O,X,X,O,X
ITZLOJS,O,O,X,O,X
ITZLOSJ,O,X,X,O,X
ITZJLSO,O,X,X,O,X
ITZJLOS,O,O,X,O,O
ITZJSLO,X,X,X,O,X
ITZJSOL,O,X,X,O,X
ITZJOLS,O,O,X,O,O
ITZJOSL,O,X,X,O,X
ITZSLJO,O,X,X,O,O
ITZSLOJ,O,X,X,O,X
ITZSJLO,O,X,X,O,O
ITZSJOL,O,X,X,O,O
ITZSOLJ,O,X,X,X,X
ITZSOJL,O,X,X,O,O
ITZOLJS,O,O,X,O,X
ITZOLSJ,O,X,X,O,X
ITZOJLS,O,O,X,O,O
ITZOJSL,O,X,X,O,X
ITZOSLJ,O,X,X,X,X
ITZOSJL,O,X,X,O,O
ITOLJSZ,O,O,X,O,X
ITOLJZS,O,O,X,O,X
ITOLSJZ,O,O,X,O,X
ITOLSZJ,O,O,X,O,X
ITOLZJS,O,O,X,O,X
ITOLZSJ,O,X,X,O,X
ITOJLSZ,O,O,X,O,X
ITOJLZS,O,O,X,O,O
ITOJSLZ,O,O,X,O,X
ITOJSZL,O,O,X,O,X
ITOJZLS,O,O,X,O,O
ITOJZSL,O,X,X,O,X
ITOSLJZ,O,O,X,X,X
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,O,X,O,O
ITOSJZL,O,O,X,O,O
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,X,O,O
ITOZLJS,O,O,X,O,X
ITOZLSJ,O,X,X,O,X
ITOZJLS,O,O,X,O,O
ITOZJSL,O,X,X,O,X
ITOZSLJ,O,X,X,X,X
ITOZSJL,O,X,X,O,O
ILTJSZO,O,O,O,X,X
ILTJSOZ,O,O,X,O,X
ILTJZSO,O,X,O,O,X
ILTJZOS,O,O,O,O,O
ILTJOSZ,O,O,X,O,X
ILTJOZS,O,O,O,O,O
ILTSJZO,O,O,X,X,X
ILTSJOZ,O,O,X,O,X
ILTSZJO,O,O,X,O,X
ILTSZOJ,O,O,X,O,X
ILTSOJZ,O,O,X,O,X
ILTSOZJ,O,O,X,O,X
ILTZJSO,O,X,O,O,X
ILTZJOS,O,O,O,O,O
ILTZSJO,O,X,X,O,X
ILTZSOJ,O,X,O,O,X
ILTZOJS,O,O,O,O,X
ILTZOSJ,O,X,O,O,X
ILTOJSZ,O,O,O,O,X
ILTOJZS,O,O,O,O,X
ILTOSJZ,O,O,X,O,X
ILTOSZJ,O,O,O,O,X
ILTOZJS,O,O,O,O,X
ILTOZSJ,O,X,O,O,X
ILJTSZO,X,O,O,X,X
ILJTSOZ,X,O,X,O,X
ILJTZSO,X,X,O,X,X
ILJTZOS,X,O,O,O,O
ILJTOSZ,X,O,X,O,X
ILJTOZS,X,O,O,O,O
ILJSTZO,X,O,O,X,X
ILJSTOZ,X,O,X,X,X
ILJSZTO,O,O,O,X,X
ILJSZOT,O,X,X,X,O
ILJSOTZ,X,O,X,X,X
ILJSOZT,O,X,X,X,O
ILJZTSO,X,X,O,X,X
ILJZTOS,O,O,O,X,O
ILJZSTO,X,X,O,X,X
ILJZSOT,O,X,X,X,O
ILJZOTS,O,X,O,X,O
ILJZOST,O,X,O,X,O
ILJOTSZ,X,O,O,X,X
ILJOTZS,X,O,O,X,O
ILJOSTZ,X,X,O,X,X
ILJOSZT,O,X,O,X,O
ILJOZTS,O,X,O,X,O
ILJOZST,O,X,O,X,O
ILSTJZO,O,O,X,X,O
ILSTJOZ,O,O,X,X,O
ILSTZJO,O,O,X,X,O
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,O,X,X,X
ILSTOZJ,O,O,X,X,X
ILSJTZO,X,O,O,X,O
ILSJTOZ,X,O,X,X,O
ILSJZTO,O,O,O,X,O
ILSJZOT,O,X,X,X,O
ILSJOTZ,X,O,X,X,O
ILSJOZT,O,X,X,X,O
ILSZTJO,O,O,X,X,O
ILSZTOJ,O,O,O,X,X
ILSZJTO,O,O,O,X,O
ILSZJOT,O,X,X,X,O
ILSZOTJ,O,X,O,X,X
ILSZOJT,O,X,O,X,O
ILSOTJZ,O,O,X,X,X
ILSOTZJ,O,O,O,X,X
ILSOJTZ,X,O,O,X,O
ILSOJZT,O,X,O,X,O
ILSOZTJ,O,X,O,X,X
ILSOZJT,O,X,O,X,O
ILZTJSO,X,X,O,O,X
ILZTJOS,O,O,O,O,O
ILZTSJO,X,X,X,O,X
ILZTSOJ,X,X,O,O,X
ILZTOJS,O,O,O,O,X
ILZTOSJ,X,X,O,O,X
ILZJTSO,X,X,O,O,X
ILZJTOS,O,O,O,O,O
ILZJSTO,X,X,O,X,X
ILZJSOT,O,X,X,X,O
ILZJOTS,O,X,O,O,O
ILZJOST,O,X,O,X,O
ILZSTJO,O,X,X,X,O
ILZSTOJ,O,X,O,X,X
ILZSJTO,O,X,O,X,O
ILZSJOT,O,X,X,X,O
ILZSOTJ,O,X,O,X,X
ILZSOJT,O,X,O,X,O
ILZOTJS,O,X,O,X,X
ILZOTSJ,X,X,O,X,X
ILZOJTS,O,X,O,O,O
ILZOJST,O,X,O,X,O
ILZOSTJ,O,X,O,X,X
ILZOSJT,O,X,O,X,O
ILOTJSZ,O,O,O,X,X
ILOTJZS,O,O,O,X,X
ILOTSJZ,O,O,X,X,X
ILOTSZJ,O,X,O,X,X
ILOTZJS,O,O,O,X,X
ILOTZSJ,O,X,O,X,X
ILOJTSZ,X,O,O,X,X
ILOJTZS,X,O,O,X,O
ILOJSTZ,X,X,O,X,X
ILOJSZT,O,X,O,X,O
ILOJZTS,O,X,O,X,O
ILOJZST,O,X,O,X,O
ILOSTJZ,O,X,X,X,X
ILOSTZJ,O,X,O,X,X
ILOSJTZ,X,X,O,X,O
ILOSJZT,O,X,O,X,O
ILOSZTJ,O,X,O,X,X
ILOSZJT,O,X,O,X,O
ILOZTJS,O,X,O,X,X
ILOZTSJ,X,X,O,X,X
ILOZJTS,O,X,O,X,O
ILOZJST,O,X,O,X,O
ILOZSTJ,O,X,O,X,X
ILOZSJT,O,X,O,X,O
IJTLSZO,O,O,O,X,X
IJTLSOZ,O,O,X,O,X
IJTLZSO,O,X,O,O,X
IJTLZOS,O,O,O,O,O
IJTLOSZ,O,O,X,O,X
IJTLOZS,O,O,O,O,O
IJTSLZO,O,O,O,X,X
IJTSLOZ,O,O,O,O,X
IJTSZLO,O,O,O,X,X
IJTSZOL,O,O,O,X,X
IJTSOLZ,O,O,O,O,X
IJTSOZL,O,O,O,O,X
IJTZLSO,X,X,O,O,X
IJTZLOS,O,O,O,O,O
IJTZSLO,X,X,O,O,X
IJTZSOL,O,X,O,O,X
IJTZOLS,O,O,O,O,O
IJTZOSL,O,X,O,O,X
IJTOLSZ,O,O,O,O,X
IJTOLZS,O,O,O,O,O
IJTOSLZ,O,O,X,O,X
IJTOSZL,O,O,O,O,X
IJTOZLS,O,O,O,O,O
IJTOZSL,O,X,O,O,X
IJLTSZO,X,O,O,X,X
IJLTSOZ,X,O,X,O,X
IJLTZSO,X,X,O,X,X
IJLTZOS,X,O,O,O,O
IJLTOSZ,X,O,X,O,X
IJLTOZS,X,O,O,O,O
IJLSTZO,X,O,O,X,X
IJLSTOZ,X,O,X,X,X
IJLSZTO,O,O,O,X,X
IJLSZOT,O,X,X,X,O
IJLSOTZ,X,O,X,X,X
IJLSOZT,O,X,X,X,O
IJLZTSO,X,X,O,X,X
IJLZTOS,O,O,O,X,O
IJLZSTO,X,X,O,X,X
IJLZSOT,O,X,X,X,O
IJLZOTS,O,X,O,X,O
IJLZOST,O,X,O,X,O
IJLOTSZ,X,O,O,X,X
IJLOTZS,X,O,O,X,O
IJLOSTZ,X,X,O,X,X
IJLOSZT,O,X,O,X,O
IJLOZTS,O,X,O,X,O
IJLOZST,O,X,O,X,O
IJSTLZO,O,O,O,X,O
IJSTLOZ,O,O,O,O,O
IJSTZLO,O,O,O,X,O
IJSTZOL,O,O,O,X,O
IJSTOLZ,O,O,O,O,O
IJSTOZL,O,O,O,O,O
IJSLTZO,X,O,O,X,O
IJSLTOZ,X,O,O,X,O
IJSLZTO,O,O,O,X,O
IJSLZOT,O,X,O,X,O
IJSLOTZ,X,O,O,X,O
IJSLOZT,O,X,O,X,O
IJSZTLO,X,O,O,X,O
IJSZTOL,O,O,O,X,O
IJSZLTO,X,O,O,X,O
IJSZLOT,O,X,O,X,O
IJSZOTL,O,X,O,X,O
IJSZOLT,O,X,O,X,O
IJSOTLZ,O,O,O,X,O
IJSOTZL,O,O,O,X,O
IJSOLTZ,X,O,O,X,O
IJSOLZT,O,X,O,X,O
IJSOZTL,O,X,O,X,O
IJSOZLT,O,X,O,X,O
IJZTLSO,X,X,O,O,X
IJZTLOS,X,O,O,O,O
IJZTSLO,X,X,O,O,X
IJZTSOL,X,X,O,O,X
IJZTOLS,O,O,O,O,O
IJZTOSL,O,X,O,O,X
IJZLTSO,X,X,O,O,X
IJZLTOS,X,O,O,O,O
IJZLSTO,X,X,O,X,X
IJZLSOT,X,X,X,X,O
IJZLOTS,O,X,O,O,O
IJZLOST,O,X,O,X,O
IJZSTLO,X,X,O,O,O
IJZSTOL,X,X,O,O,O
IJZSLTO,X,X,O,X,O
IJZSLOT,X,X,O,X,O
IJZSOTL,O,X,O,O,O
IJZSOLT,O,X,O,X,O
IJZOTLS,O,X,O,O,O
IJZOTSL,O,X,O,O,X
IJZOLTS,O,X,O,O,O
IJZOLST,O,X,O,X,O
IJZOSTL,O,X,O,O,O
IJZOSLT,O,X,X,X,O
IJOTLSZ,O,O,O,O,X
IJOTLZS,O,O,O,O,O
IJOTSLZ,O,O,X,O,X
IJOTSZL,O,X,O,O,X
IJOTZLS,O,O,O,O,O
IJOTZSL,O,X,O,O,X
IJOLTSZ,X,O,O,X,X
IJOLTZS,X,O,O,X,O
IJOLSTZ,X,X,O,X,X
IJOLSZT,O,X,O,X,O
IJOLZTS,O,X,O,X,O
IJOLZST,O,X,O,X,O
IJOSTLZ,O,X,X,X,O
IJOSTZL,O,X,O,X,O
IJOSLTZ,X,X,X,X,O
IJOSLZT,O,X,X,X,O
IJOSZTL,O,X,O,X,O
IJOSZLT,O,X,X,X,O
IJOZTLS,O,X,O,X,O
IJOZTSL,O,X,O,X,X
IJOZLTS,O,X,O,X,O
IJOZLST,O,X,O,X,O
IJOZSTL,O,X,O,X,O
IJOZSLT,O,X,X,X,O
ISTLJZO,O,O,X,X,O
ISTLJOZ,O,O,X,O,O
ISTLZJO,O,O,X,O,O
ISTLZOJ,O,O,X,O,X
ISTLOJZ,O,O,X,O,X
ISTLOZJ,O,O,X,O,X
ISTJLZO,O,O,X,X,O
ISTJLOZ,O,O,X,O,O
ISTJZLO,O,O,X,X,O
ISTJZOL,O,O,X,X,O
ISTJOLZ,O,O,X,O,O
ISTJOZL,O,O,X,O,O
ISTZLJO,O,O,X,O,O
ISTZLOJ,O,O,X,O,X
ISTZJLO,O,O,X,O,O
ISTZJOL,O,O,X,O,O
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,X,O,O
ISTOLJZ,O,O,X,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,O,X,O,O
ISTOJZL,O,O,X,O,O
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,X,O,O
ISLTJZO,O,O,O,X,O
ISLTJOZ,O,O,O,X,O
ISLTZJO,O,O,O,X,O
ISLTZOJ,O,O,O,X,X
ISLTOJZ,O,O,O,X,X
ISLTOZJ,O,O,O,X,X
ISLJTZO,X,O,O,X,O
ISLJTOZ,X,O,O,X,O
ISLJZTO,O,O,O,X,O
ISLJZOT,O,X,O,X,O
ISLJOTZ,X,O,O,X,O
ISLJOZT,O,X,O,X,O
ISLZTJO,O,O,O,X,O
ISLZTOJ,O,O,O,X,X
ISLZJTO,O,O,O,X,O
ISLZJOT,O,X,O,X,O
ISLZOTJ,O,X,O,X,X
ISLZOJT,O,X,O,X,O
ISLOTJZ,O,O,O,X,X
ISLOTZJ,O,O,O,X,X
ISLOJTZ,X,O,O,X,O
ISLOJZT,O,X,O,X,O
ISLOZTJ,O,X,O,X,X
ISLOZJT,O,X,O,X,O
ISJTLZO,O,O,O,X,O
ISJTLOZ,O,O,O,O,O
ISJTZLO,O,O,O,X,O
ISJTZOL,O,O,O,X,O
ISJTOLZ,O,O,O,O,O
ISJTOZL,O,O,O,O,O
ISJLTZO,X,O,O,X,O
ISJLTOZ,X,O,O,X,O
ISJLZTO,O,O,O,X,O
ISJLZOT,O,X,O,X,O
ISJLOTZ,X,O,O,X,O
ISJLOZT,O,X,O,X,O
ISJZTLO,X,O,O,X,O
ISJZTOL,O,O,O,X,O
ISJZLTO,X,O,O,X,O
ISJZLOT,O,X,O,X,O
ISJZOTL,O,X,O,X,O
ISJZOLT,O,X,O,X,O
ISJOTLZ,O,O,O,X,O
ISJOTZL,O,O,O,X,O
ISJOLTZ,X,O,O,X,O
ISJOLZT,O,X,O,X,O
ISJOZTL,O,X,O,X,O
ISJOZLT,O,X,O,X,O
ISZTLJO,O,O,O,O,O
ISZTLOJ,O,O,O,O,X
ISZTJLO,O,O,X,O,O
ISZTJOL,O,O,X,O,O
ISZTOLJ,O,O,O,X,X
ISZTOJL,O,O,O,O,O
ISZLTJO,O,O,O,X,O
ISZLTOJ,O,O,O,X,X
ISZLJTO,O,O,O,X,O
ISZLJOT,O,X,O,X,O
ISZLOTJ,O,X,O,X,X
ISZLOJT,O,X,O,X,O
ISZJTLO,O,O,O,O,O
ISZJTOL,O,O,O,O,O
ISZJLTO,O,O,O,X,O
ISZJLOT,O,X,O,X,O
ISZJOTL,O,X,O,O,O
ISZJOLT,O,X,O,X,O
ISZOTLJ,O,X,O,X,X
ISZOTJL,O,X,O,X,O
ISZOLTJ,O,X,O,X,X
ISZOLJT,O,X,O,X,O
ISZOJTL,O,X,O,O,O
ISZOJLT,O,X,O,X,O
ISOTLJZ,O,O,O,X,X
ISOTLZJ,O,O,O,X,X
ISOTJLZ,O,O,O,X,O
ISOTJZL,O,O,O,X,O
ISOTZLJ,O,O,O,X,X
ISOTZJL,O,O,O,X,O
ISOLTJZ,O,O,O,X,X
ISOLTZJ,O,O,O,X,X
ISOLJTZ,X,O,O,X,O
ISOLJZT,O,X,O,X,O
ISOLZTJ,O,X,O,X,X
ISOLZJT,O,X,O,X,O
ISOJTLZ,O,O,O,X,O
ISOJTZL,O,O,O,X,O
ISOJLTZ,X,O,O,X,O
ISOJLZT,O,X,O,X,O
ISOJZTL,O,X,O,X,O
ISOJZLT,O,X,O,X,O
ISOZTLJ,O,X,O,X,X
ISOZTJL,O,X,O,X,O
ISOZLTJ,O,X,O,X,X
ISOZLJT,O,X,O,X,O
ISOZJTL,O,X,O,X,O
ISOZJLT,O,X,O,X,O
IZTLJSO,O,X,X,O,X
IZTLJOS,O,O,O,O,O
IZTLSJO,O,X,X,O,X
IZTLSOJ,O,X,O,O,X
IZTLOJS,O,O,O,O,X
IZTLOSJ,O,X,O,O,X
IZTJLSO,O,X,X,O,X
IZTJLOS,O,O,X,O,O
IZTJSLO,X,X,X,O,X
IZTJSOL,O,X,X,O,X
IZTJOLS,O,O,X,O,O
IZTJOSL,O,X,X,O,X
IZTSLJO,O,X,O,O,O
IZTSLOJ,O,X,O,O,X
IZTSJLO,O,X,X,O,O
IZTSJOL,O,X,X,O,O
IZTSOLJ,O,X,O,X,X
IZTSOJL,O,X,O,O,O
IZTOLJS,O,O,O,O,X
IZTOLSJ,O,X,O,O,X
IZTOJLS,O,O,O,O,O
IZTOJSL,O,X,X,O,X
IZTOSLJ,O,X,O,X,X
IZTOSJL,O,X,X,O,O
IZLTJSO,X,X,O,O,X
IZLTJOS,O,O,O,O,O
IZLTSJO,X,X,X,O,X
IZLTSOJ,X,X,O,O,X
IZLTOJS,O,O,O,O,X
IZLTOSJ,X,X,O,O,X
IZLJTSO,X,X,O,O,X
IZLJTOS,O,O,O,O,O
IZLJSTO,X,X,O,X,X
IZLJSOT,O,X,X,X,O
IZLJOTS,O,X,O,O,O
IZLJOST,O,X,O,X,O
IZLSTJO,O,X,X,X,O
IZLSTOJ,O,X,O,X,X
IZLSJTO,O,X,O,X,O
IZLSJOT,O,X,X,X,O
IZLSOTJ,O,X,O,X,X
IZLSOJT,O,X,O,X,O
IZLOTJS,O,X,O,X,X
IZLOTSJ,X,X,O,X,X
IZLOJTS,O,X,O,O,O
IZLOJST,O,X,O,X,O
IZLOSTJ,O,X,O,X,X
IZLOSJT,O,X,O,X,O
IZJTLSO,O,X,O,O,X
IZJTLOS,O,O,O,O,O
IZJTSLO,X,X,O,O,X
IZJTSOL,O,X,O,O,X
IZJTOLS,O,O,O,O,O
IZJTOSL,O,X,O,O,X
IZJLTSO,X,X,O,O,X
IZJLTOS,O,O,O,O,O
IZJLSTO,X,X,O,X,X
IZJLSOT,O,X,X,X,O
IZJLOTS,O,X,O,O,O
IZJLOST,O,X,O,X,O
IZJSTLO,X,X,O,O,O
IZJSTOL,X,X,O,O,O
IZJSLTO,X,X,O,X,O
IZJSLOT,X,X,O,X,O
IZJSOTL,O,X,O,O,O
IZJSOLT,O,X,O,X,O
IZJOTLS,O,X,O,O,O
IZJOTSL,O,X,O,O,X
IZJOLTS,O,X,O,O,O
IZJOLST,O,X,O,X,O
IZJOSTL,O,X,O,O,O
IZJOSLT,O,X,X,X,O
IZSTLJO,O,X,O,O,O
IZSTLOJ,O,X,O,O,X
IZSTJLO,O,X,X,O,O
IZSTJOL,O,X,X,O,O
IZSTOLJ,O,X,O,X,X
IZSTOJL,O,X,O,O,O
IZSLTJO,O,X,O,X,O
IZSLTOJ,O,X,O,X,X
IZSLJTO,O,X,O,X,O
IZSLJOT,O,X,O,X,O
IZSLOTJ,O,X,O,X,X
IZSLOJT,O,X,O,X,O
IZSJTLO,X,X,O,O,O
IZSJTOL,O,X,O,O,O
IZSJLTO,X,X,O,X,O
IZSJLOT,O,X,O,X,O
IZSJOTL,O,X,O,O,O
IZSJOLT,O,X,O,X,O
IZSOTLJ,O,X,O,X,X
IZSOTJL,O,X,O,X,O
IZSOLTJ,O,X,O,X,X
IZSOLJT,O,X,O,X,O
IZSOJTL,O,X,O,O,O
IZSOJLT,O,X,O,X,O
IZOTLJS,O,X,O,O,X
IZOTLSJ,O,X,O,O,X
IZOTJLS,O,X,O,O,O
IZOTJSL,O,X,O,O,X
IZOTSLJ,O,X,O,X,X
IZOTSJL,O,X,X,O,O
IZOLTJS,O,X,O,X,X
IZOLTSJ,X,X,O,X,X
IZOLJTS,O,X,O,O,O
IZOLJST,O,X,O,X,O
IZOLSTJ,O,X,O,X,X
IZOLSJT,O,X,O,X,O
IZOJTLS,O,X,O,O,O
IZOJTSL,O,X,O,O,X
IZOJLTS,O,X,O,O,O
IZOJLST,O,X,O,X,O
IZOJSTL,O,X,O,O,O
IZOJSLT,O,X,X,X,O
IZOSTLJ,O,X,O,X,X
IZOSTJL,O,X,X,X,O
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,X,O
IZOSJTL,O,X,O,O,O
IZOSJLT,O,X,X,X,O
IOTLJSZ,O,O,X,O,X
IOTLJZS,O,O,O,O,X
IOTLSJZ,O,O,X,O,X
IOTLSZJ,O,X,O,O,X
IOTLZJS,O,O,O,O,X
IOTLZSJ,O,X,O,O,X
IOTJLSZ,O,O,X,O,X
IOTJLZS,O,O,O,O,O
IOTJSLZ,O,O,X,O,X
IOTJSZL,O,X,O,O,X
IOTJZLS,O,O,O,O,O
IOTJZSL,O,X,O,O,X
IOTSLJZ,O,O,X,X,X
IOTSLZJ,O,X,X,X,X
IOTSJLZ,O,O,X,O,O
IOTSJZL,O,X,X,O,O
IOTSZLJ,O,X,O,X,X
IOTSZJL,O,X,X,O,O
IOTZLJS,O,O,O,O,X
IOTZLSJ,O,X,O,O,X
IOTZJLS,O,O,O,O,O
IOTZJSL,O,X,O,O,X
IOTZSLJ,O,X,O,X,X
IOTZSJL,O,X,X,O,O
IOLTJSZ,O,O,O,X,X
IOLTJZS,O,O,O,X,X
IOLTSJZ,O,O,X,X,X
IOLTSZJ,O,X,O,X,X
IOLTZJS,O,O,O,X,X
IOLTZSJ,O,X,O,X,X
IOLJTSZ,X,O,O,X,X
IOLJTZS,X,O,O,X,O
IOLJSTZ,X,X,O,X,X
IOLJSZT,O,X,O,X,O
IOLJZTS,O,X,O,X,O
IOLJZST,O,X,O,X,O
IOLSTJZ,O,X,X,X,X
IOLSTZJ,O,X,O,X,X
IOLSJTZ,X,X,O,X,O
IOLSJZT,O,X,O,X,O
IOLSZTJ,O,X,O,X,X
IOLSZJT,O,X,O,X,O
IOLZTJS,O,X,O,X,X
IOLZTSJ,X,X,O,X,X
IOLZJTS,O,X,O,X,O
IOLZJST,O,X,O,X,O
IOLZSTJ,O,X,O,X,X
IOLZSJT,O,X,O,X,O
IOJTLSZ,O,O,O,O,X
IOJTLZS,O,O,O,O,O
IOJTSLZ,O,O,X,O,X
IOJTSZL,O,X,O,O,X
IOJTZLS,O,O,O,O,O
IOJTZSL,O,X,O,O,X
IOJLTSZ,X,O,O,X,X
IOJLTZS,X,O,O,X,O
IOJLSTZ,X,X,O,X,X
IOJLSZT,O,X,O,X,O
IOJLZTS,O,X,O,X,O
IOJLZST,O,X,O,X,O
IOJSTLZ,O,X,X,X,O
IOJSTZL,O,X,O,X,O
IOJSLTZ,X,X,X,X,O
IOJSLZT,O,X,X,X,O
IOJSZTL,O,X,O,X,O
IOJSZLT,O,X,X,X,O
IOJZTLS,O,X,O,X,O
IOJZTSL,O,X,O,X,X
IOJZLTS,O,X,O,X,O
IOJZLST,O,X,O,X,O
IOJZSTL,O,X,O,X,O
IOJZSLT,O,X,X,X,O
IOSTLJZ,O,X,X,X,X
IOSTLZJ,O,X,X,X,X
IOSTJLZ,O,X,X,X,O
IOSTJZL,O,X,X,X,O
IOSTZLJ,O,X,O,X,X
IOSTZJL,O,X,X,X,O
IOSLTJZ,O,X,X,X,X
IOSLTZJ,O,X,X,X,X
IOSLJTZ,X,X,X,X,O
IOSLJZT,O,X,X,X,O
IOSLZTJ,O,X,X,X,X
IOSLZJT,O,X,X,X,O
IOSJTLZ,O,X,X,X,O
IOSJTZL,O,X,O,X,O
IOSJLTZ,X,X,X,X,O
IOSJLZT,O,X,X,X,O
IOSJZTL,O,X,O,X,O
IOSJZLT,O,X,X,X,O
IOSZTLJ,O,X,O,X,X
IOSZTJL,O,X,X,X,O
IOSZLTJ,O,X,X,X,X
IOSZLJT,O,X,X,X,O
IOSZJTL,O,X,O,X,O
IOSZJLT,O,X,X,X,O
IOZTLJS,O,X,O,O,X
IOZTLSJ,O,X,O,O,X
IOZTJLS,O,X,O,O,O
IOZTJSL,O,X,O,O,X
IOZTSLJ,O,X,O,X,X
IOZTSJL,O,X,X,O,O
IOZLTJS,O,X,O,X,X
IOZLTSJ,X,X,O,X,X
IOZLJTS,O,X,O,O,O
IOZLJST,O,X,O,X,O
IOZLSTJ,O,X,O,X,X
IOZLSJT,O,X,O,X,O
IOZJTLS,O,X,O,O,O
IOZJTSL,O,X,O,O,X
IOZJLTS,O,X,O,O,O
IOZJLST,O,X,O,X,O
IOZJSTL,O,X,O,O,O
IOZJSLT,O,X,X,X,O
IOZSTLJ,O,X,O,X,X
IOZSTJL,O,X,X,X,O
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,X,O
IOZSJTL,O,X,O,O,O
IOZSJLT,O,X,X,X,O
LTIJSZO,O,O,O,X,X
LTIJSOZ,O,O,X,O,X
LTIJZSO,O,X,O,O,X
LTIJZOS,O,O,O,O,X
LTIJOSZ,O,O,X,O,X
LTIJOZS,O,O,O,O,X
LTISJZO,O,O,X,X,X
LTISJOZ,O,O,X,O,X
LTISZJO,O,O,X,O,X
LTISZOJ,O,O,X,O,X
LTISOJZ,O,O,X,O,X
LTISOZJ,O,O,X,O,X
LTIZJSO,O,X,O,O,X
LTIZJOS,O,O,O,O,X
LTIZSJO,O,X,X,O,X
LTIZSOJ,O,X,O,O,X
LTIZOJS,O,O,O,O,X
LTIZOSJ,O,X,O,O,X
LTIOJSZ,O,O,O,O,X
LTIOJZS,O,O,O,O,X
LTIOSJZ,O,O,X,O,X
LTIOSZJ,O,O,O,O,X
LTIOZJS,O,O,O,O,X
LTIOZSJ,O,X,O,O,X
LTJISZO,O,O,O,X,X
LTJISOZ,O,O,X,O,X
LTJIZSO,O,X,O,O,X
LTJIZOS,O,O,O,O,X
LTJIOSZ,O,O,X,O,X
LTJIOZS,O,O,O,O,X
LTJSIZO,O,O,O,X,X
LTJSIOZ,O,O,X,O,X
LTJSZIO,O,O,O,X,X
LTJSZOI,O,O,X,X,X
LTJSOIZ,O,O,X,O,X
LTJSOZI,O,O,X,X,X
LTJZISO,O,X,O,O,X
LTJZIOS,O,O,O,O,X
LTJZSIO,O,O,O,O,X
LTJZSOI,O,O,X,O,X
LTJZOIS,O,O,O,O,X
LTJZOSI,O,O,O,O,X
LTJOISZ,O,O,O,O,X
LTJOIZS,O,O,O,O,X
LTJOSIZ,O,O,O,O,X
LTJOSZI,O,O,O,X,X
LTJOZIS,O,O,O,O,X
LTJOZSI,O,O,O,O,X
LTSIJZO,O,O,X,X,X
LTSIJOZ,O,O,X,O,X
