sequence,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBFgBT?iBWqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jex6IvhFXcBldB6kB2?lBUiBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFUcBRdBTiBf?qBllBGqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRbB3dBFhBU?iBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBfqBuqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFXcBldBUiBR?lBClBTqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jem6IvhFRdB0fBFhBT?iBSqB3qB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Je2/IvhFRdBFhBTiBC?lB3lBUqB,v115@8gA8HeC8DeA8BeC8CeH8BeF8Jei6IvhFRdBUgBFhBT?iBWqB3qB
TISOJZL,X,X,X,X,O,O,X,X,X,X
TISOZLJ,O,X,X,O,X,O,X,X,X,X
TISOZJL,X,X,X,X,O,O,X,X,X,X
TIZLJSO,O,O,X,X,X,X,O,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,X,O,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,O,X,X,X
TIZLOSJ,O,X,X,O,X,X,O,X,X,X
TIZJLSO,O,O,X,X,X,X,O,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,O,X,O,X,X,X
TIZJSOL,O,O,X,X,O,X,O,X,X,X
TIZJOLS,X,O,X,X,X,X,O,X,X,X
TIZJOSL,X,X,X,X,X,X,O,X,X,X
TIZSLJO,O,X,X,O,X,X,O,X,X,X
TIZSLOJ,O,X,X,O,X,X,X,X,X,X
TIZSJLO,O,X,X,X,O,X,O,X,X,X
TIZSJOL,X,X,X,X,O,X,O,X,X,X
TIZSOLJ,O,X,X,X,X,X,O,X,X,X
TIZSOJL,X,X,X,X,X,X,O,X,X,X
TIZOLJS,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,O,X,X,X
TIZOJLS,X,X,X,X,X,X,O,X,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X,X
TIZOSLJ,X,X,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,X,X,X,O,X,X,X
TIOLJSZ,X,X,O,X,O,X,X,X,O,X
TIOLJZS,X,X,O,X,O,X,X,O,O,O
TIOLSJZ,X,X,O,X,O,X,X,X,O,X
TIOLSZJ,X,X,X,X,O,O,X,O,X,X
TIOLZJS,X,X,O,X,O,X,X,O,O,X
TIOLZSJ,X,X,X,X,O,X,X,O,X,X
TIOJLSZ,X,X,O,X,O,X,X,X,O,X
TIOJLZS,X,X,O,X,X,X,X,O,O,O
TIOJSLZ,X,X,O,X,O,X,X,X,O,X
TIOJSZL,X,X,O,X,O,O,X,X,X,O
TIOJZLS,X,X,X,X,X,X,X,X,O,O
TIOJZSL,X,X,O,X,O,X,X,X,X,O
TIOSLJZ,X,X,X,X,O,X,X,X,O,X
TIOSLZJ,X,X,X,X,O,O,X,O,X,X
TIOSJLZ,X,X,X,X,O,X,X,X,O,X
TIOSJZL,X,X,X,X,O,O,X,X,X,O
TIOSZLJ,X,X,X,X,X,O,X,X,X,X
TIOSZJL,X,X,X,X,O,O,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,O,O,X
TIOZLSJ,X,X,X,X,X,X,X,O,X,X
TIOZJLS,X,X,X,X,X,X,X,X,O,O
TIOZJSL,X,X,X,X,O,X,X,X,X,O
TIOZSLJ,X,X,X,X,X,O,X,X,X,X
TIOZSJL,X,X,X,X,O,O,X,X,X,X
TLIJSZO,X,O,O,X,O,X,X,X,X,X
TLIJSOZ,X,O,O,X,O,X,X,X,X,X
TLIJZSO,O,O,O,X,O,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,O,X,X,X,O,X
TLIJOZS,X,O,X,X,X,X,X,X,O,X
TLISJZO,O,X,O,O,O,X,X,X,X,X
TLISJOZ,O,X,O,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,O,X,X,X,X,X
TLISZOJ,O,X,X,O,X,X,X,X,X,X
TLISOJZ,X,X,X,X,O,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X
TLIZJSO,O,O,O,X,O,X,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X,O,X,X
TLIZSJO,O,X,O,O,O,X,X,X,X,X
TLIZSOJ,O,X,O,O,X,X,X,X,X,X
TLIZOJS,O,O,O,X,X,X,X,O,X,X
TLIZOSJ,O,X,O,O,X,X,X,O,X,X
TLIOJSZ,X,X,O,X,O,X,X,X,O,X
TLIOJZS,X,X,O,X,X,X,X,O,O,X
TLIOSJZ,X,X,O,X,O,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,X,X,O,X,X
TLIOZJS,X,X,O,X,X,X,X,O,O,X
TLIOZSJ,X,X,X,X,X,X,X,O,X,X
TLJISZO,X,O,O,X,O,X,X,X,X,X
TLJISOZ,X,O,O,X,O,X,X,X,X,X
TLJIZSO,O,O,O,X,O,X,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,X,O,X,X,X,O,X
TLJIOZS,X,O,X,X,X,X,X,X,O,X
TLJSIZO,X,O,O,X,O,X,X,X,X,X
TLJSIOZ,X,O,O,X,O,X,X,X,X,X
TLJSZIO,X,O,O,X,O,X,X,X,X,X
TLJSZOI,X,O,O,X,O,X,X,X,X,X
TLJSOIZ,X,O,O,X,O,X,X,X,O,X
TLJSOZI,X,O,X,X,O,X,X,X,O,X
TLJZISO,O,O,O,X,O,X,X,X,X,X
TLJZIOS,O,O,O,X,X,X,X,O,X,O
TLJZSIO,X,O,O,X,O,X,X,X,X,X
TLJZSOI,X,O,O,X,O,X,X,O,X,O
TLJZOIS,O,O,O,X,X,X,X,O,O,O
TLJZOSI,X,O,O,X,X,X,X,O,O,O
TLJOISZ,X,O,O,X,O,X,X,X,O,X
TLJOIZS,O,O,O,X,X,X,X,O,O,O
TLJOSIZ,X,O,O,X,O,X,X,X,O,X
TLJOSZI,X,O,O,X,O,X,X,X,O,X
TLJOZIS,O,O,O,X,X,X,X,O,O,O
TLJOZSI,X,O,O,X,X,X,X,O,O,O
TLSIJZO,O,X,O,O,O,X,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,O,X,X,X,X,X
TLSIZOJ,O,X,X,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,O,O,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X
TLSJIZO,O,X,O,O,O,X,X,X,X,X
TLSJIOZ,O,X,O,X,O,X,X,X,X,X
TLSJZIO,O,X,O,O,O,X,X,X,X,X
TLSJZOI,O,X,X,O,O,X,X,X,X,X
TLSJOIZ,O,X,O,O,O,X,X,X,O,X
TLSJOZI,O,X,X,O,O,X,X,X,O,X
TLSZIJO,O,X,X,O,O,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,O,X,X,X,X
TLSZJIO,O,X,X,O,O,X,X,X,X,X
TLSZJOI,O,X,X,O,O,O,X,O,X,X
TLSZOIJ,O,X,X,O,X,O,X,O,X,X
TLSZOJI,O,X,X,O,X,O,X,O,X,X
TLSOIJZ,O,X,O,O,O,X,X,X,O,X
TLSOIZJ,O,X,X,O,O,O,X,O,X,X
TLSOJIZ,O,X,O,O,O,X,X,X,O,X
TLSOJZI,O,X,O,O,O,X,X,X,O,X
TLSOZIJ,O,X,X,O,O,O,X,O,X,X
TLSOZJI,O,X,X,O,O,O,X,O,X,X
TLZIJSO,O,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,O,X,X,X,X,O,X,X
TLZISJO,O,X,O,O,O,X,X,X,X,X
TLZISOJ,O,X,O,O,X,X,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X,O,X,X
TLZIOSJ,O,X,O,O,X,X,X,O,X,X
TLZJISO,X,X,O,X,O,X,X,X,X,X
TLZJIOS,X,X,O,X,X,X,X,O,X,X
TLZJSIO,X,X,O,X,O,X,X,X,X,X
TLZJSOI,X,X,O,X,O,X,X,O,X,X
TLZJOIS,X,X,O,X,X,X,X,O,O,X
TLZJOSI,X,X,O,X,X,X,X,O,O,X
TLZSIJO,X,X,O,X,O,X,X,X,X,X
TLZSIOJ,X,X,O,X,X,X,X,X,X,X
TLZSJIO,X,X,O,X,O,X,X,X,X,X
TLZSJOI,X,X,O,X,O,X,X,O,X,X
TLZSOIJ,X,X,O,X,X,X,X,O,X,X
TLZSOJI,X,X,O,X,X,X,X,O,X,X
TLZOIJS,O,O,O,X,X,X,X,O,O,X
TLZOISJ,O,X,O,O,X,X,X,O,X,X
TLZOJIS,X,X,O,X,X,X,X,O,O,X
TLZOJSI,X,X,O,X,X,X,X,O,O,X
TLZOSIJ,X,X,O,X,X,X,X,O,X,X
TLZOSJI,X,X,O,X,X,X,X,O,X,X
TLOIJSZ,X,O,O,X,O,X,X,X,O,X
TLOIJZS,O,O,O,X,O,X,X,O,O,O
TLOISJZ,O,X,O,O,O,X,X,X,O,X
TLOISZJ,O,X,X,O,O,O,X,O,X,X
TLOIZJS,O,O,O,X,O,X,X,O,O,X
TLOIZSJ,O,X,O,O,O,X,X,O,X,X
TLOJISZ,X,O,O,X,O,X,X,X,O,X
TLOJIZS,O,O,O,X,O,X,X,O,O,O
TLOJSIZ,X,O,O,X,O,X,X,X,O,X
TLOJSZI,X,O,O,X,O,X,X,X,O,X
TLOJZIS,O,O,O,X,O,X,X,O,O,O
TLOJZSI,X,O,O,X,O,X,X,O,O,O
TLOSIJZ,O,X,O,O,O,X,X,X,O,X
TLOSIZJ,O,X,X,O,O,O,X,O,X,X
TLOSJIZ,O,X,O,O,O,X,X,X,O,X
TLOSJZI,O,X,O,O,O,X,X,X,O,X
TLOSZIJ,O,X,X,O,O,O,X,O,X,X
TLOSZJI,O,X,X,O,O,O,X,O,X,X
TLOZIJS,O,O,O,X,O,X,X,O,O,X
TLOZISJ,O,X,O,O,O,X,X,O,X,X
TLOZJIS,X,X,O,X,O,X,X,O,O,X
TLOZJSI,X,X,O,X,O,X,X,O,O,X
TLOZSIJ,X,X,O,X,O,X,X,O,X,X
TLOZSJI,X,X,O,X,O,X,X,O,X,X
TJILSZO,X,O,O,X,O,X,X,X,X,X
TJILSOZ,X,O,O,X,X,X,X,X,X,X
TJILZSO,O,O,O,X,X,X,X,X,X,X
TJILZOS,O,O,X,X,X,X,X,X,X,X
TJILOSZ,X,O,O,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,O,O,X,O,X,X,X,X,X
TJISLOZ,O,O,O,X,O,X,X,X,X,X
TJISZLO,O,O,O,X,O,X,O,X,X,X
TJISZOL,O,O,O,X,O,X,O,X,X,X
TJISOLZ,O,O,O,X,O,X,X,X,X,X
TJISOZL,O,O,O,X,O,X,X,X,X,X
TJIZLSO,O,O,O,X,X,X,O,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X,O
TJIZSLO,O,O,O,X,O,X,O,X,X,X
TJIZSOL,O,O,O,X,O,X,O,X,X,X
TJIZOLS,X,O,X,X,X,X,X,X,X,O
TJIZOSL,X,O,O,X,X,X,O,X,X,O
TJIOLSZ,X,O,X,X,X,X,X,X,O,X
TJIOLZS,X,O,X,X,X,X,X,X,O,O
TJIOSLZ,X,O,O,X,X,X,X,X,O,X
TJIOSZL,X,O,O,X,O,X,X,X,X,O
TJIOZLS,X,O,X,X,X,X,X,X,O,O
TJIOZSL,X,O,X,X,X,X,X,X,X,O
TJLISZO,X,O,O,X,O,X,X,X,X,X
TJLISOZ,X,O,O,X,O,X,X,X,X,X
TJLIZSO,O,O,O,X,O,X,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X,X,X
TJLIOSZ,X,O,O,X,O,X,X,X,O,X
TJLIOZS,X,O,X,X,X,X,X,X,O,X
TJLSIZO,X,O,O,X,O,X,X,X,X,X
TJLSIOZ,X,O,O,X,O,X,X,X,X,X
TJLSZIO,X,O,O,X,O,X,X,X,X,X
TJLSZOI,X,O,O,X,O,X,X,X,X,X
TJLSOIZ,X,O,O,X,O,X,X,X,O,X
TJLSOZI,X,O,X,X,O,X,X,X,O,X
TJLZISO,O,O,O,X,O,X,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X,O,X,O
TJLZSIO,X,O,O,X,O,X,X,X,X,X
TJLZSOI,X,O,O,X,O,X,X,O,X,O
TJLZOIS,O,O,O,X,X,X,X,O,O,O
TJLZOSI,X,O,O,X,X,X,X,O,O,O
TJLOISZ,X,O,O,X,O,X,X,X,O,X
TJLOIZS,O,O,O,X,X,X,X,O,O,O
TJLOSIZ,X,O,O,X,O,X,X,X,O,X
TJLOSZI,X,O,O,X,O,X,X,X,O,X
TJLOZIS,O,O,O,X,X,X,X,O,O,O
TJLOZSI,X,O,O,X,X,X,X,O,O,O
TJSILZO,O,O,O,X,O,X,X,X,X,X
TJSILOZ,O,O,O,X,O,X,X,X,X,X
TJSIZLO,O,O,O,X,O,X,X,X,X,X
TJSIZOL,O,O,O,X,O,X,X,X,X,X
TJSIOLZ,O,O,O,X,O,X,X,X,X,X
TJSIOZL,O,O,O,X,O,X,X,X,X,X
TJSLIZO,O,O,O,X,O,X,X,X,X,X
TJSLIOZ,O,O,O,X,O,X,X,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,X,X
TJSLZOI,O,O,O,X,O,X,X,X,X,X
TJSLOIZ,O,O,O,X,O,X,X,X,X,X
TJSLOZI,O,O,X,X,O,X,X,X,X,X
TJSZILO,O,O,O,X,O,X,X,X,X,X
TJSZIOL,O,O,O,X,O,X,X,X,X,X
TJSZLIO,O,O,O,X,O,X,X,X,X,X
TJSZLOI,O,O,O,X,O,O,X,X,X,O
TJSZOIL,O,O,O,X,O,O,X,X,X,O
TJSZOLI,O,O,O,X,O,O,X,X,X,O
TJSOILZ,O,O,O,X,O,X,X,X,O,X
TJSOIZL,O,O,O,X,O,O,X,X,X,O
TJSOLIZ,O,O,O,X,O,X,X,X,O,X
TJSOLZI,O,O,X,X,O,X,X,X,O,X
TJSOZIL,O,O,X,X,O,O,X,X,X,O
TJSOZLI,O,O,X,X,O,O,X,X,X,O
TJZILSO,O,O,O,X,X,X,O,X,X,X
TJZILOS,O,O,O,X,X,X,X,X,X,O
TJZISLO,O,O,O,X,O,X,O,X,X,X
TJZISOL,O,O,O,X,O,X,O,X,X,X
TJZIOLS,X,O,X,X,X,X,X,X,X,O
TJZIOSL,X,O,O,X,X,X,O,X,X,O
TJZLISO,O,O,O,X,X,X,O,X,X,X
TJZLIOS,O,O,O,X,X,X,X,X,X,O
TJZLSIO,X,O,O,X,X,X,O,X,X,X
TJZLSOI,X,O,O,X,X,X,O,X,X,O
TJZLOIS,O,O,O,X,X,X,X,X,X,O
TJZLOSI,X,O,O,X,X,X,X,X,X,O
TJZSILO,O,O,O,X,O,X,O,X,X,X
TJZSIOL,O,O,O,X,O,X,O,X,X,X
TJZSLIO,O,O,O,X,O,X,O,X,X,X
TJZSLOI,O,O,O,X,O,X,O,X,X,O
TJZSOIL,O,O,O,X,O,X,O,X,X,O
TJZSOLI,O,O,O,X,O,X,O,X,X,O
TJZOILS,O,O,X,X,X,X,X,X,O,O
TJZOISL,O,O,O,X,X,X,O,X,X,O
TJZOLIS,O,O,O,X,X,X,X,X,O,O
TJZOLSI,X,O,O,X,X,X,X,X,O,O
TJZOSIL,O,O,O,X,X,X,O,X,X,O
TJZOSLI,O,O,O,X,X,X,O,X,X,O
TJOILSZ,X,O,O,X,O,X,X,X,O,X
TJOILZS,O,O,O,X,X,X,X,O,O,O
TJOISLZ,O,O,O,X,O,X,X,X,O,X
TJOISZL,O,O,O,X,O,O,X,X,X,O
TJOIZLS,O,O,X,X,X,X,X,X,O,O
TJOIZSL,O,O,O,X,O,X,X,X,X,O
TJOLISZ,X,O,O,X,O,X,X,X,O,X
TJOLIZS,O,O,O,X,O,X,X,O,O,O
TJOLSIZ,X,O,O,X,O,X,X,X,O,X
TJOLSZI,X,O,O,X,O,X,X,X,O,X
TJOLZIS,O,O,O,X,O,X,X,O,O,O
TJOLZSI,X,O,O,X,O,X,X,O,O,O
TJOSILZ,O,O,O,X,O,X,X,X,O,X
TJOSIZL,O,O,O,X,O,O,X,X,X,O
TJOSLIZ,O,O,O,X,O,X,X,X,O,X
TJOSLZI,O,O,O,X,O,X,X,X,O,X
TJOSZIL,O,O,O,X,O,O,X,X,X,O
TJOSZLI,O,O,O,X,O,O,X,X,X,O
TJOZILS,O,O,X,X,X,X,X,X,O,O
TJOZISL,O,O,O,X,O,X,X,X,X,O
TJOZLIS,O,O,O,X,X,X,X,X,O,O
TJOZLSI,X,O,O,X,X,X,X,X,O,O
TJOZSIL,O,O,O,X,O,X,X,X,X,O
TJOZSLI,O,O,O,X,O,X,X,X,X,O
TSILJZO,O,X,X,O,O,X,X,X,X,X
TSILJOZ,O,X,X,X,O,X,X,X,X,X
TSILZJO,O,X,X,O,O,X,X,X,X,X
TSILZOJ,O,X,X,O,X,X,X,X,X,X
TSILOJZ,O,X,X,O,O,X,X,X,X,X
TSILOZJ,O,X,X,O,X,X,X,X,X,X
TSIJLZO,O,X,X,O,O,X,X,X,X,X
TSIJLOZ,O,X,X,X,O,X,X,X,X,X
TSIJZLO,O,X,X,O,O,X,X,X,X,X
TSIJZOL,O,X,X,X,O,X,X,X,X,X
TSIJOLZ,O,X,X,X,O,X,X,X,X,X
TSIJOZL,O,X,X,X,O,X,X,X,X,X
TSIZLJO,O,X,X,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,O,X,O,X,X,X,X
TSIZJLO,O,X,X,O,O,X,X,X,X,X
TSIZJOL,X,X,X,X,O,X,X,X,X,X
TSIZOLJ,O,X,X,O,X,O,X,X,X,X
TSIZOJL,O,X,X,O,X,O,X,X,X,X
TSIOLJZ,O,X,X,O,O,X,X,X,X,X
TSIOLZJ,O,X,X,O,O,O,X,X,X,X
TSIOJLZ,O,X,X,O,O,X,X,X,X,X
TSIOJZL,O,X,X,O,O,O,X,X,X,X
TSIOZLJ,O,X,X,O,X,O,X,X,X,X
TSIOZJL,O,X,X,O,O,O,X,X,X,X
TSLIJZO,O,X,O,O,O,X,X,X,X,X
TSLIJOZ,O,X,O,X,O,X,X,X,X,X
TSLIZJO,O,X,X,O,O,X,X,X,X,X
TSLIZOJ,O,X,X,O,X,X,X,X,X,X
TSLIOJZ,O,X,X,O,O,X,X,X,X,X
TSLIOZJ,O,X,X,O,X,X,X,X,X,X
TSLJIZO,O,X,O,O,O,X,X,X,X,X
TSLJIOZ,O,X,O,X,O,X,X,X,X,X
TSLJZIO,O,X,O,O,O,X,X,X,X,X
TSLJZOI,O,X,X,O,O,X,X,X,X,X
TSLJOIZ,O,X,O,O,O,X,X,X,O,X
TSLJOZI,O,X,X,O,O,X,X,X,O,X
TSLZIJO,O,X,X,O,O,X,X,X,X,X
TSLZIOJ,O,X,X,O,X,O,X,X,X,X
TSLZJIO,O,X,X,O,O,X,X,X,X,X
TSLZJOI,O,X,X,O,O,O,X,O,X,X
TSLZOIJ,O,X,X,O,X,O,X,O,X,X
TSLZOJI,O,X,X,O,X,O,X,O,X,X
TSLOIJZ,O,X,O,O,O,X,X,X,O,X
TSLOIZJ,O,X,X,O,O,O,X,O,X,X
TSLOJIZ,O,X,O,O,O,X,X,X,O,X
TSLOJZI,O,X,O,O,O,X,X,X,O,X
TSLOZIJ,O,X,X,O,O,O,X,O,X,X
TSLOZJI,O,X,X,O,O,O,X,O,X,X
TSJILZO,O,X,O,O,O,X,X,X,X,X
TSJILOZ,O,X,O,X,O,X,X,X,X,X
TSJIZLO,O,X,O,O,O,X,X,X,X,X
TSJIZOL,O,X,O,X,O,X,X,X,X,X
TSJIOLZ,O,X,O,X,O,X,X,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X,X
TSJLIZO,O,X,O,O,O,X,X,X,X,X
TSJLIOZ,O,X,O,X,O,X,X,X,X,X
TSJLZIO,O,X,O,O,O,X,X,X,X,X
TSJLZOI,O,X,X,O,O,X,X,X,X,X
TSJLOIZ,O,X,O,O,O,X,X,X,X,X
TSJLOZI,O,X,X,O,O,X,X,X,X,X
TSJZILO,O,X,O,O,O,X,X,X,X,X
TSJZIOL,O,X,O,X,O,X,X,X,X,X
TSJZLIO,O,X,O,O,O,X,X,X,X,X
TSJZLOI,O,X,X,O,O,O,X,X,X,O
TSJZOIL,O,X,X,O,O,O,X,X,X,O
TSJZOLI,O,X,X,O,O,O,X,X,X,O
TSJOILZ,O,X,O,O,O,X,X,X,O,X
TSJOIZL,O,X,O,O,O,O,X,X,X,O
TSJOLIZ,O,X,O,O,O,X,X,X,O,X
TSJOLZI,O,X,X,O,O,X,X,X,O,X
TSJOZIL,O,X,X,O,O,O,X,X,X,O
TSJOZLI,O,X,X,O,O,O,X,X,X,O
TSZILJO,O,X,X,O,X,X,X,X,X,X
TSZILOJ,O,X,X,O,X,O,X,X,X,X
TSZIJLO,O,X,X,O,O,X,X,X,X,X
TSZIJOL,X,X,X,X,O,X,X,X,X,X
TSZIOLJ,O,X,X,O,X,O,X,X,X,X
TSZIOJL,O,X,X,O,X,O,X,X,X,X
TSZLIJO,O,X,X,O,O,X,X,X,X,X
TSZLIOJ,O,X,X,O,X,O,X,X,X,X
TSZLJIO,O,X,X,O,O,X,X,X,X,X
TSZLJOI,O,X,X,O,O,O,X,X,X,X
TSZLOIJ,O,X,X,O,X,O,X,X,X,X
TSZLOJI,O,X,X,O,X,O,X,X,X,X
TSZJILO,O,X,X,O,O,X,X,X,X,X
TSZJIOL,X,X,X,X,O,X,X,X,X,X
TSZJLIO,O,X,X,O,O,X,X,X,X,X
TSZJLOI,O,X,X,O,O,O,X,X,X,X
TSZJOIL,O,X,X,O,O,O,X,X,X,X
TSZJOLI,O,X,X,O,O,O,X,X,X,X
TSZOILJ,O,X,X,O,X,O,X,X,X,X
TSZOIJL,O,X,X,O,O,O,X,X,X,X
TSZOLIJ,O,X,X,O,O,O,X,X,X,X
TSZOLJI,O,X,X,O,O,O,X,X,X,X
TSZOJIL,O,X,X,O,O,O,X,X,X,X
TSZOJLI,O,X,X,O,O,O,X,X,X,X
TSOILJZ,O,X,X,O,O,X,X,X,O,X
TSOILZJ,O,X,X,O,O,O,X,O,X,X
TSOIJLZ,O,X,X,O,O,X,X,X,O,X
