sequence,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfB3?hBlnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBGeBRiBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFRdBcjB3fBG?iBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeO/IvhF8fBCdBxiBX?jBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhFGeBRiBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFzcBcjB3fBx?mBFsBusB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfB5nBl?mBfnBisB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Je2/IvhFzcBFjB3fBx?mBCoBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBfiBxdBF?jB0mB+sB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF1mBxiBTfBX?jBGnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF+hBxiBTfB/?nBFjBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfBxmBS?sBfsBlsB
TIOSLJZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,O,X,O,X,X,X,X
TIOSJZL,X,O,X,X,X,X,O,O,O,X,X,X,X
TIOSZLJ,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOSZJL,X,O,X,X,X,X,O,O,X,X,X,X,X
TIOZLJS,X,X,X,X,O,X,X,O,X,X,X,X,O
TIOZLSJ,X,X,X,X,X,X,O,O,X,X,X,X,O
TIOZJLS,X,X,X,X,O,X,X,O,X,X,X,X,O
TIOZJSL,X,X,X,X,X,X,O,O,O,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TLIJZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIJZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
TLIJOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
TLIJOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
TLISJZO,O,X,O,X,X,O,O,X,X,X,X,X,X
TLISJOZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TLISZJO,O,X,O,X,O,O,O,X,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLISOJZ,O,X,O,X,X,O,O,X,X,X,O,X,X
TLISOZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLIZJSO,O,X,X,X,O,X,X,X,X,X,O,X,X
TLIZJOS,O,X,X,X,O,X,X,X,X,X,O,X,X
TLIZSJO,X,X,X,X,O,X,O,X,X,X,O,X,X
TLIZSOJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIZOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TLIZOSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
TLIOJSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
TLIOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLIOSZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLIOZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJISZO,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TLJIZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
TLJIZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
TLJIOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
TLJSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TLJSZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TLJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,O,X,X,X,X,X,O,X,X,X
TLJZISO,O,X,X,O,O,X,X,X,X,O,O,O,X
TLJZIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
TLJZSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TLJZSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJZOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSIJZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSIJOZ,O,O,O,X,X,O,O,X,X,X,O,X,X
TLSIZJO,O,O,O,O,O,O,O,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TLSIOJZ,O,O,O,X,X,O,O,X,X,X,O,X,X
TLSIOZJ,O,O,O,X,X,X,O,X,X,X,O,X,X
TLSJIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TLSJIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TLSJZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TLSJZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TLSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TLSZIJO,O,O,O,O,O,O,O,X,X,X,O,X,X
TLSZIOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TLSZJIO,O,O,O,O,O,X,O,X,X,X,X,X,X
TLSZJOI,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,O,X,X,X,X,X,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
TLSOZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
TLZIJOS,O,X,X,X,O,X,X,X,X,X,O,O,X
TLZISJO,O,X,X,O,O,X,O,X,X,X,O,X,X
TLZISOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TLZIOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TLZIOSJ,O,X,X,X,X,X,O,O,X,X,O,X,X
TLZJISO,O,X,X,O,O,X,X,X,X,O,O,O,X
TLZJIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
TLZJSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TLZJSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TLZJOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZSIJO,O,X,O,O,O,O,O,X,X,X,O,X,X
TLZSIOJ,O,X,O,O,X,X,O,X,X,O,O,X,X
TLZSJIO,O,X,O,O,O,X,O,X,X,O,X,X,X
TLZSJOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TLZSOIJ,O,X,O,O,X,X,O,X,X,O,X,X,X
TLZSOJI,O,X,O,O,X,X,X,X,X,O,X,X,X
TLZOIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TLZOISJ,O,X,X,X,X,X,X,O,X,X,O,X,X
TLZOJIS,O,X,X,X,O,X,X,O,X,O,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLZOSIJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLZOSJI,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOIJSZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TLOIJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOISZJ,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOIZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,O,X,X,O,X,X
TLOJISZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOJSIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,O,X,X,X,X,X,X,O,X,X,X
TLOJZIS,O,X,X,X,X,X,X,O,X,O,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOSIJZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
TLOZISJ,O,X,X,X,X,X,X,O,X,X,O,X,X
TLOZJIS,O,X,X,X,O,X,X,O,X,O,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TLOZSIJ,O,X,O,X,X,X,X,X,X,O,X,X,X
TLOZSJI,O,X,O,X,X,X,X,X,X,O,X,X,X
TJILSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TJILZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
TJILZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
TJILOSZ,O,X,X,X,X,X,X,X,O,X,O,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
TJISLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,O,X,X,X,X,X,X
TJISZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X
TJISOZL,X,X,X,X,X,X,O,X,O,X,X,X,X
TJIZLSO,X,X,X,O,O,X,X,X,X,O,X,X,X
TJIZLOS,X,X,X,X,O,X,X,X,X,O,X,X,X
TJIZSLO,X,X,X,O,O,X,O,X,X,O,X,X,X
TJIZSOL,X,X,X,O,X,X,O,X,X,O,X,X,X
TJIZOLS,X,X,X,X,O,X,X,O,X,X,X,X,X
TJIZOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X
TJIOSZL,X,X,X,X,X,X,O,O,O,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,O,O,O,X,X,X,X
TJLISZO,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
TJLIZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
TJLIZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
TJLIOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
TJLSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
TJLSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLSZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLSOZI,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLZISO,O,X,X,O,O,X,X,X,X,O,O,O,X
TJLZIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
TJLZSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TJLZSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TJLZOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,X,X,X,O,X,X,X
TJLOZIS,O,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJSILZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TJSILOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TJSIZLO,O,X,O,O,X,O,O,X,X,X,X,X,X
TJSIZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,O,O,X,O,X,X,X,X
TJSIOZL,X,X,X,X,X,X,O,X,O,X,X,X,X
TJSLIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TJSLZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TJSLZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,O,O,O,X,X,X,X,X,O,X,X,X
TJSZILO,O,X,X,O,X,X,O,X,X,O,X,X,X
TJSZIOL,O,X,X,O,X,X,O,X,X,O,X,X,X
TJSZLIO,O,O,O,O,X,X,O,X,X,O,X,X,X
TJSZLOI,O,X,O,O,X,X,X,X,X,O,X,X,X
TJSZOIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TJSZOLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSOZIL,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSOZLI,X,O,X,O,X,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,O,O,X,X,X,X,O,O,O,X
TJZILOS,O,X,X,X,O,X,X,X,O,O,O,O,X
TJZISLO,X,X,X,O,O,X,O,X,X,O,X,X,X
TJZISOL,X,X,X,O,X,X,O,X,O,O,X,X,X
TJZIOLS,X,X,X,X,O,X,X,O,O,X,X,X,X
TJZIOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
TJZLISO,O,X,X,O,O,X,X,X,X,O,O,O,X
TJZLIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
TJZLSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
TJZLSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
TJZLOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZSILO,O,X,X,O,O,X,O,X,X,O,X,X,X
TJZSIOL,O,X,X,O,X,X,O,X,X,O,X,X,X
TJZSLIO,O,O,X,O,O,X,O,X,X,O,X,X,X
TJZSLOI,O,X,X,O,X,X,X,X,X,O,X,X,X
TJZSOIL,O,X,X,O,X,X,X,X,X,O,X,X,X
TJZSOLI,O,X,X,O,X,X,X,X,X,O,X,X,X
TJZOILS,X,X,X,X,O,X,X,O,X,X,X,X,X
TJZOISL,X,X,X,O,X,X,X,O,X,X,X,X,X
TJZOLIS,O,X,X,X,O,X,X,O,X,O,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,O,X,X,X
TJZOSIL,X,X,X,O,X,X,X,O,X,O,X,X,X
TJZOSLI,X,X,X,O,X,X,X,X,X,O,X,X,X
TJOILSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,O,X,X,X,X,X
TJOISLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,O,O,X,X,X,X
TJOIZLS,X,X,X,X,X,X,X,O,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,O,O,X,X,X,X
TJOLISZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,X,X,X,X,X,O,X,O,X,X,X
TJOLSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,O,X,X,X,X,X,X,O,X,O,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJOSILZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOSZIL,X,O,X,O,X,X,X,O,X,X,X,X,X
TJOSZLI,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X,X,O,X,X,X,X,X
TJOZISL,X,X,X,O,X,X,X,O,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X,X,O,X,O,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X,O,X,X,X
TJOZSIL,X,O,X,O,X,X,X,O,X,O,X,X,X
TJOZSLI,X,O,X,O,X,X,X,X,X,O,X,X,X
TSILJZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TSILJOZ,O,O,O,X,X,O,O,X,X,X,O,X,X
TSILZJO,O,O,O,O,O,O,O,X,X,X,X,X,X
TSILZOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
TSILOJZ,O,O,O,X,X,O,O,X,X,X,O,X,X
TSILOZJ,O,O,O,X,X,X,O,X,X,X,O,X,X
TSIJLZO,O,O,O,O,X,O,O,X,X,X,X,X,X
TSIJLOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
TSIJZLO,O,X,O,O,X,O,O,X,X,X,X,X,X
