sequence,v115@4gA8IeE8FeD8EeG8CeE8Jei6IvhFzbBxdBckBelB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBifB3kBFmB0q?BmpB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhFXbBKhBxdB1pBzq?BcqB,v115@4gA8IeE8FeD8EeG8CeE8Jem6IvhFzbBxdBKkBFmB0q?BfqB,v115@4gA8IeE8FeD8EeG8CeE8Je37IvhFxdB0fBVmBifBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeK/IvhFfgBxdBUhBlgBmp?BzqB,v115@4gA8IeE8FeD8EeG8CeE8JeO/IvhF8fBzbBxiBypB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Jey/IvhFzbB0fBxiB2pB3q?BFrB,v115@4gA8IeE8FeD8EeG8CeE8Je06IvhFzbBxdBKkBFlBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8Jez7IvhFxdBKkBUgBlfBXm?B2vB,v115@4gA8IeE8FeD8EeG8CeE8JeT6IvhFxdBlgBikBXmBUq?BmqB
TIOLZSJ,X,O,O,O,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,O,X,X,X,X,X
TIOJLZS,X,X,O,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,X,X,X,X,X,X
TIOJSZL,X,X,O,X,O,X,X,X,X,X,X
TIOJZLS,X,X,O,O,O,O,X,X,X,X,X
TIOJZSL,X,O,O,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,O,X,O,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,O,X,X,X,X,X,X
TIOSJZL,X,X,O,X,O,X,X,X,X,X,X
TIOSZLJ,X,O,O,O,X,X,X,X,X,X,X
TIOSZJL,X,O,O,X,O,X,X,X,X,X,X
TIOZLJS,X,X,O,O,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,O,X,X,X,X,X,X,X
TIOZJLS,X,X,O,O,O,O,X,X,X,X,X
TIOZJSL,X,O,O,X,O,X,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X,X,X,X,X
TIOZSJL,X,O,O,X,O,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,O,X
TLIJZSO,X,X,X,X,O,X,X,X,X,O,X
TLIJZOS,X,X,X,X,X,X,X,X,X,O,X
TLIJOSZ,X,X,O,X,X,X,X,X,X,X,O
TLIJOZS,X,X,O,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,O,X,O,X,X,O,X
TLISJOZ,X,X,X,X,X,X,O,X,X,O,O
TLISZJO,X,O,X,X,X,X,O,X,X,X,X
TLISZOJ,X,O,X,X,X,X,O,X,X,O,O
TLISOJZ,X,X,X,X,X,X,O,X,O,X,O
TLISOZJ,X,O,X,X,X,X,O,X,O,O,O
TLIZJSO,X,X,X,O,X,X,O,X,X,X,X
TLIZJOS,X,X,X,O,X,X,X,X,X,X,O
TLIZSJO,X,O,X,O,X,X,O,X,X,X,O
TLIZSOJ,X,O,X,O,X,X,O,X,X,X,O
TLIZOJS,X,X,X,O,X,X,X,X,X,X,O
TLIZOSJ,X,O,X,O,X,X,X,X,X,X,O
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,O
TLIOJZS,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,X,X,O
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,O
TLIOZJS,X,X,O,O,X,X,X,X,X,X,O
TLIOZSJ,X,O,O,O,X,X,X,X,X,X,O
TLJISZO,X,X,X,X,O,X,X,X,X,O,X
TLJISOZ,X,X,X,X,X,X,X,X,X,O,X
TLJIZSO,X,X,X,X,O,X,X,X,X,O,X
TLJIZOS,X,X,X,X,X,X,X,X,X,O,X
TLJIOSZ,X,X,O,X,X,X,X,X,X,X,O
TLJIOZS,X,X,O,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,O,X,X,X,X,O,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,O,X
TLJSZIO,X,X,X,X,O,X,X,X,X,O,X
TLJSZOI,X,X,X,X,O,X,X,X,X,O,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,O,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,X
TLJZISO,X,X,X,X,O,X,X,X,X,O,X
TLJZIOS,X,X,X,X,X,X,X,X,X,O,X
TLJZSIO,X,X,X,X,O,X,X,X,X,O,X
TLJZSOI,X,X,X,X,O,X,X,X,X,O,X
TLJZOIS,X,X,X,X,X,X,X,X,X,O,X
TLJZOSI,X,X,X,X,X,X,X,X,X,O,X
TLJOISZ,X,X,O,X,X,X,X,X,X,X,O
TLJOIZS,X,X,O,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,X,X,O
TLJOSZI,X,X,O,X,X,X,X,X,X,X,O
TLJOZIS,X,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,X,O,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,O,X,O,X,X,O,X
TLSIJOZ,X,X,X,X,X,X,O,X,X,O,O
TLSIZJO,X,O,X,X,X,X,O,X,X,X,X
TLSIZOJ,X,O,X,X,X,X,O,X,X,O,O
TLSIOJZ,X,X,X,X,X,X,O,X,O,X,O
TLSIOZJ,X,O,X,X,X,X,O,X,O,O,O
TLSJIZO,X,O,X,X,O,X,O,X,X,O,X
TLSJIOZ,X,X,X,X,X,X,O,X,X,O,O
TLSJZIO,X,O,X,X,O,X,O,X,X,O,X
TLSJZOI,X,O,X,X,O,X,O,X,X,O,X
TLSJOIZ,X,X,X,X,X,X,O,X,X,O,O
TLSJOZI,X,X,X,X,X,X,O,X,X,O,O
TLSZIJO,X,O,X,X,X,X,O,X,X,X,X
TLSZIOJ,X,O,X,X,X,X,O,X,X,O,O
TLSZJIO,X,O,X,X,X,X,O,X,X,X,X
TLSZJOI,X,O,X,X,X,X,O,X,X,X,X
TLSZOIJ,X,O,X,X,X,X,O,X,X,O,O
TLSZOJI,X,O,X,X,X,X,O,X,X,O,O
TLSOIJZ,X,X,X,X,X,X,O,X,O,X,O
TLSOIZJ,X,O,X,X,X,X,O,X,O,O,O
TLSOJIZ,X,X,X,X,X,X,O,X,O,X,O
TLSOJZI,X,X,X,X,X,X,O,X,O,X,O
TLSOZIJ,X,O,X,X,X,X,O,X,O,O,O
TLSOZJI,X,O,X,X,X,X,O,X,O,O,O
TLZIJSO,X,X,X,O,X,X,O,X,X,X,X
TLZIJOS,X,X,X,O,X,X,X,X,X,X,O
TLZISJO,X,O,X,O,X,X,O,X,X,X,O
TLZISOJ,X,O,X,O,X,X,O,X,X,X,O
TLZIOJS,X,X,X,O,X,X,X,X,X,X,O
TLZIOSJ,X,O,X,O,X,X,X,X,X,X,O
TLZJISO,X,X,X,O,X,X,O,X,X,X,X
TLZJIOS,X,X,X,O,X,X,X,X,X,X,O
TLZJSIO,X,X,X,O,X,X,O,X,X,X,X
TLZJSOI,X,X,X,O,X,X,O,X,X,X,X
TLZJOIS,X,X,X,O,X,X,X,X,X,X,O
TLZJOSI,X,X,X,O,X,X,X,X,X,X,O
TLZSIJO,X,O,X,O,X,X,O,X,X,X,O
TLZSIOJ,X,O,X,O,X,X,O,X,X,X,O
TLZSJIO,X,O,X,O,X,X,O,X,X,X,O
TLZSJOI,X,O,X,O,X,X,O,X,X,X,O
TLZSOIJ,X,O,X,O,X,X,O,X,X,X,O
TLZSOJI,X,O,X,O,X,X,O,X,X,X,O
TLZOIJS,X,X,X,O,X,X,X,X,X,X,O
TLZOISJ,X,O,X,O,X,X,X,X,X,X,O
TLZOJIS,X,X,X,O,X,X,X,X,X,X,O
TLZOJSI,X,X,X,O,X,X,X,X,X,X,O
TLZOSIJ,X,O,X,O,X,X,X,X,X,X,O
TLZOSJI,X,O,X,O,X,X,X,X,X,X,O
TLOIJSZ,X,X,O,X,X,X,X,X,X,X,O
TLOIJZS,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,X,X,O,X,X,X,X,X,X,X,O
TLOISZJ,X,X,O,X,X,X,X,X,X,X,O
TLOIZJS,X,X,O,O,X,X,X,X,X,X,O
TLOIZSJ,X,O,O,O,X,X,X,X,X,X,O
TLOJISZ,X,X,O,X,X,X,X,X,X,X,O
TLOJIZS,X,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X,X,X,O
TLOJSZI,X,X,O,X,X,X,X,X,X,X,O
TLOJZIS,X,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,X,X,X,O
TLOSIZJ,X,X,O,X,X,X,X,X,X,X,O
TLOSJIZ,X,X,O,X,X,X,X,X,X,X,O
TLOSJZI,X,X,O,X,X,X,X,X,X,X,O
TLOSZIJ,X,X,O,X,X,X,X,X,X,X,O
TLOSZJI,X,X,O,X,X,X,X,X,X,X,O
TLOZIJS,X,X,O,O,X,X,X,X,X,X,O
TLOZISJ,X,O,O,O,X,X,X,X,X,X,O
TLOZJIS,X,X,O,O,X,X,X,X,X,X,O
TLOZJSI,X,X,O,O,X,X,X,X,X,X,O
TLOZSIJ,X,O,O,O,X,X,X,X,X,X,O
TLOZSJI,X,O,O,O,X,X,X,X,X,X,O
TJILSZO,X,X,X,X,O,O,X,O,X,O,X
TJILSOZ,X,X,X,X,X,O,X,O,X,O,X
TJILZSO,X,X,X,X,O,O,X,X,X,O,X
TJILZOS,X,X,X,X,X,X,X,X,X,O,X
TJILOSZ,X,X,O,X,X,O,X,X,X,X,X
TJILOZS,X,X,O,X,X,O,X,X,X,X,X
TJISLZO,X,O,X,X,O,X,X,O,X,O,X
TJISLOZ,X,X,X,X,X,X,X,O,X,O,X
TJISZLO,O,X,X,X,O,X,X,O,X,X,X
TJISZOL,O,X,X,X,O,X,X,O,X,X,X
TJISOLZ,X,X,O,X,X,X,X,O,X,O,X
TJISOZL,X,X,O,X,O,X,X,O,X,X,X
TJIZLSO,O,X,X,O,O,O,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X,X,X
TJIZSLO,O,O,X,X,O,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,X,X,X,X,X
TJIZOLS,X,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,O,O,X,O,X,X,X,X,X,X
TJIOLSZ,X,X,O,X,O,O,X,X,X,X,X
TJIOLZS,X,X,O,X,O,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,O,X,X,X,X,X,X
TJIOSZL,X,X,O,X,O,X,X,X,X,X,X
TJIOZLS,X,X,O,O,O,O,X,X,X,X,X
TJIOZSL,X,O,O,X,O,X,X,X,X,X,X
TJLISZO,X,X,X,X,O,O,X,O,X,O,X
TJLISOZ,X,X,X,X,X,O,X,O,X,O,X
TJLIZSO,X,X,X,X,O,O,X,X,X,O,X
TJLIZOS,X,X,X,X,X,X,X,X,X,O,X
TJLIOSZ,X,X,O,X,X,O,X,X,X,X,X
TJLIOZS,X,X,O,X,X,O,X,X,X,X,X
TJLSIZO,X,X,X,X,O,O,X,O,X,O,X
TJLSIOZ,X,X,X,X,X,O,X,O,X,O,X
TJLSZIO,X,X,X,X,O,O,X,O,X,O,X
TJLSZOI,X,X,X,X,O,O,X,O,X,O,X
TJLSOIZ,X,X,X,X,X,O,X,O,X,O,X
TJLSOZI,X,X,X,X,X,O,X,O,X,O,X
TJLZISO,X,X,X,X,O,O,X,X,X,O,X
TJLZIOS,X,X,X,X,X,X,X,X,X,O,X
TJLZSIO,X,X,X,X,O,O,X,X,X,O,X
TJLZSOI,X,X,X,X,O,O,X,X,X,O,X
TJLZOIS,X,X,X,X,X,X,X,X,X,O,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,X
TJLOISZ,X,X,O,X,X,O,X,X,X,X,X
TJLOIZS,X,X,O,X,X,O,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,O,X,X,X,X,X
TJLOSZI,X,X,O,X,X,O,X,X,X,X,X
TJLOZIS,X,X,O,X,X,O,X,X,X,X,X
TJLOZSI,X,X,O,X,X,O,X,X,X,X,X
TJSILZO,X,O,X,X,O,X,X,O,X,O,X
TJSILOZ,X,X,X,X,X,X,X,O,X,O,X
TJSIZLO,O,X,X,X,O,X,X,O,X,X,X
TJSIZOL,O,X,X,X,O,X,X,O,X,X,X
TJSIOLZ,X,X,O,X,X,X,X,O,X,O,X
TJSIOZL,X,X,O,X,O,X,X,O,X,X,X
TJSLIZO,X,O,X,X,O,X,X,O,X,O,X
TJSLIOZ,X,X,X,X,X,X,X,O,X,O,X
TJSLZIO,X,O,X,X,O,X,X,O,X,O,X
TJSLZOI,X,O,X,X,O,X,X,O,X,O,X
TJSLOIZ,X,X,X,X,X,X,X,O,X,O,X
TJSLOZI,X,X,X,X,X,X,X,O,X,O,X
TJSZILO,O,X,X,X,O,X,X,O,X,X,X
TJSZIOL,O,X,X,X,O,X,X,O,X,X,X
TJSZLIO,O,X,X,X,O,X,X,O,X,X,X
TJSZLOI,O,X,X,X,O,X,X,O,X,X,X
TJSZOIL,O,X,X,X,O,X,X,O,X,X,X
TJSZOLI,O,X,X,X,O,X,X,O,X,X,X
TJSOILZ,X,X,O,X,X,X,X,O,X,O,X
TJSOIZL,X,X,O,X,O,X,X,O,X,X,X
TJSOLIZ,X,X,O,X,X,X,X,O,X,O,X
TJSOLZI,X,X,O,X,X,X,X,O,X,O,X
TJSOZIL,X,X,O,X,O,X,X,O,X,X,X
TJSOZLI,X,X,O,X,O,X,X,O,X,X,X
TJZILSO,O,X,X,O,O,O,X,X,X,X,X
TJZILOS,X,X,X,O,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,O,X,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,X,X,X,X
TJZIOLS,X,X,O,O,X,X,X,X,X,X,X
TJZIOSL,X,O,O,X,O,X,X,X,X,X,X
TJZLISO,O,X,X,O,O,O,X,X,X,X,X
TJZLIOS,X,X,X,O,X,X,X,X,X,X,X
TJZLSIO,O,X,X,O,O,O,X,X,X,X,X
TJZLSOI,O,X,X,O,O,O,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X,X,X,X,X,X
TJZLOSI,X,X,X,O,X,X,X,X,X,X,X
TJZSILO,O,O,X,X,O,X,X,X,X,X,X
TJZSIOL,O,O,X,X,O,X,X,X,X,X,X
TJZSLIO,O,O,X,X,O,X,X,X,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X,X,X,X
TJZSOIL,O,O,X,X,O,X,X,X,X,X,X
TJZSOLI,O,O,X,X,O,X,X,X,X,X,X
TJZOILS,X,X,O,O,X,X,X,X,X,X,X
TJZOISL,X,O,O,X,O,X,X,X,X,X,X
TJZOLIS,X,X,O,O,X,X,X,X,X,X,X
TJZOLSI,X,X,O,O,X,X,X,X,X,X,X
TJZOSIL,X,O,O,X,O,X,X,X,X,X,X
TJZOSLI,X,O,O,X,O,X,X,X,X,X,X
TJOILSZ,X,X,O,X,O,O,X,X,X,X,X
TJOILZS,X,X,O,X,O,O,X,X,X,X,X
TJOISLZ,X,X,O,X,O,X,X,X,X,X,X
TJOISZL,X,X,O,X,O,X,X,X,X,X,X
TJOIZLS,X,X,O,O,O,O,X,X,X,X,X
TJOIZSL,X,O,O,X,O,X,X,X,X,X,X
TJOLISZ,X,X,O,X,O,O,X,X,X,X,X
TJOLIZS,X,X,O,X,O,O,X,X,X,X,X
TJOLSIZ,X,X,O,X,O,O,X,X,X,X,X
TJOLSZI,X,X,O,X,O,O,X,X,X,X,X
TJOLZIS,X,X,O,X,O,O,X,X,X,X,X
TJOLZSI,X,X,O,X,O,O,X,X,X,X,X
TJOSILZ,X,X,O,X,O,X,X,X,X,X,X
TJOSIZL,X,X,O,X,O,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,O,X,X,X,X,X,X
TJOSLZI,X,X,O,X,O,X,X,X,X,X,X
TJOSZIL,X,X,O,X,O,X,X,X,X,X,X
TJOSZLI,X,X,O,X,O,X,X,X,X,X,X
TJOZILS,X,X,O,O,O,O,X,X,X,X,X
TJOZISL,X,O,O,X,O,X,X,X,X,X,X
TJOZLIS,X,X,O,O,O,O,X,X,X,X,X
TJOZLSI,X,X,O,O,O,O,X,X,X,X,X
TJOZSIL,X,O,O,X,O,X,X,X,X,X,X
TJOZSLI,X,O,O,X,O,X,X,X,X,X,X
TSILJZO,X,O,X,X,O,X,O,X,X,O,X
TSILJOZ,X,X,X,X,X,X,O,X,X,O,O
TSILZJO,X,O,X,X,X,X,O,X,X,X,X
TSILZOJ,X,O,X,X,X,X,O,X,X,O,O
TSILOJZ,X,X,X,X,X,X,O,X,O,X,O
TSILOZJ,X,O,X,X,X,X,O,X,O,O,O
TSIJLZO,X,O,X,X,O,X,X,O,X,O,X
TSIJLOZ,X,X,X,X,X,X,X,O,X,O,O
TSIJZLO,O,X,X,X,O,X,X,O,X,X,X
TSIJZOL,O,X,X,X,O,X,X,O,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,O,X,O,X
TSIJOZL,X,X,O,X,O,X,X,O,X,X,X
TSIZLJO,O,O,X,O,X,X,X,X,X,X,O
TSIZLOJ,X,O,X,O,X,X,X,X,X,X,O
TSIZJLO,O,O,X,X,O,X,X,X,X,X,O
TSIZJOL,O,O,X,X,O,X,X,X,X,X,X
TSIZOLJ,X,O,X,O,X,X,X,X,X,X,O
TSIZOJL,X,O,X,X,X,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,X,X,X,O,X,O
TSIOLZJ,X,O,O,X,X,X,X,X,O,O,O
TSIOJLZ,X,X,O,X,X,X,X,X,X,X,X
TSIOJZL,X,X,O,X,O,X,X,X,X,X,X
TSIOZLJ,X,O,O,O,X,X,X,X,X,X,X
TSIOZJL,X,O,O,X,X,X,X,X,X,X,X
TSLIJZO,X,O,X,X,O,X,O,X,X,O,X
TSLIJOZ,X,X,X,X,X,X,O,X,X,O,O
TSLIZJO,X,O,X,X,X,X,O,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,O,X,X,O,O
TSLIOJZ,X,X,X,X,X,X,O,X,O,X,O
TSLIOZJ,X,O,X,X,X,X,O,X,O,O,O
TSLJIZO,X,O,X,X,O,X,O,X,X,O,X
TSLJIOZ,X,X,X,X,X,X,O,X,X,O,O
TSLJZIO,X,O,X,X,O,X,O,X,X,O,X
TSLJZOI,X,O,X,X,O,X,O,X,X,O,X
TSLJOIZ,X,X,X,X,X,X,O,X,X,O,O
TSLJOZI,X,X,X,X,X,X,O,X,X,O,O
TSLZIJO,X,O,X,X,X,X,O,X,X,X,X
TSLZIOJ,X,O,X,X,X,X,O,X,X,O,O
TSLZJIO,X,O,X,X,X,X,O,X,X,X,X
TSLZJOI,X,O,X,X,X,X,O,X,X,X,X
TSLZOIJ,X,O,X,X,X,X,O,X,X,O,O
TSLZOJI,X,O,X,X,X,X,O,X,X,O,O
TSLOIJZ,X,X,X,X,X,X,O,X,O,X,O
TSLOIZJ,X,O,X,X,X,X,O,X,O,O,O
TSLOJIZ,X,X,X,X,X,X,O,X,O,X,O
TSLOJZI,X,X,X,X,X,X,O,X,O,X,O
TSLOZIJ,X,O,X,X,X,X,O,X,O,O,O
TSLOZJI,X,O,X,X,X,X,O,X,O,O,O
TSJILZO,X,O,X,X,O,X,X,O,X,O,X
TSJILOZ,X,X,X,X,X,X,X,O,X,O,O
TSJIZLO,O,X,X,X,O,X,X,O,X,X,X
TSJIZOL,O,X,X,X,O,X,X,O,X,X,X
TSJIOLZ,X,X,O,X,X,X,X,O,X,O,X
TSJIOZL,X,X,O,X,O,X,X,O,X,X,X
TSJLIZO,X,O,X,X,O,X,X,O,X,O,X
TSJLIOZ,X,X,X,X,X,X,X,O,X,O,O
TSJLZIO,X,O,X,X,O,X,X,O,X,O,X
TSJLZOI,X,O,X,X,O,X,X,O,X,O,X
TSJLOIZ,X,X,X,X,X,X,X,O,X,O,O
TSJLOZI,X,X,X,X,X,X,X,O,X,O,O
TSJZILO,O,X,X,X,O,X,X,O,X,X,X
TSJZIOL,O,X,X,X,O,X,X,O,X,X,X
TSJZLIO,O,X,X,X,O,X,X,O,X,X,X
TSJZLOI,O,X,X,X,O,X,X,O,X,X,X
TSJZOIL,O,X,X,X,O,X,X,O,X,X,X
TSJZOLI,O,X,X,X,O,X,X,O,X,X,X
TSJOILZ,X,X,O,X,X,X,X,O,X,O,X
TSJOIZL,X,X,O,X,O,X,X,O,X,X,X
