sequence,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFxbBXdB?ylBFnBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhF5gBOhB?XdBKqBFnB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBOlB?VmBUiB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeX9IvhFRgBUgB?6rBOsBFmBTqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFxcBUiB?OqBXmBzrBlqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBKmB?OqBFnB5lB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Jez6IvhFXdBylB?FnBxqB+qB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeU8IvhFFdBGgB?alBxmB3qBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeR7IvhFShBUgB?/rBFnBTqBOsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhFXdBylB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeWAJvhF0cBylB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhFXdBmgB?FnBxqBTqB0rB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JefBJvhFxcBalB?WrBFnBzrBUqB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeF9IvhFRgBWnB?3gB8qBaqBzrB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeC7IvhF0cBmgB?FnBxqBTqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8Je08IvhFzgBFnB?xqBaqBGqBXsB,v115@zgA8GeC8FeE8FeD8EeE8BeA8BeC8JeT8IvhFUgBVnB?2rB5lBaqBXsB
TIJLOSZ,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TIJSLZO,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TIJSZOL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TIJSOLZ,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TIJZSLO,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIJZSOL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TIJZOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TIJOLSZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X
TIJOSLZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJOZLS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O
TISLJZO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TISLJOZ,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TISLZJO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISLZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TISLOZJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TISJLZO,X,O,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TISJLOZ,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TISJZLO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TISJOZL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TISZLJO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TISZOJL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TISOLJZ,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X
TISOLZJ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TISOJLZ,O,X,O,O,X,O,O,X,X,O,X,O,X,X,O,X,X
TISOJZL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TISOZLJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TISOZJL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZLJSO,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIZLSJO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TIZLOSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIZJLSO,X,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIZJLOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TIZJSLO,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIZJSOL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TIZJOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TIZJOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TIZSLJO,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZSOJL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZOLJS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIZOJLS,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
TIZOSLJ,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOLJSZ,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TIOLJZS,O,X,O,X,O,O,O,O,X,X,O,O,X,X,O,O,X
TIOLSJZ,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
TIOLSZJ,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TIOLZJS,O,X,O,X,O,X,O,O,X,X,O,O,X,X,O,O,X
TIOLZSJ,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TIOJLSZ,O,X,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X
TIOJLZS,O,X,O,X,O,O,X,O,X,X,O,O,X,O,O,O,X
TIOJSLZ,O,X,O,O,X,O,O,O,X,O,X,O,X,X,O,X,X
TIOJSZL,O,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X
TIOJZLS,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TIOJZSL,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,O
TIOSLJZ,O,O,O,X,O,O,O,O,X,O,X,O,X,X,O,X,X
TIOSLZJ,O,O,O,X,O,X,O,O,X,X,X,O,X,X,X,O,X
TIOSJLZ,O,X,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X
TIOSJZL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOSZLJ,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X
TIOSZJL,O,X,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOZLJS,X,X,O,X,O,X,X,O,X,X,O,O,X,X,O,O,X
TIOZLSJ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X
TIOZJLS,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIOZJSL,X,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X
TIOZSLJ,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,O,X
TIOZSJL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,O,X,X
TLIJSZO,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X
TLIJZSO,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TLISJZO,X,O,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X
TLISJOZ,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLISZJO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TLISOZJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X
TLIZJSO,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLIZJOS,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIZSJO,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X
TLIZOSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLIOJSZ,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TLIOJZS,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,O,X
TLIOSJZ,X,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X
TLIOSZJ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TLIOZJS,X,O,O,X,O,X,O,X,X,X,O,O,X,X,O,O,X
TLIOZSJ,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TLJISZO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLJIZOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJSZIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJSOIZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJSOZI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TLJZIOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJZSIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLJZOIS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLJZOSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOSZI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJOZIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLJOZSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TLSIJOZ,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLSJIZO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLSJOIZ,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSJOZI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZISJO,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TLZIOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZJISO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZJSIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLZJOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZJOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X
TLOJSIZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJSZI,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,O,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O
TLOJZSI,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZIJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X
TJILSOZ,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TJILZSO,X,X,X,X,X,O,O,O,X,O,O,X,X,O,X,X,X
TJILZOS,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TJILOSZ,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,X
TJISLZO,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X,X,X
TJISLOZ,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X
TJISZLO,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X
TJISZOL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TJISOLZ,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X
TJISOZL,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TJIZLOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O
TJIZSLO,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TJIZSOL,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O
TJIZOLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O
TJIZOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
TJIOLSZ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X
TJIOSLZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJIOZLS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O
TJIOZSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O
TJLISZO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLIZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJLIZOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLSZIO,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLSOZI,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJLZISO,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
TJLZIOS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TJLZSIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TJLZOIS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TJLZOSI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOISZ,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
