sequence,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFzbBfiBxdBGjBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcB8hBCeBmlBxs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcBxdBzhBSoBml?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFRcBGeBfmB0mBln?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhFFcBxdBzhBmlBft?B6tB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cBTgBliBimBct?BGtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFUcBFdBfmBGoBRs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFfiBigBGjB0iBFm?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cB+jBTgBliBim?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFxcB3gBcmBTnB6t?BOtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhF1hBziBimB5oB3l?BmsB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcB+jBigB3iBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcBigB3iBFmBct?BGtB
TILOSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJLSZO,X,O,X,O,X,X,O,O,X,X,X,O,X
TIJLSOZ,X,X,X,O,X,X,O,O,X,X,X,O,X
TIJLZSO,X,O,X,O,X,X,O,O,X,X,X,O,O
TIJLZOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJLOSZ,X,X,X,O,X,X,O,O,X,X,X,O,X
TIJLOZS,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJSLZO,X,O,X,O,X,X,O,O,X,X,X,O,X
TIJSLOZ,X,X,X,O,X,X,O,O,X,X,X,O,X
TIJSZLO,X,O,X,O,X,X,O,X,X,X,X,O,X
TIJSZOL,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,O,X,X,X,X,O,X
TIJSOZL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZLSO,X,O,X,O,X,X,O,O,X,X,X,O,O
TIJZLOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJZSLO,X,O,X,X,X,X,O,X,X,X,X,O,O
TIJZSOL,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,O,O,O,X,X,O,X
TIJOLZS,X,O,X,X,X,X,X,X,O,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJOSZL,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TISLJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TISLZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TISLZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
TISLOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TISJLOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TISJZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZLJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TISZLOJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TISZJLO,O,O,X,O,X,X,O,X,X,X,X,X,O
TISZJOL,O,O,X,O,X,X,O,X,X,O,X,X,X
TISZOLJ,O,X,X,O,X,X,O,X,X,O,X,X,O
TISZOJL,O,X,X,O,X,X,O,X,X,O,X,X,X
TISOLJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
TISOJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
TISOZJL,O,X,X,X,X,X,O,X,X,O,X,X,X
TIZLJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
TIZLSOJ,O,X,X,X,X,X,O,X,X,X,X,X,O
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZJLSO,O,O,X,O,X,X,O,X,X,X,X,X,O
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,O,X,X,X,X,X,O
TIZJSOL,O,O,X,X,X,X,O,X,X,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,O,X,X,X,X,X,O
TIZSLOJ,O,X,X,X,X,X,O,X,X,X,X,X,O
TIZSJLO,O,O,X,X,X,X,O,X,X,X,X,X,O
TIZSJOL,O,O,X,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,O,X,X,X,X,X,O
TIZSOJL,O,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TIZOSJL,O,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,O,O,X,X,X,X,X,X
TIOLZJS,O,O,O,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,O
TIOJLSZ,X,X,O,O,X,X,O,X,O,X,X,X,X
TIOJLZS,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,O,X,X,O,X,X,X
TIOSZJL,O,X,X,X,X,X,O,X,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TIOZSJL,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,O,X,X,O,O,X,X,X,X,X
TLIJSOZ,X,X,O,O,X,X,O,O,X,X,X,X,X
TLIJZSO,X,O,O,O,X,X,O,O,X,X,X,X,O
TLIJZOS,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIJOSZ,X,X,O,O,X,X,O,O,X,X,X,X,X
TLIJOZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TLISJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TLISJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TLISZOJ,O,X,X,O,X,X,O,X,X,X,O,X,O
TLISOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TLIZJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
TLIZJOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TLIZSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
TLIZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,O
TLIZOJS,O,O,O,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
TLIOJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
TLIOJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TLIOSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TLIOZJS,O,O,O,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
TLJISZO,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJISOZ,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJIZSO,X,X,O,O,X,X,O,O,X,X,X,X,O
TLJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJIOSZ,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJIOZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TLJSIZO,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJSIOZ,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJSZIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,O,O,X,X,X,X,X
TLJSOIZ,O,X,O,O,X,X,X,O,X,X,X,O,X
TLJSOZI,O,X,O,O,X,X,O,O,X,X,X,O,X
TLJZISO,O,X,O,O,X,X,O,O,X,X,X,X,O
TLJZIOS,O,X,X,X,X,X,X,X,X,X,O,X,X
TLJZSIO,O,X,O,O,X,X,O,O,X,X,X,X,O
TLJZSOI,O,X,X,O,X,X,O,O,X,X,X,X,O
TLJZOIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJZOSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJOIZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TLJOSIZ,O,X,O,O,X,X,X,O,X,X,X,X,X
TLJOSZI,O,X,O,O,X,X,O,O,X,X,X,X,X
TLJOZIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TLJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TLSIZJO,O,X,X,O,X,X,O,X,X,X,X,X,O
TLSIZOJ,O,X,X,O,X,X,O,X,X,X,O,X,O
TLSIOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X
TLSJIZO,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSJZOI,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X,O,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,O,X,X,X,X,X,O
TLSZIOJ,O,X,X,O,X,O,O,X,X,O,O,X,O
TLSZJIO,O,X,X,O,X,X,O,X,X,X,X,X,O
TLSZJOI,O,X,X,O,X,O,X,X,X,O,X,X,O
TLSZOIJ,O,X,X,O,X,O,O,X,X,O,O,X,O
TLSZOJI,O,X,X,O,X,O,X,X,X,O,X,X,O
TLSOIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,O,X,X,X,X,O,X,X
TLSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TLSOZJI,O,X,X,O,X,O,X,X,X,O,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X,X,X,X,O
TLZIJOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TLZISJO,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZISOJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLZIOJS,O,O,O,X,X,O,X,X,X,X,O,X,X
TLZIOSJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLZJISO,O,O,X,O,X,X,X,X,X,X,X,X,O
TLZJIOS,O,O,X,X,X,X,X,X,X,X,O,X,X
TLZJSIO,O,O,X,O,X,X,X,X,X,X,X,X,O
TLZJSOI,O,X,X,O,X,O,X,X,X,X,X,X,O
TLZJOIS,O,X,X,X,X,O,X,X,X,X,O,X,X
TLZJOSI,O,X,X,X,X,O,X,X,X,X,X,X,X
TLZSIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSIOJ,O,X,X,O,X,O,X,X,X,X,O,X,O
TLZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZSJOI,O,X,X,O,X,O,X,X,X,X,X,X,O
TLZSOIJ,O,X,X,O,X,O,X,X,X,X,O,X,O
TLZSOJI,O,X,X,O,X,O,X,X,X,X,X,X,O
TLZOIJS,O,X,O,X,X,O,X,X,X,X,O,X,X
TLZOISJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLZOJIS,O,X,O,X,X,O,X,X,X,X,O,X,X
TLZOJSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLZOSJI,O,X,X,X,X,O,X,X,X,X,X,X,O
TLOIJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,O,X,X,X,X,O,X,X
TLOIZJS,O,X,O,X,X,O,X,X,X,X,O,X,X
TLOIZSJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLOJISZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,O,X,X,X,X,X,X,X,O,X,X
TLOJSIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJSZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X,O,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,O,X,X,X,X,O,X,X
TLOSJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,O,X,X,X,O,O,X,X
TLOSZJI,O,X,X,O,X,O,X,X,X,O,X,X,X
TLOZIJS,O,X,O,X,X,O,X,X,X,X,O,X,X
TLOZISJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLOZJIS,O,X,O,X,X,O,X,X,X,X,O,X,X
TLOZJSI,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,X,O,X,X,X,X,O,X,O
TLOZSJI,O,X,X,X,X,O,X,X,X,X,X,X,O
TJILSZO,O,O,O,O,X,X,O,O,X,X,X,O,X
TJILSOZ,O,X,O,O,X,X,O,O,X,X,X,O,X
TJILZSO,X,O,O,O,X,X,O,O,X,X,X,O,O
TJILZOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TJILOSZ,O,X,O,O,X,X,O,O,X,X,X,O,X
TJILOZS,X,O,O,X,X,X,X,X,X,X,X,O,X
TJISLZO,O,O,O,O,O,X,O,O,X,X,X,O,X
TJISLOZ,O,X,O,O,O,X,O,O,X,X,X,O,X
TJISZLO,O,O,X,O,O,X,O,X,X,X,X,O,X
TJISZOL,O,O,X,O,O,X,O,X,X,X,X,X,X
TJISOLZ,O,X,O,O,X,X,O,X,O,X,X,O,X
TJISOZL,O,X,O,X,O,X,O,X,X,X,X,X,X
TJIZLSO,X,O,X,O,X,X,O,O,X,X,X,O,O
TJIZLOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TJIZSLO,X,O,X,X,O,X,O,X,X,X,X,O,O
TJIZSOL,X,O,X,X,O,X,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,O,X,X,O,O,O,X,X,O,X
TJIOLZS,X,O,O,X,O,X,X,X,O,X,X,O,X
TJIOSLZ,O,X,O,X,O,X,O,X,O,X,X,O,X
TJIOSZL,O,X,O,X,O,X,O,X,X,X,X,X,X
TJIOZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,O,O,X,X,X,O,X
TJLISOZ,O,X,O,O,X,X,O,O,O,X,X,O,X
TJLIZSO,X,O,O,O,X,X,O,O,X,X,X,O,O
TJLIZOS,X,O,X,X,X,X,X,X,X,X,X,O,X
TJLIOSZ,O,X,O,O,X,X,O,O,O,X,X,O,X
TJLIOZS,X,O,O,X,X,X,X,X,O,X,X,O,X
TJLSIZO,O,X,O,O,O,X,O,O,X,X,X,O,X
TJLSIOZ,O,X,O,O,O,X,O,O,O,X,X,O,X
TJLSZIO,O,O,O,O,O,X,O,O,X,X,X,O,X
TJLSZOI,O,X,X,O,O,X,O,O,O,X,X,O,X
TJLSOIZ,O,X,O,O,O,X,X,O,O,X,X,O,X
TJLSOZI,O,X,O,O,O,X,O,O,O,X,X,O,X
TJLZISO,O,O,O,O,X,X,O,O,X,X,X,O,O
TJLZIOS,O,O,X,X,X,X,X,X,X,X,X,O,X
TJLZSIO,O,O,O,O,O,X,O,O,X,X,X,O,O
TJLZSOI,O,X,X,O,O,X,O,O,O,X,X,O,O
TJLZOIS,O,X,O,X,O,X,X,X,O,X,X,O,X
TJLZOSI,O,X,O,X,O,X,X,X,O,X,X,O,X
TJLOISZ,O,X,O,O,X,X,O,O,O,X,X,O,X
TJLOIZS,X,X,O,X,O,X,X,X,O,X,X,O,X
TJLOSIZ,O,X,O,O,O,X,X,O,O,X,X,O,X
TJLOSZI,O,X,O,O,O,X,O,O,O,X,X,O,X
TJLOZIS,O,X,O,X,O,X,X,X,O,X,X,O,X
TJLOZSI,O,X,O,X,O,X,X,X,O,X,X,O,X
TJSILZO,O,O,O,O,O,X,O,O,X,X,X,O,X
TJSILOZ,O,X,O,O,O,X,O,O,X,X,X,O,X
TJSIZLO,O,O,X,O,O,X,O,X,X,X,X,O,X
TJSIZOL,O,O,X,O,O,X,O,X,X,X,X,X,X
TJSIOLZ,O,X,O,O,X,X,O,X,O,X,X,O,X
TJSIOZL,O,X,O,X,O,X,O,X,X,X,X,X,X
TJSLIZO,O,X,O,O,O,X,O,O,X,X,X,O,X
TJSLIOZ,O,X,O,O,O,X,O,O,X,X,X,O,X
TJSLZIO,O,O,O,O,O,X,O,O,X,X,X,O,X
TJSLZOI,O,X,X,O,O,X,O,O,X,X,X,O,X
TJSLOIZ,O,X,O,O,O,X,X,O,O,X,X,O,X
TJSLOZI,O,X,O,O,O,X,O,O,O,X,X,O,X
TJSZILO,O,O,X,O,O,X,O,X,X,X,X,O,X
TJSZIOL,O,O,X,O,O,X,X,X,X,O,X,X,X
TJSZLIO,O,O,O,O,O,X,O,O,X,X,X,O,X
TJSZLOI,O,X,X,O,O,X,O,O,X,O,X,O,X
TJSZOIL,O,O,O,O,O,X,X,X,X,O,X,X,X
TJSZOLI,O,X,O,O,O,X,O,X,O,O,X,O,X
TJSOILZ,O,X,O,O,O,X,X,X,O,X,X,O,X
TJSOIZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,O,O,X,X,O,O,X,X,O,X
TJSOLZI,O,X,O,O,O,X,O,O,O,X,X,O,X
TJSOZIL,O,O,O,O,O,X,X,X,X,O,X,X,X
TJSOZLI,O,X,O,O,O,X,O,X,O,O,X,O,X
TJZILSO,O,O,X,O,X,X,O,O,X,X,X,O,O
TJZILOS,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZISLO,O,O,X,X,O,X,O,X,X,X,X,O,O
TJZISOL,O,O,X,X,O,X,O,X,X,X,X,X,X
TJZIOLS,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,X,X,O,O,X,X,X,O,O
TJZLIOS,O,O,X,X,X,X,X,X,X,X,X,O,X
TJZLSIO,O,O,O,O,O,X,O,O,X,X,X,O,O
TJZLSOI,O,X,X,O,O,X,O,O,X,X,X,O,O
TJZLOIS,O,X,O,X,O,X,X,X,X,X,X,O,X
TJZLOSI,O,X,O,X,O,X,X,X,X,X,X,O,X
TJZSILO,O,O,X,O,O,X,O,X,X,X,X,O,O
TJZSIOL,O,O,X,O,O,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,X,O,O,X,X,X,O,O
TJZSLOI,O,X,X,O,O,X,O,O,X,X,X,O,O
TJZSOIL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJZSOLI,O,X,O,O,O,X,O,X,O,X,X,O,O
TJZOILS,O,O,X,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZOLIS,O,X,O,X,O,X,X,X,O,X,X,O,X
TJZOLSI,O,X,O,X,O,X,X,X,O,X,X,O,X
TJZOSIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZOSLI,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOILSZ,O,X,O,O,X,X,O,O,O,X,X,O,X
TJOILZS,X,O,O,X,O,X,X,X,O,X,X,O,X
TJOISLZ,O,X,O,X,O,X,O,X,O,X,X,O,X
TJOISZL,O,X,O,X,O,X,O,X,X,X,X,X,X
TJOIZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
TJOIZSL,X,O,O,X,O,X,X,X,X,X,X,X,X
TJOLISZ,O,X,O,O,X,X,O,O,O,X,X,O,X
TJOLIZS,X,X,O,X,O,X,X,X,O,X,X,O,X
TJOLSIZ,O,X,O,O,O,X,X,O,O,X,X,O,X
TJOLSZI,O,X,O,O,O,X,O,O,O,X,X,O,X
TJOLZIS,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOLZSI,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOSILZ,O,X,O,O,O,X,X,X,O,X,X,O,X
TJOSIZL,O,X,O,X,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,O,O,O,X,X,O,O,X,X,O,X
TJOSLZI,O,X,O,O,O,X,O,O,O,X,X,O,X
TJOSZIL,O,O,O,O,O,X,X,X,X,O,X,X,X
TJOSZLI,O,X,O,O,O,X,O,X,O,O,X,O,X
TJOZILS,O,O,X,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJOZLIS,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOZLSI,O,X,O,X,O,X,X,X,O,X,X,O,X
TJOZSIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJOZSLI,O,X,O,X,O,X,X,X,O,X,X,O,X
TSILJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TSILJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
TSILZOJ,O,X,X,O,X,X,O,X,X,X,X,X,O
TSILOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSILOZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSIJLZO,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSIJZLO,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIJZOL,X,X,X,O,X,X,O,X,X,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,O,X,X,X,X,X,X
