sequence,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB0hBmiBSs?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBGhBiiBUmB3n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBfmB6mBOnB8n?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFzfBChBXiB8nB2r?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpB3mBUn?BFqB,v115@GhA8IeA8HeB8AeA8AeG8Jex/IvhFylBziBOpBUnB3m?BFqB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBGhBKnBziBfq?BVwB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFUgBFhBmiBfqBSw?BTsB,v115@GhA8IeA8HeB8AeA8AeG8JeZEJvhFFgB6mBOnB8nBfq?BzqB
TISLJZO,O,X,X,X,X,X,O,X,X
TISLJOZ,O,X,X,X,X,X,O,X,X
TISLZJO,O,O,O,X,X,X,O,X,X
TISLZOJ,O,O,O,X,X,X,O,X,X
TISLOJZ,O,X,X,X,X,X,O,X,X
TISLOZJ,O,O,O,X,X,X,O,X,X
TISJLZO,O,X,X,X,X,X,O,X,X
TISJLOZ,O,X,X,X,X,X,O,X,X
TISJZLO,X,X,X,X,X,X,O,X,X
TISJZOL,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,O,X,X
TISZLOJ,O,O,O,X,X,X,O,X,X
TISZJLO,X,O,O,X,X,X,O,X,X
TISZJOL,O,O,O,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,O,X,X
TISZOJL,O,O,O,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,O,X,X
TISOLZJ,O,O,O,X,X,X,O,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,O,X,X
TISOZJL,O,O,O,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X
TIZLJOS,X,X,X,O,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,X
TIZLOJS,X,X,X,O,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,X,X
TIZSLJO,X,O,O,X,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X,X,X
TIZSJOL,X,O,O,O,X,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X,X,X
TIZSOJL,X,O,O,O,X,X,X,X,X
TIZOLJS,X,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,X
TIZOJLS,X,X,X,O,X,X,X,X,X
TIZOJSL,X,O,O,O,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,X,X
TIZOSJL,X,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,O,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,O,X,X
TIOLSZJ,O,X,X,X,X,X,O,X,X
TIOLZJS,X,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,O,X,X
TIOSLZJ,O,O,O,X,X,X,O,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,O,X,X
TIOSZJL,O,O,O,X,X,X,X,X,X
TIOZLJS,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X
TIOZJLS,X,X,X,O,X,X,X,X,X
TIOZJSL,X,O,O,O,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,X,X,X,X
TIOZSJL,X,O,O,O,X,X,X,X,X
TLIJSZO,O,X,X,X,X,X,O,X,X
TLIJSOZ,O,X,X,X,X,X,O,X,X
TLIJZSO,X,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,O,X,X
TLIJOZS,X,X,X,O,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,O,X,X
TLISJOZ,O,X,X,X,X,X,O,X,X
TLISZJO,O,X,X,X,X,X,O,X,X
TLISZOJ,O,X,X,X,X,X,O,X,X
TLISOJZ,O,X,X,X,X,X,O,X,X
TLISOZJ,O,X,X,X,X,X,O,X,X
TLIZJSO,X,X,X,O,X,X,X,X,X
TLIZJOS,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,X
TLIZOJS,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,O,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,O,X,X
TLIOSZJ,O,X,X,X,X,X,O,X,X
TLIOZJS,X,X,X,O,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,O,X,X
TLJISOZ,O,X,X,X,O,X,O,X,X
TLJIZSO,X,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,O,X,O,X,X,X
TLJIOSZ,O,X,X,X,O,X,O,X,X
TLJIOZS,X,X,X,O,X,O,X,X,X
TLJSIZO,O,X,X,X,X,X,O,X,X
TLJSIOZ,O,X,X,X,O,X,O,X,X
TLJSZIO,O,X,X,X,X,X,O,X,X
TLJSZOI,O,X,X,X,X,X,O,X,X
TLJSOIZ,O,X,X,X,O,X,O,X,X
TLJSOZI,O,X,X,X,O,X,O,X,X
TLJZISO,X,X,X,O,X,X,X,X,X
TLJZIOS,X,X,X,O,X,O,X,X,X
TLJZSIO,X,X,X,O,X,X,X,X,X
TLJZSOI,X,X,X,O,X,X,X,X,X
TLJZOIS,X,X,X,O,X,O,X,X,X
TLJZOSI,X,X,X,O,X,O,X,X,X
TLJOISZ,O,X,X,X,O,X,O,X,X
TLJOIZS,X,X,X,O,X,O,X,X,X
TLJOSIZ,O,X,X,X,O,X,O,X,X
TLJOSZI,O,X,X,X,O,X,O,X,X
TLJOZIS,X,X,X,O,X,O,X,X,X
TLJOZSI,X,X,X,O,X,O,X,X,X
TLSIJZO,O,X,X,X,X,X,O,X,X
TLSIJOZ,O,X,X,X,X,X,O,X,X
TLSIZJO,O,X,X,X,X,X,O,X,X
TLSIZOJ,O,X,X,X,X,X,O,X,X
TLSIOJZ,O,X,X,X,X,X,O,X,X
TLSIOZJ,O,X,X,X,X,X,O,X,X
TLSJIZO,O,X,X,X,X,X,O,X,X
TLSJIOZ,O,X,X,X,O,X,O,X,X
TLSJZIO,O,X,X,X,X,X,O,X,X
TLSJZOI,O,X,X,X,X,X,O,X,X
TLSJOIZ,O,X,X,X,O,X,O,X,X
TLSJOZI,O,X,X,X,O,X,O,X,X
TLSZIJO,O,X,X,X,X,X,O,X,X
TLSZIOJ,O,X,X,X,X,X,O,X,X
TLSZJIO,O,X,X,X,X,X,O,X,X
TLSZJOI,O,X,X,X,X,X,O,X,X
TLSZOIJ,O,X,X,X,X,X,O,X,X
TLSZOJI,O,X,X,X,X,X,O,X,X
TLSOIJZ,O,X,X,X,X,X,O,X,X
TLSOIZJ,O,X,X,X,X,X,O,X,X
TLSOJIZ,O,X,X,X,O,X,O,X,X
TLSOJZI,O,X,X,X,O,X,O,X,X
TLSOZIJ,O,X,X,X,X,X,O,X,X
TLSOZJI,O,X,X,X,X,X,O,X,X
TLZIJSO,X,X,X,O,X,X,X,X,X
TLZIJOS,X,X,X,O,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,X
TLZIOJS,X,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,X
TLZJISO,X,X,X,O,X,X,X,X,X
TLZJIOS,X,X,X,O,X,O,X,X,X
TLZJSIO,X,X,X,O,X,X,X,X,X
TLZJSOI,X,X,X,O,X,X,X,X,X
TLZJOIS,X,X,X,O,X,O,X,X,X
TLZJOSI,X,X,X,O,X,O,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,O,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,O,X,X,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,X
TLZOJIS,X,X,X,O,X,O,X,X,X
TLZOJSI,X,X,X,O,X,O,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,O,X,X
TLOIJZS,X,X,X,O,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,O,X,X
TLOISZJ,O,X,X,X,X,X,O,X,X
TLOIZJS,X,X,X,O,X,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,X
TLOJISZ,O,X,X,X,O,X,O,X,X
TLOJIZS,X,X,X,O,X,O,X,X,X
TLOJSIZ,O,X,X,X,O,X,O,X,X
TLOJSZI,O,X,X,X,O,X,O,X,X
TLOJZIS,X,X,X,O,X,O,X,X,X
TLOJZSI,X,X,X,O,X,O,X,X,X
TLOSIJZ,O,X,X,X,X,X,O,X,X
TLOSIZJ,O,X,X,X,X,X,O,X,X
TLOSJIZ,O,X,X,X,O,X,O,X,X
TLOSJZI,O,X,X,X,O,X,O,X,X
TLOSZIJ,O,X,X,X,X,X,O,X,X
TLOSZJI,O,X,X,X,X,X,O,X,X
TLOZIJS,X,X,X,O,X,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,X
TLOZJIS,X,X,X,O,X,O,X,X,X
TLOZJSI,X,X,X,O,X,O,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X,O,X,X
TJILSOZ,O,X,X,X,O,X,O,X,X
TJILZSO,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,O,X,O,X,X,X
TJILOSZ,O,X,X,X,O,X,O,X,X
TJILOZS,X,X,X,O,X,O,X,X,X
TJISLZO,O,X,X,X,X,X,O,X,X
TJISLOZ,O,X,X,X,O,X,O,X,X
TJISZLO,X,X,X,X,X,X,O,X,X
TJISZOL,O,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,O,X,O,X,X,X
TJIZSLO,X,X,X,O,X,X,X,X,X
TJIZSOL,X,X,X,O,X,X,X,X,X
TJIZOLS,X,X,X,O,X,O,X,X,X
TJIZOSL,X,X,X,O,X,X,X,X,X
TJIOLSZ,O,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,O,X,O,X,X,X
TJIOSLZ,O,X,X,X,O,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,O,X,O,X,X,X
TJIOZSL,X,X,X,O,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,O,X,X
TJLISOZ,O,X,X,X,O,X,O,X,X
TJLIZSO,X,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,O,X,O,X,X,X
TJLIOSZ,O,X,X,X,O,X,O,X,X
TJLIOZS,X,X,X,O,X,O,X,X,X
TJLSIZO,O,X,X,X,X,X,O,X,X
TJLSIOZ,O,X,X,X,O,X,O,X,X
TJLSZIO,O,X,X,X,X,X,O,X,X
TJLSZOI,O,X,X,X,X,X,O,X,X
TJLSOIZ,O,X,X,X,O,X,O,X,X
TJLSOZI,O,X,X,X,O,X,O,X,X
TJLZISO,X,X,X,O,X,X,X,X,X
TJLZIOS,X,X,X,O,X,O,X,X,X
TJLZSIO,X,X,X,O,X,X,X,X,X
TJLZSOI,X,X,X,O,X,X,X,X,X
TJLZOIS,X,X,X,O,X,O,X,X,X
TJLZOSI,X,X,X,O,X,O,X,X,X
TJLOISZ,O,X,X,X,O,X,O,X,X
TJLOIZS,X,X,X,O,X,O,X,X,X
TJLOSIZ,O,X,X,X,O,X,O,X,X
TJLOSZI,O,X,X,X,O,X,O,X,X
TJLOZIS,X,X,X,O,X,O,X,X,X
TJLOZSI,X,X,X,O,X,O,X,X,X
TJSILZO,O,X,X,X,X,X,O,X,X
TJSILOZ,O,X,X,X,O,X,O,X,X
TJSIZLO,X,X,X,X,X,X,O,X,X
TJSIZOL,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,O,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,O,X,X
TJSLIOZ,O,X,X,X,O,X,O,X,X
TJSLZIO,O,X,X,X,X,X,O,X,X
TJSLZOI,O,X,X,X,X,X,O,X,X
TJSLOIZ,O,X,X,X,O,X,O,X,X
TJSLOZI,O,X,X,X,O,X,O,X,X
TJSZILO,X,X,X,X,X,X,O,X,X
TJSZIOL,O,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,O,X,X
TJSZLOI,X,X,X,X,X,X,O,X,X
TJSZOIL,O,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,O,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,O,X,X,X,X
TJSOLZI,O,X,X,X,O,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,O,X,X,X,X,X
TJZILOS,X,X,X,O,X,O,X,X,X
TJZISLO,X,X,X,O,X,X,X,X,X
TJZISOL,X,X,X,O,X,X,X,X,X
TJZIOLS,X,X,X,O,X,O,X,X,X
TJZIOSL,X,X,X,O,X,X,X,X,X
TJZLISO,X,X,X,O,X,X,X,X,X
TJZLIOS,X,X,X,O,X,O,X,X,X
TJZLSIO,X,X,X,O,X,X,X,X,X
TJZLSOI,X,X,X,O,X,X,X,X,X
TJZLOIS,X,X,X,O,X,O,X,X,X
TJZLOSI,X,X,X,O,X,O,X,X,X
TJZSILO,X,X,X,O,X,X,X,X,X
TJZSIOL,X,X,X,O,X,X,X,X,X
TJZSLIO,X,X,X,O,X,X,X,X,X
TJZSLOI,X,X,X,O,X,X,X,X,X
TJZSOIL,X,X,X,O,X,X,X,X,X
TJZSOLI,X,X,X,O,X,X,X,X,X
TJZOILS,X,X,X,O,X,O,X,X,X
TJZOISL,X,X,X,O,X,X,X,X,X
TJZOLIS,X,X,X,O,X,O,X,X,X
TJZOLSI,X,X,X,O,X,O,X,X,X
TJZOSIL,X,X,X,O,X,X,X,X,X
TJZOSLI,X,X,X,O,X,X,X,X,X
TJOILSZ,O,X,X,X,O,X,X,X,X
TJOILZS,X,X,X,O,X,O,X,X,X
TJOISLZ,O,X,X,X,O,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,O,X,O,X,X,X
TJOIZSL,X,X,X,O,X,X,X,X,X
TJOLISZ,O,X,X,X,O,X,X,X,X
TJOLIZS,X,X,X,O,X,O,X,X,X
TJOLSIZ,O,X,X,X,O,X,X,X,X
TJOLSZI,O,X,X,X,O,X,X,X,X
TJOLZIS,X,X,X,O,X,O,X,X,X
TJOLZSI,X,X,X,O,X,O,X,X,X
TJOSILZ,O,X,X,X,O,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,O,X,X,X,X
TJOSLZI,O,X,X,X,O,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,O,X,O,X,X,X
TJOZISL,X,X,X,O,X,X,X,X,X
TJOZLIS,X,X,X,O,X,O,X,X,X
TJOZLSI,X,X,X,O,X,O,X,X,X
TJOZSIL,X,X,X,O,X,X,X,X,X
TJOZSLI,X,X,X,O,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,O,X,X
TSILJOZ,O,X,X,X,X,X,O,X,X
TSILZJO,O,O,O,X,X,X,O,X,X
TSILZOJ,O,O,O,X,X,X,O,X,X
TSILOJZ,O,X,X,X,X,X,O,X,X
TSILOZJ,O,O,O,X,X,X,O,X,X
TSIJLZO,O,X,X,X,X,X,O,X,X
TSIJLOZ,O,X,X,X,X,X,O,X,X
TSIJZLO,X,X,X,X,X,X,O,X,X
TSIJZOL,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X,X,X
TSIZLJO,O,O,O,X,X,X,O,X,X
TSIZLOJ,O,O,O,X,X,X,O,X,X
TSIZJLO,X,O,O,X,X,X,O,X,X
TSIZJOL,O,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,O,X,X
TSIZOJL,O,O,O,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,X,X,O,X,X
TSIOLZJ,O,O,O,X,X,X,O,X,X
TSIOJLZ,O,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,O,X,X
TSIOZJL,O,O,O,X,X,X,X,X,X
TSLIJZO,O,X,X,X,X,X,O,X,X
TSLIJOZ,O,X,X,X,X,X,O,X,X
TSLIZJO,O,O,O,X,X,X,O,X,X
TSLIZOJ,O,O,O,X,X,X,O,X,X
TSLIOJZ,O,X,X,X,X,X,O,X,X
TSLIOZJ,O,O,O,X,X,X,O,X,X
TSLJIZO,O,X,X,X,X,X,O,X,X
TSLJIOZ,O,X,X,X,O,X,O,X,X
TSLJZIO,O,X,X,X,X,X,O,X,X
TSLJZOI,O,X,X,X,X,X,O,X,X
TSLJOIZ,O,X,X,X,O,X,O,X,X
TSLJOZI,O,X,X,X,O,X,O,X,X
TSLZIJO,O,O,O,X,X,X,O,X,X
TSLZIOJ,O,O,O,X,X,X,O,X,X
TSLZJIO,O,O,O,X,X,X,O,X,X
TSLZJOI,O,O,O,X,X,X,O,X,X
TSLZOIJ,O,O,O,X,X,X,O,X,X
TSLZOJI,O,O,O,X,X,X,O,X,X
TSLOIJZ,O,X,X,X,X,X,O,X,X
TSLOIZJ,O,O,O,X,X,X,O,X,X
TSLOJIZ,O,X,X,X,O,X,O,X,X
TSLOJZI,O,X,X,X,O,X,O,X,X
TSLOZIJ,O,O,O,X,X,X,O,X,X
TSLOZJI,O,O,O,X,X,X,O,X,X
TSJILZO,O,X,X,X,X,X,O,X,X
TSJILOZ,O,X,X,X,O,X,O,X,X
TSJIZLO,X,X,X,X,X,X,O,X,X
TSJIZOL,O,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,O,X,X,X,X
TSJIOZL,O,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,O,X,X
TSJLIOZ,O,X,X,X,O,X,O,X,X
TSJLZIO,O,X,X,X,X,X,O,X,X
TSJLZOI,O,X,X,X,X,X,O,X,X
TSJLOIZ,O,X,X,X,O,X,O,X,X
TSJLOZI,O,X,X,X,O,X,O,X,X
TSJZILO,X,X,X,X,X,X,O,X,X
TSJZIOL,O,X,X,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,O,X,X
TSJZLOI,X,X,X,X,X,X,O,X,X
TSJZOIL,O,X,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X,X
TSJOILZ,O,X,X,X,O,X,X,X,X
TSJOIZL,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,X,O,X,X,X,X
TSJOLZI,O,X,X,X,O,X,X,X,X
TSJOZIL,O,X,X,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,O,X,X
TSZILOJ,O,O,O,X,X,X,O,X,X
TSZIJLO,X,O,O,X,X,X,O,X,X
TSZIJOL,O,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,O,X,X,X,O,X,X
TSZIOJL,O,O,O,X,X,X,X,X,X
TSZLIJO,O,O,O,X,X,X,O,X,X
TSZLIOJ,O,O,O,X,X,X,O,X,X
TSZLJIO,O,O,O,X,X,X,O,X,X
TSZLJOI,O,O,O,X,X,X,O,X,X
TSZLOIJ,O,O,O,X,X,X,O,X,X
TSZLOJI,O,O,O,X,X,X,O,X,X
TSZJILO,X,O,O,X,X,X,O,X,X
TSZJIOL,O,O,O,X,X,X,X,X,X
TSZJLIO,X,O,O,X,X,X,O,X,X
TSZJLOI,X,O,O,X,X,X,O,X,X
TSZJOIL,O,O,O,X,X,X,X,X,X
TSZJOLI,X,O,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,O,X,X
TSZOIJL,O,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,O,X,X,X,O,X,X
TSZOLJI,O,O,O,X,X,X,O,X,X
TSZOJIL,O,O,O,X,X,X,X,X,X
TSZOJLI,X,O,O,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,X,O,X,X
TSOILZJ,O,O,O,X,X,X,O,X,X
TSOIJLZ,O,X,X,X,X,X,X,X,X
TSOIJZL,O,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,O,X,X
TSOIZJL,O,O,O,X,X,X,X,X,X
TSOLIJZ,O,X,X,X,X,X,O,X,X
TSOLIZJ,O,O,O,X,X,X,O,X,X
TSOLJIZ,O,X,X,X,O,X,O,X,X
TSOLJZI,O,X,X,X,O,X,O,X,X
TSOLZIJ,O,O,O,X,X,X,O,X,X
TSOLZJI,O,O,O,X,X,X,O,X,X
TSOJILZ,O,X,X,X,O,X,X,X,X
TSOJIZL,O,X,X,X,X,X,X,X,X
TSOJLIZ,O,X,X,X,O,X,X,X,X
TSOJLZI,O,X,X,X,O,X,X,X,X
TSOJZIL,O,X,X,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X,X,X
TSOZILJ,O,O,O,X,X,X,O,X,X
TSOZIJL,O,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,O,X,X,X,O,X,X
TSOZLJI,O,O,O,X,X,X,O,X,X
TSOZJIL,O,O,O,X,X,X,X,X,X
TSOZJLI,X,O,O,X,X,X,X,X,X
TZILJSO,X,X,X,O,X,X,X,X,X
TZILJOS,X,X,X,O,X,X,X,X,X
TZILSJO,X,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,O,X,X,X,X,X
TZILOJS,X,X,X,O,X,X,X,X,X
TZILOSJ,X,X,X,O,X,X,X,X,X
TZIJLSO,X,X,X,O,X,X,X,X,X
TZIJLOS,X,X,X,O,X,X,X,X,X
TZIJSLO,X,O,O,O,X,X,X,X,X
TZIJSOL,X,O,O,O,X,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,X,X
TZIJOSL,X,O,O,O,X,X,X,X,X
TZISLJO,X,O,O,X,X,X,X,X,X
TZISLOJ,X,O,O,O,X,X,X,X,X
TZISJLO,X,O,O,O,X,X,X,X,X
TZISJOL,X,O,O,O,X,X,X,X,X
TZISOLJ,X,O,O,O,X,X,X,X,X
TZISOJL,X,O,O,O,X,X,X,X,X
TZIOLJS,X,X,X,O,X,X,X,X,X
TZIOLSJ,X,X,X,O,X,X,X,X,X
TZIOJLS,X,X,X,O,X,X,X,X,X
