sequence,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgB/hBUdBtlByr?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF2gBNiBxlBqmB3q?BUrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF2gBNiBxlBqmBUr?B3qB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFKgBWhBNiB0mBXm?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFxbBNiB/lB0mByv?BGrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhF0bB6hBNiB/lB2r?BxvB,v115@6gC8HeD8EeF8DeE8DeD8Je2/IvhFTcBNiBxlBqlB3r?BUqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcBXiB+qBKr?B0rB,v115@6gC8HeD8EeF8DeE8DeD8Jei6IvhFGcBNiBxlBzlB3r?BUqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcB0hB+qBKr?BXsB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBRcB6mBOnBUr?B3qB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiB/lBUhBqmBml?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgBNiBChB0mBXm?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFZhBUdB9lBfnBSw?BOqB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBUcBOnBCmB3m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8Jex6IvhFNiBmfBChB0mB3q?BTrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFKgBWhBNiBXmB0m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFRcBOnB0lB6rBNq?BXrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNgBahBUdBfnBWr?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFRcB/mBOnB0lBNq?BSwB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFOgBNiBChBXmB0m?BxvB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFahBXiBRrB0qBNq?BurB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiBfrB0mBZlBGr?BCrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFNiBxgB/lB0mByv?BGrB,v115@6gC8HeD8EeF8DeE8DeD8JeT6IvhFxbBNiBfrB0mBKq?BGrB
TILOZJS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILOZSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,O,O,O,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TIJLSOZ,O,O,O,O,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TIJLZSO,O,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJLZOS,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIJLOZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TIJSLOZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TIJSZLO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
TIJSZOL,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,O,X,X,X,X
TIJSOLZ,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TIJSOZL,O,O,X,X,X,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TIJZLSO,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJZLOS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
TIJZSOL,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TIJZOLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TIJOLSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIJOLZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TIJOSZL,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TIJOZLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TISLJZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
TISLJOZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X
TISLZJO,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISLZOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISLOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TISLOZJ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISJLZO,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TISJLOZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TISJZLO,O,O,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X,X
TISJZOL,O,O,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TISJOLZ,O,O,O,X,X,O,O,X,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,X,X
TISJOZL,O,O,X,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TISZLJO,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X
TISZLOJ,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X
TISZJLO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TISZJOL,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TISZOLJ,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TISZOJL,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TISOLJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TISOLZJ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TISOJLZ,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TISOJZL,O,O,X,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TISOZLJ,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TISOZJL,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIZLJSO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZLJOS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZLSJO,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X
TIZLSOJ,O,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X
TIZLOJS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TIZJLSO,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TIZJLOS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZJSLO,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
TIZJSOL,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X
TIZJOLS,O,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZJOSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,O,X,X,O,X,O,X,X,O,X
TIZSLJO,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,O,O,X,O
TIZSLOJ,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X,O,X,O,X,O,O,O,X,O
TIZSJLO,O,O,O,O,X,O,O,X,O,X,X,O,O,X,X,O,O,X,O,X,O,X,O,X,X
TIZSJOL,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,O,X,X
TIZSOLJ,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X
TIZSOJL,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X
TIZOLJS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIZOLSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TIZOJLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X
TIZOSLJ,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X
TIZOSJL,O,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X
TIOLJSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIOLJZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIOLSJZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TIOLSZJ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIOLZJS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOJLSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIOJLZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TIOJSLZ,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIOJSZL,O,O,X,X,X,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TIOJZLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TIOSLJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TIOSLZJ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIOSJZL,O,O,X,X,O,O,O,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X
TIOSZLJ,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TIOSZJL,O,O,O,X,O,O,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOZLJS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIOZLSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TIOZJLS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOZJSL,O,X,O,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,O,X
TIOZSLJ,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,O,X,O,X,O,X,O,O,X
TIOZSJL,O,O,O,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X
TLIJSZO,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
TLIJSOZ,O,O,O,O,X,O,O,X,O,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
TLIJZSO,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIJZOS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
TLIJOZS,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLISJZO,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
TLISJOZ,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
TLISZJO,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TLISZOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TLISOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
TLISOZJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TLIZJSO,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TLIZJOS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIZSJO,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIZSOJ,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIZOJS,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIZOSJ,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLIOJSZ,O,O,O,O,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
TLIOJZS,O,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLIOSJZ,O,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
TLIOSZJ,O,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TLIOZJS,O,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIOZSJ,O,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,O,O,O,O,X,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X
TLJISOZ,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X
TLJIZSO,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
TLJIOZS,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,O,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X
TLJOIZS,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,O,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,O,O,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSIOZJ,O,O,X,O,O,O,O,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TLZIJOS,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
TLZISJO,O,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TLZISOJ,O,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
TLZIOJS,O,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X
