sequence,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhFRcBukB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jem6IvhFRcB6kB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFOgBicB5lBF?iBfqB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBfqBl?lBzmBCrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF2gBRcBFiBf?qB6qB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBFhBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFygBFiBxlBG?lBzmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhF5gBzfB/mBF?iBmmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFRcBigBFiB+?qB0rBzpB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFegBRcBFiBS?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBf?qB0mBuqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUhBFiBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex/IvhF/mBFiB0fBS?qBmmBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiB0fB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiBXgB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhB0fBFiB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF6lBxhBXgBm?mBlmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBW?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhBXgBFiB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFXgBxhBanBG?mBllBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFlcB0fB/mBO?nBSqBTqB
TISZOLJ,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJLSO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSLO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJOLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZSOJL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLSJ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
