sequence,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhFRcBukB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jem6IvhFRcB6kB3gBF?iB0mBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFOgBicB5lBF?iBfqB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBfqBl?lBzmBCrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF2gBRcBFiBf?qB6qB0rB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUdBFhBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFygBFiBxlBG?lBzmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jei6IvhF5gBzfB/mBF?iBmmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je//IvhFRcBigBFiB+?qB0rBzpB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFegBRcBFiBS?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBf?qB0mBuqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Je2/IvhFRbBUhBFiBf?qB6qBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex/IvhF/mBFiB0fBS?qBmmBTqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiB0fB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeKBJvhFxfBFiBXgB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhB0fBFiB+?qBXqBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhF6lBxhBXgBm?mBlmBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFKgBRcBFiBW?qB0mB3qB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFKhBXgBFiB+?qB0pBzrB,v115@6gC8HeC8FeD8CeA8BeE8BeF8JeT6IvhFXgBxhBanBG?mBllBUqB,v115@6gC8HeC8FeD8CeA8BeE8BeF8Jex6IvhFlcB0fB/mBO?nBSqBTqB
JLIZOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JLIOTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLIOTZS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLIOSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLIOSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLIOZTS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLIOZST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSTIZO,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O
JLSTIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSTZIO,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JLSTZOI,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JLSTOIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSTOZI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JLSITZO,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O
JLSITOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLSIZTO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JLSIZOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLSIOTZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLSIOZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLSZTIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLSZTOI,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLSZITO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JLSZIOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLSZOTI,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLSZOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLSOTIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLSOTZI,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JLSOITZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLSOIZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLSOZTI,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLSOZIT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZTISO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
JLZTIOS,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JLZTSIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLZTSOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLZTOIS,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLZTOSI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JLZITSO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
JLZITOS,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
JLZISTO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JLZISOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JLZIOTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLZIOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JLZSTIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLZSTOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JLZSITO,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JLZSIOT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JLZSOTI,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
JLZSOIT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
JLZOTIS,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLZOTSI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JLZOITS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLZOIST,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
JLZOSTI,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O
JLZOSIT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JLOTISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOTIZS,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOTSIZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSZI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JLOTZIS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JLOTZSI,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JLOITSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JLOITZS,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLOISTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOISZT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLOIZTS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLOIZST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLOSTIZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSTZI,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JLOSITZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSIZT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOSZTI,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLOSZIT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLOZTIS,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JLOZTSI,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JLOZITS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
JLOZIST,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JLOZSTI,O,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O
JLOZSIT,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTILZO,X,X,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,O
JSTILOZ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTIZLO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JSTIZOL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTIOLZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSTIOZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLIZO,X,X,O,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O
JSTLIOZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSTLZIO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JSTLZOI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JSTLOIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTLOZI,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O
JSTZILO,X,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSTZIOL,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSTZLIO,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JSTZLOI,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JSTZOIL,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JSTZOLI,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O
JSTOILZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSTOIZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTOLZI,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JSTOZIL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSTOZLI,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSITLZO,X,X,O,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,O
JSITLOZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSITZLO,X,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O
JSITZOL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSITOLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSITOZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O
JSILTOZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSILZTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JSILZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSILOTZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSILOZT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSIZTLO,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSIZTOL,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JSIZLTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JSIZLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JSIZOTL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JSIZOLT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JSIOTLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSIOTZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSIOLZT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSIOZTL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JSLTIZO,X,X,X,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O
JSLTIOZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLTZIO,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JSLTZOI,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,O
JSLTOIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTOZI,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O
JSLITZO,X,X,O,X,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O
JSLITOZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLIZTO,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSLIZOT,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSLIOTZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLIOZT,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JSLZTIO,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,O,O,X,O
JSLZTOI,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,O,O,X,O
JSLZITO,X,X,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSLZIOT,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSLZOTI,X,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JSLZOIT,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSLOTIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTZI,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O
JSLOITZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSLOIZT,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
JSLOZTI,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JSLOZIT,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSZTILO,O,X,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSZTIOL,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
JSZTLIO,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
JSZTLOI,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
JSZTOIL,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
JSZTOLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
JSZITLO,O,X,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JSZITOL,O,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JSZILTO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JSZILOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JSZIOTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZIOLT,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JSZLTIO,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
JSZLTOI,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
JSZLITO,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JSZLIOT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZLOTI,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSZLOIT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZOTIL,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O
JSZOTLI,O,X,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O
JSZOITL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSZOILT,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JSZOLTI,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O
JSZOLIT,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JSOTILZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOTIZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTLZI,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JSOTZIL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOTZLI,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSOITLZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOITZL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOILZT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOIZTL,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JSOLTIZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTZI,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JSOLITZ,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOLIZT,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSOLZTI,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O
JSOLZIT,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZTIL,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSOZTLI,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSOZITL,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSOZILT,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
JSOZLTI,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O
JSOZLIT,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZTILSO,O,O,O,X,X,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
JZTILOS,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X
JZTISLO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JZTISOL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
JZTIOLS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTIOSL,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,O,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,O
JZTLIOS,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JZTLSIO,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JZTLSOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O
JZTLOIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTLOSI,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTSILO,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JZTSIOL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
JZTSLIO,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
JZTSLOI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,O,X,X,O,X,O
JZTSOIL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,O
JZTSOLI,O,X,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JZTOILS,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZTOISL,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTOLSI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JZTOSIL,O,O,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JZITLSO,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X
JZITLOS,O,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
JZITSLO,O,X,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O
JZITSOL,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O
JZITOLS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITOSL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,X,X,X,X,O,O,X,O,X,X,X,X,O,O,O,X,X,X,X,O
JZILTOS,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X
JZILSTO,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZILSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JZILOTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JZISTLO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZISTOL,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
JZISLTO,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZISLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JZISOTL,X,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZISOLT,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JZIOTLS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOTSL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOLST,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZIOSTL,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
JZIOSLT,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
JZLTISO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
JZLTIOS,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
JZLTSIO,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JZLTSOI,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,O,X,O
JZLTOIS,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JZLTOSI,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
JZLITSO,O,O,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,O,X,X,O
JZLITOS,O,O,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,O,X,X,X
JZLISTO,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JZLISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O
JZLIOTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
