sequence,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BfjB6jBUlBFmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFzb?BSjBUjBFlBXmBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFKh?BGeBUjBFlBzqBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BTjBUlBFmBerBXqB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jem6IvhFfj?B6jBUhBFlBzlBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jex6IvhFCe?BVlBTjBOrBXqB8qB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BlgB0fBXmBilBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez7IvhFSj?BVlBUjBXmBmkBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFCe?BVmBTjB0fB2qBRvB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8JeZAJvhFzb?BGeBUjB3qB6pBFrB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Je37IvhFGe?BVmBUjBZlBzqB6pB,v115@4gB8CeB8CeB8CeA8EeB8BeB8CeF8DeE8Jez9IvhF+j?BZlBUhBfrB6pBlqB
TIJOSZL,O,O,X,X,O,X,O,X,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,O,X,X,X,X,X,X,O
TISLJZO,O,O,X,X,O,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,O,X,O,O,X,X,X,X
TISLZJO,O,O,X,X,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,O,X,X,X,X
TISLOJZ,O,O,X,X,O,X,X,O,O,X,X,X
TISLOZJ,O,O,X,X,X,X,X,O,O,X,X,X
TISJLZO,O,O,X,X,O,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,O,X,O,O,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,X,X,X
TISJZOL,O,O,X,X,O,X,O,X,X,X,X,X
TISJOLZ,O,O,X,X,O,X,O,O,O,X,X,X
TISJOZL,O,O,X,X,O,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,O,X,X,X,X
TISZJLO,O,O,X,X,O,X,X,X,X,X,X,X
TISZJOL,O,O,X,X,O,X,O,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,O,O,X,X,X
TISZOJL,O,O,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,O,X,X,O,O,X,X,X
TISOLZJ,O,O,X,X,X,X,X,O,O,X,X,X
TISOJLZ,O,O,X,X,O,X,O,O,O,X,X,X
TISOJZL,O,O,X,X,O,X,O,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,O,O,X,X,X
TISOZJL,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,O,X,X,X,X
TIZLOJS,O,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,O,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,O,X,X,X,X,X,X,X
TIZJSOL,O,O,X,X,O,X,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,O,O,X,X,X,X,X,X,O
TIZSLJO,O,O,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,O,X,X,X,X
TIZSJLO,O,O,X,X,O,X,X,X,X,X,X,X
TIZSJOL,O,O,X,X,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,X,X,X,O,O,X,X,X
TIZSOJL,O,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,O,X,X,X
TIZOJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,O,X,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,O,X,X,X
TIZOSJL,O,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,X,X,X,O,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X,O,O,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,O,O,X,X,X
TIOLZJS,X,O,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,O,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,O,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,O,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,O,X,X,O,O,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,O,O,X,X,X
TIOSJLZ,O,O,X,X,O,X,X,O,O,X,X,X
TIOSJZL,O,O,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,O,O,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,O,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,O,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,O,X,X,O,X,X,X,X
TLIJZSO,X,O,X,X,O,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,O,X,X,O,X,X,X,X,X,X,X
TLISJOZ,X,O,X,X,O,X,X,O,X,X,X,X
TLISZJO,X,O,X,X,O,X,X,X,X,X,X,X
TLISZOJ,X,O,X,X,X,X,X,O,X,X,X,X
TLISOJZ,X,O,X,X,O,X,X,O,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,O,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X,X,X,X,X,X
TLIZSJO,X,O,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X,O,X,X,X,X
TLIZOJS,X,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,O,X,X,X,X
TLIOZJS,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,O,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,O,X,X,O,X,X,X,X
TLJIZSO,X,O,X,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,O,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,X,X,X,X,X,X,X
TLJSZOI,O,O,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TLJSOZI,O,O,X,X,O,X,X,O,X,X,X,X
TLJZISO,X,O,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,O,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,O,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSIZJO,O,O,X,X,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,X,X,O,X,X,X,X
TLSIOJZ,O,O,X,X,O,X,X,O,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,X,O,X,X,X,X
TLSJIZO,X,O,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,O,X,X,X,X,X,X,X
TLSJZOI,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSJOZI,O,O,X,X,O,X,X,O,X,X,X,X
TLSZIJO,O,X,X,X,O,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,O,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X,X,O,X,X,X,X
TLSOIJZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,X,O,X,X,X,X
TLSOJIZ,O,O,X,X,O,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,O,X,X,O,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X,X,X,X,X,X
TLZISJO,X,O,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X,X,O,X,X,X,X
TLZIOJS,X,O,X,O,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X,X,X,X,X,X
TLZJSIO,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X,X,O,X,X,X,X
TLZOIJS,X,X,O,O,X,X,X,X,X,X,X,X
TLZOISJ,X,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,X,O,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,X,O,O,X,X,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,O,O,X,X,X,X,X,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,O,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X,O,X,X,X,X
TLOIZJS,X,O,O,O,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,O,O,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,O,O,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,O,O,X,X,X,X,X,X,X,X
TLOJZSI,X,O,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,O,X,X,X,X,O,X,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,O,X,X,X,X
TLOSZIJ,X,X,O,O,X,X,X,O,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,O,X,X,X,X
TLOZIJS,X,X,O,O,X,X,X,X,X,X,X,X
TLOZISJ,X,X,O,O,X,X,X,X,X,X,X,X
TLOZJIS,X,O,O,O,X,X,X,X,X,X,X,X
TLOZJSI,X,O,O,O,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,O,O,X,X,X,X,X,X,X,X
TJILSZO,O,O,X,X,O,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJILZSO,X,O,X,X,O,X,X,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,O,X,X,O,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,O,X,O,O,X,X,X,X
TJISZLO,O,O,X,X,O,X,X,X,X,X,X,X
TJISZOL,O,O,X,X,O,X,O,X,X,X,X,X
TJISOLZ,O,O,X,X,O,X,O,O,X,X,X,X
TJISOZL,O,O,X,X,O,X,O,X,X,X,X,X
TJIZLSO,O,O,X,X,O,X,X,X,X,X,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,X,X,O,X,X,X,X,X,X,X
TJIZSOL,O,O,X,X,O,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X,X,X,X,O
TJIOLSZ,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,O,X,O,X,X,X,X,X
TJIOSZL,O,O,X,X,O,X,O,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,O,X,X,X,X,X,X,O
TJLISZO,X,O,X,X,O,X,X,X,X,X,X,X
TJLISOZ,X,O,X,X,O,X,X,O,X,X,X,X
TJLIZSO,X,O,X,X,O,X,X,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,X,O,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZOI,O,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,O,O,X,X,O,X,X,X,X,X,X,X
TJLSOZI,O,O,X,X,O,X,X,O,X,X,X,X
TJLZISO,X,O,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,O,X,X,X,X,X,X,X
TJLZSOI,X,O,X,X,O,X,X,X,X,X,X,X
TJLZOIS,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,O,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,X,O,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,O,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,O,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,O,O,X,X,X,X,X,X
TJSIOZL,O,O,X,X,O,O,O,X,X,X,X,X
TJSLIZO,O,O,X,X,O,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,O,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,O,X,X,X,X,X,X,X
TJSLZOI,O,O,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,O,O,X,X,O,O,X,X,X,X,X,X
TJSLOZI,O,O,X,X,O,O,O,O,X,X,X,X
TJSZILO,O,X,X,X,O,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,O,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,O,X,X,X,X,X,X,X
TJSZLOI,O,O,X,X,O,X,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,O,O,X,X,X,X,X
TJSZOLI,O,O,X,X,O,O,O,X,X,X,X,X
TJSOILZ,O,O,X,X,O,O,X,X,X,X,X,X
TJSOIZL,X,X,X,X,O,O,O,X,X,X,X,X
TJSOLIZ,O,O,X,X,O,O,X,X,X,X,X,X
TJSOLZI,O,O,X,X,O,O,O,O,X,X,X,X
TJSOZIL,X,X,X,X,X,O,O,X,X,X,X,X
TJSOZLI,O,O,X,X,O,O,O,X,X,X,X,X
TJZILSO,O,O,X,X,O,X,X,X,X,X,X,X
TJZILOS,O,O,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,X,O,X,X,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,X,X,O,O,X,X,X,X,X,X,O
TJZLISO,X,O,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,O,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,O,X,X,X,X,X,X,X
TJZLSOI,O,O,X,X,O,X,X,X,X,X,X,X
TJZLOIS,X,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,O,X,X,X,X,X,X,X
TJZSIOL,O,X,X,X,O,X,X,X,X,X,X,X
TJZSLIO,O,X,X,X,O,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,O,O,X,X,O,X,X,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,X,X,X,X,O
TJZOLIS,X,O,X,O,X,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,X,X,X,X,X,X,X,X
TJZOSLI,O,X,X,O,O,X,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,O,X,X,O,X,O,X,X,X,X,X
TJOISZL,X,O,X,X,O,X,O,X,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZSL,X,X,X,X,O,X,X,X,X,X,X,O
TJOLISZ,X,O,X,X,X,X,X,X,X,X,X,X
TJOLIZS,X,O,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,X,X,O,X,X,X,X,X,X
TJOLSZI,O,O,X,X,X,O,X,X,X,X,X,X
TJOLZIS,X,O,X,O,X,X,X,X,X,X,X,X
TJOLZSI,X,O,X,O,X,X,X,X,X,X,X,X
TJOSILZ,O,O,X,X,O,O,X,X,X,X,X,X
TJOSIZL,X,X,X,X,O,O,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,O,O,X,X,X,X,X,X
TJOSLZI,O,O,X,X,O,O,O,X,X,X,X,X
TJOSZIL,X,X,X,X,X,O,O,X,X,X,X,X
TJOSZLI,O,O,X,X,O,O,O,X,X,X,X,X
TJOZILS,X,X,X,O,X,X,X,X,X,X,X,X
TJOZISL,X,X,X,O,X,X,X,X,X,X,X,O
TJOZLIS,X,O,X,O,X,X,X,X,X,X,X,X
TJOZLSI,X,O,X,O,X,X,X,X,X,X,X,X
TJOZSIL,X,X,X,O,X,X,X,X,X,X,X,X
TJOZSLI,O,X,X,O,O,X,X,X,X,X,X,X
TSILJZO,O,O,X,X,O,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSILZJO,O,O,X,X,O,X,X,X,X,O,X,X
TSILZOJ,O,O,X,X,X,X,X,O,X,O,X,X
TSILOJZ,O,O,X,X,O,X,X,O,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,O,X,O,X,X
TSIJLZO,O,O,X,X,O,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,O,X,X
TSIJZOL,O,O,X,X,O,X,X,X,X,O,X,X
TSIJOLZ,O,O,X,X,O,X,X,O,X,X,X,X
TSIJOZL,O,O,X,X,O,X,O,X,X,O,X,X
TSIZLJO,O,O,X,X,O,X,X,X,X,O,X,X
TSIZLOJ,O,O,X,X,X,X,X,O,X,O,X,X
TSIZJLO,O,O,X,X,O,X,X,X,X,O,X,X
TSIZJOL,O,O,X,X,O,X,X,X,X,O,X,X
TSIZOLJ,O,O,X,X,X,X,X,O,X,O,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X,O,X,X
TSIOLJZ,O,O,X,X,O,X,X,O,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,O,X,O,X,X
TSIOJLZ,O,O,X,X,O,X,X,O,X,X,X,X
TSIOJZL,O,O,X,X,O,X,X,X,X,O,X,X
TSIOZLJ,O,O,X,X,X,X,X,O,X,O,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,O,X,X
TSLIJZO,O,O,X,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,O,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,O,X,X,X,X
TSLIOJZ,O,O,X,X,O,X,X,O,X,X,X,X
