sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TOZSJLI,X,O,X,X,X,X,O,X,X,X,X,X
ITLJSZO,X,O,X,O,O,X,O,X,O,X,X,X
ITLJSOZ,X,O,X,O,O,O,O,X,O,X,X,O
ITLJZSO,O,X,O,O,O,O,O,X,X,X,X,X
ITLJZOS,O,X,O,X,X,O,O,X,X,X,X,O
ITLJOSZ,X,X,X,O,O,O,O,X,O,X,O,O
ITLJOZS,O,X,O,X,X,O,O,X,X,X,O,O
ITLSJZO,X,O,O,O,O,X,O,X,O,X,X,X
ITLSJOZ,X,O,O,O,O,O,O,X,O,X,X,X
ITLSZJO,X,O,O,O,O,X,O,X,O,O,X,X
ITLSZOJ,X,X,O,X,O,X,X,X,X,O,X,X
ITLSOJZ,X,O,O,O,O,X,O,O,X,X,X,X
ITLSOZJ,X,O,O,O,X,X,X,X,X,O,X,X
ITLZJSO,O,O,O,O,O,O,O,X,X,O,X,X
ITLZJOS,O,O,O,X,X,O,O,X,X,X,X,X
ITLZSJO,O,O,O,X,X,O,X,X,X,O,X,X
ITLZSOJ,O,O,O,X,X,X,X,X,X,O,X,X
ITLZOJS,O,O,O,X,X,O,X,X,X,X,X,X
ITLZOSJ,O,O,O,X,X,X,X,X,X,O,X,X
ITLOJSZ,X,O,X,O,O,O,O,X,X,X,O,X
ITLOJZS,O,X,O,X,X,O,O,X,X,X,O,X
ITLOSJZ,X,O,O,X,X,X,O,X,X,X,O,X
ITLOSZJ,X,O,O,X,X,X,O,X,X,X,X,X
ITLOZJS,O,O,O,X,X,X,O,X,X,X,O,X
ITLOZSJ,O,O,O,X,X,X,X,X,X,X,X,X
ITJLSZO,X,O,X,O,O,X,O,X,O,X,X,X
ITJLSOZ,X,O,X,O,O,O,O,X,O,X,X,O
ITJLZSO,O,X,O,O,O,O,O,X,X,X,X,X
ITJLZOS,O,X,O,X,X,O,O,X,X,X,X,O
ITJLOSZ,X,X,X,O,O,O,O,X,O,X,O,O
ITJLOZS,O,X,O,X,X,O,O,X,X,X,O,O
ITJSLZO,X,X,X,O,O,X,O,X,O,X,X,X
ITJSLOZ,X,X,X,O,O,O,O,X,O,X,X,O
ITJSZLO,X,X,X,O,O,O,O,X,O,X,X,X
ITJSZOL,X,X,X,X,O,O,X,X,O,X,X,X
ITJSOLZ,X,X,X,O,O,O,O,X,O,X,X,O
ITJSOZL,X,X,X,O,X,O,X,X,O,X,X,X
ITJZLSO,O,O,O,O,O,O,O,X,X,X,X,X
ITJZLOS,O,O,O,X,X,O,O,X,X,X,X,O
ITJZSLO,O,O,O,X,X,O,X,X,X,X,X,X
ITJZSOL,X,O,X,X,X,O,X,X,X,X,X,X
ITJZOLS,O,O,O,X,X,O,X,X,X,X,X,O
ITJZOSL,X,O,O,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,O,X,O,O,O,O,X,O,X,O,O
ITJOLZS,X,X,O,X,X,O,O,X,X,X,O,O
ITJOSLZ,X,X,X,X,X,O,O,X,O,X,O,O
ITJOSZL,X,X,X,X,X,O,O,X,O,X,O,X
ITJOZLS,X,O,O,X,X,O,O,X,X,X,O,O
ITJOZSL,X,O,O,X,X,O,X,X,X,X,O,X
ITSLJZO,X,O,O,O,O,X,O,X,O,X,X,X
ITSLJOZ,X,O,O,O,O,O,O,X,O,X,X,X
ITSLZJO,X,O,O,O,O,X,O,X,O,O,X,X
ITSLZOJ,X,X,O,X,O,X,X,X,X,O,X,X
ITSLOJZ,X,O,O,O,O,X,O,O,X,X,X,X
ITSLOZJ,X,X,O,O,X,X,X,X,X,O,X,X
ITSJLZO,X,X,O,O,O,X,O,X,O,X,X,X
ITSJLOZ,X,X,O,O,O,O,O,X,O,X,X,X
ITSJZLO,X,X,O,O,O,O,O,X,O,X,X,X
ITSJZOL,X,X,O,X,O,O,X,X,O,X,X,X
ITSJOLZ,X,X,O,O,O,O,O,X,O,X,X,X
ITSJOZL,X,X,O,O,X,O,X,X,O,X,X,X
ITSZLJO,X,O,O,O,O,O,O,X,O,O,X,X
ITSZLOJ,X,O,O,X,O,X,X,X,X,O,X,X
ITSZJLO,X,O,O,O,O,O,O,X,O,O,X,X
ITSZJOL,X,O,O,X,O,O,X,X,O,O,X,X
ITSZOLJ,X,O,O,X,O,X,X,X,X,O,X,X
ITSZOJL,X,O,O,X,O,X,X,X,X,O,X,X
ITSOLJZ,X,O,O,O,O,X,O,O,X,X,X,X
ITSOLZJ,X,O,O,O,X,X,X,X,X,O,X,X
ITSOJLZ,X,X,O,O,O,X,O,O,X,X,X,X
ITSOJZL,X,X,O,O,X,X,X,O,X,X,X,X
ITSOZLJ,X,O,O,O,X,X,X,X,X,O,X,X
ITSOZJL,X,O,O,O,X,X,X,X,X,O,X,X
ITZLJSO,O,O,O,O,O,O,O,X,X,O,X,X
ITZLJOS,O,O,O,X,X,O,O,X,X,X,X,X
ITZLSJO,O,O,O,X,X,O,X,X,X,O,X,X
ITZLSOJ,O,O,O,X,X,X,X,X,X,O,X,X
ITZLOJS,O,O,O,X,X,O,X,X,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X,X,X,O,X,X
ITZJLSO,O,O,O,O,O,O,O,X,X,O,X,X
ITZJLOS,O,O,O,X,X,O,O,X,X,X,X,X
ITZJSLO,O,O,O,X,X,O,X,X,X,O,X,X
ITZJSOL,X,O,O,X,X,O,X,X,X,O,X,X
ITZJOLS,O,O,O,X,X,O,X,X,X,X,X,X
ITZJOSL,X,O,O,X,X,O,X,X,X,X,X,X
ITZSLJO,O,O,O,X,X,O,X,X,X,O,X,X
ITZSLOJ,O,O,O,X,X,X,X,X,X,O,X,X
ITZSJLO,O,O,O,X,X,O,X,X,X,O,X,X
ITZSJOL,X,O,X,X,X,O,X,X,X,O,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITZSOJL,X,O,O,X,X,X,X,X,X,O,X,X
ITZOLJS,O,O,O,X,X,O,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,X,O,X,X
ITZOJLS,O,O,O,X,X,O,X,X,X,X,X,X
ITZOJSL,X,O,O,X,X,O,X,X,X,X,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITZOSJL,X,O,O,X,X,X,X,X,X,O,X,X
ITOLJSZ,X,O,X,O,O,O,O,X,X,X,O,X
ITOLJZS,X,X,O,X,X,O,O,X,X,X,O,X
ITOLSJZ,X,O,O,X,X,X,O,X,X,X,O,X
ITOLSZJ,X,O,O,X,X,X,O,X,X,X,X,X
ITOLZJS,X,O,O,X,X,X,O,X,X,X,O,X
ITOLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,O,O,O,O,X,X,X,O,X
ITOJLZS,X,X,O,X,X,O,O,X,X,X,O,X
ITOJSLZ,X,X,X,X,X,O,O,X,X,X,O,X
ITOJSZL,X,X,X,X,X,O,O,X,X,X,O,X
ITOJZLS,X,O,O,X,X,O,O,X,X,X,O,X
ITOJZSL,X,O,O,X,X,O,X,X,X,X,O,X
ITOSLJZ,X,O,O,X,X,X,O,X,X,X,O,X
ITOSLZJ,X,O,O,X,X,X,O,X,X,X,X,X
ITOSJLZ,X,X,O,X,X,X,O,X,X,X,O,X
ITOSJZL,X,X,O,X,X,X,O,X,X,X,O,X
ITOSZLJ,X,O,O,X,X,X,O,X,X,X,X,X
ITOSZJL,X,O,O,X,X,X,O,X,X,X,X,X
ITOZLJS,X,O,O,X,X,O,O,X,X,X,O,X
ITOZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,O,X,X,O,O,X,X,X,O,X
ITOZJSL,X,O,O,X,X,O,X,X,X,X,O,X
ITOZSLJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOZSJL,X,O,O,X,X,X,X,X,X,X,X,X
ILTJSZO,X,O,X,O,O,X,O,X,O,X,X,X
ILTJSOZ,X,O,X,O,O,O,O,X,O,X,X,O
ILTJZSO,O,X,O,O,O,O,O,X,X,X,X,X
ILTJZOS,O,X,O,X,X,O,O,X,X,X,X,O
ILTJOSZ,X,X,X,O,O,O,O,X,O,X,O,O
ILTJOZS,O,X,O,X,X,O,O,X,X,X,O,O
ILTSJZO,X,O,O,O,O,X,O,X,O,X,X,X
ILTSJOZ,X,O,O,O,O,O,O,X,O,X,X,X
ILTSZJO,X,O,O,O,O,X,O,X,O,O,X,X
ILTSZOJ,X,X,O,X,O,X,X,X,X,O,X,X
ILTSOJZ,X,O,O,O,O,X,O,O,X,X,X,X
ILTSOZJ,X,X,O,O,X,X,X,X,X,O,X,X
ILTZJSO,O,O,O,O,O,O,O,X,X,O,X,X
ILTZJOS,O,O,O,X,X,O,O,X,X,X,X,X
ILTZSJO,O,O,O,X,X,O,X,X,X,O,X,X
ILTZSOJ,O,O,O,X,X,X,X,X,X,O,X,X
ILTZOJS,O,O,O,X,X,O,X,X,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,X,X,X,O,X,X
ILTOJSZ,X,O,X,O,O,O,O,X,X,X,O,X
ILTOJZS,O,X,O,X,X,O,O,X,X,X,O,X
ILTOSJZ,X,O,O,X,X,X,O,X,X,X,O,X
ILTOSZJ,X,O,O,X,X,X,O,X,X,X,X,X
ILTOZJS,O,O,O,X,X,X,O,X,X,X,O,X
ILTOZSJ,O,O,O,X,X,X,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,X,O,X,X,X
ILJTSOZ,X,X,X,X,X,O,X,X,O,X,X,O
ILJTZSO,O,X,O,X,X,O,X,X,X,X,X,X
ILJTZOS,O,X,O,X,X,O,X,X,X,X,X,O
ILJTOSZ,X,X,X,X,X,O,X,X,O,X,O,O
ILJTOZS,O,X,O,X,X,O,X,X,X,X,O,O
ILJSTZO,X,X,O,X,X,X,X,X,O,X,X,X
ILJSTOZ,X,X,O,X,X,O,X,X,O,X,X,O
ILJSZTO,O,X,O,X,X,X,X,X,O,O,X,X
ILJSZOT,O,X,O,X,X,X,X,X,O,O,X,X
ILJSOTZ,X,X,O,X,X,O,X,X,O,X,O,X
ILJSOZT,O,X,O,X,X,X,X,X,O,O,X,X
ILJZTSO,O,X,O,X,X,O,X,X,X,O,X,X
ILJZTOS,O,X,O,X,X,O,X,X,X,X,X,O
ILJZSTO,O,X,O,X,X,X,X,X,O,O,X,X
ILJZSOT,O,X,O,X,X,X,X,X,O,O,X,X
ILJZOTS,O,X,O,X,X,O,X,X,X,X,O,X
ILJZOST,O,X,O,X,X,X,X,X,O,X,X,X
ILJOTSZ,X,X,X,X,X,O,X,X,O,X,O,O
ILJOTZS,O,X,O,X,X,O,X,X,X,X,O,O
ILJOSTZ,X,X,O,X,X,O,X,X,O,X,O,X
ILJOSZT,O,X,O,X,X,X,X,X,O,X,X,X
ILJOZTS,O,X,O,X,X,O,X,X,X,X,O,X
ILJOZST,O,X,O,X,X,X,X,X,O,X,X,X
ILSTJZO,X,X,O,O,O,X,O,X,O,X,X,X
ILSTJOZ,X,X,O,O,O,O,O,X,O,X,X,X
ILSTZJO,X,X,O,O,O,X,O,X,O,O,X,X
ILSTZOJ,X,X,O,X,O,X,X,X,X,O,X,X
ILSTOJZ,X,X,O,O,O,X,O,O,X,X,X,X
ILSTOZJ,X,X,O,O,X,X,X,X,X,O,X,X
ILSJTZO,X,X,O,X,O,X,O,X,O,X,X,X
ILSJTOZ,X,X,O,X,X,O,X,X,O,X,X,O
ILSJZTO,O,X,O,X,O,X,O,X,O,O,X,X
ILSJZOT,O,X,O,X,O,X,O,X,O,O,X,X
ILSJOTZ,X,X,O,X,X,O,X,X,O,X,O,X
ILSJOZT,O,X,O,X,O,X,O,X,O,O,X,X
ILSZTJO,O,X,O,X,O,O,X,X,O,O,X,X
ILSZTOJ,O,X,O,X,O,X,X,X,X,O,X,X
ILSZJTO,O,X,O,X,O,X,O,X,O,O,X,X
ILSZJOT,O,X,O,X,O,X,O,X,O,O,X,X
ILSZOTJ,O,X,O,X,X,X,X,X,X,O,X,X
ILSZOJT,O,X,O,X,O,X,X,X,O,O,X,X
ILSOTJZ,X,X,O,O,X,X,O,O,X,X,O,X
ILSOTZJ,X,X,O,O,X,X,O,X,X,O,X,X
ILSOJTZ,X,X,O,X,X,X,O,O,O,X,O,X
ILSOJZT,O,X,O,X,O,X,O,X,O,O,X,X
ILSOZTJ,O,X,O,X,X,X,X,X,X,O,X,X
ILSOZJT,O,X,O,X,X,X,O,X,O,O,X,X
ILZTJSO,O,O,O,X,X,O,X,X,X,O,X,X
ILZTJOS,O,O,O,X,X,O,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,O,X,X,X,O,X,X
ILZTSOJ,O,O,O,X,X,X,X,X,X,O,X,X
ILZTOJS,O,O,O,X,X,O,X,X,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,X,X,X,O,X,X
ILZJTSO,O,O,O,X,X,O,X,X,X,O,X,X
ILZJTOS,O,O,O,X,X,O,X,X,X,X,X,O
ILZJSTO,O,O,O,X,X,X,X,X,O,O,X,X
ILZJSOT,O,O,O,X,X,X,X,X,O,O,X,X
ILZJOTS,O,O,O,X,X,O,X,X,X,X,O,X
ILZJOST,O,O,O,X,X,X,X,X,O,X,X,X
ILZSTJO,O,O,O,X,O,O,X,X,O,O,X,X
ILZSTOJ,O,X,O,X,O,X,X,X,X,O,X,X
ILZSJTO,O,O,O,X,O,X,X,X,O,O,X,X
ILZSJOT,O,O,O,X,O,X,X,X,O,O,X,X
ILZSOTJ,O,X,O,X,X,X,X,X,X,O,X,X
ILZSOJT,O,O,O,X,O,X,X,X,O,O,X,X
ILZOTJS,O,O,O,X,X,O,X,X,X,X,O,X
ILZOTSJ,O,O,O,X,X,X,X,X,X,O,X,X
ILZOJTS,O,O,O,X,X,X,X,X,X,X,O,X
ILZOJST,O,O,O,X,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X,X,O,X,X
ILZOSJT,O,O,O,X,X,X,X,X,X,O,X,X
ILOTJSZ,X,O,X,X,X,O,O,X,X,X,O,X
ILOTJZS,O,X,O,X,X,O,O,X,X,X,O,X
ILOTSJZ,X,O,O,X,X,X,O,X,X,X,O,X
ILOTSZJ,X,O,O,X,X,X,O,X,X,X,X,X
ILOTZJS,O,O,O,X,X,X,O,X,X,X,O,X
ILOTZSJ,O,O,O,X,X,X,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,X,O,X,O,O
ILOJTZS,O,X,O,X,X,O,X,X,X,X,O,O
ILOJSTZ,X,X,O,X,X,O,X,O,O,X,O,X
ILOJSZT,O,X,O,X,X,X,X,X,O,X,X,X
ILOJZTS,O,X,O,X,X,O,X,X,X,X,O,X
ILOJZST,O,X,O,X,X,X,X,X,O,X,X,X
ILOSTJZ,X,X,O,O,X,X,O,O,X,X,O,X
ILOSTZJ,X,X,O,O,X,X,O,X,X,O,X,X
ILOSJTZ,X,X,O,X,X,X,O,O,O,X,O,X
ILOSJZT,O,X,O,X,X,X,O,X,O,O,X,X
ILOSZTJ,O,X,O,X,X,X,X,X,X,O,X,X
ILOSZJT,O,X,O,X,X,X,O,X,O,O,X,X
ILOZTJS,O,O,O,X,X,O,X,X,X,X,O,X
ILOZTSJ,O,O,O,X,X,X,X,X,X,O,X,X
ILOZJTS,O,O,O,X,X,X,X,X,X,X,O,X
ILOZJST,O,O,O,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X,X,O,X,X
ILOZSJT,O,O,O,X,X,X,X,X,X,O,X,X
IJTLSZO,X,O,X,X,X,X,X,X,O,X,X,X
IJTLSOZ,X,O,X,X,X,O,X,X,O,X,X,O
IJTLZSO,O,X,O,X,X,O,X,X,X,X,X,X
IJTLZOS,O,X,O,X,X,O,X,X,X,X,X,O
IJTLOSZ,X,X,X,X,X,O,X,X,O,X,O,O
IJTLOZS,O,X,O,X,X,O,X,X,X,X,O,O
IJTSLZO,X,X,X,X,X,X,X,X,O,X,X,X
IJTSLOZ,X,X,X,X,X,O,X,X,O,X,X,O
IJTSZLO,X,X,X,X,X,O,X,X,O,X,X,X
IJTSZOL,X,X,X,X,X,O,X,X,O,X,X,X
IJTSOLZ,X,X,X,X,X,O,X,X,O,X,X,O
IJTSOZL,X,X,X,X,X,O,X,X,O,X,X,X
IJTZLSO,O,O,O,X,X,O,X,X,X,X,X,X
IJTZLOS,O,O,O,X,X,O,X,X,X,X,X,O
IJTZSLO,O,O,O,X,X,O,X,X,X,X,X,X
IJTZSOL,X,O,X,X,X,O,X,X,X,X,X,X
IJTZOLS,O,O,O,X,X,O,X,X,X,X,X,O
IJTZOSL,X,O,O,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,O,X,X,X,O,X,X,O,X,O,O
IJTOLZS,X,X,O,X,X,O,X,X,X,X,O,O
IJTOSLZ,X,X,X,X,X,O,X,X,O,X,O,O
IJTOSZL,X,X,X,X,X,O,X,X,O,X,O,X
IJTOZLS,X,O,O,X,X,O,X,X,X,X,O,O
IJTOZSL,X,O,O,X,X,O,X,X,X,X,O,X
IJLTSZO,X,X,X,X,X,X,X,X,O,X,X,X
IJLTSOZ,X,X,X,X,X,O,X,X,O,X,X,O
IJLTZSO,O,X,O,X,X,O,X,X,X,X,X,X
IJLTZOS,O,X,O,X,X,O,X,X,X,X,X,O
IJLTOSZ,X,X,X,X,X,O,X,X,O,X,O,O
IJLTOZS,O,X,O,X,X,O,X,X,X,X,O,O
IJLSTZO,X,X,O,X,X,X,X,X,O,X,X,X
IJLSTOZ,X,X,O,X,X,O,X,X,O,X,X,O
IJLSZTO,O,X,O,X,X,X,X,X,O,O,X,X
IJLSZOT,O,X,O,X,X,X,X,X,O,O,X,X
IJLSOTZ,X,X,O,X,X,O,X,X,O,X,O,X
IJLSOZT,O,X,O,X,X,X,X,X,O,O,X,X
IJLZTSO,O,X,O,X,X,O,X,X,X,O,X,X
IJLZTOS,O,X,O,X,X,O,X,X,X,X,X,O
IJLZSTO,O,X,O,X,X,X,X,X,O,O,X,X
IJLZSOT,O,X,O,X,X,X,X,X,O,O,X,X
IJLZOTS,O,X,O,X,X,O,X,X,X,X,O,X
IJLZOST,O,X,O,X,X,X,X,X,O,X,X,X
IJLOTSZ,X,X,X,X,X,O,X,X,O,X,O,O
IJLOTZS,O,X,O,X,X,O,X,X,X,X,O,O
IJLOSTZ,X,X,O,X,X,O,X,X,O,X,O,X
IJLOSZT,O,X,O,X,X,X,X,X,O,X,X,X
IJLOZTS,O,X,O,X,X,O,X,X,X,X,O,X
IJLOZST,O,X,O,X,X,X,X,X,O,X,X,X
IJSTLZO,X,X,O,X,X,X,X,X,O,X,X,X
IJSTLOZ,X,X,O,X,X,O,X,X,O,X,X,O
IJSTZLO,X,X,O,X,X,O,X,X,O,X,X,X
IJSTZOL,X,X,O,X,X,O,X,X,O,X,X,X
IJSTOLZ,X,X,O,X,X,O,X,X,O,X,X,O
IJSTOZL,X,X,O,X,X,O,X,X,O,X,X,X
IJSLTZO,X,X,O,X,X,X,X,X,O,X,X,X
IJSLTOZ,X,X,O,X,X,O,X,X,O,X,X,O
IJSLZTO,O,X,O,X,X,X,X,X,O,O,X,X
IJSLZOT,O,X,O,X,X,X,X,X,O,O,X,X
IJSLOTZ,X,X,O,X,X,O,X,X,O,X,O,X
IJSLOZT,O,X,O,X,X,X,X,X,O,O,X,X
IJSZTLO,O,X,O,X,X,X,X,X,O,O,X,X
IJSZTOL,X,X,O,X,X,X,X,X,O,O,X,X
IJSZLTO,O,X,O,X,X,X,X,X,O,O,X,X
IJSZLOT,O,X,O,X,X,X,X,X,O,O,X,X
IJSZOTL,X,X,O,X,X,X,X,X,O,O,X,X
IJSZOLT,X,X,O,X,X,X,X,X,O,O,X,X
IJSOTLZ,X,X,O,X,X,O,X,X,O,X,O,X
IJSOTZL,X,X,O,X,X,O,X,X,O,X,O,X
IJSOLTZ,X,X,O,X,X,O,X,X,O,X,O,X
IJSOLZT,X,X,O,X,X,X,X,X,O,O,X,X
IJSOZTL,X,X,O,X,X,X,X,X,O,O,X,X
IJSOZLT,X,X,O,X,X,X,X,X,O,O,X,X
IJZTLSO,O,O,O,X,X,O,X,X,X,O,X,X
IJZTLOS,O,O,O,X,X,O,X,X,X,X,X,O
IJZTSLO,O,O,O,X,X,O,X,X,X,O,X,X
IJZTSOL,X,O,O,X,X,O,X,X,X,O,X,X
IJZTOLS,O,O,O,X,X,O,X,X,X,X,X,O
IJZTOSL,X,O,X,X,X,O,X,X,X,X,X,X
IJZLTSO,O,O,O,X,X,O,X,X,X,O,X,X
IJZLTOS,O,O,O,X,X,O,X,X,X,X,X,O
IJZLSTO,O,O,O,X,X,X,X,X,O,O,X,X
IJZLSOT,O,O,O,X,X,X,X,X,O,O,X,X
IJZLOTS,O,O,O,X,X,O,X,X,X,X,O,X
IJZLOST,O,O,O,X,X,X,X,X,O,X,X,X
IJZSTLO,O,O,O,X,X,X,X,X,O,O,X,X
IJZSTOL,X,O,O,X,X,X,X,X,O,O,X,X
IJZSLTO,O,O,O,X,X,X,X,X,O,O,X,X
IJZSLOT,O,O,O,X,X,X,X,X,O,O,X,X
IJZSOTL,X,O,O,X,X,X,X,X,O,O,X,X
IJZSOLT,X,O,O,X,X,X,X,X,O,O,X,X
IJZOTLS,O,O,O,X,X,O,X,X,X,X,O,X
IJZOTSL,X,O,X,X,X,O,X,X,X,X,O,X
IJZOLTS,O,O,O,X,X,O,X,X,X,X,O,X
IJZOLST,O,O,O,X,X,X,X,X,O,X,X,X
IJZOSTL,X,O,O,X,X,X,X,X,O,X,X,X
IJZOSLT,X,O,O,X,X,X,X,X,O,X,X,X
IJOTLSZ,X,O,X,X,X,O,X,X,O,X,O,O
IJOTLZS,X,X,O,X,X,O,X,X,X,X,O,O
IJOTSLZ,X,X,X,X,X,O,X,X,O,X,O,O
IJOTSZL,X,X,X,X,X,O,X,X,O,X,O,X
IJOTZLS,X,O,O,X,X,O,X,X,X,X,O,O
IJOTZSL,X,O,O,X,X,O,X,X,X,X,O,X
IJOLTSZ,X,X,X,X,X,O,X,X,O,X,O,O
IJOLTZS,O,X,O,X,X,O,X,X,X,X,O,O
IJOLSTZ,X,X,O,X,X,O,X,X,O,X,O,X
IJOLSZT,O,X,O,X,X,X,X,X,O,X,X,X
IJOLZTS,O,X,O,X,X,O,X,X,X,X,O,X
IJOLZST,O,X,O,X,X,X,X,X,O,X,X,X
IJOSTLZ,X,X,O,X,X,O,X,X,O,X,O,X
IJOSTZL,X,X,O,X,X,O,X,X,O,X,O,X
IJOSLTZ,X,X,O,X,X,O,X,X,O,X,O,X
IJOSLZT,X,X,O,X,X,X,X,X,O,X,X,X
IJOSZTL,X,X,O,X,X,X,X,X,O,X,X,X
IJOSZLT,X,X,O,X,X,X,X,X,O,X,X,X
IJOZTLS,O,O,O,X,X,O,X,X,X,X,O,X
IJOZTSL,X,O,X,X,X,O,X,X,X,X,O,X
IJOZLTS,O,O,O,X,X,O,X,X,X,X,O,X
IJOZLST,O,O,O,X,X,X,X,X,O,X,X,X
IJOZSTL,X,O,X,X,X,X,X,X,O,X,X,X
IJOZSLT,X,O,O,X,X,X,X,X,O,X,X,X
ISTLJZO,X,O,O,O,O,X,O,X,O,X,X,X
ISTLJOZ,X,O,O,O,O,O,O,X,O,X,X,X
ISTLZJO,X,O,O,O,O,X,O,X,O,O,X,X
ISTLZOJ,X,X,O,X,O,X,X,X,X,O,X,X
ISTLOJZ,X,O,O,O,O,X,O,O,X,X,X,X
ISTLOZJ,X,X,O,O,X,X,X,X,X,O,X,X
ISTJLZO,X,X,O,O,O,X,O,X,O,X,X,X
ISTJLOZ,X,X,O,O,O,O,O,X,O,X,X,X
ISTJZLO,X,X,O,O,O,O,O,X,O,X,X,X
ISTJZOL,X,X,O,X,O,O,X,X,O,X,X,X
ISTJOLZ,X,X,O,O,O,O,O,X,O,X,X,X
ISTJOZL,X,X,O,O,X,O,X,X,O,X,X,X
ISTZLJO,X,O,O,O,O,O,O,X,O,O,X,X
ISTZLOJ,X,O,O,X,O,X,X,X,X,O,X,X
ISTZJLO,X,O,O,O,O,O,O,X,O,O,X,X
ISTZJOL,X,O,O,X,O,O,X,X,O,O,X,X
ISTZOLJ,X,O,O,X,O,X,X,X,X,O,X,X
ISTZOJL,X,O,O,X,O,X,X,X,X,O,X,X
ISTOLJZ,X,O,O,O,O,X,O,O,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X,X,O,X,X
ISTOJLZ,X,X,O,O,O,X,O,O,X,X,X,X
ISTOJZL,X,X,O,O,X,X,X,O,X,X,X,X
ISTOZLJ,X,O,O,O,X,X,X,X,X,O,X,X
ISTOZJL,X,O,O,O,X,X,X,X,X,O,X,X
ISLTJZO,X,X,O,O,O,X,O,X,O,X,X,X
ISLTJOZ,X,X,O,O,O,O,O,X,O,X,X,X
ISLTZJO,X,X,O,O,O,X,O,X,O,O,X,X
ISLTZOJ,X,X,O,X,O,X,X,X,X,O,X,X
ISLTOJZ,X,X,O,O,O,X,O,O,X,X,X,X
ISLTOZJ,X,X,O,O,X,X,X,X,X,O,X,X
ISLJTZO,X,X,O,X,O,X,O,X,O,X,X,X
ISLJTOZ,X,X,O,X,X,O,X,X,O,X,X,O
ISLJZTO,O,X,O,X,O,X,O,X,O,O,X,X
ISLJZOT,O,X,O,X,O,X,O,X,O,O,X,X
ISLJOTZ,X,X,O,X,X,O,X,X,O,X,O,X
ISLJOZT,O,X,O,X,O,X,O,X,O,O,X,X
ISLZTJO,O,X,O,X,O,O,X,X,O,O,X,X
ISLZTOJ,O,X,O,X,O,X,X,X,X,O,X,X
ISLZJTO,O,X,O,X,O,X,O,X,O,O,X,X
ISLZJOT,O,X,O,X,O,X,O,X,O,O,X,X
ISLZOTJ,O,X,O,X,X,X,X,X,X,O,X,X
ISLZOJT,O,X,O,X,O,X,X,X,O,O,X,X
ISLOTJZ,X,X,O,O,X,X,O,O,X,X,O,X
ISLOTZJ,X,X,O,O,X,X,O,X,X,O,X,X
ISLOJTZ,X,X,O,X,X,X,O,O,O,X,O,X
ISLOJZT,O,X,O,X,O,X,O,X,O,O,X,X
ISLOZTJ,O,X,O,X,X,X,X,X,X,O,X,X
ISLOZJT,O,X,O,X,X,X,O,X,O,O,X,X
ISJTLZO,X,X,O,O,O,X,O,X,O,X,X,X
ISJTLOZ,X,X,O,O,O,O,O,X,O,X,X,O
ISJTZLO,X,X,O,O,O,O,O,X,O,X,X,X
ISJTZOL,X,X,O,X,X,O,X,X,O,X,X,X
ISJTOLZ,X,X,O,O,O,O,O,X,O,X,X,O
