sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TISOZLJ,X,O,O,O,X,X,X,X,X,O,X,X
TISOZJL,X,O,O,O,X,X,X,X,X,O,X,X
TIZLJSO,O,O,O,O,O,O,O,X,X,O,X,X
TIZLJOS,O,O,O,X,X,O,O,X,X,X,X,X
TIZLSJO,O,O,O,X,X,O,X,X,X,O,X,X
TIZLSOJ,O,O,O,X,X,X,X,X,X,O,X,X
TIZLOJS,O,O,O,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,O,O,X,X,X,X,X,X,O,X,X
TIZJLSO,O,O,O,O,O,O,O,X,X,O,X,X
TIZJLOS,O,O,O,X,X,O,O,X,X,X,X,X
TIZJSLO,O,O,O,X,X,O,X,X,X,O,X,X
TIZJSOL,X,O,O,X,X,O,X,X,X,O,X,X
TIZJOLS,O,O,O,X,X,O,X,X,X,X,X,X
TIZJOSL,X,O,O,X,X,O,X,X,X,X,X,X
TIZSLJO,O,O,O,X,X,O,X,X,X,O,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X,O,X,X
TIZSJLO,O,O,O,X,X,O,X,X,X,O,X,X
TIZSJOL,X,O,X,X,X,O,X,X,X,O,X,X
TIZSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZSOJL,X,O,O,X,X,X,X,X,X,O,X,X
TIZOLJS,O,O,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,X,X,X,X,X,O,X,X
TIZOJLS,O,O,O,X,X,O,X,X,X,X,X,X
TIZOJSL,X,O,O,X,X,O,X,X,X,X,X,X
