sequence,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBXiBFo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBFnBXo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBWiBxdBUnBFo?BXtB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBuhB3dBxnBls?BctB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBFdBfnB5nBco?BOtB
TLZSOIJ,O,O,O,X,O
TLZSOJI,O,O,O,X,X
TLZOIJS,O,X,O,O,X
TLZOISJ,O,X,O,X,O
TLZOJIS,O,X,O,O,X
TLZOJSI,O,X,O,X,X
TLZOSIJ,O,X,O,X,O
TLZOSJI,O,X,O,X,X
TLOIJSZ,O,X,X,O,X
TLOIJZS,O,X,X,O,X
TLOISJZ,O,X,X,O,O
TLOISZJ,O,X,X,X,O
TLOIZJS,X,X,O,O,X
TLOIZSJ,X,X,O,X,O
TLOJISZ,O,O,X,O,X
TLOJIZS,O,X,X,O,X
TLOJSIZ,O,O,X,O,X
TLOJSZI,O,O,X,X,X
TLOJZIS,O,X,O,O,X
TLOJZSI,O,X,O,X,X
TLOSIJZ,O,O,X,O,O
TLOSIZJ,O,X,X,X,O
TLOSJIZ,O,O,X,O,O
TLOSJZI,O,O,X,X,X
TLOSZIJ,O,O,O,X,O
TLOSZJI,O,O,O,X,X
TLOZIJS,X,X,O,O,X
TLOZISJ,X,X,O,X,O
TLOZJIS,O,X,O,O,X
TLOZJSI,O,X,O,X,X
TLOZSIJ,O,X,O,X,O
TLOZSJI,O,X,O,X,X
TJILSZO,O,O,X,O,X
TJILSOZ,O,O,X,O,X
TJILZSO,O,O,X,O,X
TJILZOS,O,X,X,O,X
TJILOSZ,O,O,X,O,X
TJILOZS,O,X,X,O,X
TJISLZO,O,O,X,O,X
TJISLOZ,O,O,X,O,X
TJISZLO,O,O,X,O,X
TJISZOL,O,O,X,O,X
TJISOLZ,O,O,X,O,X
TJISOZL,O,O,X,O,X
TJIZLSO,O,O,X,O,X
TJIZLOS,O,X,X,O,X
TJIZSLO,O,O,X,O,X
TJIZSOL,O,O,X,O,X
TJIZOLS,O,X,X,O,X
TJIZOSL,O,X,X,O,X
TJIOLSZ,O,O,X,O,X
TJIOLZS,O,X,X,O,X
TJIOSLZ,O,O,X,O,X
TJIOSZL,O,O,X,O,X
TJIOZLS,O,X,X,O,X
TJIOZSL,X,X,X,O,X
TJLISZO,O,O,X,O,X
TJLISOZ,O,O,X,O,X
TJLIZSO,O,O,X,O,X
TJLIZOS,O,X,X,O,X
TJLIOSZ,O,O,X,O,X
TJLIOZS,O,X,X,O,X
TJLSIZO,O,O,X,O,X
TJLSIOZ,O,O,X,O,X
TJLSZIO,O,O,X,X,X
TJLSZOI,O,O,X,X,X
TJLSOIZ,O,O,X,O,X
TJLSOZI,O,O,X,X,X
TJLZISO,O,O,O,O,X
TJLZIOS,O,X,O,O,X
TJLZSIO,O,O,O,X,X
TJLZSOI,O,O,O,X,X
TJLZOIS,O,X,O,O,X
TJLZOSI,O,X,O,X,X
TJLOISZ,O,O,X,O,X
TJLOIZS,O,X,X,O,X
TJLOSIZ,O,O,X,O,X
TJLOSZI,O,O,X,X,X
TJLOZIS,O,X,O,O,X
TJLOZSI,O,X,O,X,X
TJSILZO,O,O,X,O,X
TJSILOZ,O,O,X,O,X
TJSIZLO,O,O,X,O,X
TJSIZOL,O,O,X,O,X
TJSIOLZ,O,O,X,O,X
TJSIOZL,O,O,X,O,X
TJSLIZO,O,O,X,O,X
TJSLIOZ,O,O,X,O,X
TJSLZIO,O,O,X,X,X
TJSLZOI,O,O,X,X,X
TJSLOIZ,O,O,X,O,X
TJSLOZI,O,O,X,X,X
TJSZILO,O,O,X,X,X
TJSZIOL,O,O,X,X,X
TJSZLIO,O,O,X,X,X
TJSZLOI,O,O,X,X,X
TJSZOIL,O,O,X,X,X
TJSZOLI,O,O,X,X,X
TJSOILZ,O,O,X,O,X
TJSOIZL,O,O,X,O,X
TJSOLIZ,O,O,X,O,X
TJSOLZI,O,O,X,X,X
TJSOZIL,O,O,X,X,X
TJSOZLI,O,O,X,X,X
TJZILSO,O,O,O,O,X
TJZILOS,O,X,O,O,X
TJZISLO,O,O,O,O,X
TJZISOL,O,O,O,O,X
TJZIOLS,O,X,O,O,X
TJZIOSL,O,X,O,O,X
TJZLISO,O,O,O,O,X
TJZLIOS,O,X,O,O,X
TJZLSIO,O,O,O,X,X
TJZLSOI,O,O,O,X,X
TJZLOIS,O,X,O,O,X
TJZLOSI,O,X,O,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,X,O,O,X
TJZOISL,O,X,O,O,X
TJZOLIS,O,X,O,O,X
TJZOLSI,O,X,O,X,X
TJZOSIL,O,X,O,X,X
TJZOSLI,O,X,O,X,X
TJOILSZ,O,O,X,O,X
TJOILZS,O,X,X,O,X
TJOISLZ,O,O,X,O,X
TJOISZL,O,O,X,O,X
TJOIZLS,O,X,X,O,X
TJOIZSL,X,X,X,O,X
TJOLISZ,O,O,X,O,X
TJOLIZS,O,X,X,O,X
TJOLSIZ,O,O,X,O,X
TJOLSZI,O,O,X,X,X
TJOLZIS,O,X,O,O,X
TJOLZSI,O,X,O,X,X
TJOSILZ,O,O,X,O,X
TJOSIZL,O,O,X,O,X
TJOSLIZ,O,O,X,O,X
TJOSLZI,O,O,X,X,X
TJOSZIL,O,O,X,X,X
TJOSZLI,O,O,X,X,X
TJOZILS,O,X,O,O,X
TJOZISL,X,X,O,O,X
TJOZLIS,O,X,O,O,X
TJOZLSI,O,X,O,X,X
TJOZSIL,O,X,O,X,X
TJOZSLI,O,X,O,X,X
TSILJZO,O,O,X,O,O
TSILJOZ,O,O,X,O,O
TSILZJO,O,O,X,X,O
TSILZOJ,O,O,X,X,O
TSILOJZ,O,O,X,O,O
TSILOZJ,O,X,X,X,O
TSIJLZO,O,O,X,O,O
TSIJLOZ,O,O,X,O,O
TSIJZLO,O,O,X,O,O
TSIJZOL,O,O,X,O,O
TSIJOLZ,O,O,X,O,O
TSIJOZL,O,O,X,O,O
TSIZLJO,O,O,X,X,O
TSIZLOJ,O,O,X,X,O
TSIZJLO,O,O,X,X,O
TSIZJOL,O,O,X,X,O
TSIZOLJ,O,O,X,X,O
TSIZOJL,O,O,X,X,O
TSIOLJZ,O,O,X,O,O
TSIOLZJ,O,X,X,X,O
TSIOJLZ,O,O,X,O,O
TSIOJZL,O,O,X,O,O
TSIOZLJ,O,X,X,X,O
TSIOZJL,O,X,X,X,O
TSLIJZO,O,O,X,O,O
TSLIJOZ,O,O,X,O,O
TSLIZJO,O,O,X,X,O
TSLIZOJ,O,O,X,X,O
TSLIOJZ,O,O,X,O,O
TSLIOZJ,O,X,X,X,O
TSLJIZO,O,O,X,O,O
TSLJIOZ,O,O,X,O,O
TSLJZIO,O,O,X,X,X
TSLJZOI,O,O,X,X,X
TSLJOIZ,O,O,X,O,O
TSLJOZI,O,O,X,X,X
TSLZIJO,O,O,O,X,O
TSLZIOJ,O,O,O,X,O
TSLZJIO,O,O,O,X,X
TSLZJOI,O,O,O,X,X
TSLZOIJ,O,O,O,X,O
TSLZOJI,O,O,O,X,X
TSLOIJZ,O,O,X,O,O
TSLOIZJ,O,X,X,X,O
TSLOJIZ,O,O,X,O,O
TSLOJZI,O,O,X,X,X
TSLOZIJ,O,O,O,X,O
TSLOZJI,O,O,O,X,X
TSJILZO,O,O,X,O,O
TSJILOZ,O,O,X,O,O
TSJIZLO,O,O,X,O,O
TSJIZOL,O,O,X,O,O
TSJIOLZ,O,O,X,O,O
TSJIOZL,O,O,X,O,O
TSJLIZO,O,O,X,O,O
TSJLIOZ,O,O,X,O,O
TSJLZIO,O,O,X,X,X
TSJLZOI,O,O,X,X,X
TSJLOIZ,O,O,X,O,O
TSJLOZI,O,O,X,X,X
TSJZILO,O,O,X,X,X
TSJZIOL,O,O,X,X,X
TSJZLIO,O,O,X,X,X
TSJZLOI,O,O,X,X,X
TSJZOIL,O,O,X,X,X
TSJZOLI,O,O,X,X,X
TSJOILZ,O,O,X,O,O
TSJOIZL,O,O,X,O,O
TSJOLIZ,O,O,X,O,O
TSJOLZI,O,O,X,X,X
TSJOZIL,O,O,X,X,X
TSJOZLI,O,O,X,X,X
TSZILJO,O,O,O,X,O
TSZILOJ,O,O,O,X,O
TSZIJLO,O,O,O,X,O
TSZIJOL,O,O,O,X,O
TSZIOLJ,O,O,O,X,O
TSZIOJL,O,O,O,X,O
TSZLIJO,O,O,O,X,O
TSZLIOJ,O,O,O,X,O
TSZLJIO,O,O,O,X,X
TSZLJOI,O,O,O,X,X
TSZLOIJ,O,O,O,X,O
TSZLOJI,O,O,O,X,X
TSZJILO,O,O,O,X,X
TSZJIOL,O,O,O,X,X
TSZJLIO,O,O,O,X,X
TSZJLOI,O,O,O,X,X
TSZJOIL,O,O,O,X,X
TSZJOLI,O,O,O,X,X
TSZOILJ,O,O,O,X,O
TSZOIJL,O,O,O,X,O
TSZOLIJ,O,O,O,X,O
TSZOLJI,O,O,O,X,X
TSZOJIL,O,O,O,X,X
TSZOJLI,O,O,O,X,X
TSOILJZ,O,O,X,O,O
TSOILZJ,O,X,X,X,O
TSOIJLZ,O,O,X,O,O
TSOIJZL,O,O,X,O,O
TSOIZLJ,O,X,X,X,O
TSOIZJL,O,X,X,X,O
TSOLIJZ,O,O,X,O,O
TSOLIZJ,O,X,X,X,O
TSOLJIZ,O,O,X,O,O
TSOLJZI,O,O,X,X,X
TSOLZIJ,O,O,O,X,O
TSOLZJI,O,O,O,X,X
TSOJILZ,O,O,X,O,O
TSOJIZL,O,O,X,O,O
TSOJLIZ,O,O,X,O,O
TSOJLZI,O,O,X,X,X
TSOJZIL,O,O,X,X,X
TSOJZLI,O,O,X,X,X
TSOZILJ,O,O,O,X,O
TSOZIJL,O,O,O,X,O
TSOZLIJ,O,O,O,X,O
TSOZLJI,O,O,O,X,X
TSOZJIL,O,O,O,X,X
TSOZJLI,O,O,O,X,X
TZILJSO,O,X,O,O,X
TZILJOS,O,X,O,O,X
TZILSJO,O,X,O,X,O
TZILSOJ,O,X,O,X,O
TZILOJS,O,X,O,O,X
TZILOSJ,O,X,O,X,O
TZIJLSO,O,X,O,O,X
TZIJLOS,O,X,O,O,X
TZIJSLO,O,X,O,O,X
TZIJSOL,O,X,O,O,X
TZIJOLS,O,X,O,O,X
TZIJOSL,O,X,O,O,X
TZISLJO,O,X,O,X,O
TZISLOJ,O,X,O,X,O
TZISJLO,O,X,O,X,O
TZISJOL,O,X,O,X,O
TZISOLJ,O,X,O,X,O
TZISOJL,O,X,O,X,O
TZIOLJS,O,X,O,O,X
TZIOLSJ,O,X,O,X,O
TZIOJLS,O,X,O,O,X
TZIOJSL,O,X,O,O,X
TZIOSLJ,O,X,O,X,O
TZIOSJL,O,X,O,X,O
TZLIJSO,O,X,O,O,X
TZLIJOS,O,X,O,O,X
TZLISJO,O,X,O,X,O
TZLISOJ,O,X,O,X,O
TZLIOJS,O,X,O,O,X
TZLIOSJ,O,X,O,X,O
TZLJISO,O,O,O,O,X
TZLJIOS,O,X,O,O,X
TZLJSIO,O,O,O,X,X
TZLJSOI,O,O,O,X,X
TZLJOIS,O,X,O,O,X
TZLJOSI,O,X,O,X,X
TZLSIJO,O,O,O,X,O
TZLSIOJ,O,O,O,X,O
TZLSJIO,O,O,O,X,X
TZLSJOI,O,O,O,X,X
TZLSOIJ,O,O,O,X,O
TZLSOJI,O,O,O,X,X
TZLOIJS,O,X,O,O,X
TZLOISJ,O,X,O,X,O
TZLOJIS,O,X,O,O,X
TZLOJSI,O,X,O,X,X
TZLOSIJ,O,X,O,X,O
TZLOSJI,O,X,O,X,X
TZJILSO,O,O,O,O,X
TZJILOS,O,X,O,O,X
TZJISLO,O,O,O,O,X
TZJISOL,O,O,O,O,X
TZJIOLS,O,X,O,O,X
TZJIOSL,O,X,O,O,X
TZJLISO,O,O,O,O,X
TZJLIOS,O,X,O,O,X
TZJLSIO,O,O,O,X,X
TZJLSOI,O,O,O,X,X
TZJLOIS,O,X,O,O,X
TZJLOSI,O,X,O,X,X
TZJSILO,O,O,O,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,X,O,O,X
TZJOISL,O,X,O,O,X
TZJOLIS,O,X,O,O,X
TZJOLSI,O,X,O,X,X
TZJOSIL,O,X,O,X,X
TZJOSLI,O,X,O,X,X
TZSILJO,O,O,O,X,O
TZSILOJ,O,O,O,X,O
TZSIJLO,O,O,O,X,O
TZSIJOL,O,O,O,X,O
TZSIOLJ,O,O,O,X,O
TZSIOJL,O,O,O,X,O
TZSLIJO,O,O,O,X,O
TZSLIOJ,O,O,O,X,O
TZSLJIO,O,O,O,X,X
TZSLJOI,O,O,O,X,X
TZSLOIJ,O,O,O,X,O
TZSLOJI,O,O,O,X,X
TZSJILO,O,O,O,X,X
TZSJIOL,O,O,O,X,X
TZSJLIO,O,O,O,X,X
TZSJLOI,O,O,O,X,X
TZSJOIL,O,O,O,X,X
TZSJOLI,O,O,O,X,X
TZSOILJ,O,O,O,X,O
TZSOIJL,O,O,O,X,O
TZSOLIJ,O,O,O,X,O
TZSOLJI,O,O,O,X,X
TZSOJIL,O,O,O,X,X
TZSOJLI,O,O,O,X,X
TZOILJS,O,X,O,O,X
TZOILSJ,O,X,O,X,O
TZOIJLS,O,X,O,O,X
TZOIJSL,O,X,O,O,X
TZOISLJ,O,X,O,X,O
TZOISJL,O,X,O,X,O
TZOLIJS,O,X,O,O,X
TZOLISJ,O,X,O,X,O
TZOLJIS,O,X,O,O,X
TZOLJSI,O,X,O,X,X
TZOLSIJ,O,X,O,X,O
TZOLSJI,O,X,O,X,X
TZOJILS,O,X,O,O,X
TZOJISL,O,X,O,O,X
TZOJLIS,O,X,O,O,X
TZOJLSI,O,X,O,X,X
TZOJSIL,O,X,O,X,X
TZOJSLI,O,X,O,X,X
TZOSILJ,O,X,O,X,O
TZOSIJL,O,X,O,X,O
TZOSLIJ,O,X,O,X,O
TZOSLJI,O,X,O,X,X
TZOSJIL,O,X,O,X,X
TZOSJLI,O,X,O,X,X
TOILJSZ,O,X,X,O,X
TOILJZS,O,X,X,O,X
TOILSJZ,O,X,X,O,O
TOILSZJ,O,X,X,X,O
TOILZJS,X,X,O,O,X
TOILZSJ,X,X,O,X,O
TOIJLSZ,O,X,X,O,X
TOIJLZS,O,X,X,O,X
TOIJSLZ,O,X,X,O,X
TOIJSZL,O,X,X,O,X
TOIJZLS,O,X,X,O,X
