sequence,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBXiBFo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFWhBxcBTeBFnBXo?B0sB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBWiBxdBUnBFo?BXtB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBuhB3dBxnBls?BctB,v115@+gB8GeE8EeF8CeH8BeA8Jei6IvhFzbBFdBfnB5nBco?BOtB
LTJIOZS,O,X,X,O,X
LTJSIZO,O,O,X,O,X
LTJSIOZ,O,O,X,O,X
LTJSZIO,O,O,X,X,X
LTJSZOI,O,O,X,X,X
LTJSOIZ,O,O,X,O,X
LTJSOZI,O,O,X,X,X
LTJZISO,O,O,O,O,X
LTJZIOS,O,X,O,O,X
LTJZSIO,O,O,O,X,X
LTJZSOI,O,O,O,X,X
LTJZOIS,O,X,O,O,X
LTJZOSI,O,X,O,X,X
LTJOISZ,O,O,X,O,X
LTJOIZS,O,X,X,O,X
LTJOSIZ,O,O,X,O,X
LTJOSZI,O,O,X,X,X
LTJOZIS,O,X,O,O,X
LTJOZSI,O,X,O,X,X
LTSIJZO,O,O,X,O,O
LTSIJOZ,O,O,X,O,O
LTSIZJO,O,O,X,X,O
LTSIZOJ,O,O,X,X,O
LTSIOJZ,O,O,X,O,O
LTSIOZJ,O,X,X,X,O
LTSJIZO,O,O,X,O,O
LTSJIOZ,O,O,X,O,O
LTSJZIO,O,O,X,X,X
LTSJZOI,O,O,X,X,X
LTSJOIZ,O,O,X,O,O
LTSJOZI,O,O,X,X,X
LTSZIJO,O,O,O,X,O
LTSZIOJ,O,O,O,X,O
LTSZJIO,O,O,O,X,X
LTSZJOI,O,O,O,X,X
LTSZOIJ,O,O,O,X,O
LTSZOJI,O,O,O,X,X
LTSOIJZ,O,O,X,O,O
LTSOIZJ,O,X,X,X,O
LTSOJIZ,O,O,X,O,O
LTSOJZI,O,O,X,X,X
LTSOZIJ,O,O,O,X,O
LTSOZJI,O,O,O,X,X
LTZIJSO,O,X,O,O,X
LTZIJOS,O,X,O,O,X
LTZISJO,O,X,O,X,O
LTZISOJ,O,X,O,X,O
LTZIOJS,O,X,O,O,X
LTZIOSJ,O,X,O,X,O
LTZJISO,O,O,O,O,X
LTZJIOS,O,X,O,O,X
LTZJSIO,O,O,O,X,X
LTZJSOI,O,O,O,X,X
LTZJOIS,O,X,O,O,X
LTZJOSI,O,X,O,X,X
LTZSIJO,O,O,O,X,O
LTZSIOJ,O,O,O,X,O
LTZSJIO,O,O,O,X,X
LTZSJOI,O,O,O,X,X
LTZSOIJ,O,O,O,X,O
LTZSOJI,O,O,O,X,X
LTZOIJS,O,X,O,O,X
LTZOISJ,O,X,O,X,O
LTZOJIS,O,X,O,O,X
LTZOJSI,O,X,O,X,X
LTZOSIJ,O,X,O,X,O
LTZOSJI,O,X,O,X,X
LTOIJSZ,O,X,X,O,X
LTOIJZS,O,X,X,O,X
LTOISJZ,O,X,X,O,O
LTOISZJ,O,X,X,X,O
LTOIZJS,X,X,O,O,X
LTOIZSJ,X,X,O,X,O
LTOJISZ,O,O,X,O,X
LTOJIZS,O,X,X,O,X
LTOJSIZ,O,O,X,O,X
LTOJSZI,O,O,X,X,X
LTOJZIS,O,X,O,O,X
LTOJZSI,O,X,O,X,X
LTOSIJZ,O,O,X,O,O
LTOSIZJ,O,X,X,X,O
LTOSJIZ,O,O,X,O,O
LTOSJZI,O,O,X,X,X
LTOSZIJ,O,O,O,X,O
LTOSZJI,O,O,O,X,X
LTOZIJS,X,X,O,O,X
LTOZISJ,X,X,O,X,O
LTOZJIS,O,X,O,O,X
LTOZJSI,O,X,O,X,X
LTOZSIJ,O,X,O,X,O
LTOZSJI,O,X,O,X,X
LITJSZO,O,O,X,O,X
LITJSOZ,O,O,X,O,X
LITJZSO,X,O,X,O,X
LITJZOS,O,X,X,O,X
LITJOSZ,O,O,X,O,X
LITJOZS,O,X,X,O,X
LITSJZO,O,O,X,O,O
LITSJOZ,O,O,X,O,O
LITSZJO,O,O,X,X,O
LITSZOJ,O,O,X,X,O
LITSOJZ,O,O,X,O,O
LITSOZJ,O,X,X,X,O
LITZJSO,X,X,O,O,X
LITZJOS,X,X,O,O,X
LITZSJO,X,X,O,X,O
LITZSOJ,X,X,O,X,O
LITZOJS,X,X,O,O,X
LITZOSJ,X,X,O,X,O
LITOJSZ,O,X,X,O,X
LITOJZS,O,X,X,O,X
LITOSJZ,O,X,X,O,O
LITOSZJ,O,X,X,X,O
LITOZJS,X,X,O,O,X
LITOZSJ,X,X,O,X,O
LIJTSZO,O,O,X,O,X
LIJTSOZ,O,O,X,O,X
LIJTZSO,O,O,X,O,X
LIJTZOS,O,X,X,O,X
LIJTOSZ,O,O,X,O,X
LIJTOZS,O,X,X,O,X
LIJSTZO,O,O,X,O,O
LIJSTOZ,O,O,X,O,O
LIJSZTO,O,O,X,X,O
LIJSZOT,O,O,X,X,O
LIJSOTZ,O,O,X,O,O
LIJSOZT,O,O,X,X,O
LIJZTSO,O,O,X,O,X
LIJZTOS,O,X,X,O,X
LIJZSTO,O,O,X,X,O
LIJZSOT,O,O,X,X,O
LIJZOTS,O,X,X,O,X
LIJZOST,O,X,X,X,O
LIJOTSZ,O,O,X,O,X
LIJOTZS,O,X,X,O,X
LIJOSTZ,O,O,X,O,O
LIJOSZT,O,O,X,X,O
LIJOZTS,O,X,X,O,X
LIJOZST,O,X,X,X,O
LISTJZO,O,O,X,X,O
LISTJOZ,O,O,X,X,O
LISTZJO,O,O,X,X,O
LISTZOJ,O,O,X,X,O
LISTOJZ,O,O,X,X,O
LISTOZJ,O,X,X,X,O
LISJTZO,O,O,X,O,O
LISJTOZ,O,O,X,O,O
LISJZTO,O,O,X,X,O
LISJZOT,O,O,X,X,O
LISJOTZ,O,O,X,O,O
LISJOZT,O,O,X,X,O
LISZTJO,O,X,X,X,O
LISZTOJ,O,X,X,X,O
LISZJTO,O,X,X,X,O
LISZJOT,O,X,X,X,O
LISZOTJ,O,X,X,X,O
LISZOJT,O,X,X,X,O
LISOTJZ,O,O,X,X,O
LISOTZJ,O,X,X,X,O
LISOJTZ,O,O,X,O,O
LISOJZT,O,O,X,X,O
LISOZTJ,O,X,X,X,O
LISOZJT,O,X,X,X,O
LIZTJSO,O,X,O,X,X
LIZTJOS,O,X,O,X,X
LIZTSJO,O,X,O,X,O
LIZTSOJ,O,X,O,X,O
LIZTOJS,O,X,O,X,X
LIZTOSJ,O,X,O,X,O
LIZJTSO,O,X,O,O,X
LIZJTOS,O,X,O,O,X
LIZJSTO,O,X,X,X,O
LIZJSOT,O,X,O,X,O
LIZJOTS,O,X,O,O,X
LIZJOST,O,X,O,X,O
LIZSTJO,O,X,X,X,O
LIZSTOJ,O,X,X,X,O
LIZSJTO,O,X,X,X,O
LIZSJOT,O,X,X,X,O
LIZSOTJ,O,X,X,X,O
LIZSOJT,O,X,X,X,O
LIZOTJS,X,X,O,X,X
LIZOTSJ,X,X,O,X,O
LIZOJTS,X,X,O,O,X
LIZOJST,X,X,O,X,O
LIZOSTJ,X,X,X,X,O
LIZOSJT,X,X,X,X,O
LIOTJSZ,X,X,X,O,X
LIOTJZS,X,X,X,O,X
LIOTSJZ,X,X,X,O,O
LIOTSZJ,X,X,X,X,O
LIOTZJS,X,X,O,O,X
LIOTZSJ,X,X,O,X,O
LIOJTSZ,X,X,X,O,X
LIOJTZS,X,X,X,O,X
LIOJSTZ,X,X,X,O,O
LIOJSZT,X,X,X,X,O
LIOJZTS,X,X,X,O,X
LIOJZST,X,X,X,X,O
LIOSTJZ,X,X,X,X,O
LIOSTZJ,X,X,X,X,O
LIOSJTZ,X,X,X,O,O
LIOSJZT,X,X,X,X,O
LIOSZTJ,X,X,X,X,O
LIOSZJT,X,X,X,X,O
LIOZTJS,X,X,O,X,X
LIOZTSJ,X,X,O,X,O
LIOZJTS,X,X,O,O,X
LIOZJST,X,X,O,X,O
LIOZSTJ,X,X,X,X,O
LIOZSJT,X,X,X,X,O
LJTISZO,O,O,X,O,X
LJTISOZ,O,O,X,O,X
LJTIZSO,O,O,X,O,X
LJTIZOS,O,X,X,O,X
LJTIOSZ,O,O,X,O,X
LJTIOZS,O,X,X,O,X
LJTSIZO,O,O,X,O,X
LJTSIOZ,O,O,X,O,X
LJTSZIO,O,O,X,X,X
LJTSZOI,O,O,X,X,X
LJTSOIZ,O,O,X,O,X
LJTSOZI,O,O,X,X,X
LJTZISO,O,O,O,O,X
LJTZIOS,O,X,O,O,X
LJTZSIO,O,O,O,X,X
LJTZSOI,O,O,O,X,X
LJTZOIS,O,X,O,O,X
LJTZOSI,O,X,O,X,X
LJTOISZ,O,O,X,O,X
LJTOIZS,O,X,X,O,X
LJTOSIZ,O,O,X,O,X
LJTOSZI,O,O,X,X,X
LJTOZIS,O,X,O,O,X
LJTOZSI,O,X,O,X,X
LJITSZO,O,O,X,O,X
LJITSOZ,O,O,X,O,X
LJITZSO,O,O,X,O,X
LJITZOS,O,X,X,O,X
LJITOSZ,O,O,X,O,X
LJITOZS,O,X,X,O,X
LJISTZO,O,O,X,O,O
LJISTOZ,O,O,X,O,O
LJISZTO,O,O,X,X,O
LJISZOT,O,O,X,X,O
LJISOTZ,O,O,X,O,O
LJISOZT,O,O,X,X,O
LJIZTSO,O,O,X,O,X
LJIZTOS,O,X,X,O,X
LJIZSTO,O,O,X,X,O
LJIZSOT,O,O,X,X,O
LJIZOTS,O,X,X,O,X
LJIZOST,O,X,X,X,O
LJIOTSZ,O,O,X,O,X
LJIOTZS,O,X,X,O,X
LJIOSTZ,O,O,X,O,O
LJIOSZT,O,O,X,X,O
LJIOZTS,O,X,X,O,X
LJIOZST,O,X,X,X,O
LJSTIZO,O,O,X,O,O
LJSTIOZ,O,O,X,O,O
LJSTZIO,O,O,X,X,X
LJSTZOI,O,O,X,X,X
LJSTOIZ,O,O,X,O,O
LJSTOZI,O,O,X,X,X
LJSITZO,O,O,X,O,O
LJSITOZ,O,O,X,O,O
LJSIZTO,O,O,X,X,O
LJSIZOT,O,O,X,X,O
LJSIOTZ,O,O,X,O,O
LJSIOZT,O,O,X,X,O
LJSZTIO,O,O,X,X,X
LJSZTOI,O,O,X,X,X
LJSZITO,O,O,X,X,O
LJSZIOT,O,O,X,X,O
LJSZOTI,O,O,X,X,X
LJSZOIT,O,O,X,X,O
LJSOTIZ,O,O,X,O,O
LJSOTZI,O,O,X,X,X
LJSOITZ,O,O,X,O,O
LJSOIZT,O,O,X,X,O
LJSOZTI,O,O,X,X,X
LJSOZIT,O,O,X,X,O
LJZTISO,O,O,O,O,X
LJZTIOS,O,X,O,O,X
LJZTSIO,O,O,O,X,X
LJZTSOI,O,O,O,X,X
LJZTOIS,O,X,O,O,X
LJZTOSI,O,X,O,X,X
LJZITSO,O,O,O,O,X
LJZITOS,O,X,O,O,X
LJZISTO,O,O,X,X,O
LJZISOT,O,O,O,X,O
LJZIOTS,O,X,O,O,X
LJZIOST,O,X,O,X,O
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,X,X,O
LJZSIOT,O,O,O,X,O
LJZSOTI,O,O,O,X,X
LJZSOIT,O,O,O,X,O
LJZOTIS,O,X,O,O,X
LJZOTSI,O,X,O,X,X
LJZOITS,O,X,O,O,X
LJZOIST,O,X,O,X,O
LJZOSTI,O,X,O,X,X
LJZOSIT,O,X,O,X,O
LJOTISZ,O,O,X,O,X
LJOTIZS,O,X,X,O,X
LJOTSIZ,O,O,X,O,X
LJOTSZI,O,O,X,X,X
LJOTZIS,O,X,O,O,X
LJOTZSI,O,X,O,X,X
LJOITSZ,O,O,X,O,X
LJOITZS,O,X,X,O,X
LJOISTZ,O,O,X,O,O
LJOISZT,O,O,X,X,O
LJOIZTS,O,X,X,O,X
LJOIZST,O,X,X,X,O
LJOSTIZ,O,O,X,O,O
LJOSTZI,O,O,X,X,X
LJOSITZ,O,O,X,O,O
LJOSIZT,O,O,X,X,O
LJOSZTI,O,O,X,X,X
LJOSZIT,O,O,X,X,O
LJOZTIS,O,X,O,O,X
LJOZTSI,O,X,O,X,X
LJOZITS,O,X,O,O,X
LJOZIST,O,X,O,X,O
LJOZSTI,O,X,O,X,X
LJOZSIT,O,X,O,X,O
LSTIJZO,O,O,X,O,O
LSTIJOZ,O,O,X,O,O
LSTIZJO,O,O,X,X,O
LSTIZOJ,O,O,X,X,O
LSTIOJZ,O,O,X,O,O
LSTIOZJ,O,X,X,X,O
LSTJIZO,O,O,X,O,O
LSTJIOZ,O,O,X,O,O
LSTJZIO,O,O,X,X,X
LSTJZOI,O,O,X,X,X
LSTJOIZ,O,O,X,O,O
LSTJOZI,O,O,X,X,X
LSTZIJO,O,O,O,X,O
LSTZIOJ,O,O,O,X,O
LSTZJIO,O,O,O,X,X
LSTZJOI,O,O,O,X,X
LSTZOIJ,O,O,O,X,O
LSTZOJI,O,O,O,X,X
LSTOIJZ,O,O,X,O,O
LSTOIZJ,O,X,X,X,O
LSTOJIZ,O,O,X,O,O
LSTOJZI,O,O,X,X,X
LSTOZIJ,O,O,O,X,O
LSTOZJI,O,O,O,X,X
LSITJZO,O,O,X,X,O
LSITJOZ,O,O,X,X,O
LSITZJO,O,O,X,X,O
LSITZOJ,O,O,X,X,O
LSITOJZ,O,O,X,X,O
LSITOZJ,O,X,X,X,O
LSIJTZO,O,O,X,O,O
LSIJTOZ,O,O,X,O,O
LSIJZTO,O,O,X,X,O
LSIJZOT,O,O,X,X,O
LSIJOTZ,O,O,X,O,O
LSIJOZT,O,O,X,X,O
LSIZTJO,O,X,X,X,O
LSIZTOJ,O,X,X,X,O
LSIZJTO,O,X,X,X,O
LSIZJOT,O,X,X,X,O
LSIZOTJ,O,X,X,X,O
LSIZOJT,O,X,X,X,O
LSIOTJZ,O,O,X,X,O
LSIOTZJ,O,X,X,X,O
LSIOJTZ,O,O,X,O,O
LSIOJZT,O,O,X,X,O
LSIOZTJ,O,X,X,X,O
LSIOZJT,O,X,X,X,O
LSJTIZO,O,O,X,O,O
LSJTIOZ,O,O,X,O,O
LSJTZIO,O,O,X,X,X
LSJTZOI,O,O,X,X,X
LSJTOIZ,O,O,X,O,O
LSJTOZI,O,O,X,X,X
LSJITZO,O,O,X,O,O
LSJITOZ,O,O,X,O,O
LSJIZTO,O,O,X,X,O
LSJIZOT,O,O,X,X,O
LSJIOTZ,O,O,X,O,O
LSJIOZT,O,O,X,X,O
LSJZTIO,O,O,X,X,X
LSJZTOI,O,O,X,X,X
LSJZITO,O,O,X,X,O
LSJZIOT,O,O,X,X,O
LSJZOTI,O,O,X,X,X
LSJZOIT,O,O,X,X,O
LSJOTIZ,O,O,X,O,O
LSJOTZI,O,O,X,X,X
LSJOITZ,O,O,X,O,O
LSJOIZT,O,O,X,X,O
LSJOZTI,O,O,X,X,X
LSJOZIT,O,O,X,X,O
LSZTIJO,O,O,O,X,O
LSZTIOJ,O,O,O,X,O
LSZTJIO,O,O,O,X,X
LSZTJOI,O,O,O,X,X
LSZTOIJ,O,O,O,X,O
LSZTOJI,O,O,O,X,X
LSZITJO,O,X,X,X,O
LSZITOJ,O,X,X,X,O
LSZIJTO,O,X,X,X,O
LSZIJOT,O,X,X,X,O
LSZIOTJ,O,X,X,X,O
LSZIOJT,O,X,X,X,O
LSZJTIO,O,O,O,X,X
LSZJTOI,O,O,O,X,X
LSZJITO,O,O,X,X,O
LSZJIOT,O,O,O,X,O
LSZJOTI,O,O,O,X,X
LSZJOIT,O,O,O,X,O
LSZOTIJ,O,X,O,X,O
LSZOTJI,O,O,O,X,X
LSZOITJ,O,X,X,X,O
LSZOIJT,O,X,X,X,O
LSZOJTI,O,O,O,X,X
LSZOJIT,O,O,O,X,O
LSOTIJZ,O,O,X,O,O
LSOTIZJ,O,X,X,X,O
LSOTJIZ,O,O,X,O,O
LSOTJZI,O,O,X,X,X
LSOTZIJ,O,O,O,X,O
LSOTZJI,O,O,O,X,X
LSOITJZ,O,O,X,X,O
LSOITZJ,O,X,X,X,O
LSOIJTZ,O,O,X,O,O
LSOIJZT,O,O,X,X,O
LSOIZTJ,O,X,X,X,O
LSOIZJT,O,X,X,X,O
LSOJTIZ,O,O,X,O,O
LSOJTZI,O,O,X,X,X
LSOJITZ,O,O,X,O,O
LSOJIZT,O,O,X,X,O
LSOJZTI,O,O,X,X,X
LSOJZIT,O,O,X,X,O
LSOZTIJ,O,X,O,X,O
LSOZTJI,O,O,O,X,X
LSOZITJ,O,X,X,X,O
LSOZIJT,O,X,X,X,O
LSOZJTI,O,O,O,X,X
LSOZJIT,O,O,O,X,O
LZTIJSO,O,X,O,O,X
LZTIJOS,O,X,O,O,X
LZTISJO,O,X,O,X,O
LZTISOJ,O,X,O,X,O
LZTIOJS,O,X,O,O,X
LZTIOSJ,O,X,O,X,O
LZTJISO,O,O,O,O,X
LZTJIOS,O,X,O,O,X
LZTJSIO,O,O,O,X,X
LZTJSOI,O,O,O,X,X
LZTJOIS,O,X,O,O,X
LZTJOSI,O,X,O,X,X
LZTSIJO,O,O,O,X,O
LZTSIOJ,O,O,O,X,O
LZTSJIO,O,O,O,X,X
LZTSJOI,O,O,O,X,X
LZTSOIJ,O,O,O,X,O
LZTSOJI,O,O,O,X,X
LZTOIJS,O,X,O,O,X
LZTOISJ,O,X,O,X,O
LZTOJIS,O,X,O,O,X
LZTOJSI,O,X,O,X,X
LZTOSIJ,O,X,O,X,O
LZTOSJI,O,X,O,X,X
LZITJSO,O,X,O,X,X
LZITJOS,O,X,O,X,X
LZITSJO,O,X,O,X,O
LZITSOJ,O,X,O,X,O
LZITOJS,O,X,O,X,X
LZITOSJ,O,X,O,X,O
LZIJTSO,O,X,O,O,X
LZIJTOS,O,X,O,O,X
LZIJSTO,O,X,X,X,O
LZIJSOT,O,X,O,X,O
LZIJOTS,O,X,O,O,X
LZIJOST,O,X,O,X,O
LZISTJO,O,X,X,X,O
LZISTOJ,O,X,X,X,O
LZISJTO,O,X,X,X,O
LZISJOT,O,X,X,X,O
LZISOTJ,O,X,X,X,O
LZISOJT,O,X,X,X,O
LZIOTJS,X,X,O,X,X
LZIOTSJ,X,X,O,X,O
LZIOJTS,X,X,O,O,X
LZIOJST,X,X,O,X,O
LZIOSTJ,X,X,X,X,O
LZIOSJT,X,X,X,X,O
LZJTISO,O,O,O,O,X
LZJTIOS,O,X,O,O,X
LZJTSIO,O,O,O,X,X
LZJTSOI,O,O,O,X,X
LZJTOIS,O,X,O,O,X
LZJTOSI,O,X,O,X,X
LZJITSO,O,O,O,O,X
LZJITOS,O,X,O,O,X
LZJISTO,O,O,X,X,O
LZJISOT,O,O,O,X,O
LZJIOTS,O,X,O,O,X
LZJIOST,O,X,O,X,O
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,X,X,O
LZJSIOT,O,O,O,X,O
LZJSOTI,O,O,O,X,X
LZJSOIT,O,O,O,X,O
LZJOTIS,O,X,O,O,X
LZJOTSI,O,X,O,X,X
LZJOITS,O,X,O,O,X
LZJOIST,O,X,O,X,O
LZJOSTI,O,X,O,X,X
LZJOSIT,O,X,O,X,O
LZSTIJO,O,O,O,X,O
LZSTIOJ,O,O,O,X,O
LZSTJIO,O,O,O,X,X
LZSTJOI,O,O,O,X,X
LZSTOIJ,O,O,O,X,O
LZSTOJI,O,O,O,X,X
LZSITJO,O,X,X,X,O
LZSITOJ,O,X,X,X,O
LZSIJTO,O,X,X,X,O
LZSIJOT,O,X,X,X,O
LZSIOTJ,O,X,X,X,O
LZSIOJT,O,X,X,X,O
LZSJTIO,O,O,O,X,X
LZSJTOI,O,O,O,X,X
LZSJITO,O,O,X,X,O
LZSJIOT,O,O,O,X,O
LZSJOTI,O,O,O,X,X
LZSJOIT,O,O,O,X,O
LZSOTIJ,O,X,O,X,O
LZSOTJI,O,O,O,X,X
LZSOITJ,O,X,X,X,O
LZSOIJT,O,X,X,X,O
LZSOJTI,O,O,O,X,X
LZSOJIT,O,O,O,X,O
LZOTIJS,O,X,O,O,X
LZOTISJ,O,X,O,X,O
LZOTJIS,O,X,O,O,X
LZOTJSI,O,X,O,X,X
LZOTSIJ,O,X,O,X,O
LZOTSJI,O,X,O,X,X
LZOITJS,X,X,O,X,X
LZOITSJ,X,X,O,X,O
LZOIJTS,X,X,O,O,X
LZOIJST,X,X,O,X,O
LZOISTJ,X,X,X,X,O
LZOISJT,X,X,X,X,O
LZOJTIS,O,X,O,O,X
LZOJTSI,O,X,O,X,X
LZOJITS,O,X,O,O,X
LZOJIST,O,X,O,X,O
LZOJSTI,O,X,O,X,X
LZOJSIT,O,X,O,X,O
LZOSTIJ,O,X,O,X,O
LZOSTJI,O,X,O,X,X
LZOSITJ,O,X,X,X,O
LZOSIJT,O,X,X,X,O
LZOSJTI,O,X,O,X,X
LZOSJIT,O,X,O,X,O
LOTIJSZ,O,X,X,O,X
LOTIJZS,O,X,X,O,X
LOTISJZ,O,X,X,O,O
LOTISZJ,O,X,X,X,O
LOTIZJS,X,X,O,O,X
LOTIZSJ,X,X,O,X,O
LOTJISZ,O,O,X,O,X
LOTJIZS,O,X,X,O,X
LOTJSIZ,O,O,X,O,X
LOTJSZI,O,O,X,X,X
LOTJZIS,O,X,O,O,X
LOTJZSI,O,X,O,X,X
LOTSIJZ,O,O,X,O,O
LOTSIZJ,O,X,X,X,O
LOTSJIZ,O,O,X,O,O
LOTSJZI,O,O,X,X,X
LOTSZIJ,O,O,O,X,O
LOTSZJI,O,O,O,X,X
LOTZIJS,X,X,O,O,X
LOTZISJ,X,X,O,X,O
LOTZJIS,O,X,O,O,X
LOTZJSI,O,X,O,X,X
LOTZSIJ,O,X,O,X,O
LOTZSJI,O,X,O,X,X
LOITJSZ,X,X,X,O,X
LOITJZS,X,X,X,O,X
LOITSJZ,X,X,X,O,O
LOITSZJ,X,X,X,X,O
LOITZJS,X,X,O,O,X
LOITZSJ,X,X,O,X,O
LOIJTSZ,X,X,X,O,X
LOIJTZS,X,X,X,O,X
LOIJSTZ,X,X,X,O,O
LOIJSZT,X,X,X,X,O
LOIJZTS,X,X,X,O,X
LOIJZST,X,X,X,X,O
LOISTJZ,X,X,X,X,O
LOISTZJ,X,X,X,X,O
LOISJTZ,X,X,X,O,O
LOISJZT,X,X,X,X,O
LOISZTJ,X,X,X,X,O
LOISZJT,X,X,X,X,O
LOIZTJS,X,X,O,X,X
LOIZTSJ,X,X,O,X,O
LOIZJTS,X,X,O,O,X
LOIZJST,X,X,O,X,O
LOIZSTJ,X,X,X,X,O
LOIZSJT,X,X,X,X,O
LOJTISZ,O,O,X,O,X
LOJTIZS,O,X,X,O,X
LOJTSIZ,O,O,X,O,X
LOJTSZI,O,O,X,X,X
LOJTZIS,O,X,O,O,X
LOJTZSI,O,X,O,X,X
LOJITSZ,O,O,X,O,X
LOJITZS,O,X,X,O,X
LOJISTZ,O,O,X,O,O
LOJISZT,O,O,X,X,O
LOJIZTS,O,X,X,O,X
LOJIZST,O,X,X,X,O
LOJSTIZ,O,O,X,O,O
LOJSTZI,O,O,X,X,X
LOJSITZ,O,O,X,O,O
LOJSIZT,O,O,X,X,O
LOJSZTI,O,O,X,X,X
LOJSZIT,O,O,X,X,O
LOJZTIS,O,X,O,O,X
LOJZTSI,O,X,O,X,X
LOJZITS,O,X,O,O,X
LOJZIST,O,X,O,X,O
LOJZSTI,O,X,O,X,X
LOJZSIT,O,X,O,X,O
LOSTIJZ,O,O,X,O,O
LOSTIZJ,O,X,X,X,O
LOSTJIZ,O,O,X,O,O
LOSTJZI,O,O,X,X,X
LOSTZIJ,O,O,O,X,O
LOSTZJI,O,O,O,X,X
LOSITJZ,O,O,X,X,O
LOSITZJ,O,X,X,X,O
LOSIJTZ,O,O,X,O,O
LOSIJZT,O,O,X,X,O
LOSIZTJ,O,X,X,X,O
LOSIZJT,O,X,X,X,O
LOSJTIZ,O,O,X,O,O
LOSJTZI,O,O,X,X,X
LOSJITZ,O,O,X,O,O
LOSJIZT,O,O,X,X,O
LOSJZTI,O,O,X,X,X
LOSJZIT,O,O,X,X,O
LOSZTIJ,O,X,O,X,O
LOSZTJI,O,O,O,X,X
LOSZITJ,O,X,X,X,O
LOSZIJT,O,X,X,X,O
LOSZJTI,O,O,O,X,X
LOSZJIT,O,O,O,X,O
LOZTIJS,O,X,O,O,X
LOZTISJ,O,X,O,X,O
LOZTJIS,O,X,O,O,X
LOZTJSI,O,X,O,X,X
LOZTSIJ,O,X,O,X,O
LOZTSJI,O,X,O,X,X
LOZITJS,X,X,O,X,X
LOZITSJ,X,X,O,X,O
LOZIJTS,X,X,O,O,X
LOZIJST,X,X,O,X,O
LOZISTJ,X,X,X,X,O
LOZISJT,X,X,X,X,O
LOZJTIS,O,X,O,O,X
LOZJTSI,O,X,O,X,X
LOZJITS,O,X,O,O,X
LOZJIST,O,X,O,X,O
LOZJSTI,O,X,O,X,X
LOZJSIT,O,X,O,X,O
LOZSTIJ,O,X,O,X,O
LOZSTJI,O,X,O,X,X
LOZSITJ,O,X,X,X,O
LOZSIJT,O,X,X,X,O
LOZSJTI,O,X,O,X,X
LOZSJIT,O,X,O,X,O
JTILSZO,O,O,X,O,X
JTILSOZ,O,O,X,O,X
JTILZSO,O,O,X,O,X
JTILZOS,O,X,X,O,X
JTILOSZ,O,O,X,O,X
JTILOZS,O,X,X,O,X
JTISLZO,O,O,X,O,X
JTISLOZ,O,O,X,O,X
JTISZLO,O,O,X,O,X
JTISZOL,O,O,X,O,X
JTISOLZ,O,O,X,O,X
JTISOZL,O,O,X,O,X
JTIZLSO,O,O,X,O,X
JTIZLOS,O,X,X,O,X
JTIZSLO,O,O,X,O,X
JTIZSOL,O,O,X,O,X
JTIZOLS,O,X,X,O,X
JTIZOSL,O,X,X,O,X
JTIOLSZ,O,O,X,O,X
JTIOLZS,O,X,X,O,X
JTIOSLZ,O,O,X,O,X
JTIOSZL,O,O,X,O,X
JTIOZLS,O,X,X,O,X
JTIOZSL,X,X,X,O,X
JTLISZO,O,O,X,O,X
JTLISOZ,O,O,X,O,X
JTLIZSO,O,O,X,O,X
JTLIZOS,O,X,X,O,X
JTLIOSZ,O,O,X,O,X
JTLIOZS,O,X,X,O,X
JTLSIZO,O,O,X,O,X
JTLSIOZ,O,O,X,O,X
JTLSZIO,O,O,X,X,X
JTLSZOI,O,O,X,X,X
JTLSOIZ,O,O,X,O,X
JTLSOZI,O,O,X,X,X
JTLZISO,O,O,O,O,X
JTLZIOS,O,X,O,O,X
JTLZSIO,O,O,O,X,X
JTLZSOI,O,O,O,X,X
JTLZOIS,O,X,O,O,X
JTLZOSI,O,X,O,X,X
JTLOISZ,O,O,X,O,X
JTLOIZS,O,X,X,O,X
JTLOSIZ,O,O,X,O,X
JTLOSZI,O,O,X,X,X
JTLOZIS,O,X,O,O,X
JTLOZSI,O,X,O,X,X
JTSILZO,O,O,X,O,X
JTSILOZ,O,O,X,O,X
JTSIZLO,O,O,X,O,X
JTSIZOL,O,O,X,O,X
JTSIOLZ,O,O,X,O,X
JTSIOZL,O,O,X,O,X
JTSLIZO,O,O,X,O,X
JTSLIOZ,O,O,X,O,X
JTSLZIO,O,O,X,X,X
JTSLZOI,O,O,X,X,X
JTSLOIZ,O,O,X,O,X
JTSLOZI,O,O,X,X,X
JTSZILO,O,O,X,X,X
JTSZIOL,O,O,X,X,X
JTSZLIO,O,O,X,X,X
JTSZLOI,O,O,X,X,X
JTSZOIL,O,O,X,X,X
JTSZOLI,O,O,X,X,X
JTSOILZ,O,O,X,O,X
JTSOIZL,O,O,X,O,X
JTSOLIZ,O,O,X,O,X
JTSOLZI,O,O,X,X,X
JTSOZIL,O,O,X,X,X
