sequence,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxiBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oB0rBms?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBxiBesBStBXr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFymBziB5oBXrBms?B0rB,v115@9gC8GeB8HeC8GeC8DeA8LeRBJvhF3iB9oB6qBOrBzr?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmB5oB8qBznByw?BmsB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoB0rBTt?BXrB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhF9mBSoBzqBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBSoBXrBxsBes?BUtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFmhBCjB0rBxsBXr?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFtmBziB5oB8qBms?BywB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFxiBmmBCoBXrBTt?B0rB,v115@9gC8GeB8HeC8GeC8DeA8Le3AJvhFcmBxnBdsBCoBWw?BTtB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFzhB0rBxsBerBft?B6tB,v115@9gC8GeB8HeC8GeC8DeA8Le9FJvhFThBXjByrB+tB0n?BRwB,v115@9gC8GeB8HeC8GeC8DeA8Le9GJvhFxiB0lBesBftB6t?BzqB,v115@9gC8GeB8HeC8GeC8DeA8LemCJvhF5oB0lBdsBftBTr?BCrB
TIZJSOL,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,O
TIZJOLS,X,O,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TIZJOSL,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TIZSLJO,O,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O
TIZSLOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
TIZSJLO,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TIZSJOL,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,O
TIZSOLJ,O,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O
TIZSOJL,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
TIZOLJS,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIZOSLJ,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
TIZOSJL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
TIOLJSZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOLJZS,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
TIOLSJZ,O,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X
TIOLSZJ,O,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
TIOLZJS,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O,X,X
TIOLZSJ,O,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
TIOJLSZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOJLZS,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TIOJSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOJSZL,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TIOSZLJ,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
TIOSZJL,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
TIOZLJS,O,O,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
TIOZSLJ,O,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,O
TIOZSJL,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
TLIJSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJZSO,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIJZOS,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLISJZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O
TLISJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
TLISZOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLISOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISOZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TLIZJOS,O,O,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
TLIZSJO,O,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,O
TLIZSOJ,O,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,O
TLIZOJS,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJSIOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TLJSZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSOIZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSOZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJZISO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TLSIJOZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSIZJO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
TLSIZOJ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLSIOJZ,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSJIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLSJZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJOZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLSZIOJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLSZJIO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
TLSZJOI,O,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSOIZJ,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TLSOJIZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSOJZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLSOZJI,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TLZIJSO,O,O,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X
TLZIJOS,O,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TLZISJO,O,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,O
TLZISOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,O
TLZIOJS,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZSIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZSJIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZSJOI,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLZSOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOIJZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOISZJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLOIZJS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJIZS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJSZI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJZIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSJZI,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLOSZJI,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TLOZIJS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZJIS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZJSI,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TLOZSJI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TJILSZO,O,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TJILSOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJILZSO,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TJILZOS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TJILOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJILOZS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TJISLZO,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O
TJISLOZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X
TJISZLO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O
TJISZOL,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TJISOLZ,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJISOZL,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
TJIZLSO,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X
TJIZLOS,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X
TJIZSLO,O,O,X,O,O,X,X,X,X,O,O,X,X,O,O,O,O
TJIZSOL,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O
TJIZOLS,O,O,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X
TJIZOSL,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X
TJIOLSZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIOLZS,O,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X
TJIOSLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIOSZL,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLISZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIZOS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLSIZO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TJLSIOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X
TJLSZIO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLSZOI,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TJLSOIZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TJLSOZI,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X
TJLZISO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLZIOS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TJLZSOI,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,O,X
TJLZOIS,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TJLOISZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSILZO,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
TJSILOZ,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,O,X
TJSIZLO,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O,O
TJSIZOL,O,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O
