sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeBXmBm?nB5nB0rB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB
ISJLTOZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJLOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
ISJZTOL,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
ISJZLTO,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
ISJZLOT,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISJZOTL,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ISJZOLT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOTLZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOTZL,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISZTLJO,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ISZTLOJ,O,X,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X
ISZTJLO,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ISZTJOL,O,X,O,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,X
ISZTOLJ,O,X,O,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X
ISZTOJL,O,X,X,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,X
ISZLTJO,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
ISZLTOJ,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
ISZLJTO,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
ISZLJOT,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISZLOTJ,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISZJTLO,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ISZJTOL,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
ISZJLTO,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
ISZJLOT,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ISZJOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ISZJOLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISZOTLJ,O,X,X,X,O,X,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X
ISZOTJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,O,O,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISZOJTL,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
ISZOJLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOTLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTJZL,O,X,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISOTZJL,O,X,X,X,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLZTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOJTLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ISOJZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ISOZTLJ,O,X,X,X,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
ISOZTJL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOZJTL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ISOZJLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZTLJSO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X
IZTLJOS,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X
IZTLSJO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
IZTLSOJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X
IZTLOJS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X
IZTLOSJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
IZTJLSO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X
IZTJLOS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X
IZTJSLO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X
IZTJSOL,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X
IZTJOLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IZTJOSL,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
IZTSLJO,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X
IZTSLOJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X
IZTSJLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
IZTSJOL,O,O,O,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
IZTSOLJ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X
IZTSOJL,O,O,X,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
IZTOLJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IZTOLSJ,O,O,O,X,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X
IZTOJLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
IZTOJSL,O,O,O,X,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,O,X
IZTOSLJ,O,O,O,X,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X
IZTOSJL,O,O,X,X,O,X,X,X,X,O,O,X,O,O,O,O,O,X,X,O,X
IZLTJSO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
IZLTJOS,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X
IZLTSJO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
IZLTSOJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X
IZLTOJS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X
IZLTOSJ,O,O,O,X,X,X,O,O,X,X,X,X,O,X,O,O,X,X,X,O,X
IZLJTSO,X,O,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
IZLJTOS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IZLJSTO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
IZLJSOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
IZLJOTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZLJOST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLSTJO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
IZLSTOJ,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
IZLSJTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
IZLSJOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
IZLSOTJ,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZLOTJS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X
IZLOTSJ,O,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
IZLOJTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZLOJST,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZJTLSO,O,O,O,X,O,X,X,O,O,X,O,O,O,X,X,O,O,X,X,O,X
IZJTLOS,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O,X,X,O,X
IZJTSLO,O,O,O,X,O,X,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X
IZJTSOL,O,O,O,X,O,X,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X
IZJTOLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
IZJTOSL,O,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,O,X
IZJLTSO,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
IZJLTOS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IZJLSTO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X
IZJLSOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJLOTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
IZJLOST,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSTLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
IZJSTOL,O,X,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
IZJSLTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
IZJSLOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZJSOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
IZJSOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZJOTLS,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X
IZJOTSL,O,X,O,X,O,X,X,X,O,O,O,O,X,X,O,O,O,X,X,O,X
IZJOLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZJOLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJOSTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IZJOSLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSTLJO,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X
IZSTLOJ,O,O,O,X,O,X,X,O,X,O,O,X,O,X,X,O,X,X,X,O,X
IZSTJLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,O,X
IZSTJOL,O,O,O,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
IZSTOLJ,O,O,O,X,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X
IZSTOJL,O,O,X,X,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,O,X
IZSLTJO,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
IZSLTOJ,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
IZSLJTO,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O,O,X,X,X,X
IZSLJOT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZSLOTJ,O,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZSJTLO,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
IZSJTOL,O,O,O,X,O,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X,X
IZSJLTO,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X
IZSJLOT,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZSJOTL,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
IZSJOLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZSOTLJ,O,O,X,X,O,X,O,O,X,O,O,X,O,X,O,O,X,X,X,O,X
IZSOTJL,O,O,X,X,O,X,X,O,X,O,O,X,O,X,O,O,O,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZSOJTL,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
IZSOJLT,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOTLJS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IZOTLSJ,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X
IZOTJLS,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
IZOTJSL,O,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X
IZOTSLJ,O,X,X,X,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X
IZOTSJL,O,X,X,X,O,X,X,X,X,O,O,X,O,O,O,O,O,X,X,O,X
IZOLTJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
IZOLTSJ,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X
IZOLJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOLJST,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOJTLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
IZOJTSL,O,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X,X,O,X
IZOJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IZOJLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJSTL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X
IZOJSLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTLJ,O,X,X,X,O,X,O,O,X,O,O,X,O,O,O,O,X,X,X,O,X
IZOSTJL,O,X,X,X,O,X,X,O,X,O,O,X,O,O,O,O,O,X,X,O,X
IZOSLTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IZOSJTL,O,X,X,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X
IZOSJLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOTLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X
IOTLZJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOTJSLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTJSZL,O,O,X,O,X,O,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X
IOTJZLS,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
IOTJZSL,O,O,X,X,O,O,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X
IOTSLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTSLZJ,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IOTSJLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTSJZL,O,X,X,O,X,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IOTSZLJ,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IOTSZJL,O,X,X,X,O,O,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IOTZLJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOTZLSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X
IOTZJLS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X
IOTZJSL,O,O,X,X,O,X,X,X,X,O,O,X,X,O,O,O,O,X,X,O,X
IOTZSLJ,O,O,X,X,O,X,X,X,X,O,O,X,O,O,O,O,X,X,X,O,X
IOTZSJL,O,O,X,X,O,X,X,X,X,O,O,X,O,O,O,O,O,X,X,O,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLTZJS,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X
IOLJTSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOLJSTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLJZTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOLSTJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLSZTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLZTJS,O,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOLZJST,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJTLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOJTLZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOJTSLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSZL,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X
IOJTZLS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
IOJTZSL,X,O,X,X,O,O,X,X,O,O,O,X,X,X,O,O,O,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOJSTLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJSTZL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X
IOJSLTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJSLZT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
IOJSZLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZTLS,X,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X
IOJZTSL,X,O,X,X,O,X,X,X,O,O,O,X,X,X,O,O,O,X,X,X,X
IOJZLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOJZLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
