sequence,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmB0sBXsB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFfiBldB5jB8nB6rB2xB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFCdBejB5jBlmBXsB0sB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFUdB5jBlmB3nBatBWxB,v115@zgA8BeB8EeA8BeB8EeD8FeE8CeA8AeE8DeA8Jez6Iv?hFRdB1mBGoBXnBSxBctB
LTJOIZS,O,O,O,X,X
LTJOSIZ,O,O,O,X,O
LTJOSZI,X,O,X,X,O
LTJOZIS,O,O,O,X,X
LTJOZSI,O,O,X,X,O
LTSIJZO,X,X,X,O,X
LTSIJOZ,O,X,O,O,X
LTSIZJO,X,O,X,O,X
LTSIZOJ,X,O,X,O,X
LTSIOJZ,O,X,O,O,X
LTSIOZJ,X,O,X,O,X
LTSJIZO,X,X,X,X,O
LTSJIOZ,O,X,O,X,O
LTSJZIO,X,X,X,X,O
LTSJZOI,X,X,X,X,O
LTSJOIZ,O,X,O,X,O
LTSJOZI,X,X,X,X,O
LTSZIJO,O,O,X,O,X
LTSZIOJ,O,O,X,O,X
LTSZJIO,O,O,X,X,X
LTSZJOI,O,O,X,X,X
LTSZOIJ,O,O,X,O,X
LTSZOJI,O,O,X,X,X
LTSOIJZ,O,X,O,O,X
LTSOIZJ,X,O,X,O,X
LTSOJIZ,O,X,O,X,O
LTSOJZI,X,X,X,X,O
LTSOZIJ,O,O,X,O,X
LTSOZJI,O,O,X,X,X
LTZIJSO,O,X,X,X,X
LTZIJOS,O,X,O,X,X
LTZISJO,O,O,X,X,X
LTZISOJ,O,O,X,X,X
LTZIOJS,O,X,O,X,X
LTZIOSJ,O,O,X,X,X
LTZJISO,O,X,X,X,X
LTZJIOS,O,X,O,X,X
LTZJSIO,O,X,X,X,O
LTZJSOI,O,X,X,X,O
LTZJOIS,O,X,O,X,X
LTZJOSI,O,X,X,X,O
LTZSIJO,O,O,X,X,X
LTZSIOJ,O,O,X,X,X
LTZSJIO,O,O,X,X,X
LTZSJOI,O,O,X,X,X
LTZSOIJ,O,O,X,X,X
LTZSOJI,O,O,X,X,X
LTZOIJS,O,X,O,X,X
LTZOISJ,O,O,X,X,X
LTZOJIS,O,X,O,X,X
LTZOJSI,O,X,X,X,O
LTZOSIJ,O,O,X,X,X
LTZOSJI,O,O,X,X,X
LTOIJSZ,O,O,O,X,O
LTOIJZS,O,O,O,X,X
LTOISJZ,O,X,O,O,X
LTOISZJ,X,O,X,O,X
LTOIZJS,O,X,O,X,X
LTOIZSJ,O,O,X,X,X
LTOJISZ,O,O,O,X,O
LTOJIZS,O,O,O,X,X
LTOJSIZ,O,O,O,X,O
LTOJSZI,X,O,X,X,O
LTOJZIS,O,O,O,X,X
LTOJZSI,O,O,X,X,O
LTOSIJZ,O,X,O,O,X
LTOSIZJ,X,O,X,O,X
LTOSJIZ,O,X,O,X,O
LTOSJZI,X,X,X,X,O
LTOSZIJ,O,O,X,O,X
LTOSZJI,O,O,X,X,X
LTOZIJS,O,X,O,X,X
LTOZISJ,O,O,X,X,X
LTOZJIS,O,X,O,X,X
LTOZJSI,O,X,X,X,O
LTOZSIJ,O,O,X,X,X
LTOZSJI,O,O,X,X,X
LITJSZO,X,O,O,X,O
LITJSOZ,O,O,O,X,O
LITJZSO,O,O,X,X,X
LITJZOS,O,O,O,X,X
LITJOSZ,O,O,O,X,O
LITJOZS,O,O,O,X,X
LITSJZO,X,X,X,O,X
LITSJOZ,O,X,O,O,X
LITSZJO,X,O,X,O,X
LITSZOJ,X,O,X,O,X
LITSOJZ,O,X,O,O,X
LITSOZJ,X,O,X,O,X
LITZJSO,O,X,X,X,X
LITZJOS,O,X,O,X,X
LITZSJO,O,O,X,X,X
LITZSOJ,O,O,X,X,X
LITZOJS,O,X,O,X,X
LITZOSJ,O,O,X,X,X
LITOJSZ,O,O,O,X,O
LITOJZS,O,O,O,X,X
LITOSJZ,O,X,O,O,X
LITOSZJ,X,O,X,O,X
LITOZJS,O,X,O,X,X
LITOZSJ,O,O,X,X,X
LIJTSZO,X,O,O,X,O
LIJTSOZ,O,O,O,X,O
LIJTZSO,O,O,X,X,X
LIJTZOS,O,O,O,X,X
LIJTOSZ,O,O,O,X,O
LIJTOZS,O,O,O,X,X
LIJSTZO,X,O,O,X,X
LIJSTOZ,X,O,O,X,X
LIJSZTO,X,O,X,X,X
LIJSZOT,X,O,X,X,X
LIJSOTZ,X,O,O,X,X
LIJSOZT,X,O,X,X,X
LIJZTSO,O,O,X,X,X
LIJZTOS,O,O,X,X,X
LIJZSTO,X,O,X,X,X
LIJZSOT,X,O,X,X,X
LIJZOTS,O,O,X,X,X
LIJZOST,X,O,X,X,X
LIJOTSZ,O,O,O,X,O
LIJOTZS,O,O,O,X,X
LIJOSTZ,X,O,O,X,X
LIJOSZT,X,O,X,X,X
LIJOZTS,O,O,X,X,X
LIJOZST,X,O,X,X,X
LISTJZO,X,X,X,O,X
LISTJOZ,X,X,X,O,X
LISTZJO,X,O,X,O,X
LISTZOJ,X,O,X,O,X
LISTOJZ,X,X,X,O,X
LISTOZJ,X,O,X,O,X
LISJTZO,X,O,O,X,X
LISJTOZ,X,O,O,X,X
LISJZTO,X,O,X,X,X
LISJZOT,X,O,X,X,X
LISJOTZ,X,O,O,X,X
LISJOZT,X,O,X,X,X
LISZTJO,X,O,X,X,X
LISZTOJ,X,O,X,X,X
LISZJTO,X,O,X,X,X
LISZJOT,X,O,X,X,X
LISZOTJ,X,O,X,X,X
LISZOJT,X,O,X,X,X
LISOTJZ,X,X,X,O,X
LISOTZJ,X,O,X,O,X
LISOJTZ,X,O,O,X,X
LISOJZT,X,O,X,X,X
LISOZTJ,X,O,X,X,X
LISOZJT,X,O,X,X,X
LIZTJSO,O,X,X,X,X
LIZTJOS,O,X,X,X,X
LIZTSJO,O,O,X,X,X
LIZTSOJ,O,O,X,X,X
LIZTOJS,O,X,X,X,X
LIZTOSJ,O,O,X,X,X
LIZJTSO,O,O,X,X,X
LIZJTOS,O,O,X,X,X
LIZJSTO,X,O,X,X,X
LIZJSOT,X,O,X,X,X
LIZJOTS,O,O,X,X,X
LIZJOST,X,O,X,X,X
LIZSTJO,X,O,X,X,X
LIZSTOJ,X,O,X,X,X
LIZSJTO,X,O,X,X,X
LIZSJOT,X,O,X,X,X
LIZSOTJ,X,O,X,X,X
LIZSOJT,X,O,X,X,X
LIZOTJS,O,X,X,X,X
LIZOTSJ,O,O,X,X,X
LIZOJTS,O,O,X,X,X
LIZOJST,X,O,X,X,X
LIZOSTJ,X,O,X,X,X
LIZOSJT,X,O,X,X,X
LIOTJSZ,O,O,O,X,O
LIOTJZS,O,O,O,X,X
LIOTSJZ,O,X,O,O,X
LIOTSZJ,X,O,X,O,X
LIOTZJS,O,X,O,X,X
LIOTZSJ,O,O,X,X,X
LIOJTSZ,O,O,O,X,O
LIOJTZS,O,O,O,X,X
LIOJSTZ,X,O,O,X,X
LIOJSZT,X,O,X,X,X
LIOJZTS,O,O,X,X,X
LIOJZST,X,O,X,X,X
LIOSTJZ,X,X,X,O,X
LIOSTZJ,X,O,X,O,X
LIOSJTZ,X,O,O,X,X
LIOSJZT,X,O,X,X,X
LIOSZTJ,X,O,X,X,X
LIOSZJT,X,O,X,X,X
LIOZTJS,O,X,X,X,X
LIOZTSJ,O,O,X,X,X
LIOZJTS,O,O,X,X,X
LIOZJST,X,O,X,X,X
LIOZSTJ,X,O,X,X,X
LIOZSJT,X,O,X,X,X
LJTISZO,X,O,O,X,O
LJTISOZ,O,O,O,X,O
LJTIZSO,O,O,X,X,X
LJTIZOS,O,O,O,X,X
LJTIOSZ,O,O,O,X,O
LJTIOZS,O,O,O,X,X
LJTSIZO,X,O,X,X,O
LJTSIOZ,O,O,O,X,O
LJTSZIO,X,O,X,X,O
LJTSZOI,X,O,X,X,O
LJTSOIZ,O,O,O,X,O
LJTSOZI,X,O,X,X,O
LJTZISO,X,O,X,X,X
LJTZIOS,O,O,O,X,X
LJTZSIO,X,O,X,X,O
LJTZSOI,X,O,X,X,O
LJTZOIS,O,O,O,X,X
LJTZOSI,X,O,X,X,O
LJTOISZ,O,O,O,X,O
LJTOIZS,O,O,O,X,X
LJTOSIZ,O,O,O,X,O
LJTOSZI,X,O,X,X,O
LJTOZIS,O,O,O,X,X
LJTOZSI,X,O,X,X,O
LJITSZO,X,O,O,X,O
LJITSOZ,O,O,O,X,O
LJITZSO,O,O,X,X,X
LJITZOS,O,O,O,X,X
LJITOSZ,O,O,O,X,O
LJITOZS,O,O,O,X,X
LJISTZO,X,O,O,X,X
LJISTOZ,X,O,O,X,X
LJISZTO,X,O,X,X,X
LJISZOT,X,O,X,X,X
LJISOTZ,X,O,O,X,X
LJISOZT,X,O,X,X,X
LJIZTSO,O,O,X,X,X
LJIZTOS,O,O,X,X,X
LJIZSTO,X,O,X,X,X
LJIZSOT,X,O,X,X,X
LJIZOTS,O,O,X,X,X
LJIZOST,X,O,X,X,X
LJIOTSZ,O,O,O,X,O
LJIOTZS,O,O,O,X,X
LJIOSTZ,X,O,O,X,X
LJIOSZT,X,O,X,X,X
LJIOZTS,O,O,X,X,X
LJIOZST,X,O,X,X,X
LJSTIZO,X,O,O,X,O
LJSTIOZ,X,O,O,X,O
LJSTZIO,X,O,O,X,O
LJSTZOI,X,O,O,X,O
LJSTOIZ,X,O,O,X,O
LJSTOZI,X,O,O,X,O
LJSITZO,X,O,O,X,X
LJSITOZ,X,O,O,X,X
LJSIZTO,X,O,X,X,X
LJSIZOT,X,O,X,X,X
LJSIOTZ,X,O,O,X,X
LJSIOZT,X,O,X,X,X
LJSZTIO,X,O,X,X,X
LJSZTOI,X,O,X,X,X
LJSZITO,X,O,X,X,X
LJSZIOT,X,O,X,X,X
LJSZOTI,X,O,X,X,X
LJSZOIT,X,O,X,X,X
LJSOTIZ,X,O,O,X,O
LJSOTZI,X,O,O,X,O
LJSOITZ,X,O,O,X,X
LJSOIZT,X,O,X,X,X
LJSOZTI,X,O,X,X,X
LJSOZIT,X,O,X,X,X
LJZTISO,O,O,X,X,X
LJZTIOS,O,O,X,X,X
LJZTSIO,O,O,X,X,O
LJZTSOI,O,O,X,X,O
LJZTOIS,O,O,X,X,X
LJZTOSI,O,O,X,X,O
LJZITSO,O,O,X,X,X
LJZITOS,O,O,X,X,X
LJZISTO,X,O,X,X,X
LJZISOT,X,O,X,X,X
LJZIOTS,O,O,X,X,X
LJZIOST,X,O,X,X,X
LJZSTIO,X,O,X,X,X
LJZSTOI,X,O,X,X,X
LJZSITO,X,O,X,X,X
LJZSIOT,X,O,X,X,X
LJZSOTI,X,O,X,X,X
LJZSOIT,X,O,X,X,X
LJZOTIS,O,O,X,X,X
LJZOTSI,O,O,X,X,O
LJZOITS,O,O,X,X,X
LJZOIST,X,O,X,X,X
LJZOSTI,X,O,X,X,X
LJZOSIT,X,O,X,X,X
LJOTISZ,O,O,O,X,O
LJOTIZS,O,O,O,X,X
LJOTSIZ,O,O,O,X,O
LJOTSZI,X,O,X,X,O
LJOTZIS,O,O,O,X,X
LJOTZSI,X,O,X,X,O
LJOITSZ,O,O,O,X,O
LJOITZS,O,O,O,X,X
LJOISTZ,X,O,O,X,X
LJOISZT,X,O,X,X,X
LJOIZTS,O,O,X,X,X
LJOIZST,X,O,X,X,X
LJOSTIZ,X,O,O,X,O
LJOSTZI,X,O,O,X,O
LJOSITZ,X,O,O,X,X
LJOSIZT,X,O,X,X,X
LJOSZTI,X,O,X,X,X
LJOSZIT,X,O,X,X,X
LJOZTIS,O,O,X,X,X
LJOZTSI,O,O,X,X,O
LJOZITS,O,O,X,X,X
LJOZIST,X,O,X,X,X
LJOZSTI,X,O,X,X,X
LJOZSIT,X,O,X,X,X
LSTIJZO,X,X,O,O,X
LSTIJOZ,X,X,O,O,X
LSTIZJO,X,O,X,O,X
LSTIZOJ,X,O,X,O,X
LSTIOJZ,X,X,O,O,X
LSTIOZJ,X,O,X,O,X
LSTJIZO,X,X,O,X,O
LSTJIOZ,X,X,O,X,O
LSTJZIO,X,X,O,X,O
LSTJZOI,X,X,O,X,O
LSTJOIZ,X,X,O,X,O
LSTJOZI,X,X,O,X,O
LSTZIJO,X,O,X,O,X
LSTZIOJ,X,O,X,O,X
LSTZJIO,X,O,O,X,X
LSTZJOI,X,O,O,X,X
LSTZOIJ,X,O,X,O,X
LSTZOJI,X,O,O,X,X
LSTOIJZ,X,X,O,O,X
LSTOIZJ,X,O,X,O,X
LSTOJIZ,X,X,O,X,O
LSTOJZI,X,X,O,X,O
LSTOZIJ,X,O,X,O,X
LSTOZJI,X,O,O,X,X
LSITJZO,X,X,X,O,X
LSITJOZ,X,X,X,O,X
LSITZJO,X,O,X,O,X
LSITZOJ,X,O,X,O,X
LSITOJZ,X,X,X,O,X
LSITOZJ,X,O,X,O,X
LSIJTZO,X,O,O,X,X
LSIJTOZ,X,O,O,X,X
LSIJZTO,X,O,X,X,X
LSIJZOT,X,O,X,X,X
LSIJOTZ,X,O,O,X,X
LSIJOZT,X,O,X,X,X
LSIZTJO,X,O,X,X,X
LSIZTOJ,X,O,X,X,X
LSIZJTO,X,O,X,X,X
LSIZJOT,X,O,X,X,X
LSIZOTJ,X,O,X,X,X
LSIZOJT,X,O,X,X,X
LSIOTJZ,X,X,X,O,X
LSIOTZJ,X,O,X,O,X
LSIOJTZ,X,O,O,X,X
LSIOJZT,X,O,X,X,X
LSIOZTJ,X,O,X,X,X
LSIOZJT,X,O,X,X,X
LSJTIZO,X,O,O,X,O
LSJTIOZ,X,O,O,X,O
LSJTZIO,X,O,O,X,O
LSJTZOI,X,O,O,X,O
LSJTOIZ,X,O,O,X,O
LSJTOZI,X,O,O,X,O
LSJITZO,X,O,O,X,X
LSJITOZ,X,O,O,X,X
LSJIZTO,X,O,X,X,X
LSJIZOT,X,O,X,X,X
LSJIOTZ,X,O,O,X,X
LSJIOZT,X,O,X,X,X
LSJZTIO,X,O,X,X,X
LSJZTOI,X,O,X,X,X
LSJZITO,X,O,X,X,X
LSJZIOT,X,O,X,X,X
LSJZOTI,X,O,X,X,X
LSJZOIT,X,O,X,X,X
LSJOTIZ,X,O,O,X,O
LSJOTZI,X,O,O,X,O
LSJOITZ,X,O,O,X,X
LSJOIZT,X,O,X,X,X
LSJOZTI,X,O,X,X,X
LSJOZIT,X,O,X,X,X
LSZTIJO,X,O,X,X,X
LSZTIOJ,X,O,X,X,X
LSZTJIO,X,O,X,X,X
LSZTJOI,X,O,X,X,X
LSZTOIJ,X,O,X,X,X
LSZTOJI,X,O,X,X,X
LSZITJO,X,O,X,X,X
LSZITOJ,X,O,X,X,X
LSZIJTO,X,O,X,X,X
LSZIJOT,X,O,X,X,X
LSZIOTJ,X,O,X,X,X
LSZIOJT,X,O,X,X,X
LSZJTIO,X,O,X,X,X
LSZJTOI,X,O,X,X,X
LSZJITO,X,O,X,X,X
LSZJIOT,X,O,X,X,X
LSZJOTI,X,O,X,X,X
LSZJOIT,X,O,X,X,X
LSZOTIJ,X,O,X,X,X
LSZOTJI,X,O,X,X,X
LSZOITJ,X,O,X,X,X
LSZOIJT,X,O,X,X,X
LSZOJTI,X,O,X,X,X
LSZOJIT,X,O,X,X,X
LSOTIJZ,X,X,O,O,X
LSOTIZJ,X,O,X,O,X
LSOTJIZ,X,X,O,X,O
LSOTJZI,X,X,O,X,O
LSOTZIJ,X,O,X,O,X
LSOTZJI,X,O,O,X,X
LSOITJZ,X,X,X,O,X
LSOITZJ,X,O,X,O,X
LSOIJTZ,X,O,O,X,X
LSOIJZT,X,O,X,X,X
LSOIZTJ,X,O,X,X,X
LSOIZJT,X,O,X,X,X
LSOJTIZ,X,O,O,X,O
LSOJTZI,X,O,O,X,O
LSOJITZ,X,O,O,X,X
LSOJIZT,X,O,X,X,X
LSOJZTI,X,O,X,X,X
LSOJZIT,X,O,X,X,X
LSOZTIJ,X,O,X,X,X
LSOZTJI,X,O,X,X,X
LSOZITJ,X,O,X,X,X
LSOZIJT,X,O,X,X,X
LSOZJTI,X,O,X,X,X
LSOZJIT,X,O,X,X,X
LZTIJSO,O,X,X,X,X
LZTIJOS,O,X,X,X,X
LZTISJO,O,O,X,X,X
LZTISOJ,O,O,X,X,X
LZTIOJS,O,X,X,X,X
LZTIOSJ,O,O,X,X,X
LZTJISO,O,X,X,X,X
LZTJIOS,O,X,X,X,X
LZTJSIO,O,X,X,X,O
LZTJSOI,O,X,X,X,O
LZTJOIS,O,X,X,X,X
LZTJOSI,O,X,X,X,O
LZTSIJO,O,O,X,X,X
LZTSIOJ,O,O,X,X,X
LZTSJIO,O,O,X,X,X
LZTSJOI,O,O,X,X,X
LZTSOIJ,O,O,X,X,X
LZTSOJI,O,O,X,X,X
LZTOIJS,O,X,X,X,X
LZTOISJ,O,O,X,X,X
LZTOJIS,O,X,X,X,X
LZTOJSI,O,X,X,X,O
LZTOSIJ,O,O,X,X,X
LZTOSJI,O,O,X,X,X
LZITJSO,O,X,X,X,X
LZITJOS,O,X,X,X,X
LZITSJO,O,O,X,X,X
LZITSOJ,O,O,X,X,X
LZITOJS,O,X,X,X,X
LZITOSJ,O,O,X,X,X
LZIJTSO,O,O,X,X,X
LZIJTOS,O,O,X,X,X
LZIJSTO,X,O,X,X,X
LZIJSOT,X,O,X,X,X
LZIJOTS,O,O,X,X,X
LZIJOST,X,O,X,X,X
LZISTJO,X,O,X,X,X
LZISTOJ,X,O,X,X,X
LZISJTO,X,O,X,X,X
LZISJOT,X,O,X,X,X
LZISOTJ,X,O,X,X,X
LZISOJT,X,O,X,X,X
LZIOTJS,O,X,X,X,X
LZIOTSJ,O,O,X,X,X
LZIOJTS,O,O,X,X,X
LZIOJST,X,O,X,X,X
LZIOSTJ,X,O,X,X,X
LZIOSJT,X,O,X,X,X
LZJTISO,O,O,X,X,X
LZJTIOS,O,O,X,X,X
LZJTSIO,O,O,X,X,O
LZJTSOI,O,O,X,X,O
LZJTOIS,O,O,X,X,X
LZJTOSI,O,O,X,X,O
LZJITSO,O,O,X,X,X
LZJITOS,O,O,X,X,X
LZJISTO,X,O,X,X,X
LZJISOT,X,O,X,X,X
LZJIOTS,O,O,X,X,X
LZJIOST,X,O,X,X,X
LZJSTIO,X,O,X,X,X
LZJSTOI,X,O,X,X,X
LZJSITO,X,O,X,X,X
LZJSIOT,X,O,X,X,X
LZJSOTI,X,O,X,X,X
LZJSOIT,X,O,X,X,X
LZJOTIS,O,O,X,X,X
LZJOTSI,O,O,X,X,O
LZJOITS,O,O,X,X,X
LZJOIST,X,O,X,X,X
LZJOSTI,X,O,X,X,X
LZJOSIT,X,O,X,X,X
LZSTIJO,X,O,X,X,X
LZSTIOJ,X,O,X,X,X
LZSTJIO,X,O,X,X,X
LZSTJOI,X,O,X,X,X
LZSTOIJ,X,O,X,X,X
LZSTOJI,X,O,X,X,X
LZSITJO,X,O,X,X,X
LZSITOJ,X,O,X,X,X
LZSIJTO,X,O,X,X,X
LZSIJOT,X,O,X,X,X
LZSIOTJ,X,O,X,X,X
LZSIOJT,X,O,X,X,X
LZSJTIO,X,O,X,X,X
LZSJTOI,X,O,X,X,X
LZSJITO,X,O,X,X,X
LZSJIOT,X,O,X,X,X
LZSJOTI,X,O,X,X,X
LZSJOIT,X,O,X,X,X
LZSOTIJ,X,O,X,X,X
LZSOTJI,X,O,X,X,X
LZSOITJ,X,O,X,X,X
LZSOIJT,X,O,X,X,X
LZSOJTI,X,O,X,X,X
LZSOJIT,X,O,X,X,X
LZOTIJS,O,X,X,X,X
LZOTISJ,O,O,X,X,X
LZOTJIS,O,X,X,X,X
LZOTJSI,O,X,X,X,O
LZOTSIJ,O,O,X,X,X
LZOTSJI,O,O,X,X,X
LZOITJS,O,X,X,X,X
LZOITSJ,O,O,X,X,X
LZOIJTS,O,O,X,X,X
LZOIJST,X,O,X,X,X
LZOISTJ,X,O,X,X,X
LZOISJT,X,O,X,X,X
LZOJTIS,O,O,X,X,X
LZOJTSI,O,O,X,X,O
LZOJITS,O,O,X,X,X
LZOJIST,X,O,X,X,X
LZOJSTI,X,O,X,X,X
LZOJSIT,X,O,X,X,X
LZOSTIJ,X,O,X,X,X
LZOSTJI,X,O,X,X,X
LZOSITJ,X,O,X,X,X
LZOSIJT,X,O,X,X,X
LZOSJTI,X,O,X,X,X
LZOSJIT,X,O,X,X,X
LOTIJSZ,O,O,O,X,O
LOTIJZS,O,O,O,X,X
LOTISJZ,O,X,O,O,X
LOTISZJ,X,O,X,O,X
LOTIZJS,O,X,O,X,X
LOTIZSJ,O,O,X,X,X
LOTJISZ,O,O,O,X,O
LOTJIZS,O,O,O,X,X
LOTJSIZ,O,O,O,X,O
LOTJSZI,X,O,X,X,O
LOTJZIS,O,O,O,X,X
LOTJZSI,O,O,X,X,O
LOTSIJZ,O,X,O,O,X
LOTSIZJ,X,O,X,O,X
LOTSJIZ,O,X,O,X,O
LOTSJZI,X,X,X,X,O
LOTSZIJ,O,O,X,O,X
LOTSZJI,O,O,X,X,X
LOTZIJS,O,X,O,X,X
LOTZISJ,O,O,X,X,X
LOTZJIS,O,X,O,X,X
LOTZJSI,O,X,X,X,O
LOTZSIJ,O,O,X,X,X
LOTZSJI,O,O,X,X,X
LOITJSZ,O,O,O,X,O
LOITJZS,O,O,O,X,X
LOITSJZ,O,X,O,O,X
LOITSZJ,X,O,X,O,X
LOITZJS,O,X,O,X,X
LOITZSJ,O,O,X,X,X
LOIJTSZ,O,O,O,X,O
LOIJTZS,O,O,O,X,X
LOIJSTZ,X,O,O,X,X
LOIJSZT,X,O,X,X,X
LOIJZTS,O,O,X,X,X
LOIJZST,X,O,X,X,X
LOISTJZ,X,X,X,O,X
LOISTZJ,X,O,X,O,X
LOISJTZ,X,O,O,X,X
LOISJZT,X,O,X,X,X
LOISZTJ,X,O,X,X,X
LOISZJT,X,O,X,X,X
LOIZTJS,O,X,X,X,X
LOIZTSJ,O,O,X,X,X
LOIZJTS,O,O,X,X,X
LOIZJST,X,O,X,X,X
LOIZSTJ,X,O,X,X,X
LOIZSJT,X,O,X,X,X
LOJTISZ,O,O,O,X,O
LOJTIZS,O,O,O,X,X
LOJTSIZ,O,O,O,X,O
LOJTSZI,X,O,X,X,O
LOJTZIS,O,O,O,X,X
LOJTZSI,X,O,X,X,O
LOJITSZ,O,O,O,X,O
LOJITZS,O,O,O,X,X
LOJISTZ,X,O,O,X,X
LOJISZT,X,O,X,X,X
LOJIZTS,O,O,X,X,X
LOJIZST,X,O,X,X,X
LOJSTIZ,X,O,O,X,O
LOJSTZI,X,O,O,X,O
LOJSITZ,X,O,O,X,X
LOJSIZT,X,O,X,X,X
LOJSZTI,X,O,X,X,X
LOJSZIT,X,O,X,X,X
LOJZTIS,O,O,X,X,X
LOJZTSI,O,O,X,X,O
LOJZITS,O,O,X,X,X
LOJZIST,X,O,X,X,X
LOJZSTI,X,O,X,X,X
LOJZSIT,X,O,X,X,X
LOSTIJZ,X,X,O,O,X
LOSTIZJ,X,O,X,O,X
LOSTJIZ,X,X,O,X,O
LOSTJZI,X,X,O,X,O
LOSTZIJ,X,O,X,O,X
LOSTZJI,X,O,O,X,X
LOSITJZ,X,X,X,O,X
LOSITZJ,X,O,X,O,X
LOSIJTZ,X,O,O,X,X
LOSIJZT,X,O,X,X,X
LOSIZTJ,X,O,X,X,X
LOSIZJT,X,O,X,X,X
LOSJTIZ,X,O,O,X,O
LOSJTZI,X,O,O,X,O
LOSJITZ,X,O,O,X,X
LOSJIZT,X,O,X,X,X
LOSJZTI,X,O,X,X,X
LOSJZIT,X,O,X,X,X
LOSZTIJ,X,O,X,X,X
LOSZTJI,X,O,X,X,X
LOSZITJ,X,O,X,X,X
LOSZIJT,X,O,X,X,X
LOSZJTI,X,O,X,X,X
LOSZJIT,X,O,X,X,X
LOZTIJS,O,X,X,X,X
LOZTISJ,O,O,X,X,X
LOZTJIS,O,X,X,X,X
LOZTJSI,O,X,X,X,O
LOZTSIJ,O,O,X,X,X
LOZTSJI,O,O,X,X,X
LOZITJS,O,X,X,X,X
LOZITSJ,O,O,X,X,X
LOZIJTS,O,O,X,X,X
LOZIJST,X,O,X,X,X
LOZISTJ,X,O,X,X,X
LOZISJT,X,O,X,X,X
LOZJTIS,O,O,X,X,X
LOZJTSI,O,O,X,X,O
LOZJITS,O,O,X,X,X
LOZJIST,X,O,X,X,X
LOZJSTI,X,O,X,X,X
LOZJSIT,X,O,X,X,X
LOZSTIJ,X,O,X,X,X
LOZSTJI,X,O,X,X,X
LOZSITJ,X,O,X,X,X
LOZSIJT,X,O,X,X,X
LOZSJTI,X,O,X,X,X
LOZSJIT,X,O,X,X,X
JTILSZO,X,X,O,X,O
JTILSOZ,O,X,O,X,O
JTILZSO,O,X,X,X,X
JTILZOS,O,X,O,X,X
JTILOSZ,O,X,O,X,O
JTILOZS,O,X,O,X,X
JTISLZO,X,X,O,O,X
JTISLOZ,O,X,O,O,X
JTISZLO,O,O,O,O,X
JTISZOL,O,O,O,O,X
JTISOLZ,O,X,O,O,X
JTISOZL,O,O,O,O,X
JTIZLSO,O,X,X,X,X
JTIZLOS,O,X,O,X,X
JTIZSLO,O,O,O,X,X
JTIZSOL,O,O,O,X,X
JTIZOLS,O,X,O,X,X
JTIZOSL,O,O,O,X,X
JTIOLSZ,O,X,O,X,O
JTIOLZS,O,X,O,X,X
JTIOSLZ,O,X,O,O,X
JTIOSZL,O,O,O,O,X
JTIOZLS,O,X,O,X,X
JTIOZSL,O,O,O,X,X
JTLISZO,X,X,O,X,O
JTLISOZ,O,X,O,X,O
JTLIZSO,O,X,X,X,X
JTLIZOS,O,X,O,X,X
JTLIOSZ,O,X,O,X,O
JTLIOZS,O,X,O,X,X
JTLSIZO,X,X,X,X,O
JTLSIOZ,O,X,O,X,O
JTLSZIO,X,X,X,X,O
JTLSZOI,X,X,X,X,O
JTLSOIZ,O,X,O,X,O
JTLSOZI,X,X,X,X,O
JTLZISO,O,X,X,X,X
JTLZIOS,O,X,O,X,X
JTLZSIO,O,X,X,X,O
JTLZSOI,O,X,X,X,O
JTLZOIS,O,X,O,X,X
JTLZOSI,O,X,X,X,O
JTLOISZ,O,X,O,X,O
JTLOIZS,O,X,O,X,X
JTLOSIZ,O,X,O,X,O
JTLOSZI,X,X,X,X,O
JTLOZIS,O,X,O,X,X
JTLOZSI,O,X,X,X,O
JTSILZO,X,X,O,O,X
JTSILOZ,O,X,O,O,X
JTSIZLO,O,O,O,O,X
JTSIZOL,O,O,O,O,X
JTSIOLZ,O,X,O,O,X
JTSIOZL,O,O,O,O,X
JTSLIZO,X,X,O,X,O
JTSLIOZ,O,X,O,X,O
JTSLZIO,X,X,O,X,O
JTSLZOI,X,X,O,X,O
JTSLOIZ,O,X,O,X,O
JTSLOZI,X,X,O,X,O
JTSZILO,X,O,O,O,X
JTSZIOL,X,O,O,O,X
JTSZLIO,X,O,O,X,X
JTSZLOI,X,O,O,X,X
JTSZOIL,X,O,O,O,X
JTSZOLI,X,O,O,X,X
JTSOILZ,O,X,O,O,X
JTSOIZL,O,O,O,O,X
JTSOLIZ,O,X,O,X,O
JTSOLZI,X,X,O,X,O
JTSOZIL,X,O,O,O,X
JTSOZLI,X,O,O,X,X
JTZILSO,O,X,X,X,X
JTZILOS,O,X,O,X,X
JTZISLO,O,O,O,X,X
JTZISOL,O,O,O,X,X
JTZIOLS,O,X,O,X,X
JTZIOSL,O,O,O,X,X
JTZLISO,O,X,X,X,X
JTZLIOS,O,X,O,X,X
JTZLSIO,O,X,X,X,O
